ENTRY            C0728   20140418                             C141C072800000001 
SUBENT        C0728001   20140418                             C141C072800100001 
BIB                 12         36                                 C072800100002 
INSTITUTE  (1USAMIN,1USAINU,2GERKFK,1USAKNT,1USAMRY)              C072800100003 
REFERENCE  (J,PR/C,58,645,199808)                                 C072800100004 
           (J,PL/B,368,39,199601) - Some of the 4He results       C072800100005 
           published with emphasis on the astrophysical aspects   C072800100006 
           of the reaction                                        C072800100007 
           (J,PL/B,380,493,1996) Erratum.                         C072800100008 
AUTHOR     (M.Palarczyk,C.M.Riedel,D.Dehnhard,M.A.Espy,M.A.Franey,C072800100009 
           J.L.Langenbrunner,L.C.Bland,D.S.Carman,B.Brinkmoeller, C072800100010 
           R.Madey,Y.Wang,J.W.Watson,N.S.Chant,L.Bildsten)        C072800100011 
TITLE      Cross sections and analyzing powers for the (p(pol),n) C072800100012 
            reaction on 3He and 4He at 200 MeV.                   C072800100013 
FACILITY   (CYCLO,1USAINU)                                        C072800100014 
METHOD     (TOF)                                                  C072800100015 
DETECTOR   (SCIN) NE102 plastic scintillators.                    C072800100016 
MONITOR    (6-C-12(P,N)7-N-12,,DA)                                C072800100017 
           (6-C-13(P,N)7-N-13,,DA)                                C072800100018 
           Relative detector efficiency determined by by          C072800100019 
            normalized measured yields at 100, 147, and 200 MeV   C072800100020 
            to published cross sections at similar energies.      C072800100021 
           Neutron energy calibrated using well-known states in   C072800100022 
            12N and 13N.                                          C072800100023 
CORRECTION Corrected for background due to reactions in Havar     C072800100024 
            windows of target cells.                              C072800100025 
ERR-ANALYS (ERR-S) Statistical uncertainty given.                 C072800100026 
           Systematic uncertainty about 8%, primarily due to      C072800100027 
            uncertainties in neutron detector efficiency and arealC072800100028 
            density.                                              C072800100029 
           At 0 degrees there is an additional estimated          C072800100030 
            systematic uncertainty of 5-10% due to background     C072800100031 
            subtraction difficulties.                             C072800100032 
STATUS     (TABLE) Data received by email from C.Riedel,13/10/2000C072800100033 
           (APRVD) Approved by C. Riedel, 18 June 2001.           C072800100034 
HISTORY    (20001016C) VM                                         C072800100035 
           (20010619A) Updated as per C. Riedel comments.         C072800100036 
           (20140418A) SD: Titles of columns in DATA section      C072800100037 
            corrected in Subents 2,3.                             C072800100038 
ENDBIB              36          0                                 C072800100039 
NOCOMMON             0          0                                 C072800100040 
ENDSUBENT           39          0                                 C072800199999 
SUBENT        C0728002   20140418                             C141C072800200001 
BIB                  4          7                                 C072800200002 
REACTION   (2-HE-3(P,X)0-NN-1,,DA/DE)                             C072800200003 
SAMPLE     Gas target at about 77 K and 7 atm.  Areal density     C072800200004 
            typically about 12 mg/cm2 (but only 5.8 mg/cm2 at 0   C072800200005 
            degrees)                                              C072800200006 
EN-SEC     (E-RL,P+P+P)                                           C072800200007 
HISTORY    (20140418A) SD: E-EXC -> E-RL in DATA section and      C072800200008 
            (E-RL,P+P+P) under EN-SEC added.                      C072800200009 
ENDBIB               7          0                                 C072800200010 
NOCOMMON             0          0                                 C072800200011 
DATA                 5        692                                 C072800200012 
EN         ANG        E-RL       DATA       ERR-S                 C072800200013 
199.         0.        54.0        9.792E-02    1.7E-02           C072800200079 
199.         0.        55.0        1.276E-01    1.7E-02           C072800200080 
199.         0.        56.0        7.595E-02    1.7E-02           C072800200081 
199.         0.        57.0        8.737E-02    1.7E-02           C072800200082 
199.         0.        58.0        7.059E-02    1.7E-02           C072800200083 
199.         0.        59.0        7.552E-02    1.7E-02           C072800200084 
199.         0.        60.0        9.005E-02    1.8E-02           C072800200085 
199.         0.        61.0        9.202E-02    1.8E-02           C072800200086 
199.         0.        62.0        3.591E-02    1.8E-02           C072800200087 
199.         0.        63.0        8.716E-02    1.8E-02           C072800200088 
199.         0.        64.0        6.801E-02    1.9E-02           C072800200089 
199.         0.        65.0        8.774E-02    1.8E-02           C072800200090 
199.         0.        66.0        7.167E-02    1.9E-02           C072800200091 
199.         0.        67.0        3.234E-02    2.1E-02           C072800200092 
199.         0.        68.0        2.692E-02    2.6E-02           C072800200093 
199.         5.       -10.0        2.742E-03    2.4E-03           C072800200094 
199.         5.        -9.0        3.110E-03    2.3E-03           C072800200095 
199.         5.        -8.0        3.471E-03    2.4E-03           C072800200096 
199.         5.        -7.0        5.419E-04    2.7E-03           C072800200097 
199.         5.        -6.0        4.697E-03    2.7E-03           C072800200098 
199.         5.        -5.0        3.671E-03    2.8E-03           C072800200099 
199.         5.        -4.0       -4.176E-03    3.2E-03           C072800200100 
199.         5.        -3.0        3.399E-04    4.8E-03           C072800200101 
199.         5.        -2.0        8.597E-03    5.3E-03           C072800200102 
199.         5.        -1.0       -1.710E-02    8.9E-03           C072800200103 
199.         5.         0.0        8.065E-04    9.7E-03           C072800200104 
199.         5.         1.0        3.574E-02    8.3E-03           C072800200105 
199.         5.         2.0        1.047E-01    9.4E-03           C072800200106 
199.         5.         3.0        1.769E-01    1.1E-02           C072800200107 
199.         5.         4.0        3.190E-01    1.3E-02           C072800200108 
199.         5.         5.0        3.440E-01    1.3E-02           C072800200109 
199.         5.         6.0        3.698E-01    1.4E-02           C072800200110 
199.         5.         7.0        3.876E-01    1.5E-02           C072800200111 
199.         5.         8.0        4.016E-01    1.6E-02           C072800200112 
199.         5.         9.0        3.849E-01    1.7E-02           C072800200113 
199.         5.        10.0        3.819E-01    1.7E-02           C072800200114 
199.         5.        11.0        3.640E-01    1.6E-02           C072800200115 
199.         5.        12.0        3.324E-01    1.7E-02           C072800200116 
199.         5.        13.0        3.407E-01    1.7E-02           C072800200117 
199.         5.        14.0        3.253E-01    1.8E-02           C072800200118 
199.         5.        15.0        3.126E-01    1.8E-02           C072800200119 
199.         5.        16.0        2.977E-01    1.8E-02           C072800200120 
199.         5.        17.0        3.073E-01    1.8E-02           C072800200121 
199.         5.        18.0        2.760E-01    1.8E-02           C072800200122 
199.         5.        19.0        2.407E-01    1.8E-02           C072800200123 
199.         5.        20.0        2.468E-01    1.7E-02           C072800200124 
199.         5.        21.0        2.178E-01    1.7E-02           C072800200125 
199.         5.        22.0        2.327E-01    1.6E-02           C072800200126 
199.         5.        23.0        2.067E-01    1.6E-02           C072800200127 
199.         5.        24.0        1.963E-01    1.6E-02           C072800200128 
199.         5.        25.0        1.805E-01    1.6E-02           C072800200129 
199.         5.        26.0        1.792E-01    1.5E-02           C072800200130 
199.         5.        27.0        1.494E-01    1.5E-02           C072800200131 
199.         5.        28.0        1.472E-01    1.5E-02           C072800200132 
199.         5.        29.0        1.373E-01    1.5E-02           C072800200133 
199.         5.        30.0        1.466E-01    1.5E-02           C072800200134 
199.         5.        31.0        1.455E-01    1.5E-02           C072800200135 
199.         5.        32.0        1.321E-01    1.4E-02           C072800200136 
199.         5.        33.0        1.311E-01    1.4E-02           C072800200137 
199.         5.        34.0        1.022E-01    1.4E-02           C072800200138 
199.         5.        35.0        1.333E-01    1.4E-02           C072800200139 
199.         5.        36.0        1.134E-01    1.4E-02           C072800200140 
199.         5.        37.0        1.392E-01    1.4E-02           C072800200141 
199.         5.        38.0        1.113E-01    1.4E-02           C072800200142 
199.         5.        39.0        8.627E-02    1.4E-02           C072800200143 
199.         5.        40.0        1.200E-01    1.3E-02           C072800200144 
199.         5.        41.0        1.008E-01    1.4E-02           C072800200145 
199.         5.        42.0        8.034E-02    1.3E-02           C072800200146 
199.         5.        43.0        7.269E-02    1.3E-02           C072800200147 
199.         5.        44.0        1.104E-01    1.3E-02           C072800200148 
199.         5.        45.0        6.267E-02    1.3E-02           C072800200149 
199.         5.        46.0        9.443E-02    1.3E-02           C072800200150 
199.         5.        47.0        8.946E-02    1.3E-02           C072800200151 
199.         5.        48.0        7.300E-02    1.3E-02           C072800200152 
199.         5.        49.0        8.032E-02    1.3E-02           C072800200153 
199.         5.        50.0        8.196E-02    1.3E-02           C072800200154 
199.         5.        51.0        7.062E-02    1.3E-02           C072800200155 
199.         5.        52.0        8.278E-02    1.3E-02           C072800200156 
199.         5.        53.0        7.654E-02    1.3E-02           C072800200157 
199.         5.        54.0        7.911E-02    1.3E-02           C072800200158 
199.         5.        55.0        7.384E-02    1.3E-02           C072800200159 
199.         5.        56.0        6.396E-02    1.3E-02           C072800200160 
199.         5.        57.0        8.054E-02    1.4E-02           C072800200161 
199.         5.        58.0        7.509E-02    1.3E-02           C072800200162 
199.         5.        59.0        7.483E-02    1.4E-02           C072800200163 
199.         5.        60.0        6.631E-02    1.4E-02           C072800200164 
199.         5.        61.0        7.817E-02    1.4E-02           C072800200165 
199.         5.        62.0        5.997E-02    1.4E-02           C072800200166 
199.         5.        63.0        7.821E-02    1.4E-02           C072800200167 
199.         5.        64.0        5.160E-02    1.5E-02           C072800200168 
199.         5.        65.0        6.591E-02    1.5E-02           C072800200169 
199.         5.        66.0        7.631E-02    1.5E-02           C072800200170 
199.        10.       -10.0        3.544E-03    2.8E-03           C072800200171 
199.        10.        -9.0        2.736E-03    2.8E-03           C072800200172 
199.        10.        -8.0        4.675E-03    2.8E-03           C072800200173 
199.        10.        -7.0        3.792E-03    2.8E-03           C072800200174 
199.        10.        -6.0        7.569E-04    3.0E-03           C072800200175 
199.        10.        -5.0        3.590E-03    3.7E-03           C072800200176 
199.        10.        -4.0        4.507E-03    4.6E-03           C072800200177 
199.        10.        -3.0        1.605E-02    5.3E-03           C072800200178 
199.        10.        -2.0       -1.889E-03    6.5E-03           C072800200179 
199.        10.        -1.0        3.071E-03    6.7E-03           C072800200180 
199.        10.         0.0        1.060E-02    7.7E-03           C072800200181 
199.        10.         1.0        2.623E-02    8.8E-03           C072800200182 
199.        10.         2.0        1.180E-01    9.8E-03           C072800200183 
199.        10.         3.0        2.185E-01    1.1E-02           C072800200184 
199.        10.         4.0        2.954E-01    1.2E-02           C072800200185 
199.        10.         5.0        4.110E-01    1.3E-02           C072800200186 
199.        10.         6.0        4.893E-01    1.4E-02           C072800200187 
199.        10.         7.0        5.242E-01    1.4E-02           C072800200188 
199.        10.         8.0        5.497E-01    1.5E-02           C072800200189 
199.        10.         9.0        5.634E-01    1.5E-02           C072800200190 
199.        10.        10.0        5.917E-01    1.6E-02           C072800200191 
199.        10.        11.0        5.945E-01    1.7E-02           C072800200192 
199.        10.        12.0        5.579E-01    1.7E-02           C072800200193 
199.        10.        13.0        5.421E-01    1.8E-02           C072800200194 
199.        10.        14.0        4.958E-01    1.8E-02           C072800200195 
199.        10.        15.0        4.737E-01    1.8E-02           C072800200196 
199.        10.        16.0        4.749E-01    1.9E-02           C072800200197 
199.        10.        17.0        4.025E-01    1.8E-02           C072800200198 
199.        10.        18.0        4.211E-01    1.8E-02           C072800200199 
199.        10.        19.0        3.937E-01    1.8E-02           C072800200200 
199.        10.        20.0        3.628E-01    1.8E-02           C072800200201 
199.        10.        21.0        3.585E-01    1.8E-02           C072800200202 
199.        10.        22.0        3.136E-01    1.8E-02           C072800200203 
199.        10.        23.0        3.214E-01    1.8E-02           C072800200204 
199.        10.        24.0        2.679E-01    1.8E-02           C072800200205 
199.        10.        25.0        2.838E-01    1.8E-02           C072800200206 
199.        10.        26.0        2.711E-01    1.8E-02           C072800200207 
199.        10.        27.0        2.598E-01    1.8E-02           C072800200208 
199.        10.        28.0        2.312E-01    1.8E-02           C072800200209 
199.        10.        29.0        2.351E-01    1.8E-02           C072800200210 
199.        10.        30.0        1.947E-01    1.7E-02           C072800200211 
199.        10.        31.0        2.353E-01    1.7E-02           C072800200212 
199.        10.        32.0        1.547E-01    1.7E-02           C072800200213 
199.        10.        33.0        1.696E-01    1.7E-02           C072800200214 
199.        10.        34.0        1.951E-01    1.7E-02           C072800200215 
199.        10.        35.0        1.555E-01    1.7E-02           C072800200216 
199.        10.        36.0        1.954E-01    1.7E-02           C072800200217 
199.        10.        37.0        1.498E-01    1.7E-02           C072800200218 
199.        10.        38.0        1.421E-01    1.7E-02           C072800200219 
199.        10.        39.0        1.555E-01    1.6E-02           C072800200220 
199.        10.        40.0        1.164E-01    1.6E-02           C072800200221 
199.        10.        41.0        1.234E-01    1.6E-02           C072800200222 
199.        10.        42.0        1.101E-01    1.6E-02           C072800200223 
199.        10.        43.0        1.170E-01    1.6E-02           C072800200224 
199.        10.        44.0        9.576E-02    1.6E-02           C072800200225 
199.        10.        45.0        1.099E-01    1.6E-02           C072800200226 
199.        10.        46.0        1.040E-01    1.6E-02           C072800200227 
199.        10.        47.0        8.639E-02    1.6E-02           C072800200228 
199.        10.        48.0        9.096E-02    1.6E-02           C072800200229 
199.        10.        49.0        1.113E-01    1.6E-02           C072800200230 
199.        10.        50.0        1.029E-01    1.6E-02           C072800200231 
199.        10.        51.0        1.045E-01    1.6E-02           C072800200232 
199.        10.        52.0        5.495E-02    1.5E-02           C072800200233 
199.        10.        53.0        1.063E-01    1.6E-02           C072800200234 
199.        10.        54.0        7.450E-02    1.5E-02           C072800200235 
199.        10.        55.0        1.138E-01    1.6E-02           C072800200236 
199.        10.        56.0        7.653E-02    1.5E-02           C072800200237 
199.        10.        57.0        6.817E-02    1.5E-02           C072800200238 
199.        10.        58.0        7.477E-02    1.6E-02           C072800200239 
199.        10.        59.0        7.061E-02    1.7E-02           C072800200240 
199.        10.        60.0        6.126E-02    1.6E-02           C072800200241 
199.        10.        61.0        5.532E-02    1.6E-02           C072800200242 
199.        10.        62.0        6.721E-02    1.7E-02           C072800200243 
199.        10.        63.0        6.487E-02    1.7E-02           C072800200244 
199.        10.        64.0        4.683E-02    1.7E-02           C072800200245 
199.        10.        65.0        4.029E-02    1.8E-02           C072800200246 
199.        16.       -10.0        4.025E-03    1.6E-03           C072800200247 
199.        16.        -9.0        6.694E-03    1.6E-03           C072800200248 
199.        16.        -8.0       -4.298E-04    1.8E-03           C072800200249 
199.        16.        -7.0        5.788E-03    2.2E-03           C072800200250 
199.        16.        -6.0        4.111E-03    2.5E-03           C072800200251 
199.        16.        -5.0        1.691E-03    3.3E-03           C072800200252 
199.        16.        -4.0        4.039E-03    3.5E-03           C072800200253 
199.        16.        -3.0        4.077E-03    3.7E-03           C072800200254 
199.        16.        -2.0        6.795E-03    3.9E-03           C072800200255 
199.        16.        -1.0        7.333E-04    4.2E-03           C072800200256 
199.        16.         0.0        1.271E-02    4.3E-03           C072800200257 
199.        16.         1.0        9.200E-03    4.6E-03           C072800200258 
199.        16.         2.0        3.032E-02    5.1E-03           C072800200259 
199.        16.         3.0        8.567E-02    5.6E-03           C072800200260 
199.        16.         4.0        1.418E-01    6.1E-03           C072800200261 
199.        16.         5.0        1.839E-01    6.5E-03           C072800200262 
199.        16.         6.0        2.512E-01    7.0E-03           C072800200263 
199.        16.         7.0        2.878E-01    7.6E-03           C072800200264 
199.        16.         8.0        3.469E-01    7.9E-03           C072800200265 
199.        16.         9.0        3.919E-01    8.3E-03           C072800200266 
199.        16.        10.0        3.960E-01    8.7E-03           C072800200267 
199.        16.        11.0        4.454E-01    8.9E-03           C072800200268 
199.        16.        12.0        4.571E-01    8.9E-03           C072800200269 
199.        16.        13.0        4.701E-01    9.1E-03           C072800200270 
199.        16.        14.0        4.504E-01    9.3E-03           C072800200271 
199.        16.        15.0        4.757E-01    9.4E-03           C072800200272 
199.        16.        16.0        4.523E-01    9.5E-03           C072800200273 
199.        16.        17.0        4.811E-01    9.6E-03           C072800200274 
199.        16.        18.0        4.485E-01    9.7E-03           C072800200275 
199.        16.        19.0        4.346E-01    9.6E-03           C072800200276 
199.        16.        20.0        4.161E-01    9.7E-03           C072800200277 
199.        16.        21.0        4.070E-01    9.7E-03           C072800200278 
199.        16.        22.0        3.967E-01    9.9E-03           C072800200279 
199.        16.        23.0        3.608E-01    9.8E-03           C072800200280 
199.        16.        24.0        3.580E-01    1.0E-02           C072800200281 
199.        16.        25.0        3.317E-01    1.0E-02           C072800200282 
199.        16.        26.0        3.318E-01    9.9E-03           C072800200283 
199.        16.        27.0        3.099E-01    9.9E-03           C072800200284 
199.        16.        28.0        2.816E-01    1.0E-02           C072800200285 
199.        16.        29.0        2.756E-01    1.0E-02           C072800200286 
199.        16.        30.0        2.721E-01    1.0E-02           C072800200287 
199.        16.        31.0        2.555E-01    1.0E-02           C072800200288 
199.        16.        32.0        2.468E-01    1.0E-02           C072800200289 
199.        16.        33.0        2.179E-01    1.0E-02           C072800200290 
199.        16.        34.0        2.139E-01    1.0E-02           C072800200291 
199.        16.        35.0        1.856E-01    1.0E-02           C072800200292 
199.        16.        36.0        2.171E-01    1.0E-02           C072800200293 
199.        16.        37.0        1.777E-01    1.0E-02           C072800200294 
199.        16.        38.0        1.793E-01    1.0E-02           C072800200295 
199.        16.        39.0        1.583E-01    1.0E-02           C072800200296 
199.        16.        40.0        1.606E-01    1.0E-02           C072800200297 
199.        16.        41.0        1.613E-01    1.0E-02           C072800200298 
199.        16.        42.0        1.576E-01    9.9E-03           C072800200299 
199.        16.        43.0        1.704E-01    9.8E-03           C072800200300 
199.        16.        44.0        1.402E-01    1.0E-02           C072800200301 
199.        16.        45.0        1.303E-01    9.8E-03           C072800200302 
199.        16.        46.0        1.137E-01    1.0E-02           C072800200303 
199.        16.        47.0        1.228E-01    9.8E-03           C072800200304 
199.        16.        48.0        1.197E-01    1.0E-02           C072800200305 
199.        16.        49.0        1.084E-01    9.9E-03           C072800200306 
199.        16.        50.0        1.280E-01    1.0E-02           C072800200307 
199.        16.        51.0        8.884E-02    1.0E-02           C072800200308 
199.        16.        52.0        8.901E-02    1.0E-02           C072800200309 
199.        16.        53.0        8.823E-02    1.0E-02           C072800200310 
199.        16.        54.0        8.913E-02    1.0E-02           C072800200311 
199.        16.        55.0        9.620E-02    1.0E-02           C072800200312 
199.        16.        56.0        1.070E-01    1.0E-02           C072800200313 
199.        16.        57.0        8.125E-02    1.0E-02           C072800200314 
199.        16.        58.0        8.239E-02    1.0E-02           C072800200315 
199.        16.        59.0        9.304E-02    1.0E-02           C072800200316 
199.        16.        60.0        8.621E-02    1.0E-02           C072800200317 
199.        16.        61.0        8.314E-02    1.1E-02           C072800200318 
199.        16.        62.0        7.757E-02    1.1E-02           C072800200319 
199.        20.       -10.0        4.497E-03    2.3E-03           C072800200320 
199.        20.        -9.0        2.021E-03    2.4E-03           C072800200321 
199.        20.        -8.0        1.191E-03    2.8E-03           C072800200322 
199.        20.        -7.0        1.249E-02    3.2E-03           C072800200323 
199.        20.        -6.0       -4.640E-03    3.3E-03           C072800200324 
199.        20.        -5.0        1.642E-04    3.3E-03           C072800200325 
199.        20.        -4.0       -2.512E-03    3.6E-03           C072800200326 
199.        20.        -3.0        9.183E-03    3.8E-03           C072800200327 
199.        20.        -2.0        1.176E-02    4.0E-03           C072800200328 
199.        20.        -1.0        1.398E-02    4.1E-03           C072800200329 
199.        20.         0.0        8.109E-03    4.2E-03           C072800200330 
199.        20.         1.0        1.325E-02    4.4E-03           C072800200331 
199.        20.         2.0        2.275E-02    4.8E-03           C072800200332 
199.        20.         3.0        4.296E-02    5.0E-03           C072800200333 
199.        20.         4.0        7.601E-02    5.6E-03           C072800200334 
199.        20.         5.0        1.172E-01    6.0E-03           C072800200335 
199.        20.         6.0        1.390E-01    6.4E-03           C072800200336 
199.        20.         7.0        1.784E-01    7.0E-03           C072800200337 
199.        20.         8.0        2.205E-01    7.5E-03           C072800200338 
199.        20.         9.0        2.571E-01    7.7E-03           C072800200339 
199.        20.        10.0        2.832E-01    8.0E-03           C072800200340 
199.        20.        11.0        3.109E-01    8.2E-03           C072800200341 
199.        20.        12.0        3.398E-01    8.5E-03           C072800200342 
199.        20.        13.0        3.698E-01    8.7E-03           C072800200343 
199.        20.        14.0        3.883E-01    8.9E-03           C072800200344 
199.        20.        15.0        3.795E-01    8.9E-03           C072800200345 
199.        20.        16.0        4.056E-01    9.1E-03           C072800200346 
199.        20.        17.0        4.324E-01    9.4E-03           C072800200347 
199.        20.        18.0        4.145E-01    9.5E-03           C072800200348 
199.        20.        19.0        4.268E-01    9.5E-03           C072800200349 
199.        20.        20.0        4.153E-01    9.5E-03           C072800200350 
199.        20.        21.0        4.137E-01    9.7E-03           C072800200351 
199.        20.        22.0        4.160E-01    9.8E-03           C072800200352 
199.        20.        23.0        4.138E-01    9.8E-03           C072800200353 
199.        20.        24.0        4.044E-01    9.9E-03           C072800200354 
199.        20.        25.0        3.964E-01    9.9E-03           C072800200355 
199.        20.        26.0        3.821E-01    9.9E-03           C072800200356 
199.        20.        27.0        3.746E-01    1.0E-02           C072800200357 
199.        20.        28.0        3.578E-01    1.0E-02           C072800200358 
199.        20.        29.0        3.559E-01    1.0E-02           C072800200359 
199.        20.        30.0        3.221E-01    1.0E-02           C072800200360 
199.        20.        31.0        3.381E-01    1.0E-02           C072800200361 
199.        20.        32.0        3.041E-01    1.0E-02           C072800200362 
