ENTRY            E2568   20180419                             E115E256800000001 
SUBENT        E2568001   20180419                             E115E256800100001 
BIB                 11         29                                 E256800100002 
TITLE      Measurement of nuclear reaction cross sections by      E256800100003 
           using Cherenkov radiation toward high-precision proton E256800100004 
           therapy                                                E256800100005 
AUTHOR     (T.Masuda, J.Kataoka, M.Arimoto, M.Takabe, T.Nishio,   E256800100006 
            K.Matsushita, T.Miyake, S.Yamamoto, T.Inaniwa,        E256800100007 
            T.Toshito)                                            E256800100008 
INSTITUTE  (2JPNWDA) Graduate School of Advanced Science and      E256800100009 
                     Engineering                                  E256800100010 
           (2JPNJPN) Department of Medical Physics, Tokyo Women's E256800100011 
                     Medical University, Tokyo                    E256800100012 
           (2JPNKYP) Department of Radiology                      E256800100013 
           (2JPNYOK) Graduate School of Science                   E256800100014 
           (2JPNNAG) Graduate School of Medicine                  E256800100015 
           (2JPNIRS) Department of Accelerator and Medical        E256800100016 
                     Physics                                      E256800100017 
           (2JPNJPN) Nagoya Proton Therapy Center, Nagoya         E256800100018 
REFERENCE  (J,PR/C,8,2570,2018)                                   E256800100019 
MONITOR    ((MONIT)8-O-16(P,X)8-O-15,,SIG)                        E256800100020 
SAMPLE     - Chemical-form of target is SiO2.                     E256800100021 
           - Physical-form of target is solid.                    E256800100022 
METHOD     Detection of Cerenkov radiation from beta+ ray         E256800100023 
FACILITY   (ISOCY,2JPNIRS) AVF930                                 E256800100024 
DETECTOR   (CEREN) To detect Cerenkov radiation from beta+ ray    E256800100025 
ERR-ANALYS (DATA-ERR) The error includes both the statistical and E256800100026 
                      systematic uncertainties.                   E256800100027 
           (EN-ERR) corresponding to 1-sigma values of the        E256800100028 
                    Gaussian function                             E256800100029 
HISTORY    (20180213R) Received from T.Masuda                     E256800100030 
           (20180319C) Ichiko                                     E256800100031 
ENDBIB              29          0                                 E256800100032 
COMMON               2          3                                 E256800100033 
EN-NRM     MONIT                                                  E256800100034 
MEV        MB                                                     E256800100035 
 35.        76.8                                                  E256800100036 
ENDCOMMON            3          0                                 E256800100037 
ENDSUBENT           36          0                                 E256800199999 
SUBENT        E2568002   20180419                             E115E256800200001 
BIB                  2          3                                 E256800200002 
REACTION   (8-O-16(P,X)8-O-15,,SIG)                               E256800200003 
STATUS     (TABLE) Plotted in Fig.3 of Scientific Report 8        E256800200004 
                   (2018)2570                                     E256800200005 
ENDBIB               3          0                                 E256800200006 
NOCOMMON             0          0                                 E256800200007 
DATA                 5        161                                 E256800200008 
EN         +EN-ERR    -EN-ERR    DATA       DATA-ERR              E256800200009 
      55.98       0.43       0.50      63.60       1.60           E256800200066 
      55.70       0.44       0.51      63.94       1.61           E256800200067 
      55.43       0.44       0.51      64.22       1.61           E256800200068 
      55.15       0.44       0.52      64.50       1.62           E256800200069 
      54.86       0.45       0.52      64.69       1.62           E256800200070 
      54.57       0.45       0.53      64.73       1.62           E256800200071 
      54.28       0.46       0.53      64.76       1.62           E256800200072 
      53.99       0.46       0.54      64.80       1.63           E256800200073 
      53.72       0.47       0.54      64.79       1.63           E256800200074 
      53.44       0.47       0.55      64.83       1.63           E256800200075 
      53.15       0.47       0.55      64.92       1.63           E256800200076 
      52.86       0.48       0.56      65.05       1.63           E256800200077 
      52.56       0.48       0.56      65.30       1.64           E256800200078 
      52.26       0.49       0.57      65.57       1.64           E256800200079 
      51.96       0.49       0.57      65.88       1.65           E256800200080 
      51.67       0.50       0.58      66.25       1.66           E256800200081 
      51.37       0.50       0.59      66.55       1.66           E256800200082 
      51.06       0.51       0.59      66.78       1.67           E256800200083 
      50.77       0.51       0.60      66.97       1.68           E256800200084 
      50.48       0.52       0.60      67.06       1.68           E256800200085 
      50.16       0.52       0.61      67.12       1.68           E256800200086 
      49.85       0.53       0.61      67.22       1.68           E256800200087 
      49.54       0.53       0.62      67.32       1.68           E256800200088 
      49.23       0.54       0.62      67.45       1.69           E256800200089 
      48.92       0.54       0.63      67.65       1.69           E256800200090 
      48.61       0.55       0.63      67.91       1.70           E256800200091 
      48.31       0.55       0.65      68.22       1.70           E256800200092 
      48.00       0.55       0.65      68.46       1.71           E256800200093 
      47.69       0.55       0.66      68.59       1.71           E256800200094 
      47.37       0.56       0.66      68.60       1.71           E256800200095 
      47.04       0.57       0.67      68.64       1.71           E256800200096 
      46.72       0.58       0.67      68.75       1.72           E256800200097 
      46.40       0.58       0.68      68.93       1.72           E256800200098 
      46.07       0.59       0.69      69.19       1.73           E256800200099 
      45.73       0.59       0.69      69.39       1.73           E256800200100 
      45.40       0.60       0.70      69.59       1.74           E256800200101 
      45.08       0.60       0.71      69.74       1.74           E256800200102 
      44.75       0.61       0.71      69.88       1.74           E256800200103 
      44.41       0.61       0.72      70.02       1.74           E256800200104 
      44.08       0.62       0.73      70.18       1.75           E256800200105 
      43.74       0.62       0.73      70.35       1.75           E256800200106 
      43.40       0.63       0.74      70.52       1.76           E256800200107 
      43.07       0.64       0.75      70.76       1.76           E256800200108 
      42.73       0.64       0.76      71.06       1.77           E256800200109 
      42.38       0.65       0.76      71.39       1.78           E256800200110 
      42.02       0.65       0.76      71.74       1.79           E256800200111 
      41.65       0.66       0.76      72.09       1.79           E256800200112 
      41.30       0.67       0.78      72.33       1.80           E256800200113 
      40.96       0.67       0.78      72.49       1.80           E256800200114 
      40.61       0.67       0.79      72.63       1.80           E256800200115 
      40.26       0.68       0.80      72.80       1.81           E256800200116 
      39.89       0.69       0.81      73.08       1.81           E256800200117 
      39.51       0.69       0.82      73.44       1.82           E256800200118 
      39.15       0.70       0.82      73.82       1.83           E256800200119 
      38.78       0.71       0.83      74.21       1.84           E256800200120 
      38.40       0.71       0.84      74.59       1.85           E256800200121 
      38.04       0.72       0.85      74.94       1.86           E256800200122 
      37.67       0.73       0.86      75.37       1.87           E256800200123 
      37.28       0.73       0.87      75.84       1.88           E256800200124 
      36.90       0.74       0.88      76.31       1.89           E256800200125 
      36.52       0.75       0.89      76.68       1.90           E256800200126 
      36.11       0.76       0.90      76.80       1.90           E256800200127 
      35.71       0.77       0.91      76.74       1.90           E256800200128 
      35.31       0.77       0.92      76.57       1.89           E256800200129 
      34.90       0.78       0.94      76.43       1.89           E256800200130 
      34.52       0.79       0.94      76.33       1.89           E256800200131 
      34.12       0.80       0.95      76.29       1.89           E256800200132 
      33.69       0.81       0.97      76.27       1.89           E256800200133 
      33.28       0.82       0.98      76.25       1.89           E256800200134 
      32.87       0.83       0.99      76.13       1.88           E256800200135 
      32.41       0.84       1.01      75.94       1.88           E256800200136 
      31.98       0.85       1.02      75.54       1.87           E256800200137 
      31.58       0.86       1.03      74.81       1.85           E256800200138 
      31.13       0.87       1.05      73.91       1.83           E256800200139 
      30.67       0.88       1.06      72.81       1.81           E256800200140 
      30.23       0.89       1.08      71.50       1.78           E256800200141 
      29.77       0.90       1.10      69.97       1.74           E256800200142 
      29.30       0.91       1.11      68.20       1.70           E256800200143 
      28.86       0.92       1.13      66.00       1.65           E256800200144 
      28.39       0.94       1.15      63.88       1.62           E256800200145 
      27.90       0.95       1.17      61.63       1.57           E256800200146 
      27.41       0.97       1.19      58.86       1.50           E256800200147 
      26.89       0.98       1.22      56.00       1.44           E256800200148 
      26.39       1.00       1.24      52.97       1.38           E256800200149 
      25.90       1.01       1.26      49.79       1.30           E256800200150 
      25.39       1.03       1.28      46.28       1.21           E256800200151 
      24.86       1.05       1.31      42.45       1.12           E256800200152 
      24.30       1.07       1.34      38.51       1.03           E256800200153 
      23.74       1.08       1.38      34.72       0.95           E256800200154 
      23.19       1.10       1.41      30.95       0.86           E256800200155 
      22.67       1.12       1.44      27.60       0.79           E256800200156 
      22.11       1.15       1.47      24.45       0.71           E256800200157 
      21.51       1.17       1.51      21.41       0.64           E256800200158 
      20.89       1.20       1.56      18.50       0.57           E256800200159 
      20.26       1.22       1.61      15.75       0.51           E256800200160 
      19.65       1.25       1.66      13.22       0.46           E256800200161 
      19.02       1.28       1.72      11.00       0.41           E256800200162 
      18.36       1.31       1.78       9.05       0.37           E256800200163 
      17.67       1.35       1.85       7.33       0.34           E256800200164 
      16.94       1.39       1.94       5.89       0.31           E256800200165 
      16.21       1.43       2.04       4.67       0.28           E256800200166 
      15.46       1.47       2.15       3.59       0.26           E256800200167 
      14.66       1.52       2.28       2.68       0.24           E256800200168 
      13.83       1.58       2.44       1.87       0.23           E256800200169 
      12.94       1.65       2.66       1.16       0.21           E256800200170 
      11.98       1.72       2.93       0.54       0.20           E256800200171 
ENDDATA            163          0                                 E256800200172 
ENDSUBENT          171          0                                 E256800299999 
SUBENT        E2568003   20180419                             E115E256800300001 
BIB                  2          3                                 E256800300002 
REACTION   (8-O-16(P,X)7-N-13,,SIG)                               E256800300003 
STATUS     (TABLE) Plotted in Fig.3 of Scientific Report 8        E256800300004 
                   (2018)2570                                     E256800300005 
ENDBIB               3          0                                 E256800300006 
NOCOMMON             0          0                                 E256800300007 
DATA                 5        167                                 E256800300008 
EN         +EN-ERR    -EN-ERR    DATA       DATA-ERR              E256800300009 
MEV        MEV        MEV        MB         MB                    E256800300010 
      69.93       0.19       0.22       5.85       0.19           E256800300011 
      69.69       0.19       0.23       5.92       0.19           E256800300012 
      69.46       0.20       0.23       5.94       0.20           E256800300013 
      69.22       0.20       0.24       5.90       0.19           E256800300014 
      68.98       0.21       0.25       5.88       0.19           E256800300015 
      68.75       0.22       0.25       5.89       0.19           E256800300016 
      68.52       0.22       0.26       5.93       0.19           E256800300017 
      68.28       0.22       0.26       6.00       0.19           E256800300018 
      68.04       0.23       0.27       6.08       0.20           E256800300019 
      67.81       0.23       0.27       6.10       0.20           E256800300020 
      67.57       0.24       0.28       6.11       0.19           E256800300021 
      67.33       0.24       0.28       6.08       0.19           E256800300022 
      67.09       0.25       0.28       6.00       0.19           E256800300023 
      66.85       0.25       0.29       5.96       0.19           E256800300024 
      66.61       0.25       0.29       5.92       0.19           E256800300025 
      66.38       0.26       0.30       5.92       0.19           E256800300026 
      66.13       0.26       0.30       5.94       0.19           E256800300027 
      65.89       0.27       0.31       5.96       0.19           E256800300028 
      65.65       0.27       0.32       5.98       0.19           E256800300029 
      65.41       0.27       0.33       5.97       0.19           E256800300030 
      65.15       0.28       0.33       5.88       0.19           E256800300031 
      64.90       0.29       0.34       5.79       0.19           E256800300032 
      64.66       0.29       0.34       5.75       0.19           E256800300033 
      64.41       0.30       0.35       5.77       0.20           E256800300034 
      64.16       0.30       0.35       5.88       0.19           E256800300035 
      63.91       0.30       0.36       6.10       0.20           E256800300036 
      63.65       0.31       0.36       6.18       0.20           E256800300037 
      63.40       0.31       0.37       6.15       0.20           E256800300038 
      63.15       0.32       0.37       6.25       0.20           E256800300039 
      62.89       0.32       0.38       6.32       0.20           E256800300040 
      62.63       0.33       0.38       6.36       0.20           E256800300041 
      62.38       0.33       0.39       6.41       0.21           E256800300042 
      62.12       0.33       0.39       6.40       0.21           E256800300043 
      61.87       0.34       0.40       6.35       0.21           E256800300044 
      61.61       0.34       0.40       6.28       0.21           E256800300045 
      61.35       0.35       0.41       6.19       0.21           E256800300046 
      61.09       0.35       0.41       6.16       0.20           E256800300047 
      60.83       0.36       0.42       6.19       0.20           E256800300048 
      60.57       0.36       0.42       6.23       0.20           E256800300049 
      60.31       0.36       0.43       6.26       0.21           E256800300050 
      60.04       0.37       0.43       6.26       0.21           E256800300051 
      59.78       0.37       0.43       6.17       0.21           E256800300052 
      59.51       0.38       0.44       6.10       0.20           E256800300053 
      59.25       0.38       0.44       6.07       0.20           E256800300054 
      58.98       0.39       0.45       5.99       0.20           E256800300055 
      58.71       0.39       0.45       5.93       0.20           E256800300056 
      58.44       0.39       0.46       5.91       0.19           E256800300057 
      58.17       0.40       0.46       5.94       0.20           E256800300058 
      57.89       0.40       0.47       6.02       0.20           E256800300059 
      57.63       0.41       0.47       6.07       0.20           E256800300060 
      57.36       0.41       0.48       6.10       0.20           E256800300061 
      57.08       0.41       0.48       6.12       0.20           E256800300062 
      56.81       0.42       0.49       6.08       0.20           E256800300063 
      56.54       0.42       0.49       6.10       0.20           E256800300064 
      56.26       0.43       0.50       6.14       0.20           E256800300065 
      55.98       0.43       0.50       6.08       0.20           E256800300066 
      55.70       0.44       0.51       6.04       0.20           E256800300067 
      55.43       0.44       0.51       6.01       0.20           E256800300068 
      55.15       0.44       0.52       5.89       0.20           E256800300069 
      54.86       0.45       0.52       5.80       0.20           E256800300070 
      54.57       0.45       0.53       5.83       0.20           E256800300071 
      54.28       0.46       0.53       5.83       0.20           E256800300072 
      53.99       0.46       0.54       5.81       0.20           E256800300073 
      53.72       0.47       0.54       5.85       0.20           E256800300074 
      53.44       0.47       0.55       5.87       0.20           E256800300075 
      53.15       0.47       0.55       5.84       0.20           E256800300076 
      52.86       0.48       0.56       5.86       0.20           E256800300077 
      52.56       0.48       0.56       5.86       0.20           E256800300078 
      52.26       0.49       0.57       5.92       0.20           E256800300079 
      51.96       0.49       0.57       5.89       0.20           E256800300080 
      51.67       0.50       0.58       5.70       0.19           E256800300081 
      51.37       0.50       0.59       5.47       0.19           E256800300082 
      51.06       0.51       0.59       5.36       0.19           E256800300083 
      50.77       0.51       0.60       5.32       0.19           E256800300084 
      50.48       0.52       0.60       5.48       0.19           E256800300085 
      50.16       0.52       0.61       5.73       0.20           E256800300086 
      49.85       0.53       0.61       5.81       0.19           E256800300087 
      49.54       0.53       0.62       5.90       0.20           E256800300088 
      49.23       0.54       0.62       5.96       0.20           E256800300089 
      48.92       0.54       0.63       5.92       0.20           E256800300090 
      48.61       0.55       0.63       5.77       0.20           E256800300091 
      48.31       0.55       0.65       5.59       0.19           E256800300092 
      48.00       0.55       0.65       5.44       0.19           E256800300093 
      47.69       0.55       0.66       5.39       0.19           E256800300094 
      47.37       0.56       0.66       5.39       0.19           E256800300095 
      47.04       0.57       0.67       5.37       0.19           E256800300096 
      46.72       0.58       0.67       5.33       0.19           E256800300097 
      46.40       0.58       0.68       5.29       0.19           E256800300098 
      46.07       0.59       0.69       5.21       0.19           E256800300099 
      45.73       0.59       0.69       5.19       0.19           E256800300100 
      45.40       0.60       0.70       5.17       0.19           E256800300101 
      45.08       0.60       0.71       5.08       0.19           E256800300102 
      44.75       0.61       0.71       5.06       0.19           E256800300103 
      44.41       0.61       0.72       5.00       0.18           E256800300104 
      44.08       0.62       0.73       4.88       0.18           E256800300105 
      43.74       0.62       0.73       4.84       0.18           E256800300106 
      43.40       0.63       0.74       4.79       0.18           E256800300107 
      43.07       0.64       0.75       4.72       0.17           E256800300108 
      42.73       0.64       0.76       4.64       0.18           E256800300109 
      42.38       0.65       0.76       4.59       0.18           E256800300110 
      42.02       0.65       0.76       4.58       0.18           E256800300111 
      41.65       0.66       0.76       4.51       0.17           E256800300112 
      41.30       0.67       0.78       4.39       0.17           E256800300113 
      40.96       0.67       0.78       4.32       0.17           E256800300114 
      40.61       0.67       0.79       4.24       0.17           E256800300115 
      40.26       0.68       0.80       4.16       0.16           E256800300116 
      39.89       0.69       0.81       4.08       0.16           E256800300117 
      39.51       0.69       0.82       3.96       0.16           E256800300118 
      39.15       0.70       0.82       3.81       0.16           E256800300119 
      38.78       0.71       0.83       3.72       0.15           E256800300120 
      38.40       0.71       0.84       3.74       0.15           E256800300121 
      38.04       0.72       0.85       3.77       0.15           E256800300122 
      37.67       0.73       0.86       3.67       0.15           E256800300123 
      37.28       0.73       0.87       3.53       0.15           E256800300124 
      36.90       0.74       0.88       3.34       0.15           E256800300125 
      36.52       0.75       0.89       3.14       0.15           E256800300126 
      36.11       0.76       0.90       3.11       0.14           E256800300127 
      35.71       0.77       0.91       3.15       0.13           E256800300128 
      35.31       0.77       0.92       3.22       0.13           E256800300129 
      34.90       0.78       0.94       3.23       0.13           E256800300130 
      34.52       0.79       0.94       3.14       0.12           E256800300131 
      34.12       0.80       0.95       3.00       0.12           E256800300132 
      33.69       0.81       0.97       2.81       0.12           E256800300133 
      33.28       0.82       0.98       2.63       0.11           E256800300134 
      32.87       0.83       0.99       2.52       0.11           E256800300135 
      32.41       0.84       1.01       2.45       0.11           E256800300136 
      31.98       0.85       1.02       2.46       0.11           E256800300137 
      31.58       0.86       1.03       2.51       0.11           E256800300138 
      31.13       0.87       1.05       2.51       0.11           E256800300139 
      30.67       0.88       1.06       2.55       0.10           E256800300140 
      30.23       0.89       1.08       2.62       0.10           E256800300141 
      29.77       0.90       1.10       2.74       0.10           E256800300142 
      29.30       0.91       1.11       3.05       0.11           E256800300143 
      28.86       0.92       1.13       3.65       0.12           E256800300144 
      28.39       0.94       1.15       3.95       0.13           E256800300145 
      27.90       0.95       1.17       4.11       0.13           E256800300146 
      27.41       0.97       1.19       4.65       0.14           E256800300147 
      26.89       0.98       1.22       4.94       0.15           E256800300148 
      26.39       1.00       1.24       5.08       0.16           E256800300149 
      25.90       1.01       1.26       5.11       0.16           E256800300150 
      25.39       1.03       1.28       5.37       0.16           E256800300151 
      24.86       1.05       1.31       5.93       0.16           E256800300152 
      24.30       1.07       1.34       6.62       0.18           E256800300153 
      23.74       1.08       1.38       7.14       0.20           E256800300154 
      23.19       1.10       1.41       7.94       0.21           E256800300155 
      22.67       1.12       1.44       8.53       0.23           E256800300156 
      22.11       1.15       1.47       9.31       0.25           E256800300157 
      21.51       1.17       1.51      10.46       0.27           E256800300158 
      20.89       1.20       1.56      11.90       0.30           E256800300159 
      20.26       1.22       1.61      13.66       0.35           E256800300160 
      19.65       1.25       1.66      15.56       0.39           E256800300161 
      19.02       1.28       1.72      17.45       0.44           E256800300162 
      18.36       1.31       1.78      19.26       0.48           E256800300163 
      17.67       1.35       1.85      20.92       0.52           E256800300164 
      16.94       1.39       1.94      22.22       0.56           E256800300165 
      16.21       1.43       2.04      23.02       0.58           E256800300166 
      15.46       1.47       2.15      23.30       0.58           E256800300167 
      14.66       1.52       2.28      22.84       0.57           E256800300168 
      13.83       1.58       2.44      21.63       0.54           E256800300169 
      12.94       1.65       2.66      19.80       0.50           E256800300170 
      11.98       1.72       2.93      17.57       0.44           E256800300171 
      11.07       1.80       3.20      15.11       0.38           E256800300172 
      10.13       1.88       3.47      12.56       0.32           E256800300173 
       9.03       1.98       3.69      10.25       0.27           E256800300174 
       7.93       2.09       3.69       8.49       0.23           E256800300175 
       6.80       2.21       3.48       7.41       0.21           E256800300176 
       5.65       2.32       3.14       7.19       0.23           E256800300177 
ENDDATA            169          0                                 E256800300178 
ENDSUBENT          177          0                                 E256800399999 
SUBENT        E2568004   20180419                             E115E256800400001 
BIB                  2          3                                 E256800400002 
REACTION   (8-O-16(P,X)6-C-11,,SIG)                               E256800400003 
STATUS     (TABLE) Plotted in Fig.3 of Scientific Report 8        E256800400004 
                   (2018)2570                                     E256800400005 
ENDBIB               3          0                                 E256800400006 
NOCOMMON             0          0                                 E256800400007 
DATA                 5        133                                 E256800400008 
EN         +EN-ERR    -EN-ERR    DATA       DATA-ERR              E256800400009 
MEV        MEV        MEV        MB         MB                    E256800400010 
      69.93       0.19       0.22      17.23       0.44           E256800400011 
      69.69       0.19       0.23      17.18       0.44           E256800400012 
      69.46       0.20       0.23      16.92       0.43           E256800400013 
      69.22       0.20       0.24      16.73       0.43           E256800400014 
      68.98       0.21       0.25      16.57       0.42           E256800400015 
      68.75       0.22       0.25      16.48       0.42           E256800400016 
      68.52       0.22       0.26      16.49       0.42           E256800400017 
      68.28       0.22       0.26      16.42       0.42           E256800400018 
      68.04       0.23       0.27      16.34       0.42           E256800400019 
      67.81       0.23       0.27      16.39       0.42           E256800400020 
      67.57       0.24       0.28      16.51       0.42           E256800400021 
      67.33       0.24       0.28      16.79       0.43           E256800400022 
      67.09       0.25       0.28      17.15       0.43           E256800400023 
      66.85       0.25       0.29      17.42       0.44           E256800400024 
      66.61       0.25       0.29      17.62       0.45           E256800400025 
      66.38       0.26       0.30      17.60       0.45           E256800400026 
      66.13       0.26       0.30      17.44       0.44           E256800400027 
      65.89       0.27       0.31      17.33       0.44           E256800400028 
      65.65       0.27       0.32      17.25       0.44           E256800400029 
      65.41       0.27       0.33      17.34       0.44           E256800400030 
      65.15       0.28       0.33      17.66       0.45           E256800400031 
      64.90       0.29       0.34      17.95       0.45           E256800400032 
      64.66       0.29       0.34      18.08       0.46           E256800400033 
      64.41       0.30       0.35      18.15       0.46           E256800400034 
      64.16       0.30       0.35      18.09       0.46           E256800400035 
      63.91       0.30       0.36      17.80       0.45           E256800400036 
      63.65       0.31       0.36      17.83       0.45           E256800400037 
      63.40       0.31       0.37      18.00       0.46           E256800400038 
      63.15       0.32       0.37      17.83       0.45           E256800400039 
      62.89       0.32       0.38      17.69       0.45           E256800400040 
      62.63       0.33       0.38      17.62       0.45           E256800400041 
      62.38       0.33       0.39      17.57       0.45           E256800400042 
      62.12       0.33       0.39      17.74       0.45           E256800400043 
      61.87       0.34       0.40      18.02       0.46           E256800400044 
      61.61       0.34       0.40      18.33       0.47           E256800400045 
      61.35       0.35       0.41      18.67       0.48           E256800400046 
      61.09       0.35       0.41      18.87       0.48           E256800400047 
      60.83       0.36       0.42      18.84       0.48           E256800400048 
      60.57       0.36       0.42      18.80       0.48           E256800400049 
      60.31       0.36       0.43      18.80       0.48           E256800400050 
      60.04       0.37       0.43      18.81       0.48           E256800400051 
      59.78       0.37       0.43      18.96       0.48           E256800400052 
      59.51       0.38       0.44      19.13       0.49           E256800400053 
      59.25       0.38       0.44      19.20       0.49           E256800400054 
      58.98       0.39       0.45      19.32       0.49           E256800400055 
      58.71       0.39       0.45      19.50       0.49           E256800400056 
      58.44       0.39       0.46      19.63       0.50           E256800400057 
      58.17       0.40       0.46      19.64       0.50           E256800400058 
      57.89       0.40       0.47      19.62       0.50           E256800400059 
      57.63       0.41       0.47      19.64       0.50           E256800400060 
      57.36       0.41       0.48      19.64       0.50           E256800400061 
      57.08       0.41       0.48      19.65       0.50           E256800400062 
      56.81       0.42       0.49      19.82       0.50           E256800400063 
      56.54       0.42       0.49      19.92       0.50           E256800400064 
      56.26       0.43       0.50      20.01       0.51           E256800400065 
      55.98       0.43       0.50      20.25       0.51           E256800400066 
      55.70       0.44       0.51      20.45       0.52           E256800400067 
