ENTRY            E0078   20181127                             E119E007800000001 
SUBENT        E0078001   20181127                             E119E007800100001 
BIB                 13         19                                 E007800100002 
TITLE      Measurement and semi-phenomenological analysis of the  E007800100003 
           2H(a,pa)n reaction at 18 MeV                           E007800100004 
AUTHOR     (K.Sagara, T.Motobayashi, N.Takahashi, Y.Hashimoto,    E007800100005 
            M.Hara, Y.Nogami, H.Nakamura, H.Noya)                 E007800100006 
INSTITUTE  (2JPNTOK) Department of Physics                        E007800100007 
           (2JPNAOY) College of Science and Engineering           E007800100008 
           (2JPNHOS) Department of Physics                        E007800100009 
REFERENCE  (J,NP/A,299,77,1978)                                   E007800100010 
PART-DET   (P,A)                                                  E007800100011 
INC-SOURCE Beam intensity is 30 to 100 nA.                        E007800100012 
SAMPLE     - Chemical-form of target is element. (CD2)N           E007800100013 
           - Physical-form of target is solid.                    E007800100014 
           - Target-thickness is 0.25 to 0.4 mg/cm2.              E007800100015 
METHOD     (COINC,EDE)                                            E007800100016 
FACILITY   (CYCLO,2JPNIPC)                                        E007800100017 
DETECTOR   (SI) Two Si-SSD detectors are used.                    E007800100018 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   E007800100019 
ADD-RES    (COMP) PWIA (Plane wave impulse approximation)         E007800100020 
HISTORY    (20110511C) NK, AM                                     E007800100021 
ENDBIB              19          0                                 E007800100022 
COMMON               1          3                                 E007800100023 
EN                                                                E007800100024 
MEV                                                               E007800100025 
 18.                                                              E007800100026 
ENDCOMMON            3          0                                 E007800100027 
ENDSUBENT           26          0                                 E007800199999 
SUBENT        E0078002   20181127                             E119E007800200001 
BIB                  4          8                                 E007800200002 
REACTION   (1-H-2(A,N+P)2-HE-4,,DA/DA/DE,P/A/P)                   E007800200003 
EN-SEC     - ANG1 is polar angle (lab.) between beam and proton   E007800200004 
           - ANG2 is polar angle (lab.) between beam and A        E007800200005 
           (E,P)                                                  E007800200006 
COMMENT    On the upper kinetic locus on (Ep,Ea) plane. See also  E007800200007 
           fig1.                                                  E007800200008 
STATUS     (CURVE) Fig.3, 4 and 5 - top panel of Nucl. Phys. A    E007800200009 
                   299(1978)77                                    E007800200010 
ENDBIB               8          0                                 E007800200011 
NOCOMMON             0          0                                 E007800200012 
DATA                 5        744                                 E007800200013 
ANG1       ANG2       E          DATA       DATA-ERR              E007800200014 
       46.5       18.0       2.85      19.79       3.90           E007800200056 
       46.5       18.0       3.02      20.08       4.20           E007800200057 
       46.5       18.0       3.18      20.37       3.90           E007800200058 
       46.5       18.0       3.35      20.96       3.90           E007800200059 
       46.5       18.0       3.49      23.00       3.55           E007800200060 
       46.5       18.0       3.66      20.34       3.60           E007800200061 
       46.5       18.0       3.81      25.72       4.20           E007800200062 
       46.5       18.0       3.98      29.31       4.50           E007800200063 
       46.5       18.0       4.13      34.39       4.80           E007800200064 
       46.5       18.0       4.28      44.87       5.40           E007800200065 
       46.5       18.0       4.43      44.56       5.69           E007800200066 
       46.5       18.0       4.61      46.95       5.69           E007800200067 
       46.5       18.0       4.75      46.64       5.10           E007800200068 
       46.5       18.0       4.92      40.94       4.80           E007800200069 
       46.5       18.0       5.08      36.13       5.39           E007800200070 
       46.5       18.0       5.23      36.12       5.09           E007800200071 
       46.5       18.0       5.39      37.91       5.40           E007800200072 
       46.5       18.0       5.54      40.59       5.69           E007800200073 
       46.5       18.0       5.71      21.70       3.60           E007800200074 
       46.1        8.8       1.37      30.65       3.82           E007800200075 
       46.1        8.8       1.51      85.57       7.62           E007800200076 
       46.1        8.8       1.65     110.00       8.38           E007800200077 
       46.1        8.8       1.80     115.40       8.38           E007800200078 
       46.1        8.8       1.95     134.50       8.38           E007800200079 
       46.1        8.8       2.11     147.60       9.14           E007800200080 
       46.1        8.8       2.26     156.00       9.90           E007800200081 
       46.1        8.8       2.41     176.60      10.66           E007800200082 
       46.1        8.8       2.58     186.60       9.91           E007800200083 
       46.1        8.8       2.73     173.00       9.90           E007800200084 
       46.1        8.8       2.88     173.10       9.14           E007800200085 
       46.1        8.8       3.03     180.70       9.92           E007800200086 
       46.1        8.8       3.20     182.30       9.90           E007800200087 
       46.1        8.8       3.34     179.40       8.39           E007800200088 
       46.1        8.8       3.51     166.50       9.90           E007800200089 
       46.1        8.8       3.67     154.40       8.38           E007800200090 
       46.1        8.8       3.80     134.60       8.39           E007800200091 
       46.1        8.8       3.96     125.50       8.38           E007800200092 
       46.1        8.8       4.11     122.60       7.62           E007800200093 
       46.1        8.8       4.27     105.10       7.63           E007800200094 
       46.1        8.8       4.44      99.10       6.09           E007800200095 
       46.1        8.8       4.57      86.97       7.63           E007800200096 
       46.1        8.8       4.73      77.90       6.86           E007800200097 
       46.1        8.8       4.88      76.44       6.85           E007800200098 
       46.1        8.8       5.04      61.27       6.09           E007800200099 
       46.1        8.8       5.19      48.39       5.33           E007800200100 
       46.1        8.8       5.34      45.41       5.32           E007800200101 
       46.1        8.8       5.50      28.72       5.32           E007800200102 
       46.1        8.8       5.66       8.22                      E007800200103 
       44.0       11.2       1.52      17.96       4.57           E007800200104 
       44.0       11.2       1.70      34.58       5.72           E007800200105 
       44.0       11.2       1.86      42.64       5.71           E007800200106 
       44.0       11.2       2.03      47.83       6.28           E007800200107 
       44.0       11.2       2.20      55.89       5.71           E007800200108 
       44.0       11.2       2.35      69.08       6.28           E007800200109 
       44.0       11.2       2.52      80.56       6.28           E007800200110 
       44.0       11.2       2.70      85.76       6.85           E007800200111 
       44.0       11.2       2.88      89.82       8.56           E007800200112 
       44.0       11.2       3.06      97.88       8.56           E007800200113 
       44.0       11.2       3.23     101.40       8.57           E007800200114 
       44.0       11.2       3.40     116.80       8.56           E007800200115 
       44.0       11.2       3.58     119.80       8.00           E007800200116 
       44.0       11.2       3.75     113.50       8.57           E007800200117 
       44.0       11.2       3.92     120.40       9.13           E007800200118 
       44.0       11.2       4.10     122.20       8.57           E007800200119 
       44.0       11.2       4.26     109.10       8.57           E007800200120 
       44.0       11.2       4.46      97.22       8.56           E007800200121 
       44.0       11.2       4.63      89.85       7.43           E007800200122 
       44.0       11.2       4.81      86.49       7.42           E007800200123 
       44.0       11.2       5.00      78.55       6.85           E007800200124 
       44.0       11.2       5.17      66.62       7.42           E007800200125 
       44.0       11.2       5.36      50.69       6.85           E007800200126 
       44.0       11.2       5.54      34.19       5.14           E007800200127 
       44.0       11.2       5.71      28.54       4.00           E007800200128 
       44.0       11.2       5.90      26.89       4.57           E007800200129 
       44.0       11.2       6.07      18.95       4.00           E007800200130 
       42.5       13.5       1.52      17.96       4.57           E007800200131 
       42.5       13.5       1.70      34.58       5.72           E007800200132 
       42.5       13.5       1.86      42.64       5.71           E007800200133 
       42.5       13.5       2.03      47.83       6.28           E007800200134 
       42.5       13.5       2.20      55.89       5.71           E007800200135 
       42.5       13.5       2.35      69.08       6.28           E007800200136 
       42.5       13.5       2.52      80.56       6.28           E007800200137 
       42.5       13.5       2.70      85.76       6.85           E007800200138 
       42.5       13.5       2.88      89.82       8.56           E007800200139 
       42.5       13.5       3.06      97.88       8.56           E007800200140 
       42.5       13.5       3.23     101.40       8.57           E007800200141 
       42.5       13.5       3.40     116.80       8.56           E007800200142 
       42.5       13.5       3.58     119.80       8.00           E007800200143 
       42.5       13.5       3.75     113.50       8.57           E007800200144 
       42.5       13.5       3.92     120.40       9.13           E007800200145 
       42.5       13.5       4.10     122.20       8.57           E007800200146 
       42.5       13.5       4.26     109.10       8.57           E007800200147 
       42.5       13.5       4.46      97.22       8.56           E007800200148 
       42.5       13.5       4.63      89.85       7.43           E007800200149 
       42.5       13.5       4.81      86.49       7.42           E007800200150 
       42.5       13.5       5.00      78.55       6.85           E007800200151 
       42.5       13.5       5.17      66.62       7.42           E007800200152 
       42.5       13.5       5.36      50.69       6.85           E007800200153 
       42.5       13.5       5.54      34.19       5.14           E007800200154 
       42.5       13.5       5.71      28.54       4.00           E007800200155 
       42.5       13.5       5.90      26.89       4.57           E007800200156 
       42.5       13.5       6.07      18.95       4.00           E007800200157 
       42.4       10.3       1.13      13.81       3.06           E007800200158 
       42.4       10.3       1.30      23.02       5.36           E007800200159 
       42.4       10.3       1.45      33.77       5.36           E007800200160 
       42.4       10.3       1.60      35.33       6.12           E007800200161 
       42.4       10.3       1.77      38.43       6.89           E007800200162 
       42.4       10.3       1.92      45.35       7.66           E007800200163 
       42.4       10.3       2.07      63.75       8.42           E007800200164 
       42.4       10.3       2.24      82.15       9.19           E007800200165 
       42.4       10.3       2.39      86.78       9.95           E007800200166 
       42.4       10.3       2.54     105.20      10.71           E007800200167 
       42.4       10.3       2.69     119.00      11.48           E007800200168 
       42.4       10.3       2.86     112.10       9.95           E007800200169 
       42.4       10.3       3.01     125.20      11.48           E007800200170 
       42.4       10.3       3.14     145.90      11.48           E007800200171 
       42.4       10.3       3.31     137.50      11.48           E007800200172 
       42.4       10.3       3.48     149.00      10.71           E007800200173 
       42.4       10.3       3.62     150.60      13.02           E007800200174 
       42.4       10.3       3.79     135.30      11.49           E007800200175 
       42.4       10.3       3.96     133.00      10.72           E007800200176 
       42.4       10.3       4.09     125.40      11.48           E007800200177 
       42.4       10.3       4.26     133.10      10.71           E007800200178 
       42.4       10.3       4.41     132.30      11.48           E007800200179 
       42.4       10.3       4.57     107.90      10.71           E007800200180 
       42.4       10.3       4.74     107.10       9.95           E007800200181 
       42.4       10.3       4.89     104.90      10.72           E007800200182 
       42.4       10.3       5.06      93.42      10.72           E007800200183 
       42.4       10.3       5.21      84.26       9.19           E007800200184 
       42.4       10.3       5.39      73.58       7.66           E007800200185 
       42.4       10.3       5.52      52.93       6.90           E007800200186 
       42.4       10.3       5.69      33.83       6.89           E007800200187 
       42.4       10.3       5.84      34.62       6.12           E007800200188 
       42.4       10.3       6.02      32.36       6.12           E007800200189 
       42.4       10.3       6.17      20.90       5.36           E007800200190 
       42.4       10.3       6.32      11.75       4.59           E007800200191 
       42.4       10.3       6.49       3.36       3.06           E007800200192 
       40.5       21.0       1.80       5.16       2.40           E007800200193 
       40.5       21.0       1.97       6.05       2.71           E007800200194 
       40.5       21.0       2.13       6.33       2.40           E007800200195 
       40.5       21.0       2.29       8.71       2.40           E007800200196 
       40.5       21.0       2.46      11.10       3.00           E007800200197 
       40.5       21.0       2.61      10.78       2.70           E007800200198 
       40.5       21.0       2.77      13.77       2.40           E007800200199 
       40.5       21.0       2.92      17.66       3.30           E007800200200 
       40.5       21.0       3.10      17.94       3.30           E007800200201 
       40.5       21.0       3.25      18.22       3.61           E007800200202 
       40.5       21.0       3.39      17.91       3.01           E007800200203 
       40.5       21.0       3.57      14.28       3.00           E007800200204 
       40.5       21.0       3.72      13.66       3.30           E007800200205 
       40.5       21.0       3.88      16.05       3.61           E007800200206 
       40.5       21.0       4.05      15.73       3.31           E007800200207 
       40.5       21.0       4.21      18.12       2.70           E007800200208 
       40.5       21.0       4.37      19.00       3.00           E007800200209 
       40.5       21.0       4.52      15.68       3.31           E007800200210 
       40.5       21.0       4.68      18.07       3.00           E007800200211 
       40.5       21.0       4.83      22.86       3.61           E007800200212 
       40.5       21.0       4.98      24.04       3.61           E007800200213 
       40.5       21.0       5.15      29.43       4.51           E007800200214 
       40.5       21.0       5.30      44.13       4.81           E007800200215 
       40.5       21.0       5.46      75.06       6.91           E007800200216 
       40.5       21.0       5.63     104.50       7.81           E007800200217 
       40.5       21.0       5.77      90.64       6.91           E007800200218 
       40.5       21.0       5.94      41.06       5.11           E007800200219 
       36.8       11.0       1.99       7.02                      E007800200220 
       36.8       11.0       2.15      17.44       3.89           E007800200221 
       36.8       11.0       2.34      29.81       4.54           E007800200222 
       36.8       11.0       2.52      36.34       5.18           E007800200223 
       36.8       11.0       2.70      40.93       5.83           E007800200224 
       36.8       11.0       2.87      47.46       5.18           E007800200225 
       36.8       11.0       3.05      55.93       5.83           E007800200226 
       36.8       11.0       3.24      63.76       5.83           E007800200227 
       36.8       11.0       3.40      70.29       6.48           E007800200228 
       36.8       11.0       3.58      71.64       6.48           E007800200229 
       36.8       11.0       3.77      87.25       7.13           E007800200230 
       36.8       11.0       3.95     103.50       6.48           E007800200231 
       36.8       11.0       4.12     104.20       9.08           E007800200232 
       36.8       11.0       4.30     106.20       7.78           E007800200233 
       36.8       11.0       4.48     109.50       7.78           E007800200234 
       36.8       11.0       4.66     108.20       8.42           E007800200235 
       36.8       11.0       4.82     106.30       8.42           E007800200236 
       36.8       11.0       5.01     112.20       9.08           E007800200237 
       36.8       11.0       5.19     111.00       7.78           E007800200238 
       36.8       11.0       5.34      93.51       7.78           E007800200239 
       36.8       11.0       5.53      87.73       7.13           E007800200240 
       36.8       11.0       5.69      90.37       7.78           E007800200241 
       36.8       11.0       5.89      77.45       7.14           E007800200242 
       36.8       11.0       6.04      63.23       5.83           E007800200243 
       36.8       11.0       6.23      49.02       6.49           E007800200244 
       36.8       11.0       6.40      38.05       3.89           E007800200245 
       36.8       11.0       6.56      29.01       4.53           E007800200246 
       36.8       11.0       6.74      22.58       3.24           E007800200247 
       36.8       11.0       6.92      18.09       3.89           E007800200248 
       36.8       11.0       7.10      12.30       3.89           E007800200249 
       36.8       11.0       7.28       3.93                      E007800200250 
       35.3        8.0       1.00      44.70       3.24           E007800200251 
       35.3        8.0       1.13      42.77       5.83           E007800200252 
       35.3        8.0       1.24      48.61       7.12           E007800200253 
       35.3        8.0       1.38      53.17       7.13           E007800200254 
       35.3        8.0       1.49      48.00       7.13           E007800200255 
       35.3        8.0       1.62      39.59       5.83           E007800200256 
       35.3        8.0       1.75      42.85       8.42           E007800200257 
       35.3        8.0       1.86      47.40       5.83           E007800200258 
       35.3        8.0       2.01      57.78       7.77           E007800200259 
       35.3        8.0       2.11      63.13       9.41           E007800200260 
       35.3        8.0       2.21      52.63       7.77           E007800200261 
       35.3        8.0       2.34      53.94       7.77           E007800200262 
       35.3        8.0       2.49      42.30       8.42           E007800200263 
       35.3        8.0       2.60      37.78       6.48           E007800200264 
       35.3        8.0       2.71      55.28       9.72           E007800200265 
       35.3        8.0       2.84      55.30       9.07           E007800200266 
       35.3        8.0       2.97      52.08       9.07           E007800200267 
       35.3        8.0       3.11      60.52       7.12           E007800200268 
       35.3        8.0       3.21      67.65       7.77           E007800200269 
       35.3        8.0       3.32      72.85       9.07           E007800200270 
       35.3        8.0       3.43      72.87       8.42           E007800200271 
       35.3        8.0       3.56      69.00      10.36           E007800200272 
       35.3        8.0       3.69      71.60       9.72           E007800200273 
       35.3        8.0       3.81      86.52      11.66           E007800200274 
       35.3        8.0       3.94      98.84      12.30           E007800200275 
       35.3        8.0       4.06     110.40      12.34           E007800200276 
       35.3        8.0       4.18     109.20      11.66           E007800200277 
       35.3        8.0       4.31      93.71      10.36           E007800200278 
       35.3        8.0       4.42     100.80      12.31           E007800200279 
       35.3        8.0       4.53     117.10      12.31           E007800200280 
       35.3        8.0       4.68     128.10      10.37           E007800200281 
       35.3        8.0       4.79     131.30      13.60           E007800200282 
       35.3        8.0       4.90     117.10      11.66           E007800200283 
       35.3        8.0       5.03     102.90      11.66           E007800200284 
       35.3        8.0       5.14     104.20      11.66           E007800200285 
       35.3        8.0       5.27     121.00      12.31           E007800200286 
       35.3        8.0       5.38     119.80      12.96           E007800200287 
       35.3        8.0       5.51      96.46      11.01           E007800200288 
       35.3        8.0       5.62      93.23      11.01           E007800200289 
       35.3        8.0       5.75      82.88      11.66           E007800200290 
       35.3        8.0       5.88      73.83       9.72           E007800200291 
       35.3        8.0       6.00      58.93       8.82           E007800200292 
       35.3        8.0       6.11      56.37       8.42           E007800200293 
       35.3        8.0       6.22      51.20       8.42           E007800200294 
       35.3        8.0       6.35      40.21       6.48           E007800200295 
       35.3        8.0       6.48      42.53       8.23           E007800200296 
       35.3        8.0       6.57      48.01       8.42           E007800200297 
       35.3        8.0       6.72      46.73       7.77           E007800200298 
       35.3        8.0       6.83      29.91       7.38           E007800200299 
       35.3        8.0       6.96      16.97       4.53           E007800200300 
       35.3        8.0       7.07       8.56                      E007800200301 
       35.0       18.0       1.27       9.47       2.72           E007800200302 
       35.0       18.0       1.43       6.75       2.44           E007800200303 
       35.0       18.0       1.58       7.03       2.44           E007800200304 
       35.0       18.0       1.75       8.47       2.29           E007800200305 
       35.0       18.0       1.90       7.89       2.15           E007800200306 
       35.0       18.0       2.06       8.75       2.29           E007800200307 
       35.0       18.0       2.21      10.04       2.29           E007800200308 
       35.0       18.0       2.38      11.19       2.29           E007800200309 
       35.0       18.0       2.53      10.33       2.44           E007800200310 
       35.0       18.0       2.69      12.48       2.58           E007800200311 
       35.0       18.0       2.86      14.92       2.72           E007800200312 
       35.0       18.0       3.01      18.64       3.15           E007800200313 
       35.0       18.0       3.16      21.22       3.15           E007800200314 
       35.0       18.0       3.30      21.22       3.30           E007800200315 
       35.0       18.0       3.47      21.22       3.15           E007800200316 
       35.0       18.0       3.61      21.22       3.15           E007800200317 
       35.0       18.0       3.78      26.52       3.73           E007800200318 
       35.0       18.0       3.95      22.94       3.58           E007800200319 
       35.0       18.0       4.12      20.36       3.58           E007800200320 
       35.0       18.0       4.26      23.51       3.58           E007800200321 
       35.0       18.0       4.41      23.08       3.58           E007800200322 
       35.0       18.0       4.56      25.52       3.87           E007800200323 
       35.0       18.0       4.73      24.95       3.73           E007800200324 
       35.0       18.0       4.90      21.22       3.58           E007800200325 
       35.0       18.0       5.04      20.22       3.58           E007800200326 
       35.0       18.0       5.21      19.50       3.44           E007800200327 
       35.0       18.0       5.36      21.08       3.44           E007800200328 
       35.0       18.0       5.52      23.80       3.73           E007800200329 
       35.0       18.0       5.69      25.09       4.01           E007800200330 
       35.0       18.0       5.83      26.81       4.01           E007800200331 
       35.0       18.0       5.99      26.52       4.01           E007800200332 
       35.0       18.0       6.15      37.27       4.44           E007800200333 
       35.0       18.0       6.29      49.45       5.16           E007800200334 
       35.0       18.0       6.46      46.73       5.02           E007800200335 
       35.0       18.0       6.60      42.43       4.87           E007800200336 
       35.0       18.0       6.76      41.00       4.44           E007800200337 
       35.0       18.0       6.92      40.71       4.44           E007800200338 
       35.0       18.0       7.09      34.26       4.16           E007800200339 
       35.0       18.0       7.24      17.93       3.01           E007800200340 
       29.0        9.0       0.93      11.34                      E007800200341 
       29.0        9.0       1.09      11.29                      E007800200342 
       29.0        9.0       1.26       9.94                      E007800200343 
       29.0        9.0       1.42       9.89                      E007800200344 
       29.0        9.0       1.58      11.79                      E007800200345 
       29.0        9.0       1.74       9.79                      E007800200346 
       29.0        9.0       1.89      11.05                      E007800200347 
       29.0        9.0       2.07      12.29                      E007800200348 
       29.0        9.0       2.25      11.59                      E007800200349 
       29.0        9.0       2.41      12.84                      E007800200350 
       29.0        9.0       2.52      14.76                      E007800200351 
       29.0        9.0       2.70      14.70                      E007800200352 
       29.0        9.0       2.85      14.66                      E007800200353 
       29.0        9.0       2.98      15.92                      E007800200354 
       29.0        9.0       3.12      19.13                      E007800200355 
       29.0        9.0       3.25      21.69       3.25           E007800200356 
       29.0        9.0       3.37      25.56       3.26           E007800200357 
       29.0        9.0       3.50      30.08       4.56           E007800200358 
       29.0        9.0       3.66      37.84       4.56           E007800200359 
       29.0        9.0       3.83      44.95       6.51           E007800200360 
       29.0        9.0       3.97      50.77       5.21           E007800200361 
       29.0        9.0       4.14      54.62       6.51           E007800200362 
       29.0        9.0       4.28      67.60       5.85           E007800200363 
       29.0        9.0       4.45      78.61       6.51           E007800200364 
       29.0        9.0       4.61      84.42       7.16           E007800200365 
       29.0        9.0       4.78      97.39       7.82           E007800200366 
       29.0        9.0       4.93     115.60       9.11           E007800200367 
       29.0        9.0       5.09     120.70       7.81           E007800200368 
       29.0        9.0       5.25     118.70       9.11           E007800200369 
       29.0        9.0       5.41     121.90       9.11           E007800200370 
       29.0        9.0       5.58     130.30      10.42           E007800200371 
       29.0        9.0       5.74     139.40       9.77           E007800200372 
       29.0        9.0       5.89     143.30       9.11           E007800200373 
       29.0        9.0       6.05     136.10       7.81           E007800200374 
       29.0        9.0       6.21     125.60       8.46           E007800200375 
       29.0        9.0       6.35     115.80       7.81           E007800200376 
       29.0        9.0       6.51     108.60       9.11           E007800200377 
       29.0        9.0       6.66     107.20       9.12           E007800200378 
       29.0        9.0       6.84      94.80       6.51           E007800200379 
       29.0        9.0       6.98      75.88       6.51           E007800200380 
       29.0        9.0       7.15      68.66       5.86           E007800200381 
       29.0        9.0       7.30      59.50       6.51           E007800200382 
       29.0        9.0       7.44      45.14       5.86           E007800200383 
       29.0        9.0       7.60      32.72       5.21           E007800200384 
       29.0        9.0       7.76      30.06       3.91           E007800200385 
       29.0        9.0       7.91      26.76       5.21           E007800200386 
       29.0        9.0       8.05      15.65       3.91           E007800200387 
       29.0        9.0       8.21       4.53                      E007800200388 
       25.1       10.6       1.89       1.94                      E007800200389 
       25.1       10.6       2.11       3.24                      E007800200390 
       25.1       10.6       2.29       2.59                      E007800200391 
       25.1       10.6       2.47       3.24                      E007800200392 
       25.1       10.6       2.69       7.79                      E007800200393 
       25.1       10.6       2.87      12.34       2.60           E007800200394 
       25.1       10.6       3.03      11.69       3.25           E007800200395 
       25.1       10.6       3.23      13.64       3.90           E007800200396 
       25.1       10.6       3.40      20.80       4.55           E007800200397 
       25.1       10.6       3.58      21.45       4.55           E007800200398 
       25.1       10.6       3.76      22.10       4.55           E007800200399 
       25.1       10.6       3.94      33.80       5.85           E007800200400 
       25.1       10.6       4.11      39.66       5.85           E007800200401 
       25.1       10.6       4.29      44.21       7.15           E007800200402 
       25.1       10.6       4.47      50.06       7.15           E007800200403 
       25.1       10.6       4.65      59.82       7.80           E007800200404 
       25.1       10.6       4.82      76.07       7.80           E007800200405 
       25.1       10.6       5.00      89.08       9.11           E007800200406 
       25.1       10.6       5.18     106.00      10.41           E007800200407 
       25.1       10.6       5.34     127.50      11.06           E007800200408 
       25.1       10.6       5.55     132.70      11.06           E007800200409 
       25.1       10.6       5.71     132.00      11.71           E007800200410 
       25.1       10.6       5.87     141.80      11.71           E007800200411 
       25.1       10.6       6.07     145.70      11.06           E007800200412 
       25.1       10.6       6.23     137.90      11.71           E007800200413 
       25.1       10.6       6.40     132.70      10.41           E007800200414 
       25.1       10.6       6.57     126.80      10.41           E007800200415 
       25.1       10.6       6.76     109.90       9.76           E007800200416 
       25.1       10.6       6.94      98.84       9.76           E007800200417 
       25.1       10.6       7.10      83.88       8.45           E007800200418 
       25.1       10.6       7.29      72.82       8.45           E007800200419 
       25.1       10.6       7.45      76.07       8.45           E007800200420 
       25.1       10.6       7.63      74.12       7.80           E007800200421 
       25.1       10.6       7.81      65.02       8.45           E007800200422 
       25.1       10.6       7.98      52.01       8.45           E007800200423 
       25.1       10.6       8.16      39.01       6.50           E007800200424 
       25.1       10.6       8.34      27.30       4.55           E007800200425 
       25.1       10.6       8.50      18.85       4.55           E007800200426 
       25.1       10.6       8.68       9.09                      E007800200427 
       25.0       18.0       1.41       3.63       1.72           E007800200428 
       25.0       18.0       1.57       3.05       1.71           E007800200429 
       25.0       18.0       1.72       2.62       1.57           E007800200430 
       25.0       18.0       1.90       3.19       1.43           E007800200431 
       25.0       18.0       2.04       3.32       1.43           E007800200432 
