ENTRY            E2651   20200528                             E126E265100000001 
SUBENT        E2651001   20200528                             E126E265100100001 
BIB                 12         24                                 E265100100002 
TITLE      Low-energy-threshold detector for measuring proton     E265100100003 
           spectra at several tens of MeV using Bragg curve       E265100100004 
           spectroscopy                                           E265100100005 
AUTHOR     (Y.Yamaguchi, T.Sanami, Y.Koba, Y.Uozumi)              E265100100006 
INSTITUTE  (2JPNKYU)                                              E265100100007 
           (2JPNKEK)                                              E265100100008 
           (2JPNIRS)                                              E265100100009 
REFERENCE  (J,NIM/A,953,163158,2020)                              E265100100010 
PART-DET   (P)                                                    E265100100011 
INC-SOURCE Beam intensity is less than 15 nA.                     E265100100012 
METHOD     (EDE)                                                  E265100100013 
FACILITY   (CYCLO,2JPNIRS)                                        E265100100014 
DETECTOR   (IOCH,SIBAR,BGO)                                       E265100100015 
ERR-ANALYS (ERR-1,,10.) entrance window inhomogeneity (<10%)      E265100100016 
           (ERR-2,,5.) particle misidentification (<5%)           E265100100017 
           (ERR-3) beam current (2%)                              E265100100018 
           (ERR-4) target thickness (5%)                          E265100100019 
           (ERR-5) solid angle (5%)                               E265100100020 
           (ERR-S) Statistical uncertainty                        E265100100021 
STATUS     (TABLE) Data received by an email from the authors     E265100100022 
           (APRVD) Approved by Yuji Yamaguchi (2020-03-13)        E265100100023 
HISTORY    (20200312R) On. Received by e-mail from Yuji           E265100100024 
                       Yamaguchi.                                 E265100100025 
           (20200313C) On                                         E265100100026 
ENDBIB              24          0                                 E265100100027 
COMMON               3          3                                 E265100100028 
ERR-3      ERR-4      ERR-5                                       E265100100029 
PER-CENT   PER-CENT   PER-CENT                                    E265100100030 
 2.         5.         5.                                         E265100100031 
ENDCOMMON            3          0                                 E265100100032 
ENDSUBENT           31          0                                 E265100199999 
SUBENT        E2651002   20200528                             E126E265100200001 
BIB                  3          5                                 E265100200002 
REACTION   (6-C-0(P,X)1-H-1,,DA/DE)                               E265100200003 
EN-SEC     ANG is polar angle (lab.) between beam and proton      E265100200004 
           (E,P)                                                  E265100200005 
SAMPLE     - Chemical-form of target: polyethylene                E265100200006 
           - Target-thickness: 11 um thick                        E265100200007 
ENDBIB               5          0                                 E265100200008 
NOCOMMON             0          0                                 E265100200009 
DATA                 5        422                                 E265100200010 
EN         ANG        E          DATA       ERR-S                 E265100200011 
        40.       150.     25.500  0.288E+00  0.748E-02           E265100200171 
        40.       150.     26.500  0.146E-01  0.146E-02           E265100200172 
        40.       150.     27.500  0.222E-02  0.758E-03           E265100200173 
        40.       150.     28.500  0.417E-01  0.288E-02           E265100200174 
        40.       150.     29.500  0.555E-01  0.329E-02           E265100200175 
        40.       150.     30.500  0.169E-02  0.565E-03           E265100200176 
        40.       150.     31.500  0.962E-02  0.137E-02           E265100200177 
        40.       150.     32.500  0.188E-02  0.589E-03           E265100200178 
        40.       150.     33.500  0.216E-03  0.196E-03           E265100200179 
        40.       150.     34.500  0.212E-05  0.212E-05           E265100200180 
        40.       150.     35.500  0.000E+00  0.000E+00           E265100200181 
        40.       150.     36.500  0.196E-03  0.196E-03           E265100200182 
        40.       150.     37.500  0.200E-05  0.200E-05           E265100200183 
        40.       150.     38.500  0.000E+00  0.000E+00           E265100200184 
        40.       150.     39.500  0.000E+00  0.000E+00           E265100200185 
        40.       150.     40.500  0.000E+00  0.000E+00           E265100200186 
        70.        15.      1.500  0.167E+01  0.871E-01           E265100200187 
        70.        15.      1.700  0.209E+01  0.878E-01           E265100200188 
        70.        15.      1.900  0.195E+01  0.780E-01           E265100200189 
        70.        15.      6.250  0.212E+01  0.486E-01           E265100200190 
        70.        15.      6.750  0.212E+01  0.525E-01           E265100200191 
        70.        15.      7.250  0.211E+01  0.564E-01           E265100200192 
        70.        15.      9.500  0.181E+01  0.393E-01           E265100200193 
        70.        15.     10.500  0.190E+01  0.398E-01           E265100200194 
        70.        15.     11.500  0.185E+01  0.388E-01           E265100200195 
        70.        15.     12.500  0.164E+01  0.361E-01           E265100200196 
        70.        15.     13.500  0.183E+01  0.407E-01           E265100200197 
        70.        15.     14.500  0.204E+01  0.428E-01           E265100200198 
        70.        60.      0.100  0.000E+00  0.000E+00           E265100200199 
        70.        60.      0.300  0.000E+00  0.000E+00           E265100200200 
        70.        60.      0.500  0.000E+00  0.000E+00           E265100200201 
        70.        60.      0.700  0.000E+00  0.000E+00           E265100200202 
        70.        60.      0.900  0.127E+01  0.204E+00           E265100200203 
        70.        60.      1.300  0.143E+01  0.177E+00           E265100200204 
        70.        60.      1.500  0.127E+01  0.166E+00           E265100200205 
        70.        60.      1.700  0.119E+01  0.174E+00           E265100200206 
        70.        60.      1.900  0.122E+01  0.155E+00           E265100200207 
        70.        60.      3.250  0.118E+01  0.819E-01           E265100200208 
        70.        60.      3.750  0.119E+01  0.887E-01           E265100200209 
        70.        60.      4.250  0.132E+01  0.879E-01           E265100200210 
        70.        60.      4.750  0.134E+01  0.947E-01           E265100200211 
        70.        60.      5.250  0.118E+01  0.999E-01           E265100200212 
        70.        60.      5.750  0.110E+01  0.110E+00           E265100200213 
        70.        60.      6.250  0.144E+01  0.104E+00           E265100200214 
        70.        60.      6.750  0.140E+01  0.133E+00           E265100200215 
        70.        60.      7.250  0.124E+01  0.144E+00           E265100200216 
        70.        60.      7.750  0.124E+01  0.145E+00           E265100200217 
        70.        60.      9.500  0.815E+00  0.755E-01           E265100200218 
        70.        60.     10.500  0.729E+00  0.819E-01           E265100200219 
        70.        60.     11.500  0.691E+00  0.793E-01           E265100200220 
        70.        60.     12.500  0.623E+00  0.846E-01           E265100200221 
        70.        60.     13.500  0.582E+00  0.320E-01           E265100200222 
        70.        60.     14.500  0.606E+00  0.322E-01           E265100200223 
        70.        60.     15.500  0.568E+00  0.304E-01           E265100200224 
        70.        60.     16.500  0.573E+00  0.303E-01           E265100200225 
        70.        60.     17.500  0.585E+00  0.309E-01           E265100200226 
        70.        60.     18.500  0.551E+00  0.299E-01           E265100200227 
        70.        60.     19.500  0.568E+00  0.311E-01           E265100200228 
        70.        60.     20.500  0.589E+00  0.317E-01           E265100200229 
        70.        60.     21.500  0.773E+00  0.953E-01           E265100200230 
        70.        60.     22.500  0.706E+00  0.948E-01           E265100200231 
        70.        60.     23.500  0.839E+00  0.264E-01           E265100200232 
        70.        60.     24.500  0.728E+00  0.254E-01           E265100200233 
        70.        60.     25.500  0.732E+00  0.260E-01           E265100200234 
        70.        60.     26.500  0.699E+00  0.254E-01           E265100200235 
        70.        60.     27.500  0.653E+00  0.246E-01           E265100200236 
        70.        60.     28.500  0.610E+00  0.240E-01           E265100200237 
        70.        60.     29.500  0.592E+00  0.240E-01           E265100200238 
        70.        60.     30.500  0.596E+00  0.242E-01           E265100200239 
        70.        60.     31.500  0.572E+00  0.238E-01           E265100200240 
        70.        60.     32.500  0.564E+00  0.238E-01           E265100200241 
        70.        60.     33.500  0.547E+00  0.234E-01           E265100200242 
        70.        60.     34.500  0.564E+00  0.242E-01           E265100200243 
        70.        60.     35.500  0.507E+00  0.226E-01           E265100200244 
        70.        60.     36.500  0.477E+00  0.220E-01           E265100200245 
        70.        60.     37.500  0.459E+00  0.217E-01           E265100200246 
        70.        60.     38.500  0.480E+00  0.226E-01           E265100200247 
        70.        60.     39.500  0.443E+00  0.219E-01           E265100200248 
        70.        60.     40.500  0.381E+00  0.200E-01           E265100200249 
        70.        60.     41.500  0.382E+00  0.203E-01           E265100200250 
        70.        60.     42.500  0.454E+00  0.229E-01           E265100200251 
        70.        60.     43.500  0.494E+00  0.234E-01           E265100200252 
        70.        60.     44.500  0.546E+00  0.246E-01           E265100200253 
        70.        60.     45.500  0.511E+00  0.237E-01           E265100200254 
        70.        60.     46.500  0.400E+00  0.205E-01           E265100200255 
        70.        60.     47.500  0.258E+00  0.162E-01           E265100200256 
        70.        60.     48.500  0.263E+00  0.171E-01           E265100200257 
        70.        60.     49.500  0.323E+00  0.193E-01           E265100200258 
        70.        60.     50.500  0.323E+00  0.193E-01           E265100200259 
        70.        60.     51.500  0.338E+00  0.197E-01           E265100200260 
        70.        60.     52.500  0.260E+00  0.168E-01           E265100200261 
        70.        60.     53.500  0.290E+00  0.182E-01           E265100200262 
        70.        60.     54.500  0.521E+00  0.252E-01           E265100200263 
        70.        60.     55.500  0.466E+00  0.226E-01           E265100200264 
        70.        60.     56.500  0.168E+00  0.123E-01           E265100200265 
        70.        60.     57.500  0.851E-01  0.952E-02           E265100200266 
        70.        60.     58.500  0.140E+00  0.132E-01           E265100200267 
        70.        60.     59.500  0.469E+00  0.245E-01           E265100200268 
        70.        60.     60.500  0.628E+00  0.274E-01           E265100200269 
        70.        60.     61.500  0.176E+00  0.115E-01           E265100200270 
        70.        60.     62.500  0.943E-01  0.103E-01           E265100200271 
        70.        60.     63.500  0.388E+00  0.223E-01           E265100200272 
        70.        60.     64.500  0.683E+00  0.292E-01           E265100200273 
        70.        60.     65.500  0.237E+00  0.147E-01           E265100200274 
        70.        60.     66.500  0.344E-01  0.426E-02           E265100200275 
        70.        60.     67.500  0.217E-02  0.391E-03           E265100200276 
        70.        60.     68.500  0.532E-04  0.792E-05           E265100200277 
        70.        60.     69.500  0.559E-06  0.847E-07           E265100200278 
        70.        60.     70.500  0.226E-08  0.431E-09           E265100200279 
        70.        60.     71.500  0.304E-11  0.102E-11           E265100200280 
        70.        60.     72.500  0.000E+00  0.000E+00           E265100200281 
        70.       120.      1.300  0.150E+01  0.430E-01           E265100200282 
        70.       120.      1.500  0.152E+01  0.434E-01           E265100200283 
        70.       120.      1.700  0.144E+01  0.436E-01           E265100200284 
        70.       120.      1.900  0.143E+01  0.430E-01           E265100200285 
        70.       120.      2.100  0.137E+01  0.390E-01           E265100200286 
        70.       120.      2.300  0.139E+01  0.376E-01           E265100200287 
        70.       120.      2.500  0.126E+01  0.342E-01           E265100200288 
        70.       120.      2.700  0.125E+01  0.336E-01           E265100200289 
        70.       120.      2.900  0.120E+01  0.328E-01           E265100200290 
        70.       120.      3.100  0.124E+01  0.320E-01           E265100200291 
        70.       120.      4.250  0.868E+00  0.144E-01           E265100200292 
        70.       120.      4.750  0.836E+00  0.140E-01           E265100200293 
        70.       120.      5.250  0.771E+00  0.141E-01           E265100200294 
        70.       120.      5.750  0.708E+00  0.145E-01           E265100200295 
        70.       120.      6.250  0.600E+00  0.139E-01           E265100200296 
        70.       120.      7.500  0.493E+00  0.877E-02           E265100200297 
        70.       120.      8.500  0.439E+00  0.834E-02           E265100200298 
        70.       120.      9.500  0.415E+00  0.679E-02           E265100200299 
        70.       120.     10.500  0.359E+00  0.635E-02           E265100200300 
        70.       120.     11.500  0.315E+00  0.599E-02           E265100200301 
        70.       120.     12.500  0.273E+00  0.560E-02           E265100200302 
        70.       120.     13.500  0.245E+00  0.524E-02           E265100200303 
        70.       120.     14.500  0.220E+00  0.498E-02           E265100200304 
        70.       120.     15.500  0.199E+00  0.476E-02           E265100200305 
        70.       120.     16.500  0.173E+00  0.449E-02           E265100200306 
        70.       120.     17.500  0.159E+00  0.433E-02           E265100200307 
        70.       120.     18.500  0.156E+00  0.427E-02           E265100200308 
        70.       120.     19.500  0.139E+00  0.399E-02           E265100200309 
        70.       120.     20.500  0.125E+00  0.382E-02           E265100200310 
        70.       120.     21.500  0.115E+00  0.368E-02           E265100200311 
        70.       120.     22.500  0.101E+00  0.340E-02           E265100200312 
        70.       120.     23.500  0.996E-01  0.409E-02           E265100200313 
        70.       120.     24.500  0.962E-01  0.404E-02           E265100200314 
        70.       120.     25.500  0.831E-01  0.375E-02           E265100200315 
        70.       120.     26.500  0.749E-01  0.356E-02           E265100200316 
        70.       120.     27.500  0.681E-01  0.340E-02           E265100200317 
        70.       120.     28.500  0.631E-01  0.327E-02           E265100200318 
        70.       120.     29.500  0.512E-01  0.297E-02           E265100200319 
        70.       120.     30.500  0.466E-01  0.283E-02           E265100200320 
        70.       120.     31.500  0.404E-01  0.261E-02           E265100200321 
        70.       120.     32.500  0.379E-01  0.254E-02           E265100200322 
        70.       120.     33.500  0.374E-01  0.253E-02           E265100200323 
        70.       120.     34.500  0.331E-01  0.238E-02           E265100200324 
        70.       120.     35.500  0.306E-01  0.229E-02           E265100200325 
        70.       120.     36.500  0.231E-01  0.417E-02           E265100200326 
        70.       120.     37.500  0.168E-01  0.360E-02           E265100200327 
        70.       120.     38.500  0.121E-01  0.312E-02           E265100200328 
        70.       120.     39.500  0.110E-01  0.137E-02           E265100200329 
        70.       120.     40.500  0.944E-02  0.128E-02           E265100200330 
        70.       120.     41.500  0.103E-01  0.136E-02           E265100200331 
        70.       120.     42.500  0.107E-01  0.136E-02           E265100200332 
        70.       120.     43.500  0.665E-02  0.107E-02           E265100200333 
        70.       120.     44.500  0.589E-02  0.101E-02           E265100200334 
        70.       120.     45.500  0.518E-02  0.944E-03           E265100200335 
        70.       120.     46.500  0.357E-02  0.784E-03           E265100200336 
        70.       120.     47.500  0.286E-02  0.701E-03           E265100200337 
        70.       120.     48.500  0.391E-03  0.247E-03           E265100200338 
        70.       120.     49.500  0.615E-02  0.104E-02           E265100200339 
        70.       120.     50.500  0.939E-02  0.128E-02           E265100200340 
        70.       120.     51.500  0.100E-02  0.393E-03           E265100200341 
        70.       120.     52.500  0.363E-03  0.247E-03           E265100200342 
        70.       120.     53.500  0.281E-02  0.703E-03           E265100200343 
        70.       120.     54.500  0.215E-02  0.608E-03           E265100200344 
        70.       120.     55.500  0.258E-04  0.745E-05           E265100200345 
        70.       120.     56.500  0.000E+00  0.000E+00           E265100200346 
        70.       120.     57.500  0.176E-03  0.176E-03           E265100200347 
        70.       120.     58.500  0.215E-05  0.215E-05           E265100200348 
        70.       120.     59.500  0.000E+00  0.000E+00           E265100200349 
        70.       120.     60.500  0.000E+00  0.000E+00           E265100200350 
        70.       120.     61.500  0.000E+00  0.000E+00           E265100200351 
        70.       120.     62.500  0.000E+00  0.000E+00           E265100200352 
        70.       120.     63.500  0.000E+00  0.000E+00           E265100200353 
        70.       120.     64.500  0.000E+00  0.000E+00           E265100200354 
        70.       120.     65.500  0.000E+00  0.000E+00           E265100200355 
        70.       120.     66.500  0.000E+00  0.000E+00           E265100200356 
        70.       120.     67.500  0.000E+00  0.000E+00           E265100200357 
        70.       120.     68.500  0.000E+00  0.000E+00           E265100200358 
        70.       120.     69.500  0.000E+00  0.000E+00           E265100200359 
        70.       120.     70.500  0.000E+00  0.000E+00           E265100200360 
        70.       150.      1.100  0.128E+01  0.415E-01           E265100200361 
        70.       150.      1.300  0.137E+01  0.366E-01           E265100200362 
        70.       150.      1.500  0.139E+01  0.340E-01           E265100200363 
        70.       150.      1.700  0.137E+01  0.323E-01           E265100200364 
        70.       150.      1.900  0.138E+01  0.386E-01           E265100200365 
        70.       150.      4.750  0.694E+00  0.145E-01           E265100200366 
        70.       150.      5.250  0.680E+00  0.148E-01           E265100200367 
        70.       150.      5.750  0.616E+00  0.148E-01           E265100200368 
        70.       150.      6.250  0.583E+00  0.162E-01           E265100200369 
        70.       150.      6.750  0.509E+00  0.157E-01           E265100200370 
        70.       150.      7.500  0.422E+00  0.905E-02           E265100200371 
        70.       150.      8.500  0.349E+00  0.825E-02           E265100200372 
        70.       150.      9.500  0.311E+00  0.783E-02           E265100200373 
        70.       150.     10.500  0.265E+00  0.722E-02           E265100200374 
        70.       150.     11.500  0.229E+00  0.676E-02           E265100200375 
