 2.9         2.590E+01  4.917E+01  5.660E+00                      E010300200184 
 2.9         3.067E+01  4.069E+01  5.683E+00                      E010300200185 
 2.9         3.545E+01  3.207E+01  4.670E+00                      E010300200186 
 2.9         4.107E+01  3.371E+01  3.461E+00                      E010300200187 
 2.9         4.645E+01  2.643E+01  3.357E+00                      E010300200188 
 2.9         5.170E+01  4.507E+01  4.630E+00                      E010300200189 
 2.9         5.675E+01  4.004E+01  4.343E+00                      E010300200190 
 2.9         6.124E+01  3.021E+01  3.662E+00                      E010300200191 
 2.9         6.628E+01  1.168E+01  1.201E+00                      E010300200192 
 2.9         7.180E+01  9.107E+00  8.287E-01                      E010300200193 
 2.9         7.688E+01  1.760E+01  1.699E+00                      E010300200194 
 2.9         8.257E+01  1.211E+01  1.169E+00                      E010300200195 
 2.9         9.660E+01  6.465E+00  7.038E-01                      E010300200196 
ENDDATA            182          0                                 E010300200197 
ENDSUBENT          196          0                                 E010300299999 
SUBENT        E0103003   20091023                             E060E010300300001 
BIB                  5          8                                 E010300300002 
REACTION   (40-ZR-92(D,A)39-Y-90,PAR,DA)                          E010300300003 
EN-SEC     ANG-CM is polar angle (c.m.) between beam and alpha    E010300300004 
           (E-LVL,39-Y-90)                                        E010300300005 
LEVEL-PROP (39-Y-90,E-LVL=0.68,SPIN=7.,PARITY=+1.)                E010300300006 
ERR-ANALYS (DATA-ERR) Relative uncertainty due to counting        E010300300007 
                      statistics, subtraction of background and   E010300300008 
                      separation of unresolved levels             E010300300009 
STATUS     (CURVE) Scanned from Fig.3, p519 of reference          E010300300010 
ENDBIB               8          0                                 E010300300011 
COMMON               1          3                                 E010300300012 
E-LVL                                                             E010300300013 
MEV                                                               E010300300014 
 0.68                                                             E010300300015 
ENDCOMMON            3          0                                 E010300300016 
DATA                 3         16                                 E010300300017 
ANG-CM     DATA-CM    DATA-ERR                                    E010300300018 
ADEG       MU-B/SR    MU-B/SR                                     E010300300019 
 17.9        8.240E+00  1.700E+00                                 E010300300020 
 22.8        1.320E+01  3.260E+00                                 E010300300021 
 28.2        8.660E+00  1.570E+00                                 E010300300022 
 33.2        9.360E+00  2.460E+00                                 E010300300023 
 38.6        6.960E+00  1.270E+00                                 E010300300024 
 44.2        5.140E+00  1.020E+00                                 E010300300025 
 49.2        5.340E+00  8.460E-01                                 E010300300026 
 55.4        1.000E+00  3.430E-01                                 E010300300027 
 59.8        2.090E+00  4.980E-01                                 E010300300028 
 64.6        3.110E+00  4.690E-01                                 E010300300029 
 69.8        2.280E+00  4.700E-01                                 E010300300030 
 74.4        3.970E+00  7.220E-01                                 E010300300031 
 80.1        2.370E+00  5.060E-01                                 E010300300032 
 85.4        1.330E+00  3.170E-01                                 E010300300033 
 91.1        1.160E+00  2.020E-01                                 E010300300034 
 96.7        8.870E-01  1.340E-01                                 E010300300035 
ENDDATA             18          0                                 E010300300036 
ENDSUBENT           35          0                                 E010300399999 
SUBENT        E0103004   20091023                             E060E010300400001 
BIB                  5          9                                 E010300400002 
REACTION   (40-ZR-96(D,A)39-Y-94,PAR,DA)                          E010300400003 
EN-SEC     ANG-CM is polar angle (c.m.) between beam and alpha    E010300400004 
           (E-LVL,39-Y-94)                                        E010300400005 
SAMPLE     - Target enrichment is 75.3%.                          E010300400006 
           - Target-thickness is 0.205 mg/cm**2.                  E010300400007 
ERR-ANALYS (DATA-ERR) Relative uncertainty due to counting        E010300400008 
                      statistics, subtraction of background and   E010300400009 
                      separation of unresolved levels             E010300400010 
STATUS     (CURVE) Scanned from Fig.5, p520 of reference          E010300400011 
ENDBIB               9          0                                 E010300400012 
NOCOMMON             0          0                                 E010300400013 
DATA                 4        151                                 E010300400014 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         E010300400015 
MEV        ADEG       MU-B/SR    MU-B/SR                          E010300400016 
 0.          1.516E+01  1.219E+02  1.844E+01                      E010300400017 
 0.          2.106E+01  1.615E+02  2.044E+01                      E010300400018 
 0.          2.621E+01  1.357E+02  1.552E+01                      E010300400019 
 0.          3.063E+01  1.002E+02  1.329E+01                      E010300400020 
 0.          3.634E+01  7.845E+01                                 E010300400021 
 0.          4.136E+01  7.308E+01                                 E010300400022 
 0.          4.594E+01  7.304E+01                                 E010300400023 
 0.          5.140E+01  8.405E+01  1.013E+01                      E010300400024 
 0.          5.697E+01  6.727E+01                                 E010300400025 
 0.          6.138E+01  4.382E+01  5.010E+00                      E010300400026 
 0.          6.723E+01  2.933E+01  4.255E+00                      E010300400027 
 0.          7.183E+01  3.375E+01  4.070E+00                      E010300400028 
 0.          7.700E+01  4.012E+01  4.595E+00                      E010300400029 
 0.          8.188E+01  4.469E+01                                 E010300400030 
 0.          8.716E+01  3.141E+01  3.592E+00                      E010300400031 
 0.          9.170E+01  1.604E+01  2.126E+00                      E010300400032 
 0.          9.727E+01  1.270E+01  1.224E+00                      E010300400033 
 0.          1.018E+02  1.126E+01  1.086E+00                      E010300400034 
 0.          1.074E+02  1.332E+01  1.444E+00                      E010300400035 
 0.          1.120E+02  1.549E+01  1.865E+00                      E010300400036 
 0.          1.173E+02  1.187E+01  1.504E+00                      E010300400037 
 0.          1.216E+02  8.436E+00  9.651E-01                      E010300400038 
 0.          1.266E+02  5.993E+00  6.138E-01                      E010300400039 
 0.          1.322E+02  3.841E+00  6.050E-01                      E010300400040 
 0.          1.372E+02  3.676E+00  4.429E-01                      E010300400041 
