ENTRY            E2431   20131029                             E081E243100000001 
SUBENT        E2431001   20131029                             E081E243100100001 
BIB                 10         29                                 E243100100002 
TITLE      Alpha-resonance structure in 11C studied via resonant  E243100100003 
           scattering of 7Be+alpha and with the 7Be(alpha,p)      E243100100004 
           reaction                                               E243100100005 
AUTHOR     (H.Yamaguchi, D.Kahl, Y.Wakabayashi, S.Kubono,         E243100100006 
            T.Hashimoto, S.Hayakawa, T.Kawabata, N.Iwasa,         E243100100007 
            T.Teranishi, Y.K.Kwon, D.N.Binh, L.H.Khiem, N.N.Duy)  E243100100008 
INSTITUTE  (2JPNTOK) Center for Nuclear Study                     E243100100009 
           (2JPNIPC)                                              E243100100010 
           (2JPNOSA) Research Center for Nuclear Physics          E243100100011 
           (2ITYLNS)                                              E243100100012 
           (2JPNKTO) Department of Physics                        E243100100013 
           (2JPNTOH) Department of Physics                        E243100100014 
           (2JPNKYU) Department of Physics                        E243100100015 
           (3KORKOR) Institute for Basic Science, Daejeon         E243100100016 
           (3VN IPH)                                              E243100100017 
REFERENCE  (J,PR/C,87,034303,2013)                                E243100100018 
INC-SOURCE Beam intensity is 2.0E+05 PPS.                         E243100100019 
SAMPLE     - Chemical-form of target is element.                  E243100100020 
           - Physical-form of target is gas.                      E243100100021 
           - Target-thickness: 815 Torr                           E243100100022 
METHOD     (EDE)                                                  E243100100023 
FACILITY   (ISOCY,2JPNIPC) AVF cyclotron                          E243100100024 
           (PRJFS,2JPNTOK) CNS radioactive ion beam separator     E243100100025 
                           (CRIB) at Center for Nuclear Study     E243100100026 
DETECTOR   (SI) dE-E detector to detect alpha particles           E243100100027 
           (NAICR) to detect gamma rays                           E243100100028 
HISTORY    (20130628C) V.D                                        E243100100029 
           (20130628R) Received by e-mail from Dr. H.Yamaguchi on E243100100030 
                       26.06.2013                                 E243100100031 
ENDBIB              29          0                                 E243100100032 
NOCOMMON             0          0                                 E243100100033 
ENDSUBENT           32          0                                 E243100199999 
SUBENT        E2431002   20131029                             E081E243100200001 
BIB                  5          7                                 E243100200002 
REACTION   ((2-HE-4(4-BE-7,EL)2-HE-4,,DA)=                        E243100200003 
           (4-BE-7(A,EL)4-BE-7,,DA))                              E243100200004 
PART-DET   (A)                                                    E243100200005 
EN-SEC     ANG-CM is averaged angle                               E243100200006 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   E243100200007 
STATUS     (TABLE) Plotted in Fig.5 of J, Phys. Rev. C, 87 (2013) E243100200008 
                   034303                                         E243100200009 
ENDBIB               7          0                                 E243100200010 
NOCOMMON             0          0                                 E243100200011 
DATA                 5        135                                 E243100200012 
EN-CM      EN-ERR     ANG-CM     DATA-CM    DATA-ERR              E243100200013 
       2.49       0.07      164.4   7.29E+01   9.72E+00           E243100200054 
       2.52       0.07      164.6   5.31E+01   8.11E+00           E243100200055 
       2.55       0.07      164.8   4.35E+01   8.04E+00           E243100200056 
       2.58       0.07      165.0   2.27E+01   8.04E+00           E243100200057 
       2.62       0.07      165.1   9.05E+00   5.24E+00           E243100200058 
       2.65       0.07      165.3   7.39E+00   4.50E+00           E243100200059 
       2.68       0.07      165.5   1.58E+01   5.14E+00           E243100200060 
       2.71       0.07      165.7   1.32E+01   8.12E+00           E243100200061 
       2.75       0.07      165.8   2.22E+01   8.04E+00           E243100200062 
       2.78       0.06      166.0   2.90E+01   9.10E+00           E243100200063 
       2.81       0.06      166.2   3.42E+01   8.64E+00           E243100200064 
       2.84       0.06      166.4   2.43E+01   8.61E+00           E243100200065 
       2.88       0.06      166.5   2.85E+01   7.89E+00           E243100200066 
       2.91       0.06      166.7   2.68E+01   8.79E+00           E243100200067 
       2.94       0.06      166.9   3.10E+01   1.04E+01           E243100200068 
       2.97       0.06      167.1   2.72E+01   1.08E+01           E243100200069 
       3.01       0.06      167.2   2.65E+01   1.24E+01           E243100200070 
       3.04       0.06      167.3   2.98E+01   1.56E+01           E243100200071 
       3.07       0.06      167.5   4.66E+01   1.62E+01           E243100200072 
       3.10       0.06      167.6   4.53E+01   1.79E+01           E243100200073 
       3.14       0.06      167.7   6.83E+01   1.76E+01           E243100200074 
       3.17       0.06      167.8   9.91E+01   1.75E+01           E243100200075 
       3.20       0.06      167.9   7.73E+01   1.98E+01           E243100200076 
       3.23       0.06      168.0   1.09E+02   1.81E+01           E243100200077 
       3.27       0.06      168.2   9.86E+01   2.05E+01           E243100200078 
       3.30       0.06      168.3   8.74E+01   2.20E+01           E243100200079 
       3.33       0.06      168.4   1.03E+02   2.10E+01           E243100200080 
       3.36       0.06      168.5   8.12E+01   2.18E+01           E243100200081 
       3.40       0.06      168.6   1.05E+02   2.33E+01           E243100200082 
       3.43       0.06      168.7   1.13E+02   2.20E+01           E243100200083 
       3.46       0.06      168.9   8.32E+01   2.29E+01           E243100200084 
       3.49       0.06      169.0   6.87E+01   2.21E+01           E243100200085 
       3.53       0.06      169.1   5.15E+01   2.10E+01           E243100200086 
       3.56       0.06      169.2   3.75E+01   2.27E+01           E243100200087 
       3.59       0.06      169.3   3.83E+01   1.94E+01           E243100200088 
       3.62       0.06      169.4   3.85E+01   1.77E+01           E243100200089 
       3.66       0.06      169.6   3.53E+01   1.59E+01           E243100200090 
       3.69       0.06      169.7   2.79E+01   2.09E+01           E243100200091 
       3.72       0.06      169.8   6.24E+01   2.86E+01           E243100200092 
       3.75       0.06      169.9   3.01E+01   4.08E+01           E243100200093 
       3.79       0.06      170.0   5.74E+01   3.84E+01           E243100200094 
       3.82       0.06      170.1   4.34E+01   2.75E+01           E243100200095 
       3.85       0.06      170.3   2.57E+01   1.77E+01           E243100200096 
       3.88       0.05      170.4   2.81E+01   7.12E+00           E243100200097 
       3.92       0.05      170.5   1.68E+01   9.95E+00           E243100200098 
       3.95       0.05      170.6   1.54E+01   7.08E+00           E243100200099 
       3.98       0.05      170.7   2.88E+01   1.04E+01           E243100200100 
       4.01       0.05      170.8   3.48E+01   8.81E+00           E243100200101 
       4.05       0.05      170.9   2.46E+01   9.68E+00           E243100200102 
       4.08       0.05      171.0   2.84E+01   1.02E+01           E243100200103 
       4.11       0.05      171.1   1.84E+01   8.53E+00           E243100200104 
       4.14       0.05      171.1   3.68E+01   9.96E+00           E243100200105 
       4.18       0.05      171.2   2.82E+01   9.13E+00           E243100200106 
       4.21       0.05      171.3   2.26E+01   1.07E+01           E243100200107 
       4.24       0.05      171.4   2.34E+01   7.96E+00           E243100200108 
       4.27       0.05      171.5   2.85E+01   8.68E+00           E243100200109 
       4.31       0.05      171.5   2.80E+01   8.68E+00           E243100200110 
       4.34       0.05      171.6   2.44E+01   8.31E+00           E243100200111 
       4.37       0.05      171.7   2.26E+01   9.04E+00           E243100200112 
       4.40       0.05      171.8   2.31E+01   8.29E+00           E243100200113 
       4.44       0.05      171.8   2.90E+01   1.16E+01           E243100200114 
       4.47       0.05      171.9   2.81E+01   8.11E+00           E243100200115 
       4.50       0.05      172.0   3.23E+01   1.06E+01           E243100200116 
       4.53       0.05      172.1   6.92E+01   1.42E+01           E243100200117 
       4.57       0.05      172.2   6.54E+01   1.49E+01           E243100200118 
       4.60       0.05      172.2   8.81E+01   1.78E+01           E243100200119 
       4.63       0.05      172.3   1.30E+02   1.91E+01           E243100200120 
       4.66       0.05      172.4   1.43E+02   2.17E+01           E243100200121 
       4.70       0.05      172.5   1.63E+02   2.20E+01           E243100200122 
       4.73       0.05      172.5   2.07E+02   2.42E+01           E243100200123 
       4.76       0.05      172.6   1.83E+02   2.21E+01           E243100200124 
       4.79       0.05      172.7   2.36E+02   2.60E+01           E243100200125 
       4.83       0.05      172.8   2.54E+02   2.77E+01           E243100200126 
       4.86       0.05      172.9   2.34E+02   2.77E+01           E243100200127 
       4.89       0.05      172.9   2.44E+02   2.86E+01           E243100200128 
       4.92       0.05      173.0   2.44E+02   2.77E+01           E243100200129 
       4.96       0.05      173.1   2.41E+02   3.12E+01           E243100200130 
       4.99       0.05      173.2   2.44E+02   3.00E+01           E243100200131 
       5.02       0.05      173.2   2.82E+02   2.93E+01           E243100200132 
       5.05       0.05      173.3   2.98E+02   3.25E+01           E243100200133 
       5.09       0.05      173.3   3.13E+02   3.19E+01           E243100200134 
       5.12       0.05      173.4   2.92E+02   3.27E+01           E243100200135 
       5.15       0.05      173.4   3.32E+02   3.38E+01           E243100200136 
       5.18       0.05      173.4   3.30E+02   3.22E+01           E243100200137 
       5.22       0.05      173.5   3.17E+02   3.31E+01           E243100200138 
       5.25       0.05      173.5   3.02E+02   3.18E+01           E243100200139 
       5.28       0.05      173.6   2.91E+02   3.15E+01           E243100200140 
       5.31       0.05      173.6   2.54E+02   2.97E+01           E243100200141 
       5.35       0.05      173.7   2.72E+02   3.09E+01           E243100200142 
       5.38       0.05      173.7   2.07E+02   2.65E+01           E243100200143 
       5.41       0.05      173.7   2.20E+02   2.75E+01           E243100200144 
       5.44       0.05      173.8   1.94E+02   2.59E+01           E243100200145 
       5.48       0.05      173.8   1.76E+02   2.48E+01           E243100200146 
       5.51       0.05      173.9   1.62E+02   2.40E+01           E243100200147 
       5.54       0.05      173.9   1.20E+02   2.29E+01           E243100200148 
       5.57       0.05      174.0   1.34E+02   2.21E+01           E243100200149 
ENDDATA            137          0                                 E243100200150 
ENDSUBENT          149          0                                 E243100299999 
SUBENT        E2431003   20131029                             E081E243100300001 
BIB                  7         10                                 E243100300002 
REACTION   ((2-HE-4(4-BE-7,INL)2-HE-4,PAR,DA)=                    E243100300003 
           (4-BE-7(A,INL)4-BE-7,PAR,DA))                          E243100300004 
DECAY-DATA (4-BE-7,,DG,429.)                                      E243100300005 
PART-DET   (A)                                                    E243100300006 
EN-SEC     ANG-CM is averaged angle                               E243100300007 
           (E-LVL,4-BE-7)                                         E243100300008 
METHOD     (COINC) Detect alpha and delayed gamma in coincidence. E243100300009 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   E243100300010 
STATUS     (TABLE) Plotted in Fig.5 of J, Phys. Rev. C, 87 (2013) E243100300011 
                   034303                                         E243100300012 
ENDBIB              10          0                                 E243100300013 
COMMON               1          3                                 E243100300014 
E-LVL                                                             E243100300015 
KEV                                                               E243100300016 
 429.                                                             E243100300017 
ENDCOMMON            3          0                                 E243100300018 
DATA                 5        126                                 E243100300019 
EN-CM      EN-ERR     ANG-CM     DATA-CM    DATA-ERR              E243100300020 
MEV        MEV        ADEG       MB/SR      MB/SR                 E243100300021 
       1.41       0.09      151.4   5.03E-01   9.30E-01           E243100300022 
       1.45       0.09      153.0   1.35E+00   1.54E+00           E243100300023 
       1.48       0.09      154.6   1.69E+00   1.74E+00           E243100300024 
       1.51       0.09      155.7   4.64E-01   9.18E-01           E243100300025 
       1.54       0.09      156.1   1.44E+00   1.63E+00           E243100300026 
       1.58       0.09      156.5   1.83E+00   1.86E+00           E243100300027 
       1.61       0.09      156.9   3.20E+00   2.48E+00           E243100300028 
       1.64       0.09      157.4   1.75E+00   1.84E+00           E243100300029 
       1.67       0.09      157.8   1.90E+00   1.93E+00           E243100300030 
       1.71       0.08      158.2   1.39E+00   1.66E+00           E243100300031 
       1.74       0.08      158.6   6.09E-01   1.11E+00           E243100300032 
       1.77       0.08      159.0   1.84E+00   1.94E+00           E243100300033 
       1.80       0.08      159.4   2.84E+00   2.43E+00           E243100300034 
       1.84       0.08      159.8   6.33E-01   1.15E+00           E243100300035 
       1.87       0.08      160.2   4.74E+00   3.19E+00           E243100300036 
       1.90       0.08      160.6   2.20E+00   2.19E+00           E243100300037 
       1.93       0.08      161.0   4.93E+00   3.32E+00           E243100300038 
       1.97       0.08      161.4   4.85E+00   3.28E+00           E243100300039 
       2.00       0.08      161.8   1.43E+00   1.78E+00           E243100300040 
       2.03       0.08      162.0   2.94E+00   2.58E+00           E243100300041 
       2.06       0.08      162.1   1.01E+01   4.85E+00           E243100300042 
       2.10       0.08      162.3   4.46E+00   3.23E+00           E243100300043 
       2.13       0.08      162.5   3.40E+00   2.83E+00           E243100300044 
       2.16       0.07      162.7   1.37E+01   5.78E+00           E243100300045 
       2.19       0.07      162.8   7.56E+00   4.30E+00           E243100300046 
       2.23       0.07      163.0   1.18E+01   5.42E+00           E243100300047 
       2.26       0.07      163.2   2.17E+01   7.43E+00           E243100300048 
       2.29       0.07      163.4   9.90E+00   5.00E+00           E243100300049 
       2.32       0.07      163.5   8.97E+00   4.76E+00           E243100300050 
       2.36       0.07      163.7   1.57E+01   6.40E+00           E243100300051 
       2.39       0.07      163.9   1.13E+01   5.43E+00           E243100300052 
       2.42       0.07      164.1   1.36E+01   6.00E+00           E243100300053 
       2.45       0.07      164.2   1.71E+01   6.79E+00           E243100300054 
       2.49       0.07      164.4   2.30E+01   7.95E+00           E243100300055 
       2.52       0.07      164.6   1.50E+01   6.37E+00           E243100300056 
       2.55       0.07      164.8   2.68E+01   8.66E+00           E243100300057 
       2.58       0.07      165.0   1.50E+01   6.44E+00           E243100300058 
       2.62       0.07      165.1   2.00E+01   7.52E+00           E243100300059 
       2.65       0.07      165.3   1.42E+01   6.32E+00           E243100300060 
       2.68       0.07      165.5   2.05E+01   7.65E+00           E243100300061 
       2.71       0.07      165.7   8.85E+00   4.99E+00           E243100300062 
       2.75       0.07      165.8   9.22E+00   5.14E+00           E243100300063 
       2.78       0.06      166.0   4.46E+00   3.56E+00           E243100300064 
       2.81       0.06      166.2   8.41E+00   4.95E+00           E243100300065 
       2.84       0.06      166.4   8.66E+00   5.05E+00           E243100300066 
       2.88       0.06      166.5   4.92E+00   3.80E+00           E243100300067 
       2.91       0.06      166.7   3.84E+00   3.37E+00           E243100300068 
       2.94       0.06      166.9   2.55E+00   2.75E+00           E243100300069 
       2.97       0.06      167.1   9.04E+00   5.24E+00           E243100300070 
       3.01       0.06      167.2   6.51E+00   4.49E+00           E243100300071 
       3.04       0.06      167.3   9.00E+00   5.26E+00           E243100300072 
       3.07       0.06      167.5   1.18E+01   6.08E+00           E243100300073 
       3.10       0.06      167.6   7.90E+00   4.99E+00           E243100300074 
       3.14       0.06      167.7   3.90E+00   3.50E+00           E243100300075 
       3.17       0.06      167.8   2.68E+00   2.91E+00           E243100300076 
       3.20       0.06      167.9   1.08E+01   5.92E+00           E243100300077 
       3.23       0.06      168.0   8.09E+00   5.12E+00           E243100300078 
       3.27       0.06      168.2   9.66E+00   5.64E+00           E243100300079 
       3.30       0.06      168.3   9.66E+00   5.66E+00           E243100300080 
       3.33       0.06      168.4   1.25E+01   6.48E+00           E243100300081 
       3.36       0.06      168.5   2.57E+01   9.47E+00           E243100300082 
       3.40       0.06      168.6   2.88E+01   1.01E+01           E243100300083 
       3.43       0.06      168.7   9.60E+00   5.75E+00           E243100300084 
       3.46       0.06      168.9   1.25E+01   6.63E+00           E243100300085 
       3.49       0.06      169.0   1.57E+01   7.45E+00           E243100300086 
       3.53       0.06      169.1   9.96E+00   5.95E+00           E243100300087 
       3.56       0.06      169.2   1.12E+01   6.37E+00           E243100300088 
       3.59       0.06      169.3   2.57E+00   3.03E+00           E243100300089 
       3.62       0.06      169.4   6.76E+00   4.96E+00           E243100300090 
       3.66       0.06      169.6   1.18E+01   6.63E+00           E243100300091 
       3.69       0.06      169.7   1.34E+01   7.09E+00           E243100300092 
       3.72       0.06      169.8   4.40E+00   4.08E+00           E243100300093 
       3.75       0.06      169.9   5.84E+00   4.72E+00           E243100300094 
       3.79       0.06      170.0   1.25E+01   6.97E+00           E243100300095 
       3.82       0.06      170.1   1.13E+01   6.66E+00           E243100300096 
       3.85       0.06      170.3   1.30E+01   7.20E+00           E243100300097 
       3.88       0.05      170.4   2.03E+01   9.09E+00           E243100300098 
       3.92       0.05      170.5   2.08E+01   9.32E+00           E243100300099 
       3.95       0.05      170.6   1.21E+01   7.06E+00           E243100300100 
       3.98       0.05      170.7   2.68E+01   1.07E+01           E243100300101 
       4.01       0.05      170.8   1.75E+01   8.65E+00           E243100300102 
       4.05       0.05      170.9   1.45E+00   2.49E+00           E243100300103 
       4.08       0.05      171.0   8.03E+00   5.90E+00           E243100300104 
       4.11       0.05      171.1   6.77E+00   5.46E+00           E243100300105 
       4.14       0.05      171.1   1.49E+01   8.21E+00           E243100300106 
       4.18       0.05      171.2   7.62E+00   5.88E+00           E243100300107 
       4.24       0.05      171.4   3.96E+00   4.29E+00           E243100300108 
       4.27       0.05      171.5   6.12E+00   5.39E+00           E243100300109 
       4.31       0.05      171.5   8.29E+00   6.34E+00           E243100300110 
       4.34       0.05      171.6   2.07E+00   3.18E+00           E243100300111 
       4.37       0.05      171.7   8.61E+00   6.59E+00           E243100300112 
       4.40       0.05      171.8   8.80E+00   6.73E+00           E243100300113 
       4.44       0.05      171.8   6.63E+00   5.85E+00           E243100300114 
       4.47       0.05      171.9   4.44E+00   4.82E+00           E243100300115 
       4.50       0.05      172.0   4.63E+00   4.98E+00           E243100300116 
       4.53       0.05      172.1   1.18E+01   8.09E+00           E243100300117 
       4.57       0.05      172.2   2.39E+00   3.65E+00           E243100300118 
       4.60       0.05      172.2   2.42E+00   3.71E+00           E243100300119 
       4.63       0.05      172.3   2.48E+00   3.77E+00           E243100300120 
       4.70       0.05      172.5   5.14E+00   5.56E+00           E243100300121 
       4.73       0.05      172.5   2.68E+00   4.05E+00           E243100300122 
       4.76       0.05      172.6   5.39E+00   5.81E+00           E243100300123 
       4.79       0.05      172.7   8.34E+00   7.37E+00           E243100300124 
       4.83       0.05      172.8   2.82E+00   4.30E+00           E243100300125 
       4.86       0.05      172.9   2.85E+00   4.37E+00           E243100300126 
       4.89       0.05      172.9   5.68E+00   6.22E+00           E243100300127 
       4.92       0.05      173.0   5.86E+00   6.43E+00           E243100300128 
       4.96       0.05      173.1   5.78E+00   6.44E+00           E243100300129 
       4.99       0.05      173.2   6.20E+00   6.80E+00           E243100300130 
       5.02       0.05      173.2   9.29E+00   8.41E+00           E243100300131 
       5.05       0.05      173.3   9.33E+00   8.48E+00           E243100300132 
       5.09       0.05      173.3   6.30E+00   7.11E+00           E243100300133 
       5.15       0.05      173.4   6.25E+00   7.22E+00           E243100300134 
       5.18       0.05      173.4   6.94E+00   7.78E+00           E243100300135 
       5.22       0.05      173.5   9.68E+00   9.22E+00           E243100300136 
       5.25       0.05      173.5   1.49E+01   1.17E+01           E243100300137 
       5.28       0.05      173.6   1.50E+01   1.18E+01           E243100300138 
       5.31       0.05      173.6   7.18E+00   8.28E+00           E243100300139 
       5.35       0.05      173.7   4.55E+01   2.14E+01           E243100300140 
       5.38       0.05      173.7   1.64E+01   1.30E+01           E243100300141 
       5.41       0.05      173.7   8.42E+00   9.45E+00           E243100300142 
       5.44       0.05      173.8   1.25E+01   1.16E+01           E243100300143 
       5.48       0.05      173.8   1.27E+01   1.19E+01           E243100300144 
       5.51       0.05      173.9   1.74E+01   1.41E+01           E243100300145 
       5.54       0.05      173.9   8.50E+00   1.00E+01           E243100300146 
       5.57       0.05      174.0   4.44E+00   7.28E+00           E243100300147 
ENDDATA            128          0                                 E243100300148 
ENDSUBENT          147          0                                 E243100399999 
SUBENT        E2431004   20131029                             E081E243100400001 
BIB                  5          8                                 E243100400002 
REACTION   ((2-HE-4(4-BE-7,P)5-B-10,PAR,DA)=                      E243100400003 
           (4-BE-7(A,P)5-B-10,PAR,DA))                            E243100400004 
PART-DET   (P)                                                    E243100400005 
EN-SEC     ANG-CM is averaged angle                               E243100400006 
           (E-LVL,5-B-10)                                         E243100400007 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   E243100400008 
STATUS     (TABLE) Plotted in Fig.5 of J, Phys. Rev. C, 87 (2013) E243100400009 
                   034303                                         E243100400010 
ENDBIB               8          0                                 E243100400011 
COMMON               1          3                                 E243100400012 
E-LVL                                                             E243100400013 
KEV                                                               E243100400014 
 0.                                                               E243100400015 
ENDCOMMON            3          0                                 E243100400016 
DATA                 5         56                                 E243100400017 
EN-CM      EN-ERR     ANG-CM     DATA-CM    DATA-ERR              E243100400018 
MEV        MEV        ADEG       MB/SR      MB/SR                 E243100400019 
       1.85       0.08      162.0   2.98E+00   1.40E+00           E243100400020 
       1.92       0.08      162.9   3.07E+00   1.44E+00           E243100400021 
       1.98       0.08      163.8   6.39E+00   1.64E+00           E243100400022 
       2.05       0.07      164.3   8.52E+00   1.74E+00           E243100400023 
       2.11       0.07      164.7   7.17E+00   2.31E+00           E243100400024 
       2.18       0.07      165.1   8.12E+00   2.27E+00           E243100400025 
       2.24       0.07      165.5   8.75E+00   2.28E+00           E243100400026 
       2.31       0.07      165.8   1.08E+01   2.44E+00           E243100400027 
       2.37       0.07      166.2   8.60E+00   2.99E+00           E243100400028 
       2.44       0.07      166.6   1.27E+01   2.83E+00           E243100400029 
       2.50       0.07      167.0   1.10E+01   2.95E+00           E243100400030 
       2.57       0.06      167.4   1.03E+01   3.28E+00           E243100400031 
       2.63       0.06      167.8   8.49E+00   2.68E+00           E243100400032 
       2.70       0.06      168.2   7.91E+00   3.02E+00           E243100400033 
       2.76       0.06      168.6   8.06E+00   3.28E+00           E243100400034 
       2.83       0.06      169.0   1.00E+01   3.08E+00           E243100400035 
       2.89       0.06      169.4   5.13E+00   4.31E+00           E243100400036 
       2.96       0.06      169.7   1.25E+01   3.48E+00           E243100400037 
       3.02       0.06      170.1   1.50E+01   3.93E+00           E243100400038 
       3.09       0.06      170.3   1.18E+01   4.14E+00           E243100400039 
       3.15       0.06      170.5   2.34E+01   3.56E+00           E243100400040 
       3.22       0.06      170.7   1.65E+01   3.87E+00           E243100400041 
       3.28       0.05      170.9   1.51E+01   3.79E+00           E243100400042 
       3.35       0.05      171.1   1.19E+01   3.20E+00           E243100400043 
       3.41       0.05      171.3   9.20E+00   3.86E+00           E243100400044 
       3.48       0.05      171.5   1.11E+01   3.74E+00           E243100400045 
       3.54       0.05      171.7   1.43E+01   3.67E+00           E243100400046 
       3.61       0.05      171.9   5.89E+00   4.56E+00           E243100400047 
       3.67       0.05      172.1   1.08E+01   3.54E+00           E243100400048 
       3.74       0.05      172.3   8.36E+00   4.25E+00           E243100400049 
       3.80       0.05      172.5   8.96E+00   3.89E+00           E243100400050 
       3.87       0.05      172.7   1.29E+01   3.92E+00           E243100400051 
       3.93       0.05      172.9   7.61E+00   4.72E+00           E243100400052 
       4.00       0.05      173.1   4.59E+00   5.08E+00           E243100400053 
       4.06       0.05      173.2   1.00E+01   4.53E+00           E243100400054 
       4.13       0.05      173.3   4.09E+00   5.08E+00           E243100400055 
