ENTRY            E2151   20240504                             E144E215100000001 
SUBENT        E2151001   20240504                             E144E215100100001 
BIB                  8         29                                 E215100100002 
TITLE      Gamow-Teller strength distributions in 48Sc by the     E215100100003 
           48Ca(p,n) and 48Ti(n,p) reactions and two-neutrino     E215100100004 
           double-beta decay nuclear matrix elements              E215100100005 
AUTHOR     (K.Yako, M.Sasano, K.Miki, H.Sakai, M.Dozono,          E215100100006 
            D.Frekers, M.B.Greenfield, K.Hatanaka, E.Ihara,       E215100100007 
            M.Kato, T.Kawabata, H.Kuboki, Y.Maeda, H.Matsubara,   E215100100008 
            K.Muto, S.Noji, H.Okamura, T.H.Okabe, S.Sakaguchi,    E215100100009 
            Y.Sakemi, Y.Sasamoto, K.Sekiguchi, Y.Shimizu, K.Suda, E215100100010 
            Y.Tameshige, A.Tamii, T.Uesaka, T.Wakasa, H.Zheng)    E215100100011 
INSTITUTE  (2JPNTOK)                                              E215100100012 
REFERENCE  (J,PRL,103,012503,2009)                                E215100100013 
           Main reference. See also TITLE and AUTHOR.             E215100100014 
           (S,AIP-1120,47,2009)                                   E215100100015 
           K.Yako for ICHOR project and RCNP E272, E293           E215100100016 
           collaborations                                         E215100100017 
           (S,AIP-1165,427,2009) H.Sakai+, DA/DE given            E215100100018 
METHOD     (TOF) To obtain the (p,n) data with a NPOL3 neutron    E215100100019 
                 detector system                                  E215100100020 
FACILITY   (CYCLO,2JPNOSA) To accelerate a proton beam at         E215100100021 
                           Research Center for Nuclear            E215100100022 
                           Physics(RCNP)                          E215100100023 
DETECTOR   (SCIN) To detect neutron and recoil proton             E215100100024 
HISTORY    (20090813R) TM. Received by e-mail from K.Yako         E215100100025 
           (20090819C) TM                                         E215100100026 
           (20100604A) Tsubakihara. REFERENCE:                    E215100100027 
                       J,PRL,103,012503,2009 added                E215100100028 
           (20240320U) MA: modified REFERENCE in 001, REACTION in E215100100029 
                       002; deleted 003 due to neutron data and   E215100100030 
                       duplication of EXFOR 23125.002.            E215100100031 
ENDBIB              29          0                                 E215100100032 
NOCOMMON             0          0                                 E215100100033 
ENDSUBENT           32          0                                 E215100199999 
SUBENT        E2151002   20240504                             E144E215100200001 
BIB                  8         16                                 E215100200002 
REACTION   (20-CA-48(P,N)21-SC-48,ICL,DA/DE,N/RSD)                E215100200003 
ANG-SEC    (ANG-CM,21-SC-48)                                      E215100200004 
EN-SEC     (E-EXC,21-SC-48)                                       E215100200005 
INC-SOURCE Beam intensity is 100 nA.                              E215100200006 
SAMPLE     - Chemical-form of target is element.                  E215100200007 
           - Target-thickness is 17 mg/cm2.                       E215100200008 
           (20-CA-48,ENR=0.98)                                    E215100200009 
ERR-ANALYS (ERR-SYS) Total systematic uncertainty                 E215100200010 
           (ERR-1) The thicknesses of the 48Ca target             E215100200011 
           (ERR-2) The thicknesses of the 7Li target              E215100200012 
           (ERR-3) Beam integration in the Faraday cup            E215100200013 
           (ERR-4) The 7Li(p,n) cross section used for            E215100200014 
                   calibrating the efficiency                     E215100200015 
           (ERR-S) Statistical uncertainty                        E215100200016 
STATUS     (TABLE,,K.Yako+,J,PRL,103,012503,2009) Fig. 1          E215100200017 
HISTORY    (20240504A) MA: SF5-SF7: ,DA/DE -> ICL,DA/DE,N/RSD.    E215100200018 
ENDBIB              16          0                                 E215100200019 
COMMON               6          3                                 E215100200020 
EN         ERR-SYS    ERR-1      ERR-2      ERR-3      ERR-4      E215100200021 
MEV        PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   E215100200022 
 295.       12.        10.        3.         2.         5.        E215100200023 
ENDCOMMON            3          0                                 E215100200024 
DATA                 5        342                                 E215100200025 
ANG-CM     E-EXC-MIN  E-EXC-MAX  DATA-CM    ERR-S                 E215100200026 
        0.2       15.1       15.3      2.142      0.045           E215100200106 
        0.2       15.3       15.5      2.115      0.044           E215100200107 
        0.2       15.5       15.7      2.041      0.044           E215100200108 
        0.2       15.7       15.9      1.982      0.043           E215100200109 
        0.2       15.9       16.1      1.967      0.043           E215100200110 
        0.2       16.1       16.3      1.967      0.043           E215100200111 
        0.2       16.3       16.5      1.948      0.043           E215100200112 
        0.2       16.5       16.7      2.326      0.047           E215100200113 
        0.2       16.7       16.9      3.893      0.060           E215100200114 
        0.2       16.9       17.1      5.780      0.073           E215100200115 
        0.2       17.1       17.3      4.225      0.063           E215100200116 
        0.2       17.3       17.5      2.653      0.050           E215100200117 
        0.2       17.5       17.7      2.116      0.044           E215100200118 
        0.2       17.7       17.9      1.965      0.043           E215100200119 
        0.2       17.9       18.1      1.765      0.041           E215100200120 
        0.2       18.1       18.3      1.655      0.039           E215100200121 
        0.2       18.3       18.5      1.621      0.039           E215100200122 
        0.2       18.5       18.7      1.618      0.039           E215100200123 
        0.2       18.7       18.9      1.592      0.039           E215100200124 
        0.2       18.9       19.1      1.661      0.039           E215100200125 
        0.2       19.1       19.3      1.658      0.039           E215100200126 
        0.2       19.3       19.5      1.581      0.038           E215100200127 
        0.2       19.5       19.7      1.609      0.039           E215100200128 
        0.2       19.7       20.7      1.597      0.039           E215100200129 
        0.2       20.7       21.7      1.559      0.017           E215100200130 
        0.2       21.7       22.7      1.535      0.017           E215100200131 
        0.2       22.7       23.7      1.555      0.017           E215100200132 
        0.2       23.7       24.7      1.548      0.017           E215100200133 
        0.2       24.7       25.7      1.541      0.017           E215100200134 
        0.2       25.7       26.7      1.476      0.017           E215100200135 
        0.2       26.7       27.7      1.467      0.017           E215100200136 
        0.2       27.7       28.7      1.420      0.016           E215100200137 
        0.2       28.7       29.7      1.413      0.016           E215100200138 
        0.2       29.7       30.7      1.388      0.016           E215100200139 
        0.2       30.7       31.7      1.339      0.016           E215100200140 
        0.2       31.7                 1.305      0.016           E215100200141 
        5.1       -0.5       -0.3      0.007      0.009           E215100200142 
        5.1       -0.3       -0.1      0.020      0.012           E215100200143 
        5.1       -0.1        0.1      0.011      0.010           E215100200144 
        5.1        0.1        0.3      0.035      0.014           E215100200145 
        5.1        0.3        0.5      0.189      0.027           E215100200146 
        5.1        0.5        0.7      0.493      0.043           E215100200147 
        5.1        0.7        0.9      0.388      0.038           E215100200148 
        5.1        0.9        1.1      0.228      0.030           E215100200149 
        5.1        1.1        1.3      0.192      0.028           E215100200150 
        5.1        1.3        1.5      0.179      0.027           E215100200151 
        5.1        1.5        1.7      0.060      0.017           E215100200152 
        5.1        1.7        1.9      0.010      0.010           E215100200153 
        5.1        1.9        2.1      0.029      0.013           E215100200154 
        5.1        2.1        2.3      0.356      0.037           E215100200155 
        5.1        2.3        2.5      1.908      0.083           E215100200156 
        5.1        2.5        2.7      3.290      0.109           E215100200157 
        5.1        2.7        2.9      1.754      0.080           E215100200158 
        5.1        2.9        3.1      0.796      0.054           E215100200159 
        5.1        3.1        3.3      0.574      0.046           E215100200160 
        5.1        3.3        3.5      0.668      0.050           E215100200161 
        5.1        3.5        3.7      0.825      0.055           E215100200162 
        5.1        3.7        3.9      0.858      0.056           E215100200163 
        5.1        3.9        4.1      0.487      0.043           E215100200164 
        5.1        4.1        4.3      0.352      0.036           E215100200165 
        5.1        4.3        4.5      0.315      0.035           E215100200166 
        5.1        4.5        4.7      0.303      0.034           E215100200167 
        5.1        4.7        4.9      0.358      0.037           E215100200168 
        5.1        4.9        5.1      0.448      0.041           E215100200169 
        5.1        5.1        5.3      0.580      0.046           E215100200170 
        5.1        5.3        5.5      0.770      0.053           E215100200171 
        5.1        5.5        5.7      0.799      0.054           E215100200172 
        5.1        5.7        5.9      0.783      0.054           E215100200173 
        5.1        5.9        6.1      0.787      0.054           E215100200174 
        5.1        6.1        6.3      0.998      0.060           E215100200175 
        5.1        6.3        6.5      1.194      0.066           E215100200176 
        5.1        6.5        6.7      1.750      0.080           E215100200177 
        5.1        6.7        6.9      1.947      0.084           E215100200178 
        5.1        6.9        7.1      1.311      0.069           E215100200179 
        5.1        7.1        7.3      1.254      0.068           E215100200180 
        5.1        7.3        7.5      1.442      0.072           E215100200181 
        5.1        7.5        7.7      1.899      0.083           E215100200182 
        5.1        7.7        7.9      1.742      0.080           E215100200183 
        5.1        7.9        8.1      1.512      0.074           E215100200184 
        5.1        8.1        8.3      1.556      0.075           E215100200185 
        5.1        8.3        8.5      1.207      0.066           E215100200186 
        5.1        8.5        8.7      1.046      0.062           E215100200187 
        5.1        8.7        8.9      0.902      0.058           E215100200188 
        5.1        8.9        9.1      1.217      0.067           E215100200189 
        5.1        9.1        9.3      1.466      0.073           E215100200190 
        5.1        9.3        9.5      1.729      0.079           E215100200191 
        5.1        9.5        9.7      1.606      0.076           E215100200192 
        5.1        9.7        9.9      1.628      0.077           E215100200193 
        5.1        9.9       10.1      1.713      0.079           E215100200194 
        5.1       10.1       10.3      1.903      0.083           E215100200195 
        5.1       10.3       10.5      2.058      0.086           E215100200196 
        5.1       10.5       10.7      2.028      0.086           E215100200197 
        5.1       10.7       10.9      2.152      0.088           E215100200198 
        5.1       10.9       11.1      2.211      0.090           E215100200199 
        5.1       11.1       11.3      1.987      0.085           E215100200200 
        5.1       11.3       11.5      1.667      0.078           E215100200201 
        5.1       11.5       11.7      1.603      0.076           E215100200202 
        5.1       11.7       11.9      1.552      0.075           E215100200203 
        5.1       11.9       12.1      1.619      0.077           E215100200204 
        5.1       12.1       12.3      1.589      0.076           E215100200205 
        5.1       12.3       12.5      1.720      0.079           E215100200206 
        5.1       12.5       12.7      1.657      0.078           E215100200207 
        5.1       12.7       12.9      1.604      0.076           E215100200208 
        5.1       12.9       13.1      1.485      0.074           E215100200209 
        5.1       13.1       13.3      1.528      0.075           E215100200210 
        5.1       13.3       13.5      1.685      0.078           E215100200211 
        5.1       13.5       13.7      1.673      0.078           E215100200212 
        5.1       13.7       13.9      1.633      0.077           E215100200213 
        5.1       13.9       14.1      1.576      0.076           E215100200214 
        5.1       14.1       14.3      1.519      0.074           E215100200215 
        5.1       14.3       14.5      1.490      0.074           E215100200216 
        5.1       14.5       14.7      1.481      0.073           E215100200217 
        5.1       14.7       14.9      1.653      0.078           E215100200218 
        5.1       14.9       15.1      1.694      0.079           E215100200219 
        5.1       15.1       15.3      1.795      0.081           E215100200220 
        5.1       15.3       15.5      1.982      0.085           E215100200221 
        5.1       15.5       15.7      2.183      0.089           E215100200222 
        5.1       15.7       15.9      2.117      0.088           E215100200223 
        5.1       15.9       16.1      2.120      0.088           E215100200224 
        5.1       16.1       16.3      2.127      0.088           E215100200225 
        5.1       16.3       16.5      2.443      0.094           E215100200226 
        5.1       16.5       16.7      2.509      0.095           E215100200227 
        5.1       16.7       16.9      2.797      0.101           E215100200228 
        5.1       16.9       17.1      3.081      0.106           E215100200229 
        5.1       17.1       17.3      2.761      0.100           E215100200230 
        5.1       17.3       17.5      2.447      0.094           E215100200231 
        5.1       17.5       17.7      2.570      0.097           E215100200232 
        5.1       17.7       17.9      2.620      0.098           E215100200233 
        5.1       17.9       18.1      2.554      0.096           E215100200234 
        5.1       18.1       18.3      2.753      0.100           E215100200235 
        5.1       18.3       18.5      2.836      0.101           E215100200236 
        5.1       18.5       18.7      2.860      0.102           E215100200237 
        5.1       18.7       18.9      2.864      0.102           E215100200238 
        5.1       18.9       19.1      2.875      0.102           E215100200239 
        5.1       19.1       19.3      3.003      0.104           E215100200240 
        5.1       19.3       19.5      2.974      0.104           E215100200241 
        5.1       19.5       19.7      2.950      0.103           E215100200242 
        5.1       19.7       20.7      3.028      0.105           E215100200243 
        5.1       20.7       21.7      3.182      0.048           E215100200244 
        5.1       21.7       22.7      3.152      0.048           E215100200245 
        5.1       22.7       23.7      3.127      0.048           E215100200246 
        5.1       23.7       24.7      3.072      0.047           E215100200247 
        5.1       24.7       25.7      2.937      0.046           E215100200248 
        5.1       25.7       26.7      2.768      0.045           E215100200249 
        5.1       26.7       27.7      2.701      0.044           E215100200250 
        5.1       27.7       28.7      2.537      0.043           E215100200251 
        5.1       28.7       29.7      2.408      0.042           E215100200252 
        5.1       29.7       30.7      2.252      0.041           E215100200253 
        5.1       30.7       31.7      2.149      0.040           E215100200254 
        5.1       31.7                 1.996      0.038           E215100200255 
        9.3       -0.5       -0.3      0.021      0.012           E215100200256 
        9.3       -0.3       -0.1      0.014      0.011           E215100200257 
        9.3       -0.1        0.1      0.040      0.015           E215100200258 
        9.3        0.1        0.3      0.116      0.023           E215100200259 
        9.3        0.3        0.5      0.438      0.043           E215100200260 
        9.3        0.5        0.7      1.103      0.068           E215100200261 
        9.3        0.7        0.9      0.882      0.061           E215100200262 
        9.3        0.9        1.1      0.466      0.045           E215100200263 
        9.3        1.1        1.3      0.272      0.034           E215100200264 
        9.3        1.3        1.5      0.153      0.026           E215100200265 
        9.3        1.5        1.7      0.071      0.019           E215100200266 
        9.3        1.7        1.9      0.036      0.014           E215100200267 
        9.3        1.9        2.1      0.029      0.013           E215100200268 
        9.3        2.1        2.3      0.063      0.018           E215100200269 
        9.3        2.3        2.5      0.201      0.030           E215100200270 
        9.3        2.5        2.7      0.285      0.035           E215100200271 
        9.3        2.7        2.9      0.350      0.039           E215100200272 
        9.3        2.9        3.1      0.411      0.042           E215100200273 
        9.3        3.1        3.3      0.488      0.046           E215100200274 
        9.3        3.3        3.5      0.732      0.056           E215100200275 
        9.3        3.5        3.7      0.849      0.060           E215100200276 
        9.3        3.7        3.9      0.705      0.055           E215100200277 
        9.3        3.9        4.1      0.511      0.047           E215100200278 
        9.3        4.1        4.3      0.341      0.038           E215100200279 
        9.3        4.3        4.5      0.289      0.035           E215100200280 
        9.3        4.5        4.7      0.278      0.035           E215100200281 
        9.3        4.7        4.9      0.276      0.035           E215100200282 
        9.3        4.9        5.1      0.375      0.040           E215100200283 
        9.3        5.1        5.3      0.603      0.051           E215100200284 
        9.3        5.3        5.5      0.771      0.057           E215100200285 
        9.3        5.5        5.7      0.814      0.059           E215100200286 
        9.3        5.7        5.9      0.834      0.059           E215100200287 
        9.3        5.9        6.1      0.820      0.059           E215100200288 
        9.3        6.1        6.3      0.770      0.057           E215100200289 
        9.3        6.3        6.5      0.710      0.055           E215100200290 
        9.3        6.5        6.7      0.784      0.058           E215100200291 
        9.3        6.7        6.9      0.792      0.058           E215100200292 
        9.3        6.9        7.1      0.687      0.054           E215100200293 
        9.3        7.1        7.3      0.785      0.058           E215100200294 
        9.3        7.3        7.5      0.826      0.059           E215100200295 
        9.3        7.5        7.7      0.873      0.061           E215100200296 
        9.3        7.7        7.9      0.744      0.056           E215100200297 
        9.3        7.9        8.1      0.680      0.054           E215100200298 
        9.3        8.1        8.3      0.668      0.053           E215100200299 
        9.3        8.3        8.5      0.610      0.051           E215100200300 
        9.3        8.5        8.7      0.564      0.049           E215100200301 
        9.3        8.7        8.9      0.532      0.048           E215100200302 
        9.3        8.9        9.1      0.571      0.049           E215100200303 
        9.3        9.1        9.3      0.689      0.054           E215100200304 
        9.3        9.3        9.5      0.697      0.054           E215100200305 
        9.3        9.5        9.7      0.678      0.054           E215100200306 
        9.3        9.7        9.9      0.621      0.051           E215100200307 
        9.3        9.9       10.1      0.698      0.054           E215100200308 
        9.3       10.1       10.3      0.708      0.055           E215100200309 
        9.3       10.3       10.5      0.770      0.057           E215100200310 
        9.3       10.5       10.7      0.715      0.055           E215100200311 
        9.3       10.7       10.9      0.708      0.055           E215100200312 
        9.3       10.9       11.1      0.770      0.057           E215100200313 
        9.3       11.1       11.3      0.755      0.057           E215100200314 
        9.3       11.3       11.5      0.761      0.057           E215100200315 
        9.3       11.5       11.7      0.707      0.055           E215100200316 
        9.3       11.7       11.9      0.614      0.051           E215100200317 
        9.3       11.9       12.1      0.630      0.052           E215100200318 
        9.3       12.1       12.3      0.677      0.054           E215100200319 
        9.3       12.3       12.5      0.731      0.056           E215100200320 
        9.3       12.5       12.7      0.760      0.057           E215100200321 
        9.3       12.7       12.9      0.667      0.053           E215100200322 
        9.3       12.9       13.1      0.744      0.056           E215100200323 
        9.3       13.1       13.3      0.794      0.058           E215100200324 
        9.3       13.3       13.5      0.875      0.061           E215100200325 
        9.3       13.5       13.7      0.879      0.061           E215100200326 
        9.3       13.7       13.9      0.887      0.061           E215100200327 
        9.3       13.9       14.1      0.782      0.058           E215100200328 
        9.3       14.1       14.3      0.770      0.057           E215100200329 
        9.3       14.3       14.5      0.771      0.057           E215100200330 
        9.3       14.5       14.7      0.812      0.059           E215100200331 
        9.3       14.7       14.9      0.857      0.060           E215100200332 
        9.3       14.9       15.1      0.940      0.063           E215100200333 
        9.3       15.1       15.3      1.016      0.065           E215100200334 
        9.3       15.3       15.5      1.112      0.068           E215100200335 
        9.3       15.5       15.7      1.057      0.067           E215100200336 
        9.3       15.7       15.9      1.131      0.069           E215100200337 
        9.3       15.9       16.1      1.046      0.066           E215100200338 
        9.3       16.1       16.3      1.179      0.070           E215100200339 
        9.3       16.3       16.5      1.194      0.071           E215100200340 
        9.3       16.5       16.7      1.305      0.074           E215100200341 
        9.3       16.7       16.9      1.266      0.073           E215100200342 
        9.3       16.9       17.1      1.241      0.072           E215100200343 
        9.3       17.1       17.3      1.343      0.075           E215100200344 
        9.3       17.3       17.5      1.281      0.073           E215100200345 
        9.3       17.5       17.7      1.261      0.073           E215100200346 
        9.3       17.7       17.9      1.278      0.073           E215100200347 
        9.3       17.9       18.1      1.366      0.076           E215100200348 
        9.3       18.1       18.3      1.452      0.078           E215100200349 
        9.3       18.3       18.5      1.516      0.080           E215100200350 
        9.3       18.5       18.7      1.415      0.077           E215100200351 
        9.3       18.7       18.9      1.415      0.077           E215100200352 
        9.3       18.9       19.1      1.502      0.079           E215100200353 
        9.3       19.1       19.3      1.502      0.079           E215100200354 
        9.3       19.3       19.5      1.526      0.080           E215100200355 
        9.3       19.5       19.7      1.502      0.079           E215100200356 
        9.3       19.7       20.7      1.604      0.082           E215100200357 
        9.3       20.7       21.7      1.671      0.037           E215100200358 
        9.3       21.7       22.7      1.696      0.038           E215100200359 
        9.3       22.7       23.7      1.863      0.040           E215100200360 
        9.3       23.7       24.7      1.923      0.040           E215100200361 
        9.3       24.7       25.7      1.937      0.040           E215100200362 
        9.3       25.7       26.7      1.898      0.040           E215100200363 
        9.3       26.7       27.7      1.944      0.040           E215100200364 
        9.3       27.7       28.7      1.977      0.041           E215100200365 
        9.3       28.7       29.7      1.986      0.041           E215100200366 
        9.3       29.7       30.7      2.017      0.041           E215100200367 
        9.3       30.7       31.7      1.995      0.041           E215100200368 
        9.3       31.7                 1.936      0.040           E215100200369 
ENDDATA            344          0                                 E215100200370 
ENDSUBENT          369          0                                 E215100299999 
NOSUBENT      E2151003   20240504                             E144E215100300001 
ENDENTRY             3          0                                 E215199999999 
