ENTRY            E2661   20210604                             E131E266100000001 
SUBENT        E2661001   20210604                             E131E266100100001 
BIB                 12         35                                 E266100100002 
TITLE      Role of Multichance Fission in the Description of      E266100100003 
           Fission-Fragment Mass Distributions at High Energies   E266100100004 
AUTHOR     (K.Hirose, K.Nishio, S.Tanaka, R.Leguillon, H.Makii,   E266100100005 
            I.Nishinaka, R.Orlandi, K.Tsukada, J.Smallcombe,      E266100100006 
            M.J.Vermeulen, S.Chiba, Y.Aritomo, T.Ohtsuki,         E266100100007 
            K.Nakano, S.Araki, Y.Watanabe, R.Tatsuzawa, N.Takaki, E266100100008 
            N.Tamura, S.Goto, I.Tsekhanovich, A.N.Andreyev)       E266100100009 
INSTITUTE  (2JPNJAE) Advanced Science Research Center             E266100100010 
           (2JPNKNK) Faculty of Science and Engineering           E266100100011 
           (1CANTMF)                                              E266100100012 
           (2JPNTIT) Laboratory for Advanced Nuclear Energy,      E266100100013 
                     Institute for Innovative Research            E266100100014 
           (2JPNKTO) Research Reactor Institute                   E266100100015 
           (2JPNKYU) Interdisciplinary Graduate School of         E266100100016 
                     Engineering Sciences                         E266100100017 
           (2JPNJPN) Graduate School of Engineering, Tokyo City   E266100100018 
                     University                                   E266100100019 
           (2JPNNII) Graduate School of Science and Technology    E266100100020 
           (2FR BOR)                                              E266100100021 
           (2UK YRK) Department of Physics                        E266100100022 
REFERENCE  (J,PRL,119,222501,2017)                                E266100100023 
PART-DET   (FF)                                                   E266100100024 
INC-SOURCE Beam intensity is 0.5 particle-nA.                     E266100100025 
SAMPLE     - Chemical-form of target is element.                  E266100100026 
           - Physical-form of target is solid.                    E266100100027 
           - Target-thickness is 0.08 mg/cm2.                     E266100100028 
           - Backing is nickel.                                   E266100100029 
           - Backing-thickness is 0.09 mg/cm2.                    E266100100030 
FACILITY   (VDGT,2JPNJAE)                                         E266100100031 
DETECTOR   (SI)                                                   E266100100032 
           (MWPC)                                                 E266100100033 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   E266100100034 
STATUS     (TABLE) Plotted in Fig.3 of Physics Review L 119,      E266100100035 
                   222501 (2017)                                  E266100100036 
HISTORY    (20200831C) Qing Zhao                                  E266100100037 
ENDBIB              35          0                                 E266100100038 
COMMON               1          3                                 E266100100039 
EN                                                                E266100100040 
MEV                                                               E266100100041 
 157.5                                                            E266100100042 
ENDCOMMON            3          0                                 E266100100043 
ENDSUBENT           42          0                                 E266100199999 
SUBENT        E2661002   20210604                             E131E266100200001 
BIB                  2          2                                 E266100200002 
REACTION   (92-U-238(8-O-18,8-O-19+F)MASS,ISP/PRE,FY)             E266100200003 
EN-SEC     (E-EXC,92-U-237)                                       E266100200004 
ENDBIB               2          0                                 E266100200005 
NOCOMMON             0          0                                 E266100200006 
DATA                 5        200                                 E266100200007 
E-EXC-MIN  E-EXC-MAX  MASS       DATA       DATA-ERR              E266100200008 
        20.        30.       68.5  0.3575685  0.0729884           E266100200057 
        20.        30.       72.5  0.6853397  0.1010478           E266100200058 
        20.        30.       76.5  0.5065554  0.0868735           E266100200059 
        20.        30.       80.5  1.0429082  0.1246514           E266100200060 
        20.        30.       84.5  1.2514899  0.1365487           E266100200061 
        20.        30.       88.5  2.3539927  0.1872736           E266100200062 
        20.        30.       92.5  3.3075089  0.2219855           E266100200063 
        20.        30.       96.5  3.6948750  0.2346248           E266100200064 
        20.        30.      100.5  4.1120381  0.2475156           E266100200065 
        20.        30.      104.5  2.9201429  0.2085817           E266100200066 
        20.        30.      108.5  2.3241954  0.1860845           E266100200067 
        20.        30.      112.5  1.0727056  0.1264196           E266100200068 
        20.        30.      116.5  1.1025029  0.1281634           E266100200069 
        20.        30.      120.5  1.1025029  0.1281634           E266100200070 
        20.        30.      124.5  1.0727056  0.1264196           E266100200071 
        20.        30.      128.5  2.3241954  0.1860845           E266100200072 
        20.        30.      132.5  2.9201429  0.2085817           E266100200073 
        20.        30.      136.5  4.1120381  0.2475156           E266100200074 
        20.        30.      140.5  3.6948750  0.2346248           E266100200075 
        20.        30.      144.5  3.3075089  0.2219855           E266100200076 
        20.        30.      148.5  2.3539927  0.1872736           E266100200077 
        20.        30.      152.5  1.2514899  0.1365487           E266100200078 
        20.        30.      156.5  1.0429082  0.1246514           E266100200079 
        20.        30.      160.5  0.5065554  0.0868735           E266100200080 
        20.        30.      164.5  0.6853397  0.1010478           E266100200081 
        20.        30.      168.5  0.3575685  0.0729884           E266100200082 
        20.        30.      172.5  0.1191895  0.0421399           E266100200083 
        20.        30.      176.5  0.0297974  0.0210699           E266100200084 
        20.        30.      180.5  0.0893921  0.0364942           E266100200085 
        20.        30.      184.5  0.0000000  0.0000000           E266100200086 
        20.        30.      188.5  0.0297974  0.0210699           E266100200087 
        20.        30.      192.5  0.0000000  0.0000000           E266100200088 
        20.        30.      196.5  0.0000000  0.0000000           E266100200089 
        30.        40.       40.5  0.0000000  0.0000000           E266100200090 
        30.        40.       44.5  0.0347705  0.0245865           E266100200091 
        30.        40.       48.5  0.0695410  0.0347705           E266100200092 
        30.        40.       52.5  0.1043115  0.0425850           E266100200093 
        30.        40.       56.5  0.0347705  0.0245865           E266100200094 
        30.        40.       60.5  0.0000000  0.0000000           E266100200095 
        30.        40.       64.5  0.1390821  0.0491729           E266100200096 
        30.        40.       68.5  0.3129346  0.0737594           E266100200097 
        30.        40.       72.5  0.4520167  0.0886478           E266100200098 
        30.        40.       76.5  0.5215578  0.0952230           E266100200099 
        30.        40.       80.5  1.1474270  0.1412385           E266100200100 
        30.        40.       84.5  1.4255911  0.1574302           E266100200101 
        30.        40.       88.5  2.2600834  0.1982224           E266100200102 
        30.        40.       92.5  2.8164117  0.2212782           E266100200103 
        30.        40.       96.5  3.1988873  0.2358251           E266100200104 
        30.        40.      100.5  3.6509039  0.2519363           E266100200105 
        30.        40.      104.5  3.3031988  0.2396392           E266100200106 
        30.        40.      108.5  2.5034771  0.2086231           E266100200107 
        30.        40.      112.5  1.4603616  0.1593385           E266100200108 
        30.        40.      116.5  1.5646732  0.1649310           E266100200109 
        30.        40.      120.5  1.5646732  0.1649310           E266100200110 
        30.        40.      124.5  1.4603616  0.1593385           E266100200111 
        30.        40.      128.5  2.5034771  0.2086231           E266100200112 
        30.        40.      132.5  3.3031988  0.2396392           E266100200113 
        30.        40.      136.5  3.6509039  0.2519363           E266100200114 
        30.        40.      140.5  3.1988873  0.2358251           E266100200115 
        30.        40.      144.5  2.8164117  0.2212782           E266100200116 
        30.        40.      148.5  2.2600834  0.1982224           E266100200117 
        30.        40.      152.5  1.4255911  0.1574302           E266100200118 
        30.        40.      156.5  1.1474270  0.1412385           E266100200119 
        30.        40.      160.5  0.5215578  0.0952230           E266100200120 
        30.        40.      164.5  0.4520167  0.0886478           E266100200121 
        30.        40.      168.5  0.3129346  0.0737594           E266100200122 
        30.        40.      172.5  0.1390821  0.0491729           E266100200123 
        30.        40.      176.5  0.0000000  0.0000000           E266100200124 
        30.        40.      180.5  0.0347705  0.0245865           E266100200125 
        30.        40.      184.5  0.1043115  0.0425850           E266100200126 
        30.        40.      188.5  0.0695410  0.0347705           E266100200127 
        30.        40.      192.5  0.0347705  0.0245865           E266100200128 
        30.        40.      196.5  0.0000000  0.0000000           E266100200129 
        40.        50.       40.5  0.0000000  0.0000000           E266100200130 
        40.        50.       44.5  0.0000000  0.0000000           E266100200131 
        40.        50.       48.5  0.0000000  0.0000000           E266100200132 
        40.        50.       52.5  0.0000000  0.0000000           E266100200133 
        40.        50.       56.5  0.0440917  0.0311775           E266100200134 
        40.        50.       60.5  0.0881834  0.0440917           E266100200135 
        40.        50.       64.5  0.0881834  0.0440917           E266100200136 
        40.        50.       68.5  0.2645503  0.0763691           E266100200137 
        40.        50.       72.5  0.2645503  0.0763691           E266100200138 
        40.        50.       76.5  0.5731922  0.1124122           E266100200139 
        40.        50.       80.5  1.1904762  0.1620033           E266100200140 
        40.        50.       84.5  1.4991181  0.1817948           E266100200141 
        40.        50.       88.5  2.3368607  0.2269760           E266100200142 
        40.        50.       92.5  2.5132275  0.2353853           E266100200143 
        40.        50.       96.5  2.9100528  0.2532876           E266100200144 
        40.        50.      100.5  3.6596119  0.2840410           E266100200145 
        40.        50.      104.5  3.0423279  0.2589802           E266100200146 
        40.        50.      108.5  2.7777777  0.2474641           E266100200147 
        40.        50.      112.5  1.8518518  0.2020536           E266100200148 
        40.        50.      116.5  1.8959435  0.2044449           E266100200149 
        40.        50.      120.5  1.8959435  0.2044449           E266100200150 
        40.        50.      124.5  1.8518518  0.2020536           E266100200151 
        40.        50.      128.5  2.7777777  0.2474641           E266100200152 
        40.        50.      132.5  3.0423279  0.2589802           E266100200153 
        40.        50.      136.5  3.6596119  0.2840410           E266100200154 
        40.        50.      140.5  2.9100528  0.2532876           E266100200155 
        40.        50.      144.5  2.5132275  0.2353853           E266100200156 
        40.        50.      148.5  2.3368607  0.2269760           E266100200157 
        40.        50.      152.5  1.4991181  0.1817948           E266100200158 
        40.        50.      156.5  1.1904762  0.1620033           E266100200159 
        40.        50.      160.5  0.5731922  0.1124122           E266100200160 
        40.        50.      164.5  0.2645503  0.0763691           E266100200161 
        40.        50.      168.5  0.2645503  0.0763691           E266100200162 
        40.        50.      172.5  0.0881834  0.0440917           E266100200163 
        40.        50.      176.5  0.0881834  0.0440917           E266100200164 
        40.        50.      180.5  0.0440917  0.0311775           E266100200165 
        40.        50.      184.5  0.0000000  0.0000000           E266100200166 
        40.        50.      188.5  0.0000000  0.0000000           E266100200167 
        40.        50.      192.5  0.0000000  0.0000000           E266100200168 
        40.        50.      196.5  0.0000000  0.0000000           E266100200169 
        50.        60.       40.5  0.0000000  0.0000000           E266100200170 
        50.        60.       44.5 -0.0107494  0.0084620           E266100200171 
        50.        60.       48.5  0.0000000  0.0000000           E266100200172 
        50.        60.       52.5  0.0852146  0.0851467           E266100200173 
        50.        60.       56.5 -0.0191765  0.0120232           E266100200174 
        50.        60.       60.5  0.2443071  0.1186635           E266100200175 
        50.        60.       64.5  0.1531330  0.1210516           E266100200176 
        50.        60.       68.5  0.2711831  0.1715491           E266100200177 
        50.        60.       72.5  0.1771059  0.1500391           E266100200178 
        50.        60.       76.5  0.9030825  0.2542776           E266100200179 
        50.        60.       80.5  0.3992568  0.2289116           E266100200180 
        50.        60.       84.5  1.6286603  0.3505576           E266100200181 
        50.        60.       88.5  1.9248656  0.4003336           E266100200182 
        50.        60.       92.5  2.8172569  0.4746054           E266100200183 
        50.        60.       96.5  1.8227694  0.4209136           E266100200184 
        50.        60.      100.5  2.0465784  0.4460571           E266100200185 
        50.        60.      104.5  3.7111268  0.5307780           E266100200186 
        50.        60.      108.5  2.9316187  0.4735831           E266100200187 
        50.        60.      112.5  2.7990146  0.4740491           E266100200188 
        50.        60.      116.5  3.1147494  0.4722196           E266100200189 
        50.        60.      120.5  3.1147494  0.4722196           E266100200190 
        50.        60.      124.5  2.7990146  0.4740491           E266100200191 
        50.        60.      128.5  2.9316187  0.4735831           E266100200192 
        50.        60.      132.5  3.7111268  0.5307780           E266100200193 
        50.        60.      136.5  2.0465784  0.4460571           E266100200194 
        50.        60.      140.5  1.8227694  0.4209136           E266100200195 
        50.        60.      144.5  2.8172569  0.4746054           E266100200196 
        50.        60.      148.5  1.9248656  0.4003336           E266100200197 
        50.        60.      152.5  1.6286603  0.3505576           E266100200198 
        50.        60.      156.5  0.3992568  0.2289116           E266100200199 
        50.        60.      160.5  0.9030825  0.2542776           E266100200200 
        50.        60.      164.5  0.1771059  0.1500391           E266100200201 
        50.        60.      168.5  0.2711831  0.1715491           E266100200202 
        50.        60.      172.5  0.1531330  0.1210516           E266100200203 
        50.        60.      176.5  0.2443071  0.1186635           E266100200204 
        50.        60.      180.5 -0.0191765  0.0120232           E266100200205 
        50.        60.      184.5  0.0852146  0.0851467           E266100200206 
        50.        60.      188.5  0.0000000  0.0000000           E266100200207 
        50.        60.      192.5 -0.0107494  0.0084620           E266100200208 
        50.        60.      196.5  0.0000000  0.0000000           E266100200209 
ENDDATA            202          0                                 E266100200210 
ENDSUBENT          209          0                                 E266100299999 
SUBENT        E2661003   20210604                             E131E266100300001 
BIB                  2          2                                 E266100300002 
REACTION   (92-U-238(8-O-18,8-O-18+F)MASS,ISP/PRE,FY)             E266100300003 
EN-SEC     (E-EXC,92-U-238)                                       E266100300004 
ENDBIB               2          0                                 E266100300005 
NOCOMMON             0          0                                 E266100300006 
DATA                 5        200                                 E266100300007 
E-EXC-MIN  E-EXC-MAX  MASS       DATA       DATA-ERR              E266100300008 
MEV        MEV        NO-DIM     PC/FIS     PC/FIS                E266100300009 
        10.        20.       41.0  0.0000000  0.0000000           E266100300010 
        10.        20.       45.0  0.0000000  0.0000000           E266100300011 
        10.        20.       49.0  0.0000000  0.0000000           E266100300012 
        10.        20.       53.0  0.0320102  0.0226347           E266100300013 
        10.        20.       57.0  0.1600512  0.0506126           E266100300014 
        10.        20.       61.0  0.0640205  0.0320102           E266100300015 
        10.        20.       65.0  0.0960307  0.0392044           E266100300016 
        10.        20.       69.0  0.1600512  0.0506126           E266100300017 
        10.        20.       73.0  0.2560819  0.0640205           E266100300018 
        10.        20.       77.0  0.6722151  0.1037251           E266100300019 
        10.        20.       81.0  0.6722151  0.1037251           E266100300020 
        10.        20.       85.0  1.2483995  0.1413534           E266100300021 
        10.        20.       89.0  2.4007683  0.1960219           E266100300022 
        10.        20.       93.0  3.5211267  0.2373943           E266100300023 
        10.        20.       97.0  4.2573624  0.2610356           E266100300024 
        10.        20.      101.0  4.1613317  0.2580748           E266100300025 
        10.        20.      105.0  4.0012798  0.2530631           E266100300026 
        10.        20.      109.0  2.1766965  0.1866502           E266100300027 
        10.        20.      113.0  0.8642765  0.1176131           E266100300028 
        10.        20.      117.0  0.2560819  0.0640205           E266100300029 
        10.        20.      121.0  0.2560819  0.0640205           E266100300030 
        10.        20.      125.0  0.8642765  0.1176131           E266100300031 
        10.        20.      129.0  2.1766965  0.1866502           E266100300032 
        10.        20.      133.0  4.0012798  0.2530631           E266100300033 
        10.        20.      137.0  4.1613317  0.2580748           E266100300034 
        10.        20.      141.0  4.2573624  0.2610356           E266100300035 
        10.        20.      145.0  3.5211267  0.2373943           E266100300036 
        10.        20.      149.0  2.4007683  0.1960219           E266100300037 
        10.        20.      153.0  1.2483995  0.1413534           E266100300038 
        10.        20.      157.0  0.6722151  0.1037251           E266100300039 
        10.        20.      161.0  0.6722151  0.1037251           E266100300040 
        10.        20.      165.0  0.2560819  0.0640205           E266100300041 
        10.        20.      169.0  0.1600512  0.0506126           E266100300042 
        10.        20.      173.0  0.0960307  0.0392044           E266100300043 
        10.        20.      177.0  0.0640205  0.0320102           E266100300044 
        10.        20.      181.0  0.1600512  0.0506126           E266100300045 
        10.        20.      185.0  0.0320102  0.0226347           E266100300046 
        10.        20.      189.0  0.0000000  0.0000000           E266100300047 
        10.        20.      193.0  0.0000000  0.0000000           E266100300048 
        10.        20.      197.0  0.0000000  0.0000000           E266100300049 
        20.        30.       41.0  0.0000000  0.0000000           E266100300050 
        20.        30.       45.0  0.0364431  0.0182216           E266100300051 
        20.        30.       49.0  0.0000000  0.0000000           E266100300052 
        20.        30.       53.0  0.0182216  0.0128846           E266100300053 
        20.        30.       57.0  0.0182216  0.0128846           E266100300054 
        20.        30.       61.0  0.0546647  0.0223168           E266100300055 
        20.        30.       65.0  0.0728863  0.0257692           E266100300056 
        20.        30.       69.0  0.1822157  0.0407447           E266100300057 
        20.        30.       73.0  0.2915452  0.0515384           E266100300058 
        20.        30.       77.0  0.5830904  0.0728863           E266100300059 
        20.        30.       81.0  1.0932944  0.0998037           E266100300060 
        20.        30.       85.0  1.4212828  0.1137937           E266100300061 
        20.        30.       89.0  2.0225947  0.1357477           E266100300062 
        20.        30.       93.0  2.8607872  0.1614436           E266100300063 
        20.        30.       97.0  3.7900870  0.1858243           E266100300064 
        20.        30.      101.0  4.3549562  0.1991911           E266100300065 
        20.        30.      105.0  3.5714288  0.1803844           E266100300066 
        20.        30.      109.0  2.4963555  0.1508104           E266100300067 
        20.        30.      113.0  1.3483964  0.1108375           E266100300068 
        20.        30.      117.0  0.7835277  0.0844900           E266100300069 
        20.        30.      121.0  0.7835277  0.0844900           E266100300070 
        20.        30.      125.0  1.3483964  0.1108375           E266100300071 
        20.        30.      129.0  2.4963555  0.1508104           E266100300072 
        20.        30.      133.0  3.5714288  0.1803844           E266100300073 
        20.        30.      137.0  4.3549562  0.1991911           E266100300074 
        20.        30.      141.0  3.7900870  0.1858243           E266100300075 
        20.        30.      145.0  2.8607872  0.1614436           E266100300076 
        20.        30.      149.0  2.0225947  0.1357477           E266100300077 
        20.        30.      153.0  1.4212828  0.1137937           E266100300078 
        20.        30.      157.0  1.0932944  0.0998037           E266100300079 
        20.        30.      161.0  0.5830904  0.0728863           E266100300080 
        20.        30.      165.0  0.2915452  0.0515384           E266100300081 
        20.        30.      169.0  0.1822157  0.0407447           E266100300082 
        20.        30.      173.0  0.0728863  0.0257692           E266100300083 
        20.        30.      177.0  0.0546647  0.0223168           E266100300084 
        20.        30.      181.0  0.0182216  0.0128846           E266100300085 
        20.        30.      185.0  0.0182216  0.0128846           E266100300086 
        20.        30.      189.0  0.0000000  0.0000000           E266100300087 
        20.        30.      193.0  0.0364431  0.0182216           E266100300088 
        20.        30.      197.0  0.0000000  0.0000000           E266100300089 
        30.        40.       41.0  0.0000000  0.0000000           E266100300090 
        30.        40.       45.0  0.0000000  0.0000000           E266100300091 
        30.        40.       49.0  0.0000000  0.0000000           E266100300092 
        30.        40.       53.0  0.0330688  0.0165344           E266100300093 
        30.        40.       57.0  0.0496032  0.0202504           E266100300094 
        30.        40.       61.0  0.0330688  0.0165344           E266100300095 
        30.        40.       65.0  0.1653439  0.0369720           E266100300096 
        30.        40.       69.0  0.2149471  0.0421546           E266100300097 
        30.        40.       73.0  0.4133598  0.0584579           E266100300098 
        30.        40.       77.0  0.5621693  0.0681730           E266100300099 
        30.        40.       81.0  0.8928571  0.0859152           E266100300100 
        30.        40.       85.0  1.7195766  0.1192312           E266100300101 
        30.        40.       89.0  2.4470899  0.1422342           E266100300102 
        30.        40.       93.0  3.3730159  0.1669892           E266100300103 
        30.        40.       97.0  3.7367725  0.1757630           E266100300104 
        30.        40.      101.0  3.4556882  0.1690232           E266100300105 
        30.        40.      105.0  2.9927249  0.1572941           E266100300106 
        30.        40.      109.0  2.2652116  0.1368464           E266100300107 
        30.        40.      113.0  1.5873016  0.1145536           E266100300108 
        30.        40.      117.0  1.0582011  0.0935326           E266100300109 
        30.        40.      121.0  1.0582011  0.0935326           E266100300110 
        30.        40.      125.0  1.5873016  0.1145536           E266100300111 
        30.        40.      129.0  2.2652116  0.1368464           E266100300112 
        30.        40.      133.0  2.9927249  0.1572941           E266100300113 
        30.        40.      137.0  3.4556882  0.1690232           E266100300114 
        30.        40.      141.0  3.7367725  0.1757630           E266100300115 
        30.        40.      145.0  3.3730159  0.1669892           E266100300116 
        30.        40.      149.0  2.4470899  0.1422342           E266100300117 
        30.        40.      153.0  1.7195766  0.1192312           E266100300118 
        30.        40.      157.0  0.8928571  0.0859152           E266100300119 
        30.        40.      161.0  0.5621693  0.0681730           E266100300120 
        30.        40.      165.0  0.4133598  0.0584579           E266100300121 
        30.        40.      169.0  0.2149471  0.0421546           E266100300122 
        30.        40.      173.0  0.1653439  0.0369720           E266100300123 
        30.        40.      177.0  0.0330688  0.0165344           E266100300124 
        30.        40.      181.0  0.0496032  0.0202504           E266100300125 
        30.        40.      185.0  0.0330688  0.0165344           E266100300126 
        30.        40.      189.0  0.0000000  0.0000000           E266100300127 
        30.        40.      193.0  0.0000000  0.0000000           E266100300128 
        30.        40.      197.0  0.0000000  0.0000000           E266100300129 
        40.        50.       41.0  0.0195465  0.0138215           E266100300130 
        40.        50.       45.0  0.0195465  0.0138215           E266100300131 
        40.        50.       49.0  0.0000000  0.0000000           E266100300132 
        40.        50.       53.0  0.0390930  0.0195465           E266100300133 
        40.        50.       57.0  0.0195465  0.0138215           E266100300134 
        40.        50.       61.0  0.0977326  0.0309058           E266100300135 
        40.        50.       65.0  0.1368256  0.0365682           E266100300136 
        40.        50.       69.0  0.1759187  0.0414644           E266100300137 
        40.        50.       73.0  0.3909304  0.0618115           E266100300138 
        40.        50.       77.0  0.7427678  0.0852013           E266100300139 
        40.        50.       81.0  0.8209539  0.0895734           E266100300140 
        40.        50.       85.0  1.6223612  0.1259197           E266100300141 
        40.        50.       89.0  1.7982799  0.1325710           E266100300142 
        40.        50.       93.0  3.0297105  0.1720760           E266100300143 
        40.        50.       97.0  3.1469898  0.1753749           E266100300144 
        40.        50.      101.0  3.6747458  0.1895106           E266100300145 
        40.        50.      105.0  3.1860824  0.1764608           E266100300146 
        40.        50.      109.0  2.3651290  0.1520362           E266100300147 
        40.        50.      113.0  2.0132916  0.1402727           E266100300148 
        40.        50.      117.0  1.7005472  0.1289181           E266100300149 
        40.        50.      121.0  1.7005472  0.1289181           E266100300150 
        40.        50.      125.0  2.0132916  0.1402727           E266100300151 
        40.        50.      129.0  2.3651290  0.1520362           E266100300152 
        40.        50.      133.0  3.1860824  0.1764608           E266100300153 
        40.        50.      137.0  3.6747458  0.1895106           E266100300154 
        40.        50.      141.0  3.1469898  0.1753749           E266100300155 
        40.        50.      145.0  3.0297105  0.1720760           E266100300156 
        40.        50.      149.0  1.7982799  0.1325710           E266100300157 
        40.        50.      153.0  1.6223612  0.1259197           E266100300158 
        40.        50.      157.0  0.8209539  0.0895734           E266100300159 
        40.        50.      161.0  0.7427678  0.0852013           E266100300160 
        40.        50.      165.0  0.3909304  0.0618115           E266100300161 
        40.        50.      169.0  0.1759187  0.0414644           E266100300162 
        40.        50.      173.0  0.1368256  0.0365682           E266100300163 
        40.        50.      177.0  0.0977326  0.0309058           E266100300164 
        40.        50.      181.0  0.0195465  0.0138215           E266100300165 
        40.        50.      185.0  0.0390930  0.0195465           E266100300166 
        40.        50.      189.0  0.0000000  0.0000000           E266100300167 
