ENTRY            E1986   20130309                             E074E198600000001 
SUBENT        E1986001   20130309                             E074E198600100001 
BIB                 15         42                                 E198600100002 
TITLE      Measurement of neutron emission spectra in Li(d,xn)    E198600100003 
           reaction with thick and thin targets for 40-MeV        E198600100004 
           deuterons                                              E198600100005 
AUTHOR     (M.Hagiwara, T.Itoga, N.Kawata, N.Hirabayashi, T.Oishi,E198600100006 
            T.Yamauchi, M.Baba, M.Sugimoto, T.Muroga)             E198600100007 
INSTITUTE  (2JPNTOH) Cyclotron and Radioisotope Center            E198600100008 
           (2JPNJAE)                                              E198600100009 
           (2JPNNIF)                                              E198600100010 
REFERENCE  (J,FST,48,(3),1320,200511)                             E198600100011 
PART-DET   (N)                                                    E198600100012 
INC-SOURCE Beam intensity is 0.1 to 20 nA.                        E198600100013 
SAMPLE     - Target is natural.                                   E198600100014 
           - Chemical-form of target is element.                  E198600100015 
           - Physical-form of target is solid.                    E198600100016 
           - Backing-thickness: 30-mm diameter x 21.4-mm          E198600100017 
             thickness (thick target) and 30-mm diameter x        E198600100018 
             0.86-mm thickness (thin target)                      E198600100019 
METHOD     (TOF) Flight path of 11/3.45 m for high/low energy     E198600100020 
                 region                                           E198600100021 
FACILITY   (ISOCY,2JPNTOH) AVF cyclotron at Cyclotron and         E198600100022 
                           Radioisotope Center                    E198600100023 
DETECTOR   Solid angle of detector is less than 0.17 msr.         E198600100024 
           (SCIN) To detect neutrons emitted from targets (NE213) E198600100025 
CORRECTION Correction were performed for the effects of (a)       E198600100026 
           neutron attenuation in target and (b) neutron          E198600100027 
           attenuation in the air and the wall of target chamber. E198600100028 
ERR-ANALYS (ERR-1) Uncertainty of detector efficiency with the    E198600100029 
                   SCINFUL-R code                                 E198600100030 
           (ERR-2,,10.) Maximum uncertainty of attenuation in     E198600100031 
                        target (larger at backward angles and     E198600100032 
                        ranged up to 20% at low energy (<8 MeV)   E198600100033 
                        and generally several percent for the air E198600100034 
                        and chamber wall.) (<10%)                 E198600100035 
           (ERR-S,,10.) Maximum statistical uncertainty (larger   E198600100036 
                        than 20% at the highest energy (>40 MeV)) E198600100037 
                        (<10%)                                    E198600100038 
ADD-RES    (N-SPC) Neutron energy spectra from thin lithium       E198600100039 
                   target (Fig.10, p1326 in reference)            E198600100040 
STATUS     (APRVD) Proofread by Masayuki Hagiwara (2006.05.31)    E198600100041 
HISTORY    (20060530R) On. Received by e-mail from M.Hagiwara     E198600100042 
           (20060531C) Kc + On                                    E198600100043 
           (20130205A) MA. 004: REL-REF corrected                 E198600100044 
ENDBIB              42          0                                 E198600100045 
COMMON               1          3                                 E198600100046 
ERR-1                                                             E198600100047 
PER-CENT                                                          E198600100048 
 6.                                                               E198600100049 
ENDCOMMON            3          0                                 E198600100050 
ENDSUBENT           49          0                                 E198600199999 
SUBENT        E1986002   20070208                             E042E198600200001 
BIB                  5         13                                 E198600200002 
REL-REF    (A,,M.J.Saltmarsh+,J,NIM,145,81,1977)                  E198600200003 
           Good agreement with the present data on the whole up   E198600200004 
           to 40 MeV, but their data at 0 deg are rather smaller  E198600200005 
           than the present data and a little bit larger at other E198600200006 
           angles except for the data at 45 deg.                  E198600200007 
REACTION   (3-LI-0(D,X)0-NN-1,,TTY/PY/DA/DE)                      E198600200008 
EN-SEC     ANG is polar angle between beam and neutron in         E198600200009 
           laboratory system                                      E198600200010 
           (E,N)                                                  E198600200011 
ADD-RES    (COMP) Monte-Carlo method (Monte Carlo codes McDeLi,   E198600200012 
                  McDeLicious and MCNPX)                          E198600200013 
STATUS     (TABLE) Data (Fig.5, p1324 in reference) received by   E198600200014 
                   e-mail from M.Hagiwara (2006.05.30)            E198600200015 
ENDBIB              13          0                                 E198600200016 
COMMON               2          3                                 E198600200017 
EN         ANG-RSL                                                E198600200018 
MEV        ADEG                                                   E198600200019 
 40.        0.5                                                   E198600200020 
ENDCOMMON            3          0                                 E198600200021 
DATA                 5        769                                 E198600200022 
ANG        E          E-ERR      DATA       ERR-T                 E198600200023 
 0.         20.         4.331E-01  2.152E+10  2.180E+09           E198600200080 
 0.         21.         4.658E-01  1.910E+10  1.927E+09           E198600200081 
 0.         22.         4.994E-01  1.660E+10  1.669E+09           E198600200082 
 0.         23.         5.338E-01  1.401E+10  1.404E+09           E198600200083 
 0.         24.         5.689E-01  1.159E+10  1.157E+09           E198600200084 
 0.         25.         6.049E-01  9.394E+09  9.352E+08           E198600200085 
 0.         26.         6.416E-01  7.654E+09  7.600E+08           E198600200086 
 0.         27.         6.790E-01  6.233E+09  6.173E+08           E198600200087 
 0.         28.         7.172E-01  5.052E+09  4.994E+08           E198600200088 
 0.         29.         7.562E-01  4.022E+09  3.970E+08           E198600200089 
 0.         30.         7.958E-01  3.119E+09  3.076E+08           E198600200090 
 0.         31.         8.362E-01  2.328E+09  2.296E+08           E198600200091 
 0.         32.         8.772E-01  1.673E+09  1.654E+08           E198600200092 
 0.         33.         9.190E-01  1.187E+09  1.179E+08           E198600200093 
 0.         34.         9.614E-01  8.563E+08  8.573E+07           E198600200094 
 0.         35.         1.005E+00  5.911E+08  5.998E+07           E198600200095 
 0.         36.         1.048E+00  3.980E+08  4.135E+07           E198600200096 
 0.         37.         1.093E+00  2.342E+08  2.560E+07           E198600200097 
 0.         38.         1.138E+00  1.607E+08  1.855E+07           E198600200098 
 0.         39.         1.184E+00  1.080E+08  1.353E+07           E198600200099 
 0.         40.         1.230E+00  1.049E+08  1.324E+07           E198600200100 
 0.         41.         1.277E+00  1.020E+08  1.297E+07           E198600200101 
 0.         42.         1.325E+00  9.740E+07  1.254E+07           E198600200102 
 0.         43.         1.373E+00  9.008E+07  1.183E+07           E198600200103 
 0.         44.         1.422E+00  9.954E+07  1.271E+07           E198600200104 
 0.         45.         1.472E+00  8.711E+07  1.155E+07           E198600200105 
 0.         46.         1.522E+00  9.795E+07  1.256E+07           E198600200106 
 0.         47.         1.573E+00  1.048E+08  1.322E+07           E198600200107 
 0.         48.         1.624E+00  9.943E+07  1.271E+07           E198600200108 
 0.         49.         1.676E+00  1.061E+08  1.334E+07           E198600200109 
 0.         50.         1.729E+00  8.523E+07  1.139E+07           E198600200110 
 0.         51.         1.782E+00  7.001E+07  9.963E+06           E198600200111 
 0.         52.         1.835E+00  4.642E+07  7.727E+06           E198600200112 
 0.         53.         1.890E+00  3.947E+07  7.079E+06           E198600200113 
 0.         54.         1.945E+00  2.297E+07  5.479E+06           E198600200114 
 0.         55.         2.000E+00  1.253E+07  4.449E+06           E198600200115 
 10.        1.          1.341E-02  9.067E+09  1.351E+09           E198600200116 
 10.        1.1         1.526E-02  9.046E+09  1.428E+09           E198600200117 
 10.        1.2         1.719E-02  8.490E+09  1.425E+09           E198600200118 
 10.        1.3         1.918E-02  8.315E+09  1.502E+09           E198600200119 
 10.        1.4         2.125E-02  8.075E+09  1.376E+09           E198600200120 
 10.        1.5         2.338E-02  7.910E+09  1.307E+09           E198600200121 
 10.        1.6         2.558E-02  7.944E+09  1.259E+09           E198600200122 
 10.        1.7         2.784E-02  7.655E+09  1.188E+09           E198600200123 
 10.        1.8         3.017E-02  7.510E+09  1.143E+09           E198600200124 
 10.        1.9         3.255E-02  7.479E+09  1.115E+09           E198600200125 
 10.        2.          3.499E-02  7.131E+09  1.047E+09           E198600200126 
 10.        2.1         3.750E-02  6.992E+09  1.013E+09           E198600200127 
 10.        2.2         4.005E-02  6.980E+09  9.940E+08           E198600200128 
 10.        2.3         4.267E-02  6.966E+09  9.749E+08           E198600200129 
 10.        2.4         4.533E-02  7.049E+09  9.726E+08           E198600200130 
 10.        2.5         4.805E-02  6.915E+09  9.416E+08           E198600200131 
 10.        2.6         5.082E-02  6.739E+09  9.058E+08           E198600200132 
 10.        2.7         5.365E-02  6.779E+09  9.006E+08           E198600200133 
 10.        2.8         5.652E-02  6.911E+09  9.090E+08           E198600200134 
 10.        2.9         5.944E-02  6.720E+09  8.717E+08           E198600200135 
 10.        3.          6.241E-02  6.765E+09  8.677E+08           E198600200136 
 10.        3.1         6.543E-02  6.964E+09  8.827E+08           E198600200137 
 10.        3.2         6.850E-02  6.905E+09  8.669E+08           E198600200138 
 10.        3.3         7.161E-02  6.915E+09  8.599E+08           E198600200139 
 10.        3.4         7.477E-02  6.501E+09  8.019E+08           E198600200140 
 10.        3.5         7.797E-02  6.555E+09  8.009E+08           E198600200141 
 10.        3.6         8.122E-02  6.372E+09  7.724E+08           E198600200142 
 10.        3.7         8.451E-02  6.232E+09  7.500E+08           E198600200143 
 10.        3.8         8.785E-02  6.209E+09  7.417E+08           E198600200144 
 10.        3.9         9.123E-02  5.960E+09  7.071E+08           E198600200145 
 10.        4.          9.465E-02  5.922E+09  6.972E+08           E198600200146 
 10.        4.1         9.811E-02  5.729E+09  6.706E+08           E198600200147 
 10.        4.2         1.016E-01  5.500E+09  6.400E+08           E198600200148 
 10.        4.3         1.052E-01  5.214E+09  6.029E+08           E198600200149 
 10.        4.4         1.087E-01  5.226E+09  6.006E+08           E198600200150 
 10.        4.5         1.124E-01  4.988E+09  5.706E+08           E198600200151 
 10.        4.6         1.160E-01  4.854E+09  5.523E+08           E198600200152 
 10.        4.7         1.197E-01  4.712E+09  5.332E+08           E198600200153 
 10.        4.8         1.235E-01  4.635E+09  5.220E+08           E198600200154 
 10.        4.9         1.273E-01  4.949E+09  5.541E+08           E198600200155 
 10.        5.          1.311E-01  4.260E+09  4.652E+08           E198600200156 
 10.        6.          1.713E-01  4.239E+09  4.600E+08           E198600200157 
 10.        7.          9.243E-02  4.956E+09  5.343E+08           E198600200158 
 10.        8.          1.122E-01  6.155E+09  6.602E+08           E198600200159 
 10.        9.          1.332E-01  6.326E+09  6.750E+08           E198600200160 
 10.        10.         1.553E-01  6.879E+09  7.300E+08           E198600200161 
 10.        11.         1.786E-01  7.039E+09  7.430E+08           E198600200162 
 10.        12.         2.030E-01  7.519E+09  7.905E+08           E198600200163 
 10.        13.         2.284E-01  7.744E+09  8.101E+08           E198600200164 
 10.        14.         2.549E-01  7.796E+09  8.118E+08           E198600200165 
 10.        15.         2.823E-01  7.709E+09  7.990E+08           E198600200166 
 10.        16.         3.107E-01  7.486E+09  7.727E+08           E198600200167 
 10.        17.         3.399E-01  7.233E+09  7.438E+08           E198600200168 
 10.        18.         3.701E-01  6.853E+09  7.019E+08           E198600200169 
 10.        19.         4.012E-01  6.293E+09  6.422E+08           E198600200170 
 10.        20.         4.331E-01  5.730E+09  5.825E+08           E198600200171 
 10.        21.         4.658E-01  5.198E+09  5.260E+08           E198600200172 
 10.        22.         4.994E-01  4.702E+09  4.743E+08           E198600200173 
 10.        23.         5.338E-01  4.163E+09  4.184E+08           E198600200174 
 10.        24.         5.689E-01  3.642E+09  3.648E+08           E198600200175 
 10.        25.         6.049E-01  3.252E+09  3.247E+08           E198600200176 
 10.        26.         6.416E-01  2.808E+09  2.795E+08           E198600200177 
 10.        27.         6.790E-01  2.468E+09  2.449E+08           E198600200178 
 10.        28.         7.172E-01  1.968E+09  1.949E+08           E198600200179 
 10.        29.         7.562E-01  1.642E+09  1.623E+08           E198600200180 
 10.        30.         7.958E-01  1.318E+09  1.301E+08           E198600200181 
 10.        31.         8.362E-01  1.042E+09  1.027E+08           E198600200182 
 10.        32.         8.772E-01  7.806E+08  7.701E+07           E198600200183 
 10.        33.         9.190E-01  6.207E+08  6.129E+07           E198600200184 
 10.        34.         9.614E-01  4.877E+08  4.825E+07           E198600200185 
 10.        35.         1.005E+00  4.311E+08  4.266E+07           E198600200186 
 10.        36.         1.048E+00  3.375E+08  3.355E+07           E198600200187 
 10.        37.         1.093E+00  2.408E+08  2.418E+07           E198600200188 
 10.        38.         1.138E+00  2.009E+08  2.031E+07           E198600200189 
 10.        39.         1.184E+00  1.938E+08  1.960E+07           E198600200190 
 10.        40.         1.230E+00  1.957E+08  1.974E+07           E198600200191 
 10.        41.         1.277E+00  2.099E+08  2.108E+07           E198600200192 
 10.        42.         1.325E+00  2.039E+08  2.048E+07           E198600200193 
 10.        43.         1.373E+00  2.080E+08  2.083E+07           E198600200194 
 10.        44.         1.422E+00  1.909E+08  1.918E+07           E198600200195 
 10.        45.         1.472E+00  1.961E+08  1.966E+07           E198600200196 
 10.        46.         1.522E+00  1.924E+08  1.927E+07           E198600200197 
 10.        47.         1.573E+00  1.843E+08  1.849E+07           E198600200198 
 10.        48.         1.624E+00  1.684E+08  1.698E+07           E198600200199 
 10.        49.         1.676E+00  1.449E+08  1.476E+07           E198600200200 
 10.        50.         1.729E+00  1.160E+08  1.204E+07           E198600200201 
 10.        51.         1.782E+00  8.622E+07  9.240E+06           E198600200202 
 10.        52.         1.835E+00  5.878E+07  6.651E+06           E198600200203 
 10.        53.         1.890E+00  3.792E+07  4.664E+06           E198600200204 
 10.        54.         1.945E+00  2.184E+07  3.087E+06           E198600200205 
 10.        55.         2.000E+00  1.535E+07  2.421E+06           E198600200206 
 15.        1.          1.341E-02  8.482E+09  1.273E+09           E198600200207 
 15.        1.1         1.526E-02  8.592E+09  1.367E+09           E198600200208 
 15.        1.2         1.719E-02  8.232E+09  1.393E+09           E198600200209 
 15.        1.3         1.918E-02  7.971E+09  1.452E+09           E198600200210 
 15.        1.4         2.125E-02  7.561E+09  1.299E+09           E198600200211 
 15.        1.5         2.338E-02  7.386E+09  1.231E+09           E198600200212 
 15.        1.6         2.558E-02  7.249E+09  1.158E+09           E198600200213 
 15.        1.7         2.784E-02  6.914E+09  1.081E+09           E198600200214 
 15.        1.8         3.017E-02  7.124E+09  1.092E+09           E198600200215 
 15.        1.9         3.255E-02  6.776E+09  1.018E+09           E198600200216 
 15.        2.          3.499E-02  6.758E+09  9.986E+08           E198600200217 
 15.        2.1         3.750E-02  6.699E+09  9.771E+08           E198600200218 
 15.        2.2         4.005E-02  6.503E+09  9.321E+08           E198600200219 
 15.        2.3         4.267E-02  6.502E+09  9.157E+08           E198600200220 
 15.        2.4         4.533E-02  6.298E+09  8.746E+08           E198600200221 
 15.        2.5         4.805E-02  6.379E+09  8.738E+08           E198600200222 
 15.        2.6         5.082E-02  6.272E+09  8.478E+08           E198600200223 
 15.        2.7         5.365E-02  6.162E+09  8.233E+08           E198600200224 
 15.        2.8         5.652E-02  6.292E+09  8.323E+08           E198600200225 
 15.        2.9         5.944E-02  6.145E+09  8.014E+08           E198600200226 
 15.        3.          6.241E-02  6.108E+09  7.876E+08           E198600200227 
 15.        3.1         6.543E-02  6.212E+09  7.916E+08           E198600200228 
 15.        3.2         6.850E-02  6.208E+09  7.834E+08           E198600200229 
 15.        3.3         7.161E-02  6.101E+09  7.625E+08           E198600200230 
 15.        3.4         7.477E-02  6.084E+09  7.536E+08           E198600200231 
 15.        3.5         7.797E-02  5.900E+09  7.240E+08           E198600200232 
 15.        3.6         8.122E-02  5.775E+09  7.031E+08           E198600200233 
 15.        3.7         8.451E-02  5.385E+09  6.511E+08           E198600200234 
 15.        3.8         8.785E-02  5.256E+09  6.309E+08           E198600200235 
 15.        3.9         9.123E-02  5.158E+09  6.144E+08           E198600200236 
 15.        4.          9.465E-02  5.046E+09  5.966E+08           E198600200237 
 15.        4.1         9.811E-02  4.871E+09  5.726E+08           E198600200238 
 15.        4.2         1.016E-01  4.772E+09  5.573E+08           E198600200239 
 15.        4.3         1.052E-01  4.545E+09  5.273E+08           E198600200240 
 15.        4.4         1.087E-01  4.453E+09  5.136E+08           E198600200241 
 15.        4.5         1.124E-01  4.357E+09  5.000E+08           E198600200242 
 15.        4.6         1.160E-01  4.249E+09  4.848E+08           E198600200243 
 15.        4.7         1.197E-01  3.993E+09  4.532E+08           E198600200244 
 15.        4.8         1.235E-01  4.105E+09  4.633E+08           E198600200245 
 15.        4.9         1.273E-01  4.034E+09  4.533E+08           E198600200246 
 15.        5.          1.311E-01  3.448E+09  3.784E+08           E198600200247 
 15.        6.          1.713E-01  3.248E+09  3.542E+08           E198600200248 
 15.        7.          9.243E-02  3.549E+09  3.845E+08           E198600200249 
 15.        8.          1.122E-01  4.156E+09  4.480E+08           E198600200250 
 15.        9.          1.332E-01  4.106E+09  4.404E+08           E198600200251 
 15.        10.         1.553E-01  4.225E+09  4.507E+08           E198600200252 
 15.        11.         1.786E-01  4.141E+09  4.392E+08           E198600200253 
 15.        12.         2.030E-01  4.178E+09  4.414E+08           E198600200254 
 15.        13.         2.284E-01  4.202E+09  4.417E+08           E198600200255 
 15.        14.         2.549E-01  4.107E+09  4.298E+08           E198600200256 
 15.        15.         2.823E-01  3.992E+09  4.157E+08           E198600200257 
 15.        16.         3.107E-01  3.838E+09  3.980E+08           E198600200258 
 15.        17.         3.399E-01  3.693E+09  3.815E+08           E198600200259 
 15.        18.         3.701E-01  3.496E+09  3.598E+08           E198600200260 
 15.        19.         4.012E-01  3.180E+09  3.261E+08           E198600200261 
 15.        20.         4.331E-01  2.963E+09  3.026E+08           E198600200262 
 15.        21.         4.658E-01  2.685E+09  2.729E+08           E198600200263 
 15.        22.         4.994E-01  2.465E+09  2.498E+08           E198600200264 
 15.        23.         5.338E-01  2.247E+09  2.268E+08           E198600200265 
 15.        24.         5.689E-01  2.044E+09  2.056E+08           E198600200266 
 15.        25.         6.049E-01  1.808E+09  1.812E+08           E198600200267 
 15.        26.         6.416E-01  1.619E+09  1.619E+08           E198600200268 
 15.        27.         6.790E-01  1.420E+09  1.415E+08           E198600200269 
 15.        28.         7.172E-01  1.145E+09  1.139E+08           E198600200270 
 15.        29.         7.562E-01  9.643E+08  9.570E+07           E198600200271 
 15.        30.         7.958E-01  7.891E+08  7.818E+07           E198600200272 
 15.        31.         8.362E-01  6.387E+08  6.319E+07           E198600200273 
 15.        32.         8.772E-01  5.140E+08  5.083E+07           E198600200274 
 15.        33.         9.190E-01  4.309E+08  4.260E+07           E198600200275 
 15.        34.         9.614E-01  3.584E+08  3.543E+07           E198600200276 
 15.        35.         1.005E+00  3.452E+08  3.405E+07           E198600200277 
 15.        36.         1.048E+00  2.834E+08  2.800E+07           E198600200278 
 15.        37.         1.093E+00  2.105E+08  2.091E+07           E198600200279 
 15.        38.         1.138E+00  1.864E+08  1.855E+07           E198600200280 
 15.        39.         1.184E+00  1.905E+08  1.891E+07           E198600200281 
 15.        40.         1.230E+00  1.846E+08  1.829E+07           E198600200282 
 15.        41.         1.277E+00  1.921E+08  1.899E+07           E198600200283 
 15.        42.         1.325E+00  1.850E+08  1.828E+07           E198600200284 
 15.        43.         1.373E+00  1.914E+08  1.885E+07           E198600200285 
 15.        44.         1.422E+00  1.921E+08  1.889E+07           E198600200286 
 15.        45.         1.472E+00  1.873E+08  1.840E+07           E198600200287 
 15.        46.         1.522E+00  1.725E+08  1.697E+07           E198600200288 
 15.        47.         1.573E+00  1.577E+08  1.556E+07           E198600200289 
 15.        48.         1.624E+00  1.353E+08  1.342E+07           E198600200290 
 15.        49.         1.676E+00  1.140E+08  1.141E+07           E198600200291 
 15.        50.         1.729E+00  8.642E+07  8.810E+06           E198600200292 
 15.        51.         1.782E+00  5.814E+07  6.153E+06           E198600200293 
 15.        52.         1.835E+00  3.492E+07  3.958E+06           E198600200294 
 15.        53.         1.890E+00  2.321E+07  2.843E+06           E198600200295 
 15.        54.         1.945E+00  1.362E+07  1.909E+06           E198600200296 
 15.        55.         2.000E+00  6.811E+06  1.205E+06           E198600200297 
 20.        1.          1.341E-02  9.953E+09  1.511E+09           E198600200298 
 20.        1.1         1.526E-02  9.963E+09  1.605E+09           E198600200299 
 20.        1.2         1.719E-02  9.284E+09  1.592E+09           E198600200300 
 20.        1.3         1.918E-02  9.296E+09  1.717E+09           E198600200301 
 20.        1.4         2.125E-02  8.873E+09  1.544E+09           E198600200302 
 20.        1.5         2.338E-02  8.624E+09  1.456E+09           E198600200303 
 20.        1.6         2.558E-02  8.440E+09  1.365E+09           E198600200304 
