EN-MAX     MASS       DATA       ERR-S                            G002500200010 
MEV        NO-DIM     PC/FIS     PC/FIS                           G002500200011 
 8.5         95.        5.03E+000  1.09E-001                      G002500200286 
 8.5         96.        5.60E+000  1.15E-001                      G002500200287 
 8.5         97.        5.45E+000  1.14E-001                      G002500200288 
 8.5         98.        5.64E+000  1.15E-001                      G002500200289 
 8.5         99.        6.39E+000  1.23E-001                      G002500200290 
 8.5        100.        6.61E+000  1.25E-001                      G002500200291 
 8.5        101.        6.55E+000  1.24E-001                      G002500200292 
 8.5        102.        5.99E+000  1.19E-001                      G002500200293 
 8.5        103.        5.89E+000  1.18E-001                      G002500200294 
 8.5        104.        5.26E+000  1.12E-001                      G002500200295 
 8.5        105.        4.28E+000  1.01E-001                      G002500200296 
 8.5        106.        3.61E+000  9.24E-002                      G002500200297 
 8.5        107.        2.72E+000  8.02E-002                      G002500200298 
 8.5        108.        1.75E+000  6.43E-002                      G002500200299 
 8.5        109.        1.17E+000  5.27E-002                      G002500200300 
 8.5        110.        6.01E-001  3.77E-002                      G002500200301 
 8.5        111.        3.52E-001  2.89E-002                      G002500200302 
 8.5        112.        1.82E-001  2.08E-002                      G002500200303 
 8.5        113.        1.14E-001  1.64E-002                      G002500200304 
 8.5        114.        6.15E-002  1.21E-002                      G002500200305 
 8.5        115.        4.02E-002  9.75E-003                      G002500200306 
 8.5        116.        3.07E-002  8.53E-003                      G002500200307 
 8.5        117.        1.89E-002  6.69E-003                      G002500200308 
 8.5        118.        9.46E-003  4.73E-003                      G002500200309 
 8.5        119.        2.37E-002  7.48E-003                      G002500200310 
 8.5        120.        9.46E-003  4.73E-003                      G002500200311 
 8.5        121.        1.89E-002  6.69E-003                      G002500200312 
 8.5        122.        3.07E-002  8.53E-003                      G002500200313 
 8.5        123.        4.02E-002  9.75E-003                      G002500200314 
 8.5        124.        6.15E-002  1.21E-002                      G002500200315 
 8.5        125.        1.14E-001  1.64E-002                      G002500200316 
 8.5        126.        1.82E-001  2.08E-002                      G002500200317 
 8.5        127.        3.52E-001  2.89E-002                      G002500200318 
 8.5        128.        6.01E-001  3.77E-002                      G002500200319 
 8.5        129.        1.17E+000  5.27E-002                      G002500200320 
 8.5        130.        1.75E+000  6.43E-002                      G002500200321 
 8.5        131.        2.72E+000  8.02E-002                      G002500200322 
 8.5        132.        3.61E+000  9.24E-002                      G002500200323 
 8.5        133.        4.28E+000  1.01E-001                      G002500200324 
 8.5        134.        5.26E+000  1.12E-001                      G002500200325 
 8.5        135.        5.89E+000  1.18E-001                      G002500200326 
 8.5        136.        5.99E+000  1.19E-001                      G002500200327 
 8.5        137.        6.55E+000  1.24E-001                      G002500200328 
 8.5        138.        6.61E+000  1.25E-001                      G002500200329 
 8.5        139.        6.39E+000  1.23E-001                      G002500200330 
 8.5        140.        5.64E+000  1.15E-001                      G002500200331 
 8.5        141.        5.45E+000  1.14E-001                      G002500200332 
 8.5        142.        5.60E+000  1.15E-001                      G002500200333 
 8.5        143.        5.03E+000  1.09E-001                      G002500200334 
 8.5        144.        4.63E+000  1.05E-001                      G002500200335 
 8.5        145.        4.14E+000  9.89E-002                      G002500200336 
 8.5        146.        3.80E+000  9.48E-002                      G002500200337 
 8.5        147.        3.09E+000  8.55E-002                      G002500200338 
 8.5        148.        2.59E+000  7.82E-002                      G002500200339 
 8.5        149.        2.13E+000  7.09E-002                      G002500200340 
 8.5        150.        1.69E+000  6.33E-002                      G002500200341 
 8.5        151.        1.25E+000  5.43E-002                      G002500200342 
 8.5        152.        9.96E-001  4.85E-002                      G002500200343 
 8.5        153.        6.93E-001  4.05E-002                      G002500200344 
 8.5        154.        5.56E-001  3.63E-002                      G002500200345 
 8.5        155.        4.28E-001  3.18E-002                      G002500200346 
 8.5        156.        2.67E-001  2.51E-002                      G002500200347 
 8.5        157.        1.51E-001  1.89E-002                      G002500200348 
 8.5        158.        1.02E-001  1.55E-002                      G002500200349 
 8.5        159.        5.20E-002  1.11E-002                      G002500200350 
 8.5        160.        3.78E-002  9.46E-003                      G002500200351 
 8.5        161.        2.60E-002  7.84E-003                      G002500200352 
 8.5        162.        1.42E-002  5.79E-003                      G002500200353 
 8.5        163.        4.73E-003  3.34E-003                      G002500200354 
 8.5        164.        0.00E+000  0.00E+000                      G002500200355 
 8.5        165.        0.00E+000  0.00E+000                      G002500200356 
 8.5        166.        2.36E-003  2.36E-003                      G002500200357 
 8.5        167.        0.00E+000  0.00E+000                      G002500200358 
 8.5        168.        0.00E+000  0.00E+000                      G002500200359 
 8.5        169.        0.00E+000  0.00E+000                      G002500200360 
 8.5        170.        0.00E+000  0.00E+000                      G002500200361 
 8.5        171.        0.00E+000  0.00E+000                      G002500200362 
 8.5        172.        0.00E+000  0.00E+000                      G002500200363 
 8.5        173.        0.00E+000  0.00E+000                      G002500200364 
 8.5        174.        0.00E+000  0.00E+000                      G002500200365 
 8.5        175.        0.00E+000  0.00E+000                      G002500200366 
 8.5        176.        0.00E+000  0.00E+000                      G002500200367 
 8.5        177.        0.00E+000  0.00E+000                      G002500200368 
 8.5        178.        0.00E+000  0.00E+000                      G002500200369 
 8.5        179.        0.00E+000  0.00E+000                      G002500200370 
 8.5        180.        0.00E+000  0.00E+000                      G002500200371 
ENDDATA            362          0                                 G002500200372 
ENDSUBENT          371          0                                 G002500299999 
SUBENT        G0025003   20180925                             G042G002500300001 
BIB                  4          4                                 G002500300002 
REACTION   (92-U-234(G,F)MASS,PRE,FY,,BRA)                        G002500300003 
ERR-ANALYS (ERR-S) Statistical uncertainty                        G002500300004 
STATUS     (TABLE) Plotted in Fig.5 of Nucl.Phys.A851(2011)1      G002500300005 
HISTORY    (20180925A) So. EN-MAX corrected to bremstrahlung E0.  G002500300006 
ENDBIB               4          0                                 G002500300007 
NOCOMMON             0          0                                 G002500300008 
DATA                 4        360                                 G002500300009 
EN-MAX     MASS       DATA       ERR-S                            G002500300010 
MEV        NO-DIM     PC/FIS     PC/FIS                           G002500300011 
 6.8         61.        0.00E+000  0.00E+000                      G002500300012 
 6.8         62.        0.00E+000  0.00E+000                      G002500300013 
 6.8         63.        0.00E+000  0.00E+000                      G002500300014 
 6.8         64.        0.00E+000  0.00E+000                      G002500300015 
 6.8         65.        0.00E+000  0.00E+000                      G002500300016 
 6.8         66.        0.00E+000  0.00E+000                      G002500300017 
 6.8         67.        0.00E+000  0.00E+000                      G002500300018 
 6.8         68.        0.00E+000  0.00E+000                      G002500300019 
 6.8         69.        8.99E-003  8.99E-003                      G002500300020 
 6.8         70.        0.00E+000  0.00E+000                      G002500300021 
 6.8         71.        0.00E+000  0.00E+000                      G002500300022 
 6.8         72.        0.00E+000  0.00E+000                      G002500300023 
 6.8         73.        8.99E-003  8.99E-003                      G002500300024 
 6.8         74.        2.70E-002  1.56E-002                      G002500300025 
 6.8         75.        0.00E+000  0.00E+000                      G002500300026 
 6.8         76.        6.29E-002  2.38E-002                      G002500300027 
 6.8         77.        7.19E-002  2.54E-002                      G002500300028 
 6.8         78.        9.89E-002  2.98E-002                      G002500300029 
 6.8         79.        2.61E-001  4.84E-002                      G002500300030 
 6.8         80.        2.61E-001  4.84E-002                      G002500300031 
 6.8         81.        5.04E-001  6.73E-002                      G002500300032 
 6.8         82.        5.85E-001  7.25E-002                      G002500300033 
 6.8         83.        8.18E-001  8.58E-002                      G002500300034 
 6.8         84.        1.21E+000  1.04E-001                      G002500300035 
 6.8         85.        1.49E+000  1.16E-001                      G002500300036 
 6.8         86.        2.06E+000  1.36E-001                      G002500300037 
 6.8         87.        2.29E+000  1.44E-001                      G002500300038 
 6.8         88.        2.76E+000  1.58E-001                      G002500300039 
 6.8         89.        3.67E+000  1.82E-001                      G002500300040 
 6.8         90.        4.15E+000  1.93E-001                      G002500300041 
 6.8         91.        4.63E+000  2.04E-001                      G002500300042 
 6.8         92.        4.62E+000  2.04E-001                      G002500300043 
