ENTRY            T0178   20220805                             C216T0178  0    1 
SUBENT        T0178001   20220805                             C216T0178  1    1 
BIB                  9         15                                 T0178  1    2 
INSTITUTE  (1USAOBR,1USAINU,1USAMSU)                              T0178  1    3 
REFERENCE  (J,NP/A,401,521,1983)                                  T0178  1    4 
AUTHOR     (R.E.Warner,K.Blum,D.Friesel,P.Schwandt,P.P.Singh,     T0178  1    5 
           A.Galonsky)                                            T0178  1    6 
TITLE      Multibody final states of the 6Li+6Li reaction at 97   T0178  1    7 
            MeV                                                   T0178  1    8 
FACILITY   (CYCLO,1USAINU)                                        T0178  1    9 
METHOD     (EDE,BCINT)                                            T0178  1   10 
DETECTOR   (TELES) 2 telescopes coplanar with, on opposite sides  T0178  1   11 
            of, and at equal angles to the beam. Each telescope   T0178  1   12 
            consisted of Si dE detector and a Ge E detector.      T0178  1   13 
MONITOR    Energy calibrated using 2H(6Li,alpha)4He reaction.     T0178  1   14 
HISTORY    (20020724C) VM                                         T0178  1   15 
           (20220729A) OS. ERR-ANALYS modified, REACTION correctedT0178  1   16 
            in sub.3                                              T0178  1   17 
ENDBIB              15          0                                 T0178  1   18 
COMMON               1          3                                 T0178  1   19 
EN                                                                T0178  1   20 
MEV                                                               T0178  1   21 
 97.5                                                             T0178  1   22 
ENDCOMMON            3          0                                 T0178  1   23 
ENDSUBENT           22          0                                 T0178  199999 
SUBENT        T0178002   20220805                             C216T0178  2    1 
BIB                  6         13                                 T0178  2    2 
REACTION   (3-LI-6(3-LI-6,2A)2-HE-4,,DA/DA/DE,A/A/A)              T0178  2    3 
             For angle 1 = angle 2; E1 = E2.                      T0178  2    4 
ANG-SEC    (ANG1,A)                                               T0178  2    5 
           (ANG2,A)                                               T0178  2    6 
CORRECTION Not corrected for random coincidence events            T0178  2    7 
            (typically about 1% of total yield).                  T0178  2    8 
ERR-ANALYS (DATA-ERR) Error scanned from figures.                 T0178  2    9 
            No information on sources of uncertainties.           T0178  2   10 
           (EN-ERR-DIG) Digitizing error in incident energy 0.1   T0178  2   11 
           (ERR-DIG) Digitizing error in data 0.002               T0178  2   12 
STATUS     (CURVE) Scanned from Fig.1,2 in reference at           T0178  2   13 
                   RFNC-VNIIEF.                                   T0178  2   14 
HISTORY    (20220729A) ERR-ANALYS updated, COMMON added           T0178  2   15 
ENDBIB              13          0                                 T0178  2   16 
COMMON               2          3                                 T0178  2   17 
EN-ERR-DIG ERR-DIG                                                T0178  2   18 
MEV        MB/SR2/MEV                                             T0178  2   19 
  0.1        0.002                                                T0178  2   20 
ENDCOMMON            3          0                                 T0178  2   21 
DATA                 5         93                                 T0178  2   22 
ANG1       ANG2       E          DATA       DATA-ERR              T0178  2   23 
ADEG       ADEG       MEV        MB/SR2/MEV MB/SR2/MEV            T0178  2   24 
  38.       38.         46.0       46.0      1.1430E-02 6.3950E-03T0178  3   59 
  38.       38.         46.9       46.9      8.5680E-03 6.3870E-03T0178  3   60 
  42.       42.         18.7       18.7      4.2700E-03           T0178  3   61 
  42.       42.         19.5       19.5      5.5380E-03           T0178  3   62 
  42.       42.         20.4       20.4      2.0142E-02           T0178  3   63 
  42.       42.         21.2       21.2      5.4050E-02 1.1868E-02T0178  3   64 
  42.       42.         22.1       22.1      9.2390E-02 1.7802E-02T0178  3   65 
  42.       42.         22.9       22.9      1.8415E-01 2.3752E-02T0178  3   66 
  42.       42.         23.8       23.8      1.8541E-01 2.2268E-02T0178  3   67 
  42.       42.         24.5       24.5      2.2823E-01 2.3736E-02T0178  3   68 
  42.       42.         25.3       25.3      2.6807E-01 2.8202E-02T0178  3   69 
  42.       42.         26.3       26.3      2.3963E-01 2.5235E-02T0178  3   70 
  42.       42.         27.0       27.0      3.3880E-01 3.2640E-02T0178  3   71 
  42.       42.         27.9       27.9      4.0390E-01 3.7100E-02T0178  3   72 
  42.       42.         28.8       28.8      5.4010E-01 4.0060E-02T0178  3   73 
  42.       42.         29.6       29.6      4.6280E-01 3.7090E-02T0178  3   74 
  42.       42.         30.6       30.6      3.4530E-01 3.2640E-02T0178  3   75 
  42.       42.         31.4       31.4      2.7237E-01 2.8187E-02T0178  3   76 
  42.       42.         32.3       32.3      2.0538E-01 2.3736E-02T0178  3   77 
  42.       42.         33.1       33.1      1.3841E-01 2.0785E-02T0178  3   78 
  42.       42.         34.0       34.0      1.5893E-01 2.3752E-02T0178  3   79 
  42.       42.         34.8       34.8      9.6390E-02 2.0785E-02T0178  3   80 
  42.       42.         35.7       35.7      1.0061E-01 1.7818E-02T0178  3   81 
  42.       42.         36.5       36.5      5.7360E-02 1.3352E-02T0178  3   82 
  42.       42.         37.4       37.4      2.7445E-02 1.1868E-02T0178  3   83 
  42.       42.         38.3       38.3      1.0896E-02           T0178  3   84 
  42.       42.         39.1       39.1      2.6999E-02 1.1884E-02T0178  3   85 
  42.       42.         40.0       40.0      1.7852E-02 8.9010E-03T0178  3   86 
  42.       42.         40.9       40.9      1.7606E-02 1.0400E-02T0178  3   87 
  42.       42.         42.6       42.6      8.2590E-03           T0178  3   88 
  42.       42.         43.5       43.5      5.0460E-03           T0178  3   89 
  42.       42.         44.3       44.3      6.3150E-03           T0178  3   90 
  42.       42.         45.2       45.2      3.1016E-03           T0178  3   91 
  43.7      43.7        18.6       18.6      1.9837E-03           T0178  3   92 
  43.7      43.7        19.4       19.4      5.3130E-03 4.7680E-03T0178  3   93 
  43.7      43.7        20.3       20.3      8.6370E-03 4.0870E-03T0178  3   94 
  43.7      43.7        21.1       21.1      3.3760E-02 9.5360E-03T0178  3   95 
  43.7      43.7        22.0       22.0      4.7980E-02 1.1585E-02T0178  3   96 
  43.7      43.7        22.9       22.9      7.3110E-02 1.4304E-02T0178  3   97 
  43.7      43.7        23.6       23.6      9.8920E-02 1.6353E-02T0178  3   98 
  43.7      43.7        24.4       24.4      9.8850E-02 1.5667E-02T0178  3   99 
  43.7      43.7        25.2       25.2      1.5803E-01 2.1116E-02T0178  3  100 
  43.7      43.7        26.1       26.1      1.6748E-01 2.1121E-02T0178  3  101 
  43.7      43.7        27.0       27.0      1.4424E-01 1.8391E-02T0178  3  102 
  43.7      43.7        27.8       27.8      2.2182E-01 2.3835E-02T0178  3  103 
  43.7      43.7        28.7       28.7      1.7200E-01 2.0435E-02T0178  3  104 
  43.7      43.7        29.4       29.4      2.6662E-01 2.5208E-02T0178  3  105 
  43.7      43.7        30.4       30.4      3.0263E-01 2.7933E-02T0178  3  106 
  43.7      43.7        31.2       31.2      2.5760E-01 2.5884E-02T0178  3  107 
  43.7      43.7        32.1       32.1      2.1255E-01 2.3840E-02T0178  3  108 
  43.7      43.7        32.9       32.9      1.6820E-01 2.1797E-02T0178  3  109 
  43.7      43.7        33.8       33.8      1.1089E-01 1.5672E-02T0178  3  110 
  43.7      43.7        34.8       34.8      1.1488E-01 1.7710E-02T0178  3  111 
  43.7      43.7        35.6       35.6      4.6000E-02 1.2947E-02T0178  3  112 
  43.7      43.7        36.4       36.4      2.2085E-02 7.4930E-03T0178  3  113 
  43.7      43.7        37.3       37.3      2.9490E-02 9.5420E-03T0178  3  114 
  43.7      43.7        38.2       38.2      2.2591E-02 6.8120E-03T0178  3  115 
  43.7      43.7        39.0       39.0      1.7747E-02 6.8170E-03T0178  3  116 
  43.7      43.7        40.0       40.0      8.1230E-03 5.4490E-03T0178  3  117 
  43.7      43.7        40.9       40.9      3.2680E-03           T0178  3  118 
  43.7      43.7        41.7       41.7      6.5910E-03 5.4440E-03T0178  3  119 
  43.7      43.7        42.6       42.6      6.5090E-03 5.4490E-03T0178  3  120 
  43.7      43.7        43.4       43.4      1.6591E-03           T0178  3  121 
  43.7      43.7        44.3       44.3      2.2637E-03           T0178  3  122 
  46.4      46.4        18.7       18.7      1.0930E-03           T0178  3  123 
  46.4      46.4        19.5       19.5      1.0507E-03           T0178  3  124 
  46.4      46.4        20.3       20.3      1.7631E-03           T0178  3  125 
  46.4      46.4        21.1       21.1      1.0777E-02 4.1540E-03T0178  3  126 
  46.4      46.4        22.0       22.0      2.3936E-02 6.4120E-03T0178  3  127 
  46.4      46.4        22.8       22.8      2.6535E-02 6.4150E-03T0178  3  128 
  46.4      46.4        23.7       23.7      2.9131E-02 6.4180E-03T0178  3  129 
  46.4      46.4        24.5       24.5      3.2860E-02 6.4150E-03T0178  3  130 
  46.4      46.4        25.4       25.4      4.1870E-02 7.5470E-03T0178  3  131 
  46.4      46.4        26.2       26.2      5.6170E-02 9.0560E-03T0178  3  132 
  46.4      46.4        27.0       27.0      5.6120E-02 9.4340E-03T0178  3  133 
  46.4      46.4        27.9       27.9      7.1550E-02 1.0566E-02T0178  3  134 
  46.4      46.4        28.8       28.8      5.8670E-02 8.3020E-03T0178  3  135 
  46.4      46.4        29.7       29.7      6.0130E-02 9.4370E-03T0178  3  136 
  46.4      46.4        30.4       30.4      7.8960E-02 1.0943E-02T0178  3  137 
  46.4      46.4        31.3       31.3      9.6650E-02 1.1698E-02T0178  3  138 
  46.4      46.4        32.2       32.2      1.4868E-01 1.4719E-02T0178  3  139 
  46.4      46.4        33.0       33.0      9.2410E-02 1.2452E-02T0178  3  140 
  46.4      46.4        33.9       33.9      4.3680E-02 7.9270E-03T0178  3  141 
  46.4      46.4        34.8       34.8      1.7601E-02 5.2830E-03T0178  3  142 
  46.4      46.4        35.6       35.6      1.9065E-02 4.9050E-03T0178  3  143 
  46.4      46.4        36.4       36.4      1.9023E-02 5.2860E-03T0178  3  144 
  46.4      46.4        37.3       37.3      9.5440E-03 4.1510E-03T0178  3  145 
  46.4      46.4        38.3       38.3      1.2131E-02 4.1540E-03T0178  3  146 
  46.4      46.4        39.1       39.1      1.9005E-03           T0178  3  147 
  46.4      46.4        40.0       40.0      3.3610E-03 2.6414E-03T0178  3  148 
  46.4      46.4        40.9       40.9      7.4670E-03 4.1510E-03T0178  3  149 
  46.4      46.4        41.7       41.7      8.5540E-03 4.1540E-03T0178  3  150 
  46.4      46.4        42.6       42.6      1.3387E-03           T0178  3  151 
ENDDATA            127          0                                 T0178  3  152 
ENDSUBENT          151          0                                 T0178  399999 
SUBENT        T0178004   20220805                             C216T0178  4    1 
BIB                  6         12                                 T0178  4    2 
REACTION   (3-LI-6(3-LI-6,X+D)1-H-2,,DA2/DE2,D/D)                 T0178  4    3 
             For angle 1 = angle 2; E1 = E2.                      T0178  4    4 
EN-SEC     (E1,D)                                                 T0178  4    5 
           (E2,D)                                                 T0178  4    6 
ANG-SEC    (ANG1,D)                                               T0178  4    7 
           (ANG2,D)                                               T0178  4    8 
ERR-ANALYS (DATA-ERR) Error scanned from figures.                 T0178  4    9 
            No information on sources of uncertainties.           T0178  4   10 
           (EN-ERR-DIG) Digitizing error in incident energy 0.05  T0178  4   11 
           (ERR-DIG) Digitizing error in data 0.001               T0178  4   12 
STATUS     (CURVE) Scanned from Fig.4 in reference at RFNC-VNIIEF.T0178  4   13 
HISTORY    (20220729A) ERR-ANALYS updated, COMMON added           T0178  4   14 
ENDBIB              12          0                                 T0178  4   15 
COMMON               2          3                                 T0178  4   16 
EN-ERR-DIG ERR-DIG                                                T0178  4   17 
MEV        MB/SR2MEV2                                             T0178  4   18 
  0.05        0.001                                               T0178  4   19 
ENDCOMMON            3          0                                 T0178  4   20 
DATA                 6        166                                 T0178  4   21 
ANG1       ANG2       E1         E2         DATA       DATA-ERR   T0178  4   22 
