EN         ANG-CM     DATA-CM    DATA-ERR                         T003100200021 
MEV        ADEG       MB/SR      MB/SR                            T003100200022 
 1.439      62.9       0.570      0.009                           T003100200182 
 1.439      78.2       0.404      0.005                           T003100200183 
 1.439      93.3       0.350      0.007                           T003100200184 
 1.439     103.3       0.361      0.005                           T003100200185 
 1.439     113.1       0.398      0.007                           T003100200186 
 1.439     122.9       0.491      0.008                           T003100200187 
 1.439     137.4       0.637      0.010                           T003100200188 
 1.439     146.9       0.746      0.011                           T003100200189 
 1.439     156.4       0.818      0.012                           T003100200190 
 1.535       0.        0.930      0.013                           T003100200191 
 1.535      15.9       0.889      0.013                           T003100200192 
 1.535      26.5       0.789      0.013                           T003100200193 
 1.535      37.0       0.765      0.013                           T003100200194 
 1.535      47.4       0.692      0.012                           T003100200195 
 1.535      63.0       0.541      0.011                           T003100200196 
 1.535      78.3       0.415      0.009                           T003100200197 
 1.535      93.5       0.370      0.007                           T003100200198 
 1.535     103.4       0.386      0.008                           T003100200199 
 1.535     113.2       0.463      0.009                           T003100200200 
 1.535     123.0       0.540      0.011                           T003100200201 
 1.535     137.4       0.708      0.013                           T003100200202 
 1.535     147.0       0.830      0.015                           T003100200203 
 1.535     156.5       0.908      0.016                           T003100200204 
 1.635       0.        0.786      0.011                           T003100200205 
 1.635      15.9       0.784      0.011                           T003100200206 
 1.635      26.5       0.747      0.010                           T003100200207 
 1.635      37.0       0.742      0.010                           T003100200208 
 1.635      47.5       0.697      0.010                           T003100200209 
 1.635      78.4       0.406      0.007                           T003100200210 
 1.635      93.5       0.370      0.007                           T003100200211 
 1.635     103.5       0.385      0.007                           T003100200212 
 1.635     113.3       0.474      0.008                           T003100200213 
 1.635     137.5       0.766      0.011                           T003100200214 
 1.635     147.0       0.858      0.012                           T003100200215 
 1.635     156.5       0.977      0.013                           T003100200216 
 1.751      31.8       0.663      0.027                           T003100200217 
 1.751      37.1       0.643      0.027                           T003100200218 
 1.751      47.6       0.646      0.024                           T003100200219 
 1.751      63.2       0.512      0.021                           T003100200220 
 1.751      78.5       0.390      0.018                           T003100200221 
 1.751      93.7       0.370      0.018                           T003100200222 
 1.751     108.5       0.395      0.019                           T003100200223 
 1.751     123.2       0.503      0.024                           T003100200224 
 1.751     137.6       0.734      0.028                           T003100200225 
 1.751     147.1       0.810      0.033                           T003100200226 
 1.751     156.6       0.932      0.033                           T003100200227 
 1.849      26.6       0.625      0.027                           T003100200228 
 1.849      37.2       0.676      0.027                           T003100200229 
 1.849      47.7       0.728      0.028                           T003100200230 
 1.849      63.3       0.558      0.025                           T003100200231 
 1.849      78.6       0.424      0.022                           T003100200232 
 1.849      93.8       0.356      0.019                           T003100200233 
 1.849     108.6       0.383      0.020                           T003100200234 
 1.849     123.3       0.551      0.024                           T003100200235 
 1.849     137.7       0.768      0.029                           T003100200236 
 1.849     147.2       0.852      0.034                           T003100200237 
 1.849     156.6       1.052      0.039                           T003100200238 
ENDDATA            218          0                                 T003100200239 
ENDSUBENT          238          0                                 T003100299999 
SUBENT        T0031003   19990729                             0000T003100300001 
BIB                  6          8                                 T003100300002 
REACTION   (3-LI-6(HE3,P)4-BE-8,PAR,DA)                           T003100300003 
SAMPLE     Thin films of 6LiF evaporated onto carbon disks.       T003100300004 
DETECTOR   (SOLST) Si surface barrier detector covered with       T003100300005 
            thin Al foil used to detect protons.                  T003100300006 
MONITOR    Normalized to 45 and 135 degree excitation functions.  T003100300007 
ERR-ANALYS (DATA-ERR) Uncertainty represents relative uncertainty T003100300008 
            due to counting statistics.                           T003100300009 
STATUS     Data received from A.J. Elwyn, 18 June 1999.           T003100300010 
ENDBIB               8          0                                 T003100300011 
COMMON               2          3                                 T003100300012 
E-LVL      E-LVL-NRM                                              T003100300013 
MEV        MEV                                                    T003100300014 
 2.94       0.                                                    T003100300015 
ENDCOMMON            3          0                                 T003100300016 
DATA                 4        105                                 T003100300017 
EN         ANG-CM     DATA-CM    DATA-ERR                         T003100300018 
MEV        ADEG       MB/SR      MB/SR                            T003100300019 
 1.847      37.        1.68       0.12                            T003100300020 
 1.847      49.        2.36       0.13                            T003100300021 
 1.847      63.7       1.92       0.10                            T003100300022 
 1.847      79.        2.37       0.15                            T003100300023 
 1.847      94.        2.37       0.17                            T003100300024 
 1.847     123.8       2.13       0.15                            T003100300025 
 1.847     138.        1.93       0.11                            T003100300026 
 1.847     156.7       2.35       0.14                            T003100300027 
 1.745      36.8       1.70       0.13                            T003100300028 
 1.745      48.        2.00       0.12                            T003100300029 
 1.745      63.        2.13       0.13                            T003100300030 
 1.745      78.8       2.14       0.14                            T003100300031 
 1.745      94.        2.26       0.20                            T003100300032 
 1.745     123.        1.61       0.12                            T003100300033 
 1.745     157.        1.79       0.12                            T003100300034 
 1.648      36.7       1.62       0.08                            T003100300035 
 1.648      47.7       2.07       0.11                            T003100300036 
 1.648      62.8       2.21       0.12                            T003100300037 
 1.648      79.        2.82       0.21                            T003100300038 
 1.648      93.8       2.42       0.20                            T003100300039 
 1.648     123.        1.74       0.11                            T003100300040 
 1.648     137.8       1.98       0.11                            T003100300041 
 1.648     156.5       2.55       0.12                            T003100300042 
 1.568      37.18660   2.04279    0.13499                         T003100300043 
 1.568      47.69597   2.23707    0.13696                         T003100300044 
 1.568      63.30235   2.30776    0.15010                         T003100300045 
 1.568      78.68388   2.29019    0.15494                         T003100300046 
 1.568      93.81422   2.13473    0.16036                         T003100300047 
 1.568     123.30254   2.11163    0.15007                         T003100300048 
 1.568     137.69595   2.55779    0.16537                         T003100300049 
