ENTRY            T0151   20010723                             0000T015100000001 
SUBENT        T0151001   20010723                             0000T015100100001 
BIB                 11         20                                 T015100100002 
INSTITUTE  (1USALRL)                                              T015100100003 
REFERENCE  (J,ZP/A,311,323,1983)                                  T015100100004 
           (R,HH-79-03,197911) Experimental Data.                 T015100100005 
AUTHOR     (W.SCOBEL,L.F.HANSEN,B.A.POHL,C.WONG,M.BLANN)          T015100100006 
TITLE      Double Differential Cross Sections for (p,xn) ReactionsT015100100007 
            of 64Zn, 65Cu and 89Y with 26 MeV Protons             T015100100008 
FACILITY   (CYGFF,1USALRL)                                        T015100100009 
METHOD     (TOF) 10.75 Meters Flight Path                         T015100100010 
           (BCINT)                                                T015100100011 
           (PSD) Neutron-Gamma Discrimination.                    T015100100012 
DETECTOR   (SCIN) NE213 scintillators, 11.4 cm diameter x 5.1 cm  T015100100013 
            length, shielded by 2-meters long water collimators.  T015100100014 
REL-REF    (R,,S.M.GRIMES+,J,PR/C,13,2224,1976)                   T015100100015 
           (R,,C.WONG+,J,PR/C,7,1895,1973) Both References were   T015100100016 
            Used For Detector Efficiency.                         T015100100017 
CORRECTION Corrected for background.                              T015100100018 
STATUS     Data taken from table in report HH-79-03.              T015100100019 
           (APRVD) Approved by W. Scobel, 14 March 2001.          T015100100020 
HISTORY    (20010212C) Converted from data set O0528 compiled by  T015100100021 
                       CAJaD and updated.                         T015100100022 
ENDBIB              20          0                                 T015100100023 
COMMON               1          3                                 T015100100024 
EN                                                                T015100100025 
MEV                                                               T015100100026 
  26.                                                             T015100100027 
ENDCOMMON            3          0                                 T015100100028 
ENDSUBENT           27          0                                 T015100199999 
SUBENT        T0151002   20010212                             0000T015100200001 
BIB                  5         15                                 T015100200002 
REACTION   (29-CU-65(P,X)0-NN-1,,DA/DE,,AV)                       T015100200003 
SAMPLE     Target thickness 13.63 mg/cm**2.                       T015100200004 
ANALYSIS   After background correction the time-of-flight spectra T015100200005 
            were converted with the kinematics of single nucleon  T015100200006 
            emission into energy spectra by applying the          T015100200007 
            efficiencies and then summed in 1 MeV bins.           T015100200008 
ERR-ANALYS (DATA-ERR) Uncertainties given result from             T015100200009 
           . counting statistics,                                 T015100200010 
           . statistical uncertainty of background subtraction,   T015100200011 
           . estimated error of detector efficiency (7%).         T015100200012 
COMMENT    - By Compiler -                                        T015100200013 
           Compiler could not read the data for 38.7 degrees,     T015100200014 
            because of the quality of text.                       T015100200015 
           Where no errors are gven, compiler could not read      T015100200016 
            uncertainty from tables.                              T015100200017 
ENDBIB              15          0                                 T015100200018 
NOCOMMON             0          0                                 T015100200019 
DATA                 5        368                                 T015100200020 
ANG        E-CM-MIN   E-CM-MAX   DATA-CM    DATA-ERR              T015100200021 
  16.7        5.         6.        8.27063    0.37130             T015100200073 
  16.7        7.         8.        3.70734    0.18468             T015100200074 
  16.7        8.         9.        2.84293    0.14892             T015100200075 
  16.7        9.        10.        2.25301    0.12350             T015100200076 
  16.7       10.        11.        1.96717    0.10901             T015100200077 
  16.7       11.        12.        1.70833    0.09710             T015100200078 
  16.7       12.        13.        1.58201    0.08933             T015100200079 
  16.7       13.        14.        1.37170    0.08003             T015100200080 
  16.7       14.        15.        1.27961    0.07499             T015100200081 
  16.7       15.        16.        1.13476    0.05467             T015100200082 
  16.7       16.        17.        3.10347    0.10324             T015100200083 
  16.7       17.        18.        0.76727    0.05442             T015100200084 
  16.7       18.        19.        0.81617    0.05487             T015100200085 
  16.7       19.        20.        0.58720    0.04582             T015100200086 
  16.7       20.        21.        0.68785    0.04866             T015100200087 
  16.7       21.        22.        0.40885    0.03248             T015100200088 
  16.7       22.        23.        0.18862    0.02673             T015100200089 
  16.7       23.        24.        0.16878    0.02517             T015100200090 
  16.7       24.        25.        0.08447    0.01861             T015100200091 
  16.7       26.        27.        0.00087    0.00405             T015100200092 
  16.7       27.        28.        0.00007    0.00186             T015100200093 
  16.7       28.        29.        0.00139    0.00460             T015100200094 
  16.7       29.        30.        0.00030    0.00380             T015100200095 
  23.8        4.         5.       14.02768    0.69436             T015100200096 
  23.8        5.         6.        8.32019    0.38115             T015100200097 
  23.8        6.         7.        5.29540    0.25441             T015100200098 
  23.8        7.         8.        3.65083    0.18879             T015100200099 
  23.8        8.         9.        2.68995    0.14939             T015100200100 
  23.8        9.        10.        2.17770    0.12598             T015100200101 
  23.8       10.        11.        1.78879    0.10792             T015100200102 
  23.8       11.        12.        1.53140    0.09535             T015100200103 
  23.8       12.        13.        1.38977    0.08718             T015100200104 
  23.8       13.        14.        1.18911    0.07812             T015100200105 
  23.8       14.        15.        1.16016    0.07468             T015100200106 
  23.8       15.        16.        0.99947    0.06755             T015100200107 
  23.8       16.        17.        1.72143    0.08211             T015100200108 
  23.8       17.        18.        0.73647    0.05637             T015100200109 
  23.8       18.        19.        0.80680    0.05751             T015100200110 
  23.8       19.        20.        0.57057    0.04839             T015100200111 
  23.8       20.        21.        0.66932    0.05072             T015100200112 
  23.8       21.        22.        0.44936    0.04221             T015100200113 
  23.8       22.        23.        0.20135    0.03110             T015100200114 
  23.8       23.        24.        0.16680    0.02883             T015100200115 
  23.8       24.        25.        0.06564    0.02247             T015100200116 
  23.8       25.        26.        0.00712    0.01469             T015100200117 
  23.8       26.        27.        0.00228    0.00983             T015100200118 
  23.8       27.        28.        0.00387    0.00760             T015100200119 
  23.8       28.        29.        0.00248    0.01358             T015100200120 
  23.8       29.        30.        0.00192    0.00931             T015100200121 
  32.3        4.         5.       14.28247    0.69636             T015100200122 
  32.3        5.         6.        8.11283    0.37304             T015100200123 
  32.3        6.         7.        5.05467    0.24576             T015100200124 
  32.3        7.         8.        3.34251    0.17761             T015100200125 
  32.3        8.         9.        2.46090    0.14025             T015100200126 
  32.3        9.        10.        1.87664    0.11456             T015100200127 
  32.3       10.        11.        1.53627    0.09792             T015100200128 
  32.3       11.        12.        1.31439    0.08612             T015100200129 
  32.3       12.        13.        1.16503    0.07792             T015100200130 
  32.3       13.        14.        0.97927    0.06952             T015100200131 
  32.3       14.        15.        0.91081    0.06442             T015100200132 
  32.3       15.        16.        0.82361    0.06006             T015100200133 
  32.3       16.        17.        1.04540    0.06433             T015100200134 
  32.3       17.        18.        0.61071    0.04985             T015100200135 
  32.3       18.        19.        0.67333    0.05072             T015100200136 
  32.3       19.        20.        0.46989    0.04199             T015100200137 
  32.3       20.        21.        0.51731    0.04359             T015100200138 
  32.3       21.        22.        0.35362    0.03586             T015100200139 
  32.3       22.        23.        0.14778    0.02515             T015100200140 
  32.3       23.        24.        0.11101    0.02213             T015100200141 
  32.3       24.        25.        0.06972    0.01843             T015100200142 
  32.3       25.        26.        0.00227    0.00707             T015100200143 
  32.3       26.        27.        0.00029    0.00543             T015100200144 
  32.3       27.        28.        0.00583    0.00721             T015100200145 
  46.3        4.         5.       13.16160    0.69255             T015100200146 
  46.3        5.         6.        7.50782    0.36569             T015100200147 
  46.3        6.         7.        4.58888    0.23767             T015100200148 
  46.3        7.         8.        2.96176    0.16947             T015100200149 
  46.3        8.         9.        2.12085    0.13221             T015100200150 
  46.3        9.        10.        1.59228    0.10759             T015100200151 
  46.3       10.        11.        1.30643    0.09132             T015100200152 
  46.3       11.        12.        1.08247    0.07983             T015100200153 
  46.3       12.        13.        0.95915    0.07225             T015100200154 
  46.3       13.        14.        0.80297    0.06366             T015100200155 
  46.3       14.        15.        0.71454    0.05846             T015100200156 
  46.3       15.        16.        0.60744    0.05261             T015100200157 
  46.3       16.        17.        1.01887    0.06322             T015100200158 
  46.3       17.        18.        0.46931    0.04473             T015100200159 
  46.3       18.        19.        0.49045    0.04276             T015100200160 
  46.3       19.        20.        0.34616    0.03752             T015100200161 
  46.3       20.        21.        0.35864    0.03716             T015100200162 
  46.3       21.        22.        0.22928    0.03035             T015100200163 
  46.3       22.        23.        0.09880    0.02240             T015100200164 
  46.3       23.        24.        0.06010    0.01894             T015100200165 
  46.3       24.        25.        0.03982    0.01683             T015100200166 
  46.3       26.        27.        0.00016    0.00224             T015100200167 
  46.3       27.        28.        0.00024    0.00217             T015100200168 
  46.3       29.        30.        0.00429    0.00573             T015100200169 
  53.7        4.         5.       14.50737    0.73076             T015100200170 
  53.7        5.         6.        7.69339    0.37002             T015100200171 
  53.7        6.         7.        4.61945    0.23680             T015100200172 
  53.7        7.         8.        2.93318    0.16658             T015100200173 
  53.7        8.         9.        2.09341    0.12964             T015100200174 
  53.7        9.        10.        1.55061    0.10385             T015100200175 
  53.7       10.        11.        1.21833    0.08707             T015100200176 
  53.7       11.        12.        1.00958    0.07553             T015100200177 
  53.7       12.        13.        0.90290    0.06811             T015100200178 
  53.7       13.        14.        0.74164    0.05993             T015100200179 
  53.7       14.        15.        0.63711    0.05391             T015100200180 
  53.7       15.        16.        0.56424    0.04916             T015100200181 
  53.7       16.        17.        1.21683    0.06702             T015100200182 
  53.7       17.        18.        0.44509    0.04176             T015100200183 
  53.7       18.        19.        0.45398    0.04138             T015100200184 
  53.7       19.        20.        0.33919    0.03552             T015100200185 
  53.7       20.        21.        0.36633    0.03603             T015100200186 
  53.7       21.        22.        0.22536    0.02828             T015100200187 
  53.7       22.        23.        0.09378    0.01915             T015100200188 
  53.7       23.        24.        0.06533    0.01659             T015100200189 
  53.7       24.        25.        0.03455    0.01267             T015100200190 
  53.7       25.        26.        0.00135    0.00474             T015100200191 
  53.7       26.        27.        0.00020    0.00361             T015100200192 
  53.7       26.        27.        0.00027    0.00236             T015100200193 
  53.7       27.        28.        0.00092    0.00488             T015100200194 
  53.7       29.        30.        0.00057    0.00655             T015100200195 
  61.4        4.         5.       12.85118    0.73197             T015100200196 
  61.4        5.         6.        7.21964    0.37592             T015100200197 
  61.4        6.         7.        1.86836    0.12991             T015100200198 
  61.4        6.         7.        4.30002    0.23879             T015100200199 
  61.4        7.         8.        2.69101    0.16871             T015100200200 
  61.4        9.        10.        1.38351    0.10482             T015100200201 
  61.4       10.        11.        1.05417    0.08735             T015100200202 
  61.4       12.        13.        0.78199    0.06895             T015100200203 
  61.4       13.        14.        0.65075    0.06128             T015100200204 
  61.4       14.        15.        0.53755    0.05461             T015100200205 
  61.4       15.        16.        0.47113    0.49900             T015100200206 
  61.4       16.        17.        0.98764    0.06423             T015100200207 
  61.4       17.        18.        0.36422    0.04261             T015100200208 
  61.4       18.        19.        0.36829    0.04195             T015100200209 
  61.4       19.        20.        0.25224    0.03563             T015100200210 
  61.4       20.        21.        0.26403    0.03536             T015100200211 
  61.4       21.        22.        0.16983    0.02993             T015100200212 
  61.4       22.        23.        0.04329    0.02117             T015100200213 
  61.4       22.        23.        0.06142    0.02305             T015100200214 
  61.4       24.        25.        0.02347    0.01956             T015100200215 
  61.4       25.        26.        0.00199    0.00657             T015100200216 
  61.4       27.        28.        0.00053    0.00622             T015100200217 
  61.4       29.        30.        0.00086    0.00721             T015100200218 
  61.4       31.        32.        0.86791    0.07553             T015100200219 
  68.7        4.         5.       14.63086    0.76675             T015100200220 
  68.7        5.         6.        7.65837    0.37682             T015100200221 
  68.7        6.         7.        4.43295    0.23552             T015100200222 
  68.7        7.         8.        2.76576    0.16349             T015100200223 
  68.7        8.         9.        1.82370    0.12146             T015100200224 
  68.7        9.        10.        1.32212    0.09621             T015100200225 
  68.7       10.        11.        1.04740    0.08068             T015100200226 
  68.7       11.        12.        0.82134    0.06852             T015100200227 
  68.7       12.        13.        0.70775    0.06060             T015100200228 
  68.7       13.        14.        0.55655    0.05182             T015100200229 
  68.7       14.        15.        0.47719    0.04657             T015100200230 
  68.7       15.        16.        0.39005    0.04095             T015100200231 
  68.7       16.        17.        0.65360    0.04997             T015100200232 
  68.7       17.        18.        0.29549    0.03399             T015100200233 
  68.7       18.        19.        0.27293    0.03183             T015100200234 
  68.7       19.        20.        0.19134    0.02602             T015100200235 
  68.7       20.        21.        0.20278    0.02668             T015100200236 
  68.7       21.        22.        0.12804    0.02124             T015100200237 
  68.7       22.        23.        0.04703    0.01353             T015100200238 
  68.7       23.        24.        0.03343    0.01194             T015100200239 
  68.7       24.        25.        0.01317    0.00685             T015100200240 
  68.7       25.        26.        0.00044    0.00208             T015100200241 
  68.7       28.        29.        0.00070    0.00207             T015100200242 
  68.7       29.        30.        0.00053    0.00241             T015100200243 
  83.4        4.         5.       12.48506    0.81232             T015100200244 
  83.4        5.         6.        6.70020    0.38518             T015100200245 
  83.4        6.         7.        3.87695    0.24045             T015100200246 
  83.4        7.         8.        2.43690    0.16903             T015100200247 
  83.4        8.         9.        1.58573    0.12719             T015100200248 
  83.4        9.        10.        1.12328    0.10175             T015100200249 
  83.4       10.        11.        0.83214    0.08391             T015100200250 
  83.4       11.        12.        0.65570    0.07206             T015100200251 
  83.4       12.        13.        0.55111    0.06372             T015100200252 
  83.4       13.        14.        0.47172    0.05788             T015100200253 
  83.4       14.        15.        0.37936    0.05158             T015100200254 
  83.4       15.        16.        0.30687    0.04606             T015100200255 
  83.4       16.        17.        0.52075    0.05237             T015100200256 
  83.4       17.        18.        0.21335    0.03876             T015100200257 
  83.4       18.        19.        0.20868    0.03720             T015100200258 
  83.4       19.        20.        0.15092    0.03334             T015100200259 
  83.4       20.        21.        0.15601    0.03285             T015100200260 
  83.4       21.        22.        0.11683    0.02998             T015100200261 
  83.4       22.        23.        0.03641    0.02395             T015100200262 
  83.4       23.        24.        0.03630    0.02406             T015100200263 
  83.4       24.        25.        0.01278    0.02103             T015100200264 
  83.4       26.        27.        0.00110    0.00944             T015100200265 
  83.4       27.        28.        0.00488    0.00907             T015100200266 
  83.4       29.        30.        0.00050    0.00853             T015100200267 
  98.7        4.         5.       13.66855    0.86010             T015100200268 
  98.7        5.         6.        7.31138    0.39381             T015100200269 
  98.7        6.         7.        4.05264    0.23624             T015100200270 
  98.7        7.         8.        2.46563    0.16151             T015100200271 
  98.7        8.         9.        1.57761    0.11733             T015100200272 
  98.7        9.        10.        1.12598    0.09261             T015100200273 
  98.7       10.        11.        0.81265    0.07406             T015100200274 
  98.7       11.        12.        0.62170    0.06171             T015100200275 
  98.7       12.        13.        0.50402    0.05337             T015100200276 
  98.7       13.        14.        0.39895    0.04574             T015100200277 
  98.7       14.        15.        0.30378    0.03899             T015100200278 
  98.7       15.        16.        0.25260    0.03486             T015100200279 
  98.7       16.        17.        0.38156    0.03982             T015100200280 
  98.7       17.        18.        0.17577    0.02807             T015100200281 
  98.7       18.        19.        0.16469    0.02660             T015100200282 
  98.7       19.        20.        0.11752    0.02284             T015100200283 
  98.7       20.        21.        0.10077    0.02092             T015100200284 
  98.7       21.        22.        0.08217    0.01882             T015100200285 
  98.7       22.        23.        0.01974    0.01198             T015100200286 
  98.7       23.        24.        0.01969    0.01168             T015100200287 
  98.7       24.        25.        0.00178    0.00739             T015100200288 
  98.7       25.        26.        0.00120    0.00537             T015100200289 
  98.7       26.        27.        0.00150    0.00676             T015100200290 
  98.7       26.        27.        0.00163    0.00389             T015100200291 
  98.7       27.        28.        0.00265    0.00715             T015100200292 
  98.7       28.        29.        0.00248    0.00353             T015100200293 
 113.2        4.         5.       11.43268    0.87592             T015100200294 
 113.2        5.         6.        5.97781    0.37365             T015100200295 
 113.2        6.         7.        3.29610    0.22338             T015100200296 
 113.2        7.         8.        2.02916    0.15261             T015100200297 
 113.2        8.         9.        1.27576    0.11101             T015100200298 
 113.2        9.        10.        0.86199    0.08572             T015100200299 
 113.2       10.        11.        0.62154    0.06939             T015100200300 
 113.2       11.        12.        0.47765    0.05862             T015100200301 
 113.2       12.        13.        0.38576    0.05084             T015100200302 
 113.2       13.        14.        0.29875    0.04364             T015100200303 
 113.2       14.        15.        0.22115    0.03759             T015100200304 
 113.2       15.        16.        0.17552    0.03327             T015100200305 
 113.2       16.        17.        0.24098    0.03589             T015100200306 
 113.2       17.        18.        0.12659    0.02783             T015100200307 
 113.2       18.        19.        0.10753    0.02583             T015100200308 
 113.2       19.        20.        0.07571    0.02291             T015100200309 
 113.2       20.        21.        0.05980    0.02053             T015100200310 
 113.2       21.        22.        0.03524    0.01804             T015100200311 
 113.2       22.        23.        0.01057    0.01531             T015100200312 
 113.2       23.        24.        0.00930    0.01211             T015100200313 
 113.2       24.        25.        0.00561    0.01429             T015100200314 
 113.2       25.        26.        0.00438    0.00868             T015100200315 
 113.2       26.        27.        0.00172    0.00501             T015100200316 
 113.2       28.        29.        0.00231    0.00559             T015100200317 
 128.7        4.         5.       17.95671    1.23807             T015100200318 
 128.7        5.         6.        8.13136    0.45933             T015100200319 
 128.7        6.         7.        1.61380    0.13097             T015100200320 
 128.7        6.         7.        4.29874    0.26537             T015100200321 
 128.7        7.         8.        2.53888    0.17837             T015100200322 
 128.7        9.        10.        1.09118    0.10230             T015100200323 
 128.7       10.        11.        0.77792    0.08275             T015100200324 
 128.7       11.        12.        0.56684    0.06840             T015100200325 
 128.7       12.        13.        0.43586    0.05911             T015100200326 
 128.7       13.        14.        0.33404    0.05095             T015100200327 
 128.7       14.        15.        0.25982    0.04526             T015100200328 
 128.7       15.        16.        0.19241    0.03997             T015100200329 
 128.7       16.        17.        0.23251    0.03983             T015100200330 
 128.7       17.        18.        0.12000    0.03276             T015100200331 
 128.7       18.        19.        0.10729    0.03091             T015100200332 
 128.7       19.        20.        0.07857    0.02822             T015100200333 
 128.7       20.        21.        0.06108    0.02632             T015100200334 
 128.7       21.        22.        0.03448    0.02360             T015100200335 
 128.7       22.        23.        0.01623    0.02167             T015100200336 
 128.7       23.        24.        0.00641    0.01688             T015100200337 
 128.7       24.        25.        0.00551    0.01974             T015100200338 
 128.7       25.        26.        0.00687    0.01241             T015100200339 
 128.7       26.        27.        0.00318    0.00844             T015100200340 
 128.7       27.        28.        0.00105    0.01126             T015100200341 
 128.7       28.        29.        0.00744    0.01523             T015100200342 
 128.7       29.        30.        0.00470    0.01125             T015100200343 
 143.9        4.         5.       17.94157    1.40566             T015100200344 
 143.9        5.         6.        7.41690    0.45541             T015100200345 
 143.9        6.         7.        3.98212    0.26384             T015100200346 
 143.9        7.         8.        2.37350    0.17823             T015100200347 
 143.9        8.         9.        1.46193    0.12901             T015100200348 
 143.9        9.        10.        0.98029    0.10114             T015100200349 
 143.9       10.        11.        0.70948    0.08225             T015100200350 
 143.9       11.        12.        0.50178    0.06784             T015100200351 
 143.9       12.        13.        0.38833    0.05880             T015100200352 
 143.9       13.        14.        0.29641    0.05120             T015100200353 
 143.9       14.        15.        0.22821    0.04544             T015100200354 
 143.9       15.        16.        0.17523    0.04052             T015100200355 
 143.9       16.        17.        0.19100    0.03977             T015100200356 
 143.9       17.        18.        0.10844    0.03377             T015100200357 
 143.9       18.        19.        0.07844    0.03080             T015100200358 
 143.9       19.        20.        0.06502    0.02875             T015100200359 
 143.9       20.        21.        0.04717    0.02526             T015100200360 
 143.9       21.        22.        0.03455    0.02516             T015100200361 
 143.9       22.        23.        0.00484    0.00870             T015100200362 
 143.9       23.        24.        0.00560    0.01363             T015100200363 
 143.9       24.        25.        0.00458    0.01017             T015100200364 
 143.9       26.        27.        0.00201    0.00773             T015100200365 
 143.9       27.        28.        0.00750    0.01681             T015100200366 
 143.9       28.        29.        0.00307    0.01622             T015100200367 
 143.9       29.        30.        0.00039    0.00320             T015100200368 
  159.        4.         5.       15.54917    2.57724             T015100200369 
  159.        5.         6.        8.96594    0.70108             T015100200370 
  159.        6.         7.        5.12145    0.42048             T015100200371 
  159.        7.         8.        2.56909    0.29095             T015100200372 
  159.        8.         9.        1.46023    0.22576             T015100200373 
  159.        9.        10.        1.03188    0.19000             T015100200374 
  159.       10.        11.        0.81421    0.16405             T015100200375 
  159.       11.        12.        1.60973    0.15843             T015100200376 
  159.       12.        13.        0.43284    0.12929             T015100200377 
  159.       13.        14.        0.28133    0.11733             T015100200378 
  159.       14.        15.        0.21023    0.10831             T015100200379 
  159.       15.        16.        0.21065    0.10191             T015100200380 
  159.       16.        17.        0.19820    0.09631             T015100200381 
  159.       17.        18.        0.11360    0.09027             T015100200382 
  159.       18.        19.        0.09563    0.08612             T015100200383 
  159.       19.        20.        0.03801    0.08183             T015100200384 
  159.       20.        21.        0.09228    0.07952             T015100200385 
  159.       21.        22.        0.04170    0.07620             T015100200386 
  159.       22.        23.        0.01676    0.04179             T015100200387 
  159.       24.        25.        0.00276    0.03937             T015100200388 
  159.       28.        29.        0.01599    0.06403             T015100200389 
  159.       29.        30.        0.00733    0.02732             T015100200390 
ENDDATA            370          0                                 T015100200391 
ENDSUBENT          390          0                                 T015100299999 
SUBENT        T0151003   20010212                             0000T015100300001 
BIB                  4          6                                 T015100300002 
REACTION   (29-CU-65(P,X)0-NN-1,,DE,,AV)                          T015100300003 
ANALYSIS   (INTAD)                                                T015100300004 
ERR-ANALYS Errors are estimated to be in the order of 10% in the  T015100300005 
            evaporation region and may be go up to 30% at the     T015100300006 
            highest neutron energies.                             T015100300007 
STATUS     (DEP,T0151002)                                         T015100300008 
ENDBIB               6          0                                 T015100300009 
NOCOMMON             0          0                                 T015100300010 
DATA                 3         26                                 T015100300011 
E-CM-MIN   E-CM-MAX   DATA-CM                                     T015100300012 
MEV        MEV        MB/MEV                                      T015100300013 
   4.         5.       179.412                                    T015100300014 
   5.         6.        93.5714                                   T015100300015 
   6.         7.        53.7834                                   T015100300016 
   7.         8.        33.2329                                   T015100300017 
   8.         9.        22.0889                                   T015100300018 
   9.        10.        15.9397                                   T015100300019 
  10.        11.        12.2756                                   T015100300020 
  11.        12.        10.5465                                   T015100300021 
  12.        13.         8.30654                                  T015100300022 
  13.        14.         6.75355                                  T015100300023 
  14.        15.         5.67410                                  T015100300024 
  15.        16.         4.81579                                  T015100300025 
  16.        17.         8.48398                                  T015100300026 
  17.        18.         3.45602                                  T015100300027 
  18.        19.         3.41084                                  T015100300028 
  19.        20.         2.41418                                  T015100300029 
  20.        21.         2.53429                                  T015100300030 
  21.        22.         1.66296                                  T015100300031 
  22.        23.         0.63598                                  T015100300032 
  23.        24.         0.49101                                  T015100300033 
  24.        25.         0.23451                                  T015100300034 
  25.        26.         0.02482                                  T015100300035 
  26.        27.         0.01666                                  T015100300036 
  27.        28.         0.02789                                  T015100300037 
  28.        29.         0.03535                                  T015100300038 
  29.        30.         0.02143                                  T015100300039 
ENDDATA             28          0                                 T015100300040 
ENDSUBENT           39          0                                 T015100399999 
