ENTRY            T0275   20040625                             0000T027500000001 
SUBENT        T0275001   20040625                             0000T027500100001 
BIB                 11         22                                 T027500100002 
INSTITUTE  (1USATAM)                                              T027500100003 
REFERENCE  (J,NP/A,143,512,1970)                                  T027500100004 
AUTHOR     (D.H.Youngblood,R.L.Kozub,J.C.Hiebert,R.A.Kenefick)    T027500100005 
TITLE       (a,3He) and (a,t) reactions on 40Ca                   T027500100006 
FACILITY   (CYCLO,1USATAM) Variable energy cyclotron              T027500100007 
SAMPLE     Self-supporting natural calcium metal foils about      T027500100008 
            0.5 mg/cm2 thick prepared by vacuum evaporation.      T027500100009 
DETECTOR   (TELES,SOLST) Delta E-E surface barrier semi-conductor T027500100010 
            detector telescope.                                   T027500100011 
           Experiment monitored with surface barrier silicon      T027500100012 
            detector fixed at 30 degr.                            T027500100013 
METHOD     (BCINT)                                                T027500100014 
           (EDE)                                                  T027500100015 
MONITOR    Target thickness measured with 5.477 MeV alphas and    T027500100016 
            checked by comparing the alpha elastic scattering     T027500100017 
            data to optical-model predictions at small angles.    T027500100018 
           Energy scale calibrated using t and 3He groups from    T027500100019 
            bombardment of 12C and 16O.                           T027500100020 
           Overall normalization error is estimated to be 10%.    T027500100021 
ERR-ANALYS (ANG-ERR-D)  Digitizing error in angle.                T027500100022 
           (ERR-DIG)    Digitizing error in data.                 T027500100023 
HISTORY    (20040625C)                                            T027500100024 
ENDBIB              22          0                                 T027500100025 
COMMON               2          3                                 T027500100026 
ANG-ERR    EN-RSL                                                 T027500100027 
ADEG       KEV                                                    T027500100028 
  0.05      35.                                                   T027500100029 
ENDCOMMON            3          0                                 T027500100030 
ENDSUBENT           29          0                                 T027500199999 
SUBENT        T0275002   20040625                             0000T027500200001 
BIB                  4          5                                 T027500200002 
REACTION   (20-CA-40(A,HE3)20-CA-41,PAR,DA)                       T027500200003 
CORRECTION Corrected for contaminant groups from levels in 12C    T027500200004 
            and 16O.                                              T027500200005 
ERR-ANALYS (ERR-S) Statistical error scanned from figure.         T027500200006 
STATUS     (CURVE) Scanned from Fig.2 in article at RFNC-VNIIEF.  T027500200007 
ENDBIB               5          0                                 T027500200008 
COMMON               4          3                                 T027500200009 
  1.949     33.6       7.6120E-02 6.2841E-03                      T027500200044 
  1.949     39.3       7.1636E-02 3.0206E-03                      T027500200045 
  1.949     42.6       5.1898E-02 3.6947E-03                      T027500200046 
  1.949     50.3       3.2414E-02 2.4923E-03                      T027500200047 
  1.949     55.3       2.3386E-02 1.9306E-03                      T027500200048 
  2.481     11.7       4.5503E-01 1.5260E-01                      T027500200049 
  2.481     16.4       2.6462E-01 1.0430E-01                      T027500200050 
  2.481     18.5       4.9402E-01 8.8295E-02                      T027500200051 
  2.481     20.9       4.9242E-01 4.4300E-02                      T027500200052 
  2.481     22.8       6.0471E-01 5.0358E-02                      T027500200053 
  2.481     25.1       5.0104E-01 4.5075E-02                      T027500200054 
  2.481     27.5       4.5259E-01 4.6825E-02                      T027500200055 
  2.481     29.6       4.0122E-01 3.6095E-02                      T027500200056 
  2.481     31.8       1.4842E-01 1.5356E-02                      T027500200057 
  2.481     33.8       1.2756E-01 1.8491E-02                      T027500200058 
  2.481     39.3       1.8017E-01 1.1434E-02                      T027500200059 
  2.481     44.6       1.3248E-01 1.3706E-02                      T027500200060 
  2.481     49.9       7.9512E-02 1.4370E-02                      T027500200061 
  2.481     55.3       7.0760E-02 9.7603E-03                      T027500200062 
  2.899     11.4       1.0256E-01 1.6199E-02                      T027500200063 
  2.899     14.0       4.6592E-02 1.0115E-02                      T027500200064 
  2.899     16.4       7.2276E-02 1.0962E-02                      T027500200065 
  2.899     18.5       7.9946E-02 8.7950E-03                      T027500200066 
  2.899     20.6       5.6135E-02 5.4152E-03                      T027500200067 
  2.899     22.8       5.6977E-02 4.7340E-03                      T027500200068 
  2.899     25.2       4.0519E-02 3.9088E-03                      T027500200069 
  2.899     27.4       2.2950E-02 3.6435E-03                      T027500200070 
  2.899     29.6       1.8000E-02 3.2453E-03                      T027500200071 
  2.899     31.6       1.7934E-02 1.7775E-03                      T027500200072 
  2.899     33.6       1.1067E-02 1.7570E-03                      T027500200073 
  2.899     39.1       9.8547E-03 8.6701E-04                      T027500200074 
  2.899     44.4       8.7195E-03 9.6005E-04                      T027500200075 
  2.899     50.2       1.3750E-02 1.5139E-03                      T027500200076 
  2.899     55.4       1.4535E-02 1.3600E-03                      T027500200077 
  3.204     12.0       2.1871E-01 2.6521E-02                      T027500200078 
  3.204     14.1       1.6222E-01 1.7879E-02                      T027500200079 
  3.204     16.5       9.3521E-02 1.4211E-02                      T027500200080 
  3.204     18.8       1.2995E-01 9.9536E-03                      T027500200081 
  3.204     21.0       8.7360E-02 8.4428E-03                      T027500200082 
  3.204     23.0       7.9864E-02 6.6477E-03                      T027500200083 
  3.204     25.4       7.3940E-02 5.6635E-03                      T027500200084 
  3.204     27.7       6.8455E-02 6.1555E-03                      T027500200085 
  3.204     29.7       5.5674E-02 3.9610E-03                      T027500200086 
  3.204     32.0       3.5416E-02 3.4227E-03                      T027500200087 
  3.204     33.9       2.3801E-02 2.6232E-03                      T027500200088 
  3.204     39.5       7.3559E-03 2.4655E-03                      T027500200089 
  3.204     44.8       1.2725E-02 1.3159E-03                      T027500200090 
  3.204     50.2       1.7108E-02 1.6033E-03                      T027500200091 
  3.204     55.6       1.8429E-02 1.9058E-03                      T027500200092 
  3.379     12.0       1.2163E-01 1.6038E-02                      T027500200093 
  3.379     14.5       8.1286E-02 7.6154E-03                      T027500200094 
  3.379     16.8       7.6174E-02 1.1651E-02                      T027500200095 
  3.379     18.9       1.0387E-01 1.2870E-02                      T027500200096 
  3.379     21.2       9.0412E-02 5.7332E-03                      T027500200097 
  3.379     23.3       1.0833E-01 9.0136E-03                      T027500200098 
  3.379     25.5       1.1480E-01 7.2795E-03                      T027500200099 
  3.379     27.8       1.1094E-01 1.2982E-02                      T027500200100 
  3.379     30.2       1.0145E-01 5.1143E-03                      T027500200101 
  3.379     32.0       8.3509E-02 5.2953E-03                      T027500200102 
  3.379     34.3       9.5860E-02 4.6007E-03                      T027500200103 
  3.379     39.8       5.1848E-02 4.3142E-03                      T027500200104 
  3.379     45.2       4.3660E-02 2.2011E-03                      T027500200105 
  3.379     50.6       3.4356E-02 2.6306E-03                      T027500200106 
  3.379     55.9       2.6870E-02 2.0574E-03                      T027500200107 
  3.600     12.3       1.0028E-01 1.6764E-02                      T027500200108 
  3.600     14.5       3.4061E-02 6.6897E-03                      T027500200109 
  3.600     19.0       4.6935E-02 8.8722E-03                      T027500200110 
  3.600     21.3       2.3541E-02 3.7661E-03                      T027500200111 
  3.600     23.3       3.2548E-02 6.3926E-03                      T027500200112 
  3.600     25.7       3.3252E-02 3.6857E-03                      T027500200113 
  3.600     27.8       2.6026E-02 4.3509E-03                      T027500200114 
  3.600     30.1       2.6259E-02 2.9106E-03                      T027500200115 
  3.600     32.2       2.5839E-02 5.4596E-03                      T027500200116 
  3.600     34.3       1.5890E-02 3.1210E-03                      T027500200117 
  3.600     40.1       1.4049E-02 3.5028E-03                      T027500200118 
  3.600     50.8       1.8219E-02 1.7707E-03                      T027500200119 
  3.600     56.1       1.1385E-02 1.1840E-03                      T027500200120 
  3.926     12.2       9.9970E-02 1.6682E-02                      T027500200121 
  3.926     14.6       5.8224E-02 8.8820E-03                      T027500200122 
  3.926     16.9       5.4211E-02 1.3081E-02                      T027500200123 
  3.926     19.0       6.2639E-02 1.2280E-02                      T027500200124 
  3.926     21.2       6.7218E-02 1.0734E-02                      T027500200125 
  3.926     23.2       9.5798E-02 9.2938E-03                      T027500200126 
  3.926     25.7       8.8117E-02 7.3626E-03                      T027500200127 
  3.926     27.8       9.6902E-02 1.3412E-02                      T027500200128 
  3.926     30.2       1.0661E-01 4.7074E-03                      T027500200129 
  3.926     32.1       9.5609E-02 3.6075E-03                      T027500200130 
  3.926     34.5       8.7394E-02 4.4241E-03                      T027500200131 
  3.926     40.0       6.3413E-02 3.6227E-03                      T027500200132 
  3.926     45.3       4.5155E-02 2.5796E-03                      T027500200133 
  3.926     50.7       3.0046E-02 2.7121E-03                      T027500200134 
  3.926     56.1       2.3764E-02 1.8272E-03                      T027500200135 
  4.457     12.6       8.0140E-02 1.8963E-02                      T027500200136 
  4.457     14.6       4.7675E-02 8.7394E-03                      T027500200137 
  4.457     17.0       5.1458E-02 9.9455E-03                      T027500200138 
  4.457     19.2       5.4189E-02 1.2054E-02                      T027500200139 
  4.457     21.3       3.5348E-02 6.6564E-03                      T027500200140 
  4.457     23.6       5.3799E-02 7.3672E-03                      T027500200141 
  4.457     25.8       3.9200E-02 4.3102E-03                      T027500200142 
  4.457     28.1       3.9545E-02 5.2052E-03                      T027500200143 
  4.457     30.1       2.6273E-02 3.4305E-03                      T027500200144 
  4.457     32.2       2.1908E-02 3.6324E-03                      T027500200145 
  4.457     34.7       1.7401E-02 2.3932E-03                      T027500200146 
  4.457     39.9       7.2780E-03 1.0010E-03                      T027500200147 
  4.457     45.4       6.5988E-03 1.1414E-03                      T027500200148 
  4.457     50.8       8.9155E-03 1.2217E-03                      T027500200149 
  4.457     56.1       8.3841E-03 9.2186E-04                      T027500200150 
  4.783     12.5       1.3361E-01 2.9012E-02                      T027500200151 
  4.783     16.8       6.9601E-02 1.1052E-02                      T027500200152 
  4.783     19.2       2.4871E-02 4.4851E-03                      T027500200153 
  4.783     23.4       2.5615E-02 5.1815E-03                      T027500200154 
  4.783     28.0       2.6395E-02 3.6331E-03                      T027500200155 
  4.783     30.0       1.1906E-02 2.4084E-03                      T027500200156 
  4.783     32.3       1.0365E-02 1.3545E-03                      T027500200157 
  4.783     34.5       1.0016E-02 1.8791E-03                      T027500200158 
  4.783     39.7       5.6926E-03 1.5850E-03                      T027500200159 
  4.783     45.2       3.2760E-03 7.8549E-04                      T027500200160 
  4.783     50.7       6.9767E-03 1.4113E-03                      T027500200161 
  4.783     55.9       4.7381E-03 8.8890E-04                      T027500200162 
  4.994     11.6       7.0429E-01 4.4900E-02                      T027500200163 
  4.994     13.8       4.1221E-01 2.4704E-02                      T027500200164 
  4.994     18.4       2.2732E-01 2.2671E-02                      T027500200165 
  4.994     20.6       1.9638E-01 1.5160E-02                      T027500200166 
  4.994     22.8       1.8273E-01 1.3061E-02                      T027500200167 
  4.994     25.0       1.7756E-01 7.8498E-03                      T027500200168 
  4.994     27.5       1.3813E-01 9.8731E-03                      T027500200169 
  4.994     29.7       1.1150E-01 7.1079E-03                      T027500200170 
  4.994     31.7       7.0269E-02 9.2449E-03                      T027500200171 
  4.994     34.0       5.1380E-02 3.2755E-03                      T027500200172 
  4.994     39.5       2.2842E-02 1.9109E-03                      T027500200173 
  4.994     45.1       2.2267E-02 1.8628E-03                      T027500200174 
  4.994     50.5       2.3086E-02 2.5574E-03                      T027500200175 
  4.994     55.9       2.0255E-02 1.4478E-03                      T027500200176 
  5.210     11.9       2.7722E-01 3.3721E-02                      T027500200177 
  5.210     22.8       1.2402E-01 9.5342E-03                      T027500200178 
  5.210     25.4       1.0589E-01 6.0484E-03                      T027500200179 
  5.210     27.5       9.3204E-02 7.1863E-03                      T027500200180 
  5.210     31.9       5.1425E-02 2.6030E-03                      T027500200181 
  5.210     34.2       4.5272E-02 3.7477E-03                      T027500200182 
  5.210     39.7       2.1037E-02 1.8602E-03                      T027500200183 
  5.210     45.1       1.2669E-02 1.3321E-03                      T027500200184 
  5.210     50.7       1.3716E-02 1.9949E-03                      T027500200185 
  5.210     56.1       1.8090E-02 1.7548E-03                      T027500200186 
  5.755     11.9       2.3419E-01 4.0645E-02                      T027500200187 
  5.755     14.3       2.0249E-01 1.4418E-02                      T027500200188 
  5.755     16.4       1.5006E-01 1.8197E-02                      T027500200189 
  5.755     18.7       1.6294E-01 2.1347E-02                      T027500200190 
  5.755     20.9       1.4086E-01 2.6494E-02                      T027500200191 
  5.755     23.2       1.1882E-01 1.0694E-02                      T027500200192 
  5.755     25.8       1.0276E-01 9.9396E-03                      T027500200193 
  5.755     27.7       6.9853E-02 8.1845E-03                      T027500200194 
  5.755     32.2       3.9337E-02 4.8804E-03                      T027500200195 
  5.755     34.4       3.3177E-02 3.6599E-03                      T027500200196 
  5.755     39.6       2.8240E-02 3.1152E-03                      T027500200197 
  5.755     45.5       2.0371E-02 2.2471E-03                      T027500200198 
  5.755     50.9       1.6107E-02 2.4497E-03                      T027500200199 
  5.755     56.2       1.3627E-02 1.3181E-03                      T027500200200 
  6.082     11.8       1.7477E-01 5.0247E-02                      T027500200201 
  6.082     14.3       1.2103E-01 1.2544E-02                      T027500200202 
  6.082     16.5       1.1264E-01 1.5566E-02                      T027500200203 
  6.082     18.7       9.4413E-02 7.8052E-03                      T027500200204 
  6.082     20.9       7.4862E-02 4.2700E-03                      T027500200205 
  6.082     23.1       7.4106E-02 5.6888E-03                      T027500200206 
  6.082     25.5       6.7722E-02 5.1987E-03                      T027500200207 
  6.082     27.6       6.2638E-02 1.0435E-02                      T027500200208 
  6.082     29.9       6.7184E-02 5.1575E-03                      T027500200209 
  6.082     32.0       6.2912E-02 5.6697E-03                      T027500200210 
  6.082     39.7       3.5952E-02 5.9894E-03                      T027500200211 
  6.082     45.2       2.3771E-02 1.9652E-03                      T027500200212 
  6.082     50.8       2.1527E-02 2.3780E-03                      T027500200213 
  6.082     56.2       1.8666E-02 1.8568E-03                      T027500200214 
ENDDATA            200          0                                 T027500200215 
ENDSUBENT          214          0                                 T027500299999 
SUBENT        T0275003   20040625                             0000T027500300001 
BIB                  3          3                                 T027500300002 
REACTION   (20-CA-40(A,T)21-SC-41,PAR,DA)                         T027500300003 
ERR-ANALYS (ERR-S) Statistical error scanned from figure.         T027500300004 
STATUS     (CURVE) Scanned from Fig.3 in article at RFNC-VNIIEF.  T027500300005 
ENDBIB               3          0                                 T027500300006 
COMMON               4          3                                 T027500300007 
EN         EN-ERR     ANG-ERR-D  ERR-DIG                          T027500300008 
MEV        MEV        ADEG       PER-CENT                         T027500300009 
 40.        0.2        0.2        0.01                            T027500300010 
ENDCOMMON            3          0                                 T027500300011 
DATA                 4        105                                 T027500300012 
E-LVL      ANG-CM     DATA-CM    ERR-S                            T027500300013 
MEV        ADEG       MB/SR      MB/SR                            T027500300014 
  0.000     11.8       2.9395E+00                                 T027500300015 
  0.000     14.2       2.2663E+00                                 T027500300016 
  0.000     16.4       1.8760E+00                                 T027500300017 
  0.000     18.6       1.5902E+00                                 T027500300018 
  0.000     20.0       1.1759E+00                                 T027500300019 
  0.000     23.1       1.0833E+00                                 T027500300020 
  0.000     24.9       1.0398E+00                                 T027500300021 
  0.000     27.6       8.0174E-01 4.8950E-02                      T027500300022 
  0.000     29.7       7.5606E-01                                 T027500300023 
  0.000     32.0       4.9967E-01 3.0507E-02                      T027500300024 
  0.000     33.9       3.5034E-01                                 T027500300025 
  0.000     39.4       1.2737E-01                                 T027500300026 
  0.000     45.1       1.0744E-01                                 T027500300027 
  0.000     50.5       1.3802E-01                                 T027500300028 
  0.000     56.1       1.0971E-01 4.6471E-03                      T027500300029 
  1.717     11.7       3.6369E-02 6.3734E-03                      T027500300030 
  1.717     14.3       4.5409E-02 5.1600E-03                      T027500300031 
  1.717     16.5       9.8280E-02 1.1170E-02                      T027500300032 
  1.717     18.5       9.7749E-02 9.8157E-03                      T027500300033 
  1.717     20.7       7.1238E-02 6.5008E-03                      T027500300034 
  1.717     23.4       5.4469E-02 5.4696E-03                      T027500300035 
  1.717     25.6       4.3163E-02 4.1727E-03                      T027500300036 
  1.717     27.8       2.5668E-02 4.0872E-03                      T027500300037 
  1.717     29.6       3.2428E-02 3.2563E-03                      T027500300038 
  1.717     32.1       2.2396E-02 2.6433E-03                      T027500300039 
  1.717     34.4       1.3972E-02 1.5008E-03                      T027500300040 
  1.717     39.6       1.4590E-02 1.5614E-03                      T027500300041 
  1.717     45.4       1.5607E-02 1.3630E-03                      T027500300042 
  1.717     50.5       1.1589E-02 1.0122E-03                      T027500300043 
  2.077     11.4       3.0494E-02 1.1012E-02                      T027500300044 
  2.077     14.3       2.7107E-02 5.2768E-03                      T027500300045 
  2.077     15.6       3.3372E-02 7.6959E-03                      T027500300046 
  2.077     18.3       1.7501E-02 2.4382E-03                      T027500300047 
  2.077     20.6       2.0921E-02 1.9458E-03                      T027500300048 
  2.077     23.2       1.8053E-02 4.9677E-03                      T027500300049 
  2.077     25.6       1.2000E-02 2.5070E-03                      T027500300050 
  2.077     32.2       8.2269E-03 2.7081E-03                      T027500300051 
  2.077     39.3       1.3405E-02 4.3078E-03                      T027500300052 
  2.077     45.3       7.1207E-03 8.4905E-04                      T027500300053 
  2.077     50.4       1.3212E-02 1.9302E-03                      T027500300054 
  2.077     56.6       6.7329E-03 8.0281E-04                      T027500300055 
  2.895     14.4       1.3578E-02 4.2670E-03                      T027500300056 
  2.895     16.4       1.1767E-02 6.0998E-03                      T027500300057 
  2.895     18.6       1.4092E-02 3.4571E-03                      T027500300058 
  2.895     21.3       1.2815E-02 1.9783E-03                      T027500300059 
  2.895     23.4       1.4895E-02 1.6019E-03                      T027500300060 
  2.895     25.5       1.9397E-02 3.6678E-03                      T027500300061 
  2.895     27.7       1.1950E-02 1.5376E-03                      T027500300062 
  2.895     30.2       1.1817E-02 2.3255E-03                      T027500300063 
  2.895     32.4       7.7755E-03 8.3327E-04                      T027500300064 
  2.895     34.6       6.5796E-03 1.1148E-03                      T027500300065 
  2.895     40.3       3.5146E-03 7.4235E-04                      T027500300066 
  2.895     45.5       3.1228E-03 5.4802E-04                      T027500300067 
  2.895     51.1       3.8807E-03 6.5750E-04                      T027500300068 
  2.895     56.5       4.7364E-03 7.9796E-04                      T027500300069 
  3.174     12.2       1.4160E-02 7.4659E-03                      T027500300070 
  3.174     13.8       1.5955E-02 3.5993E-03                      T027500300071 
  3.174     18.8       1.4356E-02 4.0659E-03                      T027500300072 
  3.174     21.4       1.4029E-02 2.2920E-03                      T027500300073 
  3.174     23.5       2.5441E-02 3.5141E-03                      T027500300074 
  3.174     25.5       3.3265E-02 3.3763E-03                      T027500300075 
  3.174     27.7       2.2616E-02 1.9297E-03                      T027500300076 
  3.174     30.4       1.9976E-02 2.7593E-03                      T027500300077 
  3.174     32.5       1.3340E-02 1.5662E-03                      T027500300078 
  3.174     34.7       1.2653E-02 1.2843E-03                      T027500300079 
  3.174     40.2       8.3584E-03 7.1320E-04                      T027500300080 
  3.174     51.3       5.9391E-03 8.8100E-04                      T027500300081 
  3.174     56.4       5.9479E-03 7.2931E-04                      T027500300082 
  3.356     12.1       2.8769E-02 6.9869E-03                      T027500300083 
  3.356     14.4       1.5646E-02 3.0026E-03                      T027500300084 
  3.356     18.5       2.1817E-02 9.4567E-03                      T027500300085 
  3.356     21.1       2.3999E-02 3.0535E-03                      T027500300086 
  3.356     23.4       3.2091E-02 4.9011E-03                      T027500300087 
  3.356     27.6       2.6581E-02 2.2582E-03                      T027500300088 
  3.356     30.1       2.7559E-02 2.6385E-03                      T027500300089 
  3.356     32.5       2.6613E-02 3.1105E-03                      T027500300090 
  3.356     34.5       2.7752E-02 2.0552E-03                      T027500300091 
  3.356     40.2       2.1418E-02 1.3500E-03                      T027500300092 
  3.356     45.6       2.1831E-02 1.0096E-03                      T027500300093 
  3.356     56.6       1.0383E-02 7.6429E-04                      T027500300094 
  5.025     12.2       7.1127E-02 1.1613E-02                      T027500300095 
  5.025     14.4       5.8498E-02 6.8619E-03                      T027500300096 
  5.025     16.4       6.0296E-02 9.5434E-03                      T027500300097 
  5.025     18.6       4.2745E-02 5.4598E-03                      T027500300098 
  5.025     23.3       5.3325E-02 9.7540E-03                      T027500300099 
  5.025     25.5       6.1902E-02 4.9408E-03                      T027500300100 
  5.025     28.0       4.7694E-02 4.3252E-03                      T027500300101 
  5.025     30.6       4.8013E-02 3.5689E-03                      T027500300102 
  5.025     32.6       2.8820E-02 1.8233E-03                      T027500300103 
  5.025     34.7       2.9706E-02 1.8794E-03                      T027500300104 
  5.025     40.4       1.3105E-02 1.5372E-03                      T027500300105 
  5.025     45.6       1.0045E-02 1.0723E-03                      T027500300106 
  5.025     51.4       1.3223E-02 1.6203E-03                      T027500300107 
  5.025     57.4       8.4825E-03 1.0394E-03                      T027500300108 
  5.568     14.4       1.1346E-02 4.0155E-03                      T027500300109 
  5.568     18.6       1.5602E-02 3.8949E-03                      T027500300110 
  5.568     21.1       1.5614E-02 2.4086E-03                      T027500300111 
  5.568     23.2       1.4895E-02 2.5955E-03                      T027500300112 
  5.568     25.4       1.6501E-02 2.6286E-03                      T027500300113 
  5.568     27.9       1.7015E-02 3.1322E-03                      T027500300114 
  5.568     32.5       1.4412E-02 3.7265E-03                      T027500300115 
  5.568     40.4       8.4826E-03 1.7657E-03                      T027500300116 
  5.568     46.3       7.4504E-03 9.1895E-04                      T027500300117 
  5.568     51.5       3.7502E-03 8.1585E-04                      T027500300118 
  5.568     57.2       3.1774E-03 6.1574E-04                      T027500300119 
ENDDATA            107          0                                 T027500300120 
ENDSUBENT          119          0                                 T027500399999 
SUBENT        T0275004   20040625                             0000T027500400001 
BIB                  2          2                                 T027500400002 
REACTION   (20-CA-40(A,EL)20-CA-40,,DA)                           T027500400003 
STATUS     (CURVE) Scanned from Fig.4 in article at RFNC-VNIIEF.  T027500400004 
ENDBIB               2          0                                 T027500400005 
COMMON               4          3                                 T027500400006 
EN         EN-ERR     ANG-ERR-D  ERR-DIG                          T027500400007 
MEV        MEV        ADEG       PER-CENT                         T027500400008 
 40.0        0.2        0.5        0.5                            T027500400009 
ENDCOMMON            3          0                                 T027500400010 
DATA                 2         21                                 T027500400011 
ANG-CM     DATA-CM                                                T027500400012 
ADEG       MB/SR                                                  T027500400013 
 11.8       7.7040E+03                                            T027500400014 
 14.0       2.0625E+03                                            T027500400015 
 16.3       1.2013E+03                                            T027500400016 
 18.6       1.0176E+03                                            T027500400017 
 20.5       5.6534E+02                                            T027500400018 
 23.0       1.5285E+02                                            T027500400019 
 24.6       2.6582E+01                                            T027500400020 
 27.1       7.3277E+01                                            T027500400021 
 29.5       1.1094E+02                                            T027500400022 
 31.6       8.0879E+01                                            T027500400023 
 33.6       2.4451E+01                                            T027500400024 
 35.5       1.5767E+00                                            T027500400025 
 37.8       7.6933E+00                                            T027500400026 
 40.2       1.8256E+01                                            T027500400027 
 42.3       1.8299E+01                                            T027500400028 
 44.4       8.5111E+00                                            T027500400029 
 46.3       1.5374E+00                                            T027500400030 
 48.6       1.4987E+00                                            T027500400031 
 50.7       5.5199E+00                                            T027500400032 
 53.0       7.8995E+00                                            T027500400033 
 55.1       6.3839E+00                                            T027500400034 
ENDDATA             23          0                                 T027500400035 
ENDSUBENT           34          0                                 T027500499999 
SUBENT        T0275005   20040625                             0000T027500500001 
BIB                  2          2                                 T027500500002 
REACTION   (20-CA-40(HE3,EL)20-CA-40,,DA)                         T027500500003 
STATUS     (CURVE) Scanned from Fig.4 in article at RFNC-VNIIEF.  T027500500004 
ENDBIB               2          0                                 T027500500005 
COMMON               3          3                                 T027500500006 
EN         ANG-ERR-D  ERR-DIG                                     T027500500007 
MEV        ADEG       PER-CENT                                    T027500500008 
 25.        0.2        0.02                                       T027500500009 
ENDCOMMON            3          0                                 T027500500010 
DATA                 2         16                                 T027500500011 
ANG-CM     DATA-CM                                                T027500500012 
ADEG       MB/SR                                                  T027500500013 
 11.9       3.2916E+04                                            T027500500014 
