ENTRY            T0268   20230918                             C233T0268000    1 
SUBENT        T0268001   20230918                             C233T0268001    1 
BIB                  7         13                                 T0268001    2 
INSTITUTE  (1USAANL)                                              T0268001    3 
REFERENCE  (J,PR,133,B590,1964)                                   T0268001    4 
           #doi:10.1103/PhysRev.133.B590                          T0268001    5 
AUTHOR     (J.A.Weinman, L.Meyer-Schutzmeister, L.L.Lee Jr)       T0268001    6 
TITLE      States in 28Si with 12.7<E(x)<13.7 MeV by (alpha,gamma)T0268001    7 
            and (alpha,aalpha) reactions on 24Mg                  T0268001    8 
FACILITY   (VDG,1USAANL) Argonne 4.5-MeV Van de Graaff generator. T0268001    9 
ERR-ANALYS (EN-ERR) Error of relative a-particle energies.        T0268001   10 
HISTORY    (20030918C) VNIIEF + VM                                T0268001   11 
           (20081013A) NDS: reference on Phys.Rev. corrected.     T0268001   12 
                       PR/B,133,590,1964 ==> PR,133,B590,1964     T0268001   13 
           (20230914A) OS. REACTIONs corrected in subs.3,4,       T0268001   14 
            ERR-ANALYS updated in sub.2                           T0268001   15 
ENDBIB              13          0                                 T0268001   16 
COMMON               2          3                                 T0268001   17 
EN-ERR     EN-RSL                                                 T0268001   18 
MEV        MEV                                                    T0268001   19 
 0.2        0.1                                                   T0268001   20 
ENDCOMMON            3          0                                 T0268001   21 
ENDSUBENT           20          0                                 T026800199999 
SUBENT        T0268002   20230918                             C233T0268002    1 
BIB                  6         10                                 T0268002    2 
REACTION   (12-MG-24(A,EL)12-MG-24,,DA)                           T0268002    3 
SAMPLE     Magnesium metal, enriched to 99.7% 24Mg, evaporated    T0268002    4 
            onto thin carbon foils backings. Target thickness     T0268002    5 
            about 0.01 mg/cm2.                                    T0268002    6 
DETECTOR   (SOLST)                                                T0268002    7 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty.    T0268002    8 
           (EN-ERR-DIG) Digitizing error in energy 0.005 MeV.     T0268002    9 
           (ERR-DIG) Digitizing error in data 0.005 mb/sr.        T0268002   10 
STATUS     (CURVE,,J.A.Weinman+,J,PR,133,B590,1964) Fig.6         T0268002   11 
HISTORY    (20230914A) COMMON added                               T0268002   12 
ENDBIB              10          0                                 T0268002   13 
COMMON               2          3                                 T0268002   14 
EN-ERR-DIG ERR-DIG                                                T0268002   15 
MEV        MB/SR                                                  T0268002   16 
  0.005      0.005                                                T0268002   17 
ENDCOMMON            3          0                                 T0268002   18 
DATA                 4        476                                 T0268002   19 
125.3       3.2676    0.15125    0.40446E-02                      T0268002  164 
125.3       3.2721    0.15616    0.40445E-02                      T0268002  165 
125.3       3.2758    0.15539    0.40446E-02                      T0268002  166 
125.3       3.2795    0.15463    0.32356E-02                      T0268002  167 
125.3       3.2849    0.15955    0.40446E-02                      T0268002  168 
125.3       3.2888    0.14827    0.32356E-02                      T0268002  169 
125.3       3.2934    0.14751    0.40446E-02                      T0268002  170 
125.3       3.2971    0.14432    0.40445E-02                      T0268002  171 
125.3       3.3008    0.14436    0.40445E-02                      T0268002  172 
125.3       3.3045    0.14198    0.40445E-02                      T0268002  173 
125.3       3.3101    0.13477    0.56624E-02                      T0268002  174 
125.3       3.3141    0.11621    0.40446E-02                      T0268002  175 
125.3       3.3169    0.11219    0.48535E-02                      T0268002  176 
125.3       3.3223    0.11954    0.32356E-02                      T0268002  177 
125.3       3.3258    0.13091    0.32356E-02                      T0268002  178 
125.3       3.3312    0.13987    0.40446E-02                      T0268002  179 
125.3       3.3329    0.14475    0.32356E-02                      T0268002  180 
125.3       3.3385    0.14077    0.40446E-02                      T0268002  181 
125.3       3.3421    0.14567    0.40445E-02                      T0268002  182 
125.3       3.3475    0.15059    0.32356E-02                      T0268002  183 
125.3       3.3512    0.15144    0.32357E-02                      T0268002  184 
125.3       3.3550    0.14178    0.32357E-02                      T0268002  185 
125.3       3.3596    0.14102    0.40446E-02                      T0268002  186 
125.3       3.3641    0.14431    0.32356E-02                      T0268002  187 
125.3       3.3678    0.14193    0.32357E-02                      T0268002  188 
125.3       3.3724    0.14279    0.32356E-02                      T0268002  189 
125.3       3.3770    0.14689    0.32356E-02                      T0268002  190 
125.3       3.3807    0.14046    0.48535E-02                      T0268002  191 
125.3       3.3853    0.14214    0.40446E-02                      T0268002  192 
125.3       3.3889    0.14461    0.32357E-02                      T0268002  193 
125.3       3.3945    0.14063    0.40445E-02                      T0268002  194 
125.3       3.3972    0.14632    0.32356E-02                      T0268002  195 
125.3       3.4026    0.14801    0.40445E-02                      T0268002  196 
125.3       3.4064    0.14158    0.40445E-02                      T0268002  197 
125.3       3.4110    0.14244    0.40445E-02                      T0268002  198 
125.3       3.4147    0.14168    0.40445E-02                      T0268002  199 
125.3       3.4183    0.14253    0.40445E-02                      T0268002  200 
125.3       3.4230    0.14016    0.40445E-02                      T0268002  201 
125.3       3.4266    0.14182    0.32356E-02                      T0268002  202 
