E          E-ERR      E-LVL-INI  E-LVL-ERR  DATA       ERR-S      3158900200011 
KEV        KEV        KEV        KEV        PC/INC     PER-CENT   3158900200012 
 1330.4      0.51       2988.34     0.06       0.10      17.      3158900200200 
 1339.0      0.51       3429.93     0.19       0.06      12.      3158900200201 
 1353.4      0.41       3393.69     0.15       0.10      13.      3158900200202 
 1355.1      0.14       3238.19     0.08       0.15      50.      3158900200203 
 1355.2      0.14       1957.91     0.06       0.49      20.      3158900200204 
 1368.2      0.13       2693.75     0.10       0.35       7.      3158900200205 
 1369.9      0.12       2618.62     0.08       0.54       4.      3158900200206 
 1376.1      0.10       2701.56     0.06       1.09       1.      3158900200207 
 1385.3      0.10       2710.62     0.08       0.28       5.      3158900200208 
 1386.6      0.41       3709.77     0.07       0.01      50.      3158900200209 
 1392.6      0.16       2641.14     0.17       0.04      11.      3158900200210 
 1397.4      0.16       4144.58     0.16       0.05       8.      3158900200211 
 1415.9      0.10       3709.77     0.07       0.16       2.      3158900200212 
 1431.8      0.51       3088.53     0.08       0.11      17.      3158900200213 
 1436.6      0.5        2039.296    0.004      0.89       4.      3158900200214 
 1436.7      0.5        2039.425    0.004      1.91       2.      3158900200215 
 1445.0      0.49       2693.75     0.10       0.08      19.      3158900200216 
 1447.8      0.51       3755.72     0.05       0.04      60.      3158900200217 
 1448.1      0.32       4195.08     0.25       0.10      23.      3158900200218 
 1462.0      0.31       2710.62     0.08       0.08      16.      3158900200219 
 1464.7      0.11       2790.38     0.22       0.22       2.      3158900200220 
 1469.0      0.71       3622.11     0.09       0.09      26.      3158900200221 
 1484.5      0.32       3576.01     0.23       0.07      50.      3158900200222 
 1485.3      0.26       2733.92     0.26       0.14      26.      3158900200223 
 1488.86     0.10       2091.54     0.05       3.57       1.      3158900200224 
 1493.5      0.52       4195.08     0.25       0.03      50.      3158900200225 
 1498.5      0.61       3652.81     0.12       0.02      23.      3158900200226 
 1509.4      0.10       2834.97     0.07       0.57       1.      3158900200227 
 1526.4      0.11       2774.91     0.07       0.29       2.      3158900200228 
 1550.4      0.10       2153.26     0.06       0.16       2.      3158900200229 
 1560.4      0.11       3443.02     0.06       0.15       2.      3158900200230 
 1562.8      0.51       3654.80     0.27       0.06       6.      3158900200231 
 1565.9      0.11       2814.52     0.11       0.18       3.      3158900200232 
 1574.3      0.64       3666.95     0.10       0.04      50.      3158900200233 
 1579.6      0.10       2182.38     0.06       2.19       1.      3158900200234 
 1594.7      0.51       3685.70     0.13       0.04      60.      3158900200235 
 1595.0      0.51       4195.08     0.25       0.09      25.      3158900200236 
 1614.3      0.51       4216.08     0.37       0.16       6.      3158900200237 
 1622.0      0.51       2224.96     0.10       0.19      20.      3158900200238 
 1626.5      0.61       3666.95     0.10       0.07       6.      3158900200239 
 1637.4      0.11       2886.12     0.16       0.12       2.      3158900200240 
 1645.9      0.86       3967.35     0.16       0.01      69.      3158900200241 
 1650.4      0.29       2975.39     0.10       0.03      17.      3158900200242 
