ENTRY            32708   20140327                             31653270800000001 
SUBENT        32708001   20140327                             31653270800100001 
BIB                  9         27                                 3270800100002 
TITLE      Measurements of charge distributions of the fragments  3270800100003 
           in the low energy fission reaction                     3270800100004 
AUTHOR     (Taofeng Wang,Hongyin Han,Qinghua Meng,Liming Wang,    3270800100005 
           Liping Zhu,Haihong Xia)                                3270800100006 
INSTITUTE  (3CPRCPR) School of Physics and Nuclear Energy         3270800100007 
           Engineering, Beihang University, Beijing, China.       3270800100008 
           (3CPRAEP)                                              3270800100009 
REFERENCE  (J,NIM/A,697,7,2013)                                   3270800100010 
           #doi:10.1016/j.nima.2012.08.109                        3270800100011 
DETECTOR   (TELES,IOCH,SIBAR) Detector system consisting of a     3270800100012 
           grid ionization chamber and a Delta-E-E particle       3270800100013 
           telescope, in which a thin grid ionization chamber     3270800100014 
           served as the Delta-E section and the E section was    3270800100015 
           an Au-Si surface barrier detector.                     3270800100016 
SAMPLE     A Cf252 foil fission source with an activity of about  3270800100017 
           3000 fissions/s.                                       3270800100018 
METHOD     (EDE) The typical physical quantities of fragments,    3270800100019 
           such as mass number and kinetic energies as well as    3270800100020 
           the deposition in the gas Delta-E detector and E       3270800100021 
           detector were derived from the coincident measurement  3270800100022 
           data.                                                  3270800100023 
ANALYSIS   The charge distributions of the light fragments for    3270800100024 
           the fixed mass number A and total kinetic energy were  3270800100025 
           obtained by the least-squares fits for the response    3270800100026 
           functions of the Delta-E detector with multi-Gaussian  3270800100027 
           functions representing the different elements.         3270800100028 
HISTORY    (20140327C)Compiled by WANG Jimin (CNDC).              3270800100029 
ENDBIB              27          0                                 3270800100030 
NOCOMMON             0          0                                 3270800100031 
ENDSUBENT           30          0                                 3270800199999 
SUBENT        32708002   20140327                             31653270800200001 
BIB                  4          8                                 3270800200002 
REACTION   (98-CF-252(0,F)MASS,,ZP,,MSC)                          3270800200003 
           Fragment energy dependence of the most probable charge 3270800200004 
           Zp.                                                    3270800200005 
EN-SEC     (E,FF)                                                 3270800200006 
STATUS     (TABLE)Data were obtained from Hongyin Han.            3270800200007 
ERR-ANALYS (DATA-ERR) The errors of the parameters are due to     3270800200008 
           the statistics errors of the fits of the Gaussian      3270800200009 
           distributions.                                         3270800200010 
ENDBIB               8          0                                 3270800200011 
NOCOMMON             0          0                                 3270800200012 
DATA                 5        553                                 3270800200013 
MASS       E-MIN      E-MAX      DATA       DATA-ERR              3270800200014 
87.        93.        96.        34.71      0.16                  3270800200063 
87.        96.        99.        35.05      0.16                  3270800200064 
87.        99.        102.       34.81      0.19                  3270800200065 
87.        102.       105.       34.85      0.25                  3270800200066 
87.        105.       108.       35.07      0.35                  3270800200067 
88.        84.        87.        34.78      0.31                  3270800200068 
88.        87.        90.        35.11      0.23                  3270800200069 
88.        90.        93.        35.10      0.16                  3270800200070 
88.        93.        96.        35.76      0.14                  3270800200071 
88.        96.        99.        35.81      0.12                  3270800200072 
88.        99.        102.       35.60      0.12                  3270800200073 
88.        102.       105.       35.47      0.19                  3270800200074 
88.        105.       108.       35.90      0.29                  3270800200075 
88.        108.       111.       35.63      0.39                  3270800200076 
89.        84.        87.        35.77      0.38                  3270800200077 
89.        87.        90.        36.05      0.22                  3270800200078 
89.        90.        93.        36.39      0.15                  3270800200079 
89.        93.        96.        36.44      0.12                  3270800200080 
89.        96.        99.        35.44      0.11                  3270800200081 
89.        99.        102.       35.23      0.10                  3270800200082 
89.        102.       105.       35.74      0.13                  3270800200083 
89.        105.       108.       35.72      0.17                  3270800200084 
89.        108.       111.       35.92      0.29                  3270800200085 
90.        84.        87.        35.77      0.38                  3270800200086 
90.        87.        90.        36.05      0.22                  3270800200087 
90.        90.        93.        36.39      0.15                  3270800200088 
90.        93.        96.        36.44      0.12                  3270800200089 
90.        96.        99.        36.31      0.11                  3270800200090 
90.        99.        102.       36.68      0.10                  3270800200091 
90.        102.       105.       36.00      0.12                  3270800200092 
90.        105.       108.       36.17      0.18                  3270800200093 
90.        108.       111.       36.50      0.17                  3270800200094 
90.        111.       114.       36.67      0.27                  3270800200095 
91.        84.        87.        36.09      0.39                  3270800200096 
91.        87.        90.        36.64      0.22                  3270800200097 
91.        90.        93.        36.53      0.15                  3270800200098 
91.        93.        96.        36.92      0.12                  3270800200099 
91.        96.        99.        36.58      0.09                  3270800200100 
91.        99.        102.       36.30      0.08                  3270800200101 
91.        102.       105.       36.27      0.08                  3270800200102 
91.        105.       108.       36.77      0.12                  3270800200103 
91.        108.       111.       36.48      0.17                  3270800200104 
91.        111.       114.       36.94      0.21                  3270800200105 
92.        84.        87.        36.63      0.27                  3270800200106 
92.        87.        90.        36.63      0.22                  3270800200107 
92.        90.        93.        36.79      0.16                  3270800200108 
92.        93.        96.        36.93      0.12                  3270800200109 
92.        96.        99.        36.48      0.09                  3270800200110 
92.        99.        102.       36.87      0.08                  3270800200111 
92.        102.       105.       36.67      0.08                  3270800200112 
92.        105.       108.       36.41      0.10                  3270800200113 
92.        108.       111.       36.32      0.13                  3270800200114 
92.        111.       114.       36.38      0.21                  3270800200115 
92.        114.       117.       36.67      0.36                  3270800200116 
93.        84.        87.        37.12      0.45                  3270800200117 
93.        87.        90.        36.96      0.21                  3270800200118 
93.        90.        93.        37.23      0.15                  3270800200119 
93.        93.        96.        36.85      0.10                  3270800200120 
93.        96.        99.        37.47      0.08                  3270800200121 
93.        99.        102.       36.91      0.07                  3270800200122 
93.        102.       105.       37.12      0.07                  3270800200123 
93.        105.       108.       37.26      0.08                  3270800200124 
93.        108.       111.       37.52      0.10                  3270800200125 
93.        111.       114.       37.53      0.16                  3270800200126 
93.        114.       117.       37.60      0.26                  3270800200127 
94.        84.        87.        37.41      0.52                  3270800200128 
94.        87.        90.        38.03      0.28                  3270800200129 
94.        90.        93.        38.27      0.15                  3270800200130 
94.        93.        96.        38.05      0.10                  3270800200131 
94.        96.        99.        37.99      0.08                  3270800200132 
94.        99.        102.       37.44      0.06                  3270800200133 
94.        102.       105.       37.35      0.07                  3270800200134 
94.        105.       108.       37.66      0.06                  3270800200135 
94.        108.       111.       37.29      0.07                  3270800200136 
94.        111.       114.       37.01      0.11                  3270800200137 
94.        114.       117.       37.20      0.20                  3270800200138 
94.        117.       120.       37.51      0.40                  3270800200139 
95.        84.        87.        38.07      0.53                  3270800200140 
95.        87.        90.        38.00      0.21                  3270800200141 
95.        90.        93.        37.88      0.16                  3270800200142 
95.        93.        96.        37.78      0.10                  3270800200143 
95.        96.        99.        37.87      0.08                  3270800200144 
95.        99.        102.       38.04      0.06                  3270800200145 
95.        102.       105.       38.11      0.05                  3270800200146 
95.        105.       108.       38.16      0.06                  3270800200147 
95.        108.       111.       38.19      0.06                  3270800200148 
95.        111.       114.       37.98      0.10                  3270800200149 
95.        114.       117.       38.04      0.16                  3270800200150 
95.        117.       120.       38.31      0.40                  3270800200151 
96.        84.        87.        38.82      0.59                  3270800200152 
96.        87.        90.        39.05      0.21                  3270800200153 
96.        90.        93.        39.08      0.14                  3270800200154 
96.        93.        96.        38.80      0.10                  3270800200155 
96.        96.        99.        38.54      0.06                  3270800200156 
96.        99.        102.       38.49      0.06                  3270800200157 
96.        102.       105.       38.38      0.05                  3270800200158 
96.        105.       108.       38.63      0.05                  3270800200159 
96.        108.       111.       38.68      0.06                  3270800200160 
96.        111.       114.       38.80      0.08                  3270800200161 
96.        114.       117.       38.96      0.11                  3270800200162 
96.        117.       120.       39.25      0.25                  3270800200163 
97.        84.        87.        39.05      0.44                  3270800200164 
97.        87.        90.        39.19      0.29                  3270800200165 
97.        90.        93.        39.45      0.14                  3270800200166 
97.        93.        96.        39.11      0.09                  3270800200167 
97.        96.        99.        39.04      0.07                  3270800200168 
97.        99.        102.       39.18      0.05                  3270800200169 
97.        102.       105.       39.05      0.05                  3270800200170 
97.        105.       108.       39.46      0.05                  3270800200171 
97.        108.       111.       39.47      0.05                  3270800200172 
97.        111.       114.       39.20      0.06                  3270800200173 
97.        114.       117.       39.24      0.10                  3270800200174 
97.        117.       120.       39.15      0.15                  3270800200175 
97.        120.       123.       39.44      0.44                  3270800200176 
98.        84.        87.        38.94      0.73                  3270800200177 
98.        87.        90.        39.40      0.28                  3270800200178 
98.        90.        93.        39.43      0.14                  3270800200179 
98.        93.        96.        39.76      0.10                  3270800200180 
98.        96.        99.        39.42      0.07                  3270800200181 
98.        99.        102.       39.55      0.05                  3270800200182 
98.        102.       105.       39.56      0.05                  3270800200183 
98.        105.       108.       39.24      0.05                  3270800200184 
98.        108.       111.       39.66      0.02                  3270800200185 
98.        111.       114.       39.46      0.06                  3270800200186 
98.        114.       117.       39.51      0.15                  3270800200187 
98.        117.       120.       39.51      0.15                  3270800200188 
98.        120.       123.       39.58      0.39                  3270800200189 
99.        84.        87.        39.56      0.36                  3270800200190 
99.        87.        90.        39.21      0.21                  3270800200191 
99.        90.        93.        39.54      0.10                  3270800200192 
99.        93.        96.        39.50      0.07                  3270800200193 
99.        96.        99.        40.04      0.05                  3270800200194 
99.        99.        102.       40.18      0.04                  3270800200195 
99.        102.       105.       40.16      0.03                  3270800200196 
99.        105.       108.       39.56      0.03                  3270800200197 
99.        108.       111.       39.96      0.03                  3270800200198 
99.        111.       114.       39.65      0.04                  3270800200199 
99.        114.       117.       40.18      0.06                  3270800200200 
99.        117.       120.       40.35      0.10                  3270800200201 
99.        120.       123.       40.28      0.18                  3270800200202 
100.       84.        87.        39.65      0.36                  3270800200203 
100.       87.        90.        40.17      0.28                  3270800200204 
100.       90.        93.        40.46      0.14                  3270800200205 
100.       93.        96.        40.50      0.09                  3270800200206 
100.       96.        99.        40.00      0.06                  3270800200207 
100.       99.        102.       40.68      0.04                  3270800200208 
100.       102.       105.       40.73      0.04                  3270800200209 
100.       105.       108.       40.70      0.03                  3270800200210 
100.       108.       111.       40.40      0.03                  3270800200211 
100.       111.       114.       40.07      0.04                  3270800200212 
100.       114.       117.       40.14      0.05                  3270800200213 
100.       117.       120.       40.53      0.08                  3270800200214 
100.       120.       123.       40.52      0.14                  3270800200215 
101.       84.        87.        39.40      0.36                  3270800200216 
101.       87.        90.        39.44      0.21                  3270800200217 
101.       90.        93.        39.51      0.11                  3270800200218 
101.       93.        96.        39.73      0.07                  3270800200219 
101.       96.        99.        40.27      0.05                  3270800200220 
101.       99.        102.       40.39      0.04                  3270800200221 
101.       102.       105.       40.14      0.03                  3270800200222 
101.       105.       108.       40.48      0.03                  3270800200223 
101.       108.       111.       40.61      0.03                  3270800200224 
101.       111.       114.       40.90      0.03                  3270800200225 
101.       114.       117.       40.51      0.04                  3270800200226 
101.       117.       120.       40.56      0.04                  3270800200227 
101.       120.       123.       40.07      0.14                  3270800200228 
101.       123.       126.       40.58      0.41                  3270800200229 
102.       84.        87.        40.83      0.47                  3270800200230 
102.       87.        90.        40.75      0.28                  3270800200231 
102.       90.        93.        40.95      0.12                  3270800200232 
102.       93.        96.        40.20      0.07                  3270800200233 
102.       96.        99.        41.28      0.05                  3270800200234 
102.       99.        102.       41.49      0.04                  3270800200235 
102.       102.       105.       40.97      0.04                  3270800200236 
102.       105.       108.       41.29      0.03                  3270800200237 
102.       108.       111.       41.44      0.02                  3270800200238 
102.       111.       114.       41.37      0.03                  3270800200239 
102.       114.       117.       41.22      0.04                  3270800200240 
102.       117.       120.       41.64      0.05                  3270800200241 
102.       120.       123.       41.08      0.09                  3270800200242 
102.       123.       126.       41.52      0.22                  3270800200243 
103.       84.        87.        40.56      0.53                  3270800200244 
103.       87.        90.        41.04      0.28                  3270800200245 
103.       90.        93.        41.32      0.13                  3270800200246 
103.       93.        96.        41.37      0.07                  3270800200247 
103.       96.        99.        41.12      0.05                  3270800200248 
103.       99.        102.       41.35      0.04                  3270800200249 
103.       102.       105.       41.53      0.03                  3270800200250 
103.       105.       108.       41.69      0.02                  3270800200251 
103.       108.       111.       41.58      0.02                  3270800200252 
103.       111.       114.       41.91      0.03                  3270800200253 
103.       114.       117.       41.79      0.03                  3270800200254 
103.       117.       120.       41.75      0.04                  3270800200255 
103.       120.       123.       41.29      0.08                  3270800200256 
103.       123.       126.       41.58      0.18                  3270800200257 
104.       84.        87.        41.65      0.53                  3270800200258 
104.       87.        90.        41.90      0.28                  3270800200259 
104.       90.        93.        42.15      0.14                  3270800200260 
104.       93.        96.        41.78      0.08                  3270800200261 
104.       96.        99.        41.77      0.05                  3270800200262 
104.       99.        102.       41.72      0.04                  3270800200263 
104.       102.       105.       42.09      0.03                  3270800200264 
104.       105.       108.       41.98      0.02                  3270800200265 
104.       108.       111.       42.27      0.02                  3270800200266 
104.       111.       114.       42.18      0.02                  3270800200267 
104.       114.       117.       42.01      0.03                  3270800200268 
104.       117.       120.       42.11      0.04                  3270800200269 
104.       120.       123.       41.95      0.06                  3270800200270 
104.       123.       126.       42.77      0.14                  3270800200271 
105.       84.        87.        42.23      0.61                  3270800200272 
105.       87.        90.        42.08      0.34                  3270800200273 
105.       90.        93.        41.69      0.14                  3270800200274 
105.       93.        96.        41.84      0.08                  3270800200275 
105.       96.        99.        42.15      0.06                  3270800200276 
105.       99.        102.       42.21      0.04                  3270800200277 
105.       102.       105.       42.20      0.03                  3270800200278 
105.       105.       108.       41.92      0.02                  3270800200279 
105.       108.       111.       41.95      0.02                  3270800200280 
105.       111.       114.       42.48      0.02                  3270800200281 
105.       114.       117.       42.47      0.03                  3270800200282 
105.       117.       120.       42.73      0.03                  3270800200283 
105.       120.       123.       42.55      0.06                  3270800200284 
105.       123.       126.       42.73      0.12                  3270800200285 
106.       84.        87.        42.61      0.55                  3270800200286 
106.       87.        90.        42.34      0.21                  3270800200287 
106.       90.        93.        42.50      0.11                  3270800200288 
106.       93.        96.        42.31      0.06                  3270800200289 
106.       96.        99.        42.25      0.04                  3270800200290 
106.       99.        102.       42.44      0.03                  3270800200291 
106.       102.       105.       42.98      0.02                  3270800200292 
106.       105.       108.       42.85      0.02                  3270800200293 
106.       108.       111.       42.83      0.02                  3270800200294 
106.       111.       114.       42.15      0.02                  3270800200295 
106.       114.       117.       42.20      0.02                  3270800200296 
106.       117.       120.       42.54      0.03                  3270800200297 
106.       120.       123.       42.99      0.05                  3270800200298 
106.       123.       126.       43.38      0.10                  3270800200299 
106.       126.       129.       42.82      0.31                  3270800200300 
107.       84.        87.        42.96      0.54                  3270800200301 
107.       87.        90.        43.41      0.21                  3270800200302 
107.       90.        93.        43.37      0.13                  3270800200303 
107.       93.        96.        43.42      0.08                  3270800200304 
107.       96.        99.        43.45      0.05                  3270800200305 
107.       99.        102.       43.27      0.03                  3270800200306 
107.       102.       105.       43.48      0.02                  3270800200307 
107.       105.       108.       43.58      0.02                  3270800200308 
107.       108.       111.       43.12      0.02                  3270800200309 
107.       111.       114.       43.45      0.02                  3270800200310 
107.       114.       117.       43.42      0.02                  3270800200311 
107.       117.       120.       43.42      0.03                  3270800200312 
107.       120.       123.       43.29      0.05                  3270800200313 
107.       123.       126.       43.24      0.10                  3270800200314 
107.       126.       129.       43.18      0.27                  3270800200315 
108.       84.        87.        43.50      0.40                  3270800200316 
108.       87.        90.        43.49      0.21                  3270800200317 
108.       90.        93.        43.19      0.10                  3270800200318 
108.       93.        96.        43.55      0.07                  3270800200319 
108.       96.        99.        43.64      0.05                  3270800200320 
108.       99.        102.       43.42      0.03                  3270800200321 
108.       102.       105.       43.43      0.02                  3270800200322 
108.       105.       108.       43.52      0.02                  3270800200323 
108.       108.       111.       43.71      0.02                  3270800200324 
108.       111.       114.       43.66      0.02                  3270800200325 
108.       114.       117.       43.79      0.02                  3270800200326 
108.       117.       120.       44.15      0.03                  3270800200327 
108.       120.       123.       43.56      0.05                  3270800200328 
108.       123.       126.       44.09      0.09                  3270800200329 
108.       126.       129.       44.18      0.23                  3270800200330 
109.       84.        87.        43.25      0.62                  3270800200331 
109.       87.        90.        43.15      0.28                  3270800200332 
109.       90.        93.        43.52      0.14                  3270800200333 
109.       93.        96.        43.71      0.08                  3270800200334 
109.       96.        99.        43.79      0.05                  3270800200335 
109.       99.        102.       43.51      0.04                  3270800200336 
109.       102.       105.       43.51      0.02                  3270800200337 
109.       105.       108.       43.79      0.02                  3270800200338 
109.       108.       111.       43.80      0.03                  3270800200339 
109.       111.       114.       43.77      0.03                  3270800200340 
109.       114.       117.       44.17      0.02                  3270800200341 
109.       117.       120.       44.25      0.03                  3270800200342 
109.       120.       123.       44.50      0.03                  3270800200343 
109.       123.       126.       44.84      0.09                  3270800200344 
109.       126.       129.       44.94      0.18                  3270800200345 
110.       84.        87.        44.15      0.22                  3270800200346 
110.       87.        90.        44.42      0.22                  3270800200347 
110.       90.        93.        44.28      0.12                  3270800200348 
110.       93.        96.        44.46      0.07                  3270800200349 
110.       96.        99.        44.44      0.05                  3270800200350 
110.       99.        102.       44.46      0.03                  3270800200351 
110.       102.       105.       44.07      0.02                  3270800200352 
110.       105.       108.       44.27      0.02                  3270800200353 
110.       108.       111.       44.74      0.02                  3270800200354 
110.       111.       114.       44.29      0.02                  3270800200355 
110.       114.       117.       44.47      0.02                  3270800200356 
110.       117.       120.       44.63      0.03                  3270800200357 
110.       120.       123.       44.54      0.04                  3270800200358 
110.       123.       126.       44.94      0.09                  3270800200359 
110.       126.       129.       44.83      0.13                  3270800200360 
111.       84.        87.        44.07      0.51                  3270800200361 
111.       87.        90.        44.17      0.22                  3270800200362 
111.       90.        93.        44.44      0.12                  3270800200363 
111.       93.        96.        44.47      0.08                  3270800200364 
111.       96.        99.        44.55      0.04                  3270800200365 
111.       99.        102.       44.75      0.03                  3270800200366 
111.       102.       105.       44.32      0.02                  3270800200367 
111.       105.       108.       44.69      0.02                  3270800200368 
111.       108.       111.       44.97      0.02                  3270800200369 
111.       111.       114.       45.14      0.02                  3270800200370 
111.       114.       117.       44.87      0.02                  3270800200371 
111.       117.       120.       44.86      0.02                  3270800200372 
111.       120.       123.       45.02      0.04                  3270800200373 
111.       123.       126.       45.03      0.07                  3270800200374 
111.       126.       129.       45.09      0.18                  3270800200375 
112.       84.        87.        44.81      0.41                  3270800200376 
112.       87.        90.        44.65      0.37                  3270800200377 
112.       90.        93.        44.54      0.14                  3270800200378 
112.       93.        96.        45.34      0.08                  3270800200379 
112.       96.        99.        45.46      0.06                  3270800200380 
112.       99.        102.       45.16      0.04                  3270800200381 
112.       102.       105.       45.21      0.03                  3270800200382 
112.       105.       108.       44.89      0.02                  3270800200383 
112.       108.       111.       44.96      0.02                  3270800200384 
112.       111.       114.       45.22      0.02                  3270800200385 
112.       114.       117.       45.51      0.02                  3270800200386 
112.       117.       120.       45.24      0.02                  3270800200387 
112.       120.       123.       45.66      0.04                  3270800200388 
112.       123.       126.       45.36      0.07                  3270800200389 
112.       126.       129.       45.05      0.13                  3270800200390 
113.       84.        87.        44.89      0.49                  3270800200391 
113.       87.        90.        44.93      0.23                  3270800200392 
113.       90.        93.        44.81      0.14                  3270800200393 
113.       93.        96.        45.48      0.09                  3270800200394 
113.       96.        99.        45.60      0.06                  3270800200395 
113.       99.        102.       45.39      0.04                  3270800200396 
113.       102.       105.       44.84      0.03                  3270800200397 
113.       105.       108.       44.90      0.02                  3270800200398 
113.       108.       111.       45.40      0.02                  3270800200399 
113.       111.       114.       45.22      0.02                  3270800200400 
113.       114.       117.       45.15      0.02                  3270800200401 
113.       117.       120.       45.56      0.04                  3270800200402 
113.       120.       123.       45.43      0.04                  3270800200403 
113.       123.       126.       45.72      0.06                  3270800200404 
113.       126.       129.       45.68      0.13                  3270800200405 
114.       84.        87.        45.23      0.33                  3270800200406 
114.       87.        90.        45.34      0.23                  3270800200407 
114.       90.        93.        45.53      0.12                  3270800200408 
114.       93.        96.        45.70      0.08                  3270800200409 
114.       96.        99.        45.62      0.05                  3270800200410 
114.       99.        102.       45.77      0.04                  3270800200411 
114.       102.       105.       45.82      0.02                  3270800200412 
114.       105.       108.       45.88      0.02                  3270800200413 
114.       108.       111.       45.19      0.02                  3270800200414 
114.       111.       114.       45.35      0.02                  3270800200415 
114.       114.       117.       45.27      0.02                  3270800200416 
114.       117.       120.       45.56      0.02                  3270800200417 
114.       120.       123.       46.04      0.04                  3270800200418 
114.       123.       126.       45.75      0.09                  3270800200419 
114.       126.       129.       46.16      0.17                  3270800200420 
115.       84.        87.        45.34      0.50                  3270800200421 
115.       87.        90.        45.37      0.50                  3270800200422 
115.       90.        93.        45.52      0.31                  3270800200423 
115.       93.        96.        45.22      0.16                  3270800200424 
115.       96.        99.        45.73      0.06                  3270800200425 
115.       99.        102.       45.78      0.04                  3270800200426 
115.       102.       105.       45.83      0.03                  3270800200427 
115.       105.       108.       45.96      0.05                  3270800200428 
115.       108.       111.       46.15      0.02                  3270800200429 
115.       111.       114.       46.21      0.02                  3270800200430 
115.       114.       117.       46.91      0.02                  3270800200431 
115.       117.       120.       46.78      0.03                  3270800200432 
115.       120.       123.       46.63      0.04                  3270800200433 
115.       123.       126.       46.77      0.07                  3270800200434 
115.       126.       129.       46.78      0.13                  3270800200435 
116.       84.        87.        45.89      0.42                  3270800200436 
116.       87.        90.        46.04      0.23                  3270800200437 
116.       90.        93.        46.61      0.14                  3270800200438 
116.       93.        96.        46.50      0.08                  3270800200439 
116.       96.        99.        46.43      0.06                  3270800200440 
116.       99.        102.       46.41      0.04                  3270800200441 
116.       102.       105.       46.36      0.03                  3270800200442 
116.       105.       108.       46.16      0.02                  3270800200443 
116.       108.       111.       46.45      0.02                  3270800200444 
116.       111.       114.       46.32      0.02                  3270800200445 
116.       114.       117.       46.58      0.02                  3270800200446 
116.       117.       120.       46.56      0.02                  3270800200447 
116.       120.       123.       46.76      0.09                  3270800200448 
116.       123.       126.       46.40      0.07                  3270800200449 
116.       126.       129.       46.49      0.11                  3270800200450 
117.       84.        87.        46.15      0.41                  3270800200451 
117.       87.        90.        46.40      0.23                  3270800200452 
117.       90.        93.        46.48      0.17                  3270800200453 
117.       93.        96.        46.63      0.10                  3270800200454 
117.       96.        99.        46.66      0.07                  3270800200455 
117.       99.        102.       46.75      0.04                  3270800200456 
117.       102.       105.       46.81      0.03                  3270800200457 
117.       105.       108.       46.86      0.02                  3270800200458 
117.       108.       111.       46.96      0.02                  3270800200459 
117.       111.       114.       47.20      0.02                  3270800200460 
117.       114.       117.       47.44      0.02                  3270800200461 
117.       117.       120.       47.23      0.03                  3270800200462 
117.       120.       123.       46.92      0.04                  3270800200463 
117.       123.       126.       47.21      0.06                  3270800200464 
117.       126.       129.       47.13      0.10                  3270800200465 
118.       84.        87.        46.30      0.41                  3270800200466 
118.       87.        90.        46.31      0.31                  3270800200467 
118.       90.        93.        46.42      0.21                  3270800200468 
118.       93.        96.        46.61      0.12                  3270800200469 
118.       96.        99.        46.66      0.08                  3270800200470 
118.       99.        102.       46.76      0.05                  3270800200471 
118.       102.       105.       46.82      0.03                  3270800200472 
118.       105.       108.       46.88      0.03                  3270800200473 
118.       108.       111.       47.20      0.02                  3270800200474 
118.       111.       114.       47.15      0.02                  3270800200475 
