ENTRY            31608   20080410                             31273160800000001 
SUBENT        31608001   20080410                             31273160800100001 
BIB                 13         38                                 3160800100002 
TITLE      Neutron double differential cross sections of 238U,    3160800100003 
           209Bi and Fe at 10 MeV                                 3160800100004 
AUTHOR     (Qi Bujia,Tang Hongqing,Zhou Zuying,Zhou Chenwei,      3160800100005 
           Ke Zunjian,Sun Zhengqiang,Sheng Guanren,Xia Haihong)   3160800100006 
INSTITUTE  (3CPRAEP)                                              3160800100007 
REFERENCE  (J,CST,33,497,1999) on Chinese                         3160800100008 
FACILITY   (VDGT,3CPRAEP) The HI-13 Tandem Accelerator in China   3160800100009 
           Institute of Atomic Energy                             3160800100010 
METHOD     (TOF,PSD) From the measured raw spectra (gas in,       3160800100011 
           gas out, sample in, sample out), the net TOF spectra   3160800100012 
           are determined, including the propagation of           3160800100013 
           uncertainties.                                         3160800100014 
INC-SOURCE (D-D) Deuterium gas target had following parameters:   3160800100015 
           Length 30 mm, diam. 11 mm, on gold backing 0.5 mm.     3160800100016 
DETECTOR   (SCIN) Three main detectors ST-451(10.5 x 5.0 cm)      3160800100017 
           and one monitor ST-451 (10.5 x 5.0 cm) were used.      3160800100018 
           The measurement were repeated in abnormal and normal   3160800100019 
           geometry of spectrometer.                              3160800100020 
CORRECTION Monte-Carlo simulated TOF spectra of the complete      3160800100021 
           angular distribution were iteratively adjusted to      3160800100022 
           the measured TOF spectra. The simulation comprised     3160800100023 
           the neutron production in the gas target and the       3160800100024 
           scattering geometry between target, sample and         3160800100025 
           detectors.                                             3160800100026 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 3160800100027 
           (6-C-12(N,EL)6-C-12,,DA)                               3160800100028 
ERR-ANALYS (ERR-T) The uncertainties due to the statistical       3160800100029 
           uncertainty, the neutron detection efficiency,         3160800100030 
           the scattering angle, the normalization the correction 3160800100031 
           for  multiple scattering have been taken into          3160800100032 
           account, including their correlation.                  3160800100033 
           Main sources are in statistics, detection efficiency   3160800100034 
           and normalization.                                     3160800100035 
           (MONIT1-ERR) Uncertainty in n-p monitor cross section  3160800100036 
           (MONIT2-ERR) Uncertainty in n-C monitor cross section  3160800100037 
STATUS     (TABLE) Data were received from Dr. Xichao Ruan        3160800100038 
           (APRVD) Entry was approved by Dr. Xichao Ruan          3160800100039 
HISTORY    (20080327C) SD                                         3160800100040 
ENDBIB              38          0                                 3160800100041 
COMMON               3          3                                 3160800100042 
EN         MONIT1-ERR MONIT2-ERR                                  3160800100043 
MEV        PER-CENT   PER-CENT                                    3160800100044 
  10.0              2.         5.                                 3160800100045 
ENDCOMMON            3          0                                 3160800100046 
ENDSUBENT           45          0                                 3160800199999 
SUBENT        31608002   20080410                             31273160800200001 
BIB                  2          5                                 3160800200002 
REACTION   (92-U-238(N,X)0-NN-1,,DA/DE)                           3160800200003 
SAMPLE     238U (99.3% enriched)                                  3160800200004 
           Height=3.0 cm                                          3160800200005 
           Internal diameter=1.0 cm                               3160800200006 
           External diameter=3.0 cm                               3160800200007 
ENDBIB               5          0                                 3160800200008 
NOCOMMON             0          0                                 3160800200009 
DATA                 5        115                                 3160800200010 
ANG        E-MIN      E-MAX      DATA       ERR-T                 3160800200011 
        90.       6.25       6.65        9.1        0.8           3160800200071 
        90.       6.65       7.05        6.3        0.5           3160800200072 
        90.       7.05       7.45        5.6        0.5           3160800200073 
        90.       7.45       7.85        5.8        0.5           3160800200074 
        90.       7.85       8.25        5.7        0.5           3160800200075 
        90.       8.25       8.65        4.5        0.4           3160800200076 
        90.       8.65       9.05         5.        0.4           3160800200077 
        90.       9.05       9.45        4.6        0.4           3160800200078 
        90.       9.45       9.85        7.9        0.6           3160800200079 
        90.       9.85      10.25       50.1         4.           3160800200080 
        90.      10.25      10.65        7.1        0.6           3160800200081 
       110.       1.45       1.85      148.5       23.7           3160800200082 
       110.       1.85       2.25       65.9       10.2           3160800200083 
       110.       2.25       2.65       49.6        7.9           3160800200084 
       110.       2.65       3.05       35.1        4.9           3160800200085 
       110.       3.05       3.45       30.5        4.6           3160800200086 
       110.       3.45       3.85       25.8         4.           3160800200087 
       110.       3.85       4.25       21.1         2.           3160800200088 
       110.       4.25       4.65       21.6        1.8           3160800200089 
       110.       4.65       5.05       14.7        1.2           3160800200090 
       110.       5.05       5.45       13.9        1.3           3160800200091 
       110.       5.45       5.85       12.5         1.           3160800200092 
       110.       5.85       6.25        7.9        0.7           3160800200093 
       110.       6.25       6.65        6.1        0.5           3160800200094 
       110.       6.65       7.05        6.1        0.5           3160800200095 
       110.       7.05       7.45        5.5        0.5           3160800200096 
       110.       7.45       7.85        4.7        0.4           3160800200097 
       110.       7.85       8.25        3.3        0.4           3160800200098 
       110.       8.25       8.65        2.9        0.3           3160800200099 
       110.       8.65       9.05        4.2        0.4           3160800200100 
       110.       9.05       9.45        2.7        0.2           3160800200101 
       110.       9.45       9.85        7.6        0.6           3160800200102 
       110.       9.85      10.25       40.5        3.2           3160800200103 
       110.      10.25      10.65        4.7        0.4           3160800200104 
       120.       1.45       1.85      207.5       32.1           3160800200105 
       120.       1.85       2.25       79.9       12.3           3160800200106 
       120.       2.25       2.65       57.8         9.           3160800200107 
       120.       2.65       3.05       37.7        5.9           3160800200108 
       120.       3.05       3.45       32.1        4.2           3160800200109 
       120.       3.45       3.85       26.7        3.8           3160800200110 
       120.       3.85       4.25       23.2         2.           3160800200111 
       120.       4.25       4.65       32.1        2.4           3160800200112 
       120.       4.65       5.05       21.8        1.5           3160800200113 
       120.       5.05       5.45       17.5        1.5           3160800200114 
       120.       5.45       5.85       17.1        1.4           3160800200115 
       120.       5.85       6.25       11.4        0.9           3160800200116 
       120.       6.25       6.65       11.6        0.9           3160800200117 
       120.       6.65       7.05       13.9         1.           3160800200118 
       120.       7.05       7.45        5.2        0.4           3160800200119 
       120.       7.45       7.85        5.6        0.5           3160800200120 
       120.       7.85       8.25        3.5        0.3           3160800200121 
       120.       8.25       8.65        5.6        0.5           3160800200122 
       120.       8.65       9.05        5.1        0.4           3160800200123 
       120.       9.05       9.45        1.2        0.2           3160800200124 
       120.       9.45       9.85        5.3        0.4           3160800200125 
       120.       9.85      10.25       19.7        1.5           3160800200126 
       120.      10.25      10.65        1.3        0.3           3160800200127 
ENDDATA            117          0                                 3160800200128 
ENDSUBENT          127          0                                 3160800299999 
SUBENT        31608003   20080410                             31273160800300001 
BIB                  2          5                                 3160800300002 
REACTION   (83-BI-209(N,X)0-NN-1,,DA/DE)                          3160800300003 
SAMPLE     209Bi (100.0% enriched)                                3160800300004 
           Height=3.0 cm                                          3160800300005 
           Internal diameter=1.0 cm                               3160800300006 
           External diameter=3.0 cm                               3160800300007 
ENDBIB               5          0                                 3160800300008 
NOCOMMON             0          0                                 3160800300009 
DATA                 5        115                                 3160800300010 
ANG        E-MIN      E-MAX      DATA       ERR-T                 3160800300011 
ADEG       MEV        MEV        MB/SR/MEV  MB/SR/MEV             3160800300012 
        45.       1.45       1.85       131.       39.2           3160800300013 
        45.       1.85       2.25       68.2       12.1           3160800300014 
        45.       2.25       2.65       42.9        6.7           3160800300015 
        45.       2.65       3.05       36.4        5.4           3160800300016 
        45.       3.05       3.45       25.6        4.1           3160800300017 
        45.       3.45       3.85        20.        3.2           3160800300018 
        45.       3.85       4.25       18.9        1.7           3160800300019 
        45.       4.25       4.65       24.2        1.8           3160800300020 
        45.       4.65       5.05       16.5        1.4           3160800300021 
        45.       5.05       5.45       17.2        1.4           3160800300022 
        45.       5.45       5.85        17.        1.4           3160800300023 
        45.       5.85       6.25        9.2        0.8           3160800300024 
        45.       6.25       6.65        6.9        0.6           3160800300025 
        45.       6.65       7.05        2.7        0.3           3160800300026 
        45.       7.05       7.45         4.        0.3           3160800300027 
        45.       7.45       7.85        14.         1.           3160800300028 
        45.       7.85       8.25        2.4        0.3           3160800300029 
        45.       8.25       8.65        2.4        0.3           3160800300030 
        45.       8.65       9.05        0.9        0.4           3160800300031 
        45.       9.05       9.45        4.8        0.4           3160800300032 
        45.       9.45       9.85       28.5        2.1           3160800300033 
        45.       9.85      10.25      389.2       31.2           3160800300034 
        45.      10.25      10.65       62.8        4.8           3160800300035 
        70.       1.45       1.85      182.7        55.           3160800300036 
        70.       1.85       2.25       85.3       13.2           3160800300037 
        70.       2.25       2.65       49.5        7.5           3160800300038 
        70.       2.65       3.05       37.7        6.1           3160800300039 
        70.       3.05       3.45       30.3        4.7           3160800300040 
        70.       3.45       3.85       14.9        2.3           3160800300041 
        70.       3.85       4.25       10.7        1.2           3160800300042 
        70.       4.25       4.65        9.4        0.8           3160800300043 
        70.       4.65       5.05        8.2        0.7           3160800300044 
        70.       5.05       5.45        8.2        0.7           3160800300045 
        70.       5.45       5.85        7.7        0.6           3160800300046 
        70.       5.85       6.25        9.9        0.8           3160800300047 
        70.       6.25       6.65        3.7        0.3           3160800300048 
        70.       6.65       7.05        3.8        0.3           3160800300049 
        70.       7.05       7.45        3.1        0.3           3160800300050 
        70.       7.45       7.85        4.7        0.4           3160800300051 
        70.       7.85       8.25        1.6        0.2           3160800300052 
        70.       8.25       8.65        1.9        0.2           3160800300053 
        70.       8.65       9.05        0.1        0.1           3160800300054 
        70.       9.05       9.45        3.3        0.3           3160800300055 
        70.       9.45       9.85       12.6         1.           3160800300056 
        70.       9.85      10.25       151.       12.1           3160800300057 
        70.      10.25      10.65        42.        3.2           3160800300058 
        90.       1.45       1.85      113.4       33.2           3160800300059 
        90.       1.85       2.25       59.5         9.           3160800300060 
        90.       2.25       2.65       37.7        5.9           3160800300061 
        90.       2.65       3.05       35.7        4.9           3160800300062 
        90.       3.05       3.45       16.4        2.9           3160800300063 
        90.       3.45       3.85       15.5        2.2           3160800300064 
        90.       3.85       4.25       14.3        1.6           3160800300065 
        90.       4.25       4.65        11.         1.           3160800300066 
        90.       4.65       5.05        9.1        0.8           3160800300067 
        90.       5.05       5.45        7.5        0.7           3160800300068 
        90.       5.45       5.85        7.3        0.6           3160800300069 
        90.       5.85       6.25        7.1        0.6           3160800300070 
        90.       6.25       6.65        4.5        0.4           3160800300071 
        90.       6.65       7.05        5.6        0.4           3160800300072 
        90.       7.05       7.45        3.6        0.3           3160800300073 
        90.       7.45       7.85        6.2        0.5           3160800300074 
        90.       7.85       8.25        0.3        0.2           3160800300075 
        90.       8.25       8.65        3.6        0.3           3160800300076 
        90.       8.65       9.05        2.1        0.2           3160800300077 
        90.       9.05       9.45         1.        0.2           3160800300078 
        90.       9.45       9.85       21.5        1.6           3160800300079 
        90.       9.85      10.25       86.7        6.5           3160800300080 
        90.      10.25      10.65       17.8        1.2           3160800300081 
       110.       1.45       1.85      147.1       45.6           3160800300082 
       110.       1.85       2.25       42.8        8.5           3160800300083 
       110.       2.25       2.65       32.7        4.7           3160800300084 
       110.       2.65       3.05       24.4        3.8           3160800300085 
       110.       3.05       3.45       19.6        3.2           3160800300086 
       110.       3.45       3.85       14.2        1.8           3160800300087 
       110.       3.85       4.25       10.3        0.9           3160800300088 
       110.       4.25       4.65        9.2        0.8           3160800300089 
       110.       4.65       5.05        8.3        0.7           3160800300090 
       110.       5.05       5.45        7.2        0.6           3160800300091 
       110.       5.45       5.85        6.3        0.5           3160800300092 
       110.       5.85       6.25        4.8        0.5           3160800300093 
       110.       6.25       6.65         3.        0.4           3160800300094 
       110.       6.65       7.05        2.3        0.3           3160800300095 
       110.       7.05       7.45        8.1        0.7           3160800300096 
       110.       7.45       7.85        2.6        0.3           3160800300097 
       110.       7.85       8.25        1.4        0.2           3160800300098 
       110.       8.25       8.65        0.9        0.2           3160800300099 
       110.       8.65       9.05        0.1        0.1           3160800300100 
       110.       9.05       9.45        0.3        0.2           3160800300101 
       110.       9.45       9.85        8.5        0.7           3160800300102 
       110.       9.85      10.25       39.6        3.2           3160800300103 
       110.      10.25      10.65        1.7        1.2           3160800300104 
       120.       1.45       1.85      189.8       58.2           3160800300105 
       120.       1.85       2.25       61.7        9.8           3160800300106 
       120.       2.25       2.65       31.4        4.6           3160800300107 
       120.       2.65       3.05       21.1        3.2           3160800300108 
       120.       3.05       3.45       16.9        2.9           3160800300109 
       120.       3.45       3.85       12.1        1.5           3160800300110 
       120.       3.85       4.25        9.2        0.8           3160800300111 
       120.       4.25       4.65        7.2        0.6           3160800300112 
       120.       4.65       5.05        7.1        0.6           3160800300113 
       120.       5.05       5.45        6.7        0.6           3160800300114 
       120.       5.45       5.85        6.1        0.5           3160800300115 
       120.       5.85       6.25        5.8        0.5           3160800300116 
       120.       6.25       6.65        3.2        0.3           3160800300117 
       120.       6.65       7.05        0.8        0.3           3160800300118 
       120.       7.05       7.45        1.2        0.2           3160800300119 
       120.       7.45       7.85        0.9        0.3           3160800300120 
       120.       7.85       8.25        2.4        0.3           3160800300121 
       120.       8.25       8.65        0.5        0.2           3160800300122 
       120.       8.65       9.05        0.1        0.1           3160800300123 
       120.       9.05       9.45        0.7        0.3           3160800300124 
       120.       9.45       9.85        6.6        0.5           3160800300125 
       120.       9.85      10.25       42.2        3.2           3160800300126 
       120.      10.25      10.65        2.8        0.3           3160800300127 
ENDDATA            117          0                                 3160800300128 
ENDSUBENT          127          0                                 3160800399999 
SUBENT        31608004   20080410                             31273160800400001 
BIB                  2          5                                 3160800400002 
REACTION   (26-FE-0(N,X)0-NN-1,,DA/DE)                            3160800400003 
SAMPLE     Fe (Natural)                                           3160800400004 
           Height=4.0 cm                                          3160800400005 
           Internal diameter=1.0 cm                               3160800400006 
           External diameter=3.0 cm                               3160800400007 
ENDBIB               5          0                                 3160800400008 
NOCOMMON             0          0                                 3160800400009 
DATA                 5        184                                 3160800400010 
ANG        E-MIN      E-MAX      DATA       ERR-T                 3160800400011 
ADEG       MEV        MEV        MB/SR/MEV  MB/SR/MEV             3160800400012 
        30.       1.45       1.85       24.1        3.6           3160800400013 
        30.       1.85       2.25       24.3        3.6           3160800400014 
        30.       2.25       2.65       19.7         3.           3160800400015 
        30.       2.65       3.05       16.6        2.5           3160800400016 
        30.       3.05       3.45       13.8        2.1           3160800400017 
        30.       3.45       3.85        10.        1.6           3160800400018 
        30.       3.85       4.25        9.1        0.9           3160800400019 
        30.       4.25       4.65        8.7        0.9           3160800400020 
        30.       4.65       5.05         6.        0.5           3160800400021 
        30.       5.05       5.45        5.9        0.5           3160800400022 
        30.       5.45       5.85        5.7        0.5           3160800400023 
        30.       5.85       6.25        6.5        0.6           3160800400024 
        30.       6.25       6.65        8.2        0.7           3160800400025 
        30.       6.65       7.05       11.5        0.9           3160800400026 
        30.       7.05       7.45        7.7        0.6           3160800400027 
        30.       7.45       7.85        4.7        0.4           3160800400028 
        30.       7.85       8.25        7.3        0.6           3160800400029 
        30.       8.25       8.65        6.6        0.5           3160800400030 
        30.       8.65       9.05       14.6        1.1           3160800400031 
        30.       9.05       9.45       50.7         4.           3160800400032 
        30.       9.45       9.85       164.       11.1           3160800400033 
        30.       9.85      10.25       846.       51.2           3160800400034 
        30.      10.25      10.65        9.9        0.8           3160800400035 
        40.       1.45       1.85       26.6        3.9           3160800400036 
        40.       1.85       2.25        26.        3.9           3160800400037 
        40.       2.25       2.65       25.8        3.8           3160800400038 
        40.       2.65       3.05       21.6        3.2           3160800400039 
        40.       3.05       3.45       19.6         3.           3160800400040 
        40.       3.45       3.85       15.2        2.3           3160800400041 
        40.       3.85       4.25       11.6        1.6           3160800400042 
        40.       4.25       4.65       11.1        0.8           3160800400043 
        40.       4.65       5.05        8.9        0.7           3160800400044 
        40.       5.05       5.45        7.3        0.6           3160800400045 
        40.       5.45       5.85        5.9        0.5           3160800400046 
        40.       5.85       6.25        6.5        0.5           3160800400047 
        40.       6.25       6.65        6.7        0.5           3160800400048 
        40.       6.65       7.05        7.8        0.6           3160800400049 
        40.       7.05       7.45        6.7        0.5           3160800400050 
        40.       7.45       7.85         3.        0.3           3160800400051 
        40.       7.85       8.25        2.2        0.3           3160800400052 
        40.       8.25       8.65        2.8        0.3           3160800400053 
        40.       8.65       9.05        7.1        0.5           3160800400054 
        40.       9.05       9.45       24.1        1.6           3160800400055 
        40.       9.45       9.85       41.7         3.           3160800400056 
        40.       9.85      10.25       146.        9.8           3160800400057 
        40.      10.25      10.65       82.9         7.           3160800400058 
        60.       1.45       1.85       31.8         5.           3160800400059 
        60.       1.85       2.25       31.9        4.8           3160800400060 
        60.       2.25       2.65       25.1        3.9           3160800400061 
        60.       2.65       3.05       18.4        2.8           3160800400062 
        60.       3.05       3.45       14.5        2.2           3160800400063 
        60.       3.45       3.85       10.9        1.6           3160800400064 
        60.       3.85       4.25        9.2        1.5           3160800400065 
        60.       4.25       4.65         8.        0.7           3160800400066 
        60.       4.65       5.05        6.5        0.6           3160800400067 
        60.       5.05       5.45         6.        0.5           3160800400068 
        60.       5.45       5.85        4.8        0.4           3160800400069 
        60.       5.85       6.25        3.3        0.3           3160800400070 
        60.       6.25       6.65        3.3        0.3           3160800400071 
        60.       6.65       7.05        3.7        0.3           3160800400072 
        60.       7.05       7.45        2.1        0.3           3160800400073 
        60.       7.45       7.85        1.3        0.2           3160800400074 
        60.       7.85       8.25         1.        0.2           3160800400075 
        60.       8.25       8.65        0.8        0.2           3160800400076 
        60.       8.65       9.05        3.3        0.3           3160800400077 
        60.       9.05       9.45        6.3        0.5           3160800400078 
        60.       9.45       9.85         5.        0.4           3160800400079 
        60.       9.85      10.25        5.6        0.5           3160800400080 
        60.      10.25      10.65        2.4        0.2           3160800400081 
        70.       1.45       1.85       25.8        3.8           3160800400082 
        70.       1.85       2.25       30.7        4.6           3160800400083 
        70.       2.25       2.65        24.        3.6           3160800400084 
        70.       2.65       3.05       16.4        2.5           3160800400085 
        70.       3.05       3.45       12.1        1.9           3160800400086 
        70.       3.45       3.85       11.9        1.9           3160800400087 
        70.       3.85       4.25        7.5        0.8           3160800400088 
        70.       4.25       4.65        8.5        0.7           3160800400089 
        70.       4.65       5.05        5.5        0.5           3160800400090 
        70.       5.05       5.45        4.3        0.4           3160800400091 
        70.       5.45       5.85        4.5        0.4           3160800400092 
        70.       5.85       6.25        3.5        0.4           3160800400093 
        70.       6.25       6.65        4.4        0.4           3160800400094 
        70.       6.65       7.05        4.6        0.4           3160800400095 
        70.       7.05       7.45        2.2        0.3           3160800400096 
        70.       7.45       7.85        1.3        0.2           3160800400097 
        70.       7.85       8.25        1.2        0.2           3160800400098 
        70.       8.25       8.65        1.6        0.2           3160800400099 
        70.       8.65       9.05        4.4        0.4           3160800400100 
        70.       9.05       9.45       11.8        0.9           3160800400101 
        70.       9.45       9.85        7.3        0.5           3160800400102 
        70.       9.85      10.25       10.2        0.8           3160800400103 
        70.      10.25      10.65        1.6        0.2           3160800400104 
        80.       1.45       1.85       39.9         6.           3160800400105 
        80.       1.85       2.25       30.6        4.6           3160800400106 
        80.       2.25       2.65       24.8        3.8           3160800400107 
        80.       2.65       3.05       17.2        2.6           3160800400108 
        80.       3.05       3.45        16.        2.5           3160800400109 
        80.       3.45       3.85       10.2        1.6           3160800400110 
        80.       3.85       4.25        6.4        0.9           3160800400111 
        80.       4.25       4.65        7.1        0.6           3160800400112 
        80.       4.65       5.05        4.6        0.4           3160800400113 
        80.       5.05       5.45        3.7        0.4           3160800400114 
        80.       5.45       5.85         2.        0.3           3160800400115 
        80.       5.85       6.25        2.6        0.3           3160800400116 
        80.       6.25       6.65        2.7        0.3           3160800400117 
        80.       6.65       7.05        3.8        0.4           3160800400118 
        80.       7.05       7.45        2.4        0.3           3160800400119 
        80.       7.45       7.85        0.7        0.3           3160800400120 
        80.       7.85       8.25        0.1        0.1           3160800400121 
        80.       8.25       8.65         1.        0.3           3160800400122 
        80.       8.65       9.05        6.2        0.4           3160800400123 
        80.       9.05       9.45        8.4        0.6           3160800400124 
        80.       9.45       9.85       10.5        0.8           3160800400125 
        80.       9.85      10.25        6.2        0.5           3160800400126 
        80.      10.25      10.65        0.4        0.2           3160800400127 
       100.       1.45       1.85       37.6        5.9           3160800400128 
       100.       1.85       2.25       33.3        4.8           3160800400129 
       100.       2.25       2.65       24.2        3.7           3160800400130 
       100.       2.65       3.05       17.3        2.8           3160800400131 
       100.       3.05       3.45        16.        2.5           3160800400132 
       100.       3.45       3.85        11.        1.7           3160800400133 
       100.       3.85       4.25        8.4        0.9           3160800400134 
       100.       4.25       4.65        7.4        0.6           3160800400135 
       100.       4.65       5.05        5.7        0.5           3160800400136 
       100.       5.05       5.45        6.2        0.5           3160800400137 
       100.       5.45       5.85        5.2        0.4           3160800400138 
       100.       5.85       6.25        2.5        0.2           3160800400139 
       100.       6.25       6.65         4.        0.3           3160800400140 
       100.       6.65       7.05        2.3        0.2           3160800400141 
       100.       7.05       7.45        1.2        0.2           3160800400142 
       100.       7.45       7.85        0.8        0.2           3160800400143 
       100.       7.85       8.25        0.6        0.3           3160800400144 
       100.       8.25       8.65        2.3        0.3           3160800400145 
       100.       8.65       9.05        5.9        0.4           3160800400146 
       100.       9.05       9.45        8.2        0.6           3160800400147 
       100.       9.45       9.85       15.4         1.           3160800400148 
       100.       9.85      10.25        4.6        0.4           3160800400149 
       100.      10.25      10.65        0.1        0.1           3160800400150 
       110.       1.45       1.85       32.4        4.8           3160800400151 
       110.       1.85       2.25       25.1         4.           3160800400152 
       110.       2.25       2.65       17.7        2.8           3160800400153 
       110.       2.65       3.05       17.7        2.9           3160800400154 
       110.       3.05       3.45       12.9         2.           3160800400155 
       110.       3.45       3.85       10.3        1.6           3160800400156 
