ENTRY            P0130   20000815                             0000P013000000001 
SUBENT        P0130001   20000815                             0000P013000100001 
BIB                  9         12                                 P013000100002 
INSTITUTE  (1USAORL)                                              P013000100003 
    2.38     190.                                                 P013000200066 
    2.38     188.                                                 P013000200067 
    2.39     185.                                                 P013000200068 
    2.40     183.                                                 P013000200069 
    2.40     182.                                                 P013000200070 
    2.41     179.                                                 P013000200071 
    2.42     178.                                                 P013000200072 
    2.42     175.                                                 P013000200073 
    2.44     174.                                                 P013000200074 
    2.44     171.                                                 P013000200075 
    2.45     170.                                                 P013000200076 
    2.46     168.                                                 P013000200077 
    2.47     167.                                                 P013000200078 
    2.48     165.                                                 P013000200079 
    2.48     162.                                                 P013000200080 
    2.50     162.                                                 P013000200081 
    2.50     161.                                                 P013000200082 
    2.51     158.                                                 P013000200083 
    2.52     158.                                                 P013000200084 
    2.52     156.                                                 P013000200085 
    2.53     155.                                                 P013000200086 
    2.54     155.                                                 P013000200087 
    2.55     154.                                                 P013000200088 
    2.55     156.                                                 P013000200089 
    2.56     154.                                                 P013000200090 
    2.57     155.                                                 P013000200091 
    2.58     153.                                                 P013000200092 
    2.58     152.                                                 P013000200093 
    2.59     151.                                                 P013000200094 
    2.60     147.                                                 P013000200095 
    2.60     143.                                                 P013000200096 
    2.61     139.                                                 P013000200097 
    2.62     135.                                                 P013000200098 
    2.63     135.                                                 P013000200099 
    2.64     136.                                                 P013000200100 
    2.65     138.                                                 P013000200101 
    2.65     139.                                                 P013000200102 
    2.66     141.                                                 P013000200103 
    2.67     143.                                                 P013000200104 
    2.67     145.                                                 P013000200105 
    2.68     148.                                                 P013000200106 
    2.69     151.                                                 P013000200107 
    2.69     153.                                                 P013000200108 
    2.70     153.                                                 P013000200109 
    2.71     153.                                                 P013000200110 
    2.72     149.                                                 P013000200111 
    2.72     141.                                                 P013000200112 
    2.73     129.                                                 P013000200113 
    2.74     120.                                                 P013000200114 
    2.74     115.                                                 P013000200115 
    2.76     113.                                                 P013000200116 
    2.76     114.                                                 P013000200117 
    2.77     116.                                                 P013000200118 
    2.78     117.                                                 P013000200119 
    2.79     119.                                                 P013000200120 
    2.80     121.                                                 P013000200121 
    2.80     124.                                                 P013000200122 
    2.81     126.                                                 P013000200123 
    2.82     129.                                                 P013000200124 
    2.82     126.                                                 P013000200125 
    2.83     124.                                                 P013000200126 
    2.84     120.                                                 P013000200127 
    2.85     122.                                                 P013000200128 
    2.86     123.                                                 P013000200129 
    2.87     124.                                                 P013000200130 
    2.88     125.                                                 P013000200131 
    2.89     127.                                                 P013000200132 
    2.90     127.                                                 P013000200133 
    2.91     127.                                                 P013000200134 
    2.91     128.                                                 P013000200135 
    2.92     128.                                                 P013000200136 
    2.93     129.                                                 P013000200137 
    2.94     130.                                                 P013000200138 
    2.94     133.                                                 P013000200139 
    2.95     134.                                                 P013000200140 
    2.96     134.                                                 P013000200141 
    2.97     135.                                                 P013000200142 
    2.98     135.                                                 P013000200143 
    2.98     136.                                                 P013000200144 
    2.99     134.                                                 P013000200145 
    3.00     131.                                                 P013000200146 
    3.00     126.                                                 P013000200147 
    3.02     118.                                                 P013000200148 
    3.02     111.                                                 P013000200149 
    3.03     105.                                                 P013000200150 
    3.04     100.                                                 P013000200151 
    3.04      98.                                                 P013000200152 
    3.06      98.                                                 P013000200153 
    3.06      99.                                                 P013000200154 
    3.07     101.                                                 P013000200155 
    3.08     103.                                                 P013000200156 
    3.09     106.                                                 P013000200157 
    3.10     106.                                                 P013000200158 
    3.11     108.                                                 P013000200159 
    3.12     109.                                                 P013000200160 
    3.13     112.                                                 P013000200161 
    3.13     115.                                                 P013000200162 
    3.14     116.                                                 P013000200163 
    3.15     118.                                                 P013000200164 
    3.16     120.                                                 P013000200165 
    3.16     121.                                                 P013000200166 
    3.17     122.                                                 P013000200167 
    3.18     123.                                                 P013000200168 
    3.19     124.                                                 P013000200169 
    3.20     126.                                                 P013000200170 
    3.22     128.                                                 P013000200171 
    3.22     129.                                                 P013000200172 
    3.23     130.                                                 P013000200173 
    3.24     130.                                                 P013000200174 
    3.25     133.                                                 P013000200175 
    3.26     132.                                                 P013000200176 
    3.26     134.                                                 P013000200177 
    3.28     133.                                                 P013000200178 
    3.28     135.                                                 P013000200179 
    3.28     136.                                                 P013000200180 
    3.30     135.                                                 P013000200181 
    3.30     136.                                                 P013000200182 
    3.31     137.                                                 P013000200183 
    3.32     136.                                                 P013000200184 
    3.33     138.                                                 P013000200185 
    3.34     137.                                                 P013000200186 
    3.35     137.                                                 P013000200187 
    3.36     139.                                                 P013000200188 
    3.37     138.                                                 P013000200189 
    3.38     132.                                                 P013000200190 
    3.38     128.                                                 P013000200191 
    3.39     126.                                                 P013000200192 
    3.40     125.                                                 P013000200193 
    3.41     125.                                                 P013000200194 
    3.42     124.                                                 P013000200195 
    3.43     124.                                                 P013000200196 
    3.44     122.                                                 P013000200197 
    3.44     124.                                                 P013000200198 
    3.45     126.                                                 P013000200199 
    3.46     127.                                                 P013000200200 
    3.47     129.                                                 P013000200201 
    3.48     130.                                                 P013000200202 
    3.48     131.                                                 P013000200203 
    3.49     132.                                                 P013000200204 
    3.50     134.                                                 P013000200205 
    3.51     134.                                                 P013000200206 
    3.52     135.                                                 P013000200207 
    3.53     136.                                                 P013000200208 
    3.54     137.                                                 P013000200209 
    3.54     138.                                                 P013000200210 
    3.55     138.                                                 P013000200211 
    3.56     138.                                                 P013000200212 
    3.57     139.                                                 P013000200213 
    3.58     140.                                                 P013000200214 
    3.59     141.                                                 P013000200215 
    3.60     141.                                                 P013000200216 
    3.61     142.                                                 P013000200217 
    3.63     142.                                                 P013000200218 
    3.63     143.                                                 P013000200219 
    3.64     143.                                                 P013000200220 
    3.65     144.                                                 P013000200221 
    3.66     144.                                                 P013000200222 
    3.67     144.                                                 P013000200223 
    3.68     144.                                                 P013000200224 
    3.69     143.                                                 P013000200225 
    3.69     146.                                                 P013000200226 
    3.70     145.                                                 P013000200227 
    3.72     145.                                                 P013000200228 
    3.72     146.                                                 P013000200229 
    3.73     147.                                                 P013000200230 
    3.74     147.                                                 P013000200231 
    3.76     146.                                                 P013000200232 
    3.78     147.                                                 P013000200233 
    3.80     148.                                                 P013000200234 
    3.82     148.                                                 P013000200235 
    3.84     150.                                                 P013000200236 
    3.87     150.                                                 P013000200237 
    3.90     151.                                                 P013000200238 
    3.94     152.                                                 P013000200239 
    3.98     153.                                                 P013000200240 
    4.02     144.                                                 P013000200241 
    4.02     140.                                                 P013000200242 
    4.03     138.                                                 P013000200243 
    4.04     135.                                                 P013000200244 
    4.05     132.                                                 P013000200245 
    4.06     128.                                                 P013000200246 
    4.07     125.                                                 P013000200247 
    4.08     124.                                                 P013000200248 
    4.08     121.                                                 P013000200249 
    4.10     120.                                                 P013000200250 
    4.11     120.                                                 P013000200251 
    4.11     121.                                                 P013000200252 
    4.12     118.                                                 P013000200253 
    4.13     118.                                                 P013000200254 
    4.14     118.                                                 P013000200255 
    4.15     120.                                                 P013000200256 
    4.16     121.                                                 P013000200257 
    4.17     121.                                                 P013000200258 
    4.18     122.                                                 P013000200259 
    4.19     123.                                                 P013000200260 
    4.20     125.                                                 P013000200261 
    4.20     126.                                                 P013000200262 
    4.21     128.                                                 P013000200263 
    4.22     128.                                                 P013000200264 
    4.23     129.                                                 P013000200265 
    4.25     129.                                                 P013000200266 
    4.26     130.                                                 P013000200267 
    4.27     129.                                                 P013000200268 
    4.28     129.                                                 P013000200269 
    4.29     131.                                                 P013000200270 
    4.29     132.                                                 P013000200271 
    4.30     133.                                                 P013000200272 
    4.32     134.                                                 P013000200273 
    4.33     135.                                                 P013000200274 
    4.34     137.                                                 P013000200275 
    4.36     137.                                                 P013000200276 
    4.36     139.                                                 P013000200277 
    4.37     139.                                                 P013000200278 
    4.37     141.                                                 P013000200279 
    4.38     142.                                                 P013000200280 
    4.39     143.                                                 P013000200281 
    4.40     144.                                                 P013000200282 
    4.40     145.                                                 P013000200283 
    4.41     146.                                                 P013000200284 
    4.41     147.                                                 P013000200285 
    4.42     148.                                                 P013000200286 
    4.43     148.                                                 P013000200287 
    4.43     151.                                                 P013000200288 
    4.44     150.                                                 P013000200289 
    4.44     152.                                                 P013000200290 
    4.45     152.                                                 P013000200291 
    4.45     154.                                                 P013000200292 
    4.45     155.                                                 P013000200293 
    4.46     156.                                                 P013000200294 
    4.46     158.                                                 P013000200295 
    4.47     158.                                                 P013000200296 
    4.48     158.                                                 P013000200297 
    4.48     160.                                                 P013000200298 
    4.49     163.                                                 P013000200299 
    4.50     162.                                                 P013000200300 
ENDDATA            293          0                                 P013000200301 
ENDSUBENT          300          0                                 P013000299999 
ENDENTRY             2          0                                 P013099999999 
