ENTRY            A1354   20240924                             A119A1354000    1 
SUBENT        A1354001   20240924                             A119A1354001    1 
BIB                  8         12                                 A1354001    2 
TITLE      Charge symmetry in the mirror reactions 6Li(d,p)7Li    A1354001    3 
           and 6Li(d,n)7Be                                        A1354001    4 
AUTHOR     (M.Birk,G.Goldring,P.Hillman,R.Moreh)                  A1354001    5 
REFERENCE  (J,NP,41,58,1963)                                      A1354001    6 
INSTITUTE  (3ISLWZI)                                              A1354001    7 
FACILITY   (VDG,3ISLWZI)                                          A1354001    8 
SAMPLE     Layer 6Li about 100 ug/cm2 thick covered with a        A1354001    9 
           very thin layer of evaporated gold.                    A1354001   10 
METHOD     (PHD)                                                  A1354001   11 
HISTORY    (19800710C) Compilation produced by Arzamas RFNC-VNIIEFA1354001   12 
           (19990317U)CNPD: corrected 4-dig. year and lower cases.A1354001   13 
           (20240924A) SD: Corrections in all Subents.            A1354001   14 
ENDBIB              12          0                                 A1354001   15 
NOCOMMON             0          0                                 A1354001   16 
ENDSUBENT           15          0                                 A135400199999 
SUBENT        A1354002   20240924                             A119A1354002    1 
BIB                  5          8                                 A1354002    2 
REACTION   (3-LI-6(D,P)3-LI-7,PAR,DA,,REL)                        A1354002    3 
            No explanation of relative units is given.            A1354002    4 
DETECTOR   (SOLST) RCA 20 mm2 solid state detector collimated to  A1354002    5 
           5 mm2.                                                 A1354002    6 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A1354002    7 
STATUS     (CURVE,,M.Birk+,J,NP,41,58,1963) Fig 4                 A1354002    8 
HISTORY    (20240924A) SD: SF9=EXP deleted from REACTION code.    A1354002    9 
           ANG-ERR -> ANG-ERR-D.                                  A1354002   10 
ENDBIB               8          0                                 A1354002   11 
COMMON               1          3                                 A1354002   12 
ANG-ERR-D                                                         A1354002   13 
ADEG                                                              A1354002   14 
 1.0                                                              A1354002   15 
ENDCOMMON            3          0                                 A1354002   16 
DATA                 5        128                                 A1354002   17 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              A1354002   18 
        2.9         0.       65.3  6.383E+03  3.935E+02           A1354002  135 
        2.9         0.       85.7  5.714E+03  7.870E+01           A1354002  136 
        2.9         0.      111.0  7.324E+03  7.870E+01           A1354002  137 
        2.9         0.      130.5  7.841E+03  7.870E+01           A1354002  138 
        2.9         0.      149.1  7.809E+03  3.948E+02           A1354002  139 
        2.9       0.48        2.8  6.241E+03  2.322E+02           A1354002  140 
        2.9       0.48       22.5  1.361E+04  3.101E+02           A1354002  141 
        2.9       0.48       43.5  1.401E+04  3.101E+02           A1354002  142 
        2.9       0.48       66.0  6.811E+03  3.101E+02           A1354002  143 
        2.9       0.48       85.7  4.960E+03  3.876E+02           A1354002  144 
        2.9       0.48      111.5  4.428E+03  5.426E+02           A1354002  145 
        2.9       0.48      130.1  4.436E+03  7.750E+01           A1354002  146 
        2.9       0.48      149.1  3.514E+03  6.198E+02           A1354002  147 
ENDDATA            130          0                                 A1354002  148 
ENDSUBENT          147          0                                 A135400299999 
SUBENT        A1354003   20240924                             A119A1354003    1 
BIB                  5         10                                 A1354003    2 
REACTION   (3-LI-6(D,N)4-BE-7,PAR,DA,,REL)                        A1354003    3 
            No explanation of relative units is given.            A1354003    4 
DETECTOR   (SOLST) Solid state detector of 7 mm2 area was placed  A1354003    5 
           some 2 cm from the scattering chamber and a 4 mm       A1354003    6 
           diameter radiator of 3 mg/cm2 thickness polyethylene   A1354003    7 
           interposed at the wall of the scattering chamber.      A1354003    8 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A1354003    9 
STATUS     (CURVE,,M.Birk+,J,NP,41,58,1963) Fig 4                 A1354003   10 
HISTORY    (20240924A) SD: SF9=EXP deleted from REACTION code.    A1354003   11 
           ANG-ERR -> ANG-ERR-D.                                  A1354003   12 
ENDBIB              10          0                                 A1354003   13 
COMMON               1          3                                 A1354003   14 
ANG-ERR-D                                                         A1354003   15 
ADEG                                                              A1354003   16 
  1.0                                                             A1354003   17 
ENDCOMMON            3          0                                 A1354003   18 
DATA                 5        120                                 A1354003   19 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              A1354003   20 
MEV        MEV        ADEG       ARB-UNITS  ARB-UNITS             A1354003   21 
       0.56         0.       24.1  2.346E+02  7.039E-01           A1354003   22 
       0.56         0.       92.2  1.567E+02  7.039E-01           A1354003   23 
       0.56         0.      145.0  9.776E+01  7.039E-01           A1354003   24 
       0.56       0.43       24.0  5.465E+01  7.116E-01           A1354003   25 
       0.56       0.43       92.2  4.688E+01  7.116E-01           A1354003   26 
       0.56       0.43      145.1  3.254E+01  7.116E-01           A1354003   27 
       0.97         0.        3.0  8.195E+02  2.829E+00           A1354003   28 
       0.97         0.       23.8  5.115E+02  2.829E+00           A1354003   29 
       0.97         0.       48.6  5.600E+02  2.829E+00           A1354003   30 
       0.97         0.       62.9  5.489E+02  2.829E+00           A1354003   31 
       0.97         0.       93.9  5.919E+02  2.829E+00           A1354003   32 
       0.97         0.      117.0  6.064E+02  2.829E+00           A1354003   33 
       0.97         0.      148.9  4.712E+02  2.829E+00           A1354003   34 
       0.97       0.43        3.4  3.964E+02  2.817E+00           A1354003   35 
       0.97       0.43       24.0  5.864E+02  2.817E+00           A1354003   36 
       0.97       0.43       48.3  3.538E+02  2.817E+00           A1354003   37 
       0.97       0.43       63.0  2.955E+02  2.817E+00           A1354003   38 
       0.97       0.43       94.2  1.733E+02  2.817E+00           A1354003   39 
       0.97       0.43      117.5  1.179E+02  2.817E+00           A1354003   40 
       0.97       0.43      149.3  1.197E+02  2.817E+00           A1354003   41 
       1.38         0.        2.9  1.115E+03  3.275E+00           A1354003   42 
       1.38         0.       24.1  1.105E+03  3.275E+00           A1354003   43 
       1.38         0.       47.8  5.778E+02  3.275E+00           A1354003   44 
       1.38         0.       63.0  4.764E+02  3.275E+00           A1354003   45 
       1.38         0.       94.3  4.771E+02  3.275E+00           A1354003   46 
       1.38         0.      117.2  7.102E+02  3.275E+00           A1354003   47 
       1.38         0.      149.3  7.108E+02  3.275E+00           A1354003   48 
       1.38       0.43        3.0  3.832E+02  3.277E+00           A1354003   49 
       1.38       0.43       23.6  6.731E+02  3.277E+00           A1354003   50 
       1.38       0.43       48.4  6.745E+02  3.277E+00           A1354003   51 
       1.38       0.43       63.3  3.868E+02  3.277E+00           A1354003   52 
       1.38       0.43       95.2  3.263E+02  3.277E+00           A1354003   53 
       1.38       0.43      117.5  2.226E+02  3.277E+00           A1354003   54 
       1.38       0.43      149.0  1.818E+02  3.277E+00           A1354003   55 
       1.77         0.        2.6  7.827E+02  3.406E+00           A1354003   56 
       1.77         0.       24.0  7.560E+02  3.406E+00           A1354003   57 
       1.77         0.       48.1  8.485E+02  3.406E+00           A1354003   58 
       1.77         0.       63.2  4.704E+02  3.406E+00           A1354003   59 
       1.77         0.       94.7  5.631E+02  3.406E+00           A1354003   60 
       1.77         0.      117.0  5.908E+02  3.406E+00           A1354003   61 
       1.77         0.      149.0  7.960E+02  3.406E+00           A1354003   62 
       1.77       0.43        2.8  3.391E+02  3.406E+00           A1354003   63 
       1.77       0.43       24.2  6.818E+02  3.406E+00           A1354003   64 
       1.77       0.43       48.1  5.774E+02  3.406E+00           A1354003   65 
       1.77       0.43       63.4  4.284E+02  3.406E+00           A1354003   66 
       1.77       0.43       94.7  3.449E+02  3.406E+00           A1354003   67 
       1.77       0.43      117.0  3.768E+02  3.406E+00           A1354003   68 
       1.77       0.43      149.3  2.150E+02  3.406E+00           A1354003   69 
         2.         0.        2.4  2.439E+00  1.530E-02           A1354003   70 
         2.         0.       10.0  2.945E+00  1.530E-02           A1354003   71 
         2.         0.       20.9  4.232E+00  1.530E-02           A1354003   72 
         2.         0.       32.4  4.707E+00  1.837E-01           A1354003   73 
         2.         0.       52.2  2.995E+00  1.530E-02           A1354003   74 
         2.         0.       64.8  1.955E+00  1.530E-02           A1354003   75 
         2.         0.       76.5  1.542E+00  1.530E-02           A1354003   76 
         2.         0.       85.9  1.467E+00  1.530E-02           A1354003   77 
         2.         0.       96.0  1.406E+00  1.225E-01           A1354003   78 
         2.         0.      107.5  2.081E+00  1.530E-02           A1354003   79 
         2.         0.      116.7  2.342E+00  1.530E-02           A1354003   80 
         2.         0.      124.0  2.633E+00  1.530E-02           A1354003   81 
         2.         0.      132.2  2.772E+00  1.530E-02           A1354003   82 
         2.         0.      142.3  2.773E+00  1.839E-01           A1354003   83 
         2.         0.      157.0  2.820E+00  1.530E-02           A1354003   84 
         2.       0.43        2.4  1.782E+00  1.560E-02           A1354003   85 
         2.       0.43        9.7  2.019E+00  1.560E-02           A1354003   86 
         2.       0.43       21.0  3.350E+00  1.560E-02           A1354003   87 
         2.       0.43       32.9  4.088E+00  2.032E-01           A1354003   88 
         2.       0.43       42.6  3.669E+00  1.560E-02           A1354003   89 
         2.       0.43       52.8  2.905E+00  1.560E-02           A1354003   90 
         2.       0.43       63.5  1.861E+00  1.560E-02           A1354003   91 
         2.       0.43       75.7  1.473E+00  1.560E-02           A1354003   92 
         2.       0.43       85.3  1.179E+00  1.560E-02           A1354003   93 
         2.       0.43       95.4  1.041E+00  6.230E-02           A1354003   94 
         2.       0.43      107.9  1.232E+00  1.560E-02           A1354003   95 
         2.       0.43      117.0  1.172E+00  1.560E-02           A1354003   96 
         2.       0.43      124.2  1.236E+00  1.560E-02           A1354003   97 
         2.       0.43      133.4  1.238E+00  1.560E-02           A1354003   98 
         2.       0.43      142.8  1.069E+00  6.250E-02           A1354003   99 
         2.       0.43      157.0  7.680E-01  6.250E-02           A1354003  100 
       2.28         0.        1.4  2.392E+02  2.209E+00           A1354003  101 
       2.28         0.       24.7  5.578E+02  2.209E+00           A1354003  102 
       2.28         0.       46.8  2.951E+02  2.209E+00           A1354003  103 
       2.28         0.       65.3  2.423E+02  2.209E+00           A1354003  104 
       2.28         0.       96.2  2.692E+02  2.209E+00           A1354003  105 
       2.28         0.      116.0  2.694E+02  2.209E+00           A1354003  106 
       2.28         0.      148.6  3.936E+02  2.209E+00           A1354003  107 
       2.28       0.43        1.1  1.261E+02  2.173E+00           A1354003  108 
       2.28       0.43       24.7  5.578E+02  2.209E+00           A1354003  109 
       2.28       0.43       46.8  2.844E+02  2.173E+00           A1354003  110 
       2.28       0.43       65.1  2.676E+02  2.173E+00           A1354003  111 
       2.28       0.43       96.2  1.753E+02  2.173E+00           A1354003  112 
       2.28       0.43      116.2  2.107E+02  2.173E+00           A1354003  113 
       2.28       0.43      149.1  1.076E+02  2.173E+00           A1354003  114 
       2.58         0.        2.6  4.016E+02  4.032E+00           A1354003  115 
       2.58         0.       25.1  1.241E+03  4.032E+00           A1354003  116 
       2.58         0.       48.2  6.286E+02  4.032E+00           A1354003  117 
       2.58         0.       95.9  5.167E+02  4.032E+00           A1354003  118 
       2.58         0.      117.6  5.696E+02  4.032E+00           A1354003  119 
       2.58         0.      149.2  7.598E+02  4.032E+00           A1354003  120 
       2.58       0.43        2.0  2.535E+02  4.097E+00           A1354003  121 
       2.58       0.43       25.9  1.239E+03  4.097E+00           A1354003  122 
       2.58       0.43       48.4  6.176E+02  4.097E+00           A1354003  123 
       2.58       0.43       64.9  4.096E+02  4.097E+00           A1354003  124 
       2.58       0.43       96.0  3.584E+02  4.097E+00           A1354003  125 
       2.58       0.43      116.9  3.270E+02  4.097E+00           A1354003  126 
       2.58       0.43      149.0  2.840E+02  4.097E+00           A1354003  127 
        2.9         0.        2.1  5.444E+02  7.861E+01           A1354003  128 
        2.9         0.       25.2  1.706E+03  7.213E+01           A1354003  129 
        2.9         0.       48.4  8.150E+02  5.246E+01           A1354003  130 
        2.9         0.       65.1  4.484E+02  4.590E+01           A1354003  131 
        2.9         0.       95.1  5.741E+02  5.902E+01           A1354003  132 
        2.9         0.      116.8  8.436E+02  9.836E+01           A1354003  133 
        2.9         0.      150.0  6.809E+02  1.048E+02           A1354003  134 
        2.9       0.43        2.8  7.002E+02  8.676E+01           A1354003  135 
        2.9       0.43       25.7  1.483E+03  1.000E+02           A1354003  136 
