ENTRY            A1183   19990319                             0000A118300000001 
SUBENT        A1183001   19990319                             0000A118300100001 
BIB                  8         11                                 A118300100002 
INSTITUTE  (2SWTETH)                                              A118300100003 
REFERENCE  (J,NP/A,324,(1),99,197907)                             A118300100004 
AUTHOR     (B.JENNY,W.GRUEBLER,V.KONIG,P.A.SCHMELZBACH,R.RISLER,  A118300100005 
           H.R.BURGI,D.O.BOERMA)                                  A118300100006 
TITLE      Analyzing power and cross-section measurements for     A118300100007 
           3He(d,d)3He scattering                                 A118300100008 
FACILITY   (VDGT)                                                 A118300100009 
SAMPLE     3He gas target (purity 99.9%)                          A118300100010 
DETECTOR   (SOLST) SILICON SURFACE-BARRIER                        A118300100011 
HISTORY    (19830818C) Compilation produced by Arzamas RFNC-VNIIEFA118300100012 
           (19990220U)CNPD: corrected 4-dig. year and lower cases.A118300100013 
ENDBIB              11          0                                 A118300100014 
NOCOMMON             0          0                                 A118300100015 
ENDSUBENT           14          0                                 A118300199999 
SUBENT        A1183002   19990319                             0000A118300200001 
BIB                  4          8                                 A118300200002 
REACTION   (2-HE-3(D,EL)2-HE-3,,DA,,,EXP)                         A118300200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A118300200004 
           (DATA-ERR) Digitizing error                            A118300200005 
           (DATA-ERR1) Absolute error above 5 MeV                 A118300200006 
           (DATA-ERR2) Absolute error later 5 MeV                 A118300200007 
FLAG       (1.) REACTION (2-HE-3(D,EL)2-HE-3,,DA,D,EXP)           A118300200008 
           (2.) REACTION (2-HE-3(D,EL)2-HE-3,,DA,HE3,EXP)         A118300200009 
STATUS     (CURVE) fig 1                                          A118300200010 
ENDBIB               8          0                                 A118300200011 
COMMON               3          3                                 A118300200012 
ANG-ERR    DATA-ERR1  DATA-ERR2                                   A118300200013 
ADEG       PER-CENT   PER-CENT                                    A118300200014 
  1.         3.         7.                                        A118300200015 
ENDCOMMON            3          0                                 A118300200016 
DATA                 5        376                                 A118300200017 
EN         ANG-CM     DATA-CM    DATA-ERR   FLAG                  A118300200018 
     6.        41.83     155.7        4.213      2.               A118300200140 
     6.        46.34     125.6        3.399      2.               A118300200141 
     6.        49.67      91.25       2.469      2.               A118300200142 
     6.        53.01      69.89       1.891      2.               A118300200143 
     6.        57.47      48.13       1.302      2.               A118300200144 
     6.        62.02      43.15       1.168      2.               A118300200145 
     6.        66.54      34.81       0.942      2.               A118300200146 
     6.        70.02      38.58       1.044      2.               A118300200147 
     6.        72.38      45.11       1.221      2.               A118300200148 
     6.        78.18      52.61       1.424      2.               A118300200149 
     6.        80.5       55.36       1.498      2.               A118300200150 
     6.        85.15      64.61       1.749      2.               A118300200151 
     6.        89.77      67.87       1.837      2.               A118300200152 
     6.        93.21      67.68       1.832      2.               A118300200153 
     6.        95.51      67.56       1.828      2.               A118300200154 
     6.       100.1       67.31       1.821      2.               A118300200155 
     6.       102.4       63.73       1.725      2.               A118300200156 
     6.       105.8       57.19       1.548      2.               A118300200157 
     6.       109.2       51.32       1.389      2.               A118300200158 
     6.       112.6       46.05       1.246      2.               A118300200159 
     6.       114.8       39.24       1.062      2.               A118300200160 
     6.       118.3       37.12       1.005      2.               A118300200161 
     6.       120.5       35.14       0.9511     1.               A118300200162 
     6.       125.2       41.02       1.11       2.               A118300200163 
     6.       126.4       43.21       1.169      1.               A118300200164 
     6.       127.6       47.97       1.298      2.               A118300200165 
     6.       129.9       53.21       1.44       2.               A118300200166 
     6.       131.1       62.28       1.686      1.               A118300200167 
     6.       132.3       69.15       1.872      2.               A118300200168 
     6.       135.8       76.64       2.074      2.               A118300200169 
     6.       135.9       99.79       2.701      1.               A118300200170 
     6.       142.9      159.6        4.318      1.               A118300200171 
     6.       146.5      230.3        6.231      1.               A118300200172 
     6.       151.2      314.9        8.521      1.               A118300200173 
     6.       155.9      387.4       10.48       1.               A118300200174 
     6.       161.7      476.3      112.5        1.               A118300200175 
     6.       166.4      556.       168.6        1.               A118300200176 
     7.        13.65    2598.       126.3        2.               A118300200177 
     7.        17.82     887.3       43.14       2.               A118300200178 
