ENTRY            A0712   20240918                             A118A0712000    1 
SUBENT        A0712001   20240918                             A118A0712001    1 
BIB                 13         33                                 A0712001    2 
TITLE      Elastic scattering and fusion of 9Be+208Pb:  density   A0712001    3 
           function dependence of the double folding              A0712001    4 
           renormalization                                        A0712001    5 
AUTHOR     (R.J.Woolliscroft, B.R.Fulton, R.L.Cowin, M.Dasgupta,  A0712001    6 
           D.J.Hinde, C.R.Morton, A.C.Berriman)                   A0712001    7 
REFERENCE  (J,PR/C,69,044612,2004)                                A0712001    8 
INSTITUTE  (2UK BIR,3AULCBR,2UK YRK)                              A0712001    9 
FACILITY   (VDGT,3AULCBR) the 14UD Pelletron.                     A0712001   10 
SAMPLE     180 mug/cm2 208-Pb-Cl2 on a 15 mug/cm2 natural carbon  A0712001   11 
           backing.                                               A0712001   12 
MONITOR    (82-PB-208(4-BE-9,EL)82-PB-208,,DA,,RTH)               A0712001   13 
           To provide an absolute normalization for the scatteringA0712001   14 
           yield, two monitor detectors were used. These were     A0712001   15 
           silicon surface barrier detectors, positioned at       A0712001   16 
           ~15 deg. to the beam.                                  A0712001   17 
DETECTOR   (TELES,SIBAR) Three silicon position sensitive         A0712001   18 
           detector dE-E telescopes were employed. The passing    A0712001   19 
            dE detectors were 69 um thick, and the stopping       A0712001   20 
           E-detectors were 500 um thick.                         A0712001   21 
METHOD     (SITA,EXTB,EDE)                                        A0712001   22 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty. A0712001   23 
ADD-RES    (POT) optical model parameters were deduced at some    A0712001   24 
           density model of 9-Be.                                 A0712001   25 
           Fusion cross section was calculated too.               A0712001   26 
STATUS     (TABLE,,R.J.Woolliscroft+,J,PR/C,69,044612,2004) Data  A0712001   27 
           tables in supplied material: E-PRVCAN-69-055404.       A0712001   28 
HISTORY    (20041130C) by F.Ch                                    A0712001   29 
           (20041125R)                                            A0712001   30 
           (20090921A) BIB section updated. Correction was done,  A0712001   31 
           according V.Zerkin remarks-missing pointer near        A0712001   32 
           DATA-Header and other new Exfor rules.                 A0712001   33 
           (20240918A) SD: SF8=RTH added to MONITOR reaction code.A0712001   34 
           BIB updated. Correction in Subent 002.                 A0712001   35 
ENDBIB              33          0                                 A0712001   36 
NOCOMMON             0          0                                 A0712001   37 
ENDSUBENT           36          0                                 A071200199999 
SUBENT        A0712002   20240918                             A118A0712002    1 
BIB                  2          3                                 A0712002    2 
REACTION  E(82-PB-208(4-BE-9,EL)82-PB-208,,DA)                    A0712002    3 
          R(82-PB-208(4-BE-9,EL)82-PB-208,,DA,,RTH)               A0712002    4 
HISTORY    (20240918A) SD: DATA-ERR pointer was changed (R -> E). A0712002    5 
ENDBIB               3          0                                 A0712002    6 
NOCOMMON             0          0                                 A0712002    7 
DATA                 5        578                                 A0712002    8 
EN         ANG-CM     DATA-CM   EDATA-ERR  EDATA      R           A0712002    9 
MEV        ADEG       MB/SR      PER-CENT   NO-DIM                A0712002   10 
        38.     138.06     114.14        0.9    0.82586           A0712002   62 
        38.     139.31     109.17        0.9    0.80303           A0712002   63 
        38.     140.57     104.35         1.    0.77995           A0712002   64 
        38.     141.82     104.82         1.    0.79557           A0712002   65 
        38.     143.07     101.96         1.    0.78549           A0712002   66 
        38.     144.32     93.927         1.    0.73399           A0712002   67 
        38.     145.57     96.199         1.    0.76214           A0712002   68 
        38.     146.42     89.746         1.    0.71756           A0712002   69 
        38.     146.81      89.68        1.1    0.71993           A0712002   70 
        38.     147.73      90.53         1.    0.73361           A0712002   71 
        38.     148.06     82.466        1.1    0.67053           A0712002   72 
        38.     148.97     87.414         1.    0.71713           A0712002   73 
        38.     150.22      82.04         1.    0.68108           A0712002   74 
        38.     151.46     84.713         1.    0.71125           A0712002   75 
        38.     152.71     80.913         1.    0.68675           A0712002   76 
        38.     153.95     77.304        1.1    0.66289           A0712002   77 
        38.     155.19     80.018        1.1    0.69289           A0712002   78 
        38.     156.43     73.498        1.1    0.64236           A0712002   79 
        38.     157.68     69.093        1.1    0.60923           A0712002   80 
        38.     160.85     67.838        0.9    0.61038           A0712002   81 
        38.     162.14     71.324        0.9    0.64649           A0712002   82 
        38.     163.38     68.079        0.9    0.62113           A0712002   83 
        38.     164.63     65.666        0.9    0.60279           A0712002   84 
        38.     165.86     67.209        0.9    0.62041           A0712002   85 
        38.     167.11     67.397        0.9    0.62535           A0712002   86 
        38.     168.34     62.811         1.    0.58551           A0712002   87 
        38.     169.58     64.418         1.      0.603           A0712002   88 
        38.     170.81     62.529         1.    0.58749           A0712002   89 
        38.     172.06     59.693         1.    0.56267           A0712002   90 
        40.      64.83     1153.8        0.5     1.0046           A0712002   91 
        40.      66.21     1079.6        0.5     1.0129           A0712002   92 
        40.       67.5     1014.4        0.5     1.0193           A0712002   93 
        40.      68.85     932.32        0.6     1.0044           A0712002   94 
        40.       70.2     875.05        0.6     1.0088           A0712002   95 
        40.       71.5     827.43        0.6     1.0165           A0712002   96 
        40.      72.84     763.63        0.7     1.0005           A0712002   97 
        40.      74.16     727.13        0.7     1.0132           A0712002   98 
        40.       77.4     614.78        0.6    0.99072           A0712002   99 
        40.      78.66     587.78        0.6     1.0002           A0712002  100 
        40.      80.05     554.42        0.6     1.0002           A0712002  101 
        40.      81.41     521.62        0.6    0.99516           A0712002  102 
        40.       82.7     493.16        0.7    0.99063           A0712002  103 
        40.      84.03     468.41        0.7    0.99144           A0712002  104 
        40.      85.36     446.31        0.7     0.9941           A0712002  105 
        40.      86.65     425.19        0.8    0.99362           A0712002  106 
        40.      87.98     399.26        0.8    0.97953           A0712002  107 
        40.      89.28     383.37        0.8    0.98545           A0712002  108 
        40.      92.48     348.66        0.9     1.0006           A0712002  109 
        40.      93.73     338.87        0.9     1.0135           A0712002  110 
        40.      95.11     321.04         1.     1.0037           A0712002  111 
        40.      96.45     305.66         1.    0.99713           A0712002  112 
        40.      97.72     292.91         1.     0.9937           A0712002  113 
        40.      99.04     278.65         1.    0.98364           A0712002  114 
        40.     100.36     268.37        1.1    0.98483           A0712002  115 
        40.     108.58     192.84        0.8    0.88406           A0712002  116 
        40.     110.02      184.8        0.8    0.87779           A0712002  117 
        40.      111.3     175.52        0.8    0.85992           A0712002  118 
        40.     112.53     167.37        0.8    0.84416           A0712002  119 
        40.     113.81     158.41        0.9    0.82289           A0712002  120 
        40.     115.09     152.39        0.9     0.8147           A0712002  121 
        40.     116.37     144.86        0.9    0.79645           A0712002  122 
        40.     117.64     136.19        0.9    0.76948           A0712002  123 
        40.     118.97     126.45         1.    0.73449           A0712002  124 
        40.     122.15     107.28        0.8     0.6639           A0712002  125 
        40.     123.32     99.935        0.8    0.63245           A0712002  126 
        40.     124.74     94.332        0.9    0.61289           A0712002  127 
        40.     126.01     90.799        0.9    0.60358           A0712002  128 
        40.     127.23     85.943        0.9    0.58366           A0712002  129 
        40.      128.5     81.948        0.9     0.5687           A0712002  130 
        40.     129.76     76.832         1.    0.54452           A0712002  131 
        40.     131.03     73.894         1.    0.53449           A0712002  132 
        40.     132.29     69.311         1.    0.51137           A0712002  133 
        40.     136.76     59.301        1.5    0.46705           A0712002  134 
        40.     138.06     56.438        1.5    0.45249           A0712002  135 
        40.     139.31     53.066        1.6     0.4325           A0712002  136 
        40.     140.57     50.419        1.6    0.41756           A0712002  137 
        40.     141.82     50.731        1.6    0.42664           A0712002  138 
        40.     143.07     47.715        1.7     0.4073           A0712002  139 
        40.     144.32     43.178        1.8    0.37387           A0712002  140 
        40.     145.57     44.728        1.8    0.39264           A0712002  141 
        40.     146.42     41.653         1.    0.36901           A0712002  142 
        40.     146.81     39.797        1.9      0.354           A0712002  143 
        40.     147.73     39.958         1.    0.35878           A0712002  144 
        40.     148.06     37.406        1.9    0.33701           A0712002  145 
        40.     148.97     38.781        1.1    0.35252           A0712002  146 
        40.     150.22     36.085        1.1    0.33193           A0712002  147 
        40.     151.46     36.559        1.1    0.34011           A0712002  148 
        40.     152.71     35.323        1.1    0.33219           A0712002  149 
        40.     153.95     32.862        1.2    0.31224           A0712002  150 
        40.     155.19     32.714        1.2    0.31388           A0712002  151 
        40.     156.43     30.641        1.2    0.29673           A0712002  152 
        40.     157.68     28.127        1.2     0.2748           A0712002  153 
        40.     160.85     28.464        1.3    0.28378           A0712002  154 
        40.     162.14     27.698        1.3    0.27818           A0712002  155 
        40.     163.38     26.752        1.4    0.27044           A0712002  156 
        40.     164.63     25.487        1.4    0.25924           A0712002  157 
        40.     165.86     26.459        1.4    0.27063           A0712002  158 
        40.     167.11     25.257        1.4    0.25967           A0712002  159 
        40.     168.34     23.765        1.5    0.24547           A0712002  160 
        40.     169.58      24.75        1.4    0.25671           A0712002  161 
        40.     170.81     23.493        1.5    0.24457           A0712002  162 
        40.     172.06     22.162        1.5    0.23147           A0712002  163 
        42.      62.46      1149.        0.9    0.96517           A0712002  164 
        42.      63.84     1052.4        0.9    0.95602           A0712002  165 
        42.      65.21     997.85         1.    0.97819           A0712002  166 
        42.      66.49     928.13         1.    0.97452           A0712002  167 
        42.      67.25     911.24        0.8    0.99623           A0712002  168 
        42.      68.47     837.46        0.8    0.97545           A0712002  169 
        42.      69.95     771.41        0.8    0.96814           A0712002  170 
        42.      71.27     728.69        0.8    0.97606           A0712002  171 
        42.      72.54     686.46        0.9    0.97741           A0712002  172 
        42.      73.86     655.53        0.9    0.99302           A0712002  173 
        42.      75.17     616.63        0.9    0.99229           A0712002  174 
        42.      76.49     585.11         1.    0.99878           A0712002  175 
        42.       77.4     568.66        0.8     1.0103           A0712002  176 
        42.       77.8     550.63         1.    0.99561           A0712002  177 
        42.      78.61     537.81        0.8     1.0068           A0712002  178 
        42.      79.17     525.25         1.     1.0067           A0712002  179 
        42.      80.08     502.54        0.9     1.0006           A0712002  180 
        42.      81.39     480.64        0.9     1.0099           A0712002  181 
        42.      82.65     464.78        0.9     1.0272           A0712002  182 
        42.      83.96     434.85        0.9     1.0118           A0712002  183 
        42.      85.26     407.04         1.    0.99577           A0712002  184 
        42.      86.57     389.78         1.     1.0014           A0712002  185 
        42.      87.88     367.13         1.    0.98945           A0712002  186 
        42.      89.23     347.41         1.     0.9828           A0712002  187 
        42.      92.48     299.61        0.7    0.94793           A0712002  188 
        42.      93.73      287.3        0.7    0.94733           A0712002  189 
        42.      95.11     267.54        0.7    0.92218           A0712002  190 
        42.      96.45     245.26        0.8     0.8821           A0712002  191 
        42.      97.72     226.69        0.8    0.84788           A0712002  192 
        42.      99.04     207.08        0.8    0.80594           A0712002  193 
        42.     100.36     192.74        0.9    0.77982           A0712002  194 
        42.     101.63     179.44        0.9    0.75294           A0712002  195 
        42.     102.94     159.77         1.    0.69566           A0712002  196 
        42.     104.23     141.49         1.    0.63831           A0712002  197 
        42.      107.4     123.06        0.8    0.60355           A0712002  198 
        42.     108.58     116.88        0.8    0.59074           A0712002  199 
        42.     110.02     108.06        0.9    0.56589           A0712002  200 
        42.      111.3     100.38        0.9     0.5422           A0712002  201 
        42.     112.53      91.21        0.9     0.5072           A0712002  202 
        42.     113.81     82.778         1.    0.47408           A0712002  203 
        42.     115.09     79.096         1.    0.46619           A0712002  204 
        42.     116.37     75.852        1.1    0.45978           A0712002  205 
        42.     117.64     68.102        1.1    0.42422           A0712002  206 
        42.     118.97     56.574        1.2    0.36228           A0712002  207 
        42.     122.15     47.913        1.3    0.32691           A0712002  208 
        42.     123.32     46.975        1.3    0.32776           A0712002  209 
        42.     124.74     42.443        1.4    0.30402           A0712002  210 
        42.     126.01     39.774        1.4     0.2915           A0712002  211 
        42.     127.23     36.828        1.5    0.27574           A0712002  212 
        42.      128.5     33.189        1.5    0.25393           A0712002  213 
        42.     129.76     32.935        1.5    0.25734           A0712002  214 
        42.     131.03     31.811        1.6    0.25368           A0712002  215 
        42.     132.29     28.547        1.7    0.23221           A0712002  216 
        42.     136.76     23.066        1.8    0.20029           A0712002  217 
        42.     138.06     22.584        1.8    0.19962           A0712002  218 
        42.     139.31     20.708        1.9    0.18608           A0712002  219 
        42.     140.57     19.071         2.    0.17413           A0712002  220 
        42.     141.82     19.213         2.    0.17814           A0712002  221 
        42.     143.07     17.885         2.    0.16832           A0712002  222 
        42.     144.32     15.439        2.2    0.14738           A0712002  223 
        42.     145.57     15.897        2.2    0.15385           A0712002  224 
        42.     146.42     14.822        1.9    0.14477           A0712002  225 
        42.     146.81     14.485        2.3    0.14205           A0712002  226 
        42.     147.73     14.519         2.    0.14373           A0712002  227 
        42.     148.06     13.138        2.4     0.1305           A0712002  228 
        42.     148.97     13.291         2.     0.1332           A0712002  229 
        42.     150.22      12.08        2.1    0.12251           A0712002  230 
        42.     151.46     12.578        2.1    0.12901           A0712002  231 
        42.     152.71     11.621        2.2    0.12049           A0712002  232 
        42.     153.95     11.079        2.3    0.11606           A0712002  233 
        42.     155.19     11.213        2.3    0.11861           A0712002  234 
        42.     156.43     10.313        2.4    0.11011           A0712002  235 
        42.     157.68      9.395        2.4     0.1012           A0712002  236 
        42.     160.85      9.704         2.    0.10666           A0712002  237 
        42.     162.14      9.287         2.    0.10283           A0712002  238 
        42.     163.38       8.85        2.1    0.09864           A0712002  239 
        42.     164.63      8.743        2.1    0.09804           A0712002  240 
        42.     165.86      8.542        2.1    0.09632           A0712002  241 
        42.     167.11        8.6        2.1    0.09748           A0712002  242 
        42.     168.34      7.936        2.2    0.09037           A0712002  243 
        42.     169.58       8.28        2.2    0.09468           A0712002  244 
        42.     170.81      7.649        2.2    0.08779           A0712002  245 
        42.     172.06      7.401        2.3    0.08522           A0712002  246 
        44.      62.15     1075.1        0.5     0.9738           A0712002  247 
        44.      63.38     993.27        0.6    0.96498           A0712002  248 
        44.      64.86     918.69        0.6    0.96927           A0712002  249 
        44.      66.18     860.51        0.6    0.97555           A0712002  250 
        44.      67.45     816.46        0.6    0.99012           A0712002  251 
        44.      68.78     765.68        0.6     0.9942           A0712002  252 
        44.       70.1     729.52        0.7     1.0125           A0712002  253 
        44.      71.42     696.86        0.7      1.032           A0712002  254 
        44.      72.74     651.71        0.7     1.0283           A0712002  255 
        44.      74.11     610.93        0.7     1.0277           A0712002  256 
        44.       77.4     530.21        0.6     1.0339           A0712002  257 
        44.      78.66     503.13        0.6     1.0359           A0712002  258 
        44.      80.05     469.72        0.6     1.0254           A0712002  259 
        44.      81.41     433.17        0.6    0.99996           A0712002  260 
        44.       82.7     405.82        0.7    0.98639           A0712002  261 
        44.      84.03     375.04        0.7     0.9605           A0712002  262 
        44.      85.36     347.44        0.7    0.93639           A0712002  263 
        44.      86.65     321.69        0.8    0.90962           A0712002  264 
        44.      87.98      288.2        0.8    0.85556           A0712002  265 
        44.      89.28       265.        0.8    0.82421           A0712002  266 
        44.      92.48     215.46        1.2    0.74817           A0712002  267 
        44.      93.78     198.09        1.3    0.71803           A0712002  268 
        44.      95.08     176.65        1.3    0.66773           A0712002  269 
        44.      96.48     162.69        1.4    0.64266           A0712002  270 
        44.      97.77      146.5        1.4     0.6023           A0712002  271 
        44.      99.12     130.47        1.5    0.55855           A0712002  272 
        44.     100.46     116.77        1.6    0.52001           A0712002  273 
        44.      101.7      103.6        1.7     0.4781           A0712002  274 
        44.     103.04     93.582        1.8    0.44844           A0712002  275 
        44.     104.28     84.982        1.9    0.42132           A0712002  276 
        44.      107.4     64.747        2.6    0.34853           A0712002  277 
        44.     108.58     56.773        2.8    0.31494           A0712002  278 
        44.     110.02     51.105        2.9    0.29373           A0712002  279 
        44.      111.3     47.705         3.     0.2828           A0712002  280 
        44.     112.53     42.069        3.2    0.25675           A0712002  281 
        44.     113.81     35.948        3.5    0.22595           A0712002  282 
        44.     115.09     36.616        3.5    0.23686           A0712002  283 
        44.     116.37     33.007        3.7    0.21958           A0712002  284 
        44.     117.64     30.774        3.8    0.21039           A0712002  285 
        44.     118.97     27.758         4.    0.19509           A0712002  286 
        44.     122.15      19.89        2.8    0.14894           A0712002  287 
        44.     123.32     17.137        3.1    0.13123           A0712002  288 
        44.     124.74     16.412        3.1    0.12902           A0712002  289 
        44.     126.01     15.906        3.2    0.12794           A0712002  290 
        44.     127.23     13.716        3.4    0.11271           A0712002  291 
        44.      128.5      12.15        3.7    0.10202           A0712002  292 
        44.     129.76     12.169        3.7    0.10435           A0712002  293 
        44.     131.03     10.043         4.     0.0879           A0712002  294 
        44.     132.29      9.896        4.1    0.08834           A0712002  295 
        44.      133.6      8.901        4.3    0.08106           A0712002  296 
        44.     136.76      7.644        5.8    0.07285           A0712002  297 
        44.     138.06       6.73        6.2    0.06529           A0712002  298 
        44.     139.31       6.38        6.4    0.06292           A0712002  299 
        44.     140.57      6.789        6.2    0.06803           A0712002  300 
        44.     141.82      5.318        7.1    0.05412           A0712002  301 
        44.     143.07      5.867        6.7     0.0606           A0712002  302 
        44.     144.32      4.606        7.6    0.04826           A0712002  303 
        44.     145.57       4.84        7.5    0.05141           A0712002  304 
        44.     146.42       4.92        3.2    0.05274           A0712002  305 
        44.     146.81      4.631        7.6    0.04984           A0712002  306 
        44.     147.73      4.698        3.2    0.05104           A0712002  307 
        44.     148.06      3.867        8.2    0.04216           A0712002  308 
        44.     148.97      4.484        3.3    0.04932           A0712002  309 
        44.     150.22      3.804        3.6    0.04234           A0712002  310 
        44.     151.46      3.824        3.6    0.04305           A0712002  311 
        44.     152.71      3.628        3.7    0.04129           A0712002  312 
        44.     153.95      3.571        3.7    0.04106           A0712002  313 
        44.     155.19      3.366        3.9    0.03908           A0712002  314 
        44.     156.43      3.142         4.    0.03682           A0712002  315 
        44.     157.68      2.886        4.1    0.03412           A0712002  316 
        44.     160.85      2.625        9.7    0.03167           A0712002  317 
        44.     162.14      2.956        9.1    0.03592           A0712002  318 
        44.     163.38      3.255        8.7    0.03982           A0712002  319 
        44.     164.63      2.576        9.8     0.0317           A0712002  320 
        44.     165.86      1.825        1.7    0.02259           A0712002  321 
        44.     167.11      2.386        0.2    0.02968           A0712002  322 
        44.     168.34       2.42        0.2    0.03025           A0712002  323 
        44.     169.58      2.357        0.4    0.02958           A0712002  324 
        44.     170.81      2.052        1.1    0.02585           A0712002  325 
        44.     172.06      2.175        0.7    0.02749           A0712002  326 
        46.      46.76     2967.9        0.7     1.0261           A0712002  327 
        46.      48.04     2723.9        0.8     1.0433           A0712002  328 
        46.      49.46      2450.        0.8     1.0465           A0712002  329 
        46.      50.85     2192.4        0.8     1.0387           A0712002  330 
        46.      52.16     1970.5        0.9     1.0264           A0712002  331 
        46.      53.52     1767.4        0.9      1.013           A0712002  332 
        46.      54.88     1609.2         1.     1.0121           A0712002  333 
        46.      56.19     1474.5         1.     1.0113           A0712002  334 
        46.      57.03     1399.5        0.7      1.014           A0712002  335 
        46.      58.31     1313.8        0.7     1.0324           A0712002  336 
        46.      59.72     1206.1        0.8     1.0337           A0712002  337 
        46.       61.1     1096.6        0.8      1.021           A0712002  338 
        46.      62.41     1000.4        0.8     1.0051           A0712002  339 
        46.      68.47      770.4        0.7     1.0764           A0712002  340 
        46.      69.95     722.09        0.7     1.0871           A0712002  341 
        46.      71.27     674.05        0.8      1.083           A0712002  342 
        46.      72.54     630.25        0.8     1.0764           A0712002  343 
        46.      73.86     568.28        0.8     1.0326           A0712002  344 
        46.      75.17     522.67        0.9     1.0089           A0712002  345 
        46.      76.49      482.5        0.9    0.98798           A0712002  346 
        46.       77.4     450.77        0.7    0.96068           A0712002  347 
        46.       77.8     438.86        0.9    0.95185           A0712002  348 
        46.      78.61     414.61        0.7    0.93106           A0712002  349 
        46.      79.17     400.75         1.    0.92138           A0712002  350 
        46.      80.08     370.13        0.8      0.884           A0712002  351 
        46.      81.39     330.91        0.8    0.83404           A0712002  352 
        46.      82.65     302.15        0.8    0.80107           A0712002  353 
        46.      83.96      265.7        0.9    0.74156           A0712002  354 
        46.      85.26     240.27        0.9    0.70509           A0712002  355 
        46.      86.57     218.41         1.     0.6731           A0712002  356 
        46.      87.88     189.14         1.    0.61147           A0712002  357 
        46.      89.23     167.62        1.1     0.5688           A0712002  358 
        46.      92.48     127.27        0.8    0.48301           A0712002  359 
        46.      93.73     114.46        0.8    0.45273           A0712002  360 
        46.      95.11     101.15        0.9    0.41823           A0712002  361 
        46.      96.45     87.909        0.9    0.37926           A0712002  362 
        46.      97.72     75.263         1.    0.33767           A0712002  363 
        46.      99.04     65.008        1.1    0.30349           A0712002  364 
        46.     100.36     58.644        1.1    0.28461           A0712002  365 
        46.     101.63     50.166        1.2    0.25251           A0712002  366 
        46.     102.94     43.313        1.3    0.22623           A0712002  367 
        46.     104.23     36.501        1.4    0.19752           A0712002  368 
        46.      107.4      28.28        1.3    0.16638           A0712002  369 
        46.     108.58     25.307        1.4    0.15344           A0712002  370 
        46.     110.02     22.167        1.5    0.13925           A0712002  371 
        46.      111.3     19.374        1.6    0.12553           A0712002  372 
        46.     112.53     17.277        1.7    0.11524           A0712002  373 
        46.     113.81     14.951        1.8    0.10271           A0712002  374 
        46.     115.09     13.673        1.9    0.09667           A0712002  375 
        46.     116.37     12.557         2.     0.0913           A0712002  376 
        46.     117.64     11.208        2.1    0.08375           A0712002  377 
        46.     118.97     10.102        2.2     0.0776           A0712002  378 
        46.     146.42      1.502        3.8     0.0176           A0712002  379 
        46.     147.73      1.467        3.8    0.01742           A0712002  380 
        46.     148.97      1.375         4.    0.01653           A0712002  381 
        46.     150.22      1.222        4.2    0.01487           A0712002  382 
        46.     151.46      1.163        4.3    0.01431           A0712002  383 
        46.     152.71      1.112        4.4    0.01383           A0712002  384 
        48.       41.6     4009.3        0.4    0.96776           A0712002  385 
        48.      42.94     3651.2        0.5    0.99495           A0712002  386 
        48.      44.28     3260.5        0.5    0.99888           A0712002  387 
        48.      45.73     2856.3        0.5    0.98828           A0712002  388 
        48.      47.06     2485.4        0.6    0.95913           A0712002  389 
        48.      48.46     2180.2        0.6    0.93889           A0712002  390 
        48.      49.84     1965.9        0.6    0.94131           A0712002  391 
