ENTRY            A0702   20100519                             A068A070200000001 
SUBENT        A0702001   20100519                             A068A070200100001 
BIB                 10         23                                 A070200100002 
TITLE      Complex nuclear-structure phenomena revealed from the  A070200100003 
           nuclide production in fragmentation reactions.         A070200100004 
REFERENCE  (J,NP/A,733,299,2004)                                  A070200100005 
           (T,RICCIARDI,200502) The thesis ID "GSI Diss.2005-07"  A070200100006 
AUTHOR     (M.V.Ricciardi, A.V.Ignatyuk, A.Kelic, P.Napolitani,   A070200100007 
           F.Rejmund, K.-H.Schmidt, O.Yordanov)                   A070200100008 
INSTITUTE  (2GERGSI)                                              A070200100009 
           (4RUSFEI)                                              A070200100010 
           (2FR PAR)                                              A070200100011 
SAMPLE     A 36 mg/cm**2 titanium target was used.                A070200100012 
DETECTOR   (MAGSP)                                                A070200100013 
           (MWPC)                                                 A070200100014 
           (SCIN)                                                 A070200100015 
FACILITY   (SYNCH,2GERGSI)                                        A070200100016 
           (FRS,2GERGSI)                                          A070200100017 
METHOD     (TOF)                                                  A070200100018 
HISTORY    (20100331C) S.B                                        A070200100019 
ERR-ANALYS (-ERR-T).The uncertainty is reported by authors in     A070200100020 
           table.They include both the statistical and the        A070200100021 
           systematic errors.                                     A070200100022 
           (+ERR-T).The uncertainty is reported by authors in     A070200100023 
           table. They include both the statistical and the       A070200100024 
           systematic errors.                                     A070200100025 
ENDBIB              23          0                                 A070200100026 
COMMON               1          3                                 A070200100027 
EN                                                                A070200100028 
GEV/A                                                             A070200100029 
         1.                                                       A070200100030 
ENDCOMMON            3          0                                 A070200100031 
ENDSUBENT           30          0                                 A070200199999 
SUBENT        A0702002   20100405                             A068A070200200001 
BIB                  2          2                                 A070200200002 
REACTION   (22-TI-0(92-U-238,X)ELEM/MASS,,IPA)                    A070200200003 
STATUS     (TABLE).Table B.3 from T,RICCIARDI,200502              A070200200004 
ENDBIB               2          0                                 A070200200005 
COMMON               1          3                                 A070200200006 
ANG-MAX                                                           A070200200007 
ARAD                                                              A070200200008 
     0.015                                                        A070200200009 
ENDCOMMON            3          0                                 A070200200010 
DATA                 5        112                                 A070200200011 
ELEMENT    MASS       DATA       +ERR-T     -ERR-T                A070200200012 
10.        26.        0.26       77.        57.                   A070200300043 
11.        21.        0.28       66.        51.                   A070200300044 
11.        22.        2.8        40.        39.                   A070200300045 
11.        23.        20.        38.        38.                   A070200300046 
11.        24.        15.        39.        39.                   A070200300047 
11.        25.        17.        39.        38.                   A070200300048 
11.        26.        5.1        39.        39.                   A070200300049 
11.        28.        0.22       89.        59.                   A070200300050 
12.        23.        0.17       74.        50.                   A070200300051 
12.        24.        4.7        32.        31.                   A070200300052 
12.        25.        15.        30.        30.                   A070200300053 
12.        26.        19.        31.        31.                   A070200300054 
12.        27.        14.        31.        31.                   A070200300055 
12.        28.        7.3        32.        32.                   A070200300056 
12.        29.        1.4        59.        45.                   A070200300057 
12.        30.        0.49       93.        64.                   A070200300058 
13.        25.        0.18       93.        59.                   A070200300059 
13.        26.        1.3        34.        32.                   A070200300060 
13.        27.        14.        30.        30.                   A070200300061 
13.        28.        12.        30.        30.                   A070200300062 
13.        29.        15.        30.        30.                   A070200300063 
13.        30.        5.6        31.        31.                   A070200300064 
13.        31.        2.9        93.        64.                   A070200300065 
14.        28.        2.4        30.        29.                   A070200300066 
14.        29.        10.        29.        29.                   A070200300067 
14.        30.        16.        29.        29.                   A070200300068 
14.        31.        11.        29.        29.                   A070200300069 
14.        32.        7.1        29.        28.                   A070200300070 
14.        33.        1.8        30.        30.                   A070200300071 
14.        34.        0.63       44.        37.                   A070200300072 
15.        30.        0.39       40.        35.                   A070200300073 
15.        31.        7.2        28.        28.                   A070200300074 
15.        32.        10.        28.        28.                   A070200300075 
15.        33.        9.6        28.        28.                   A070200300076 
15.        34.        6.4        28.        28.                   A070200300077 
15.        35.        3.4        28.        28.                   A070200300078 
15.        36.        0.64       41.        36.                   A070200300079 
16.        32.        0.42       46.        38.                   A070200300080 
16.        33.        4.4        27.        27.                   A070200300081 
16.        34.        11.        27.        27.                   A070200300082 
16.        35.        8.4        27.        27.                   A070200300083 
16.        36.        7.8        27.        27.                   A070200300084 
16.        37.        3.2        27.        27.                   A070200300085 
16.        38.        1.2        30.        29.                   A070200300086 
16.        39.        0.49       62.        44.                   A070200300087 
17.        34.        0.13       91.        61.                   A070200300088 
17.        35.        2.4        31.        29.                   A070200300089 
17.        36.        7.4        26.        26.                   A070200300090 
17.        37.        8.3        26.        26.                   A070200300091 
17.        38.        6.5        28.        27.                   A070200300092 
17.        39.        4.6        26.        26.                   A070200300093 
17.        40.        1.5        28.        27.                   A070200300094 
17.        41.        0.25       56.        42.                   A070200300095 
18.        36.        0.17       84.        50.                   A070200300096 
18.        37.        1.7        27.        26.                   A070200300097 
18.        38.        6.7        24.        24.                   A070200300098 
18.        39.        6.5        24.        24.                   A070200300099 
18.        40.        5.1        26.        25.                   A070200300100 
18.        41.        5.0        24.        24.                   A070200300101 
18.        42.        2.3        24.        24.                   A070200300102 
18.        43.        0.53       29.        27.                   A070200300103 
19.        39.        0.92       34.        31.                   A070200300104 
19.        40.        4.7        25.        25.                   A070200300105 
19.        41.        6.0        25.        25.                   A070200300106 
19.        42.        5.6        26.        26.                   A070200300107 
19.        43.        5.3        25.        25.                   A070200300108 
19.        44.        2.4        25.        25.                   A070200300109 
19.        45.        0.91       27.        27.                   A070200300110 
20.        41.        0.59       38.        33.                   A070200300111 
20.        42.        4.1        26.        26.                   A070200300112 
20.        43.        5.7        26.        26.                   A070200300113 
20.        44.        4.4        28.        27.                   A070200300114 
20.        45.        5.6        26.        26.                   A070200300115 
20.        46.        2.8        26.        26.                   A070200300116 
20.        47.        0.82       27.        27.                   A070200300117 
20.        48.        0.16       49.        39.                   A070200300118 
21.        43.        0.39       40.        32.                   A070200300119 
21.        44.        2.8        22.        21.                   A070200300120 
21.        45.        5.8        20.        20.                   A070200300121 
21.        46.        4.8        21.        21.                   A070200300122 
21.        47.        5.0        23.        22.                   A070200300123 
21.        48.        3.2        21.        21.                   A070200300124 
21.        49.        0.99       22.        22.                   A070200300125 
21.        50.        0.18       22.        22.                   A070200300126 
ENDDATA            114          0                                 A070200300127 
ENDSUBENT          126          0                                 A070200399999 
SUBENT        A0702004   20100405                             A068A070200400001 
BIB                  2          2                                 A070200400002 
REACTION   (22-TI-0(92-U-238,X)ELEM/MASS,,SIG)                    A070200400003 
STATUS     (TABLE).Table B.5 from T,RICCIARDI,200502              A070200400004 
ENDBIB               2          0                                 A070200400005 
NOCOMMON             0          0                                 A070200400006 
DATA                 5        132                                 A070200400007 
ELEMENT    MASS       DATA       +ERR-T     -ERR-T                A070200400008 
NO-DIM     NO-DIM     MB         PER-CENT   PER-CENT              A070200400009 
22.        46.        2.9        23.        23.                   A070200400010 
22.        47.        4.6        21.        21.                   A070200400011 
22.        48.        5.3        21.        21.                   A070200400012 
22.        49.        3.3        23.        22.                   A070200400013 
22.        50.        3.9        22.        22.                   A070200400014 
22.        51.        1.2        22.        22.                   A070200400015 
22.        52.        0.30       27.        25.                   A070200400016 
23.        47.        0.20       68.        44.                   A070200400017 
23.        48.        1.7        22.        22.                   A070200400018 
23.        49.        4.7        21.        21.                   A070200400019 
23.        50.        4.4        21.        21.                   A070200400020 
23.        51.        3.5        23.        23.                   A070200400021 
23.        52.        2.4        31.        28.                   A070200400022 
23.        53.        1.7        22.        22.                   A070200400023 
23.        54.        0.42       23.        23.                   A070200400024 
23.        55.        0.14       40.        33.                   A070200400025 
24.        49.        0.14       88.        50.                   A070200400026 
24.        50.        1.3        31.        28.                   A070200400027 
24.        51.        3.9        21.        21.                   A070200400028 
24.        52.        4.5        21.        20.                   A070200400029 
24.        53.        3.2        22.        21.                   A070200400030 
24.        54.        2.7        24.        23.                   A070200400031 
24.        55.        1.7        28.        26.                   A070200400032 
24.        56.        0.83       23.        22.                   A070200400033 
24.        57.        0.17       33.        29.                   A070200400034 
25.        51.        0.11       90.        73.                   A070200400035 
25.        52.        1.0        28.        26.                   A070200400036 
25.        53.        3.2        21.        21.                   A070200400037 
25.        54.        4.1        20.        20.                   A070200400038 
25.        55.        3.1        22.        22.                   A070200400039 
25.        57.        1.9        26.        25.                   A070200400040 
25.        58.        0.92       24.        23.                   A070200400041 
25.        59.        0.38       24.        23.                   A070200400042 
25.        60.        0.10       43.        34.                   A070200400043 
26.        54.        0.75       29.        26.                   A070200400044 
26.        55.        2.5        22.        21.                   A070200400045 
26.        56.        4.1        21.        21.                   A070200400046 
26.        57.        3.1        22.        22.                   A070200400047 
26.        58.        2.3        23.        23.                   A070200400048 
26.        59.        1.8        33.        29.                   A070200400049 
26.        60.        1.1        26.        25.                   A070200400050 
26.        61.        0.47       24.        23.                   A070200400051 
26.        62.        0.12       65.        43.                   A070200400052 
27.        56.        0.24       90.        64.                   A070200400053 
27.        57.        2.0        22.        21.                   A070200400054 
27.        58.        3.4        21.        21.                   A070200400055 
27.        59.        3.4        21.        21.                   A070200400056 
27.        62.        1.5        26.        25.                   A070200400057 
27.        63.        0.59       25.        24.                   A070200400058 
27.        64.        0.19       28.        26.                   A070200400059 
28.        59.        1.3        26.        25.                   A070200400060 
28.        60.        3.2        21.        21.                   A070200400061 
28.        61.        3.5        21.        21.                   A070200400062 
28.        62.        2.6        22.        22.                   A070200400063 
28.        63.        1.9        27.        25.                   A070200400064 
28.        64.        1.3        27.        25.                   A070200400065 
28.        65.        0.93       23.        22.                   A070200400066 
28.        66.        0.22       27.        25.                   A070200400067 
29.        61.        0.76       25.        24.                   A070200400068 
29.        62.        2.2        21.        21.                   A070200400069 
29.        63.        2.9        21.        21.                   A070200400070 
29.        64.        2.6        21.        21.                   A070200400071 
29.        67.        0.92       25.        24.                   A070200400072 
29.        68.        0.49       25.        24.                   A070200400073 
29.        69.        0.11       37.        31.                   A070200400074 
30.        63.        0.73       29.        26.                   A070200400075 
30.        64.        1.9        23.        22.                   A070200400076 
30.        65.        3.1        21.        21.                   A070200400077 
30.        66.        2.5        24.        23.                   A070200400078 
30.        69.        1.6        27.        25.                   A070200400079 
30.        70.        0.59       26.        24.                   A070200400080 
30.        71.        0.17       36.        30.                   A070200400081 
30.        72.        0.10       38.        32.                   A070200400082 
31.        66.        1.4        22.        22.                   A070200400083 
31.        67.        2.6        21.        21.                   A070200400084 
31.        68.        2.7        21.        21.                   A070200400085 
31.        69.        2.2        24.        23.                   A070200400086 
31.        72.        1.3        23.        22.                   A070200400087 
31.        73.        0.30       26.        24.                   A070200400088 
31.        74.        0.091      47.        36.                   A070200400089 
32.        67.        0.23       51.        38.                   A070200400090 
32.        68.        1.2        24.        23.                   A070200400091 
32.        69.        2.4        21.        21.                   A070200400092 
32.        70.        2.8        21.        21.                   A070200400093 
32.        71.        1.6        27.        25.                   A070200400094 
32.        73.        1.7        28.        26.                   A070200400095 
32.        74.        1.2        23.        22.                   A070200400096 
32.        75.        0.49       26.        24.                   A070200400097 
32.        76.        0.13       30.        27.                   A070200400098 
33.        69.        0.075      90.        64.                   A070200400099 
33.        70.        0.69       28.        26.                   A070200400100 
33.        71.        2.0        21.        21.                   A070200400101 
33.        72.        2.9        21.        21.                   A070200400102 
33.        73.        2.4        27.        22.                   A070200400103 
33.        74.        2.1        31.        25.                   A070200400104 
33.        77.        0.82       23.        22.                   A070200400105 
33.        78.        0.26       26.        25.                   A070200400106 
33.        80.        0.078      90.        57.                   A070200400107 
34.        71.        0.069      90.        73.                   A070200400108 
34.        72.        0.61       26.        25.                   A070200400109 
34.        73.        1.9        21.        21.                   A070200400110 
34.        74.        2.6        21.        21.                   A070200400111 
34.        75.        2.5        21.        21.                   A070200400112 
34.        79.        0.89       24.        23.                   A070200400113 
34.        80.        0.34       24.        23.                   A070200400114 
34.        81.        0.11       37.        31.                   A070200400115 
35.        74.        0.25       47.        36.                   A070200400116 
35.        75.        1.3        21.        21.                   A070200400117 
35.        76.        2.5        21.        21.                   A070200400118 
35.        77.        2.7        21.        21.                   A070200400119 
35.        78.        2.0        24.        23.                   A070200400120 
35.        81.        1.6        24.        23.                   A070200400121 
35.        82.        0.52       24.        23.                   A070200400122 
35.        83.        0.18       31.        28.                   A070200400123 
35.        84.        0.066      63.        42.                   A070200400124 
36.        76.        0.28       35.        30.                   A070200400125 
36.        77.        0.99       22.        22.                   A070200400126 
36.        78.        2.5        21.        21.                   A070200400127 
36.        79.        2.6        21.        21.                   A070200400128 
36.        80.        1.9        22.        22.                   A070200400129 
36.        83.        1.8        28.        26.                   A070200400130 
36.        84.        0.74       23.        23.                   A070200400131 
36.        85.        0.32       27.        25.                   A070200400132 
36.        86.        0.077      58.        40.                   A070200400133 
37.        79.        0.88       22.        22.                   A070200400134 
37.        80.        2.0        21.        21.                   A070200400135 
37.        81.        2.44       21.        21.                   A070200400136 
37.        82.        1.9        21.        21.                   A070200400137 
37.        83.        1.7        26.        24.                   A070200400138 
37.        86.        1.1        23.        23.                   A070200400139 
37.        87.        0.27       29.        27.                   A070200400140 
37.        88.        0.15       34.        29.                   A070200400141 
ENDDATA            134          0                                 A070200400142 
ENDSUBENT          141          0                                 A070200499999 
ENDENTRY             4          0                                 A070299999999 
