ENTRY            A1539   20180429                             A089A1539  0    1 
SUBENT        A1539001   20180429                             A089A1539  1    1 
BIB                 10         20                                 A1539  1    2 
INSTITUTE  (3CHFSHI)                                              A1539  1    3 
REFERENCE  (J,NP/A,275,93,197701)                                 A1539  1    4 
AUTHOR     (Chia-Shou Lin,Wan-Shou Hou,Min Wen,Jen-Chang Chou)    A1539  1    5 
TITLE      Cross section measurements for the 6Li(p,alpha)3He     A1539  1    6 
           reaction in the proton energy range 1.0 - 2.6 MeV      A1539  1    7 
FACILITY   (VDG,3CHFSHI)                                          A1539  1    8 
SAMPLE     (3-LI-6,ENR=0.9603) Lithium fluoride (96.03%) in 6Li   A1539  1    9 
           onto a carbon backing of about 35 mu-g/cm2. The        A1539  1   10 
           thickness of the 6LiF in the targets was 110+-5 mug/cm2A1539  1   11 
METHOD     (COINC,PHD)                                            A1539  1   12 
DETECTOR   (SIBAR) 500 mu-m silicon surface barrier detectors     A1539  1   13 
ERR-ANALYS (ERR-1) The uncertainty in target thickness            A1539  1   14 
           (ERR-2) the errors in current integrator calibration   A1539  1   15 
           (ERR-3) The errors in solid angle measurements         A1539  1   16 
HISTORY    (19800820C) Compilation produced by RFNC-VNIIEF Sarov  A1539  1   17 
           (19990323U)CNPD: corrected 4-dig. year and lower cases.A1539  1   18 
           (20130130A). Missing value was added in Sub.004 for    A1539  1   19 
           Data-section-sb                                        A1539  1   20 
           (20180429A) SD: REACTION code corrected in Subents     A1539  1   21 
           002,003. BIB, ERR-ANALYS was updated.                  A1539  1   22 
ENDBIB              20          0                                 A1539  1   23 
COMMON               3          3                                 A1539  1   24 
ERR-1      ERR-2      ERR-3                                       A1539  1   25 
PER-CENT   PER-CENT   PER-CENT                                    A1539  1   26 
  8.0       4.0         3.0                                       A1539  1   27 
ENDCOMMON            3          0                                 A1539  1   28 
ENDSUBENT           27          0                                 A1539  199999 
SUBENT        A1539002   20180429                             A089A1539  2    1 
BIB                  4          7                                 A1539  2    2 
REACTION   (3-LI-6(P,HE3)2-HE-4,,DA,A)                            A1539  2    3 
ERR-ANALYS (ERR-T) The error in absolute differential cross sect. A1539  2    4 
           (ERR-S,,3.) Statistical error                          A1539  2    5 
STATUS     (CURVE) Fig 4a,4b of J,NP/A,275,93,1977                A1539  2    6 
HISTORY    (20180429A) SD: SF7=A was added to REACTION code       A1539  2    7 
           according to comment from Dr. I.Thompson (2018-04-23). A1539  2    8 
           ANG-ERR -> ANG-ERR-D; DATA-ERR -> ERR-T.               A1539  2    9 
ENDBIB               7          0                                 A1539  2   10 
NOCOMMON             0          0                                 A1539  2   11 
DATA                 5        260                                 A1539  2   12 
EN         ANG-CM     ANG-ERR-D  DATA-CM    ERR-T                 A1539  2   13 
     1.85      23.02       1.452     13.96       0.4001           A1539  2  147 
     1.85      33.84       1.104     14.02       0.4017           A1539  2  148 
     1.85      46.68       1.104     12.23       0.3505           A1539  2  149 
     1.85      58.5        1.104     11.61       0.3327           A1539  2  150 
     1.85      69.29       1.104     12.69       0.3635           A1539  2  151 
     1.85      74.29       1.104     10.43       0.2988           A1539  2  152 
     1.85      80.12       1.104     12.38       0.3548           A1539  2  153 
     1.85      87.04       1.104     11.41       0.3268           A1539  2  154 
     1.85      92.88       1.104     13.16       0.3772           A1539  2  155 
     1.85      96.76       1.104     15.18       0.4351           A1539  2  156 
     1.85     101.7        1.104     13.98       0.4004           A1539  2  157 
     1.85     107.5        1.104     16.59       0.4754           A1539  2  158 
     1.85     118.3        1.104     19.19       0.5498           A1539  2  159 
     1.85     129.1        1.104     18.73       0.5366           A1539  2  160 
     1.85     140.9        1.104     21.06       0.6034           A1539  2  161 
     1.85     154.6        1.104     22.4        0.6417           A1539  2  162 
     1.9       22.15       1.111     13.03       0.3758           A1539  2  163 
     1.9       33.98       1.111     12.02       0.3466           A1539  2  164 
     1.9       46.8        1.111     11.09       0.3198           A1539  2  165 
     1.9       57.66       1.111     10.93       0.2866           A1539  2  166 
     1.9       69.44       1.111     10.57       0.3047           A1539  2  167 
     1.9       75.32       1.111     11.21       0.3232           A1539  2  168 
     1.9       81.23       1.111     11.23       0.3239           A1539  2  169 
     1.9       86.13       1.111     11.58       0.3338           A1539  2  170 
     1.9       91.02       1.111     12.63       0.3642           A1539  2  171 
     1.9       96.91       1.111     13.02       0.3755           A1539  2  172 
     1.9      100.8        1.111     13.42       0.3869           A1539  2  173 
     1.9      106.8        1.111     12.71       0.3663           A1539  2  174 
     1.9      118.5        1.111     14.71       0.4241           A1539  2  175 
     1.9      130.3        1.111     16.09       0.4639           A1539  2  176 
     1.9      140.1        1.111     18.09       0.5217           A1539  2  177 
     1.9      152.8        1.111     19.24       0.5548           A1539  2  178 
     1.95      21.25       1.098     12.63       0.3597           A1539  2  179 
     1.95      34.08       1.098     11.34       0.323            A1539  2  180 
     1.95      45.94       1.098     10.09       0.2819           A1539  2  181 
     1.95      58.75       1.098      9.402      0.2677           A1539  2  182 
     1.95      68.55       1.098     10.26       0.2923           A1539  2  183 
     1.95      74.48       1.098      9.456      0.2693           A1539  2  184 
     1.95      80.34       1.098     10.6        0.302            A1539  2  185 
     1.95      85.27       1.098     10.33       0.2941           A1539  2  186 
     1.95      90.17       1.098     10.94       0.3117           A1539  2  187 
     1.95      96.06       1.098     11.28       0.3212           A1539  2  188 
     1.95      99.97       1.098     11.95       0.3403           A1539  2  189 
     1.95     105.9        1.098     11.98       0.341            A1539  2  190 
