ENTRY            A0113   20210211                             A096A0113  0    1 
SUBENT        A0113001   20210211                             A096A0113  1    1 
BIB                 10         21                                 A0113  1    2 
TITLE      Projectile-fragment yields as a probe for the          A0113  1    3 
           collective enhancement in the nuclear level density    A0113  1    4 
AUTHOR     (A.R.Junghans, M.De Jong, H.-G.Clerc,                  A0113  1    5 
           A.V.Ignatyuk, G.A.Kudyaev, K.-H.Schmidt)               A0113  1    6 
INSTITUTE  (2GERTHD,4RUSFEI,2GERGSI)                              A0113  1    7 
REFERENCE  (J,NP/A,629,635,1998)                                  A0113  1    8 
REL-REF    (M,O0956001,H.-G.Clerc+,J,NP/A,590,785,1995)           A0113  1    9 
           (I,A0106001,M.de Jong+,J,NP/A,628,479,1998)            A0113  1   10 
FACILITY   (SYNCH,2GERGSI)                                        A0113  1   11 
           (OLMS,2GERGSI)                                         A0113  1   12 
METHOD     (SITA,OLMS,TOF,EDE)                                    A0113  1   13 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A0113  1   14 
STATUS     (TABLE) All data were received from Web-site of GSI.   A0113  1   15 
HISTORY    (20010321C)                                            A0113  1   16 
           (20010613U) Last checking has been done.               A0113  1   17 
           (20200530A) SD: Corrections in all Subents. COMMENT    A0113  1   18 
           deleted (abstract of the article useless in the entry).A0113  1   19 
           Energy units in the COMMON changed. Subents 002-251    A0113  1   20 
           were merged.                                           A0113  1   21 
           (20210211A) SD: Subents 003-251 deleted (info moves to A0113  1   22 
           Subent 002).                                           A0113  1   23 
ENDBIB              21          0                                 A0113  1   24 
COMMON               1          3                                 A0113  1   25 
EN                                                                A0113  1   26 
MEV/A                                                             A0113  1   27 
        85.       201.       0.51        0.1                      A0113  2  137 
        85.       200.       0.31       0.06                      A0113  2  138 
        85.       199.      0.091      0.022                      A0113  2  139 
        84.       210.       0.11       0.02                      A0113  2  140 
        84.       209.       0.16       0.03                      A0113  2  141 
        84.       207.       0.41       0.08                      A0113  2  142 
        84.       206.        0.5        0.1                      A0113  2  143 
        84.       205.       0.54       0.11                      A0113  2  144 
        84.       204.       1.34       0.26                      A0113  2  145 
        84.       203.       1.61       0.31                      A0113  2  146 
        84.       202.       1.57        0.3                      A0113  2  147 
        84.       201.       1.97       0.37                      A0113  2  148 
        84.       200.       1.61       0.31                      A0113  2  149 
        84.       199.       1.27       0.24                      A0113  2  150 
        84.       198.       1.06       0.21                      A0113  2  151 
        84.       197.       0.46       0.09                      A0113  2  152 
        83.       206.      0.072      0.017                      A0113  2  153 
        83.       205.       0.18       0.04                      A0113  2  154 
        83.       204.       0.17       0.04                      A0113  2  155 
        83.       203.       0.52        0.1                      A0113  2  156 
        83.       202.       0.45       0.09                      A0113  2  157 
        83.       200.       1.15       0.22                      A0113  2  158 
        83.       198.       1.22       0.24                      A0113  2  159 
        83.       197.       1.44       0.28                      A0113  2  160 
        83.       196.       1.56       0.30                      A0113  2  161 
        83.       195.        1.3       0.25                      A0113  2  162 
        82.       205.      0.048      0.014                      A0113  2  163 
        82.       203.       0.08      0.017                      A0113  2  164 
        82.       202.       0.16       0.03                      A0113  2  165 
        82.       201.       0.27       0.05                      A0113  2  166 
        82.       198.       1.06       0.21                      A0113  2  167 
        82.       197.        1.6       0.31                      A0113  2  168 
        82.       196.       1.81       0.35                      A0113  2  169 
        82.       195.       2.07       0.39                      A0113  2  170 
        82.       194.       2.35       0.45                      A0113  2  171 
        82.       193.       2.15       0.41                      A0113  2  172 
        82.       190.       0.58       0.11                      A0113  2  173 
        82.       189.       0.28       0.06                      A0113  2  174 
        82.       188.       0.15       0.04                      A0113  2  175 
        81.       202.      0.035      0.015                      A0113  2  176 
        81.       200.       0.11       0.02                      A0113  2  177 
        81.       199.       0.15       0.03                      A0113  2  178 
        81.       197.       0.61       0.12                      A0113  2  179 
        81.       196.        1.1       0.21                      A0113  2  180 
        81.       195.       1.66       0.32                      A0113  2  181 
        81.       193.       2.05       0.39                      A0113  2  182 
        81.       192.       2.46       0.47                      A0113  2  183 
        81.       191.       2.48       0.47                      A0113  2  184 
        81.       189.       1.67       0.32                      A0113  2  185 
        81.       188.       1.44       0.27                      A0113  2  186 
        81.       187.       0.92       0.18                      A0113  2  187 
        81.       186.       0.52        0.1                      A0113  2  188 
        80.       199.      0.046       0.01                      A0113  2  189 
        80.       198.      0.042      0.009                      A0113  2  190 
        80.       197.       0.11       0.02                      A0113  2  191 
        80.       196.       0.16       0.03                      A0113  2  192 
        80.       194.       0.42       0.08                      A0113  2  193 
        80.       193.       0.76       0.15                      A0113  2  194 
        80.       192.       1.26       0.24                      A0113  2  195 
        80.       191.       1.36       0.26                      A0113  2  196 
        80.       190.       1.84       0.35                      A0113  2  197 
        80.       188.       2.01       0.39                      A0113  2  198 
        80.       187.       2.18       0.41                      A0113  2  199 
        80.       186.       2.39       0.45                      A0113  2  200 
        80.       185.       1.15       0.23                      A0113  2  201 
        80.       184.       0.97       0.19                      A0113  2  202 
        80.       183.       0.52       0.11                      A0113  2  203 
        79.       195.      0.085       0.02                      A0113  2  204 
        79.       194.       0.36       0.07                      A0113  2  205 
        79.       193.       0.24       0.05                      A0113  2  206 
        79.       190.       0.71       0.14                      A0113  2  207 
        79.       189.       1.35       0.26                      A0113  2  208 
        79.       188.       1.46       0.29                      A0113  2  209 
        79.       187.       1.81       0.35                      A0113  2  210 
        79.       186.       2.31       0.45                      A0113  2  211 
        79.       185.       2.58        0.5                      A0113  2  212 
        79.       184.       2.61        0.5                      A0113  2  213 
        79.       183.       2.03       0.39                      A0113  2  214 
        79.       182.       2.02       0.39                      A0113  2  215 
        79.       181.       1.08       0.21                      A0113  2  216 
        78.       192.      0.042      0.009                      A0113  2  217 
        78.       191.       0.07      0.014                      A0113  2  218 
        78.       188.       0.58       0.11                      A0113  2  219 
        78.       187.       0.57       0.11                      A0113  2  220 
        78.       184.       1.86       0.36                      A0113  2  221 
        78.       183.       2.76       0.53                      A0113  2  222 
        78.       181.       2.33       0.44                      A0113  2  223 
        76.       181.       0.51        0.1                      A0113  2  224 
        76.       176.       2.38       0.46                      A0113  2  225 
        76.       175.       2.49       0.48                      A0113  2  226 
        76.       171.        0.2       0.06                      A0113  2  227 
        76.       170.       0.15       0.05                      A0113  2  228 
        75.       177.       0.77       0.16                      A0113  2  229 
        75.       175.       2.43       0.47                      A0113  2  230 
        75.       174.       3.75       0.72                      A0113  2  231 
        75.       170.       0.92       0.18                      A0113  2  232 
        75.       169.       0.67       0.13                      A0113  2  233 
        75.       168.       0.24       0.07                      A0113  2  234 
        74.       177.        0.6       0.12                      A0113  2  235 
        74.       176.       0.74       0.14                      A0113  2  236 
        74.       172.       3.05       0.59                      A0113  2  237 
        74.       171.       3.27       0.64                      A0113  2  238 
        74.       168.       1.44       0.27                      A0113  2  239 
        74.       167.       1.07        0.2                      A0113  2  240 
        74.       166.       0.38       0.07                      A0113  2  241 
        72.       170.       1.18       0.23                      A0113  2  242 
        72.       169.       1.54        0.3                      A0113  2  243 
        72.       160.       0.12       0.03                      A0113  2  244 
        72.       159.      0.035       0.01                      A0113  2  245 
        71.       168.       0.87       0.17                      A0113  2  246 
        71.       167.       1.15       0.23                      A0113  2  247 
        71.       166.       1.43       0.28                      A0113  2  248 
        71.       164.       2.51       0.54                      A0113  2  249 
        71.       163.       3.36       0.66                      A0113  2  250 
        71.       162.       2.89       0.59                      A0113  2  251 
