ENTRY            A1492   19990324                             0000A149200000001 
SUBENT        A1492001   19990324                             0000A149200100001 
BIB                 13         30                                 A149200100002 
INSTITUTE  (2JPNTOH)                                              A149200100003 
REFERENCE  (J,JPJ,29,(3),533,197009)                              A149200100004 
AUTHOR     (H.ORIHARA,M.BABA,M.AKIYAMA,S.IWASAKI,T.NAKAGAWA,      A149200100005 
           H.UENO,M.WATANABE)                                     A149200100006 
TITLE      The (3He,alpha) reaction on 7Li from 5.0 to 8.0 mev    A149200100007 
FACILITY   (VDG)                                                  A149200100008 
INC-SPECT  Energy resolution of the beam                          A149200100009 
SAMPLE     Evaporating natural metallic lithium onto a thin carbonA149200100010 
           foil and had a thickness of 4.5 microg/cm**2           A149200100011 
DETECTOR   (SOLST) The solid angle of the detector was            A149200100012 
            (2.10-+0.04)*10**(-3) ster., which determined from    A149200100013 
           the Coulomb scattering of protons by silver foil of    A149200100014 
           known thickness at Ep=3.0 MeV.                         A149200100015 
           A monitor detector was at 120 degr.                    A149200100016 
MONITOR    (3-LI-6(P,EL)3-LI-6,,DA) Target thickness obtained by  A149200100017 
           measuring the elastic scattering of protons (0.9-1.3)  A149200100018 
           mev at the 160 degr. at lab. system and comparing      A149200100019 
           these yield with the elastic scattering data of        A149200100020 
           Warters (see REL-REF)                                  A149200100021 
MONIT-REF  (A1401001,WARTERS+,J,PR,91,917,1953)                   A149200100022 
ERR-ANALYS (ERR-T) The uncertainty in the absolute cross section  A149200100023 
           (DATA-ERR) From graphic bars (statistical) and         A149200100024 
           digitizing error                                       A149200100025 
CRITIQUE   In the text (p.534) the authors gave the value         A149200100026 
            (2.49+-0.37)mb/sr for the cross section of the        A149200100027 
           7Li(He3,alpha0)6Li reaction at 160 degr.lab. and 6 MeV A149200100028 
           bombarding energy. But on the figure the value of the  A149200100029 
           appropriated cross section equal 3.0 mb/sr.            A149200100030 
HISTORY    (19800812C) Compilation Produced by RFNC-VNIIEF Sarov  A149200100031 
           (19990321U)CNPD: corrected 4-dig. year and lower cases.A149200100032 
ENDBIB              30          0                                 A149200100033 
COMMON               2          3                                 A149200100034 
EN-RSL     ERR-T                                                  A149200100035 
PER-CENT   PER-CENT                                               A149200100036 
 0.1         15.0                                                 A149200100037 
ENDCOMMON            3          0                                 A149200100038 
ENDSUBENT           37          0                                 A149200199999 
SUBENT        A1492002   19990324                             0000A149200200001 
BIB                  3          3                                 A149200200002 
REACTION   (3-LI-7(HE3,A)3-LI-6,PAR,DA,,,EXP)                     A149200200003 
ERR-ANALYS (EN-ERR) Digitizing error                              A149200200004 
STATUS     (CURVE) Fig 3 points                                   A149200200005 
ENDBIB               3          0                                 A149200200006 
COMMON               1          3                                 A149200200007 
EN-ERR                                                            A149200200008 
MEV                                                               A149200200009 
 0.001                                                            A149200200010 
ENDCOMMON            3          0                                 A149200200011 
DATA                 5        239                                 A149200200012 
EN         ANG        E-LVL      DATA       DATA-ERR              A149200200013 
     5.696    160.         0.         2.908      0.333            A149200200075 
     5.738     20.         0.         3.386      0.0476           A149200200076 
     5.738    160.         3.56       1.899      0.1837           A149200200077 
     5.743     20.         2.18       2.093      0.0471           A149200200078 
     5.744     20.         3.56       1.058      0.0471           A149200200079 
     5.748    160.         0.         3.148      0.3333           A149200200080 
     5.785     20.         0.         3.292      0.0476           A149200200081 
     5.795    160.         0.         2.959      0.381            A149200200082 
     5.795    160.         3.56       1.902      0.2307           A149200200083 
     5.8       20.         2.18       2.143      0.0471           A149200200084 
     5.833     20.         0.         2.961      0.0476           A149200200085 
     5.842    160.         0.         3.056      0.3809           A149200200086 
     5.847     20.         2.18       2.239      0.0471           A149200200087 
     5.847    160.         3.56       1.858      0.1842           A149200200088 
     5.885    160.         0.         2.867      0.3337           A149200200089 
     5.89      20.         0.         3.01       0.0476           A149200200090 
     5.899    160.         3.56       1.584      0.1846           A149200200091 
     5.922     20.         2.18       2.29       0.0471           A149200200092 
     5.941    160.         3.56       1.632      0.1841           A149200200093 
     5.946     20.         0.         3.489      0.0476           A149200200094 
     5.946    160.         0.         2.87       0.0476           A149200200095 
     5.98      20.         3.56       1.022      0.0471           A149200200096 
     5.988    160.         3.56       1.773      0.1841           A149200200097 
     5.989    160.         0.         3.014      0.333            A149200200098 
     5.994     20.         0.         3.443      0.0476           A149200200099 
     6.002     20.         2.18       2.529      0.1887           A149200200100 
     6.036    160.         3.56       1.59       0.0918           A149200200101 
     6.041     20.         0.         3.254      0.0476           A149200200102 
     6.041    160.         0.         3.445      0.3333           A149200200103 
     6.046     20.         3.56       1.119      0.0471           A149200200104 
     6.054     20.         2.18       2.532      0.0471           A149200200105 
     6.083    160.         3.56       1.685      0.1842           A149200200106 
     6.088     20.         0.         3.351      0.0476           A149200200107 
     6.093    160.         0.         3.161      0.2377           A149200200108 
     6.102     20.         2.18       2.252      0.0471           A149200200109 
     6.135    160.         3.56       1.549      0.2308           A149200200110 
     6.145     20.         0.         3.02       0.0476           A149200200111 
     6.145    160.         0.         3.163      0.0476           A149200200112 
     6.177     20.         2.18       2.114      0.0471           A149200200113 
     6.192     20.         0.         3.212      0.0476           A149200200114 
     6.196    160.         3.56       1.967      0.2303           A149200200115 
     6.243     20.         2.18       1.976      0.3295           A149200200116 
     6.248    160.         3.56       1.554      0.2769           A149200200117 
     6.249     20.         0.         2.976      0.0476           A149200200118 
     6.285    160.         3.56       1.925      0.2307           A149200200119 
     6.29      20.         2.18       2.261      0.0471           A149200200120 
     6.296     20.         0.         3.168      0.0476           A149200200121 
     6.338    160.         3.56       1.697      0.2303           A149200200122 
     6.342     20.         2.18       2.451      0.1887           A149200200123 
     6.344     20.         0.         3.313      0.0476           A149200200124 
     6.382     20.         0.         3.028      0.0476           A149200200125 
     6.389    160.         3.56       1.791      0.1846           A149200200126 
     6.403     20.         2.18       2.737      0.0471           A149200200127 
     6.429     20.         0.         2.887      0.0476           A149200200128 
     6.436    160.         3.56       1.978      0.1846           A149200200129 
     6.45      20.         2.18       2.41       0.0471           A149200200130 
     6.491     20.         0.         2.89       0.3806           A149200200131 
     6.507     20.         2.18       2.553      0.0471           A149200200132 
     6.524     20.         0.         3.034      0.0476           A149200200133 
     6.554     20.         2.18       2.132      0.0471           A149200200134 
     6.59      20.         0.         3.036      0.0476           A149200200135 
     6.601     20.         2.18       2.276      0.0471           A149200200136 
     6.647     20.         0.         2.61       0.0476           A149200200137 
     6.658     20.         2.18       2.373      0.0471           A149200200138 
     6.694     20.         0.         2.754      0.0476           A149200200139 
     6.701    160.         3.56       1.483      0.0461           A149200200140 
     6.705     20.         2.18       2.469      0.0471           A149200200141 
     6.732     20.         0.         2.613      0.0476           A149200200142 
     6.748    160.         3.56       1.393      0.0461           A149200200143 
     6.752     20.         2.18       2.236      0.0471           A149200200144 
     6.754     20.         3.56       0.9652     0.0471           A149200200145 
     6.789     20.         0.         2.519      0.0476           A149200200146 
     6.8      160.         3.56       1.534      0.2764           A149200200147 
     6.801     20.         3.56       0.8263     0.0471           A149200200148 
     6.809     20.         2.18       2.333      0.0471           A149200200149 
     6.842    160.         3.56       1.951      0.1846           A149200200150 
     6.845     20.         0.         2.617      0.0476           A149200200151 
     6.848     20.         3.56       1.158      0.0471           A149200200152 
     6.856     20.         2.18       2.57       0.0471           A149200200153 
     6.893     20.         0.         2.476      0.0476           A149200200154 
     6.895     20.         3.56       0.8779     0.0471           A149200200155 
     6.899    160.         3.56       1.723      0.2307           A149200200156 
     6.902    160.         0.         3.238      0.0476           A149200200157 
     6.903     20.         2.18       2.384      0.0471           A149200200158 
     6.94      20.         0.         2.144      0.0476           A149200200159 
     6.941     20.         2.18       2.527      0.0471           A149200200160 
     6.942     20.         3.56       1.021      0.0471           A149200200161 
     6.946    160.         3.56       1.772      0.1846           A149200200162 
     6.964    160.         0.         3.097      0.333            A149200200163 
     6.987     20.         0.         2.384      0.0476           A149200200164 
     6.999     20.         3.56       0.93       0.0471           A149200200165 
     7.026     20.         2.18       2.626      0.0471           A149200200166 
     7.044     20.         0.         2.148      0.0476           A149200200167 
     7.045    160.         3.56       1.915      0.185            A149200200168 
     7.056     20.         3.56       0.8857     0.0471           A149200200169 
     7.058    160.         0.         3.291      0.429            A149200200170 
     7.092     20.         2.18       2.488      0.0471           A149200200171 
     7.093     20.         3.56       1.029      0.0471           A149200200172 
     7.097    160.         3.56       1.594      0.2307           A149200200173 
     7.101     20.         0.         2.293      0.0476           A149200200174 
     7.115    160.         0.         3.341      0.3337           A149200200175 
     7.141     20.         3.56       0.8898     0.0471           A149200200176 
     7.144    160.         3.56       1.55       0.0461           A149200200177 
     7.148     20.         0.         2.39       0.0476           A149200200178 
     7.158     20.         2.18       2.82       0.0471           A149200200179 
     7.158    160.         0.         3.438      0.4286           A149200200180 
     7.197     20.         3.56       0.8454     0.0471           A149200200181 
     7.205     20.         0.         2.154      0.0476           A149200200182 
     7.205     20.         2.18       2.587      0.0471           A149200200183 
     7.214    160.         0.         3.44       0.3809           A149200200184 
     7.243     20.         2.18       2.401      0.0471           A149200200185 
     7.254     20.         3.56       0.754      0.0471           A149200200186 
     7.257    160.         3.56       1.74       0.0461           A149200200187 
     7.262    160.         0.         3.394      0.0476           A149200200188 
     7.3       20.         0.         2.205      0.0476           A149200200189 
     7.305    160.         3.56       1.835      0.0461           A149200200190 
     7.309     20.         2.18       2.545      0.0471           A149200200191 
     7.319    160.         0.         3.348      0.0476           A149200200192 
     7.329     20.         3.56       1.04       0.0471           A149200200193 
     7.347     20.         0.         2.111      0.0476           A149200200194 
     7.347    160.         3.56       1.791      0.2303           A149200200195 
     7.356     20.         2.18       2.971      0.0471           A149200200196 
     7.375    160.         0.         3.398      0.0476           A149200200197 
     7.394     20.         0.         1.923      0.2857           A149200200198 
     7.395     20.         3.56       1.09       0.0471           A149200200199 
     7.408    160.         3.56       1.563      0.2307           A149200200200 
     7.412     20.         2.18       2.738      0.0471           A149200200201 
     7.423    160.         0.         3.352      0.4286           A149200200202 
     7.47     160.         0.         3.544      0.381            A149200200203 
     7.498     20.         0.         2.117      0.2857           A149200200204 
     7.498    160.         3.56       1.383      0.1841           A149200200205 
     7.499     20.         3.56       1.048      0.0471           A149200200206 
     7.507     20.         2.18       2.649      0.0471           A149200200207 
     7.517    160.         0.         3.594      0.4286           A149200200208 
     7.536     20.         0.         2.071      0.0476           A149200200209 
     7.549     20.         2.18       2.839      0.329            A149200200210 
     7.554    160.         3.56       1.847      0.1842           A149200200211 
     7.555     20.         3.56       1.145      0.0471           A149200200212 
     7.565    160.         0.         3.548      0.381            A149200200213 
     7.584     20.         0.         2.025      0.0476           A149200200214 
     7.606    160.         3.56       1.757      0.1846           A149200200215 
     7.61      20.         2.18       3.03       0.0471           A149200200216 
     7.64      20.         0.         1.789      0.0476           A149200200217 
     7.658     20.         2.18       2.891      0.0471           A149200200218 
     7.658    160.         3.56       1.759      0.1851           A149200200219 
     7.669     20.         3.56       0.9153     0.0471           A149200200220 
     7.669    160.         0.         3.504      0.0476           A149200200221 
     7.688     20.         0.         1.695      0.0476           A149200200222 
     7.705     20.         2.18       2.706      0.0471           A149200200223 
     7.707    160.         0.         3.505      0.0476           A149200200224 
     7.716     20.         3.56       1.153      0.0471           A149200200225 
     7.72     160.         3.56       1.762      0.1845           A149200200226 
     7.744     20.         0.         1.697      0.0476           A149200200227 
     7.752     20.         2.18       2.755      0.0471           A149200200228 
     7.753    160.         3.56       1.718      0.2303           A149200200229 
     7.768    160.         0.         3.651      0.3806           A149200200230 
     7.772     20.         3.56       1.203      0.0471           A149200200231 
     7.792     20.         0.         1.794      0.0476           A149200200232 
     7.8      160.         3.56       1.535      0.1389           A149200200233 
     7.801     20.         3.56       0.8275     0.0471           A149200200234 
     7.809     20.         2.18       2.805      0.0471           A149200200235 
     7.815    160.         0.         3.414      0.2377           A149200200236 
     7.849     20.         0.         1.511      0.0476           A149200200237 
     7.856     20.         2.18       2.713      0.0471           A149200200238 
     7.857    160.         3.56       1.677      0.1841           A149200200239 
     7.877    160.         0.         3.94       0.3809           A149200200240 
     7.905     20.         0.         1.846      0.0476           A149200200241 
     7.913    160.         3.56       1.494      0.1389           A149200200242 
     7.922     20.         2.18       2.857      0.0471           A149200200243 
     7.924    160.         0.         3.751      0.381            A149200200244 
     7.953     20.         0.         1.61       0.0476           A149200200245 
     7.956    160.         3.56       1.727      0.2307           A149200200246 
     7.959     20.         2.18       3.047      0.0471           A149200200247 
     7.967    160.         0.         3.705      0.3813           A149200200248 
     7.999     20.         3.56       0.8842     0.0471           A149200200249 
     8.003    160.         3.56       1.776      0.0461           A149200200250 
     8.006     20.         2.18       2.955      0.3294           A149200200251 
     8.014     20.         0.         1.422      0.2377           A149200200252 
     8.028    160.         0.         3.612      0.0476           A149200200253 
ENDDATA            241          0                                 A149200200254 
ENDSUBENT          253          0                                 A149200299999 
SUBENT        A1492003   19990324                             0000A149200300001 
BIB                  3          3                                 A149200300002 
REACTION   (3-LI-7(HE3,A)3-LI-6,PAR,DA,,,EXP)                     A149200300003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A149200300004 
STATUS     (CURVE) Fig 4,5                                        A149200300005 
ENDBIB               3          0                                 A149200300006 
COMMON               1          3                                 A149200300007 
ANG-ERR                                                           A149200300008 
ADEG                                                              A149200300009 
1.5                                                               A149200300010 
ENDCOMMON            3          0                                 A149200300011 
DATA                 5        157                                 A149200300012 
EN         ANG-CM     E-LVL      DATA-CM    DATA-ERR              A149200300013 
MEV        ADEG       MEV        MB/SR      MB/SR                 A149200300014 
     6.        11.78       2.18       1.754      0.0373           A149200300015 
     6.        14.39       0.         2.586      0.0248           A149200300016 
     6.        15.35       3.56       0.4832     0.0269           A149200300017 
     6.        16.96       2.18       1.455      0.0373           A149200300018 
     6.        19.14       0.         2.217      0.0248           A149200300019 
     6.        22.19       3.56       0.5906     0.0269           A149200300020 
     6.        23.84       2.18       1.306      0.0373           A149200300021 
     6.        25.56       0.         2.295      0.0248           A149200300022 
     6.        25.63       3.56       0.4832     0.0269           A149200300023 
     6.        28.93       2.18       1.754      0.0373           A149200300024 
     6.        31.09       0.         2.199      0.0248           A149200300025 
     6.        37.49       2.18       1.866      0.0373           A149200300026 
     6.        37.76       0.         2.054      0.0248           A149200300027 
     6.        39.29       3.56       0.8322     0.0269           A149200300028 
     6.        40.9        2.18       1.978      0.0373           A149200300029 
     6.        42.73       3.56       0.7517     0.0269           A149200300030 
     6.        43.23       0.         2.007      0.0248           A149200300031 
     6.        49.49       2.18       1.828      0.0373           A149200300032 
     6.        49.82       0.         1.937      0.0248           A149200300033 
     6.        53.01       3.56       0.8054     0.0269           A149200300034 
     6.        55.54       0.         1.667      0.0248           A149200300035 
     6.        56.36       2.18       1.754      0.0373           A149200300036 
     6.        58.16       3.56       0.7517     0.0269           A149200300037 
     6.        62.27       0.         1.472      0.0248           A149200300038 
     6.        63.21       2.18       1.828      0.0373           A149200300039 
     6.        65.05       3.56       0.5638     0.0269           A149200300040 
     6.        66.66       2.18       1.642      0.0373           A149200300041 
     6.        66.71       0.         1.376      0.0248           A149200300042 
     6.        68.51       3.56       0.349      0.0269           A149200300043 
     6.        72.44       0.         1.106      0.0248           A149200300044 
     6.        73.54       2.18       1.455      0.0373           A149200300045 
     6.        77.07       3.56       0.4295     0.0269           A149200300046 
     6.        78.69       2.18       1.343      0.0373           A149200300047 
     6.        79.05       0.         1.011      0.0248           A149200300048 
     6.        82.26       3.56       0.1879     0.0269           A149200300049 
     6.        83.64       0.         0.7903     0.0248           A149200300050 
     6.        85.55       2.18       1.343      0.0373           A149200300051 
     6.        87.4        3.56       0.1879     0.0269           A149200300052 
     6.        89.14       0.         0.719      0.0248           A149200300053 
     6.        90.68       2.18       1.455      0.0373           A149200300054 
     6.        92.54       3.56       0.1879     0.0269           A149200300055 
     6.        96.73       0.         0.7233     0.0248           A149200300056 
     6.        97.56       2.18       1.306      0.0373           A149200300057 
     6.        97.68       3.56       0.1879     0.0269           A149200300058 
     6.        99.81       0.         0.8738     0.0248           A149200300059 
     6.       101.         2.18       1.492      0.0373           A149200300060 
     6.       102.8        3.56       0.1074     0.0269           A149200300061 
     6.       106.1        2.18       1.306      0.0373           A149200300062 
     6.       106.2        0.         0.9765     0.0248           A149200300063 
     6.       111.4        0.         1.153      0.0248           A149200300064 
     6.       113.         2.18       1.492      0.0373           A149200300065 
     6.       116.4        2.18       1.343      0.0373           A149200300066 
     6.       117.9        0.         1.206      0.0248           A149200300067 
     6.       120.1        0.         1.133      0.0248           A149200300068 
     6.       121.7        3.56       0.2685     0.0269           A149200300069 
     6.       123.3        2.18       0.7836     0.0373           A149200300070 
     6.       124.4        0.         1.21       0.0248           A149200300071 
     6.       126.8        3.56       0.3221     0.0269           A149200300072 
     6.       133.9        0.         1.438      0.0248           A149200300073 
     6.       138.7        3.56       0.6443     0.0269           A149200300074 
     6.       138.9        0.         1.764      0.0248           A149200300075 
     6.       140.5        2.18       0.597      0.0373           A149200300076 
     6.       141.9        0.         1.964      0.0248           A149200300077 
     6.       142.2        2.18       0.8582     0.0373           A149200300078 
     6.       144.7        0.         2.387      0.0248           A149200300079 
     6.       145.5        3.56       1.074      0.0269           A149200300080 
     6.       145.6        2.18       0.8209     0.0373           A149200300081 
     6.       149.5        0.         2.935      0.0248           A149200300082 
     6.       150.7        2.18       1.007      0.0373           A149200300083 
     6.       152.4        2.18       1.082      0.0373           A149200300084 
     6.       154.4        0.         3.433      0.0248           A149200300085 
     6.       155.7        3.56       1.772      0.0269           A149200300086 
     6.       157.6        2.18       1.007      0.0373           A149200300087 
     6.       159.         0.         4.105      0.0248           A149200300088 
     6.       160.7        3.56       2.362      0.0269           A149200300089 
     6.       161.         2.18       1.269      0.0373           A149200300090 
     6.       162.4        3.56       2.899      0.0269           A149200300091 
     6.       162.7        0.         4.727      0.0248           A149200300092 
     6.       164.4        2.18       1.343      0.0373           A149200300093 
     6.       165.4        0.         5.2        0.0248           A149200300094 
     6.       167.4        3.56       3.329      0.0269           A149200300095 
     6.       169.1        3.56       3.517      0.0269           A149200300096 
     6.       169.8        0.         6.095      0.0248           A149200300097 
     6.       171.3        2.18       1.231      0.0373           A149200300098 
     6.       173.         2.18       0.8955     0.0373           A149200300099 
     6.       174.2        3.56       3.705      0.0269           A149200300100 
     7.5       11.8        0.         2.324      0.0309           A149200300101 
     7.5       14.77       2.18       2.437      0.0469           A149200300102 
     7.5       15.03       3.56       0.5391     0.0234           A149200300103 
     7.5       17.62       0.         1.772      0.0309           A149200300104 
     7.5       20.12       3.56       0.3281     0.0234           A149200300105 
     7.5       21.51       2.18       1.734      0.0469           A149200300106 
     7.5       21.76       3.56       0.5156     0.0234           A149200300107 
     7.5       24.32       0.         1.437      0.0309           A149200300108 
     7.5       24.83       2.18       1.875      0.0469           A149200300109 
     7.5       28.47       3.56       0.6562     0.0234           A149200300110 
     7.5       30.51       0.         1.658      0.0309           A149200300111 
     7.5       34.82       2.18       1.922      0.0469           A149200300112 
     7.5       36.76       0.         1.817      0.0309           A149200300113 
     7.5       38.54       3.56       0.75       0.0234           A149200300114 
     7.5       39.81       2.18       2.062      0.0469           A149200300115 
     7.5       41.81       0.         2.13       0.0309           A149200300116 
     7.5       44.8        2.18       2.109      0.0469           A149200300117 
     7.5       45.27       3.56       0.7734     0.0234           A149200300118 
     7.5       50.52       0.         1.92       0.0309           A149200300119 
     7.5       51.5        2.18       1.781      0.0469           A149200300120 
     7.5       52.04       3.56       0.5625     0.0234           A149200300121 
     7.5       56.52       2.18       1.547      0.0469           A149200300122 
     7.5       58.2        0.         1.678      0.0309           A149200300123 
     7.5       58.78       3.56       0.4687     0.0234           A149200300124 
     7.5       61.54       2.18       1.359      0.0469           A149200300125 
     7.5       63.87       3.56       0.2578     0.0234           A149200300126 
     7.5       64.64       0.         1.621      0.0309           A149200300127 
     7.5       68.22       2.18       1.219      0.0469           A149200300128 
     7.5       69.32       0.         1.161      0.0309           A149200300129 
     7.5       70.62       3.56       0.1406     0.0234           A149200300130 
     7.5       72.73       0.         0.916      0.0309           A149200300131 
     7.5       74.9        2.18       1.031      0.0469           A149200300132 
     7.5       75.69       3.56       0.0469     0.0234           A149200300133 
     7.5       84.91       2.18       0.9844     0.0469           A149200300134 
     7.5       96.53       2.18       1.406      0.0469           A149200300135 
     7.5       96.55       0.         0.5005     0.0309           A149200300136 
     7.5      105.6        0.         1.063      0.0309           A149200300137 
     7.5      107.6        3.56       0.0938     0.0234           A149200300138 
     7.5      108.2        2.18       1.406      0.0469           A149200300139 
     7.5      115.2        0.         1.132      0.0309           A149200300140 
     7.5      117.7        3.56       0.3047     0.0234           A149200300141 
     7.5      123.5        0.         1.292      0.0309           A149200300142 
     7.5      126.6        2.18       1.078      0.0469           A149200300143 
     7.5      127.8        0.         1.264      0.0309           A149200300144 
     7.5      127.8        3.56       0.4687     0.0234           A149200300145 
     7.5      132.2        0.         1.113      0.0309           A149200300146 
     7.5      136.6        2.18       0.2812     0.0469           A149200300147 
     7.5      137.6        0.         1.117      0.0309           A149200300148 
     7.5      146.8        0.         2.637      0.0309           A149200300149 
     7.5      149.6        3.56       0.5859     0.0234           A149200300150 
     7.5      151.2        3.56       1.031      0.0234           A149200300151 
     7.5      151.5        0.         3.412      0.0309           A149200300152 
     7.5      151.6        2.18       0.5625     0.0469           A149200300153 
     7.5      153.9        0.         4.31       0.0309           A149200300154 
     7.5      156.1        3.56       1.594      0.0234           A149200300155 
     7.5      156.6        2.18       1.078      0.0469           A149200300156 
