ENTRY            A1253   20120327                             A077A125300000001 
SUBENT        A1253001   20120327                             A077A125300100001 
BIB                  7         12                                 A125300100002 
INSTITUTE  (4RUSJIA)                                              A125300100003 
REFERENCE  (J,YF,29,(5),1137,1979)                                A125300100004 
           (J,SNP,29,585,1979) English translation                A125300100005 
AUTHOR     (I.Ja.Barit,Ju.G.Balashko,L.S.Dulkova,V.P.Zavarzina)   A125300100006 
TITLE      D-helium differential cross section scattering         A125300100007 
           in deuteron energy range 870 to 1430 keV               A125300100008 
FACILITY   (VDG)                                                  A125300100009 
SAMPLE     Gas targets- 4He (four series of exp.) and  4He+H.     A125300100010 
HISTORY    (19881214C) compilation produced by Arzamas RFNC-VNIIEFA125300100011 
           (19990315U)cnpd: corrected 4-dig. year and lower cases.A125300100012 
           (20120327A) BIB section upgrated                       A125300100013 
           English translation of 'YF' was added-sb               A125300100014 
ENDBIB              12          0                                 A125300100015 
NOCOMMON             0          0                                 A125300100016 
ENDSUBENT           15          0                                 A125300199999 
SUBENT        A1253002   19990322                             0000A125300200001 
BIB                  3          5                                 A125300200002 
REACTION   (2-HE-4(D,EL)2-HE-4,,DA,,,EXP)                         A125300200003 
ERR-ANALYS (EN-ERR) Digitizing error                              A125300200004 
           (DATA-ERR) Digitizing error                            A125300200005 
           (ERR-T) Absolute error                                 A125300200006 
STATUS     (CURVE) Fig 2                                          A125300200007 
ENDBIB               5          0                                 A125300200008 
COMMON               1          3                                 A125300200009 
EN-ERR                                                            A125300200010 
MEV                                                               A125300200011 
  0.001                                                           A125300200012 
ENDCOMMON            3          0                                 A125300200013 
DATA                 5        302                                 A125300200014 
EN         ANG-CM     ERR-T      DATA-CM    DATA-ERR              A125300200015 
     1.044     48.9        6.         0.641      0.0386           A125300200135 
     1.045     38.75       6.         1.151      0.0124           A125300200136 
     1.046     48.9        6.         0.7024     0.0065           A125300200137 
     1.046     60.25       6.         0.4042     0.0123           A125300200138 
     1.048     48.9        6.         0.7254     0.0308           A125300200139 
     1.048     90.         6.         0.1685     0.0007           A125300200140 
     1.048    125.        10.         0.272      0.003            A125300200141 
     1.049    125.        10.         0.2978     0.003            A125300200142 
     1.05      38.75       6.         1.092      0.0734           A125300200143 
     1.05      60.25       6.         0.4256     0.0092           A125300200144 
     1.051     48.9        6.         0.7867     0.0308           A125300200145 
     1.051     90.         6.         0.1579     0.0007           A125300200146 
     1.053     60.25       6.         0.4532     0.0123           A125300200147 
     1.054     38.75       6.         1.238      0.0736           A125300200148 
     1.054     48.9        6.         0.7942     0.0308           A125300200149 
     1.055     38.75       6.         1.297      0.0124           A125300200150 
     1.055    125.        10.         0.3107     0.0258           A125300200151 
     1.056     38.75       6.         1.399      0.0587           A125300200152 
     1.056     48.9        6.         0.848      0.0065           A125300200153 
     1.057     48.9        6.         0.8709     0.0065           A125300200154 
     1.058     38.75       6.         1.414      0.0732           A125300200155 
     1.058     90.         6.         0.1534     0.0007           A125300200156 
     1.059     60.25       6.         0.4747     0.0153           A125300200157 
     1.06      48.9        6.         0.9015     0.0065           A125300200158 
     1.061    125.        10.         0.3559     0.0193           A125300200159 
     1.062     48.9        6.         1.001      0.0065           A125300200160 
     1.062     60.25       6.         0.4809     0.0092           A125300200161 
     1.062     90.         6.         0.1398     0.003            A125300200162 
     1.062    125.        10.         0.4011     0.0194           A125300200163 
     1.063     38.75       6.         1.531      0.0441           A125300200164 
     1.064     38.75       6.         1.707      0.0124           A125300200165 
     1.065     48.9        6.         0.9627     0.0065           A125300200166 
     1.065     90.         6.         0.1201     0.0061           A125300200167 
     1.067     48.9        6.         0.9857     0.0065           A125300200168 
     1.067     60.25       6.         0.487      0.0123           A125300200169 
     1.067    125.        10.         0.4269     0.0322           A125300200170 
     1.068     60.25       6.         0.4686     0.0123           A125300200171 
     1.069     38.75       6.         1.824      0.0124           A125300200172 
     1.07      48.9        6.         1.001      0.0065           A125300200173 
     1.07      90.         6.         0.1034     0.0007           A125300200174 
     1.071     38.75       6.         1.75       0.0124           A125300200175 
     1.072     38.75       6.         1.867      0.0587           A125300200176 
     1.072    125.        10.         0.4527     0.0323           A125300200177 
     1.073     48.9        6.         1.031      0.0065           A125300200178 
     1.073     60.25       6.         0.4594     0.0123           A125300200179 
     1.075     38.75       6.         1.867      0.0124           A125300200180 
     1.075     90.         6.         0.0989     0.0045           A125300200181 
     1.075    125.        10.         0.4721     0.0258           A125300200182 
     1.076     48.9        6.         1.008      0.0065           A125300200183 
     1.076     60.25       6.         0.4257     0.0123           A125300200184 
     1.077     38.75       6.         1.764      0.0732           A125300200185 
     1.079     48.9        6.         0.9849     0.0065           A125300200186 
     1.079     90.         6.         0.0747     0.0007           A125300200187 
     1.079    125.        10.         0.4334     0.0194           A125300200188 
     1.082     48.9        6.         0.9231     0.0615           A125300200189 
     1.082     60.25       6.         0.3859     0.0153           A125300200190 
     1.083     38.75       6.         1.807      0.0734           A125300200191 
     1.087     38.75       6.         1.792      0.0736           A125300200192 
     1.087     60.25       6.         0.3736     0.0245           A125300200193 
     1.087     90.         6.         0.0732     0.0007           A125300200194 
     1.087    125.        10.         0.4012     0.0258           A125300200195 
     1.088     48.9        6.         0.8612     0.0385           A125300200196 
     1.092     38.75       6.         1.688      0.0124           A125300200197 
     1.092     48.9        6.         0.807      0.0461           A125300200198 
     1.092     60.25       6.         0.3521     0.0014           A125300200199 
     1.092     90.         6.         0.0777     0.0007           A125300200200 
     1.093     38.75       6.         1.615      0.0881           A125300200201 
     1.093    125.        10.         0.3238     0.0323           A125300200202 
     1.095     38.75       6.         1.585      0.0124           A125300200203 
     1.095     90.         6.         0.808      0.0007           A125300200204 
     1.096     60.25       6.         0.3154     0.0153           A125300200205 
     1.097     48.9        6.         0.7529     0.0385           A125300200206 
     1.098     38.75       6.         1.467      0.1175           A125300200207 
     1.098     90.         6.         0.0853     0.0007           A125300200208 
     1.099     38.75       6.         1.497      0.0124           A125300200209 
     1.1       48.9        6.         0.6988     0.0065           A125300200210 
     1.101     90.         6.         0.0899     0.0007           A125300200211 
     1.101    125.        10.         0.2723     0.0258           A125300200212 
     1.102     38.75       6.         1.467      0.0124           A125300200213 
     1.102     60.25       6.         0.3092     0.0153           A125300200214 
     1.104     48.9        6.         0.6754     0.0065           A125300200215 
     1.106     48.9        6.         0.6676     0.0461           A125300200216 
     1.106     90.         6.         0.0959     0.0076           A125300200217 
     1.106    125.        10.         0.2594     0.003            A125300200218 
