ENTRY            A0301   19870425                             0000A030100000001 
SUBENT        A0301001   19870425                             0000A030100100001 
BIB                  9         17                                 A030100100002 
INSTITUTE  (4CCPFEI)                                              A030100100003 
REFERENCE  (C,83KIEV,3,283,84)                                    A030100100004 
AUTHOR     (N.S.BIRYUKOV, B.V.ZHURAVLEV, A.P.RUDENKO,             A030100100005 
           O.A.SALNIKOV, V.I.TRYKOVA)                             A030100100006 
TITLE      NEUTRONS FROM (D,N) REACTION ON 115IN.                 A030100100007 
FACILITY   (CYCLO,4CCPFEI)                                        A030100100008 
METHOD     (TOF,BCINT,SITA)                                       A030100100009 
PART-DET   (N)                                                    A030100100010 
ERR-ANALYS (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.         A030100100011 
           (DATA-ERR).TOTAL UNCERTAINTY.                          A030100100012 
HISTORY    (860215C).BY AUTHORS.                                  A030100100013 
           (860517T).BY CAJAD.                                    A030100100014 
           (860620L).                                             A030100100015 
           (860915U)                                              A030100100016 
           (870422A). ACCORDING TO MEMO CP-D/161.                 A030100100017 
           (860915U)                                              A030100100018 
           (870425U)                                              A030100100019 
ENDBIB              17          0                                 A030100100020 
COMMON               2          3                                 A030100100021 
EN         EN-ERR                                                 A030100100022 
MEV        MEV                                                    A030100100023 
    22.3        0.3                                               A030100100024 
ENDCOMMON            3          0                                 A030100100025 
ENDSUBENT           24          0                                 A030100199999 
SUBENT        A0301002   19870425                             0000A030100200001 
BIB                  2          2                                 A030100200002 
REACTION   (49-IN-115(D,X)0-NN-1,,DA/DE,,,EXP)                    A030100200003 
SAMPLE     IN-115(99.98 PERCENT).THICKNESS OF FOIL=4.00E-3G/CM**2 A030100200004 
ENDBIB               2          0                                 A030100200005 
NOCOMMON             0          0                                 A030100200006 
DATA                 4        343                                 A030100200007 
E          ANG        DATA       DATA-ERR                         A030100200008 
MEV        ADEG       MB/SR/MEV  MB/SR/MEV                        A030100200009 
    6.22      90.         6.55       0.31                         A030100200142 
    6.22     120.         4.29       0.22                         A030100200143 
    6.22     150.         5.15       0.36                         A030100200144 
    6.41      30.        17.44       0.74                         A030100200145 
    6.41      60.         9.27       0.41                         A030100200146 
    6.41      90.         6.39       0.30                         A030100200147 
    6.41     120.         3.72       0.20                         A030100200148 
    6.41     150.         4.50       0.31                         A030100200149 
    6.61      30.        17.70       0.75                         A030100200150 
    6.61      60.         8.56       0.39                         A030100200151 
    6.61      90.         5.96       0.29                         A030100200152 
    6.61     120.         3.38       0.18                         A030100200153 
    6.61     150.         4.13       0.29                         A030100200154 
    6.82      30.        17.15       0.73                         A030100200155 
    6.82      60.         8.12       0.37                         A030100200156 
    6.82      90.         5.78       0.28                         A030100200157 
    6.82     120.         2.94       0.16                         A030100200158 
    6.82     150.         3.98       0.33                         A030100200159 
    6.97      30.        17.07       0.72                         A030100200160 
    6.97      60.         7.91       0.36                         A030100200161 
    6.97      90.         5.32       0.26                         A030100200162 
    6.97     120.         2.79       0.16                         A030100200163 
    6.97     150.         3.46       0.25                         A030100200164 
    7.19      30.        17.01       0.73                         A030100200165 
    7.19      60.         7.45       0.34                         A030100200166 
    7.19      90.         4.65       0.23                         A030100200167 
    7.19     120.         2.56       0.15                         A030100200168 
    7.19     150.         2.62       0.20                         A030100200169 
    7.43      30.        17.06       0.73                         A030100200170 
    7.43      60.         7.01       0.32                         A030100200171 
    7.43      90.         4.33       0.22                         A030100200172 
    7.43     120.         2.23       0.13                         A030100200173 
    7.43     150.         3.09       0.26                         A030100200174 
    7.60      30.        16.53       0.70                         A030100200175 
    7.60      60.         6.90       0.32                         A030100200176 
    7.60      90.         3.89       0.20                         A030100200177 
    7.60     120.         2.29       0.14                         A030100200178 
    7.60     150.         2.66       0.21                         A030100200179 
    7.77      30.        16.84       0.72                         A030100200180 
    7.77      60.         6.37       0.30                         A030100200181 
    7.77      90.         3.65       0.19                         A030100200182 
    7.77     120.         2.03       0.13                         A030100200183 
    7.77     150.         2.04       0.16                         A030100200184 
    7.95      30.        15.33       0.66                         A030100200185 
    7.95      60.         6.24       0.29                         A030100200186 
    7.95      90.         3.38       0.18                         A030100200187 
    7.95     120.         1.58       0.10                         A030100200188 
    7.95     150.         2.48       0.19                         A030100200189 
    8.13      30.        16.67       0.72                         A030100200190 
    8.13      60.         6.33       0.29                         A030100200191 
    8.13      90.         3.13       0.17                         A030100200192 
    8.13     120.         1.54       0.12                         A030100200193 
    8.13     150.         2.38       0.23                         A030100200194 
    8.32      30.        15.62       0.67                         A030100200195 
    8.32      60.         5.77       0.27                         A030100200196 
    8.32      90.         2.89       0.16                         A030100200197 
    8.32     120.         0.95       0.07                         A030100200198 
    8.32     150.         2.42       0.20                         A030100200199 
    8.51      30.        16.53       0.71                         A030100200200 
    8.51      60.         5.20       0.25                         A030100200201 
    8.51      90.         2.83       0.15                         A030100200202 
    8.51     120.         0.97       0.06                         A030100200203 
    8.51     150.         1.50       0.15                         A030100200204 
    8.71      30.        14.44       0.62                         A030100200205 
    8.71      60.         4.95       0.24                         A030100200206 
    8.71      90.         2.53       0.14                         A030100200207 
    8.71     120.         1.12       0.07                         A030100200208 
    8.71     150.         1.91       0.15                         A030100200209 
    8.93      30.        14.59       0.63                         A030100200210 
    8.93      60.         4.80       0.23                         A030100200211 
    8.93      90.         2.32       0.13                         A030100200212 
    8.93     120.         1.54       0.11                         A030100200213 
    8.93     150.         1.37       0.12                         A030100200214 
    9.14      30.        14.13       0.61                         A030100200215 
    9.14      60.         4.59       0.22                         A030100200216 
    9.14      90.         2.16       0.12                         A030100200217 
    9.14     120.         1.09       0.07                         A030100200218 
    9.14     150.         1.83       0.17                         A030100200219 
    9.37      30.        14.72       0.68                         A030100200220 
    9.37      60.         4.42       0.22                         A030100200221 
    9.37      90.         2.02       0.12                         A030100200222 
    9.37     120.         1.23       0.08                         A030100200223 
    9.37     150.         1.43       0.13                         A030100200224 
    9.60      30.        13.60       0.67                         A030100200225 
    9.60      60.         3.96       0.22                         A030100200226 
    9.60      90.         2.10       0.13                         A030100200227 
    9.60     120.         1.12       0.08                         A030100200228 
    9.60     150.         1.32       0.14                         A030100200229 
