     5.9       49.84      67.48       0.6942                      A103900300034 
     5.9       54.5       57.84       0.595                       A103900300035 
     5.9       59.84      51.12       0.5258                      A103900300036 
     5.9       65.18      48.03       0.4941                      A103900300037 
     5.9       70.08      43.33       0.4457                      A103900300038 
     5.9       75.2       42.42       0.4364                      A103900300039 
     5.9       79.88      41.96       0.4316                      A103900300040 
     5.9       85.01      41.5        0.4269                      A103900300041 
     5.9       90.14      41.47       0.4266                      A103900300042 
     7.91      23.89     435.5        4.489                       A103900300043 
     7.91      30.64     145.2        1.497                       A103900300044 
     7.91      34.79      90.52       0.9332                      A103900300045 
     7.91      39.83      64.48       0.6647                      A103900300046 
     7.91      44.89      51.95       0.5355                      A103900300047 
     7.91      49.73      43.6        0.4495                      A103900300048 
     7.91      54.36      40.55       0.4181                      A103900300049 
     7.91      59.88      38.1        0.3928                      A103900300050 
     7.91      64.73      36.17       0.3729                      A103900300051 
     7.91      69.59      36.15       0.3726                      A103900300052 
     7.91      74.44      35.02       0.3611                      A103900300053 
     7.91      79.97      35.72       0.3683                      A103900300054 
     7.91      85.04      34.26       0.3532                      A103900300055 
     7.91      89.46      34.95       0.3603                      A103900300056 
     9.92      24.08     232.2        2.399                       A103900300057 
     9.92      30.87      82.98       0.8574                      A103900300058 
     9.92      35.27      53.85       0.5564                      A103900300059 
     9.92      40.36      40.35       0.4169                      A103900300060 
     9.92      45.23      33.86       0.3498                      A103900300061 
     9.92      50.11      30.84       0.3187                      A103900300062 
     9.92      54.99      29.28       0.3025                      A103900300063 
     9.92      60.32      28.37       0.2931                      A103900300064 
     9.92      65.21      28.93       0.299                       A103900300065 
     9.92      70.33      29.51       0.3049                      A103900300066 
     9.92      75.22      31.05       0.3208                      A103900300067 
     9.92      80.33      30.71       0.3173                      A103900300068 
     9.92      85.22      31.32       0.3236                      A103900300069 
     9.92      90.11      30.98       0.3201                      A103900300070 
    11.93      24.01     121.4        1.249                       A103900300071 
    11.93      30.57      50.82       0.5227                      A103900300072 
    11.93      34.96      35.5        0.3651                      A103900300073 
    11.93      39.82      28.32       0.2913                      A103900300074 
    11.93      44.9       25.29       0.2601                      A103900300075 
    11.93      49.99      24.25       0.2495                      A103900300076 
    11.93      54.43      25.25       0.2597                      A103900300077 
    11.93      59.53      27.1        0.2788                      A103900300078 
    11.93      64.84      27.08       0.2786                      A103900300079 
    11.93      70.16      26.51       0.2727                      A103900300080 
    11.93      74.81      26.77       0.2753                      A103900300081 
    11.93      79.68      26.21       0.2696                      A103900300082 
    11.93      85.        27.         0.2778                      A103900300083 
    11.93      89.65      25.9        0.2664                      A103900300084 
ENDDATA             71          0                                 A103900300085 
ENDSUBENT           84          0                                 A103900399999 
ENDENTRY             3          0                                 A103999999999 
