ENTRY            A1486   19990324                             0000A148600000001 
SUBENT        A1486001   19990324                             0000A148600100001 
BIB                 12         24                                 A148600100002 
INSTITUTE  (1USARIC)                                              A148600100003 
REFERENCE  (J,NP,67,(3),517,196506)                               A148600100004 
AUTHOR     (P.D.FORSYTH,R.R.PERRY)                                A148600100005 
TITLE      The 7Li(HE3,ALPHA)6Li Reaction Between 1.3 and 5.5 MeV A148600100006 
FACILITY   (VDG)                                                  A148600100007 
SAMPLE     Metallic 7Li (99.99% PURITY) onto thin carbon foils    A148600100008 
           The various targets had thicknesses ranging between    A148600100009 
           30 and 60 mu-g/cm2 of lithium.                         A148600100010 
METHOD     (PHD)                                                  A148600100011 
DETECTOR   (SOLST)                                                A148600100012 
           A Fixed monitor counter at 90 degr. was used to check  A148600100013 
           target deterioration.                                  A148600100014 
MONITOR    (3-LI-7(P,EL)3-LI-7,,DA)                               A148600100015 
           For Li-7(HE3,A0)Li-6 Cross Sect. = 1.47+-0.2 Mb/Sr.    A148600100016 
MONIT-REF  (A1401001,WARTERS+,J,PR,91,917,1953) For Li-7          A148600100017 
           (,WEBB,J,PR,99,138,1955)   For F-19                    A148600100018 
ERR-ANALYS (DATA-ERR2) The relative error in the cross section forA148600100019 
           the alpha0 and alpha1 groups did not depend on the     A148600100020 
           normalizations.                                        A148600100021 
           (ERR-T) Absolute error on the cross section scale      A148600100022 
HISTORY    (19800829C) Compilation produced by RFNC-VNIIEF Sarov  A148600100023 
           (19970920A) Err-Analys is corrected by CAJAD.          A148600100024 
           (19970923U) Last checking has been done.               A148600100025 
           (19990321U)CNPD: corrected 4-dig. year and lower cases.A148600100026 
ENDBIB              24          0                                 A148600100027 
COMMON               4          3                                 A148600100028 
EN-NRM     ANG-NRM    DATA-ERR2  ERR-T                            A148600100029 
MEV        ADEG       PER-CENT   PER-CENT                         A148600100030 
  2.98       90.         10.        15.                           A148600100031 
ENDCOMMON            3          0                                 A148600100032 
ENDSUBENT           31          0                                 A148600199999 
SUBENT        A1486002   19990324                             0000A148600200001 
BIB                  4          8                                 A148600200002 
REACTION   (3-LI-7(HE3,A)3-LI-6,PAR,DA,,,EXP)                     A148600200003 
ERR-ANALYS (EN-ERR) Digitizing error                              A148600200004 
           (DATA-ERR) Digitizing error                            A148600200005 
           (DATA-ERR1) From graphic bars. The error bars indicate A148600200006 
           the relative errors associated with the cross section  A148600200007 
FLAG       (1.) 1961 data                                         A148600200008 
           (2.) 1963 data                                         A148600200009 
STATUS     (CURVE) Fig 1,2                                        A148600200010 
ENDBIB               8          0                                 A148600200011 
COMMON               2          3                                 A148600200012 
EN-ERR     DATA-ERR                                               A148600200013 
MEV        MB/SR                                                  A148600200014 
      0.007      0.005                                            A148600200015 
ENDCOMMON            3          0                                 A148600200016 
DATA                 6        275                                 A148600200017 
EN         E-LVL      ANG        DATA       DATA-ERR1  FLAG       A148600200018 
     2.349      0.         8.         1.146      0.021      1.    A148600200111 
     2.383      2.18       8.         0.9642     0.0584     2.    A148600200112 
     2.385      0.        90.         1.145      0.0469     2.    A148600200113 
     2.389      2.18      90.         0.5561     0.0385     2.    A148600200114 
     2.391      0.         8.         0.9498     0.0578     2.    A148600200115 
     2.398      2.18      90.         0.6047     0.0154     1.    A148600200116 
     2.428      0.       165.         0.6804     0.0259     1.    A148600200117 
     2.431      2.18     165.         0.3593     0.0155     1.    A148600200118 
     2.432      0.         8.         1.025      0.0211     1.    A148600200119 
     2.456      0.       165.         0.7479     0.026      1.    A148600200120 
     2.46       2.18      90.         0.574      0.0115     1.    A148600200121 
     2.462      0.        90.         1.164      0.0156     1.    A148600200122 
     2.462      2.18     165.         0.4136     0.0155     1.    A148600200123 
     2.508      0.         8.         0.8931     0.0211     1.    A148600200124 
     2.533      0.       165.         0.7579     0.026      1.    A148600200125 
     2.539      0.        90.         1.259      0.0417     2.    A148600200126 
     2.544      2.18     165.         0.3866     0.0194     1.    A148600200127 
     2.546      2.18      90.         0.7526     0.0577     2.    A148600200128 
     2.547      2.18       8.         1.042      0.0584     2.    A148600200129 
     2.55       0.         8.         0.8751     0.0577     2.    A148600200130 
     2.584      0.         8.         0.7874     0.021      1.    A148600200131 
     2.592      2.18      90.         0.7127     0.0154     1.    A148600200132 
     2.596      0.        90.         1.346      0.0208     1.    A148600200133 
     2.596      0.       165.         0.846      0.0364     1.    A148600200134 
     2.6        2.18     165.         0.3674     0.0194     1.    A148600200135 
     2.647      0.         8.         0.7817     0.021      1.    A148600200136 
     2.663      2.18      90.         0.7628     0.0154     1.    A148600200137 
     2.672      0.        90.         1.319      0.0208     1.    A148600200138 
     2.687      2.18       8.         0.9297     0.0467     2.    A148600200139 
     2.694      2.18      90.         0.7645     0.0538     2.    A148600200140 
     2.7        0.        90.         1.321      0.0521     2.    A148600200141 
     2.702      0.         8.         0.7217     0.0367     2.    A148600200142 
     2.73       0.         8.         0.7075     0.021      1.    A148600200143 
     2.74       2.18      90.         0.7937     0.0154     1.    A148600200144 
     2.744      2.18     165.         0.3405     0.0194     1.    A148600200145 
     2.749      0.       165.         0.9024     0.0364     1.    A148600200146 
     2.801      2.18      90.         0.8361     0.0154     1.    A148600200147 
     2.812      0.        90.         1.449      0.026      1.    A148600200148 
     2.813      0.         8.         0.6911     0.021      1.    A148600200149 
     2.848      2.18       8.         0.8289     0.0428     2.    A148600200150 
     2.852      2.18      90.         0.8495     0.0577     2.    A148600200151 
     2.855      0.         8.         0.6733     0.0368     2.    A148600200152 
     2.855      0.        90.         1.419      0.0573     2.    A148600200153 
     2.882      2.18     165.         0.4377     0.0194     1.    A148600200154 
     2.883      2.18      90.         0.8862     0.0154     1.    A148600200155 
     2.889      0.         8.         0.659      0.0211     1.    A148600200156 
     2.889      0.       165.         0.9434     0.0364     1.    A148600200157 
     2.896      0.        90.         1.459      0.0313     1.    A148600200158 
     2.955      2.18      90.         0.8632     0.0154     1.    A148600200159 
     2.966      0.       165.         1.073      0.0312     1.    A148600200160 
     2.972      0.        90.         1.422      0.026      1.    A148600200161 
     2.973      0.         8.         0.6741     0.0263     1.    A148600200162 
     3.026      2.18      90.         0.8923     0.05       2.    A148600200163 
     3.026      2.18      90.         0.9441     0.0154     1.    A148600200164 
     3.029      2.18       8.         0.7553     0.0467     2.    A148600200165 
     3.035      0.       165.         1.015      0.0312     1.    A148600200166 
     3.036      0.        90.         1.492      0.0521     2.    A148600200167 
     3.036      0.        90.         1.526      0.0365     1.    A148600200168 
     3.036      2.18     165.         0.3372     0.0194     1.    A148600200169 
     3.049      0.         8.         0.7155     0.0211     1.    A148600200170 
     3.05       0.         8.         0.719      0.0472     2.    A148600200171 
     3.103      2.18      90.         0.9173     0.0192     1.    A148600200172 
     3.119      0.        90.         1.452      0.0208     1.    A148600200173 
     3.126      0.         8.         0.7727     0.0158     1.    A148600200174 
     3.164      2.18     165.         0.3685     0.0155     1.    A148600200175 
     3.168      0.       165.         1.129      0.0364     1.    A148600200176 
     3.17       2.18      90.         0.9289     0.0115     1.    A148600200177 
     3.188      0.        90.         1.395      0.026      1.    A148600200178 
     3.204      2.18       8.         0.6972     0.0428     2.    A148600200179 
     3.205      2.18      90.         0.9927     0.0654     2.    A148600200180 
     3.21       0.         8.         0.8542     0.0472     2.    A148600200181 
     3.217      0.         8.         0.8613     0.0263     1.    A148600200182 
     3.217      0.        90.         1.428      0.0469     2.    A148600200183 
     3.241      2.18      90.         0.9906     0.0154     1.    A148600200184 
     3.258      0.        90.         1.405      0.0209     1.    A148600200185 
     3.302      0.       165.         1.279      0.0364     1.    A148600200186 
     3.307      0.         8.         0.9395     0.021      1.    A148600200187 
     3.307      0.        90.         1.426      0.0313     1.    A148600200188 
     3.323      2.18      90.         0.9868     0.0154     1.    A148600200189 
     3.328      2.18     165.         0.3688     0.0155     1.    A148600200190 
     3.341      0.        90.         1.378      0.026      1.    A148600200191 
     3.343      0.       165.         1.201      0.0364     1.    A148600200192 
     3.374      2.18       8.         0.6936     0.0545     2.    A148600200193 
     3.374      2.18      90.         0.9855     0.0615     2.    A148600200194 
     3.391      0.         8.         1.031      0.0577     2.    A148600200195 
     3.391      0.         8.         1.07       0.021      1.    A148600200196 
     3.392      0.        90.         1.433      0.0521     2.    A148600200197 
     3.395      2.18      90.         1.033      0.0231     1.    A148600200198 
     3.411      0.        90.         1.441      0.0208     1.    A148600200199 
     3.462      2.18      90.         0.9832     0.0154     1.    A148600200200 
     3.476      0.       165.         1.367      0.026      1.    A148600200201 
     3.476      2.18     165.         0.2916     0.0155     1.    A148600200202 
     3.482      0.         8.         1.19       0.0263     1.    A148600200203 
     3.538      2.18       8.         0.7445     0.0506     2.    A148600200204 
     3.553      2.18      90.         1.009      0.0577     2.    A148600200205 
     3.565      0.        90.         1.297      0.0573     2.    A148600200206 
     3.566      0.         8.         1.274      0.0316     1.    A148600200207 
     3.573      0.         8.         1.318      0.0473     2.    A148600200208 
     3.627      2.18      90.         0.9527     0.0154     1.    A148600200209 
     3.63       2.18     165.         0.2764     0.0194     1.    A148600200210 
     3.639      0.        90.         1.226      0.0157     1.    A148600200211 
     3.644      0.       165.         1.434      0.0416     1.    A148600200212 
     3.656      0.         8.         1.425      0.0315     1.    A148600200213 
     3.709      2.18      90.         0.9259     0.0154     1.    A148600200214 
     3.717      2.18       8.         0.741      0.0467     2.    A148600200215 
     3.723      0.        90.         1.272      0.026      1.    A148600200216 
     3.728      2.18      90.         0.9748     0.05       2.    A148600200217 
     3.74       0.         8.         1.561      0.0368     1.    A148600200218 
     3.745      0.        90.         1.233      0.0417     2.    A148600200219 
     3.748      0.         8.         1.59       0.0682     2.    A148600200220 
     3.786      2.18      90.         0.9145     0.0154     1.    A148600200221 
     3.79       0.       165.         1.521      0.0416     1.    A148600200222 
     3.792      0.        90.         1.199      0.0209     1.    A148600200223 
     3.817      0.         8.         1.787      0.0316     1.    A148600200224 
     3.863      2.18      90.         0.9531     0.0192     1.    A148600200225 
     3.875      0.        90.         1.141      0.0208     1.    A148600200226 
     3.908      0.         8.         1.996      0.0315     1.    A148600200227 
     3.913      2.18      90.         0.9369     0.0538     2.    A148600200228 
     3.918      2.18       8.         0.7219     0.0467     2.    A148600200229 
     3.925      0.        90.         1.076      0.0417     2.    A148600200230 
     3.93       0.         8.         1.935      0.0892     2.    A148600200231 
     3.937      0.       165.         1.604      0.0416     1.    A148600200232 
     3.945      0.        90.         1.162      0.0208     1.    A148600200233 
     3.987      0.       165.         1.707      0.0416     1.    A148600200234 
     3.993      0.        90.         1.073      0.0209     1.    A148600200235 
     4.017      2.18      90.         0.9533     0.0154     1.    A148600200236 
     4.029      0.        90.         1.156      0.0208     1.    A148600200237 
     4.1        2.18      90.         0.938      0.0154     1.    A148600200238 
     4.104      0.       165.         1.629      0.0312     1.    A148600200239 
     4.111      0.        90.         1.093      0.0156     1.    A148600200240 
     4.171      2.18      90.         0.9843     0.0192     1.    A148600200241 
     4.18       0.        90.         1.015      0.0208     1.    A148600200242 
     4.254      2.18      90.         0.9306     0.0192     1.    A148600200243 
     4.264      0.        90.         0.9674     0.0208     1.    A148600200244 
     4.265      0.       165.         1.639      0.0416     1.    A148600200245 
     4.294      2.18      90.         0.8302     0.0461     2.    A148600200246 
     4.298      2.18       8.         0.7226     0.07       2.    A148600200247 
     4.3        0.        90.         0.9186     0.0521     2.    A148600200248 
     4.309      0.         8.         2.74       0.0839     2.    A148600200249 
     4.346      2.18      90.         0.9154     0.0269     1.    A148600200250 
     4.354      0.        90.         0.9305     0.026      1.    A148600200251 
     4.363      0.       165.         1.68       0.0415     1.    A148600200252 
     4.367      0.        90.         0.8731     0.0208     1.    A148600200253 
     4.424      2.18      90.         0.8886     0.0192     1.    A148600200254 
     4.425      0.       165.         1.705      0.0416     1.    A148600200255 
     4.431      0.        90.         0.977      0.026      1.    A148600200256 
     4.484      2.18      90.         0.8845     0.05       2.    A148600200257 
     4.486      2.18       8.         0.9019     0.0739     2.    A148600200258 
     4.496      0.        90.         0.9178     0.0417     2.    A148600200259 
     4.498      0.         8.         3.205      0.147      2.    A148600200260 
     4.516      2.18      90.         0.8502     0.0192     1.    A148600200261 
     4.52       0.        90.         0.8515     0.0208     1.    A148600200262 
     4.573      2.18      90.         0.8119     0.0192     1.    A148600200263 
     4.578      0.       165.         1.658      0.0416     1.    A148600200264 
     4.583      0.        90.         0.8564     0.0209     1.    A148600200265 
     4.649      2.18      90.         0.8041     0.0423     2.    A148600200266 
     4.65       2.18      90.         0.8504     0.0269     1.    A148600200267 
     4.654      0.        90.         0.7192     0.0417     2.    A148600200268 
     4.659      0.        90.         0.7831     0.0209     1.    A148600200269 
     4.673      0.         8.         3.487      0.1521     2.    A148600200270 
     4.673      2.18       8.         1.12       0.0778     2.    A148600200271 
     4.725      0.       165.         1.73       0.0468     1.    A148600200272 
     4.742      0.        90.         0.7045     0.026      1.    A148600200273 
     4.864      2.18      90.         0.8085     0.05       2.    A148600200274 
     4.869      2.18       8.         1.043      0.0739     2.    A148600200275 
     4.871      0.       165.         1.771      0.0364     1.    A148600200276 
     4.873      0.         8.         3.228      0.147      2.    A148600200277 
     4.877      0.        90.         0.7078     0.0365     2.    A148600200278 
     4.941      0.       165.         1.786      0.0416     1.    A148600200279 
     4.943      0.        90.         0.6462     0.0208     1.    A148600200280 
     5.051      0.        90.         0.6498     0.0365     2.    A148600200281 
     5.062      2.18       8.         1.238      0.0739     2.    A148600200282 
     5.063      2.18      90.         0.6579     0.046      2.    A148600200283 
     5.068      0.         8.         3.127      0.1521     2.    A148600200284 
     5.124      0.        90.         0.5775     0.0208     1.    A148600200285 
     5.13       0.       165.         1.931      0.0468     1.    A148600200286 
     5.254      2.18       8.         1.448      0.0895     2.    A148600200287 
     5.263      2.18      90.         0.6583     0.046      2.    A148600200288 
     5.267      0.        90.         0.6333     0.0417     2.    A148600200289 
     5.27       0.         8.         3.362      0.1155     2.    A148600200290 
     5.297      0.       165.         1.914      0.0467     1.    A148600200291 
     5.305      0.        90.         0.6287     0.0208     1.    A148600200292 
     5.506      0.       165.         1.934      0.0468     1.    A148600200293 
     5.513      0.        90.         0.5494     0.0209     1.    A148600200294 
ENDDATA            277          0                                 A148600200295 
ENDSUBENT          294          0                                 A148600299999 
SUBENT        A1486003   19990324                             0000A148600300001 
BIB                  3          6                                 A148600300002 
REACTION   (3-LI-7(HE3,A)3-LI-6,PAR,DA,,,EXP)                     A148600300003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A148600300004 
           (DATA-ERR) Digitizing error                            A148600300005 
           (DATA-ERR1) From graphic bars. The error bars indicate A148600300006 
           the relative errors associated with the cross section  A148600300007 
STATUS     (CURVE) Fig 3                                          A148600300008 
ENDBIB               6          0                                 A148600300009 
COMMON               2          3                                 A148600300010 
ANG-ERR    DATA-ERR                                               A148600300011 
ADEG       MB/SR                                                  A148600300012 
       0.25      0.004                                            A148600300013 
ENDCOMMON            3          0                                 A148600300014 
DATA                 5        342                                 A148600300015 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR1             A148600300016 
MEV        MEV        ADEG       MB/SR      MB/SR                 A148600300017 
     1.81       0.         9.536      0.6375     0.0371           A148600300018 
     1.81       0.        22.76       0.6416     0.0332           A148600300019 
     1.81       0.        27.78       0.6283     0.0407           A148600300020 
     1.81       0.        34.51       0.6341     0.0297           A148600300021 
     1.81       0.        46.01       0.6228     0.0369           A148600300022 
     1.81       0.        57.06       0.5855     0.0408           A148600300023 
     1.81       0.        60.99       0.6238     0.0334           A148600300024 
     1.81       0.        66.95       0.6478     0.0334           A148600300025 
     1.81       0.        78.35       0.5365     0.0519           A148600300026 
     1.81       0.        88.85       0.5287     0.0444           A148600300027 
     1.81       0.        99.07       0.5429     0.0444           A148600300028 
     1.81       0.       101.6        0.5474     0.0408           A148600300029 
     1.81       0.       108.5        0.5792     0.037            A148600300030 
     1.81       0.       118.3        0.5303     0.0406           A148600300031 
     1.81       0.       127.7        0.4073     0.0481           A148600300032 
     1.81       0.       136.9        0.4287     0.0444           A148600300033 
     1.81       0.       146.         0.3611     0.0408           A148600300034 
     1.81       0.       154.6        0.3193     0.0407           A148600300035 
     1.81       0.       163.1        0.3071     0.0333           A148600300036 
     1.81       2.18      23.59       0.3685     0.0369           A148600300037 
     1.81       2.18      35.41       0.4533     0.0405           A148600300038 
     1.81       2.18      46.24       0.5378     0.0294           A148600300039 
     1.81       2.18      57.17       0.5375     0.0332           A148600300040 
     1.81       2.18      60.24       0.6786     0.0258           A148600300041 
     1.81       2.18      68.29       0.5888     0.0333           A148600300042 
     1.81       2.18      78.82       0.4961     0.0296           A148600300043 
     1.81       2.18      89.58       0.4146     0.0369           A148600300044 
     1.81       2.18      99.59       0.3402     0.0332           A148600300045 
     1.81       2.18     102.5        0.3632     0.0368           A148600300046 
     1.81       2.18     109.1        0.2988     0.0368           A148600300047 
     1.81       2.18     118.7        0.3165     0.0479           A148600300048 
     1.81       2.18     128.3        0.2383     0.0368           A148600300049 
     1.81       2.18     137.2        0.2115     0.0295           A148600300050 
     1.81       2.18     146.4        0.2586     0.0405           A148600300051 
     1.81       2.18     154.6        0.2427     0.0332           A148600300052 
     1.81       2.18     162.8        0.2083     0.0332           A148600300053 
     2.14       0.         9.385      0.7455     0.033            A148600300054 
     2.14       0.        15.34       0.7694     0.0368           A148600300055 
     2.14       0.        21.04       0.8005     0.0367           A148600300056 
     2.14       0.        23.39       0.7277     0.0367           A148600300057 
     2.14       0.        28.         0.821      0.0367           A148600300058 
     2.14       0.        34.85       0.7459     0.0367           A148600300059 
     2.14       0.        37.05       0.7797     0.0331           A148600300060 
     2.14       0.        46.52       0.7899     0.0294           A148600300061 
     2.14       0.        55.61       0.7229     0.0404           A148600300062 
     2.14       0.        57.8        0.7603     0.0367           A148600300063 
     2.14       0.        68.66       0.8482     0.0331           A148600300064 
     2.14       0.        73.19       0.8202     0.0367           A148600300065 
     2.14       0.        79.13       0.8551     0.0331           A148600300066 
     2.14       0.        87.75       0.7732     0.0368           A148600300067 
     2.14       0.        89.58       0.884      0.0441           A148600300068 
     2.14       0.        99.83       0.8761     0.0405           A148600300069 
     2.14       0.       103.         0.7705     0.0404           A148600300070 
     2.14       0.       109.7        0.9269     0.0369           A148600300071 
     2.14       0.       119.1        0.8636     0.0405           A148600300072 
     2.14       0.       128.5        0.8776     0.0405           A148600300073 
     2.14       0.       138.         0.7555     0.0404           A148600300074 
     2.14       0.       146.8        0.7177     0.0404           A148600300075 
     2.14       0.       155.2        0.5953     0.0403           A148600300076 
     2.14       0.       163.5        0.539      0.0442           A148600300077 
     2.14       2.18       8.154      0.1833     0.0257           A148600300078 
     2.14       2.18      14.15       0.2697     0.0258           A148600300079 
     2.14       2.18      19.64       0.3559     0.0258           A148600300080 
     2.14       2.18      22.29       0.3898     0.0184           A148600300081 
     2.14       2.18      26.83       0.4611     0.0257           A148600300082 
     2.14       2.18      33.57       0.5477     0.0331           A148600300083 
     2.14       2.18      49.87       0.685      0.0331           A148600300084 
     2.14       2.18      56.01       0.8119     0.0367           A148600300085 
     2.14       2.18      66.82       0.7564     0.0331           A148600300086 
     2.14       2.18      77.6        0.7156     0.0367           A148600300087 
     2.14       2.18      88.3        0.7041     0.0367           A148600300088 
     2.14       2.18      98.74       0.5015     0.0403           A148600300089 
