ENTRY            A0490   20030602                             0000A049000000001 
SUBENT        A0490001   20030602                             0000A049000100001 
BIB                 11         36                                 A049000100002 
TITLE      Measurement and analysis of neutron spectra from thick A049000100003 
           targets of Al and Ti bombarded by 30-50 MeV            A049000100004 
           alpha-particles                                        A049000100005 
AUTHOR     (D.Dhar, S.N.Roy, T.Bandyopadhyay, P.K.Sarkar)         A049000100006 
REFERENCE  (J,PR/C,67,024607,2003)                                A049000100007 
INSTITUTE  (3INDIND) Department of physics, Visva-Bharati         A049000100008 
           university                                             A049000100009 
           (3INDVEC)                                              A049000100010 
METHOD     (SITA) The targets, 25 mm in diameter have been fixed  A049000100011 
           perpendicular to the beam axis.  The thickness of the  A049000100012 
           targets are such that the incident alphas are          A049000100013 
           completely stopped in the target while the scattering  A049000100014 
           and absorption of neutrons produced in the target are  A049000100015 
           negligible.                                            A049000100016 
           (EXTB) The beam energy resolution is about 200 KeV for A049000100017 
           30-50 MeV incident alphas.                             A049000100018 
DETECTOR   (SCIN) The neutrons are measured with a 52.4 mm        A049000100019 
           diameter X 2.4 mm NE-213 liquid scintillator kept at a A049000100020 
           distance of 1.4 m from the target.  The detector angle A049000100021 
           of acceptance is 2.14 degree and energy resolution is  A049000100022 
           about 20%.                                             A049000100023 
HISTORY    (20030527C)                                            A049000100024 
           (20030602U) Last checking has been done.               A049000100025 
ERR-ANALYS (ERR-T) The total error associated with unfolded       A049000100026 
           spectra consists of                                    A049000100027 
           1.  The statistical error associated with the          A049000100028 
           measurement,                                           A049000100029 
           2.  The error arising from discretization of the       A049000100030 
           continuous spectra and of the response function,       A049000100031 
           3.  The statistical error inherent in the MONTE CARLO  A049000100032 
           calculation.                                           A049000100033 
           (E-ERR) Data point reader uncertainty.                 A049000100034 
EN-SEC     (E,N)                                                  A049000100035 
ADD-RES    (COMP) with PEGAQ, PRECO-D2, ALICE91                   A049000100036 
STATUS     (UNOBT)                                                A049000100037 
           (CURVE) By CAJAD                                       A049000100038 
ENDBIB              36          0                                 A049000100039 
NOCOMMON             0          0                                 A049000100040 
ENDSUBENT           39          0                                 A049000199999 
SUBENT        A0490002   20030602                             0000A049000200001 
BIB                  3          8                                 A049000200002 
REACTION   (13-AL-27(A,X)0-NN-1,,PY/DA/DE,,TT)                    A049000200003 
SAMPLE     Aluminum target thickness = 3.5 +/- 0.05 mm.           A049000200004 
ERR-ANALYS (DATA-ERR1) Data point reader uncertainty for 0 degree A049000200005 
           at 30 and 40 MeV and 30 and 45 degrees at 50 MeV.      A049000200006 
           (DATA-ERR2) Data point reader uncertainty for 30 and 45A049000200007 
           degrees at 30 MeV and for 0 degree for 50 MeV.         A049000200008 
           (DATA-ERR3) Data point reader uncertainty for 30 and 45A049000200009 
           degrees at 40 MeV.                                     A049000200010 
ENDBIB               8          0                                 A049000200011 
COMMON               3          3                                 A049000200012 
DATA-ERR1  DATA-ERR2  DATA-ERR3                                   A049000200013 
PER-CENT   PER-CENT   PER-CENT                                    A049000200014 
         7.         6.         5.                                 A049000200015 
ENDCOMMON            3          0                                 A049000200016 
DATA                 6        243                                 A049000200017 
EN         ANG        E          E-ERR      DATA       ERR-T      A049000200018 
MEV        ADEG       MEV        MEV        P/IN/MEVSR PER-CENT   A049000200019 
        30.        45.  1.265E+01     8.E-02   2.11E-06           A049000200069 
        30.        45.  1.362E+01     8.E-02   1.47E-06           A049000200070 
        30.        45.  1.469E+01     8.E-02    8.6E-07           A049000200071 
        30.        45.  1.564E+01     8.E-02    5.3E-07           A049000200072 
        30.        45.  1.672E+01     8.E-02   3.08E-07           A049000200073 
        30.        45.  1.762E+01     8.E-02   1.89E-07           A049000200074 
        30.        45.  1.869E+01     8.E-02   1.15E-07           A049000200075 
        30.        45.  1.971E+01     8.E-02    8.4E-08           A049000200076 
        30.        45.  2.061E+01     8.E-02    5.6E-08           A049000200077 
        40.         0.         4.    1.4E-01    4.9E-05           A049000200078 
        40.         0.       5.09    1.4E-01    5.5E-05           A049000200079 
        40.         0.       5.97    1.4E-01    4.5E-05           A049000200080 
        40.         0.       7.16    1.4E-01   3.64E-05           A049000200081 
        40.         0.       7.94    1.4E-01    2.3E-05           A049000200082 
        40.         0.       9.02    1.4E-01   1.25E-05           A049000200083 
        40.         0.  1.019E+01    1.4E-01    7.5E-06           A049000200084 
        40.         0.  1.088E+01    1.4E-01     5.E-06           A049000200085 
        40.         0.  1.206E+01    1.4E-01    4.3E-06           A049000200086 
        40.         0.  1.314E+01    1.4E-01   3.33E-06           A049000200087 
        40.         0.  1.383E+01    1.4E-01   2.85E-06           A049000200088 
        40.         0.  1.521E+01    1.4E-01   2.45E-06           A049000200089 
        40.         0.   1.59E+01    1.4E-01     2.E-06           A049000200090 
        40.         0.  1.708E+01    1.4E-01   1.63E-06           A049000200091 
        40.         0.  1.816E+01    1.4E-01    1.4E-06           A049000200092 
        40.         0.  1.885E+01    1.4E-01    1.2E-06           A049000200093 
        40.         0.  1.983E+01    1.4E-01    9.3E-07           A049000200094 
        40.         0.  2.081E+01    1.4E-01    7.6E-07           A049000200095 
        40.         0.   2.19E+01    1.4E-01    6.9E-07           A049000200096 
        40.         0.  2.288E+01    1.4E-01    5.1E-07           A049000200097 
        40.         0.  2.406E+01    1.4E-01   3.92E-07           A049000200098 
        40.         0.  2.485E+01    1.4E-01   2.88E-07           A049000200099 
        40.         0.  2.603E+01    1.4E-01   2.24E-07           A049000200100 
        40.         0.  2.691E+01    1.4E-01   1.65E-07           A049000200101 
        40.         0.  2.809E+01    1.4E-01   1.04E-07           A049000200102 
        40.         0.  2.917E+01    1.4E-01    7.7E-08           A049000200103 
        40.         0.  3.015E+01    1.4E-01    6.9E-08           A049000200104 
        40.         0.  3.084E+01    1.4E-01    4.9E-08           A049000200105 
        40.        30.       3.83    1.2E-01   5.12E-05           A049000200106 
        40.        30.       4.77    1.2E-01    7.2E-05           A049000200107 
        40.        30.       5.87    1.2E-01    6.2E-05           A049000200108 
        40.        30.       6.89    1.2E-01   4.06E-05           A049000200109 
        40.        30.         8.    1.2E-01   2.38E-05           A049000200110 
        40.        30.       8.94    1.2E-01    1.2E-05           A049000200111 
        40.        30.  1.004E+01    1.2E-01     7.E-06           A049000200112 
        40.        30.  1.089E+01    1.2E-01    4.8E-06           A049000200113 
        40.        30.  1.183E+01    1.2E-01    3.4E-06           A049000200114 
        40.        30.  1.294E+01    1.2E-01   2.41E-06           A049000200115 
        40.        30.  1.387E+01    1.2E-01   1.78E-06           A049000200116 
        40.        30.  1.489E+01    1.2E-01   1.77E-06           A049000200117 
        40.        30.  1.609E+01    1.2E-01   1.36E-06           A049000200118 
        40.        30.  1.694E+01    1.2E-01   1.16E-06           A049000200119 
        40.        30.  1.813E+01    1.2E-01    9.6E-07           A049000200120 
        40.        30.  1.906E+01    1.2E-01    7.9E-07           A049000200121 
        40.        30.     2.E+01    1.2E-01    6.1E-07           A049000200122 
        40.        30.  2.111E+01    1.2E-01   4.82E-07           A049000200123 
        40.        30.  2.204E+01    1.2E-01   4.13E-07           A049000200124 
        40.        30.  2.315E+01    1.2E-01   4.28E-07           A049000200125 
        40.        30.  2.391E+01    1.2E-01   3.67E-07           A049000200126 
        40.        45.       3.92    1.2E-01   4.26E-05           A049000200127 
        40.        45.       4.85    1.2E-01    6.7E-05           A049000200128 
        40.        45.       5.87    1.2E-01     6.E-05           A049000200129 
        40.        45.       6.97    1.2E-01   4.12E-05           A049000200130 
        40.        45.       7.89    1.2E-01   2.24E-05           A049000200131 
        40.        45.        8.9    1.2E-01   1.01E-05           A049000200132 
        40.        45.  1.008E+01    1.2E-01    5.9E-06           A049000200133 
        40.        45.  1.092E+01    1.2E-01   4.38E-06           A049000200134 
        40.        45.  1.177E+01    1.2E-01   3.62E-06           A049000200135 
        40.        45.  1.278E+01    1.2E-01   3.36E-06           A049000200136 
        40.        45.  1.388E+01    1.2E-01   2.68E-06           A049000200137 
        40.        45.  1.506E+01    1.2E-01   2.14E-06           A049000200138 
        40.        45.  1.591E+01    1.2E-01   1.77E-06           A049000200139 
        40.        45.  1.701E+01    1.2E-01   1.41E-06           A049000200140 
        40.        45.  1.794E+01    1.2E-01   1.21E-06           A049000200141 
        40.        45.  1.904E+01    1.2E-01   1.04E-06           A049000200142 
        40.        45.  1.988E+01    1.2E-01    8.3E-07           A049000200143 
        40.        45.  2.081E+01    1.2E-01    6.6E-07           A049000200144 
        40.        45.  2.182E+01    1.2E-01    6.2E-07           A049000200145 
        40.        45.  2.309E+01    1.2E-01    5.9E-07           A049000200146 
        40.        45.  2.385E+01    1.2E-01   4.55E-07           A049000200147 
        50.         0.       2.86     2.E-01    6.2E-05           A049000200148 
        50.         0.       3.86     2.E-01    6.4E-05           A049000200149 
        50.         0.         5.     2.E-01    6.1E-05           A049000200150 
        50.         0.       6.29     2.E-01    5.4E-05           A049000200151 
        50.         0.       7.72     2.E-01   4.99E-05           A049000200152 
        50.         0.       8.58     2.E-01   4.59E-05           A049000200153 
        50.         0.       9.87     2.E-01   3.73E-05           A049000200154 
        50.         0.  1.102E+01     2.E-01   3.04E-05           A049000200155 
        50.         0.  1.188E+01     2.E-01   2.37E-05           A049000200156 
        50.         0.  1.275E+01     2.E-01   1.64E-05           A049000200157 
        50.         0.  1.404E+01     2.E-01   1.23E-05           A049000200158 
        50.         0.  1.491E+01     2.E-01    8.5E-06           A049000200159 
        50.         0.  1.578E+01     2.E-01    5.4E-06           A049000200160 
        50.         0.  1.678E+01     2.E-01    4.6E-06        17.A049000200161 
        50.         0.  1.793E+01     2.E-01    3.4E-06        30.A049000200162 
        50.         0.  1.908E+01     2.E-01   2.92E-06        10.A049000200163 
        50.         0.  2.009E+01     2.E-01   2.19E-06           A049000200164 
        50.         0.  2.081E+01     2.E-01    1.8E-06        17.A049000200165 
        50.         0.  2.238E+01     2.E-01   1.39E-06           A049000200166 
        50.         0.   2.31E+01     2.E-01   1.18E-06           A049000200167 
        50.         0.  2.425E+01     2.E-01    9.2E-07        10.A049000200168 
        50.         0.  2.525E+01     2.E-01    8.8E-07        17.A049000200169 
        50.         0.  2.597E+01     2.E-01    6.9E-07        22.A049000200170 
        50.         0.  2.683E+01     2.E-01    6.1E-07        28.A049000200171 
        50.         0.  2.798E+01     2.E-01     5.E-07        30.A049000200172 
        50.         0.  2.898E+01     2.E-01    4.7E-07        40.A049000200173 
        50.         0.  2.984E+01     2.E-01    4.4E-07        40.A049000200174 
        50.         0.  3.085E+01     2.E-01    3.9E-07        60.A049000200175 
        50.         0.  3.184E+01     2.E-01     4.E-07        60.A049000200176 
        50.         0.  3.284E+01     2.E-01    4.3E-07           A049000200177 
        50.         0.  3.399E+01     2.E-01    4.3E-07        60.A049000200178 
        50.         0.  3.499E+01     2.E-01    4.2E-07        60.A049000200179 
        50.         0.  3.613E+01     2.E-01    3.8E-07        70.A049000200180 
        50.         0.  3.699E+01     2.E-01    3.5E-07        60.A049000200181 
        50.         0.  3.785E+01     2.E-01    3.7E-07           A049000200182 
        50.         0.  3.841E+01     2.E-01    4.3E-07        40.A049000200183 
        50.         0.  3.955E+01     2.E-01    5.5E-07        22.A049000200184 
        50.         0.  4.083E+01     2.E-01    5.9E-07           A049000200185 
        50.         0.  4.169E+01     2.E-01    6.2E-07        11.A049000200186 
        50.        30.        3.4     2.E-01    7.3E-05           A049000200187 
        50.        30.       4.68     2.E-01     7.E-05           A049000200188 
        50.        30.       5.83     2.E-01    6.2E-05           A049000200189 
        50.        30.       6.69     2.E-01   5.02E-05           A049000200190 
        50.        30.       7.69     2.E-01   4.82E-05           A049000200191 
        50.        30.       8.84     2.E-01   4.43E-05           A049000200192 
        50.        30.       9.84     2.E-01   3.61E-05           A049000200193 
        50.        30.  1.099E+01     2.E-01   2.83E-05           A049000200194 
        50.        30.  1.243E+01     2.E-01   2.21E-05           A049000200195 
        50.        30.  1.344E+01     2.E-01   1.47E-05           A049000200196 
        50.        30.  1.431E+01     2.E-01    9.8E-06           A049000200197 
        50.        30.   1.56E+01     2.E-01    7.7E-06           A049000200198 
        50.        30.  1.647E+01     2.E-01    5.1E-06           A049000200199 
        50.        30.  1.776E+01     2.E-01   3.67E-06           A049000200200 
        50.        30.  1.877E+01     2.E-01   2.99E-06           A049000200201 
        50.        30.  1.963E+01     2.E-01   2.16E-06           A049000200202 
        50.        30.   2.05E+01     2.E-01   1.62E-06           A049000200203 
        50.        30.  2.136E+01     2.E-01   1.22E-06           A049000200204 
        50.        30.  2.279E+01     2.E-01   1.08E-06        19.A049000200205 
        50.        30.   2.38E+01     2.E-01    8.4E-07        18.A049000200206 
        50.        30.  2.466E+01     2.E-01    6.6E-07        30.A049000200207 
        50.        30.  2.567E+01     2.E-01    5.6E-07        30.A049000200208 
        50.        30.  2.668E+01     2.E-01     4.E-07        40.A049000200209 
        50.        30.  2.783E+01     2.E-01    3.3E-07        40.A049000200210 
        50.        30.  2.897E+01     2.E-01    2.7E-07        40.A049000200211 
        50.        30.  2.969E+01     2.E-01    2.2E-07        60.A049000200212 
        50.        30.  3.055E+01     2.E-01     2.E-07        60.A049000200213 
        50.        30.  3.155E+01     2.E-01    1.9E-07        70.A049000200214 
        50.        30.   3.27E+01     2.E-01    1.8E-07        70.A049000200215 
        50.        30.  3.356E+01     2.E-01    1.8E-07        70.A049000200216 
        50.        30.  3.456E+01     2.E-01    1.7E-07        60.A049000200217 
        50.        30.  3.556E+01     2.E-01    1.6E-07        60.A049000200218 
        50.        30.  3.671E+01     2.E-01    1.3E-07        70.A049000200219 
        50.        30.  3.757E+01     2.E-01    1.2E-07        70.A049000200220 
        50.        30.  3.856E+01     2.E-01    1.4E-07        40.A049000200221 
        50.        30.  3.927E+01     2.E-01    1.6E-07        30.A049000200222 
        50.        30.  4.069E+01     2.E-01   2.15E-07           A049000200223 
        50.        30.  4.155E+01     2.E-01   2.06E-07           A049000200224 
        50.        30.  4.284E+01     2.E-01    1.9E-07           A049000200225 
        50.        45.       3.93     2.E-01   1.01E-04           A049000200226 
        50.        45.       4.65     2.E-01    8.6E-05           A049000200227 
        50.        45.       5.94     2.E-01    6.8E-05           A049000200228 
        50.        45.       7.08     2.E-01    5.8E-05           A049000200229 
        50.        45.       7.94     2.E-01    5.2E-05           A049000200230 
        50.        45.       8.66     2.E-01    4.4E-05           A049000200231 
        50.        45.       9.52     2.E-01   3.92E-05           A049000200232 
        50.        45.  1.081E+01     2.E-01   3.51E-05           A049000200233 
        50.        45.  1.181E+01     2.E-01   2.66E-05           A049000200234 
        50.        45.  1.281E+01     2.E-01   2.13E-05           A049000200235 
        50.        45.  1.397E+01     2.E-01   1.44E-05           A049000200236 
        50.        45.  1.497E+01     2.E-01   1.09E-05           A049000200237 
        50.        45.  1.584E+01     2.E-01     7.E-06           A049000200238 
        50.        45.  1.727E+01     2.E-01    4.8E-06           A049000200239 
        50.        45.  1.814E+01     2.E-01   3.24E-06           A049000200240 
        50.        45.    1.9E+01     2.E-01   2.59E-06           A049000200241 
        50.        45.  2.015E+01     2.E-01   1.86E-06           A049000200242 
        50.        45.  2.144E+01     2.E-01   1.33E-06           A049000200243 
        50.        45.   2.23E+01     2.E-01   1.13E-06           A049000200244 
        50.        45.  2.331E+01     2.E-01    8.5E-07           A049000200245 
        50.        45.  2.517E+01     2.E-01    5.2E-07           A049000200246 
        50.        45.  2.618E+01     2.E-01   3.33E-07           A049000200247 
        50.        45.  2.776E+01     2.E-01   2.66E-07           A049000200248 
        50.        45.   2.89E+01     2.E-01   2.13E-07           A049000200249 
        50.        45.  3.005E+01     2.E-01   1.91E-07           A049000200250 
        50.        45.   3.12E+01     2.E-01   1.37E-07           A049000200251 
        50.        45.   3.22E+01     2.E-01   1.22E-07        11.A049000200252 
        50.        45.  3.292E+01     2.E-01    9.8E-08        26.A049000200253 
        50.        45.  3.421E+01     2.E-01    8.3E-08        18.A049000200254 
        50.        45.  3.549E+01     2.E-01   1.03E-07        13.A049000200255 
        50.        45.  3.663E+01     2.E-01    9.2E-08           A049000200256 
        50.        45.  3.735E+01     2.E-01    7.8E-08           A049000200257 
        50.        45.  3.835E+01     2.E-01    7.8E-08           A049000200258 
        50.        45.  3.949E+01     2.E-01    8.7E-08           A049000200259 
        50.        45.  4.035E+01     2.E-01    9.2E-08           A049000200260 
        50.        45.   4.12E+01     2.E-01   1.27E-07           A049000200261 
        50.        45.  4.206E+01     2.E-01    1.3E-07        80.A049000200262 
ENDDATA            245          0                                 A049000200263 
ENDSUBENT          262          0                                 A049000299999 
SUBENT        A0490003   20030602                             0000A049000300001 
BIB                  3          4                                 A049000300002 
REACTION   (22-TI-46(A,X)0-NN-1,,PY/DA/DE,,TT)                    A049000300003 
SAMPLE     Titanium target thickness = 4.0 +/- 0.05 mm.           A049000300004 
           Enrichment is unknown.                                 A049000300005 
ERR-ANALYS (DATA-ERR) Data point reader uncertainty               A049000300006 
ENDBIB               4          0                                 A049000300007 
COMMON               1          3                                 A049000300008 
DATA-ERR                                                          A049000300009 
PER-CENT                                                          A049000300010 
         7.                                                       A049000300011 
ENDCOMMON            3          0                                 A049000300012 
DATA                 6        226                                 A049000300013 
EN         ANG        E          E-ERR      DATA       ERR-T      A049000300014 
MEV        ADEG       MEV        MEV        P/IN/MEVSR PER-CENT   A049000300015 
        30.         0.       2.78     8.E-02    1.5E-05           A049000300016 
        30.         0.       3.82     8.E-02    9.7E-06           A049000300017 
        30.         0.       4.69     8.E-02    6.3E-06           A049000300018 
        30.         0.       5.79     8.E-02    4.5E-06           A049000300019 
        30.         0.       6.71     8.E-02   2.63E-06           A049000300020 
        30.         0.       7.75     8.E-02    1.7E-06           A049000300021 
        30.         0.       8.85     8.E-02   1.04E-06           A049000300022 
        30.         0.       9.78     8.E-02    6.8E-07           A049000300023 
        30.         0.  1.088E+01     8.E-02    4.4E-07           A049000300024 
        30.         0.   1.18E+01     8.E-02   2.68E-07           A049000300025 
        30.         0.  1.273E+01     8.E-02   1.65E-07           A049000300026 
        30.         0.  1.383E+01     8.E-02   1.07E-07           A049000300027 
        30.         0.  1.487E+01     8.E-02    6.5E-08           A049000300028 
        30.         0.  1.585E+01     8.E-02   3.81E-08           A049000300029 
        30.         0.  1.689E+01     8.E-02    2.6E-08           A049000300030 
        30.         0.  1.794E+01     8.E-02   1.77E-08           A049000300031 
        30.         0.  1.886E+01     8.E-02    9.3E-09           A049000300032 
        30.         0.  1.978E+01     8.E-02     6.E-09           A049000300033 
        30.        30.       2.68     8.E-02   1.22E-05           A049000300034 
        30.        30.       3.84     8.E-02    6.7E-06           A049000300035 
        30.        30.       4.82     8.E-02   3.91E-06           A049000300036 
        30.        30.       5.81     8.E-02   2.53E-06           A049000300037 
        30.        30.       6.85     8.E-02   1.39E-06           A049000300038 
        30.        30.       7.88     8.E-02    7.7E-07           A049000300039 
        30.        30.       8.93     8.E-02    4.7E-07           A049000300040 
        30.        30.       9.91     8.E-02   2.47E-07           A049000300041 
        30.        30.  1.088E+01     8.E-02   1.23E-07           A049000300042 
        30.        30.  1.181E+01     8.E-02    6.8E-08           A049000300043 
        30.        30.  1.302E+01     8.E-02   4.16E-08           A049000300044 
        30.        30.  1.389E+01     8.E-02    2.3E-08           A049000300045 
        30.        30.  1.499E+01     8.E-02   1.65E-08           A049000300046 
        30.        30.  1.592E+01     8.E-02   1.46E-08           A049000300047 
        30.        30.  1.696E+01     8.E-02     1.E-08           A049000300048 
        30.        30.  1.789E+01     8.E-02    8.4E-09           A049000300049 
        30.        45.       4.03     8.E-02   2.73E-06           A049000300050 
        30.        45.        4.9     8.E-02   2.97E-06           A049000300051 
        30.        45.         6.     8.E-02   2.22E-06           A049000300052 
        30.        45.       6.99     8.E-02   1.75E-06           A049000300053 
        30.        45.       8.03     8.E-02   1.06E-06           A049000300054 
        30.        45.       8.96     8.E-02    6.8E-07           A049000300055 
        30.        45.       9.94     8.E-02    4.8E-07           A049000300056 
        30.        45.  1.093E+01     8.E-02   3.82E-07           A049000300057 
        30.        45.  1.192E+01     8.E-02   2.71E-07           A049000300058 
        30.        45.  1.307E+01     8.E-02   1.73E-07           A049000300059 
        30.        45.  1.406E+01     8.E-02   1.17E-07           A049000300060 
        30.        45.  1.498E+01     8.E-02    7.9E-08           A049000300061 
        30.        45.  1.603E+01     8.E-02    4.8E-08           A049000300062 
        30.        45.  1.695E+01     8.E-02   3.06E-08           A049000300063 
        30.        45.  1.811E+01     8.E-02   2.28E-08           A049000300064 
        30.        45.  1.909E+01     8.E-02   1.38E-08           A049000300065 
        30.        45.  2.002E+01     8.E-02     8.E-09           A049000300066 
        40.         0.        3.8    1.4E-01   2.29E-05           A049000300067 
        40.         0.       4.76    1.4E-01   1.88E-05           A049000300068 
        40.         0.        5.8    1.4E-01   1.12E-05           A049000300069 
        40.         0.       6.94    1.4E-01    6.1E-06           A049000300070 
        40.         0.       7.78    1.4E-01   2.78E-06           A049000300071 
        40.         0.       8.82    1.4E-01   1.52E-06           A049000300072 
        40.         0.       9.76    1.4E-01    8.3E-07           A049000300073 
        40.         0.  1.091E+01    1.4E-01    6.2E-07           A049000300074 
        40.         0.  1.196E+01    1.4E-01    4.9E-07           A049000300075 
        40.         0.  1.293E+01    1.4E-01    5.5E-07           A049000300076 
        40.         0.   1.39E+01    1.4E-01    5.5E-07           A049000300077 
