15.        34.        3.2        0.6                              A090800300031 
15.        35.        1.9        0.3                              A090800300032 
15.        36.        0.69       0.08                             A090800300033 
16.        33.        5.         1.                               A090800300034 
16.        34.        9.         2.                               A090800300035 
16.        35.        6.         1.                               A090800300036 
16.        36.        3.6        0.7                              A090800300037 
16.        37.        1.6        0.3                              A090800300038 
16.        38.        0.8        0.1                              A090800300039 
17.        35.        3.6        0.7                              A090800300040 
17.        36.        6.         1.                               A090800300041 
17.        37.        6.         1.                               A090800300042 
17.        38.        3.5        0.7                              A090800300043 
17.        39.        2.0        0.4                              A090800300044 
17.        40.        1.0        0.2                              A090800300045 
18.        37.        2.6        0.5                              A090800300046 
18.        38.        6.         1.                               A090800300047 
18.        39.        6.         1.                               A090800300048 
18.        40.        4.0        0.8                              A090800300049 
18.        41.        2.1        0.4                              A090800300050 
18.        42.        1.1        0.2                              A090800300051 
18.        43.        0.39       0.06                             A090800300052 
19.        39.        1.9        0.4                              A090800300053 
19.        40.        5.         1.                               A090800300054 
19.        41.        6.         1.                               A090800300055 
19.        42.        4.2        0.8                              A090800300056 
19.        43.        2.6        0.5                              A090800300057 
19.        44.        1.3        0.2                              A090800300058 
19.        45.        0.6        0.1                              A090800300059 
20.        41.        1.7        0.4                              A090800300060 
20.        42.        4.5        1.0                              A090800300061 
20.        43.        6.         1.                               A090800300062 
20.        44.        5.         1.                               A090800300063 
20.        45.        2.6        0.6                              A090800300064 
20.        46.        1.5        0.3                              A090800300065 
20.        47.        0.59       0.08                             A090800300066 
21.        43.        1.0        0.2                              A090800300067 
21.        44.        3.4        0.7                              A090800300068 
21.        45.        6.         1.                               A090800300069 
21.        46.        4.7        1.0                              A090800300070 
21.        47.        3.0        0.6                              A090800300071 
21.        48.        1.6        0.3                              A090800300072 
21.        49.        0.6        0.1                              A090800300073 
22.        45.        0.7        0.2                              A090800300074 
22.        46.        3.2        0.7                              A090800300075 
22.        47.        5.         1.                               A090800300076 
22.        48.        5.         1.                               A090800300077 
22.        49.        3.3        0.7                              A090800300078 
22.        50.        1.6        0.4                              A090800300079 
22.        51.        0.6        0.1                              A090800300080 
22.        52.        0.27       0.04                             A090800300081 
23.        47.        0.5        0.1                              A090800300082 
23.        48.        2.3        0.5                              A090800300083 
23.        49.        5.         1.                               A090800300084 
23.        50.        5.         1.                               A090800300085 
23.        51.        3.6        0.8                              A090800300086 
23.        52.        1.7        0.4                              A090800300087 
23.        53.        0.9        0.2                              A090800300088 
23.        54.        0.31       0.06                             A090800300089 
24.        49.        0.36       0.08                             A090800300090 
24.        50.        1.9        0.4                              A090800300091 
24.        51.        4.         1.                               A090800300092 
24.        52.        5.         1.                               A090800300093 
24.        53.        3.5        0.8                              A090800300094 
24.        54.        2.1        0.4                              A090800300095 
24.        55.        0.9        0.2                              A090800300096 
24.        56.        0.45       0.08                             A090800300097 
25.        51.        0.25       0.06                             A090800300098 
25.        52.        1.5        0.3                              A090800300099 
25.        53.        3.9        0.9                              A090800300100 
25.        54.        5.         1.                               A090800300101 
25.        55.        3.9        0.9                              A090800300102 
25.        56.        2.1        0.5                              A090800300103 
25.        57.        1.2        0.3                              A090800300104 
25.        58.        0.6        0.1                              A090800300105 
26.        54.        1.1        0.3                              A090800300106 
26.        55.        3.3        0.8                              A090800300107 
26.        56.        5.         1.                               A090800300108 
26.        57.        3.8        0.9                              A090800300109 
26.        58.        2.6        0.6                              A090800300110 
26.        59.        1.3        0.3                              A090800300111 
26.        60.        0.7        0.08                             A090800300112 
27.        56.        0.7        0.2                              A090800300113 
27.        57.        2.6        0.6                              A090800300114 
27.        58.        4.         1.                               A090800300115 
27.        59.        4.         1.                               A090800300116 
27.        60.        2.8        0.6                              A090800300117 
27.        61.        1.7        0.4                              A090800300118 
27.        62.        0.9        0.2                              A090800300119 
27.        63.        0.42       0.10                             A090800300120 
28.        58.        0.44       0.10                             A090800300121 
28.        59.        1.8        0.4                              A090800300122 
28.        60.        3.8        0.9                              A090800300123 
28.        61.        4.         1.                               A090800300124 
28.        62.        3.4        0.8                              A090800300125 
28.        63.        2.0        0.4                              A090800300126 
28.        64.        1.1        0.2                              A090800300127 
28.        65.        0.6        0.1                              A090800300128 
28.        66.        0.20       0.04                             A090800300129 
29.        60.        0.22       0.05                             A090800300130 
29.        61.        1.2        0.3                              A090800300131 
29.        62.        2.8        0.7                              A090800300132 
29.        63.        4.         1.                               A090800300133 
