         5.      61.21      1.351     0.0408                      A1536  2  160 
         5.      64.86      1.389     0.0408                      A1536  2  161 
         5.      69.25       1.39     0.0408                      A1536  2  162 
         5.      73.64      1.429     0.0408                      A1536  2  163 
         5.      78.03      1.393     0.0408                      A1536  2  164 
         5.      81.69      1.394     0.0408                      A1536  2  165 
         5.      85.35      1.395     0.0408                      A1536  2  166 
         6.      8.561     0.1867     0.0154                      A1536  2  167 
         6.      15.13     0.2597     0.0154                      A1536  2  168 
         6.      20.24     0.3326     0.0154                      A1536  2  169 
         6.       26.8     0.4491     0.0154                      A1536  2  170 
         6.      33.36     0.5656     0.0154                      A1536  2  171 
         6.      39.19      0.682     0.0154                      A1536  2  172 
         6.      48.67     0.8422     0.0154                      A1536  2  173 
         6.      52.32     0.8715     0.0154                      A1536  2  174 
         6.      57.43     0.9588     0.0154                      A1536  2  175 
         6.      61.82     0.9592     0.0154                      A1536  2  176 
         6.      65.47     0.9595     0.0154                      A1536  2  177 
         6.      69.86     0.9599     0.0154                      A1536  2  178 
         6.      74.27     0.8878     0.0154                      A1536  2  179 
         6.      78.66     0.8736     0.0154                      A1536  2  180 
         6.      83.79     0.8741     0.0154                      A1536  2  181 
         6.      86.71     0.8743     0.0154                      A1536  2  182 
         7.      8.637      0.158     0.0153                      A1536  2  183 
         7.      14.47     0.2299     0.0153                      A1536  2  184 
         7.      21.79     0.2449     0.0153                      A1536  2  185 
         7.      26.91     0.2596     0.0153                      A1536  2  186 
         7.      33.47     0.3317     0.0153                      A1536  2  187 
         7.      39.31     0.3893     0.0153                      A1536  2  188 
         7.      42.96     0.4325     0.0153                      A1536  2  189 
         7.      48.07     0.4901     0.0153                      A1536  2  190 
         7.      52.44     0.5619     0.0153                      A1536  2  191 
         7.      57.56     0.6053     0.0153                      A1536  2  192 
         7.      61.22     0.5913     0.0153                      A1536  2  193 
         7.      66.33     0.6346     0.0153                      A1536  2  194 
         7.      70.72      0.635     0.0153                      A1536  2  195 
         7.      75.11     0.6354     0.0153                      A1536  2  196 
         7.      78.78     0.6072     0.0153                      A1536  2  197 
         7.      83.89     0.6362     0.0153                      A1536  2  198 
         7.      87.56     0.6223     0.0153                      A1536  2  199 
         8.      15.18      0.188     0.0082                      A1536  2  200 
         8.       20.3     0.1884     0.0082                      A1536  2  201 
         8.      26.88      0.196     0.0082                      A1536  2  202 
         8.      33.45     0.2254     0.0082                      A1536  2  203 
         8.      40.01     0.2693     0.0082                      A1536  2  204 
         8.      43.63     0.3129     0.0082                      A1536  2  205 
         8.      48.73     0.3567     0.0082                      A1536  2  206 
         8.      53.09     0.3932     0.0082                      A1536  2  207 
         8.      58.19     0.4369     0.0082                      A1536  2  208 
         8.      61.83     0.4661     0.0082                      A1536  2  209 
         8.      66.93     0.4954     0.0082                      A1536  2  210 
         8.      70.58     0.5029     0.0082                      A1536  2  211 
         8.      74.97     0.5104     0.0082                      A1536  2  212 
         8.      78.64     0.4962     0.0082                      A1536  2  213 
         8.      83.01     0.5182     0.0082                      A1536  2  214 
         8.       87.4     0.5185     0.0082                      A1536  2  215 
         9.      14.01     0.1652     0.0081                      A1536  2  216 
         9.       20.6     0.1585     0.0081                      A1536  2  217 
         9.      27.17     0.1804     0.0081                      A1536  2  218 
         9.      33.74     0.2023     0.0081                      A1536  2  219 
         9.      39.57     0.2384     0.0081                      A1536  2  220 
         9.      44.67     0.2744     0.0081                      A1536  2  221 
         9.      49.03     0.3104     0.0081                      A1536  2  222 
         9.      52.68     0.3321     0.0081                      A1536  2  223 
         9.      57.78     0.3681     0.0081                      A1536  2  224 
         9.      62.17     0.3613     0.0081                      A1536  2  225 
         9.      65.81      0.383     0.0081                      A1536  2  226 
         9.      70.95      0.369     0.0081                      A1536  2  227 
         9.      75.33     0.3836     0.0081                      A1536  2  228 
         9.      78.99     0.3767     0.0081                      A1536  2  229 
         9.      83.38     0.3841     0.0081                      A1536  2  230 
         9.      87.76     0.3987     0.0081                      A1536  2  231 
        10.      15.09     0.1698     0.0076                      A1536  2  232 
        10.      20.94     0.1839     0.0076                      A1536  2  233 
        10.      27.52     0.1911     0.0076                      A1536  2  234 
        10.       34.1     0.2052     0.0076                      A1536  2  235 
        10.      39.94     0.2262     0.0076                      A1536  2  236 
        10.      45.04      0.261     0.0076                      A1536  2  237 
        10.      50.15     0.2888     0.0076                      A1536  2  238 
        10.      53.79     0.3097     0.0076                      A1536  2  239 
        10.      59.65     0.3125     0.0076                      A1536  2  240 
        10.      63.31     0.2964     0.0076                      A1536  2  241 
        10.      68.42     0.3174     0.0076                      A1536  2  242 
        10.      71.36     0.3037     0.0076                      A1536  2  243 
        10.      76.48     0.3109     0.0076                      A1536  2  244 
        10.      80.14     0.3042     0.0076                      A1536  2  245 
        10.      84.52     0.3182     0.0076                      A1536  2  246 
        10.      88.18     0.3184     0.0076                      A1536  2  247 
       11.5      8.701     0.1534      0.008                      A1536  2  248 
       11.5      14.55     0.1684      0.008                      A1536  2  249 
       11.5      21.14     0.1541      0.008                      A1536  2  250 
       11.5      28.44     0.1911      0.008                      A1536  2  251 
       11.5      34.28     0.2061      0.008                      A1536  2  252 
