EN         ANG        DATA       DATA-ERR                         A135700200020 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        A135700200021 
     3.474    155.         9.794      0.1111                      A135700200207 
     3.475    135.         8.918      0.1097                      A135700200208 
     3.497    100.         8.287      0.1125                      A135700200209 
     3.5       95.         8.308      0.0206                      A135700200210 
     3.501     90.         8.086      0.0254                      A135700200211 
     3.503     85.         8.         0.1097                      A135700200212 
     3.513    125.         8.718      0.0206                      A135700200213 
     3.514    105.         8.075      0.033                       A135700200214 
     3.568    135.         8.918      0.1097                      A135700200215 
     3.572    130.         8.733      0.1091                      A135700200216 
     3.575    115.         8.273      0.0254                      A135700200217 
     3.597    165.        10.24       0.1125                      A135700200218 
     3.599    145.         9.453      0.1125                      A135700200219 
     3.624    100.         8.962      0.1125                      A135700200220 
     3.627     90.         8.53       0.0254                      A135700200221 
     3.629    155.         9.793      0.1111                      A135700200222 
     3.657     95.         8.752      0.0206                      A135700200223 
     3.663    130.         8.403      0.1091                      A135700200224 
     3.666    125.         8.717      0.0206                      A135700200225 
     3.669    115.         8.828      0.0254                      A135700200226 
     3.67     105.         8.622      0.033                       A135700200227 
     3.69      85.         8.328      0.1097                      A135700200228 
     3.69     135.         8.368      0.1097                      A135700200229 
     3.692    145.         9.34       0.1125                      A135700200230 
     3.75     155.         9.014      0.1111                      A135700200231 
     3.781    165.         9.677      0.1125                      A135700200232 
     3.782     90.         8.64       0.0254                      A135700200233 
     3.793    105.         8.622      0.033                       A135700200234 
     3.809    100.         8.623      0.1125                      A135700200235 
     3.812     95.         8.973      0.0206                      A135700200236 
     3.816     85.         8.876      0.1097                      A135700200237 
     3.84     155.         8.125      0.1111                      A135700200238 
     3.848    130.         8.292      0.1091                      A135700200239 
     3.851    115.         8.271      0.0254                      A135700200240 
     3.851    125.         8.604      0.0206                      A135700200241 
     3.873    145.         7.876      0.1125                      A135700200242 
     3.876    135.         8.147      0.1097                      A135700200243 
     3.933    165.         8.438      0.1125                      A135700200244 
     3.964    100.         8.847      0.1125                      A135700200245 
     3.966     95.         8.416      0.0206                      A135700200246 
     3.967     90.         8.416      0.0254                      A135700200247 
     3.97      85.         8.655      0.1097                      A135700200248 
     3.975    115.         8.492      0.0254                      A135700200249 
     3.977    105.         8.291      0.033                       A135700200250 
     3.998    130.         7.303      0.1091                      A135700200251 
     4.002    125.         7.825      0.0206                      A135700200252 
     4.022    165.         7.313      0.1125                      A135700200253 
     4.023    155.         7.124      0.1111                      A135700200254 
     4.029    135.         7.707      0.1097                      A135700200255 
     4.057    145.         7.2        0.1125                      A135700200256 
     4.086    100.         8.058      0.1125                      A135700200257 
     4.092     85.         7.996      0.1097                      A135700200258 
     4.099    105.         8.071      0.033                       A135700200259 
     4.113    155.         6.012      0.1111                      A135700200260 
     4.12      95.         8.193      0.0206                      A135700200261 
     4.122     90.         8.304      0.0254                      A135700200262 
     4.127    115.         7.825      0.0254                      A135700200263 
     4.15     135.         6.499      0.1097                      A135700200264 
     4.154    125.         7.158      0.0206                      A135700200265 
     4.179    145.         6.637      0.1125                      A135700200266 
     4.182    130.         6.973      0.1091                      A135700200267 
     4.205    165.         6.299      0.1125                      A135700200268 
     4.239    100.         7.495      0.1125                      A135700200269 
     4.246     85.         7.556      0.1097                      A135700200270 
     4.25     105.         7.192      0.033                       A135700200271 
     4.271    130.         5.874      0.1091                      A135700200272 
     4.273     90.         7.081      0.0254                      A135700200273 
     4.273     95.         7.636      0.0206                      A135700200274 
     4.278    115.         7.046      0.0254                      A135700200275 
     4.297    155.         5.344      0.1111                      A135700200276 
     4.299    145.         5.398      0.1125                      A135700200277 
     4.305    125.         6.379      0.0206                      A135700200278 
     4.365    135.         6.059      0.1097                      A135700200279 
     4.387    165.         4.947      0.1125                      A135700200280 
     4.393    100.         6.931      0.1125                      A135700200281 
     4.399    115.         6.378      0.0254                      A135700200282 
     4.403    105.         6.971      0.033                       A135700200283 
     4.423    130.         5.325      0.1091                      A135700200284 
     4.426    125.         5.711      0.0206                      A135700200285 
     4.428     90.         6.969      0.0254                      A135700200286 
     4.429     85.         6.677      0.1097                      A135700200287 
     4.453    145.         4.835      0.1125                      A135700200288 
     4.457     95.         6.857      0.0206                      A135700200289 
     4.477    165.         4.047      0.1125                      A135700200290 
     4.48     155.         4.565      0.1111                      A135700200291 
     4.487    135.         5.399      0.1097                      A135700200292 
     4.546    100.         6.367      0.1125                      A135700200293 
     4.551    115.         5.821      0.0254                      A135700200294 
     4.554    105.         5.982      0.033                       A135700200295 
     4.578     95.         6.079      0.0206                      A135700200296 
     4.58      90.         6.079      0.0254                      A135700200297 
     4.583     85.         6.236      0.1097                      A135700200298 
     4.607    130.         5.323      0.1091                      A135700200299 
     4.61     125.         5.377      0.0206                      A135700200300 
     4.633    155.         3.786      0.1111                      A135700200301 
     4.636    145.         4.046      0.1125                      A135700200302 
     4.64     135.         4.74       0.1097                      A135700200303 
     4.661    165.         3.595      0.1125                      A135700200304 
     4.704     85.         5.467      0.1097                      A135700200305 
     4.723    155.         2.896      0.1111                      A135700200306 
     4.731    100.         5.916      0.1125                      A135700200307 
     4.732     95.         5.744      0.0206                      A135700200308 
     4.733     90.         5.411      0.0254                      A135700200309 
     4.737    105.         5.542      0.033                       A135700200310 
     4.762    125.         5.042      0.0206                      A135700200311 
     4.79     145.         3.595      0.1125                      A135700200312 
     4.797    115.         5.598      0.0254                      A135700200313 
     4.814    165.         2.919      0.1125                      A135700200314 
     4.856    135.         4.299      0.1097                      A135700200315 
     4.886     90.         4.632      0.0254                      A135700200316 
     4.886     95.         5.188      0.0206                      A135700200317 
     4.888     85.         4.698      0.1097                      A135700200318 
     4.914    125.         4.374      0.0206                      A135700200319 
     4.917    115.         4.819      0.0254                      A135700200320 
     4.92     105.         4.992      0.033                       A135700200321 
     4.971    155.         2.784      0.1111                      A135700200322 
     4.974    145.         2.918      0.1125                      A135700200323 
     4.979    135.         3.969      0.1097                      A135700200324 
     4.999    165.         2.355      0.1125                      A135700200325 
ENDDATA            306          0                                 A135700200326 
ENDSUBENT          325          0                                 A135700299999 
SUBENT        A1357003   19990322                             0000A135700300001 
BIB                  3          5                                 A135700300002 
REACTION   (3-LI-6(D,A)2-HE-4,,DA,,REL,EXP)                       A135700300003 
            Normalised to unit monitor reading.                   A135700300004 
ERR-ANALYS (ANG-ERR) Digitizing error                             A135700300005 
           (DATA-ERR) From graphic bars (total) and digitizing    A135700300006 
STATUS     (CURVE) Fig 2                                          A135700300007 
ENDBIB               5          0                                 A135700300008 
COMMON               1          3                                 A135700300009 
ANG-ERR                                                           A135700300010 
ADEG                                                              A135700300011 
  1.                                                              A135700300012 
ENDCOMMON            3          0                                 A135700300013 
DATA                 4         37                                 A135700300014 
EN         ANG-CM     DATA-CM    DATA-ERR                         A135700300015 
MEV        ADEG       ARB-UNITS  ARB-UNITS                        A135700300016 
     1.076     91.59       0.6432     0.0243                      A135700300017 
     1.076     95.49       0.6385     0.0243                      A135700300018 
     1.076     99.85       0.6435     0.0243                      A135700300019 
     1.076    105.1        0.6582     0.0243                      A135700300020 
     1.076    109.4        0.668      0.0291                      A135700300021 
     1.076    119.9        0.7071     0.034                       A135700300022 
     1.076    127.8        0.7413     0.0437                      A135700300023 
     1.076    132.2        0.7657     0.0243                      A135700300024 
     1.076    135.7        0.7998     0.0388                      A135700300025 
     1.076    144.9        0.8582     0.034                       A135700300026 
     1.076    152.7        0.8779     0.034                       A135700300027 
     1.076    161.5        0.9412     0.034                       A135700300028 
     2.196     88.27       0.6571     0.0103                      A135700300029 
     2.196     97.9        0.6051     0.0415                      A135700300030 
     2.196     99.97       0.7603     0.0311                      A135700300031 
     2.196    105.7        0.6566     0.0311                      A135700300032 
     2.196    109.6        0.7497     0.031                       A135700300033 
     2.196    119.4        0.8322     0.0415                      A135700300034 
     2.196    123.3        0.9149     0.0206                      A135700300035 
     2.196    129.1        0.8941     0.0518                      A135700300036 
     2.196    131.1        0.9768     0.0517                      A135700300037 
     2.196    135.1        1.059      0.0414                      A135700300038 
     2.196    142.9        1.184      0.0518                      A135700300039 
     2.196    148.9        1.339      0.0724                      A135700300040 
     2.196    156.8        1.514      0.062                       A135700300041 
     4.617     95.8        0.3144     0.0121                      A135700300042 
     4.617    100.1        0.3072     0.0121                      A135700300043 
     4.617    105.4        0.3169     0.017                       A135700300044 
     4.617    109.7        0.3121     0.0121                      A135700300045 
     4.617    114.5        0.3049     0.0146                      A135700300046 
     4.617    121.8        0.288      0.0121                      A135700300047 
     4.617    130.         0.2614     0.0146                      A135700300048 
     4.617    134.8        0.247      0.0097                      A135700300049 
     4.617    138.2        0.2252     0.0121                      A135700300050 
     4.617    144.2        0.1913     0.0121                      A135700300051 
     4.617    151.1        0.1574     0.0097                      A135700300052 
     4.617    159.8        0.1551     0.0121                      A135700300053 
ENDDATA             39          0                                 A135700300054 
ENDSUBENT           53          0                                 A135700399999 
SUBENT        A1357004   19990322                             0000A135700400001 
BIB                  3          8                                 A135700400002 
REACTION   (3-LI-6(D,A)2-HE-4,,DA,A,LEG/RSD,EXP)                  A135700400003 
           Form a0(1+a2(x)*p2(x)+a4(p4(x))), where p2(x) and p4(x)A135700400004 
           are legendre polynomials of the second and fourth orderA135700400005 
           and x=cos(theta).                                      A135700400006 
ERR-ANALYS (EN-ERR) Digitizing error                              A135700400007 
           (DATA-ERR) From graphic bars (5-10%) and digitizing    A135700400008 
STATUS     (CURVE) Fig 3                                          A135700400009 
           (DEP,A1357002)                                         A135700400010 
ENDBIB               8          0                                 A135700400011 
COMMON               1          3                                 A135700400012 
EN-ERR                                                            A135700400013 
MEV                                                               A135700400014 
 0.01                                                             A135700400015 
ENDCOMMON            3          0                                 A135700400016 
DATA                 4         51                                 A135700400017 
EN         NUMBER-CM  DATA-CM    DATA-ERR                         A135700400018 
MEV        NO-DIM     NO-DIM     NO-DIM                           A135700400019 
     0.9164     4.         0.0207     0.006                       A135700400020 
     0.9284     2.         0.2186     0.0059                      A135700400021 
     1.072      4.         0.0274     0.006                       A135700400022 
     1.078      2.         0.2725     0.0237                      A135700400023 
     1.084      2.         0.2725     0.0296                      A135700400024 
     1.227      2.         0.3382     0.0178                      A135700400025 
     1.227      4.         0.022      0.006                       A135700400026 
     1.394      2.         0.4217     0.0296                      A135700400027 
     1.406      4.         0.0528     0.0241                      A135700400028 
     1.585      2.         0.4993     0.0237                      A135700400029 
     1.597      4.         0.0656     0.006                       A135700400030 
     1.788      4.         0.0543     0.006                       A135700400031 
     1.967      2.         0.5896     0.0414                      A135700400032 
     1.979      4.         0.1455     0.0241                      A135700400033 
     2.194      4.         0.1463     0.006                       A135700400034 
     2.2        2.         0.6378     0.0355                      A135700400035 
     2.415      2.         0.6979     0.0295                      A135700400036 
     2.415      4.         0.1352     0.024                       A135700400037 
     2.654      2.         0.6455     0.0355                      A135700400038 
     2.672      4.         0.2205     0.0361                      A135700400039 
     2.779      2.         0.652      0.0355                      A135700400040 
     2.779      4.         0.0884     0.0181                      A135700400041 
     2.898      4.         0.1431     0.0241                      A135700400042 
     2.904      2.         0.6051     0.0236                      A135700400043 
     3.036      2.         0.5642     0.0177                      A135700400044 
     3.042      4.         0.1075     0.0181                      A135700400045 
     3.161      2.         0.4937     0.0296                      A135700400046 
     3.167      4.         0.1081     0.024                       A135700400047 
     3.316      4.         0.1147     0.006                       A135700400048 
     3.436      2.         0.264      0.0237                      A135700400049 
     3.448      4.         0.067      0.006                       A135700400050 
     3.591      2.         0.1759     0.0059                      A135700400051 
     3.591      4.         0.0796     0.006                       A135700400052 
     3.698      2.         0.052      0.0059                      A135700400053 
     3.734      4.         0.0682     0.006                       A135700400054 
     3.866      2.        -0.0579     0.0059                      A135700400055 
     3.866      4.         0.0566     0.006                       A135700400056 
     3.997      2.        -0.1421     0.0059                      A135700400057 
     4.021      4.         0.0151     0.006                       A135700400058 
     4.152      2.        -0.2361     0.0059                      A135700400059 
     4.152      4.         0.0096     0.006                       A135700400060 
     4.307      2.        -0.2947     0.0059                      A135700400061 
     4.307      4.        -0.0259     0.006                       A135700400062 
     4.451      4.        -0.0735     0.006                       A135700400063 
     4.463      2.        -0.3355     0.0059                      A135700400064 
     4.606      2.        -0.3645     0.0059                      A135700400065 
     4.618      4.        -0.121      0.006                       A135700400066 
     4.773      2.        -0.4053     0.0178                      A135700400067 
     4.785      4.        -0.2047     0.0181                      A135700400068 
     4.94       2.        -0.4224     0.0237                      A135700400069 
     4.94       4.        -0.2342     0.0301                      A135700400070 
ENDDATA             53          0                                 A135700400071 
ENDSUBENT           70          0                                 A135700499999 
SUBENT        A1357005   19990322                             0000A135700500001 
BIB                  3          5                                 A135700500002 
REACTION   (3-LI-6(D,A)2-HE-4,,SIG,,,EXP)                         A135700500003 
ERR-ANALYS (EN-ERR) Digitizing error                              A135700500004 
           (DATA-ERR) From graphic bars (total error) and         A135700500005 
           digitizing error                                       A135700500006 
STATUS     (CURVE) Fig 4                                          A135700500007 
ENDBIB               5          0                                 A135700500008 
COMMON               1          3                                 A135700500009 
EN-ERR                                                            A135700500010 
MEV                                                               A135700500011 
 0.01                                                             A135700500012 
ENDCOMMON            3          0                                 A135700500013 
DATA                 3         26                                 A135700500014 
EN         DATA       DATA-ERR                                    A135700500015 
MEV        MB         MB                                          A135700500016 
     0.9049    64.77       6.179                                  A135700500017 
     1.041     61.23       4.209                                  A135700500018 
     1.216     54.3        4.443                                  A135700500019 
     1.383     49.32       4.69                                   A135700500020 
     1.57      44.13       4.444                                  A135700500021 
     1.739     40.87       4.455                                  A135700500022 
     1.946     38.67       3.951                                  A135700500023 
     2.158     36.21       3.952                                  A135700500024 
     2.385     36.49       3.705                                  A135700500025 
     2.628     36.54       3.963                                  A135700500026 
     2.756     39.42       4.69                                   A135700500027 
     2.875     42.53       3.693                                  A135700500028 
     3.01      44.65       4.456                                  A135700500029 
     3.14      49.75       4.21                                   A135700500030 
     3.282     53.64       4.678                                  A135700500031 
     3.411     59.7        3.963                                  A135700500032 
     3.547     63.33       4.69                                   A135700500033 
     3.7       64.01       4.702                                  A135700500034 
     3.856     62.23       4.936                                  A135700500035 
     3.992     57.96       4.936                                  A135700500036 
     4.136     54.18       5.452                                  A135700500037 
     4.288     47.22       4.69                                   A135700500038 
     4.46      42.         4.456                                  A135700500039 
     4.627     37.02       3.964                                  A135700500040 
     4.777     33.26       4.197                                  A135700500041 
     4.95      27.55       4.456                                  A135700500042 
ENDDATA             28          0                                 A135700500043 
ENDSUBENT           42          0                                 A135700599999 
ENDENTRY             5          0                                 A135799999999 
