EN         ANG-CM     DATA-CM    DATA-ERR                         A111300200015 
MEV        ADEG       MB/SR      MB/SR                            A111300200016 
     9.341    109.7       22.64       0.5617                      A111300200215 
     9.372     90.        52.95       0.5617                      A111300200216 
     9.408    164.4       88.32       0.5617                      A111300200217 
     9.424     30.88     174.5        5.596                       A111300200218 
     9.43     109.7       22.57       0.5617                      A111300200219 
     9.46      90.        52.32       0.5617                      A111300200220 
     9.495    164.4       87.69       0.5617                      A111300200221 
     9.513     30.88     173.8        5.596                       A111300200222 
     9.519    109.7       23.05       0.5617                      A111300200223 
     9.548     90.        51.68       0.5617                      A111300200224 
     9.601     30.88     167.4        5.596                       A111300200225 
     9.605    109.7       20.73       0.5617                      A111300200226 
     9.607    164.4       88.16       0.5617                      A111300200227 
     9.636     90.        51.61       0.5617                      A111300200228 
     9.671    164.4       86.42       0.5617                      A111300200229 
     9.689     30.88     161.1        5.596                       A111300200230 
     9.696    109.7       22.35       0.5617                      A111300200231 
     9.723     90.        49.29       0.5617                      A111300200232 
     9.759    164.4       85.78       0.5617                      A111300200233 
     9.777     30.88     160.4        5.596                       A111300200234 
     9.784    109.7       22.27       0.5617                      A111300200235 
     9.812     90.        49.78       0.5617                      A111300200236 
     9.845     30.88     171.         5.596                       A111300200237 
     9.849    164.4       86.27       0.5617                      A111300200238 
     9.872    109.7       21.64       0.5617                      A111300200239 
     9.879     90.        50.29       0.5617                      A111300200240 
     9.933     30.88     164.7        5.596                       A111300200241 
     9.934    164.4       85.64       0.5617                      A111300200242 
     9.937    164.4       83.39       0.5617                      A111300200243 
     9.961    109.7       22.13       0.5617                      A111300200244 
     9.987     90.        47.95       0.5617                      A111300200245 
    10.       164.4       85.58       0.5617                      A111300200246 
    10.02      30.88     164.         5.596                       A111300200247 
    10.07     109.7       19.79       0.5617                      A111300200248 
    10.08      90.        48.44       0.5617                      A111300200249 
    10.09     164.4       84.38       0.5617                      A111300200250 
    10.11     164.4       83.81       0.5617                      A111300200251 
    10.13      30.88     157.5        5.596                       A111300200252 
    10.16      90.        46.68       0.5617                      A111300200253 
    10.16     109.7       19.15       0.5617                      A111300200254 
    10.18     164.4       85.43       0.5617                      A111300200255 
    10.22      30.88     162.3        5.596                       A111300200256 
    10.22     109.7       19.1        0.5617                      A111300200257 
    10.23      90.        48.31       0.5617                      A111300200258 
    10.26      30.88     162.         5.596                       A111300200259 
    10.29     164.4       83.1        0.5617                      A111300200260 
    10.31     109.7       18.46       0.5617                      A111300200261 
    10.35      30.88     155.6        5.596                       A111300200262 
    10.35     164.4       82.48       0.5617                      A111300200263 
    10.36      90.        46.52       0.5617                      A111300200264 
    10.42     109.7       17.81       0.5617                      A111300200265 
    10.44     164.4       82.41       0.5617                      A111300200266 
    10.45      90.        44.76       0.5617                      A111300200267 
    10.49      30.88     154.6        5.596                       A111300200268 
    10.51     109.7       17.74       0.5617                      A111300200269 
    10.52      90.        45.26       0.5617                      A111300200270 
    10.53     164.4       82.9        0.5617                      A111300200271 
