ENTRY            O2575   20230514                             O097O2575000    1 
SUBENT        O2575001   20230514                             O097O2575001    1 
BIB                 11         37                                 O2575001    2 
TITLE      Measurement, evaluation and benchmarking of            O2575001    3 
            differential cross sections for proton elastic        O2575001    4 
            scattering on natO in the energy range E = 4-6 MeV,   O2575001    5 
            suitable for EBS                                      O2575001    6 
AUTHOR     (M.Kokkoris, K.Bosmpotinis, V.Foteinou, A.F.Gurbich,   O2575001    7 
            A.Lagoyannis, F.Maragkos, N.Patronis, E.Taimpiri,     O2575001    8 
            A.Ziagkova)                                           O2575001    9 
INSTITUTE  (2GRCTUA,2GERBOC,4RUSFEI,2GRCATH,2GRCIOA)              O2575001   10 
REFERENCE  (J,NIM/B,539,15,2023)                                  O2575001   11 
           #doi:10.1016/j.nimb.2023.03.014                        O2575001   12 
FACILITY   (VDGT,2GRCATH)                                         O2575001   13 
INC-SPECT  The incident accelerator beam energy was corrected     O2575001   14 
           with the the energy loss in the ultra thin surface     O2575001   15 
           gold layer and the energy loss considering half of     O2575001   16 
           the disodium phosphate target thickness.               O2575001   17 
DETECTOR   (SIBAR) Six Si surface barrier detectors, having a     O2575001   18 
           thickness of 500 um.                                   O2575001   19 
SAMPLE     Thin, multi-layered structure, consisting of thin      O2575001   20 
           carbon foil, on top of which a layer of disodium       O2575001   21 
           phosphate (Na2HPO4, 8-10 keV in thickness, for         O2575001   22 
           Ep,lab = 6 to 4 MeV respectively), rich in oxygen,     O2575001   23 
           was evaporated and, on top of this, an ultra-thin Au   O2575001   24 
           layer (<1 keV) was also subsequently evaporated for    O2575001   25 
           normalization and wear protection purposes.            O2575001   26 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA,,RTH)                    O2575001   27 
ERR-ANALYS (ERR-S) Statistical uncertainty including the          O2575001   28 
           statistical error in the integrated yield of the p-Au  O2575001   29 
           scattering that was always kept below 2%, the          O2575001   30 
           corresponding one of the p-natO scattering that did    O2575001   31 
           not exceed 2-3% in the least favorable case and the    O2575001   32 
           NAu/NnatO ratio of about 1.8%.                         O2575001   33 
           (ERR-SYS,,7.) Systematic uncertainty originating from: O2575001   34 
           - accuracy of the implemented stopping power           O2575001   35 
           - lateral inhomogeneities in the target composition    O2575001   36 
           - carbon buildup effects                               O2575001   37 
HISTORY    (20230513R) Data reveived from M.Kokkoris for IBANDL   O2575001   38 
           (20230514C) VS                                         O2575001   39 
ENDBIB              37          0                                 O2575001   40 
NOCOMMON             0          0                                 O2575001   41 
ENDSUBENT           40          0                                 O257500199999 
SUBENT        O2575002   20230514                             O097O2575002    1 
BIB                  2          4                                 O2575002    2 
REACTION   (8-O-0(P,EL)8-O-0,,DA)                                 O2575002    3 
STATUS     (TABLE) Fig. 2 of                                      O2575002    4 
           Nucl.Instrum.Method Phys.Res.B 539(2023)15             O2575002    5 
           Converted by R33toX4 from R33 files.                   O2575002    6 
ENDBIB               4          0                                 O2575002    7 
NOCOMMON             0          0                                 O2575002    8 
DATA                 5        888                                 O2575002    9 
ANG        EN         EN-ERR     DATA       ERR-S                 O2575002   10 
       120.      5568.         6.      80.18       3.21           O2575002  125 
       120.      5583.         6.      71.12       2.84           O2575002  126 
       120.      5598.         6.      72.42       2.90           O2575002  127 
       120.      5613.         6.      68.40       2.74           O2575002  128 
       120.      5628.         6.      63.49       2.54           O2575002  129 
       120.      5643.         6.      65.23       2.61           O2575002  130 
       120.      5658.         6.      63.81       2.55           O2575002  131 
       120.      5673.         6.      63.49       2.54           O2575002  132 
       120.      5688.         6.      64.31       2.57           O2575002  133 
       120.      5703.         6.      61.14       2.45           O2575002  134 
       120.      5718.         6.      60.49       2.42           O2575002  135 
       120.      5733.         6.      61.77       2.47           O2575002  136 
       120.      5748.         6.      63.67       2.55           O2575002  137 
       120.      5753.         6.      61.80       2.47           O2575002  138 
       120.      5758.         6.      62.24       2.49           O2575002  139 
       120.      5763.         6.      64.77       2.59           O2575002  140 
       120.      5768.         6.      61.36       2.45           O2575002  141 
       120.      5773.         6.      61.87       2.47           O2575002  142 
       120.      5778.         6.      60.66       2.43           O2575002  143 
       120.      5783.         6.      59.46       2.38           O2575002  144 
       120.      5788.         6.      58.64       2.35           O2575002  145 
       120.      5803.         6.      41.77       1.67           O2575002  146 
       120.      5818.         6.      41.84       1.67           O2575002  147 
       120.      5833.         6.      41.39       1.66           O2575002  148 
       120.      5848.         6.      43.37       1.73           O2575002  149 
       120.      5863.         6.      42.92       1.72           O2575002  150 
       120.      5878.         6.      44.91       1.80           O2575002  151 
       120.      5893.         6.      45.77       1.83           O2575002  152 
       120.      5908.         6.      45.23       1.81           O2575002  153 
       120.      5923.         6.      45.59       1.82           O2575002  154 
       120.      5938.         6.      44.51       1.78           O2575002  155 
       120.      5953.         6.      42.64       1.71           O2575002  156 
       120.      5968.         6.      43.48       1.74           O2575002  157 
       120.      5983.         6.      43.68       1.75           O2575002  158 
       120.      5993.         6.      43.03       1.72           O2575002  159 
       130.      3992.         6.     125.33       5.01           O2575002  160 
       130.      4007.         6.     129.38       5.18           O2575002  161 
       130.      4022.         6.     124.64       4.99           O2575002  162 
       130.      4037.         6.     128.24       5.13           O2575002  163 
       130.      4052.         6.     130.61       5.22           O2575002  164 
       130.      4067.         6.     129.62       5.18           O2575002  165 
       130.      4082.         6.     132.48       5.30           O2575002  166 
       130.      4097.         6.     130.90       5.24           O2575002  167 
       130.      4112.         6.     135.10       5.40           O2575002  168 
       130.      4127.         6.     135.09       5.40           O2575002  169 
       130.      4142.         6.     139.17       5.57           O2575002  170 
       130.      4157.         6.     140.78       5.63           O2575002  171 
       130.      4172.         6.     142.97       5.72           O2575002  172 
       130.      4187.         6.     148.99       5.96           O2575002  173 
       130.      4202.         6.     157.55       6.30           O2575002  174 
       130.      4217.         6.     160.92       6.44           O2575002  175 
       130.      4232.         6.     167.98       6.72           O2575002  176 
       130.      4247.         6.     173.62       6.94           O2575002  177 
       130.      4262.         6.     186.62       7.46           O2575002  178 
       130.      4277.         6.     216.35       8.65           O2575002  179 
       130.      4292.         6.     226.22       9.05           O2575002  180 
       130.      4307.         6.     230.02       9.20           O2575002  181 
       130.      4322.         6.     226.93       9.08           O2575002  182 
       130.      4337.         6.     232.89       9.32           O2575002  183 
       130.      4352.         6.     236.96       9.48           O2575002  184 
       130.      4367.         6.     236.97       9.48           O2575002  185 
       130.      4382.         6.     232.41       9.30           O2575002  186 
       130.      4397.         6.     234.37       9.37           O2575002  187 
       130.      4412.         6.     231.78       9.27           O2575002  188 
       130.      4427.         6.     222.73       8.91           O2575002  189 
       130.      4442.         6.     225.81       9.03           O2575002  190 
       130.      4457.         6.     223.68       8.95           O2575002  191 
       130.      4472.         6.     217.53       8.70           O2575002  192 
       130.      4487.         6.     219.98       8.80           O2575002  193 
       130.      4502.         6.     219.92       8.80           O2575002  194 
       130.      4517.         6.     214.00       8.56           O2575002  195 
       130.      4532.         6.     213.19       8.53           O2575002  196 
       130.      4547.         6.     203.34       8.13           O2575002  197 
       130.      4562.         6.     205.79       8.23           O2575002  198 
       130.      4577.         6.     201.42       8.06           O2575002  199 
       130.      4592.         6.     197.16       7.89           O2575002  200 
       130.      4607.         6.     187.68       7.51           O2575002  201 
       130.      4622.         6.     191.67       7.67           O2575002  202 
       130.      4637.         6.     192.21       7.69           O2575002  203 
       130.      4652.         6.     197.78       7.91           O2575002  204 
       130.      4667.         6.     190.50       7.62           O2575002  205 
       130.      4682.         6.     179.04       7.16           O2575002  206 
       130.      4697.         6.     171.32       6.85           O2575002  207 
       130.      4712.         6.     169.46       6.78           O2575002  208 
       130.      4727.         6.     176.85       7.07           O2575002  209 
       130.      4742.         6.     169.99       6.80           O2575002  210 
       130.      4757.         6.     164.02       6.56           O2575002  211 
       130.      4772.         6.     157.28       6.29           O2575002  212 
       130.      4787.         6.     153.24       6.13           O2575002  213 
       130.      4802.         6.     150.80       6.03           O2575002  214 
       130.      4817.         6.     146.45       5.86           O2575002  215 
       130.      4832.         6.     140.46       5.62           O2575002  216 
       130.      4847.         6.     138.59       5.54           O2575002  217 
