ENTRY            O1513   20070510                             O030O151300000001 
SUBENT        O1513001   20070510                             O030O151300100001 
BIB                 14         46                                 O151300100002 
TITLE      Low-lying states in the unbound N-11 nucleus.          O151300100003 
AUTHOR     (E.Casarejos, C.Angulo, P.J.Woods, F.C.Barker,         O151300100004 
           P.Descouvemont, M.Aliotta, T.Davinson, P.Demaret,      O151300100005 
           M.Gaelens, P.Ledeux, Z.Liu, M.Loiselet, A.S.Murphy,    O151300100006 
           A.Ninane, I.A.Roberts, G.Ryckewaert, J.S.Schweitzer,   O151300100007 
           F.Vanderbist)                                          O151300100008 
INSTITUTE  (2BLGLVN)                                              O151300100009 
           (2UK EDG)                                              O151300100010 
           (3AULCBR)                                              O151300100011 
           (2BLGBRU)                                              O151300100012 
           (1USAUSA) University of Connecticut, Storrs, USA       O151300100013 
REFERENCE  (J,PR/C,73,014319,2006)                                O151300100014 
HISTORY    (20070509C) S B                                        O151300100015 
           (20070510U) Last checking has been done.               O151300100016 
COMMENT    *By authors*.The method of scattering of protons in    O151300100017 
           inverse kinematics has been used to identify low-lying O151300100018 
           resonances in the proton unbound nucleus N-11.         O151300100019 
SAMPLE     The C-10 atoms were produced through the B-10(p,n)C-10 O151300100020 
           reaction by bombarding a natural boron nitride target  O151300100021 
           with an intense 30-MeV proton beam.                    O151300100022 
           A 3-mg/cm**2 polyethylene-(CH(2))N-foil was used. The  O151300100023 
           target thickness was chosen such that the expected fullO151300100024 
           width of the 1/2+ ground state could be encompassed    O151300100025 
           at a single beam energy, while limiting the total      O151300100026 
           energy straggling of the beam in the target.           O151300100027 
ADD-RES    (COMP).The R-matrix framework.                         O151300100028 
MONITOR    (79-AU-197(6-C-10,EL)79-AU-197,,DA,,RTH) For           O151300100029 
           calibration the current amplifier at the Faraday cup.  O151300100030 
DETECTOR   (TELES) The recoil protons were detected using a       O151300100031 
           compact dick silicon strip detector based delta-E-E    O151300100032 
           telescope array called Cd-PAD, which allows for very   O151300100033 
           clean separation between proton,alpha and beta-        O151300100034 
           particles. The Cd-PAD array was situated 12.1-cm down- O151300100035 
           stream from the target. The energy calibration of the  O151300100036 
           detector array was performed by means of a three-line  O151300100037 
           alpha-source-Pu-239, Am-241, cm-244. The laboratory    O151300100038 
           proton energy resolution was 55-keV for the delta-E    O151300100039 
           detectors and 90-keV for the PAD-detectors.            O151300100040 
FACILITY   (CYCLO,2BLGLVN)                                        O151300100041 
METHOD     (EDE)                                                  O151300100042 
ERR-ANALYS (ERR-1).The error in the number of counts for the solidO151300100043 
           angles of the detectors is 5%.                         O151300100044 
           (ERR-2). The error in the H-content in target is 10%.  O151300100045 
           (ERR-3).The error in the total number of incident beam O151300100046 
           particles is 15%.                                      O151300100047 
STATUS     (TABLE) Data were received from C.Angulo               O151300100048 
ENDBIB              46          0                                 O151300100049 
COMMON               3          3                                 O151300100050 
ERR-1      ERR-2      ERR-3                                       O151300100051 
PER-CENT   PER-CENT   PER-CENT                                    O151300100052 
         5.        10.        15.                                 O151300100053 
ENDCOMMON            3          0                                 O151300100054 
ENDSUBENT           53          0                                 O151300199999 
SUBENT        O1513002   20070510                             O030O151300200001 
BIB                  2          3                                 O151300200002 
REACTION   (1-H-1(6-C-10,EL)1-H-1,,DA)                            O151300200003 
ERR-ANALYS (ANG-ERR).The uncertainty is reported by authors.      O151300200004 
           (ERR-S).The uncertainty is reported by authors.        O151300200005 
ENDBIB               3          0                                 O151300200006 
NOCOMMON             0          0                                 O151300200007 
DATA                 5        395                                 O151300200008 
EN-CM      ANG-CM     ANG-ERR    DATA-CM    ERR-S                 O151300200009 
        1.1      158.7         1.        12.         4.           O151300200081 
        1.1      162.7         1.        14.         2.           O151300200082 
        1.1      166.7         1.        11.         4.           O151300200083 
        1.1      170.9         1.         9.         4.           O151300200084 
       1.15      142.2        0.5        14.         3.           O151300200085 
       1.15      144.1        0.5         8.         1.           O151300200086 
       1.15       146.        0.5        12.         3.           O151300200087 
       1.15      147.9        0.5        12.         2.           O151300200088 
       1.15      150.8         1.         8.         1.           O151300200089 
       1.15      154.7         1.        11.         2.           O151300200090 
       1.15      158.7         1.        13.         4.           O151300200091 
       1.15      162.7         1.         9.         2.           O151300200092 
       1.15      166.7         1.        11.         4.           O151300200093 
       1.15      170.9         1.        13.         3.           O151300200094 
        1.2      142.2        0.5        17.         3.           O151300200095 
        1.2      144.1        0.5        14.         2.           O151300200096 
        1.2       146.        0.5        15.         4.           O151300200097 
        1.2      147.9        0.5        12.         3.           O151300200098 
        1.2      150.8         1.        13.         2.           O151300200099 
        1.2      154.7         1.        14.         2.           O151300200100 
        1.2      158.7         1.        18.         4.           O151300200101 
        1.2      162.7         1.        12.         2.           O151300200102 
        1.2      166.7         1.        15.         4.           O151300200103 
        1.2      170.9         1.        18.         4.           O151300200104 
       1.25      142.2        0.5        16.         3.           O151300200105 
       1.25      144.1        0.5        12.         2.           O151300200106 
       1.25       146.        0.5        16.         3.           O151300200107 
       1.25      147.9        0.5        17.         3.           O151300200108 
       1.25      150.8         1.        18.         2.           O151300200109 
       1.25      154.7         1.        14.         2.           O151300200110 
       1.25      158.7         1.        20.         4.           O151300200111 
       1.25      162.7         1.        19.         3.           O151300200112 
       1.25      166.7         1.        21.         4.           O151300200113 
       1.25      170.9         1.        18.         5.           O151300200114 
        1.3      142.2        0.5        27.         5.           O151300200115 
        1.3      144.1        0.5        23.         3.           O151300200116 
        1.3       146.        0.5        30.         5.           O151300200117 
        1.3      147.9        0.5        17.         3.           O151300200118 
        1.3      150.8         1.        31.         3.           O151300200119 
        1.3      154.7         1.        27.         3.           O151300200120 
        1.3      158.7         1.        33.         5.           O151300200121 
        1.3      162.7         1.        24.         3.           O151300200122 
        1.3      166.7         1.        35.         5.           O151300200123 
        1.3      170.9         1.        33.         6.           O151300200124 
       1.35      142.2        0.5        34.         5.           O151300200125 
       1.35      144.1        0.5        28.         4.           O151300200126 
       1.35       146.        0.5        31.         5.           O151300200127 
       1.35      147.9        0.5        31.         4.           O151300200128 
       1.35      150.8         1.        32.         3.           O151300200129 
       1.35      154.7         1.        31.         3.           O151300200130 
       1.35      158.7         1.        37.         5.           O151300200131 
       1.35      162.7         1.        36.         4.           O151300200132 
       1.35      166.7         1.        37.         5.           O151300200133 
       1.35      170.9         1.        37.         6.           O151300200134 
        1.4      142.2        0.5        49.         6.           O151300200135 
        1.4      144.1        0.5        41.         4.           O151300200136 
        1.4       146.        0.5        45.         7.           O151300200137 
        1.4      147.9        0.5        43.         6.           O151300200138 
        1.4      150.8         1.        40.         3.           O151300200139 
        1.4      154.7         1.        46.         5.           O151300200140 
        1.4      158.7         1.        56.         6.           O151300200141 
        1.4      162.7         1.        42.         4.           O151300200142 
        1.4      166.7         1.        49.         6.           O151300200143 
        1.4      170.9         1.        50.         7.           O151300200144 
       1.45      142.2        0.5        49.         6.           O151300200145 
       1.45      144.1        0.5        52.         5.           O151300200146 
       1.45       146.        0.5        56.         7.           O151300200147 
       1.45      147.9        0.5        64.         8.           O151300200148 
       1.45      150.8         1.        55.         4.           O151300200149 
       1.45      154.7         1.        57.         5.           O151300200150 
       1.45      158.7         1.        52.         5.           O151300200151 
       1.45      162.7         1.        48.         5.           O151300200152 
       1.45      166.7         1.        56.         6.           O151300200153 
       1.45      170.9         1.        58.         7.           O151300200154 
        1.5      142.2        0.5        54.         7.           O151300200155 
        1.5      144.1        0.5        59.         5.           O151300200156 
        1.5       146.        0.5        67.         8.           O151300200157 
        1.5      147.9        0.5        69.         8.           O151300200158 
        1.5      150.8         1.        67.         5.           O151300200159 
        1.5      154.7         1.        67.         5.           O151300200160 
        1.5      158.7         1.        57.         7.           O151300200161 
        1.5      162.7         1.        64.         6.           O151300200162 
        1.5      166.7         1.        68.         7.           O151300200163 
        1.5      170.9         1.        63.         8.           O151300200164 
       1.55      142.2        0.5        68.         8.           O151300200165 
       1.55      144.1        0.5        75.         6.           O151300200166 
       1.55       146.        0.5        73.         8.           O151300200167 
       1.55      147.9        0.5        68.         8.           O151300200168 
       1.55      150.8         1.        72.         5.           O151300200169 
       1.55      154.7         1.        75.         6.           O151300200170 
       1.55      158.7         1.        71.         6.           O151300200171 
       1.55      162.7         1.        76.         6.           O151300200172 
       1.55      166.7         1.        77.         7.           O151300200173 
       1.55      170.9         1.        76.         8.           O151300200174 
        1.6      142.2        0.5        81.         9.           O151300200175 
        1.6      144.1        0.5        78.         6.           O151300200176 
        1.6       146.        0.5        78.         8.           O151300200177 
        1.6      147.9        0.5        80.         9.           O151300200178 
        1.6      150.8         1.        81.         6.           O151300200179 
        1.6      154.7         1.        77.         6.           O151300200180 
        1.6      158.7         1.        78.         7.           O151300200181 
        1.6      162.7         1.        73.         6.           O151300200182 
        1.6      166.7         1.        80.         7.           O151300200183 
        1.6      170.9         1.        77.         8.           O151300200184 
       1.65      142.2        0.5        89.         9.           O151300200185 
       1.65      144.1        0.5        87.         7.           O151300200186 
       1.65       146.        0.5        89.         9.           O151300200187 
       1.65      147.9        0.5        86.         9.           O151300200188 
       1.65      150.8         1.        82.         6.           O151300200189 
       1.65      154.7         1.        89.         7.           O151300200190 
       1.65      158.7         1.        86.         8.           O151300200191 
       1.65      162.7         1.        82.         6.           O151300200192 
       1.65      166.7         1.        78.         8.           O151300200193 
       1.65      170.9         1.        85.         8.           O151300200194 
        1.7      142.2        0.5        85.         9.           O151300200195 
        1.7      144.1        0.5        90.         7.           O151300200196 
        1.7       146.        0.5        80.         8.           O151300200197 
        1.7      147.9        0.5        93.         9.           O151300200198 
        1.7      150.8         1.        88.         6.           O151300200199 
        1.7      154.7         1.        75.         6.           O151300200200 
        1.7      158.7         1.        86.         8.           O151300200201 
        1.7      162.7         1.        88.         7.           O151300200202 
        1.7      166.7         1.        84.         7.           O151300200203 
        1.7      170.9         1.        76.         8.           O151300200204 
       1.75      142.2        0.5        85.         9.           O151300200205 
       1.75      144.1        0.5        86.         7.           O151300200206 
       1.75       146.        0.5        92.         9.           O151300200207 
       1.75      147.9        0.5        89.         9.           O151300200208 
       1.75      150.8         1.        94.         6.           O151300200209 
       1.75      154.7         1.        86.         7.           O151300200210 
       1.75      158.7         1.        91.         8.           O151300200211 
       1.75      162.7         1.        84.         7.           O151300200212 
       1.75      166.7         1.        79.         7.           O151300200213 
       1.75      170.9         1.        78.         8.           O151300200214 
        1.8      142.2        0.5       101.        10.           O151300200215 
        1.8      144.1        0.5        88.         7.           O151300200216 
        1.8       146.        0.5        84.         9.           O151300200217 
        1.8      147.9        0.5        88.        10.           O151300200218 
        1.8      150.8         1.        90.         6.           O151300200219 
        1.8      154.7         1.        82.         7.           O151300200220 
        1.8      158.7         1.        83.         8.           O151300200221 
        1.8      162.7         1.        78.         6.           O151300200222 
        1.8      166.7         1.        70.         7.           O151300200223 
        1.8      170.9         1.        76.         8.           O151300200224 
       1.85      142.2        0.5        95.        10.           O151300200225 
       1.85      144.1        0.5        96.         7.           O151300200226 
       1.85       146.        0.5        97.         9.           O151300200227 
       1.85      147.9        0.5        97.         9.           O151300200228 
       1.85      150.8         1.        84.         6.           O151300200229 
       1.85      154.7         1.        84.         7.           O151300200230 
       1.85      158.7         1.        86.         8.           O151300200231 
       1.85      162.7         1.        79.         6.           O151300200232 
       1.85      166.7         1.        75.         7.           O151300200233 
       1.85      170.9         1.        74.         8.           O151300200234 
        1.9      142.2        0.5        95.        10.           O151300200235 
        1.9      144.1        0.5        88.         7.           O151300200236 
        1.9       146.        0.5        97.         9.           O151300200237 
        1.9      147.9        0.5        92.         9.           O151300200238 
        1.9      150.8         1.        77.         6.           O151300200239 
        1.9      154.7         1.        86.         7.           O151300200240 
        1.9      158.7         1.        74.         8.           O151300200241 
        1.9      162.7         1.        73.         6.           O151300200242 
        1.9      166.7         1.        68.         7.           O151300200243 
        1.9      170.9         1.        63.         7.           O151300200244 
       1.95      142.2        0.5        82.         9.           O151300200245 
       1.95      144.1        0.5        94.         8.           O151300200246 
       1.95       146.        0.5        91.         9.           O151300200247 
       1.95      147.9        0.5        93.         9.           O151300200248 
       1.95      150.8         1.        84.         6.           O151300200249 
       1.95      154.7         1.        77.         6.           O151300200250 
       1.95      158.7         1.        74.         8.           O151300200251 
       1.95      162.7         1.        75.         6.           O151300200252 
       1.95      166.7         1.        70.         7.           O151300200253 
       1.95      170.9         1.        69.         8.           O151300200254 
         2.      142.2        0.5       102.        10.           O151300200255 
         2.      144.1        0.5       101.         7.           O151300200256 
         2.       146.        0.5        87.         9.           O151300200257 
         2.      147.9        0.5        89.        10.           O151300200258 
         2.      150.8         1.        87.         6.           O151300200259 
         2.      154.7         1.        82.         7.           O151300200260 
         2.      158.7         1.        82.         8.           O151300200261 
         2.      162.7         1.        68.         6.           O151300200262 
         2.      166.7         1.        69.         7.           O151300200263 
         2.      170.9         1.        74.         8.           O151300200264 
       2.05      142.2        0.5        96.        10.           O151300200265 
       2.05      144.1        0.5       100.         7.           O151300200266 
       2.05       146.        0.5       110.        10.           O151300200267 
       2.05      147.9        0.5       101.        10.           O151300200268 
       2.05      150.8         1.       100.         7.           O151300200269 
       2.05      154.7         1.        90.         6.           O151300200270 
       2.05      158.7         1.        80.         8.           O151300200271 
       2.05      162.7         1.        83.         7.           O151300200272 
       2.05      166.7         1.        86.         8.           O151300200273 
       2.05      170.9         1.        67.         7.           O151300200274 
        2.1      142.2        0.5       108.        10.           O151300200275 
        2.1      144.1        0.5       114.         8.           O151300200276 
        2.1       146.        0.5        98.         9.           O151300200277 
        2.1      147.9        0.5       104.        10.           O151300200278 
        2.1      150.8         1.        95.         6.           O151300200279 
        2.1      154.7         1.        98.         6.           O151300200280 
        2.1      158.7         1.        92.         8.           O151300200281 
        2.1      162.7         1.        99.         7.           O151300200282 
        2.1      166.7         1.        80.         8.           O151300200283 
        2.1      170.9         1.        92.         9.           O151300200284 
       2.15      142.2        0.5       136.        11.           O151300200285 
       2.15      144.1        0.5       121.         7.           O151300200286 
       2.15       146.        0.5       116.        11.           O151300200287 
       2.15      147.9        0.5       109.        10.           O151300200288 
       2.15      150.8         1.       117.        10.           O151300200289 
       2.15      154.7         1.       111.         7.           O151300200290 
       2.15      158.7         1.       100.         7.           O151300200291 
       2.15      162.7         1.        99.         7.           O151300200292 
       2.15      166.7         1.       112.         9.           O151300200293 
       2.15      170.9         1.        88.         9.           O151300200294 
        2.2      142.2        0.5       136.        11.           O151300200295 
        2.2      144.1        0.5       130.         9.           O151300200296 
        2.2       146.        0.5       128.        10.           O151300200297 
        2.2      147.9        0.5       131.        12.           O151300200298 
        2.2      150.8         1.       140.         7.           O151300200299 
        2.2      154.7         1.       120.         7.           O151300200300 
        2.2      158.7         1.       122.         9.           O151300200301 
        2.2      162.7         1.       126.         8.           O151300200302 
        2.2      166.7         1.       128.         9.           O151300200303 
        2.2      170.9         1.       110.        10.           O151300200304 
       2.25      142.2        0.5       158.        11.           O151300200305 
       2.25      144.1        0.5       152.         9.           O151300200306 
       2.25       146.        0.5       155.        11.           O151300200307 
       2.25      147.9        0.5       155.        11.           O151300200308 
       2.25      150.8         1.       140.         7.           O151300200309 
       2.25      154.7         1.       142.         8.           O151300200310 
       2.25      158.7         1.       145.         9.           O151300200311 
       2.25      162.7         1.       134.         9.           O151300200312 
       2.25      166.7         1.       138.        10.           O151300200313 
       2.25      170.9         1.       127.        11.           O151300200314 
        2.3      142.2        0.5       155.        12.           O151300200315 
        2.3      144.1        0.5       163.         9.           O151300200316 
        2.3       146.        0.5       164.        11.           O151300200317 
        2.3      147.9        0.5       170.        13.           O151300200318 
        2.3      150.8         1.       161.         8.           O151300200319 
        2.3      154.7         1.       149.         8.           O151300200320 
        2.3      158.7         1.       159.        10.           O151300200321 
        2.3      162.7         1.       151.         8.           O151300200322 
        2.3      166.7         1.       156.        10.           O151300200323 
        2.3      170.9         1.       142.        11.           O151300200324 
       2.35      142.2        0.5       182.        12.           O151300200325 
       2.35      144.1        0.5       177.         9.           O151300200326 
       2.35       146.        0.5       165.        11.           O151300200327 
       2.35      147.9        0.5       182.        13.           O151300200328 
       2.35      150.8         1.       185.         9.           O151300200329 
       2.35      154.7         1.       176.         8.           O151300200330 
       2.35      158.7         1.       182.        10.           O151300200331 
       2.35      162.7         1.       181.         9.           O151300200332 
       2.35      166.7         1.       181.        10.           O151300200333 
       2.35      170.9         1.       176.        13.           O151300200334 
        2.4      142.2        0.5       195.        13.           O151300200335 
        2.4      144.1        0.5       178.         9.           O151300200336 
        2.4       146.        0.5       195.        12.           O151300200337 
        2.4      147.9        0.5       184.        13.           O151300200338 
        2.4      150.8         1.       201.         9.           O151300200339 
        2.4      154.7         1.       186.        10.           O151300200340 
        2.4      158.7         1.       187.        10.           O151300200341 
        2.4      162.7         1.       192.        10.           O151300200342 
        2.4      166.7         1.       191.        11.           O151300200343 
        2.4      170.9         1.       181.        13.           O151300200344 
       2.45      142.2        0.5       192.        13.           O151300200345 
       2.45      144.1        0.5       200.        10.           O151300200346 
       2.45       146.        0.5       211.        12.           O151300200347 
       2.45      147.9        0.5       208.        14.           O151300200348 
       2.45      150.8         1.       204.         9.           O151300200349 
       2.45      154.7         1.       202.        10.           O151300200350 
       2.45      158.7         1.       214.        11.           O151300200351 
       2.45      162.7         1.       217.        11.           O151300200352 
       2.45      166.7         1.       202.        12.           O151300200353 
       2.45      170.9         1.       214.        14.           O151300200354 
        2.5      142.2        0.5       204.        13.           O151300200355 
        2.5      144.1        0.5       215.        11.           O151300200356 
        2.5       146.        0.5       211.        12.           O151300200357 
        2.5      147.9        0.5       200.        14.           O151300200358 
        2.5      150.8         1.       217.         9.           O151300200359 
        2.5      154.7         1.       224.        11.           O151300200360 
        2.5      158.7         1.       222.        11.           O151300200361 
        2.5      162.7         1.       229.        11.           O151300200362 
        2.5      166.7         1.       225.        12.           O151300200363 
        2.5      170.9         1.       227.        14.           O151300200364 
       2.55      142.2        0.5       211.        14.           O151300200365 
       2.55      144.1        0.5       212.        10.           O151300200366 
       2.55       146.        0.5       228.        14.           O151300200367 
       2.55      147.9        0.5       230.        15.           O151300200368 
       2.55      150.8         1.       231.         9.           O151300200369 
       2.55      154.7         1.       239.        11.           O151300200370 
       2.55      158.7         1.       228.        12.           O151300200371 
       2.55      162.7         1.       240.        11.           O151300200372 
       2.55      166.7         1.       248.        12.           O151300200373 
       2.55      170.9         1.       242.        14.           O151300200374 
        2.6      142.2        0.5       236.        14.           O151300200375 
        2.6      144.1        0.5       233.        11.           O151300200376 
        2.6       146.        0.5       226.        13.           O151300200377 
        2.6      147.9        0.5       222.        16.           O151300200378 
        2.6      150.8         1.       225.        10.           O151300200379 
        2.6      154.7         1.       247.        11.           O151300200380 
        2.6      158.7         1.       251.        11.           O151300200381 
        2.6      162.7         1.       266.        12.           O151300200382 
        2.6      166.7         1.       246.        13.           O151300200383 
        2.6      170.9         1.       259.        15.           O151300200384 
       2.65      142.2        0.5       227.        14.           O151300200385 
       2.65      144.1        0.5       238.        12.           O151300200386 
       2.65       146.        0.5       244.        14.           O151300200387 
       2.65      147.9        0.5       234.        16.           O151300200388 
       2.65      150.8         1.       244.        10.           O151300200389 
       2.65      154.7         1.       245.        11.           O151300200390 
       2.65      158.7         1.       261.        12.           O151300200391 
       2.65      166.7         1.       262.        12.           O151300200392 
       2.65      170.9         1.       285.        14.           O151300200393 
        2.7      142.2        0.5       235.        15.           O151300200394 
        2.7      144.1        0.5       249.        13.           O151300200395 
        2.7       146.        0.5       244.        14.           O151300200396 
        2.7      147.9        0.5       244.        16.           O151300200397 
        2.7      150.8         1.       257.        11.           O151300200398 
        2.7      154.7         1.       264.        12.           O151300200399 
        2.7      166.7         1.       283.        13.           O151300200400 
        2.7      170.9         1.       284.        15.           O151300200401 
       2.75      142.2        0.5       233.        14.           O151300200402 
       2.75      144.1        0.5       257.        12.           O151300200403 
       2.75      166.7         1.       286.        15.           O151300200404 
       2.75      170.9         1.       302.        16.           O151300200405 
ENDDATA            397          0                                 O151300200406 
ENDSUBENT          405          0                                 O151300299999 
ENDENTRY             2          0                                 O151399999999 
