ENTRY            O2432   20190602                             O070O2432  0    1 
SUBENT        O2432001   20190602                             O070O2432  1    1 
BIB                 11         32                                 O2432  1    2 
TITLE      Observation of 15N + alpha resonant structures in 19F  O2432  1    3 
           using the thick target in inverse kinematics scatteringO2432  1    4 
           method                                                 O2432  1    5 
AUTHOR     (M.La Cognata,M.Fisichella,A.Di Pietro,P.Figuera,      O2432  1    6 
           V.Z.Goldberg,S.Cherubini,J.P.Fernandez Garcia,M.Gulino,O2432  1    7 
           L.Lamia,D.Lattuada,M.Lattuada,R.G.Pizzone,             O2432  1    8 
           G.G.Rapisarda,S.Romano,R.Sparta,C.Spitaleri,D.Torresi, O2432  1    9 
           A.Tumino,M.Zadro)                                      O2432  1   10 
INSTITUTE  (2ITYLNS,1USATAM,2ITYCAT,2SPNSEU,2ITYENN,3CRORBZ)      O2432  1   11 
           (3RUMRUM) Extreme Light Infrastructure-Nuclear         O2432  1   12 
           Physics (ELI-NP) , Magurele, Romania                   O2432  1   13 
REFERENCE  (J,PR/C,99,034301,2019)                                O2432  1   14 
           #doi:10.1103/PhysRevC.99.034301                        O2432  1   15 
FACILITY   (VDGT,2ITYLNS) Tandem accelerator at the               O2432  1   16 
           Laboratori Nazionali del Sud in Catania                O2432  1   17 
SAMPLE     CT2000 2-m-diameter scattering chamber, filled with    O2432  1   18 
           helium gas of nominal isotopic purity of 99.9999% at   O2432  1   19 
           a pressure of 142 mbar in static conditions.           O2432  1   20 
DETECTOR   (TELES,SIBAR) 10-um-thick deltaE and 500-um-thick      O2432  1   21 
           detector to measure the residual energy.               O2432  1   22 
           Two 200 um thick silicon surface barrier detectors     O2432  1   23 
           to measure elastic scattering from Au.                 O2432  1   24 
METHOD     (TTM) The thick target resonant scattering in inverse  O2432  1   25 
           kinematics                                             O2432  1   26 
           (EDE)                                                  O2432  1   27 
MONITOR    (79-AU-197(7-N-15,EL)79-AU-197,,DA,,RTH)               O2432  1   28 
ADD-RES    (STRUC) The properties of the F-19 states above and    O2432  1   29 
           below the p-emission threshold studied by R-matrix     O2432  1   30 
           analysis and presented in tables III and II            O2432  1   31 
           respectively.                                          O2432  1   32 
HISTORY    (20190417R) Data received from Dr. Marco La Cognata.   O2432  1   33 
           (20190602C) VS                                         O2432  1   34 
ENDBIB              32          0                                 O2432  1   35 
NOCOMMON             0          0                                 O2432  1   36 
ENDSUBENT           35          0                                 O2432  199999 
SUBENT        O2432002   20190602                             O070O2432  2    1 
BIB                  3          5                                 O2432  2    2 
REACTION   ((2-HE-4(7-N-15,EL)2-HE-4,,DA)=                        O2432  2    3 
           (7-N-15(A,EL)7-N-15,,DA))                              O2432  2    4 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainties. O2432  2    5 
STATUS     (TABLE) Plotted as a function of the 19F excitation    O2432  2    6 
           energy on Fig. 2 of Phys.Rev.C99(2019)034301.          O2432  2    7 
ENDBIB               5          0                                 O2432  2    8 
NOCOMMON             0          0                                 O2432  2    9 
DATA                 4       5799                                 O2432  2   10 
      2.180      171.1       56.0        2.8                      O2432  2  299 
      2.182      154.7       50.2        2.7                      O2432  2  300 
      2.184      154.8       51.7        2.2                      O2432  2  301 
      2.184      179.8       50.8        2.6                      O2432  2  302 
      2.185      163.2       47.5        2.6                      O2432  2  303 
      2.187      162.8       53.5        2.7                      O2432  2  304 
      2.189      137.4       58.9        2.3                      O2432  2  305 
      2.190      129.4       48.4        2.1                      O2432  2  306 
      2.190      138.1       46.6        2.1                      O2432  2  307 
      2.190      145.9       47.0        2.1                      O2432  2  308 
      2.190      171.1       54.7        2.8                      O2432  2  309 
      2.192      154.7       50.4        2.7                      O2432  2  310 
      2.194      154.8       47.3        2.1                      O2432  2  311 
      2.194      179.8       50.5        2.7                      O2432  2  312 
      2.195      163.2       50.3        2.6                      O2432  2  313 
      2.197      162.8       51.2        2.7                      O2432  2  314 
      2.199      137.5       47.6        2.1                      O2432  2  315 
      2.200      129.5       50.3        2.2                      O2432  2  316 
      2.200      138.2       56.4        2.3                      O2432  2  317 
      2.200      146.0       47.4        2.1                      O2432  2  318 
      2.200      171.2       52.9        2.7                      O2432  2  319 
      2.202      154.8       45.0        2.5                      O2432  2  320 
      2.204      154.9       51.4        2.2                      O2432  2  321 
      2.204      179.8       52.3        2.7                      O2432  2  322 
      2.205      163.3       56.3        2.8                      O2432  2  323 
      2.207      162.9       54.2        2.7                      O2432  2  324 
      2.209      137.6       51.8        2.2                      O2432  2  325 
      2.210      129.5       49.7        2.1                      O2432  2  326 
      2.210      138.2       54.1        2.3                      O2432  2  327 
      2.210      146.0       49.7        2.2                      O2432  2  328 
      2.210      171.2       50.8        2.7                      O2432  2  329 
      2.212      154.8       51.6        2.7                      O2432  2  330 
      2.214      154.9       55.3        2.3                      O2432  2  331 
      2.214      179.8       48.7        2.6                      O2432  2  332 
      2.215      163.3       50.3        2.7                      O2432  2  333 
      2.217      162.9       53.2        2.7                      O2432  2  334 
      2.219      137.7       53.2        2.2                      O2432  2  335 
      2.220      129.6       50.9        2.2                      O2432  2  336 
      2.220      138.3       53.4        2.2                      O2432  2  337 
      2.220      146.1       53.2        2.3                      O2432  2  338 
      2.220      171.2       52.6        2.7                      O2432  2  339 
      2.222      154.9       49.2        2.7                      O2432  2  340 
      2.224      155.0       53.3        2.3                      O2432  2  341 
      2.224      179.8       59.4        2.9                      O2432  2  342 
      2.225      163.3       50.3        2.7                      O2432  2  343 
      2.227      162.9       53.7        2.7                      O2432  2  344 
      2.229      137.8       49.4        2.1                      O2432  2  345 
      2.230      129.7       47.2        2.1                      O2432  2  346 
      2.230      138.4       47.7        2.1                      O2432  2  347 
      2.230      146.2       52.2        2.2                      O2432  2  348 
      2.230      171.2       54.3        2.7                      O2432  2  349 
      2.232      154.9       54.2        2.8                      O2432  2  350 
      2.234      155.0       55.6        2.3                      O2432  2  351 
      2.234      179.8       54.9        2.8                      O2432  2  352 
      2.235      163.3       55.5        2.8                      O2432  2  353 
      2.237      163.0       53.9        2.8                      O2432  2  354 
      2.239      137.8       51.2        2.2                      O2432  2  355 
      2.240      129.8       50.2        2.2                      O2432  2  356 
      2.240      138.5       47.4        2.1                      O2432  2  357 
      2.240      146.2       50.2        2.2                      O2432  2  358 
