ENTRY            O2555   20230203                             O094O2555  0    1 
SUBENT        O2555001   20230203                             O094O2555  1    1 
BIB                 16         42                                 O2555  1    2 
TITLE      Excitation energy dependence of prompt fission         O2555  1    3 
            gamma-ray emission from 241Pu*                        O2555  1    4 
AUTHOR     (D.Gjestvang, S.Siem, F.Zeiser, J.Randrup, R.Vogt,     O2555  1    5 
            J.N.Wilson, F.Bello-Garrote, L.A.Bernstein,           O2555  1    6 
            D.L.Bleuel, M.Guttormsen, A.Goergen, A.C.Larsen,      O2555  1    7 
            K.L.Malatji, E.F.Matthews, A.Oberstedt, S.Oberstedt,  O2555  1    8 
            T.Tornyi, G.M.Tveten, A.S.Voyles)                     O2555  1    9 
INSTITUTE  (2NOROSL,1USABRK,1USALRL,1USADAV,2FR PAR,1USAUCX,      O2555  1   10 
           3SAFITH,3SAFSTL,3RUMBUC,2ZZZGEL,3HUNDEB)               O2555  1   11 
REFERENCE  (J,PR/C,103,034609,2021)                               O2555  1   12 
           #doi:10.1103/PhysRevC.103.034609                       O2555  1   13 
REL-REF    (O,23783001,D.Gjestvang+,J,PR/C,103,034609,2021)       O2555  1   14 
           PFG from spontaneous fission of 252Cf.                 O2555  1   15 
FACILITY   (CYCLO,2NOROSL) Oslo Cyclotron Laboratory              O2555  1   16 
SAMPLE     A target of 0.4 mg/cm2 thick 240Pu on a 2.3 mg/cm2 9Be O2555  1   17 
DETECTOR   (TELES,SISD,SI) The outgoing protons were detected by  O2555  1   18 
           a silicon deltaE-E detector, consisting of eight       O2555  1   19 
            1550 um thick E pads each fronted with eight 130 um   O2555  1   20 
           thick deltaE strips.                                   O2555  1   21 
           (PPAC) Fission fragments were detected using NIFF ,    O2555  1   22 
           consisting of four parallel plate avalanche counters.  O2555  1   23 
           (SCIN) Photons were detected Oslo Scintillator Array,  O2555  1   24 
           consisting of 30 new LaBr3:Ce scintillator detectors.  O2555  1   25 
PART-DET   (P,FF,G)                                               O2555  1   26 
METHOD     (EDE)                                                  O2555  1   27 
           (COINC) Coincidence between a proton, a fission        O2555  1   28 
           fragment, and a gamma-ray.                             O2555  1   29 
           (TOF)                                                  O2555  1   30 
ANALYSIS   (UNFLD)                                                O2555  1   31 
COMMENT    A deficit in the low-energy gamma rays was observed    O2555  1   32 
           in the 252Cf benchmark measurement. Scaling factors forO2555  1   33 
           the PFG characteristics were therefore introduced basedO2555  1   34 
           on comparison to previous 252Cf measurements.          O2555  1   35 
EN-SEC     (E-EXC,94-PU-241)                                      O2555  1   36 
           (E,G)                                                  O2555  1   37 
ERR-ANALYS (ERR-S) The statistical uncertainties, propagated      O2555  1   38 
           through the gamma-ray unfolding routine, as well as theO2555  1   39 
           statistical uncertainty on the number of fissions      O2555  1   40 
           detected.                                              O2555  1   41 
STATUS     (APRVD) Approved by D. Gjestvang 24.02.2023            O2555  1   42 
HISTORY    (20230203C) VS                                         O2555  1   43 
           (20230201R) Data received from D. Gjestvang            O2555  1   44 
ENDBIB              42          0                                 O2555  1   45 
NOCOMMON             0          0                                 O2555  1   46 
ENDSUBENT           45          0                                 O2555  199999 
SUBENT        O2555002   20230203                             O094O2555  2    1 
BIB                  2          4                                 O2555  2    2 
REACTION   (94-PU-240(D,P+F)0-G-0,PR,FY/DE,,MSC)                  O2555  2    3 
            Prompt fission gamma-ray spectra for 241Pu for        O2555  2    4 
            excitationenergies in the range 5.5-8.5 MeV           O2555  2    5 
STATUS     (TABLE) Fig. 5 of Phys.Rev.C103(2021)034609            O2555  2    6 
ENDBIB               4          0                                 O2555  2    7 
COMMON               1          3                                 O2555  2    8 
EN                                                                O2555  2    9 
MEV                                                               O2555  2   10 
       13.5                                                       O2555  2   11 
ENDCOMMON            3          0                                 O2555  2   12 
DATA                 5        732                                 O2555  2   13 
E-EXC-MIN  E-EXC-MAX  E          DATA       ERR-S                 O2555  2   14 
        5.5         6.     3.4675     0.1725     0.0371           O2555  2   76 
        5.5         6.     3.5495     0.1978     0.0324           O2555  2   77 
        5.5         6.     3.6325      0.148     0.0321           O2555  2   78 
        5.5         6.     3.7163     0.1085     0.0269           O2555  2   79 
        5.5         6.     3.8009     0.1693     0.0306           O2555  2   80 
        5.5         6.     3.8865     0.1502     0.0306           O2555  2   81 
        5.5         6.     3.9729     0.1301     0.0283           O2555  2   82 
        5.5         6.     4.0602     0.0937     0.0243           O2555  2   83 
        5.5         6.     4.1483      0.209     0.0333           O2555  2   84 
        5.5         6.     4.2373     0.0772     0.0234           O2555  2   85 
        5.5         6.     4.3272     0.1668     0.0266           O2555  2   86 
        5.5         6.     4.4179     0.1073     0.0235           O2555  2   87 
        5.5         6.     4.5095     0.1072      0.023           O2555  2   88 
        5.5         6.      4.602     0.0795     0.0229           O2555  2   89 
        5.5         6.     4.6953     0.0575     0.0194           O2555  2   90 
        5.5         6.     4.7895     0.0865     0.0219           O2555  2   91 
        5.5         6.     4.8846     0.0364     0.0178           O2555  2   92 
        5.5         6.     4.9806     0.0282     0.0205           O2555  2   93 
        5.5         6.     5.0774     0.0214     0.0185           O2555  2   94 
        5.5         6.      5.175     0.0728     0.0198           O2555  2   95 
        5.5         6.     5.2736     0.0715     0.0202           O2555  2   96 
        5.5         6.      5.373     0.0477     0.0189           O2555  2   97 
        5.5         6.     5.4733     0.0595     0.0181           O2555  2   98 
        5.5         6.     5.5744      0.059      0.019           O2555  2   99 
        5.5         6.     5.6764     0.0452     0.0183           O2555  2  100 
        5.5         6.     5.7793    -0.0016     0.0138           O2555  2  101 
        5.5         6.      5.883     0.0431     0.0179           O2555  2  102 
        5.5         6.     5.9876     0.0312     0.0196           O2555  2  103 
        5.5         6.     6.0931     0.0187     0.0166           O2555  2  104 
        5.5         6.     6.1995     0.0314     0.0142           O2555  2  105 
        5.5         6.     6.3067     0.0582      0.017           O2555  2  106 
        5.5         6.     6.4148     0.0139     0.0138           O2555  2  107 
        5.5         6.     6.5237      0.017     0.0118           O2555  2  108 
        5.5         6.     6.6335     0.0235     0.0145           O2555  2  109 
        5.5         6.     6.7442     0.0304     0.0105           O2555  2  110 
        5.5         6.     6.8557     0.0124     0.0139           O2555  2  111 
        5.5         6.     6.9682     0.0138     0.0127           O2555  2  112 
        5.5         6.     7.0814     0.0124     0.0135           O2555  2  113 
        5.5         6.     7.1956     0.0027     0.0094           O2555  2  114 
        5.5         6.     7.3106     0.0114     0.0094           O2555  2  115 
        5.5         6.     7.4265     0.0123      0.007           O2555  2  116 
        5.5         6.     7.5433     0.0007     0.0052           O2555  2  117 
        5.5         6.     7.6609     0.0029     0.0078           O2555  2  118 
        5.5         6.     7.7794    -0.0047     0.0067           O2555  2  119 
        5.5         6.     7.8987    -0.0131     0.0054           O2555  2  120 
        5.5         6.      8.019     -0.001     0.0071           O2555  2  121 
        5.5         6.     8.1401    -0.0042     0.0063           O2555  2  122 
        5.5         6.      8.262     -0.001     0.0059           O2555  2  123 
        5.5         6.     8.3848     0.0085     0.0096           O2555  2  124 
        5.5         6.     8.5085    -0.0029     0.0063           O2555  2  125 
        5.5         6.     8.6331    -0.0014     0.0042           O2555  2  126 
        5.5         6.     8.7585    -0.0033      0.005           O2555  2  127 
        5.5         6.     8.8848     0.0032     0.0059           O2555  2  128 
        5.5         6.      9.012     0.0059     0.0063           O2555  2  129 
        5.5         6.       9.14     0.0022     0.0052           O2555  2  130 
        5.5         6.      9.269     0.0019     0.0063           O2555  2  131 
        5.5         6.     9.3987      0.002     0.0057           O2555  2  132 
        5.5         6.     9.5294      0.007     0.0051           O2555  2  133 
        5.5         6.     9.6609     0.0031     0.0067           O2555  2  134 
        5.5         6.     9.7932     0.0084     0.0054           O2555  2  135 
        5.5         6.     9.9265    -0.0004     0.0062           O2555  2  136 
        5.5         6.    10.0606    -0.0003     0.0038           O2555  2  137 
         6.        6.5     0.1256     0.1914     0.0548           O2555  2  138 
         6.        6.5     0.1559      0.543     0.1333           O2555  2  139 
         6.        6.5      0.187     0.8004     0.1214           O2555  2  140 
         6.        6.5      0.219      2.076     0.1897           O2555  2  141 
         6.        6.5     0.2518      1.095     0.1646           O2555  2  142 
         6.        6.5     0.2855     0.9685     0.1176           O2555  2  143 
         6.        6.5     0.3201     2.6742     0.1613           O2555  2  144 
         6.        6.5     0.3555      5.299     0.1688           O2555  2  145 
         6.        6.5     0.3917     4.3408      0.157           O2555  2  146 
         6.        6.5     0.4289     4.2846     0.1425           O2555  2  147 
         6.        6.5     0.4669      6.136     0.1492           O2555  2  148 
         6.        6.5     0.5057     4.1224     0.1384           O2555  2  149 
         6.        6.5     0.5454     5.4991     0.1331           O2555  2  150 
         6.        6.5      0.586     5.8126     0.1377           O2555  2  151 
         6.        6.5     0.6275     4.6681     0.1357           O2555  2  152 
         6.        6.5     0.6698     4.4015     0.1218           O2555  2  153 
         6.        6.5     0.7129     4.3923     0.1213           O2555  2  154 
         6.        6.5     0.7569     3.4173     0.1106           O2555  2  155 
         6.        6.5     0.8018     3.3463     0.1056           O2555  2  156 
         6.        6.5     0.8476     4.1861      0.121           O2555  2  157 
         6.        6.5     0.8942     2.2005      0.094           O2555  2  158 
         6.        6.5     0.9417     3.1802     0.1061           O2555  2  159 
         6.        6.5       0.99     2.0228     0.0853           O2555  2  160 
         6.        6.5     1.0392     1.6468     0.0783           O2555  2  161 
         6.        6.5     1.0893     2.3544     0.0947           O2555  2  162 
         6.        6.5     1.1402     2.5242     0.0948           O2555  2  163 
         6.        6.5      1.192     1.8145     0.0759           O2555  2  164 
         6.        6.5     1.2447     2.1097     0.0841           O2555  2  165 
         6.        6.5     1.2982     1.9938     0.0822           O2555  2  166 
         6.        6.5     1.3526     1.0003      0.059           O2555  2  167 
         6.        6.5     1.4078      1.524     0.0746           O2555  2  168 
         6.        6.5     1.4639     1.3247     0.0702           O2555  2  169 
         6.        6.5     1.5209     1.1116     0.0645           O2555  2  170 
         6.        6.5     1.5787     1.1866     0.0664           O2555  2  171 
         6.        6.5     1.6374     1.0566     0.0648           O2555  2  172 
         6.        6.5      1.697      1.034     0.0651           O2555  2  173 
         6.        6.5     1.7574     1.0304     0.0583           O2555  2  174 
         6.        6.5     1.8187     0.8062     0.0574           O2555  2  175 
         6.        6.5     1.8809      0.713     0.0555           O2555  2  176 
         6.        6.5     1.9439     0.6792     0.0601           O2555  2  177 
         6.        6.5     2.0078      0.632     0.0538           O2555  2  178 
         6.        6.5     2.0726     0.8102     0.0631           O2555  2  179 
         6.        6.5     2.1382     0.5951     0.0515           O2555  2  180 
         6.        6.5     2.2047     0.5614     0.0517           O2555  2  181 
         6.        6.5     2.2721      0.695     0.0579           O2555  2  182 
         6.        6.5     2.3403     0.4537     0.0474           O2555  2  183 
         6.        6.5     2.4094      0.356      0.045           O2555  2  184 
         6.        6.5     2.4793     0.5198     0.0524           O2555  2  185 
         6.        6.5     2.5501     0.4547      0.052           O2555  2  186 
         6.        6.5     2.6218     0.3219     0.0417           O2555  2  187 
         6.        6.5     2.6944      0.493       0.05           O2555  2  188 
         6.        6.5     2.7678      0.389     0.0433           O2555  2  189 
         6.        6.5     2.8421     0.4583     0.0521           O2555  2  190 
         6.        6.5     2.9172     0.3061     0.0453           O2555  2  191 
         6.        6.5     2.9932     0.3088     0.0427           O2555  2  192 
         6.        6.5     3.0701      0.283     0.0406           O2555  2  193 
         6.        6.5     3.1478     0.2876     0.0371           O2555  2  194 
         6.        6.5     3.2264     0.3118     0.0382           O2555  2  195 
         6.        6.5     3.3059     0.2513     0.0434           O2555  2  196 
         6.        6.5     3.3862     0.2091     0.0367           O2555  2  197 
         6.        6.5     3.4675     0.1514     0.0288           O2555  2  198 
         6.        6.5     3.5495     0.1022     0.0261           O2555  2  199 
         6.        6.5     3.6325     0.1773     0.0301           O2555  2  200 
         6.        6.5     3.7163     0.1973     0.0282           O2555  2  201 
         6.        6.5     3.8009     0.1469     0.0265           O2555  2  202 
         6.        6.5     3.8865     0.1779     0.0304           O2555  2  203 
         6.        6.5     3.9729     0.0946     0.0227           O2555  2  204 
         6.        6.5     4.0602      0.128     0.0234           O2555  2  205 
         6.        6.5     4.1483     0.1131      0.023           O2555  2  206 
         6.        6.5     4.2373      0.097     0.0198           O2555  2  207 
         6.        6.5     4.3272     0.1371     0.0241           O2555  2  208 
         6.        6.5     4.4179     0.1391     0.0234           O2555  2  209 
         6.        6.5     4.5095     0.0956     0.0191           O2555  2  210 
         6.        6.5      4.602     0.1187     0.0218           O2555  2  211 
         6.        6.5     4.6953     0.0748      0.017           O2555  2  212 
         6.        6.5     4.7895     0.0473     0.0149           O2555  2  213 
         6.        6.5     4.8846     0.0311     0.0145           O2555  2  214 
         6.        6.5     4.9806       0.01      0.015           O2555  2  215 
         6.        6.5     5.0774     0.0405     0.0166           O2555  2  216 
         6.        6.5      5.175     0.0275     0.0121           O2555  2  217 
         6.        6.5     5.2736     0.0556     0.0154           O2555  2  218 
         6.        6.5      5.373     0.0675     0.0165           O2555  2  219 
         6.        6.5     5.4733     0.0965     0.0183           O2555  2  220 
         6.        6.5     5.5744     0.0878     0.0206           O2555  2  221 
         6.        6.5     5.6764     0.0404     0.0153           O2555  2  222 
         6.        6.5     5.7793     0.0159     0.0129           O2555  2  223 
         6.        6.5      5.883     0.0261     0.0129           O2555  2  224 
         6.        6.5     5.9876     0.0276      0.015           O2555  2  225 
         6.        6.5     6.0931       0.02     0.0157           O2555  2  226 
         6.        6.5     6.1995       0.03     0.0118           O2555  2  227 
         6.        6.5     6.3067     0.0208     0.0123           O2555  2  228 
         6.        6.5     6.4148     0.0035      0.011           O2555  2  229 
         6.        6.5     6.5237     0.0259     0.0127           O2555  2  230 
         6.        6.5     6.6335      0.018     0.0109           O2555  2  231 
         6.        6.5     6.7442     0.0159     0.0102           O2555  2  232 
         6.        6.5     6.8557     0.0195      0.011           O2555  2  233 
         6.        6.5     6.9682     0.0122     0.0095           O2555  2  234 
         6.        6.5     7.0814    -0.0011     0.0093           O2555  2  235 
         6.        6.5     7.1956    -0.0021      0.007           O2555  2  236 
         6.        6.5     7.3106     0.0097     0.0077           O2555  2  237 
         6.        6.5     7.4265     0.0026     0.0071           O2555  2  238 
         6.        6.5     7.5433     0.0022     0.0063           O2555  2  239 
         6.        6.5     7.6609     0.0106     0.0067           O2555  2  240 
         6.        6.5     7.7794     0.0056     0.0064           O2555  2  241 
         6.        6.5     7.8987      0.007     0.0061           O2555  2  242 
         6.        6.5      8.019     0.0069     0.0087           O2555  2  243 
         6.        6.5     8.1401    -0.0068     0.0044           O2555  2  244 
         6.        6.5      8.262     0.0095      0.006           O2555  2  245 
         6.        6.5     8.3848     0.0086     0.0061           O2555  2  246 
         6.        6.5     8.5085    -0.0025     0.0025           O2555  2  247 
         6.        6.5     8.6331     0.0108     0.0062           O2555  2  248 
         6.        6.5     8.7585    -0.0006     0.0049           O2555  2  249 
         6.        6.5     8.8848     -0.005     0.0029           O2555  2  250 
         6.        6.5      9.012     0.0054     0.0053           O2555  2  251 
         6.        6.5       9.14     0.0006     0.0034           O2555  2  252 
         6.        6.5      9.269     0.0022     0.0053           O2555  2  253 
         6.        6.5     9.3987     0.0025      0.004           O2555  2  254 
         6.        6.5     9.5294     0.0046     0.0043           O2555  2  255 
         6.        6.5     9.6609      0.005     0.0038           O2555  2  256 
         6.        6.5     9.7932    -0.0019     0.0039           O2555  2  257 
         6.        6.5     9.9265     0.0016     0.0032           O2555  2  258 
        6.5         7.     0.1256     0.0418     0.0337           O2555  2  259 
        6.5         7.     0.1559     0.6756     0.1461           O2555  2  260 
        6.5         7.      0.187     0.9188     0.1298           O2555  2  261 
        6.5         7.      0.219     2.1467     0.2194           O2555  2  262 
        6.5         7.     0.2518     0.8078      0.174           O2555  2  263 
        6.5         7.     0.2855     0.9582      0.137           O2555  2  264 
        6.5         7.     0.3201     2.8476     0.1907           O2555  2  265 
        6.5         7.     0.3555     5.1774     0.1938           O2555  2  266 
        6.5         7.     0.3917     4.3269     0.1775           O2555  2  267 
        6.5         7.     0.4289     4.4552      0.168           O2555  2  268 
        6.5         7.     0.4669      6.341      0.172           O2555  2  269 
        6.5         7.     0.5057     4.3804     0.1719           O2555  2  270 
        6.5         7.     0.5454     5.4142      0.162           O2555  2  271 
        6.5         7.      0.586     6.0764     0.1584           O2555  2  272 
        6.5         7.     0.6275     4.7726      0.148           O2555  2  273 
        6.5         7.     0.6698     4.2716     0.1334           O2555  2  274 
        6.5         7.     0.7129     4.1968     0.1476           O2555  2  275 
        6.5         7.     0.7569     3.6008     0.1235           O2555  2  276 
        6.5         7.     0.8018     3.2839     0.1164           O2555  2  277 
        6.5         7.     0.8476     4.2872     0.1469           O2555  2  278 
        6.5         7.     0.8942     2.1777     0.1041           O2555  2  279 
        6.5         7.     0.9417     3.2015     0.1234           O2555  2  280 
        6.5         7.       0.99     1.8788     0.0934           O2555  2  281 
        6.5         7.     1.0392       1.69     0.0917           O2555  2  282 
        6.5         7.     1.0893     2.3486     0.1064           O2555  2  283 
        6.5         7.     1.1402     2.6645     0.1092           O2555  2  284 
        6.5         7.      1.192     1.6329     0.0889           O2555  2  285 
        6.5         7.     1.2447     2.3576      0.102           O2555  2  286 
        6.5         7.     1.2982     1.9743     0.0936           O2555  2  287 
        6.5         7.     1.3526     1.0301     0.0672           O2555  2  288 
        6.5         7.     1.4078      1.477      0.082           O2555  2  289 
        6.5         7.     1.4639     1.2594     0.0798           O2555  2  290 
        6.5         7.     1.5209     1.1841     0.0785           O2555  2  291 
        6.5         7.     1.5787     1.1664     0.0739           O2555  2  292 
        6.5         7.     1.6374     1.0683      0.073           O2555  2  293 
        6.5         7.      1.697      0.916     0.0699           O2555  2  294 
        6.5         7.     1.7574     0.9675     0.0717           O2555  2  295 
        6.5         7.     1.8187      0.797      0.067           O2555  2  296 
        6.5         7.     1.8809     0.6973     0.0658           O2555  2  297 
        6.5         7.     1.9439     0.6865     0.0615           O2555  2  298 
        6.5         7.     2.0078     0.6485     0.0613           O2555  2  299 
        6.5         7.     2.0726     0.7889     0.0687           O2555  2  300 
        6.5         7.     2.1382     0.5631     0.0605           O2555  2  301 
        6.5         7.     2.2047     0.6359     0.0627           O2555  2  302 
        6.5         7.     2.2721     0.7176       0.07           O2555  2  303 
        6.5         7.     2.3403     0.4204     0.0551           O2555  2  304 
        6.5         7.     2.4094     0.4361     0.0542           O2555  2  305 
        6.5         7.     2.4793      0.539     0.0595           O2555  2  306 
        6.5         7.     2.5501     0.4068     0.0578           O2555  2  307 
        6.5         7.     2.6218     0.3452     0.0501           O2555  2  308 
        6.5         7.     2.6944     0.4567      0.056           O2555  2  309 
        6.5         7.     2.7678     0.5014     0.0503           O2555  2  310 
        6.5         7.     2.8421     0.3479     0.0564           O2555  2  311 
        6.5         7.     2.9172     0.4559     0.0568           O2555  2  312 
        6.5         7.     2.9932      0.331     0.0482           O2555  2  313 
        6.5         7.     3.0701     0.2449     0.0448           O2555  2  314 
        6.5         7.     3.1478     0.2028     0.0402           O2555  2  315 
        6.5         7.     3.2264     0.1329     0.0372           O2555  2  316 
        6.5         7.     3.3059      0.156     0.0459           O2555  2  317 
        6.5         7.     3.3862     0.2075     0.0463           O2555  2  318 
        6.5         7.     3.4675     0.1543     0.0335           O2555  2  319 
        6.5         7.     3.5495     0.2141     0.0356           O2555  2  320 
        6.5         7.     3.6325     0.1703     0.0333           O2555  2  321 
        6.5         7.     3.7163     0.1956     0.0315           O2555  2  322 
        6.5         7.     3.8009     0.1302     0.0296           O2555  2  323 
        6.5         7.     3.8865     0.1187     0.0301           O2555  2  324 
        6.5         7.     3.9729     0.1429     0.0298           O2555  2  325 
        6.5         7.     4.0602     0.1516     0.0265           O2555  2  326 
        6.5         7.     4.1483     0.1136     0.0283           O2555  2  327 
        6.5         7.     4.2373     0.1175     0.0247           O2555  2  328 
        6.5         7.     4.3272     0.1465     0.0262           O2555  2  329 
        6.5         7.     4.4179     0.1361     0.0274           O2555  2  330 
        6.5         7.     4.5095     0.0902     0.0225           O2555  2  331 
        6.5         7.      4.602      0.067     0.0197           O2555  2  332 
        6.5         7.     4.6953     0.0845     0.0203           O2555  2  333 
