ENTRY            O1914   20140205                             O052O191400000001 
SUBENT        O1914001   20140205                             O052O191400100001 
BIB                 12         24                                 O191400100002 
TITLE      Measurement and analysis of the p+p--p+p+g reaction    O191400100003 
           at 310 MeV.                                            O191400100004 
AUTHOR     (A.Johansson, H.Haberzettl, K.Nakayama, C.Wilkin)      O191400100005 
REFERENCE  (J,PR/C,83,054001,2011)                                O191400100006 
REL-REF    (I,O0896001,R.Bilger+,J,PR/C,65,044608,2002)           O191400100007 
INSTITUTE  (2SWDUPP)                                              O191400100008 
           (1USAGWU)                                              O191400100009 
           (1USAGEO)                                              O191400100010 
           (2GERJUL)                                              O191400100011 
           (2UK LON) Physics and Astronomy Department, UCL,London O191400100012 
PART-DET   (P,G)                                                  O191400100013 
SAMPLE     An internal gas-jet hydrogen target, with a density of O191400100014 
           about 2 x 10**14 1/cm**2, was used in conjunction with O191400100015 
           the stored proton beam.                                O191400100016 
DETECTOR   (SPEC)                                                 O191400100017 
FACILITY   (SRING,2SWDUPP) The experiment was performed at the    O191400100018 
            CELSIUS storage ring, using the WASA/PROMICE          O191400100019 
           experimental setup.                                    O191400100020 
METHOD     (COINC)                                                O191400100021 
STATUS     (TABLE).Tables were  received from Dr.K.Nakayama       O191400100022 
                                 06.10.2011                       O191400100023 
HISTORY    (20110927C) SB                                         O191400100024 
           (20140205A) SD: SF4 in REACTION code corrected in      O191400100025 
           Subents 2-4.                                           O191400100026 
ENDBIB              24          0                                 O191400100027 
COMMON               1          3                                 O191400100028 
EN                                                                O191400100029 
MEV                                                               O191400100030 
310.                                                              O191400100031 
ENDCOMMON            3          0                                 O191400100032 
ENDSUBENT           31          0                                 O191400199999 
SUBENT        O1914002   20140205                             O052O191400200001 
BIB                  5         11                                 O191400200002 
REACTION   (1-H-1(P,G+P)1-H-1,,DA/DE,G/P+P)                       O191400200003 
            The data have been averaged over 3-MeV bins in Epp    O191400200004 
EN-SEC     (E-RL,P+P).Relative energy between two protons         O191400200005 
ERR-ANALYS (ERR-S) Statistical uncertainties                      O191400200006 
           (ERR-SYS).Overall systematic errors.                   O191400200007 
STATUS     (TABLE).Table data were received from Dr.K.Nakayama    O191400200008 
               for fig.7 of J,PR/C,83,054001,2011                 O191400200009 
HISTORY    (20140205A) SD: SF3=G -> G+P; SF4=2-H-2 -> 1-H-1;      O191400200010 
            SF5=PAR deleted; SF6=DE -> DA/DE; SF7=P+P -> G/P+P;   O191400200011 
            SF8=MSC deleted in REACTION code.                     O191400200012 
            Units NB/MEV -> NB/SR/MEV in CMS.                     O191400200013 
ENDBIB              11          0                                 O191400200014 
COMMON               1          3                                 O191400200015 
ERR-SYS                                                           O191400200016 
PER-CENT                                                          O191400200017 
  15.                                                             O191400200018 
ENDCOMMON            3          0                                 O191400200019 
DATA                 5        425                                 O191400200020 
E-RL-MIN   E-RL-MAX   COS-CM     DATA-CM    ERR-S                 O191400200021 
3.         6.         -0.325     3.51       0.40                  O191400200076 
3.         6.         -0.275     2.50       0.34                  O191400200077 
3.         6.         -0.225     2.44       0.34                  O191400200078 
3.         6.         -0.175     2.37       0.33                  O191400200079 
3.         6.         -0.125     2.34       0.33                  O191400200080 
3.         6.         -0.075     2.67       0.35                  O191400200081 
3.         6.         -0.025     1.98       0.3                   O191400200082 
3.         6.         0.025      1.61       0.27                  O191400200083 
3.         6.         0.075      1.54       0.26                  O191400200084 
3.         6.         0.125      1.48       0.25                  O191400200085 
3.         6.         0.175      2.44       0.32                  O191400200086 
3.         6.         0.225      2.44       0.32                  O191400200087 
3.         6.         0.275      1.77       0.27                  O191400200088 
3.         6.         0.325      2.81       0.34                  O191400200089 
3.         6.         0.375      3.43       0.37                  O191400200090 
3.         6.         0.425      2.66       0.33                  O191400200091 
3.         6.         0.475      4.15       0.41                  O191400200092 
3.         6.         0.525      4.68       0.43                  O191400200093 
3.         6.         0.575      4.01       0.39                  O191400200094 
3.         6.         0.625      5.63       0.46                  O191400200095 
3.         6.         0.675      5.05       0.43                  O191400200096 
3.         6.         0.725      4.56       0.41                  O191400200097 
3.         6.         0.775      5.93       0.47                  O191400200098 
3.         6.         0.825      5.47       0.45                  O191400200099 
3.         6.         0.875      6.98       0.51                  O191400200100 
3.         6.         0.925      8.03       0.56                  O191400200101 
3.         6.         0.975      10.87      0.66                  O191400200102 
6.         9.         -0.975     9.87       0.59                  O191400200103 
6.         9.         -0.925     8.94       0.57                  O191400200104 
6.         9.         -0.875     8.91       0.57                  O191400200105 
6.         9.         -0.825     10.56      0.62                  O191400200106 
6.         9.         -0.775     8.30       0.55                  O191400200107 
6.         9.         -0.725     7.50       0.53                  O191400200108 
6.         9.         -0.675     7.23       0.52                  O191400200109 
6.         9.         -0.625     7.33       0.53                  O191400200110 
6.         9.         -0.575     7.35       0.53                  O191400200111 
6.         9.         -0.525     6.16       0.49                  O191400200112 
6.         9.         -0.475     5.93       0.48                  O191400200113 
6.         9.         -0.425     5.89       0.48                  O191400200114 
6.         9.         -0.375     5.60       0.47                  O191400200115 
6.         9.         -0.325     4.89       0.44                  O191400200116 
6.         9.         -0.275     4.77       0.43                  O191400200117 
6.         9.         -0.225     4.38       0.41                  O191400200118 
6.         9.         -0.175     4.47       0.42                  O191400200119 
6.         9.         -0.125     4.29       0.41                  O191400200120 
6.         9.         -0.075     4.32       0.41                  O191400200121 
6.         9.         -0.025     3.35       0.36                  O191400200122 
6.         9.         0.025      3.47       0.37                  O191400200123 
6.         9.         0.075      3.61       0.38                  O191400200124 
6.         9.         0.125      3.09       0.35                  O191400200125 
6.         9.         0.175      3.50       0.37                  O191400200126 
6.         9.         0.225      4.52       0.42                  O191400200127 
6.         9.         0.275      3.22       0.36                  O191400200128 
6.         9.         0.325      4.08       0.40                  O191400200129 
6.         9.         0.375      4.86       0.44                  O191400200130 
6.         9.         0.425      5.16       0.45                  O191400200131 
6.         9.         0.475      5.44       0.46                  O191400200132 
6.         9.         0.525      5.94       0.48                  O191400200133 
6.         9.         0.575      6.57       0.51                  O191400200134 
6.         9.         0.625      5.69       0.47                  O191400200135 
6.         9.         0.675      6.61       0.51                  O191400200136 
6.         9.         0.725      6.05       0.49                  O191400200137 
6.         9.         0.775      6.89       0.52                  O191400200138 
6.         9.         0.825      7.24       0.54                  O191400200139 
6.         9.         0.875      7.97       0.56                  O191400200140 
6.         9.         0.925      8.29       0.59                  O191400200141 
6.         9.         0.975      8.97       0.63                  O191400200142 
9.         12.        -0.975     10.38      0.59                  O191400200143 
9.         12.        -0.925     10.81      0.60                  O191400200144 
9.         12.        -0.875     10.61      0.60                  O191400200145 
9.         12.        -0.825     10.5       0.60                  O191400200146 
9.         12.        -0.775     10.59      0.60                  O191400200147 
9.         12.        -0.725     10.03      0.58                  O191400200148 
9.         12.        -0.675     8.70       0.54                  O191400200149 
9.         12.        -0.625     9.85       0.58                  O191400200150 
9.         12.        -0.575     8.62       0.54                  O191400200151 
9.         12.        -0.525     8.18       0.53                  O191400200152 
9.         12.        -0.475     8.38       0.54                  O191400200153 
9.         12.        -0.425     7.88       0.52                  O191400200154 
9.         12.        -0.375     7.78       0.53                  O191400200155 
9.         12.        -0.325     7.07       0.51                  O191400200156 
9.         12.        -0.275     7.30       0.52                  O191400200157 
9.         12.        -0.225     6.00       0.48                  O191400200158 
9.         12.        -0.175     5.92       0.49                  O191400200159 
9.         12.        -0.125     6.06       0.50                  O191400200160 
9.         12.        -0.075     5.34       0.47                  O191400200161 
9.         12.        -0.025     5.26       0.48                  O191400200162 
9.         12.        0.025      5.08       0.47                  O191400200163 
9.         12.        0.075      5.29       0.49                  O191400200164 
9.         12.        0.125      5.45       0.50                  O191400200165 
9.         12.        0.175      5.50       0.51                  O191400200166 
9.         12.        0.225      6.72       0.57                  O191400200167 
9.         12.        0.275      5.53       0.52                  O191400200168 
9.         12.        0.325      5.11       0.51                  O191400200169 
9.         12.        0.375      7.04       0.61                  O191400200170 
9.         12.        0.425      7.04       0.62                  O191400200171 
9.         12.        0.475      8.56       0.69                  O191400200172 
9.         12.        0.525      8.25       0.69                  O191400200173 
9.         12.        0.575      9.29       0.74                  O191400200174 
9.         12.        0.625      9.70       0.77                  O191400200175 
9.         12.        0.675      7.65       0.69                  O191400200176 
9.         12.        0.725      9.52       0.77                  O191400200177 
9.         12.        0.775      8.71       0.74                  O191400200178 
9.         12.        0.825      9.13       0.75                  O191400200179 
9.         12.        0.875      9.14       0.73                  O191400200180 
9.         12.        0.925      8.44       0.66                  O191400200181 
9.         12.        0.975      8.58       0.64                  O191400200182 
12.        15.        -0.975     12.43      0.63                  O191400200183 
12.        15.        -0.925     13.49      0.66                  O191400200184 
12.        15.        -0.875     12.4       0.63                  O191400200185 
12.        15.        -0.825     13.13      0.65                  O191400200186 
12.        15.        -0.775     12.36      0.63                  O191400200187 
12.        15.        -0.725     11.85      0.62                  O191400200188 
12.        15.        -0.675     11.78      0.62                  O191400200189 
12.        15.        -0.625     10.79      0.60                  O191400200190 
12.        15.        -0.575     10.79      0.61                  O191400200191 
12.        15.        -0.525     9.43       0.58                  O191400200192 
12.        15.        -0.475     8.27       0.56                  O191400200193 
12.        15.        -0.425     8.78       0.59                  O191400200194 
12.        15.        -0.375     8.92       0.6                   O191400200195 
12.        15.        -0.325     8.48       0.6                   O191400200196 
12.        15.        -0.275     7.74       0.59                  O191400200197 
12.        15.        -0.225     8.74       0.63                  O191400200198 
12.        15.        -0.175     8.69       0.64                  O191400200199 
12.        15.        -0.125     7.95       0.62                  O191400200200 
12.        15.        -0.075     5.56       0.53                  O191400200201 
12.        15.        -0.025     7.49       0.63                  O191400200202 
12.        15.        0.025      5.73       0.56                  O191400200203 
12.        15.        0.075      6.53       0.61                  O191400200204 
12.        15.        0.125      5.18       0.55                  O191400200205 
12.        15.        0.175      6.82       0.66                  O191400200206 
12.        15.        0.225      8.73       0.77                  O191400200207 
12.        15.        0.275      9.32       0.81                  O191400200208 
12.        15.        0.325      7.27       0.74                  O191400200209 
12.        15.        0.375      8.00       0.8                   O191400200210 
12.        15.        0.425      9.96       0.91                  O191400200211 
12.        15.        0.475      10.6       0.96                  O191400200212 
12.        15.        0.525      12.61      1.08                  O191400200213 
12.        15.        0.575      11.95      1.07                  O191400200214 
12.        15.        0.625      11.31      1.07                  O191400200215 
12.        15.        0.675      8.77       0.96                  O191400200216 
12.        15.        0.725      10.73      1.06                  O191400200217 
12.        15.        0.775      11.25      1.07                  O191400200218 
12.        15.        0.825      11.62      1.1                   O191400200219 
12.        15.        0.875      9.28       0.95                  O191400200220 
12.        15.        0.925      11.84      1.03                  O191400200221 
12.        15.        0.975      9.84       0.82                  O191400200222 
15.        18.        -0.975     15.85      0.71                  O191400200223 
15.        18.        -0.925     15.59      0.71                  O191400200224 
15.        18.        -0.875     14.32      0.67                  O191400200225 
15.        18.        -0.825     14.68      0.68                  O191400200226 
15.        18.        -0.775     13.46      0.66                  O191400200227 
15.        18.        -0.725     13.61      0.67                  O191400200228 
15.        18.        -0.675     12.87      0.67                  O191400200229 
15.        18.        -0.625     11.68      0.67                  O191400200230 
15.        18.        -0.575     10.61      0.65                  O191400200231 
15.        18.        -0.525     10.48      0.66                  O191400200232 
15.        18.        -0.475     11.90      0.72                  O191400200233 
15.        18.        -0.425     10.81      0.70                  O191400200234 
15.        18.        -0.375     9.53       0.68                  O191400200235 
15.        18.        -0.325     9.09       0.68                  O191400200236 
15.        18.        -0.275     10.06      0.73                  O191400200237 
15.        18.        -0.225     8.60       0.69                  O191400200238 
15.        18.        -0.175     8.69       0.71                  O191400200239 
15.        18.        -0.125     8.82       0.74                  O191400200240 
15.        18.        -0.075     9.06       0.77                  O191400200241 
15.        18.        -0.025     8.63       0.78                  O191400200242 
15.        18.        0.025      10.60      0.89                  O191400200243 
15.        18.        0.075      8.81       0.84                  O191400200244 
15.        18.        0.125      8.38       0.85                  O191400200245 
15.        18.        0.175      10.65      1.00                  O191400200246 
15.        18.        0.225      12.08      1.10                  O191400200247 
15.        18.        0.275      8.49       0.96                  O191400200248 
15.        18.        0.325      9.61       1.07                  O191400200249 
15.        18.        0.375      11.22      1.21                  O191400200250 
15.        18.        0.425      11.47      1.26                  O191400200251 
15.        18.        0.475      10.62      1.27                  O191400200252 
15.        18.        0.525      14.06      1.52                  O191400200253 
15.        18.        0.575      13.09      1.51                  O191400200254 
15.        18.        0.625      12.11      1.50                  O191400200255 
15.        18.        0.675      14.04      1.67                  O191400200256 
15.        18.        0.725      12.61      1.61                  O191400200257 
15.        18.        0.775      9.78       1.47                  O191400200258 
15.        18.        0.825      12.33      1.63                  O191400200259 
15.        18.        0.875      12.15      1.58                  O191400200260 
15.        18.        0.925      11.12      1.47                  O191400200261 
15.        18.        0.975      12.02      1.47                  O191400200262 
18.        21.        -0.975     17.72      0.74                  O191400200263 
18.        21.        -0.925     16.62      0.72                  O191400200264 
18.        21.        -0.875     16.35      0.72                  O191400200265 
18.        21.        -0.825     16.35      0.74                  O191400200266 
18.        21.        -0.775     15.61      0.75                  O191400200267 
18.        21.        -0.725     12.96      0.71                  O191400200268 
18.        21.        -0.675     12.65      0.72                  O191400200269 
18.        21.        -0.625     12.45      0.74                  O191400200270 
18.        21.        -0.575     10.84      0.72                  O191400200271 
18.        21.        -0.525     12.34      0.78                  O191400200272 
18.        21.        -0.475     11.32      0.77                  O191400200273 
18.        21.        -0.425     12.91      0.85                  O191400200274 
18.        21.        -0.375     9.17       0.73                  O191400200275 
18.        21.        -0.325     12.1       0.88                  O191400200276 
18.        21.        -0.275     10.52      0.84                  O191400200277 
18.        21.        -0.225     9.00       0.81                  O191400200278 
18.        21.        -0.175     9.71       0.88                  O191400200279 
18.        21.        -0.125     10.3       0.94                  O191400200280 
18.        21.        -0.075     11.47      1.03                  O191400200281 
18.        21.        -0.025     9.48       0.97                  O191400200282 
18.        21.        0.025      10.13      1.06                  O191400200283 
18.        21.        0.075      10.96      1.15                  O191400200284 
18.        21.        0.125      9.92       1.15                  O191400200285 
18.        21.        0.175      12.92      1.38                  O191400200286 
18.        21.        0.225      12.65      1.45                  O191400200287 
18.        21.        0.275      12.08      1.50                  O191400200288 
18.        21.        0.325      12.2       1.59                  O191400200289 
18.        21.        0.375      16.82      2.00                  O191400200290 
18.        21.        0.425      14.37      1.96                  O191400200291 
18.        21.        0.475      13.87      2.05                  O191400200292 
18.        21.        0.525      15.54      2.32                  O191400200293 
18.        21.        0.575      16.50      2.58                  O191400200294 
18.        21.        0.625      9.81       2.14                  O191400200295 
18.        21.        0.675      15.00      2.83                  O191400200296 
18.        21.        0.725      11.01      2.53                  O191400200297 
18.        21.        0.775      10.33      2.67                  O191400200298 
18.        21.        0.825      19.03      3.60                  O191400200299 
18.        21.        0.875      17.52      3.58                  O191400200300 
18.        21.        0.925      11.19      2.99                  O191400200301 
21.        24.        -0.975     17.15      0.73                  O191400200302 
21.        24.        -0.925     19.01      0.78                  O191400200303 
21.        24.        -0.875     16.31      0.76                  O191400200304 
21.        24.        -0.825     15.55      0.78                  O191400200305 
21.        24.        -0.775     14.95      0.80                  O191400200306 
21.        24.        -0.725     13.04      0.78                  O191400200307 
21.        24.        -0.675     13.57      0.82                  O191400200308 
21.        24.        -0.625     12.53      0.82                  O191400200309 
21.        24.        -0.575     13.26      0.88                  O191400200310 
21.        24.        -0.525     13.78      0.93                  O191400200311 
21.        24.        -0.475     12.39      0.91                  O191400200312 
21.        24.        -0.425     12.01      0.94                  O191400200313 
21.        24.        -0.375     10.97      0.93                  O191400200314 
21.        24.        -0.325     10.38      0.93                  O191400200315 
21.        24.        -0.275     8.27       0.88                  O191400200316 
21.        24.        -0.225     11.95      1.12                  O191400200317 
21.        24.        -0.175     11.52      1.14                  O191400200318 
21.        24.        -0.125     12.52      1.26                  O191400200319 
21.        24.        -0.075     10.71      1.24                  O191400200320 
21.        24.        -0.025     11.62      1.36                  O191400200321 
21.        24.        0.025      11.57      1.42                  O191400200322 
21.        24.        0.075      16.75      1.82                  O191400200323 
21.        24.        0.125      13.11      1.72                  O191400200324 
21.        24.        0.175      14.36      1.94                  O191400200325 
21.        24.        0.225      14.52      2.05                  O191400200326 
21.        24.        0.275      15.24      2.25                  O191400200327 
21.        24.        0.325      25.06      3.21                  O191400200328 
21.        24.        0.375      18.62      2.94                  O191400200329 
21.        24.        0.425      17.93      3.22                  O191400200330 
21.        24.        0.475      14.61      3.11                  O191400200331 
21.        24.        0.525      11.07      3.19                  O191400200332 
24.        27.        -0.975     17.48      0.75                  O191400200333 
24.        27.        -0.925     17.14      0.81                  O191400200334 
24.        27.        -0.875     16.38      0.84                  O191400200335 
24.        27.        -0.825     16.39      0.89                  O191400200336 
24.        27.        -0.775     13.65      0.85                  O191400200337 
24.        27.        -0.725     15.70      0.95                  O191400200338 
24.        27.        -0.675     13.23      0.91                  O191400200339 
24.        27.        -0.625     13.05      0.94                  O191400200340 
24.        27.        -0.575     14.38      1.04                  O191400200341 
24.        27.        -0.525     11.96      1.00                  O191400200342 
24.        27.        -0.475     12.36      1.06                  O191400200343 
24.        27.        -0.425     12.39      1.14                  O191400200344 
24.        27.        -0.375     10.37      1.08                  O191400200345 
24.        27.        -0.325     13.48      1.32                  O191400200346 
24.        27.        -0.275     10.75      1.23                  O191400200347 
24.        27.        -0.225     12.12      1.39                  O191400200348 
24.        27.        -0.175     11.05      1.42                  O191400200349 
24.        27.        -0.125     13.24      1.65                  O191400200350 
24.        27.        -0.075     14.06      1.74                  O191400200351 
24.        27.        -0.025     15.51      1.99                  O191400200352 
24.        27.        0.025      16.45      2.16                  O191400200353 
24.        27.        0.075      12.68      2.00                  O191400200354 
24.        27.        0.125      19.76      2.79                  O191400200355 
24.        27.        0.175      20.83      3.04                  O191400200356 
24.        27.        0.225      14.36      2.71                  O191400200357 
24.        27.        0.275      13.09      2.93                  O191400200358 
24.        27.        0.325      14.54      3.34                  O191400200359 
27.        30.        -0.975     17.56      0.83                  O191400200360 
27.        30.        -0.925     16.44      0.89                  O191400200361 
27.        30.        -0.875     15.98      0.94                  O191400200362 
27.        30.        -0.825     15.72      0.99                  O191400200363 
27.        30.        -0.775     16.56      1.07                  O191400200364 
27.        30.        -0.725     13.92      1.04                  O191400200365 
27.        30.        -0.675     13.20      1.07                  O191400200366 
27.        30.        -0.625     14.43      1.17                  O191400200367 
27.        30.        -0.575     14.04      1.23                  O191400200368 
27.        30.        -0.525     14.05      1.30                  O191400200369 
27.        30.        -0.475     12.99      1.31                  O191400200370 
27.        30.        -0.425     11.97      1.35                  O191400200371 
27.        30.        -0.375     13.22      1.50                  O191400200372 
27.        30.        -0.325     13.30      1.59                  O191400200373 
27.        30.        -0.275     14.39      1.76                  O191400200374 
27.        30.        -0.225     10.27      1.55                  O191400200375 
27.        30.        -0.175     15.09      2.03                  O191400200376 
27.        30.        -0.125     12.37      1.91                  O191400200377 
27.        30.        -0.075     13.36      2.17                  O191400200378 
27.        30.        -0.025     17.59      2.65                  O191400200379 
27.        30.        0.025      16.03      2.71                  O191400200380 
27.        30.        0.075      16.86      3.08                  O191400200381 
27.        30.        0.125      13.84      3.02                  O191400200382 
27.        30.        0.175      15.34      3.62                  O191400200383 
30.        33.        -0.975     17.09      1.03                  O191400200384 
30.        33.        -0.925     14.64      1.00                  O191400200385 
30.        33.        -0.875     13.62      1.04                  O191400200386 
30.        33.        -0.825     16.04      1.20                  O191400200387 
30.        33.        -0.775     11.31      1.08                  O191400200388 
30.        33.        -0.725     14.56      1.29                  O191400200389 
30.        33.        -0.675     12.14      1.25                  O191400200390 
30.        33.        -0.625     17.45      1.60                  O191400200391 
30.        33.        -0.575     16.09      1.61                  O191400200392 
30.        33.        -0.525     12.31      1.46                  O191400200393 
30.        33.        -0.475     12.75      1.59                  O191400200394 
30.        33.        -0.425     10.77      1.54                  O191400200395 
30.        33.        -0.375     10.38      1.58                  O191400200396 
30.        33.        -0.325     12.98      1.84                  O191400200397 
30.        33.        -0.275     16.98      2.31                  O191400200398 
30.        33.        -0.225     13.49      2.19                  O191400200399 
30.        33.        -0.175     15.50      2.51                  O191400200400 
30.        33.        -0.125     15.87      2.64                  O191400200401 
30.        33.        -0.075     18.76      3.13                  O191400200402 
30.        33.        -0.025     11.03      2.76                  O191400200403 
30.        33.        0.025      20.58      4.04                  O191400200404 
33.        36.        -0.975     16.33      1.54                  O191400200405 
33.        36.        -0.925     15.09      1.40                  O191400200406 
33.        36.        -0.875     15.12      1.41                  O191400200407 
33.        36.        -0.825     16.41      1.56                  O191400200408 
33.        36.        -0.775     15.24      1.57                  O191400200409 
33.        36.        -0.725     16.90      1.73                  O191400200410 
33.        36.        -0.675     12.91      1.57                  O191400200411 
33.        36.        -0.625     12.19      1.61                  O191400200412 
33.        36.        -0.575     12.22      1.73                  O191400200413 
33.        36.        -0.525     11.14      1.72                  O191400200414 
33.        36.        -0.475     12.07      1.86                  O191400200415 
33.        36.        -0.425     16.28      2.33                  O191400200416 
33.        36.        -0.375     12.84      2.17                  O191400200417 
33.        36.        -0.325     12.25      2.24                  O191400200418 
33.        36.        -0.275     16.55      2.80                  O191400200419 
33.        36.        -0.225     18.96      3.21                  O191400200420 
33.        36.        -0.175     19.32      3.53                  O191400200421 
33.        36.        -0.125     13.80      3.35                  O191400200422 
33.        36.        -0.075     18.66      4.10                  O191400200423 
36.        39.        -0.975     9.78       1.88                  O191400200424 
36.        39.        -0.925     10.84      1.95                  O191400200425 
36.        39.        -0.875     12.95      2.05                  O191400200426 
36.        39.        -0.825     12.99      1.98                  O191400200427 
36.        39.        -0.775     17.59      2.23                  O191400200428 
36.        39.        -0.725     18.44      2.36                  O191400200429 
36.        39.        -0.675     12.93      2.07                  O191400200430 
36.        39.        -0.625     15.33      2.29                  O191400200431 
36.        39.        -0.575     15.75      2.46                  O191400200432 
36.        39.        -0.525     14.40      2.43                  O191400200433 
36.        39.        -0.475     14.82      2.66                  O191400200434 
36.        39.        -0.425     10.54      2.36                  O191400200435 
36.        39.        -0.375     17.24      3.26                  O191400200436 
