ENTRY            O1983   20100924                             O049O198300000001 
SUBENT        O1983001   20100924                             O049O198300100001 
BIB                 12         34                                 O198300100002 
TITLE      Quasi-stellar neutrons from the Li-7(p,n)Be-7 reaction O198300100003 
           with an energy-broadened proton beam.                  O198300100004 
AUTHOR     (G.Feinberg, M.Friedman, A.Krasa, A.Shor, Y.Eisen,     O198300100005 
           D.Berkovits, D.Cohen, G.Giorginis, T.Hirsh, M.Paul,    O198300100006 
           A.J.M.Plompen, E.Tsuk)                                 O198300100007 
INSTITUTE  (3ISLSOR)                                              O198300100008 
           (3ISLHEB)                                              O198300100009 
           (2ZZZGEL)                                              O198300100010 
REFERENCE  (J,PR/C,85,055810,2012)                                O198300100011 
           (J,JP/CS,337,012044,2012) prelim.results               O198300100012 
REL-REF    (I,23114001,C.Sage+,J,PR/C,81,064604,2010)             O198300100013 
FACILITY   (VDGT,2ZZZGEL) 7-MV Van de Graaff accelerator at IRMM  O198300100014 
DETECTOR   (GLASD) Schematic of the 6Li-glass detector -          O198300100015 
           aluminum can-0.6-mm thick, Si rubber-1 mm,             O198300100016 
           Teflon layer- 0.25 mm,  6Li glass- 25.4 mm             O198300100017 
METHOD     (TOF)                                                  O198300100018 
SAMPLE     LiF targets of 6-mm diameter were prepared by          O198300100019 
           evaporation on a 1-mm thick Cu disk, 40.7 mm in        O198300100020 
           diameter. The LiF layer thickness was determined by    O198300100021 
           weighing to be in the range of 1 to 2 mg/cm**2. A      O198300100022 
           gold foil nominally 2-mum thick was used as an energy  O198300100023 
           degrader. The foil was glued on a copper ring placing  O198300100024 
           it 1 mm upstream of the LiF layer to minimize          O198300100025 
           transverse beam growth by the scattering in the gold   O198300100026 
           foil.                                                  O198300100027 
ANALYSIS    Authors use the term "broad-energy proton beam" for   O198300100028 
           protons that impinge on the LiF target after a gold    O198300100029 
           degrader foil in case of an incident energy of         O198300100030 
           2096.5 keV before the degrader and use the term        O198300100031 
            "narrow-energy proton beam" for a proton beam of      O198300100032 
           1912 keV directly from the Van de Graaff accelerator.  O198300100033 
STATUS     (TABLE).Table data were received from Dr.G.Feinberg    O198300100034 
           26.07.2012.                                            O198300100035 
HISTORY    (20120731C) s.b.                                       O198300100036 
ENDBIB              34          0                                 O198300100037 
NOCOMMON             0          0                                 O198300100038 
ENDSUBENT           37          0                                 O198300199999 
SUBENT        O1983002   20120821                             O049O198300200001 
BIB                  2          3                                 O198300200002 
REACTION   (3-LI-7(P,N)4-BE-7,,DA/DE,,REL)                        O198300200003 
           broad-energy proton beam                               O198300200004 
EN-SEC     (E,N)                                                  O198300200005 
ENDBIB               3          0                                 O198300200006 
COMMON               1          3                                 O198300200007 
EN                                                                O198300200008 
KEV                                                               O198300200009 
2096.5                                                            O198300200010 
ENDCOMMON            3          0                                 O198300200011 
DATA                 5       1419                                 O198300200012 
ANG        E          E-ERR      DATA       DATA-ERR              O198300200013 
     0.0000     90.000    7.11474    0.65879    0.04553           O198300200059 
     0.0000     92.000    7.27818    0.63417    0.04112           O198300200060 
     0.0000     94.000    7.44205    0.61508    0.03762           O198300200061 
     0.0000     96.000    7.60635    0.57946    0.03839           O198300200062 
     0.0000     98.000    7.77106    0.54789    0.03438           O198300200063 
     0.0000    100.000    7.93619    0.51180    0.03103           O198300200064 
     0.0000    102.000    8.10173    0.50630    0.03319           O198300200065 
     0.0000    104.000    8.26768    0.49883    0.03132           O198300200066 
     0.0000    106.000    8.43403    0.47282    0.02757           O198300200067 
     0.0000    108.000    8.60078    0.45794    0.03409           O198300200068 
     0.0000    110.000    8.76793    0.41504    0.02756           O198300200069 
     0.0000    112.000    8.93547    0.41097    0.02615           O198300200070 
     0.0000    114.000    9.10341    0.37188    0.02352           O198300200071 
     0.0000    116.000    9.27174    0.33137    0.02048           O198300200072 
     0.0000    118.000    9.44045    0.31516    0.02038           O198300200073 
     0.0000    120.000    9.60955    0.30181    0.01971           O198300200074 
     0.0000    122.000    9.77903    0.28045    0.01814           O198300200075 
     0.0000    124.000    9.94889    0.26560    0.01863           O198300200076 
     0.0000    126.000   10.11910    0.23943    0.01600           O198300200077 
     0.0000    128.000   10.28980    0.25895    0.01802           O198300200078 
     0.0000    130.000   10.46070    0.19320    0.01390           O198300200079 
     0.0000    132.000   10.63210    0.16638    0.01134           O198300200080 
     0.0000    134.000   10.80390    0.16246    0.01172           O198300200081 
     0.0000    136.000   10.97600    0.14442    0.01127           O198300200082 
     0.0000    138.000   11.14840    0.12519    0.00940           O198300200083 
     0.0000    140.000   11.32130    0.11217    0.00833           O198300200084 
     0.0000    142.000   11.49450    0.10566    0.00794           O198300200085 
     0.0000    144.000   11.66810    0.10190    0.00761           O198300200086 
     0.0000    146.000   11.84200    0.08784    0.00642           O198300200087 
     0.0000    148.000   12.01630    0.07079    0.00567           O198300200088 
     0.0000    150.000   12.19100    0.08375    0.00651           O198300200089 
     0.0000    152.000   12.36600    0.05346    0.00567           O198300200090 
     0.0000    154.000   12.54140    0.05117    0.00480           O198300200091 
     0.0000    156.000   12.71710    0.04464    0.00453           O198300200092 
     0.0000    158.000   12.89320    0.04077    0.00374           O198300200093 
     0.0000    160.000    13.0697    0.03340    0.00318           O198300200094 
     0.0000    162.000    13.2465    0.02850    0.00356           O198300200095 
     0.0000    164.000    13.4236    0.02269    0.00246           O198300200096 
     0.0000    166.000    13.6011    0.02090    0.00248           O198300200097 
     0.0000    168.000    13.7790    0.01764    0.00259           O198300200098 
     0.0000    170.000    13.9572    0.01455    0.00256           O198300200099 
     0.0000    172.000    14.1357    0.01438    0.00189           O198300200100 
     0.0000    174.000    14.3146    0.01280    0.00180           O198300200101 
     0.0000    176.000    14.4939    0.00992    0.00235           O198300200102 
     0.0000    178.000    14.6735    0.01179    0.00187           O198300200103 
     0.0000    180.000    14.8534    0.00881    0.00219           O198300200104 
     0.0000    182.000    15.0337    0.00949    0.00175           O198300200105 
     0.0000    184.000    15.2143    0.00967    0.00222           O198300200106 
     0.0000    186.000    15.3953    0.00776    0.00202           O198300200107 
     0.0000    188.000    15.5766    0.02017    0.00377           O198300200108 
     0.0000    190.000    15.7583    0.00396    0.00157           O198300200109 
     0.0000    192.000    15.9403    0.00428    0.00187           O198300200110 
     0.0000    194.000    16.1226    0.00346    0.00168           O198300200111 
     0.0000    196.000    16.3053    0.00587    0.00202           O198300200112 
     0.0000    198.000    16.4883    0.00162    0.00086           O198300200113 
     5.0000      2.000    1.01094    1.54304    0.09979           O198300200114 
     5.0000      4.000    1.04317    2.12837    0.12718           O198300200115 
     5.0000      6.000    1.09497    2.65695    0.15824           O198300200116 
     5.0000      8.000    1.16388    3.11030    0.30084           O198300200117 
     5.0000     10.000    1.24721    3.74872    0.27226           O198300200118 
     5.0000     12.000    1.34239    3.91864    0.21668           O198300200119 
     5.0000     14.000    1.44722    4.49641    0.28093           O198300200120 
     5.0000     16.000    1.55987    4.66256    0.28359           O198300200121 
     5.0000     18.000    1.67886    5.42528    0.48676           O198300200122 
     5.0000     20.000    1.80304    5.83611    0.35733           O198300200123 
     5.0000     22.000    1.93149    6.26916    0.36314           O198300200124 
     5.0000     24.000    2.06351    6.60596    0.39252           O198300200125 
     5.0000     26.000    2.19853    7.08923    0.60359           O198300200126 
     5.0000     28.000    2.33611    7.45282    0.42940           O198300200127 
     5.0000     30.000    2.47589    7.60115    0.56472           O198300200128 
     5.0000     32.000    2.61758    8.06500    0.46872           O198300200129 
     5.0000     34.000    2.76096    7.96593    0.55838           O198300200130 
     5.0000     36.000    2.90584    8.40809    0.52995           O198300200131 
     5.0000     38.000    3.05206    8.36986    0.49262           O198300200132 
     5.0000     40.000    3.19949    8.02582    0.50152           O198300200133 
     5.0000     42.000    3.34803    7.95070    0.53711           O198300200134 
     5.0000     44.000    3.49758    7.87345    0.47413           O198300200135 
     5.0000     46.000    3.64807    7.85589    0.46984           O198300200136 
     5.0000     48.000    3.79943    7.58451    0.47150           O198300200137 
     5.0000     50.000    3.95161    7.74922    0.45865           O198300200138 
     5.0000     52.000    4.10456    8.02183    0.44149           O198300200139 
     5.0000     54.000    4.25824    7.53940    0.52865           O198300200140 
     5.0000     56.000    4.41261    7.18856    0.56525           O198300200141 
     5.0000     58.000    4.56764    7.53604    0.49935           O198300200142 
     5.0000     60.000    4.72330    7.60232    0.46312           O198300200143 
     5.0000     62.000    4.87957    6.95420    0.41343           O198300200144 
     5.0000     64.000    5.03643    6.55696    0.36918           O198300200145 
     5.0000     66.000    5.19385    6.35313    0.40700           O198300200146 
     5.0000     68.000    5.35183    6.47945    0.39911           O198300200147 
     5.0000     70.000    5.51034    6.76735    0.45450           O198300200148 
     5.0000     72.000    5.66937    6.61980    0.37107           O198300200149 
     5.0000     74.000    5.82891    6.43545    0.51091           O198300200150 
     5.0000     76.000    5.98895    6.17318    0.41955           O198300200151 
     5.0000     78.000    6.14948    5.95744    0.36063           O198300200152 
     5.0000     80.000    6.31048    5.96271    0.35117           O198300200153 
     5.0000     82.000    6.47196    5.71010    0.49919           O198300200154 
     5.0000     84.000    6.63390    5.49384    0.36278           O198300200155 
     5.0000     86.000    6.79629    5.28368    0.33762           O198300200156 
     5.0000     88.000    6.95913    5.10562    0.30708           O198300200157 
     5.0000     90.000    7.12241    5.21635    0.35476           O198300200158 
     5.0000     92.000    7.28614    4.99461    0.32939           O198300200159 
     5.0000     94.000    7.45029    5.02200    0.30543           O198300200160 
     5.0000     96.000    7.61487    4.58390    0.30159           O198300200161 
     5.0000     98.000    7.77987    4.16648    0.25424           O198300200162 
     5.0000    100.000    7.94530    4.28793    0.25488           O198300200163 
     5.0000    102.000    8.11113    3.93171    0.25559           O198300200164 
     5.0000    104.000    8.27738    4.20766    0.27211           O198300200165 
     5.0000    106.000    8.44404    3.68584    0.21849           O198300200166 
     5.0000    108.000    8.61110    3.44722    0.25234           O198300200167 
     5.0000    110.000    8.77856    3.24539    0.21493           O198300200168 
     5.0000    112.000    8.94643    3.15961    0.20162           O198300200169 
     5.0000    114.000    9.11468    2.73907    0.17178           O198300200170 
     5.0000    116.000    9.28333    2.64702    0.16244           O198300200171 
     5.0000    118.000    9.45238    2.48524    0.16073           O198300200172 
     5.0000    120.000    9.62181    2.38367    0.15911           O198300200173 
     5.0000    122.000    9.79163    2.27418    0.14446           O198300200174 
     5.0000    124.000    9.96183    2.11581    0.15331           O198300200175 
     5.0000    126.000   10.13240    1.92406    0.12853           O198300200176 
     5.0000    128.000   10.30340    2.09796    0.14995           O198300200177 
     5.0000    130.000   10.47470    1.50943    0.10157           O198300200178 
     5.0000    132.000   10.64650    1.32350    0.09129           O198300200179 
     5.0000    134.000   10.81850    1.21115    0.08712           O198300200180 
     5.0000    136.000   10.99100    1.12382    0.09107           O198300200181 
     5.0000    138.000   11.16390    1.00272    0.07925           O198300200182 
     5.0000    140.000   11.33710    0.93318    0.06884           O198300200183 
     5.0000    142.000   11.51070    0.80376    0.06472           O198300200184 
     5.0000    144.000   11.68460    0.74259    0.05633           O198300200185 
     5.0000    146.000   11.85890    0.63070    0.04937           O198300200186 
     5.0000    148.000   12.03360    0.56706    0.04630           O198300200187 
     5.0000    150.000   12.20870    0.67593    0.05452           O198300200188 
     5.0000    152.000   12.38410    0.42025    0.03607           O198300200189 
     5.0000    154.000   12.55990    0.38640    0.03347           O198300200190 
     5.0000    156.000   12.73600    0.35556    0.03198           O198300200191 
     5.0000    158.000   12.91250    0.28815    0.02749           O198300200192 
     5.0000    160.000   13.08940    0.22011    0.02225           O198300200193 
     5.0000    162.000   13.26660    0.24141    0.02324           O198300200194 
     5.0000    164.000   13.44410    0.19542    0.02032           O198300200195 
     5.0000    166.000   13.62210    0.16323    0.01834           O198300200196 
     5.0000    168.000   13.80030    0.14398    0.01757           O198300200197 
     5.0000    170.000   13.97900    0.11295    0.01901           O198300200198 
     5.0000    172.000   14.15800    0.11975    0.01562           O198300200199 
     5.0000    174.000   14.33730    0.11034    0.01490           O198300200200 
     5.0000    176.000   14.51700    0.09810    0.01466           O198300200201 
     5.0000    178.000   14.69700    0.08972    0.01392           O198300200202 
     5.0000    180.000   14.87740    0.05000    0.01105           O198300200203 
     5.0000    182.000   15.05810    0.08445    0.01577           O198300200204 
     5.0000    184.000   15.23920    0.08849    0.01826           O198300200205 
     5.0000    186.000   15.42060    0.07248    0.01711           O198300200206 
     5.0000    188.000   15.60240    0.10036    0.02330           O198300200207 
     5.0000    190.000   15.78450    0.05410    0.01634           O198300200208 
     5.0000    192.000   15.96700    0.01597    0.01076           O198300200209 
     5.0000    194.000   16.14980    0.03000    0.01477           O198300200210 
     5.0000    196.000   16.33290    0.05660    0.01961           O198300200211 
     5.0000    198.000   16.51640    0.01710    0.00848           O198300200212 
    10.0000      2.000    1.01094    2.77160    0.17443           O198300200213 
    10.0000      4.000    1.04316    4.00908    0.23461           O198300200214 
    10.0000      6.000    1.09495    5.09306    0.29838           O198300200215 
    10.0000      8.000    1.16383    6.07304    0.62324           O198300200216 
    10.0000     10.000    1.24712    6.98174    0.50717           O198300200217 
    10.0000     12.000    1.34227    7.66769    0.42304           O198300200218 
    10.0000     14.000    1.44705    8.63528    0.54406           O198300200219 
    10.0000     16.000    1.55965    9.03226    0.55781           O198300200220 
    10.0000     18.000    1.67858    9.92860    0.88947           O198300200221 
    10.0000     20.000    1.80270    10.7637    0.65255           O198300200222 
    10.0000     22.000    1.93109    11.6997    0.68010           O198300200223 
    10.0000     24.000    2.06304    12.1612    0.71736           O198300200224 
    10.0000     26.000    2.19799    12.7384    1.06071           O198300200225 
    10.0000     28.000    2.33549    13.5298    0.78448           O198300200226 
    10.0000     30.000    2.47520    13.7857    1.03724           O198300200227 
    10.0000     32.000    2.61681    14.7354    0.85635           O198300200228 
    10.0000     34.000    2.76011    14.6392    1.00624           O198300200229 
    10.0000     36.000    2.90490    14.9405    0.95322           O198300200230 
    10.0000     38.000    3.05103    15.0397    0.88017           O198300200231 
    10.0000     40.000    3.19837    14.6922    0.92182           O198300200232 
    10.0000     42.000    3.34682    15.0229    1.01849           O198300200233 
    10.0000     44.000    3.49627    15.0586    0.92497           O198300200234 
    10.0000     46.000    3.64666    14.9276    0.88798           O198300200235 
    10.0000     48.000    3.79792    14.2050    0.88108           O198300200236 
    10.0000     50.000    3.95000    14.5147    0.86277           O198300200237 
    10.0000     52.000    4.10284    14.6880    0.81071           O198300200238 
    10.0000     54.000    4.25641    14.5367    1.01509           O198300200239 
    10.0000     56.000    4.41067    13.3663    1.03954           O198300200240 
    10.0000     58.000    4.56559    13.7794    0.91038           O198300200241 
    10.0000     60.000    4.72113    13.9826    0.85716           O198300200242 
    10.0000     62.000    4.87728    12.8303    0.77094           O198300200243 
    10.0000     64.000    5.03402    12.1813    0.68978           O198300200244 
    10.0000     66.000    5.19132    12.2381    0.78427           O198300200245 
    10.0000     68.000    5.34918    12.2433    0.75725           O198300200246 
    10.0000     70.000    5.50756    12.5022    0.85712           O198300200247 
    10.0000     72.000    5.66646    12.3439    0.68855           O198300200248 
    10.0000     74.000    5.82587    11.8543    0.93897           O198300200249 
    10.0000     76.000    5.98578    11.5412    0.77831           O198300200250 
    10.0000     78.000    6.14617    11.2922    0.69205           O198300200251 
    10.0000     80.000    6.30704    10.9296    0.64810           O198300200252 
    10.0000     82.000    6.46837    10.2879    0.88550           O198300200253 
    10.0000     84.000    6.63017     9.4391    0.62271           O198300200254 
    10.0000     86.000    6.79241     9.6598    0.61017           O198300200255 
    10.0000     88.000    6.95511    9.91042    0.60175           O198300200256 
    10.0000     90.000    7.11824    9.46769    0.64654           O198300200257 
    10.0000     92.000    7.28181    9.55547    0.64109           O198300200258 
    10.0000     94.000    7.44581    9.00298    0.55295           O198300200259 
    10.0000     96.000    7.61024    8.35896    0.54612           O198300200260 
    10.0000     98.000    7.77509    7.97159    0.48951           O198300200261 
    10.0000    100.000    7.94035    7.84685    0.47571           O198300200262 
    10.0000    102.000    8.10602    7.35330    0.49147           O198300200263 
    10.0000    104.000    8.27211    7.15234    0.46890           O198300200264 
    10.0000    106.000    8.43860    6.80551    0.40635           O198300200265 
    10.0000    108.000    8.60549    6.56329    0.48180           O198300200266 
    10.0000    110.000    8.77279    5.51059    0.37048           O198300200267 
    10.0000    112.000    8.94047    5.11330    0.33219           O198300200268 
    10.0000    114.000    9.10856    5.09461    0.32183           O198300200269 
    10.0000    116.000    9.27703    4.85312    0.30391           O198300200270 
    10.0000    118.000    9.44590    4.16576    0.27155           O198300200271 
    10.0000    120.000    9.61515    4.23268    0.28685           O198300200272 
    10.0000    122.000    9.78478    3.75658    0.24006           O198300200273 
    10.0000    124.000    9.95480    3.72128    0.26918           O198300200274 
    10.0000    126.000   10.12520    3.36039    0.22395           O198300200275 
    10.0000    128.000   10.29600    3.54502    0.25105           O198300200276 
    10.0000    130.000   10.46710    2.46339    0.17234           O198300200277 
    10.0000    132.000   10.63870    2.32630    0.16546           O198300200278 
    10.0000    134.000   10.81060    2.11563    0.15395           O198300200279 
    10.0000    136.000   10.98280    1.86699    0.15318           O198300200280 
    10.0000    138.000   11.15550    1.73685    0.13854           O198300200281 
    10.0000    140.000   11.32850    1.43331    0.11013           O198300200282 
    10.0000    142.000   11.50190    1.32551    0.11266           O198300200283 
    10.0000    144.000   11.67560    1.16942    0.09621           O198300200284 
    10.0000    146.000   11.84970    1.10264    0.08775           O198300200285 
    10.0000    148.000   12.02420    0.92898    0.07785           O198300200286 
    10.0000    150.000   12.19910    1.00549    0.08264           O198300200287 
    10.0000    152.000   12.37430    0.77263    0.06775           O198300200288 
    10.0000    154.000   12.54980    0.63563    0.05917           O198300200289 
    10.0000    156.000   12.72570    0.54310    0.05371           O198300200290 
    10.0000    158.000   12.90200    0.44396    0.04706           O198300200291 
    10.0000    160.000   13.07870    0.36895    0.04074           O198300200292 
    10.0000    162.000   13.25560    0.39233    0.04319           O198300200293 
    10.0000    164.000   13.43300    0.31677    0.03730           O198300200294 
    10.0000    166.000   13.61070    0.24824    0.03092           O198300200295 
    10.0000    168.000   13.78870    0.19341    0.02823           O198300200296 
    10.0000    170.000   13.96710    0.20615    0.02971           O198300200297 
    10.0000    172.000   14.14590    0.15520    0.02453           O198300200298 
    10.0000    174.000   14.32500    0.12235    0.02299           O198300200299 
    10.0000    176.000   14.50440    0.10981    0.02486           O198300200300 
    10.0000    178.000   14.68420    0.09233    0.02241           O198300200301 
    10.0000    180.000   14.86440    0.09077    0.02109           O198300200302 
    10.0000    182.000   15.04490    0.07093    0.02035           O198300200303 
    10.0000    184.000   15.22570    0.13269    0.03132           O198300200304 
    10.0000    186.000   15.40690    0.11681    0.03064           O198300200305 
    10.0000    188.000   15.58840    0.13290    0.03868           O198300200306 
    10.0000    190.000   15.77030    0.03926    0.02135           O198300200307 
    10.0000    192.000   15.95250    0.04712    0.01410           O198300200308 
    10.0000    194.000   16.13500    0.01029    0.01413           O198300200309 
    10.0000    196.000   16.31790    0.03922    0.02225           O198300200310 
    10.0000    198.000   16.50120    0.00924    0.00503           O198300200311 
    15.0000      2.000    1.01094    3.86099    0.24835           O198300200312 
    15.0000      4.000    1.04319    5.65543    0.32871           O198300200313 
    15.0000      6.000    1.09501    7.25945    0.43177           O198300200314 
    15.0000      8.000    1.16396    9.01578    0.94911           O198300200315 
    15.0000     10.000    1.24733    10.0913    0.72575           O198300200316 
    15.0000     12.000    1.34258    10.8858    0.60208           O198300200317 
    15.0000     14.000    1.44748    12.1637    0.77352           O198300200318 
    15.0000     16.000    1.56020    12.7271    0.77578           O198300200319 
    15.0000     18.000    1.67927    14.2365    1.29726           O198300200320 
    15.0000     20.000    1.80354    14.6931    0.88507           O198300200321 
    15.0000     22.000    1.93209    16.3656    0.94438           O198300200322 
    15.0000     24.000    2.06421    16.8963    0.99629           O198300200323 
    15.0000     26.000    2.19934    17.8356    1.46090           O198300200324 
    15.0000     28.000    2.33702    17.8260    1.02999           O198300200325 
    15.0000     30.000    2.47692    18.9138    1.44225           O198300200326 
    15.0000     32.000    2.61874    20.2626    1.17255           O198300200327 
    15.0000     34.000    2.76224    19.8723    1.37942           O198300200328 
    15.0000     36.000    2.90725    20.4201    1.29302           O198300200329 
    15.0000     38.000    3.05360    20.8550    1.22464           O198300200330 
    15.0000     40.000    3.20116    19.8072    1.24782           O198300200331 
    15.0000     42.000    3.34984    20.1864    1.36616           O198300200332 
    15.0000     44.000    3.49953   20.19430    1.24019           O198300200333 
    15.0000     46.000    3.65017   19.53750    1.16580           O198300200334 
    15.0000     48.000    3.80168   20.46870    1.26641           O198300200335 
    15.0000     50.000    3.95402   20.08010    1.18604           O198300200336 
    15.0000     52.000    4.10713   20.03380    1.11184           O198300200337 
    15.0000     54.000    4.26097   19.07160    1.33709           O198300200338 
    15.0000     56.000    4.41550   18.16510    1.46004           O198300200339 
    15.0000     58.000    4.57070   19.23910    1.28722           O198300200340 
    15.0000     60.000    4.72653   18.84500    1.16322           O198300200341 
    15.0000     62.000    4.88298   16.87090    1.01913           O198300200342 
    15.0000     64.000    5.04002   16.65590    0.94420           O198300200343 
    15.0000     66.000    5.19763   16.90090    1.07610           O198300200344 
    15.0000     68.000    5.35579   17.66400    1.09129           O198300200345 
    15.0000     70.000    5.51449   16.94090    1.16456           O198300200346 
    15.0000     72.000    5.67371   16.79620    0.94800           O198300200347 
    15.0000     74.000    5.83345   16.14420    1.28650           O198300200348 
    15.0000     76.000    5.99369   16.05130    1.08296           O198300200349 
    15.0000     78.000    6.15442   15.46600    0.95109           O198300200350 
    15.0000     80.000    6.31563   15.19490    0.90640           O198300200351 
    15.0000     82.000    6.47732   13.96930    1.21272           O198300200352 
    15.0000     84.000    6.63947   13.68600    0.91198           O198300200353 
    15.0000     86.000    6.80208   13.31570    0.85592           O198300200354 
    15.0000     88.000    6.96514   13.51530    0.82424           O198300200355 
    15.0000     90.000    7.12865   13.01240    0.91082           O198300200356 
    15.0000     92.000    7.29259   12.95190    0.87455           O198300200357 
    15.0000     94.000    7.45698   11.97560    0.74712           O198300200358 
    15.0000     96.000    7.62179   11.37960    0.75975           O198300200359 
