ENTRY            O2099   20121114                             O050O209900000001 
SUBENT        O2099001   20121114                             O050O209900100001 
BIB                 13         29                                 O209900100002 
TITLE      Measurement of cross sections for the scattering of    O209900100003 
           neutrons in the energy range of 2 MeV to 4 MeV with theO209900100004 
           N-15(p,n) reaction as a neutron source.                O209900100005 
AUTHOR     (E.Poenitz)                                            O209900100006 
INSTITUTE  (2GERDRE)                                              O209900100007 
REFERENCE  (T,Poenitz,2010) plus letter from Dr.Ralf Nolte,       O209900100008 
                            2012-01-04                            O209900100009 
FACILITY   (CYCLO,2GERPTB)  PTB CV28 cyclotron                    O209900100010 
METHOD     (TOF)                                                  O209900100011 
SAMPLE     Gas targets are used. N(2) gas with a N-15 isotopic    O209900100012 
           of over 98% was obtained.                              O209900100013 
DETECTOR   (SCIN) Six  NE213 liquid scintillation detectors:      O209900100014 
            D1 -     4 inches diameter, 1 inch length,            O209900100015 
            D2 - D5  10 inches diameter, 2 inches length,         O209900100016 
            M -      neutron fluence monitor detector.            O209900100017 
REL-REF    (I,22988001,E.Poenitz+,C,2007NICE,1,513,2007)          O209900100018 
ERR-ANALYS (DATA-ERR).The uncertainty is reported in table.       O209900100019 
           (ERR-S,0.1,1.8).The statistical uncertainties of the   O209900100020 
           fluences determined with detectors D1 to D5 were are   O209900100021 
           very small and should be 0.1% to 1.8%,  but generally  O209900100022 
           less than 1%. They are uncorrelated.                   O209900100023 
           The statistical uncertainties of the monitor detector  O209900100024 
           is 0.5% up to 1.6%.                                    O209900100025 
INC-SOURCE *EN-RSL-FW*.The uncertainty of the proton energy is theO209900100026 
           FWHM.                                                  O209900100027 
STATUS     (TABLE).Tables of T,Poenitz,2010                       O209900100028 
           (COREL,23156001) neutron data were compiled            O209900100029 
HISTORY    (20121106C)  S.B.                                      O209900100030 
           (20120104R)  R.Nolte additional comments to experiment O209900100031 
ENDBIB              29          0                                 O209900100032 
NOCOMMON             0          0                                 O209900100033 
ENDSUBENT           32          0                                 O209900199999 
SUBENT        O2099002   20121114                             O050O209900200001 
BIB                  2          9                                 O209900200002 
REACTION   (7-N-15(P,N)8-O-15,,DA)                                O209900200003 
FLAG       (1.).Cyclotron position-1                              O209900200004 
           (2.).Cyclotron position-2                              O209900200005 
           (3.).Cyclotron position-3                              O209900200006 
           (4.).Cyclotron position-4                              O209900200007 
           (5.).Cyclotron position-5                              O209900200008 
           (6.).Cyclotron position-6                              O209900200009 
           (7.).Cyclotron position-7                              O209900200010 
           (8.).Cyclotron position-8                              O209900200011 
ENDBIB               9          0                                 O209900200012 
NOCOMMON             0          0                                 O209900200013 
DATA                 6        275                                 O209900200014 
EN         EN-RSL-FW  ANG        DATA       DATA-ERR   FLAG       O209900200015 
5.62       0.06       13.96      14.32      0.67       5.         O209900200061 
5.62       0.06       20.64      14.63      0.69       2.         O209900200062 
5.62       0.06       27.85      13.22      0.56       1.         O209900200063 
5.62       0.06       27.85      13.08      0.61       5.         O209900200064 
5.62       0.06       34.47      12.91      0.61       2.         O209900200065 
5.62       0.06       41.61      11.85      0.50       1.         O209900200066 
5.62       0.06       41.61      11.74      0.55       5.         O209900200067 
5.62       0.06       48.15      10.71      0.50       2.         O209900200068 
5.62       0.06       55.17      8.67       0.38       1.         O209900200069 
5.62       0.06       55.17      8.54       0.41       5.         O209900200070 
5.62       0.06       61.60      7.28       0.35       2.         O209900200071 
5.62       0.06       65.85      6.28       0.30       3.         O209900200072 
5.62       0.06       78.94      4.21       0.35       3.         O209900200073 
5.62       0.06       91.73      3.25       0.16       3.         O209900200074 
5.62       0.06       104.20     5.18       0.25       3.         O209900200075 
5.62       0.06       116.35     9.07       0.68       3.         O209900200076 
5.62       0.06       116.35     8.52       0.42       4.         O209900200077 
5.62       0.06       128.19     13.44      1.60       4.         O209900200078 
5.62       0.06       139.77     16.23      2.74       4.         O209900200079 
5.62       0.06       151.12     19.75      2.53       4.         O209900200080 
5.62       0.06       162.31     21.02      5.87       4.         O209900200081 
5.66       0.06       0.00       13.42      0.59       1.         O209900200082 
5.66       0.06       0.00       13.44      0.66       5.         O209900200083 
5.66       0.06       6.70       13.04      0.64       2.         O209900200084 
5.66       0.06       13.95      14.00      0.61       1.         O209900200085 
5.66       0.06       13.95      13.90      0.68       5.         O209900200086 
5.66       0.06       20.63      13.26      0.65       2.         O209900200087 
5.66       0.06       27.83      12.45      0.54       1.         O209900200088 
5.66       0.06       27.83      12.32      0.60       5.         O209900200089 
5.66       0.06       34.45      11.36      0.55       2.         O209900200090 
5.66       0.06       41.58      10.67      0.46       1.         O209900200091 
5.66       0.06       41.58      10.51      0.51       5.         O209900200092 
5.66       0.06       48.11      9.08       0.44       2.         O209900200093 
5.66       0.06       55.14      7.57       0.34       1.         O209900200094 
5.66       0.06       55.14      7.48       0.37       5.         O209900200095 
5.66       0.06       61.56      5.92       0.30       2.         O209900200096 
5.66       0.06       65.81      5.04       0.25       3.         O209900200097 
5.66       0.06       78.90      3.40       0.27       3.         O209900200098 
5.66       0.06       91.59      2.89       0.15       3.         O209900200099 
5.66       0.06       104.15     4.74       0.23       3.         O209900200100 
5.66       0.06       116.30     7.99       0.51       3.         O209900200101 
5.66       0.06       116.30     7.56       0.39       4.         O209900200102 
5.66       0.06       128.16     11.65      1.26       4.         O209900200103 
5.66       0.06       139.74     14.02      1.99       4.         O209900200104 
5.66       0.06       151.10     16.35      1.54       4.         O209900200105 
5.66       0.06       162.29     16.92      4.34       4.         O209900200106 
5.82       0.04       0.00       26.15      1.14       1.         O209900200107 
5.82       0.04       0.00       26.37      1.16       7.         O209900200108 
5.82       0.04       6.68       25.70      1.14       2.         O209900200109 
5.82       0.04       13.91      24.75      1.08       1.         O209900200110 
5.82       0.04       13.91      24.38      1.08       4.         O209900200111 
5.82       0.04       13.91      25.01      1.11       7.         O209900200112 
5.82       0.04       20.57      22.71      1.01       2.         O209900200113 
5.82       0.04       27.75      19.50      0.86       1.         O209900200114 
5.82       0.04       27.75      19.76      0.88       4.         O209900200115 
5.82       0.04       27.75      19.17      0.85       5.         O209900200116 
5.82       0.04       27.75      19.80      0.88       7.         O209900200117 
5.82       0.04       34.35      16.47      0.73       2.         O209900200118 
5.82       0.04       41.46      12.76      0.55       1.         O209900200119 
5.82       0.04       41.46      13.14      0.58       4.         O209900200120 
5.82       0.04       41.46      13.01      0.58       5.         O209900200121 
5.82       0.04       41.46      12.90      0.57       7.         O209900200122 
5.82       0.04       47.98      9.89       0.43       2.         O209900200123 
5.82       0.04       54.99      7.10       0.31       1.         O209900200124 
5.82       0.04       54.99      7.25       0.32       4.         O209900200125 
5.82       0.04       54.99      7.32       0.33       5.         O209900200126 
5.82       0.04       54.99      7.17       0.32       7.         O209900200127 
5.82       0.04       61.40      5.41       0.24       2.         O209900200128 
5.82       0.04       65.64      4.79       0.21       3.         O209900200129 
5.82       0.04       68.28      4.35       0.19       4.         O209900200130 
5.82       0.04       68.28      4.39       0.19       5.         O209900200131 
5.82       0.04       78.72      4.39       0.20       3.         O209900200132 
5.82       0.04       81.30      4.60       0.21       5.         O209900200133 
5.82       0.04       91.50      6.85       0.48       3.         O209900200134 
5.82       0.04       103.96     9.75       0.44       3.         O209900200135 
5.82       0.04       103.96     9.69       0.44       6.         O209900200136 
5.82       0.04       116.12     12.50      0.57       3.         O209900200137 
5.82       0.04       116.12     13.22      0.61       6.         O209900200138 
5.82       0.04       127.99     13.78      1.58       6.         O209900200139 
5.82       0.04       139.60     14.60      0.66       6.         O209900200140 
5.82       0.04       151.00     14.27      0.77       6.         O209900200141 
6.62       0.06       0.00       21.62      0.90       1.         O209900200142 
6.62       0.06       0.00       21.67      0.92       5.         O209900200143 
6.62       0.06       6.62       21.22      0.90       2.         O209900200144 
6.62       0.06       13.78      20.01      0.84       1.         O209900200145 
6.62       0.06       13.78      20.06      0.86       5.         O209900200146 
6.62       0.06       20.37      18.18      0.78       2.         O209900200147 
6.62       0.06       27.49      15.79      0.66       1.         O209900200148 
6.62       0.06       27.49      15.76      0.67       5.         O209900200149 
6.62       0.06       34.04      13.47      0.58       2.         O209900200150 
6.62       0.06       41.09      11.54      0.48       1.         O209900200151 
6.62       0.06       41.09      11.46      0.49       5.         O209900200152 
6.62       0.06       47.56      10.01      0.43       2.         O209900200153 
6.62       0.06       54.52      9.02       0.38       1.         O209900200154 
6.62       0.06       54.52      9.03       0.39       5.         O209900200155 
6.62       0.06       60.90      8.73       0.37       2.         O209900200156 
6.62       0.06       65.12      8.88       0.38       3.         O209900200157 
6.62       0.06       78.13      10.13      0.44       3.         O209900200158 
6.62       0.06       90.89      11.29      0.48       3.         O209900200159 
6.62       0.06       103.36     12.46      0.53       3.         O209900200160 
6.62       0.06       115.55     12.43      0.54       3.         O209900200161 
6.62       0.06       115.55     12.83      0.55       4.         O209900200162 
6.62       0.06       127.48     13.27      0.57       4.         O209900200163 
6.62       0.06       139.17     12.27      0.53       4.         O209900200164 
6.62       0.06       150.67     12.39      0.54       4.         O209900200165 
6.62       0.06       162.02     11.38      1.84       4.         O209900200166 
6.69       0.05       0.00       20.84      0.87       1.         O209900200167 
6.69       0.05       0.00       20.52      0.87       6.         O209900200168 
6.69       0.05       6.61       20.14      0.86       2.         O209900200169 
6.69       0.05       13.77      19.64      0.82       1.         O209900200170 
6.69       0.05       13.77      19.19      0.82       6.         O209900200171 
6.69       0.05       20.36      17.66      0.75       2.         O209900200172 
6.69       0.05       27.48      15.73      0.66       1.         O209900200173 
6.69       0.05       27.48      15.59      0.66       4.         O209900200174 
6.69       0.05       27.48      15.36      0.65       6.         O209900200175 
6.69       0.05       34.02      13.99      0.59       2.         O209900200176 
6.69       0.05       41.07      12.38      0.52       1.         O209900200177 
6.69       0.05       41.07      12.33      0.52       4.         O209900200178 
6.69       0.05       41.07      12.13      0.51       6.         O209900200179 
6.69       0.05       47.53      11.09      0.47       2.         O209900200180 
6.69       0.05       54.49      10.46      0.44       1.         O209900200181 
6.69       0.05       54.49      10.42      0.44       4.         O209900200182 
6.69       0.05       54.49      10.27      0.44       6.         O209900200183 
6.69       0.05       60.86      10.15      0.43       2.         O209900200184 
6.69       0.05       65.08      10.27      0.44       3.         O209900200185 
6.69       0.05       67.70      10.59      0.45       4.         O209900200186 
6.69       0.05       78.09      11.34      0.49       3.         O209900200187 
6.69       0.05       80.67      11.02      0.47       4.         O209900200188 
6.69       0.05       90.84      11.77      0.51       3.         O209900200189 
6.69       0.05       103.31     11.81      0.51       3.         O209900200190 
6.69       0.05       103.31     11.65      0.50       5.         O209900200191 
6.69       0.05       115.51     11.48      0.50       3.         O209900200192 
6.69       0.05       115.51     11.74      0.50       5.         O209900200193 
6.69       0.05       127.44     11.62      0.50       5.         O209900200194 
6.69       0.05       139.14     12.20      0.52       5.         O209900200195 
6.69       0.05       150.65     13.07      0.57       5.         O209900200196 
7.57       0.04       0.00       28.70      2.35       1.         O209900200197 
7.57       0.04       0.00       28.22      2.33       7.         O209900200198 
7.57       0.04       6.57       28.18      2.32       2.         O209900200199 
7.57       0.04       13.68      28.78      2.36       1.         O209900200200 
7.57       0.04       13.68      27.84      2.30       4.         O209900200201 
7.57       0.04       13.68      28.22      2.33       7.         O209900200202 
7.57       0.04       20.23      27.90      2.30       2.         O209900200203 
7.57       0.04       27.31      27.40      2.25       1.         O209900200204 
7.57       0.04       27.31      26.89      2.22       4.         O209900200205 
7.57       0.04       27.31      26.94      2.22       5.         O209900200206 
7.57       0.04       27.31      26.92      2.22       7.         O209900200207 
7.57       0.04       33.81      25.78      2.13       2.         O209900200208 
7.57       0.04       40.83      24.41      2.00       1.         O209900200209 
7.57       0.04       40.83      24.00      1.98       4.         O209900200210 
7.57       0.04       40.83      24.48      2.02       5.         O209900200211 
7.57       0.04       40.83      23.89      1.97       7.         O209900200212 
7.57       0.04       47.26      21.27      1.75       2.         O209900200213 
7.57       0.04       54.19      18.05      1.48       1.         O209900200214 
7.57       0.04       54.19      17.84      1.47       4.         O209900200215 
7.57       0.04       54.19      17.98      1.48       5.         O209900200216 
7.57       0.04       54.19      17.68      1.46       7.         O209900200217 
7.57       0.04       60.53      14.76      1.22       2.         O209900200218 
7.57       0.04       64.74      13.11      1.08       3.         O209900200219 
7.57       0.04       67.35      11.51      0.95       4.         O209900200220 
7.57       0.04       67.35      11.69      0.96       5.         O209900200221 
7.57       0.04       77.72      7.68       0.63       3.         O209900200222 
7.57       0.04       80.28      6.82       0.56       5.         O209900200223 
7.57       0.04       90.45      5.75       0.47       3.         O209900200224 
7.57       0.04       102.92     7.42       0.61       3.         O209900200225 
7.57       0.04       102.92     7.35       0.61       6.         O209900200226 
7.57       0.04       115.14     10.97      0.91       3.         O209900200227 
7.57       0.04       115.14     11.02      0.91       6.         O209900200228 
7.57       0.04       127.11     13.86      1.15       6.         O209900200229 
7.57       0.04       138.86     15.32      1.27       6.         O209900200230 
7.57       0.04       150.44     13.99      1.16       6.         O209900200231 
7.59       0.04       0.00       27.04      1.21       1.         O209900200232 
7.59       0.04       0.00       24.44      1.15       5.         O209900200233 
7.59       0.04       6.57       26.14      1.22       2.         O209900200234 
7.59       0.04       13.68      26.44      1.21       1.         O209900200235 
7.59       0.04       13.68      24.66      1.15       5.         O209900200236 
7.59       0.04       20.23      26.12      1.22       2.         O209900200237 
7.59       0.04       27.31      25.35      1.16       1.         O209900200238 
7.59       0.04       27.31      24.37      1.14       5.         O209900200239 
7.59       0.04       33.81      24.60      1.15       2.         O209900200240 
7.59       0.04       40.82      22.77      1.04       1.         O209900200241 
7.59       0.04       40.82      22.32      1.04       5.         O209900200242 
7.59       0.04       47.26      20.86      0.97       2.         O209900200243 
7.59       0.04       54.18      17.65      0.80       1.         O209900200244 
7.59       0.04       54.18      18.02      0.84       5.         O209900200245 
7.59       0.04       60.53      14.79      0.69       2.         O209900200246 
7.59       0.04       64.73      12.94      0.61       3.         O209900200247 
7.59       0.04       77.71      7.74       0.36       3.         O209900200248 
7.59       0.04       90.44      5.60       0.26       3.         O209900200249 
7.59       0.04       102.92     7.49       0.35       3.         O209900200250 
7.59       0.04       115.13     11.32      0.53       3.         O209900200251 
7.59       0.04       115.13     12.54      0.59       4.         O209900200252 
7.59       0.04       127.11     17.61      0.82       4.         O209900200253 
7.59       0.04       138.86     18.60      0.87       4.         O209900200254 
7.59       0.04       150.43     17.39      0.81       4.         O209900200255 
7.59       0.04       161.87     10.34      1.71       4.         O209900200256 
8.70       0.05       0.00       4.05       0.33       1.         O209900200257 
8.70       0.05       0.00       4.11       0.34       7.         O209900200258 
8.70       0.05       6.54       4.21       0.35       2.         O209900200259 
8.70       0.05       13.61      4.44       0.36       1.         O209900200260 
8.70       0.05       13.61      4.40       0.36       4.         O209900200261 
8.70       0.05       13.61      4.47       0.39       7.         O209900200262 
8.70       0.05       20.13      4.65       0.39       2.         O209900200263 
8.70       0.05       27.18      4.89       0.40       1.         O209900200264 
8.70       0.05       27.18      4.78       0.40       4.         O209900200265 
8.70       0.05       27.18      4.89       0.40       5.         O209900200266 
8.70       0.05       27.18      4.88       0.42       7.         O209900200267 
8.70       0.05       33.65      4.86       0.40       2.         O209900200268 
8.70       0.05       40.64      4.68       0.38       1.         O209900200269 
8.70       0.05       40.64      4.64       0.38       4.         O209900200270 
8.70       0.05       40.64      4.72       0.39       5.         O209900200271 
8.70       0.05       40.64      4.66       0.40       7.         O209900200272 
8.70       0.05       47.05      4.32       0.36       2.         O209900200273 
8.70       0.05       53.95      3.85       0.31       1.         O209900200274 
8.70       0.05       53.95      3.77       0.31       4.         O209900200275 
8.70       0.05       53.95      3.87       0.32       5.         O209900200276 
8.70       0.05       53.95      3.83       0.33       7.         O209900200277 
8.70       0.05       60.27      3.45       0.29       2.         O209900200278 
8.70       0.05       64.46      3.22       0.27       3.         O209900200279 
8.70       0.05       67.07      3.01       0.25       4.         O209900200280 
8.70       0.05       67.07      3.12       0.26       5.         O209900200281 
8.70       0.05       77.42      2.80       0.23       3.         O209900200282 
8.70       0.05       79.98      2.82       0.23       5.         O209900200283 
8.70       0.05       90.13      3.20       0.27       3.         O209900200284 
8.70       0.05       102.61     4.35       0.36       3.         O209900200285 
8.70       0.05       102.61     4.46       0.37       6.         O209900200286 
8.70       0.05       114.84     6.02       0.50       3.         O209900200287 
8.70       0.05       114.84     6.23       0.52       6.         O209900200288 
8.70       0.05       126.84     7.56       0.63       6.         O209900200289 
8.70       0.05       138.64     7.92       0.66       6.         O209900200290 
8.70       0.05       150.27     3.83       0.57       6.         O209900200291 
ENDDATA            277          0                                 O209900200292 
ENDSUBENT          291          0                                 O209900299999 
SUBENT        O2099003   20121114                             O050O209900300001 
BIB                  3          3                                 O209900300002 
REACTION   (7-N-15(P,N)8-O-15,,SIG)                               O209900300003 
ANALYSIS   (INTAD)                                                O209900300004 
STATUS     (DEP,O2099002)                                         O209900300005 
ENDBIB               3          0                                 O209900300006 
NOCOMMON             0          0                                 O209900300007 
DATA                 4          9                                 O209900300008 
EN         EN-RSL-FW  DATA       DATA-ERR                         O209900300009 
MEV        MEV        MB         MB                               O209900300010 
5.56       0.04       140.5      4.9                              O209900300011 
5.62       0.06       120.2      4.9                              O209900300012 
5.66       0.06       103.9      3.9                              O209900300013 
5.82       0.04       134.4      3.9                              O209900300014 
6.62       0.06       148.3      4.0                              O209900300015 
6.69       0.05       151.9      4.1                              O209900300016 
7.57       0.04       169.7      13.0                             O209900300017 
7.59       0.04       179.2      13.6                             O209900300018 
8.70       0.05       59.9       4.5                              O209900300019 
ENDDATA             11          0                                 O209900300020 
ENDSUBENT           19          0                                 O209900399999 
SUBENT        O2099004   20121114                             O050O209900400001 
BIB                  2          2                                 O209900400002 
REACTION   (7-N-15(P,N)8-O-15,,DA,,LEG/RSL,DERIV)                 O209900400003 
STATUS     (DEP,O2099002)                                         O209900400004 
ENDBIB               2          0                                 O209900400005 
NOCOMMON             0          0                                 O209900400006 
DATA                 5         39                                 O209900400007 
EN         EN-RSL-FW  NUMBER     DATA       DATA-ERR              O209900400008 
MEV        MEV        NO-DIM     NO-DIM     NO-DIM                O209900400009 
5.56       0.04       1.         -0.08455   0.01744               O209900400010 
5.56       0.04       2.         0.17738    0.00920               O209900400011 
5.56       0.04       3.         -0.01152   0.00705               O209900400012 
5.56       0.04       4.         -0.03602   0.00415               O209900400013 
5.62       0.06       1.         -0.11247   0.02175               O209900400014 
5.62       0.06       2.         0.23008    0.01047               O209900400015 
5.62       0.06       3.         -0.01601   0.01042               O209900400016 
5.62       0.06       4.         -0.02523   0.00526               O209900400017 
5.66       0.06       1.         -0.09285   0.01767               O209900400018 
5.66       0.06       2.         0.22841    0.00862               O209900400019 
5.66       0.06       3.         0.00281    0.00671               O209900400020 
5.66       0.06       4.         -0.02547   0.00458               O209900400021 
5.82       0.04       1.         -0.02009   0.00691               O209900400022 
5.82       0.04       2.         0.16871    0.00409               O209900400023 
5.82       0.04       3.         0.10552    0.00337               O209900400024 
6.62       0.06       1.         -0.00265   0.00471               O209900400025 
6.62       0.06       2.         0.04609    0.00457               O209900400026 
6.62       0.06       3.         0.05557    0.00405               O209900400027 
6.62       0.06       4.         0.02105    0.00373               O209900400028 
6.62       0.06       5.         0.00394    0.00287               O209900400029 
6.69       0.05       1.         0.01192    0.00533               O209900400030 
6.69       0.05       2.         0.04877    0.00447               O209900400031 
6.69       0.05       3.         0.02429    0.00403               O209900400032 
6.69       0.05       4.         0.02574    0.00360               O209900400033 
6.69       0.05       5.         0.00309    0.00256               O209900400034 
7.57       0.04       1.         0.14641    0.00584               O209900400035 
7.57       0.04       2.         0.16580    0.00336               O209900400036 
7.57       0.04       3.         0.03829    0.00321               O209900400037 
7.57       0.04       4.         -0.04799   0.00258               O209900400038 
7.59       0.04       1.         0.06831    0.06379               O209900400039 
7.59       0.04       2.         0.18495    0.02738               O209900400040 
7.59       0.04       3.         0.01291    0.02325               O209900400041 
7.59       0.04       4.         -0.04090   0.01188               O209900400042 
8.70       0.05       1.         -0.12241   0.00678               O209900400043 
8.70       0.05       2.         0.06610    0.00644               O209900400044 
8.70       0.05       3.         0.05832    0.00698               O209900400045 
8.70       0.05       4.         -0.05740   0.00622               O209900400046 
8.70       0.05       5.         -0.01014   0.00463               O209900400047 
8.70       0.05       6.         -0.00796   0.00239               O209900400048 
ENDDATA             41          0                                 O209900400049 
ENDSUBENT           48          0                                 O209900499999 
SUBENT        O2099005   20121114                             O050O209900500001 
BIB                  2          4                                 O209900500002 
REACTION   (7-N-15(P,N)8-O-15,,DA)                                O209900500003 
COMMENT    *By author*.Differential cross sections for 0-degree   O209900500004 
           were performed with detector D1, which has a radius of O209900500005 
           5.08 cm and a flying distance of 1200 cm               O209900500006 
ENDBIB               4          0                                 O209900500007 
COMMON               1          3                                 O209900500008 
ANG                                                               O209900500009 
ADEG                                                              O209900500010 
0.                                                                O209900500011 
ENDCOMMON            3          0                                 O209900500012 
DATA                 4         29                                 O209900500013 
EN         EN-RSL-FW  DATA       DATA-ERR                         O209900500014 
MEV        MEV        MB/SR      MB/SR                            O209900500015 
5.830      0.036      24.17      1.84                             O209900500016 
5.831      0.036      24.45      1.86                             O209900500017 
5.836      0.036      25.76      1.96                             O209900500018 
5.836      0.037      25.87      1.97                             O209900500019 
6.294      0.028      32.92      2.50                             O209900500020 
6.297      0.028      31.96      2.43                             O209900500021 
6.508      0.063      22.19      1.69                             O209900500022 
6.522      0.048      21.24      1.62                             O209900500023 
7.538      0.034      21.26      1.93                             O209900500024 
7.565      0.034      27.56      2.10                             O209900500025 
7.566      0.035      26.77      2.04                             O209900500026 
7.578      0.034      25.24      2.29                             O209900500027 
7.578      0.034      25.69      2.34                             O209900500028 
7.578      0.039      25.22      1.92                             O209900500029 
7.594      0.044      23.83      1.82                             O209900500030 
7.774      0.039      11.25      1.02                             O209900500031 
8.509      0.056      9.13       0.83                             O209900500032 
8.823      0.042      16.08      1.47                             O209900500033 
8.831      0.045      13.97      1.27                             O209900500034 
8.834      0.037      17.77      1.62                             O209900500035 
8.848      0.037      18.64      1.42                             O209900500036 
8.855      0.044      18.15      1.38                             O209900500037 
8.860      0.044      17.93      1.63                             O209900500038 
8.864      0.047      20.51      1.56                             O209900500039 
8.878      0.045      21.66      1.96                             O209900500040 
8.909      0.046      22.03      2.00                             O209900500041 
8.959      0.047      19.79      1.80                             O209900500042 
8.966      0.038      18.70      1.70                             O209900500043 
