ENTRY            O0532   20010115                             0000O053200000001 
SUBENT        O0532001   20010115                             0000O053200100001 
BIB                 13         33                                 O053200100002 
TITLE      Precompound Emission in the Reaction 65-Cu(P,XN) And   O053200100003 
           The Nucleon-Nucleon Scattering Mechanism.              O053200100004 
AUTHOR     (Y.HOLLER, A.KAMINSKY, R.LANGKAU, W.SCOBEL, M.TRABANDT,O053200100005 
           R.BONETTI)                                             O053200100006 
INSTITUTE  (2GERHAM) 1. Institut Fuer Experimentalphysik,         O053200100007 
           Zyklotron                                              O053200100008 
           (2ITYMIL) Istituto Di Fisica Generale Applicata.       O053200100009 
REFERENCE  (J,NP/A,442,79,1985)                                   O053200100010 
           (W,SCOBEL,19870116) Data Tables For Double DifferentialO053200100011 
           Cross Sections.                                        O053200100012 
REL-REF    (N,,Y.HOLLER+,J,NIM/A,235,123,1985) Hycalc Code to     O053200100013 
           Calculate Detector Efficiency and the Neutron          O053200100014 
           Time-Of-Flight Facility at the Hamburg Isochronus      O053200100015 
           Cyclotron.                                             O053200100016 
SAMPLE     Isotopically Enriched (>99.7%) Metallic 65-Cu Foils of O053200100017 
           13.6 milligramm/cm-sq and 5.0 milligramm/cm-sq.        O053200100018 
FACILITY   (ISOCY,2GERHAM)                                        O053200100019 
METHOD     (EXTB)                                                 O053200100020 
           (TOF)  Flight Paths Between 7 and 8 Meters Lenght.     O053200100021 
           (BCINT)                                                O053200100022 
PART-DET   (N)                                                    O053200100023 
DETECTOR   (SCIN) Liquid Scintillator Ne213.                      O053200100024 
ADD-RES    (COMP) Preequilibrium Model.                           O053200100025 
COMMENT    - By Authors - Neutron Energy Spectra in the C.M.      O053200100026 
           System were Obtained by Application of Detector        O053200100027 
           Efficiencies As Calculated with the Code Hycalc and    O053200100028 
           Kinematic Transformations Assuming Single-Particle     O053200100029 
           Emission.                                              O053200100030 
HISTORY    (19990730C) By F.C.                                    O053200100031 
           (19991117A) Date is Corrected                          O053200100032 
           (20001125A) Subentry O0532002 has Been Corrected       O053200100033 
           According to O.Schwerer'S Remarks.                     O053200100034 
           (20010115U) Last checking has been done.               O053200100035 
ENDBIB              33          0                                 O053200100036 
COMMON               1          3                                 O053200100037 
EN                                                                O053200100038 
MEV                                                               O053200100039 
       26.7                                                       O053200100040 
ENDCOMMON            3          0                                 O053200100041 
ENDSUBENT           40          0                                 O053200199999 
SUBENT        O0532002   20010115                             0000O053200200001 
BIB                  5         18                                 O053200200002 
REACTION   (29-CU-65(P,X)0-NN-1,,DA/DE)                           O053200200003 
EN-SEC     (E-CM,N)                                               O053200200004 
ERR-ANALYS (ERR-S) High Limit of Statistical Error.               O053200200005 
           (ERR-1) Relative Uncertainty Between Neutron Spectra   O053200200006 
           Obtained Under Different Angles Due to Target          O053200200007 
           Inhomogenetieties.                                     O053200200008 
           (ERR-2) Relative Uncertainty Between Neutron Spectra   O053200200009 
           Obtained Under Different Angles Due to TinconsistenciesO053200200010 
           In the Background Treatment.                           O053200200011 
           (ERR-3)  Relative  Uncertainty  Between Neutron SpectraO053200200012 
           Obtained Under Different Angles Due to Incomplete Beam O053200200013 
           Current Integration.                                   O053200200014 
           (ERR-4) The Estimated Error Margin For All Angles and  O053200200015 
           All But the Highest Neutron Energies.                  O053200200016 
           (ERR-T) High Limit of Absolute Uncertainty For Most of O053200200017 
           The Double Differential Cross Section.                 O053200200018 
STATUS     (TABLE) From W. Scobel.                                O053200200019 
MISC-COL   (MISC) Precompound Cross Section                       O053200200020 
ENDBIB              18          0                                 O053200200021 
COMMON               5          3                                 O053200200022 
ERR-1      ERR-2      ERR-3      ERR-4      ERR-T                 O053200200023 
         3.        7.6       2.04     0.0298         4.           O053200200091 
         3.        7.7       1.97     0.0289         4.           O053200200092 
         3.        7.8       1.93     0.0278         4.           O053200200093 
         3.        7.9        1.9     0.0276         4.           O053200200094 
         3.         8.       1.86     0.0271         4.           O053200200095 
         3.        8.1       1.84     0.0284         4.           O053200200096 
         3.        8.2        1.8     0.0284         4.           O053200200097 
         3.        8.3       1.76     0.0257         4.           O053200200098 
         3.        8.4       1.71     0.0241         4.           O053200200099 
         3.        8.5       1.65     0.0255         4.           O053200200100 
         3.        8.6       1.61      0.028         4.           O053200200101 
         3.        8.7        1.6     0.0269         4.           O053200200102 
         3.        8.8       1.51     0.0258         4.           O053200200103 
         3.        8.9       1.52     0.0279         4.           O053200200104 
         3.         9.       1.49     0.0262         4.           O053200200105 
         3.        9.1        1.4     0.0248         4.           O053200200106 
         3.        9.2       1.43      0.028         4.           O053200200107 
         3.        9.3       1.45     0.0255         4.           O053200200108 
         3.        9.4       1.39     0.0229         4.           O053200200109 
         3.        9.5       1.35     0.0245         4.           O053200200110 
         3.        9.6       1.33     0.0212         4.           O053200200111 
         3.        9.7       1.31     0.0232         4.           O053200200112 
         3.        9.8       1.32     0.0261         4.           O053200200113 
         3.        9.9       1.32     0.0211         4.           O053200200114 
         3.        10.       1.25     0.0244         4.           O053200200115 
         3.       10.1       1.27     0.0238         4.           O053200200116 
         3.       10.2       1.26     0.0244         4.           O053200200117 
         3.       10.3       1.24     0.0235         4.           O053200200118 
         3.       10.4       1.18     0.0224         4.           O053200200119 
         3.       10.5       1.21     0.0245         4.           O053200200120 
         3.       10.6       1.22     0.0221         4.           O053200200121 
         3.       10.7       1.21      0.025         4.           O053200200122 
         3.       10.8       1.15     0.0213         4.           O053200200123 
         3.       10.9       1.12     0.0237         4.           O053200200124 
         3.        11.       1.16     0.0217         4.           O053200200125 
         3.       11.1       1.17     0.0236         4.           O053200200126 
         3.       11.2       1.15     0.0223         4.           O053200200127 
         3.       11.3        1.1     0.0229         4.           O053200200128 
         3.       11.4        1.1     0.0217         4.           O053200200129 
         3.       11.5        1.1     0.0223         4.           O053200200130 
         3.       11.6       1.08      0.021         4.           O053200200131 
         3.       11.7        1.1     0.0217         4.           O053200200132 
         3.       11.8       1.12     0.0207         4.           O053200200133 
         3.       11.9       1.11     0.0209         4.           O053200200134 
         3.        12.       1.11     0.0221         4.           O053200200135 
         3.       12.1       1.17     0.0239         4.           O053200200136 
         3.       12.2        1.2     0.0219         4.           O053200200137 
         3.       12.3       1.15     0.0227         4.           O053200200138 
         3.       12.4       1.11     0.0213         4.           O053200200139 
         3.       12.5       1.08     0.0213         4.           O053200200140 
         3.       12.6        1.1       0.02         4.           O053200200141 
         3.       12.7       1.09     0.0203         4.           O053200200142 
         3.       12.8       1.08     0.0213         4.           O053200200143 
         3.       12.9       1.08     0.0215         4.           O053200200144 
         3.        13.       1.08     0.0233         4.           O053200200145 
         3.       13.1        1.1     0.0195         4.           O053200200146 
         3.       13.2       1.12     0.0196         4.           O053200200147 
         3.       13.3       1.14     0.0191         4.           O053200200148 
         3.       13.4       1.15     0.0201         4.           O053200200149 
         3.       13.5       1.12     0.0236         4.           O053200200150 
         3.       13.6       1.05     0.0197         4.           O053200200151 
         3.       13.7         1.     0.0245         4.           O053200200152 
         3.       13.8      0.992      0.027         4.           O053200200153 
         3.       13.9      0.963     0.0192         4.           O053200200154 
         3.        14.      0.938     0.0231         4.           O053200200155 
         3.       14.1      0.933     0.0233         4.           O053200200156 
         3.       14.2      0.911     0.0172         4.           O053200200157 
         3.       14.3      0.336     0.0226         4.           O053200200158 
         3.       14.4      0.359     0.0203         4.           O053200200159 
         3.       14.5      0.392     0.0173         4.           O053200200160 
         3.       14.6      0.926     0.0236         4.           O053200200161 
         3.       14.7      0.936     0.0213         4.           O053200200162 
         3.       14.8      0.913       0.02         4.           O053200200163 
         3.       14.9      0.333      0.025         4.           O053200200164 
         3.        15.      0.897     0.0206         4.           O053200200165 
         3.       15.1      0.333     0.0134        10.           O053200200166 
         3.       15.2      0.363     0.0193        10.           O053200200167 
         3.       15.3      0.349     0.0157        10.           O053200200168 
         3.       15.4      0.332     0.0149        10.           O053200200169 
         3.       15.5      0.902     0.0165        10.           O053200200170 
         3.       15.6       1.02     0.0173        10.           O053200200171 
         3.       15.7       1.23     0.0133        10.           O053200200172 
         3.       15.8       1.72     0.0275        10.           O053200200173 
         3.       15.9        2.9      0.037        10.           O053200200174 
         3.        16.       4.34     0.0363        10.           O053200200175 
         3.       16.1       5.54     0.0403        10.           O053200200176 
         3.       16.2       6.43     0.0442        10.           O053200200177 
         3.       16.3       6.03     0.0414        10.           O053200200178 
         3.       16.4       4.74     0.0407        10.           O053200200179 
         3.       16.5       3.42      0.041        10.           O053200200180 
         3.       16.6       2.35     0.0275        10.           O053200200181 
         3.       16.7        1.7     0.0135        10.           O053200200182 
         3.       16.8       1.15     0.0139        10.           O053200200183 
         3.       16.9       0.75     0.0201        10.           O053200200184 
         3.        17.      0.599     0.0157        10.           O053200200185 
         3.       17.1      0.579     0.0126        10.           O053200200186 
         3.       17.2      0.563     0.0142        10.           O053200200187 
         3.       17.3      0.546     0.0167        10.           O053200200188 
         3.       17.4      0.534     0.0144        10.           O053200200189 
         3.       17.5      0.523     0.0122        10.           O053200200190 
         3.       17.6      0.527     0.0139        10.           O053200200191 
         3.       17.7      0.537     0.0163        10.           O053200200192 
         3.       17.8      0.554     0.0143        10.           O053200200193 
         3.       17.9      0.571     0.0133        10.           O053200200194 
         3.        18.      0.536     0.0195        10.           O053200200195 
         3.       18.1      0.599     0.0243        10.           O053200200196 
         3.       18.2      0.397     0.0205        10.           O053200200197 
         3.       18.3      0.534     0.0213        10.           O053200200198 
         3.       18.4      0.549     0.0333        10.           O053200200199 
         3.       18.5      0.456     0.0296        10.           O053200200200 
         3.       18.6      0.395      0.026        10.           O053200200201 
         3.       18.7      0.352     0.0326        10.           O053200200202 
         3.       18.8      0.362     0.0209        10.           O053200200203 
         3.       18.9      0.375      0.017        10.           O053200200204 
         3.        19.      0.395     0.0135        10.           O053200200205 
         3.       19.1      0.405     0.0115        10.           O053200200206 
         3.       19.2      0.406     0.0116        10.           O053200200207 
         3.       19.3      0.401     0.0158        10.           O053200200208 
         3.       19.4      0.426    0.00955        10.           O053200200209 
         3.       19.5      0.442     0.0111        10.           O053200200210 
         3.       19.6      0.473     0.0151        10.           O053200200211 
         3.       19.7      0.505     0.0118        10.           O053200200212 
         3.       19.8      0.535     0.0165        10.           O053200200213 
         3.       19.9      0.542     0.0109        10.           O053200200214 
         3.        20.      0.543     0.0108        10.           O053200200215 
         3.       20.1      0.547     0.0156        10.           O053200200216 
         3.       20.2      0.568     0.0129        10.           O053200200217 
         3.       20.3      0.581     0.0161        10.           O053200200218 
         3.       20.4      0.584     0.0113        10.           O053200200219 
         3.       20.5      0.581     0.0118        10.           O053200200220 
         3.       20.6      0.562     0.0156        10.           O053200200221 
         3.       20.7      0.498      0.012        10.           O053200200222 
         3.       20.8      0.444     0.0131        10.           O053200200223 
         3.       20.9      0.419    0.00945        10.           O053200200224 
         3.        21.        0.4     0.0118        10.           O053200200225 
         3.       21.1      0.368     0.0134        10.           O053200200226 
         3.       21.2      0.358     0.0118        10.           O053200200227 
         3.       21.3      0.338     0.0112        10.           O053200200228 
         3.       21.4       0.31    0.00893        10.           O053200200229 
         3.       21.5      0.266      0.009        10.           O053200200230 
         3.       21.6      0.211    0.00897        10.           O053200200231 
         3.       21.7      0.178    0.00946        10.           O053200200232 
         3.       21.8      0.163    0.00807        10.           O053200200233 
         3.       21.9      0.157     0.0082        10.           O053200200234 
         3.        22.      0.155    0.00755        10.           O053200200235 
         3.       22.1      0.158    0.00904        10.           O053200200236 
         3.       22.2       0.16    0.00988        10.           O053200200237 
         3.       22.3      0.148    0.00892        10.           O053200200238 
         3.       22.4      0.137    0.00776        10.           O053200200239 
         3.       22.5      0.135    0.00772        10.           O053200200240 
         3.       22.6      0.135    0.00746        10.           O053200200241 
         3.       22.7      0.141    0.00886        10.           O053200200242 
         3.       22.8      0.141    0.00928        10.           O053200200243 
         3.       22.9      0.122    0.00762        10.           O053200200244 
         3.        23.       0.11     0.0064        10.           O053200200245 
         3.       23.1      0.106    0.00699        10.           O053200200246 
         3.       23.2      0.106    0.00707        10.           O053200200247 
         3.       23.3      0.125    0.00898        10.           O053200200248 
         3.       23.4      0.132    0.00983        10.           O053200200249 
         3.       23.5      0.105    0.00727        10.           O053200200250 
         3.       23.6     0.0941    0.00624        10.           O053200200251 
         3.       23.7     0.0736    0.00633        10.           O053200200252 
         3.       23.8     0.0645    0.00674        10.           O053200200253 
         3.       23.9     0.0443    0.00579        10.           O053200200254 
         3.        24.     0.0333     0.0064        10.           O053200200255 
         3.       24.1     0.0287     0.0045        10.           O053200200256 
         3.       24.2      0.026    0.00479        10.           O053200200257 
         3.       24.3     0.0239    0.00417        10.           O053200200258 
         3.       24.4     0.0215    0.00616        10.           O053200200259 
         3.       24.5     0.0192    0.00536        10.           O053200200260 
         3.       24.6     0.0125    0.00617        10.           O053200200261 
         3.       24.7     0.0117    0.00628        10.           O053200200262 
         3.       24.8    0.00511    0.00457        10.           O053200200263 
         3.       24.9    0.00445    0.00442        10.           O053200200264 
         3.        25.    0.00083    0.00433        10.           O053200200265 
         3.       25.1    -0.0008    0.00569        10.           O053200200266 
         3.       25.2   -0.00071     0.0041        10.           O053200200267 
         3.       25.3   -0.00049    0.00548        10.           O053200200268 
         3.       25.4    -0.0004    0.00504        10.           O053200200269 
         3.       25.5     0.0004    0.00415        10.           O053200200270 
         3.       25.6     0.0004    0.00415        10.           O053200200271 
         3.       25.7    0.00046    0.00446        10.           O053200200272 
        8.9        1.5       16.6       2.24         1.           O053200200273 
        8.9        1.6       15.9       1.24         1.           O053200200274 
        8.9        1.7        16.      0.841         1.           O053200200275 
        8.9        1.8       16.2       0.68         1.           O053200200276 
        8.9        1.9       15.6      0.541         1.           O053200200277 
        8.9         2.       15.3      0.419         1.           O053200200278 
        8.9        2.1        15.      0.337         1.           O053200200279 
        8.9        2.2       14.7      0.277         1.           O053200200280 
        8.9        2.3       14.3      0.231         1.           O053200200281 
        8.9        2.4       13.9      0.199         1.           O053200200282 
        8.9        2.5       13.4      0.175         1.           O053200200283 
        8.9        2.6       12.8      0.153         1.           O053200200284 
        8.9        2.7       12.4      0.135         1.           O053200200285 
        8.9        2.8       12.1      0.124         1.           O053200200286 
        8.9        2.9       11.6      0.113         1.           O053200200287 
        8.9         3.       11.2      0.106         1.           O053200200288 
        8.9        3.1       10.8     0.0976         1.           O053200200289 
        8.9        3.2       10.1     0.0891         1.           O053200200290 
        8.9        3.3       9.85     0.0852         1.           O053200200291 
        8.9        3.4       9.72     0.0807         1.           O053200200292 
        8.9        3.5       9.22     0.0752         1.           O053200200293 
        8.9        3.6        8.8     0.0744         1.           O053200200294 
        8.9        3.7       8.48     0.0685         1.           O053200200295 
        8.9        3.8       8.26     0.0666         1.           O053200200296 
        8.9        3.9       7.88     0.0645         1.           O053200200297 
        8.9         4.       7.45     0.0625         1.           O053200200298 
        8.9        4.1       7.33     0.0601         1.           O053200200299 
        8.9        4.2         7.     0.0588         1.           O053200200300 
        8.9        4.3       6.68     0.0569         1.           O053200200301 
        8.9        4.4       6.56     0.0552         1.           O053200200302 
        8.9        4.5       6.34     0.0529         1.           O053200200303 
        8.9        4.6        6.1     0.0506         1.           O053200200304 
        8.9        4.7       5.81       0.05         1.           O053200200305 
        8.9        4.8       5.58     0.0504         1.           O053200200306 
        8.9        4.9       5.36     0.0478         1.           O053200200307 
        8.9         5.       5.12     0.0457         1.           O053200200308 
        8.9        5.1       4.88     0.0456         1.           O053200200309 
        8.9        5.2       4.69     0.0444         1.           O053200200310 
        8.9        5.3        4.5     0.0453         1.           O053200200311 
        8.9        5.4       4.39     0.0441         1.           O053200200312 
        8.9        5.5       4.24     0.0415         1.           O053200200313 
        8.9        5.6       4.04     0.0409         1.           O053200200314 
        8.9        5.7        3.9       0.04         1.           O053200200315 
        8.9        5.8       3.74      0.041         1.           O053200200316 
        8.9        5.9        3.6     0.0406         1.           O053200200317 
        8.9         6.       3.51      0.039         1.           O053200200318 
        8.9        6.1        3.4     0.0376         1.           O053200200319 
        8.9        6.2       3.32     0.0375         4.           O053200200320 
        8.9        6.3       3.25     0.0376         4.           O053200200321 
        8.9        6.4       3.24     0.0365         4.           O053200200322 
        8.9        6.5       3.05     0.0368         4.           O053200200323 
        8.9        6.6       2.91     0.0377         4.           O053200200324 
        8.9        6.7       2.75     0.0363         4.           O053200200325 
        8.9        6.8        2.7     0.0356         4.           O053200200326 
        8.9        6.9       2.69      0.035         4.           O053200200327 
        8.9         7.       2.53     0.0333         4.           O053200200328 
        8.9        7.1       2.43     0.0324         4.           O053200200329 
        8.9        7.2       2.45     0.0327         4.           O053200200330 
        8.9        7.3       2.37     0.0332         4.           O053200200331 
        8.9        7.4       2.24     0.0317         4.           O053200200332 
        8.9        7.5       2.13     0.0302         4.           O053200200333 
        8.9        7.6       2.11     0.0303         4.           O053200200334 
        8.9        7.7       2.06      0.029         4.           O053200200335 
        8.9        7.8       1.96      0.029         4.           O053200200336 
        8.9        7.9       1.84     0.0292         4.           O053200200337 
        8.9         8.       1.85     0.0294         4.           O053200200338 
        8.9        8.1       1.86     0.0291         4.           O053200200339 
        8.9        8.2       1.81     0.0266         4.           O053200200340 
        8.9        8.3       1.72     0.0267         4.           O053200200341 
        8.9        8.4       1.69     0.0302         4.           O053200200342 
        8.9        8.5       1.67     0.0296         4.           O053200200343 
        8.9        8.6       1.62     0.0258         4.           O053200200344 
        8.9        8.7       1.56     0.0256         4.           O053200200345 
        8.9        8.8       1.54     0.0263         4.           O053200200346 
        8.9        8.9        1.5     0.0237         4.           O053200200347 
        8.9         9.        1.5     0.0232         4.           O053200200348 
        8.9        9.1       1.48     0.0255         4.           O053200200349 
        8.9        9.2       1.44     0.0241         4.           O053200200350 
        8.9        9.3       1.41     0.0242         4.           O053200200351 
        8.9        9.4       1.37     0.0281         4.           O053200200352 
        8.9        9.5       1.35     0.0252         4.           O053200200353 
        8.9        9.6       1.35     0.0256         4.           O053200200354 
        8.9        9.7       1.28     0.0255         4.           O053200200355 
        8.9        9.8       1.29      0.022         4.           O053200200356 
        8.9        9.9       1.31     0.0272         4.           O053200200357 
        8.9        10.       1.28     0.0222         4.           O053200200358 
        8.9       10.1       1.28     0.0236         4.           O053200200359 
        8.9       10.2       1.25     0.0249         4.           O053200200360 
        8.9       10.3       1.21     0.0218         4.           O053200200361 
        8.9       10.4       1.26     0.0255         4.           O053200200362 
        8.9       10.5       1.22     0.0219         4.           O053200200363 
        8.9       10.6       1.22     0.0252         4.           O053200200364 
        8.9       10.7       1.23     0.0225         4.           O053200200365 
        8.9       10.8       1.19     0.0249         4.           O053200200366 
        8.9       10.9       1.16     0.0229         4.           O053200200367 
        8.9        11.       1.16     0.0246         4.           O053200200368 
        8.9       11.1       1.16     0.0236         4.           O053200200369 
        8.9       11.2       1.15     0.0246         4.           O053200200370 
        8.9       11.3       1.11     0.0222         4.           O053200200371 
        8.9       11.4       1.08     0.0232         4.           O053200200372 
        8.9       11.5       1.06     0.0206         4.           O053200200373 
        8.9       11.6       1.07     0.0213         4.           O053200200374 
        8.9       11.7        1.1     0.0211         4.           O053200200375 
        8.9       11.8       1.13     0.0223         4.           O053200200376 
        8.9       11.9       1.13     0.0226         4.           O053200200377 
        8.9        12.       1.12     0.0236         4.           O053200200378 
        8.9       12.1       1.12     0.0213         4.           O053200200379 
        8.9       12.2       1.09     0.0215         4.           O053200200380 
        8.9       12.3       1.07     0.0218         4.           O053200200381 
        8.9       12.4       1.09     0.0228         4.           O053200200382 
        8.9       12.5       1.09     0.0206         4.           O053200200383 
        8.9       12.6       1.07     0.0222         4.           O053200200384 
        8.9       12.7       1.07     0.0216         4.           O053200200385 
        8.9       12.8       1.08     0.0232         4.           O053200200386 
        8.9       12.9        1.1     0.0237         4.           O053200200387 
        8.9        13.        1.1     0.0203         4.           O053200200388 
        8.9       13.1       1.06     0.0212         4.           O053200200389 
        8.9       13.2       1.05     0.0192         4.           O053200200390 
        8.9       13.3       1.06     0.0239         4.           O053200200391 
        8.9       13.4       1.05     0.0262         4.           O053200200392 
        8.9       13.5       1.03     0.0216         4.           O053200200393 
        8.9       13.6      0.999     0.0243         4.           O053200200394 
        8.9       13.7      0.938      0.021         4.           O053200200395 
        8.9       13.8       0.91     0.0177         4.           O053200200396 
        8.9       13.9      0.893     0.0202         4.           O053200200397 
        8.9        14.      0.879     0.0174         4.           O053200200398 
        8.9       14.1      0.887     0.0172         4.           O053200200399 
        8.9       14.2      0.883     0.0186         4.           O053200200400 
        8.9       14.3      0.847     0.0157         4.           O053200200401 
        8.9       14.4      0.851      0.017         4.           O053200200402 
        8.9       14.5      0.889     0.0183         4.           O053200200403 
