ENTRY            O0055   20230404                             O095O0055  0    1 
SUBENT        O0055001   20230404                             O095O0055  1    1 
BIB                 10         16                                 O0055  1    2 
TITLE      Spin assignments to excited states of Fe-56 using      O0055  1    3 
           inelastic proton scattering.                           O0055  1    4 
AUTHOR     (G.S.Mani)                                             O0055  1    5 
INSTITUTE  (2UK MAN)                                              O0055  1    6 
REFERENCE  (J,NP/A,165,225,1971)                                  O0055  1    7 
FACILITY   (LINAC,2UK NIN)                                        O0055  1    8 
SAMPLE     (26-FE-56,ENR=0.99) The target was self-supporting and O0055  1    9 
           and was 99% enriched Fe-56 which had a thickness       O0055  1   10 
            of 2 mg/cm**2.                                        O0055  1   11 
METHOD     (SITA)                                                 O0055  1   12 
ADD-RES    (COMP) DWBA calculation.                               O0055  1   13 
DETECTOR   (MAGSP) and acoustic spark chamber assembly.           O0055  1   14 
HISTORY    (19941108C) By CAJaD.                                  O0055  1   15 
           (19950517A) Some corrections in the data-section.      O0055  1   16 
           (20230404A) SD:Updated to new date formats,lower case. O0055  1   17 
           Corrections in all Subents. Subents 002-031 were mergedO0055  1   18 
ENDBIB              16          0                                 O0055  1   19 
COMMON               1          3                                 O0055  1   20 
EN                                                                O0055  1   21 
MEV                                                               O0055  1   22 
      49.35                                                       O0055  1   23 
ENDCOMMON            3          0                                 O0055  1   24 
ENDSUBENT           23          0                                 O0055  199999 
SUBENT        O0055002   20230404                             O095O0055  2    1 
BIB                  5         27                                 O0055  2    2 
REACTION   (26-FE-56(P,INL)26-FE-56,PAR,DA)                       O0055  2    3 
LEVEL-PROP (26-FE-56,E-LVL=0.849,SPIN=2.,PARITY=+1.)              O0055  2    4 
           (26-FE-56,E-LVL=2.118,SPIN=4.,PARITY=+1.)              O0055  2    5 
           (26-FE-56,E-LVL=3.159,SPIN=4.,PARITY=+1.)              O0055  2    6 
           (26-FE-56,E-LVL=3.411,SPIN=2.,PARITY=+1.)              O0055  2    7 
           (26-FE-56,E-LVL=3.635,SPIN=2.,PARITY=+1.)              O0055  2    8 
           (26-FE-56,E-LVL=2.695,SPIN=2.,PARITY=+1.)              O0055  2    9 
           (26-FE-56,E-LVL=3.850,SPIN=2.,PARITY=+1.)              O0055  2   10 
           (26-FE-56,E-LVL=4.124,SPIN=4.,PARITY=+1.)              O0055  2   11 
           (26-FE-56,E-LVL=4.512,SPIN=3.,PARITY=-1.)              O0055  2   12 
           (26-FE-56,E-LVL=4.660,SPIN=4.,PARITY=+1.)              O0055  2   13 
           (26-FE-56,E-LVL=4.860,SPIN=4.,PARITY=+1.)              O0055  2   14 
           (26-FE-56,E-LVL=5.105,SPIN=5.,PARITY=-1.)              O0055  2   15 
           (26-FE-56,E-LVL=5.266,SPIN=4.,PARITY=+1.)              O0055  2   16 
           (26-FE-56,E-LVL=5.535,SPIN=2.,PARITY=+1.)              O0055  2   17 
           (26-FE-56,E-LVL=5.880,SPIN=4.,PARITY=+1.)              O0055  2   18 
           (26-FE-56,E-LVL=6.067,SPIN=4.,PARITY=+1.)              O0055  2   19 
           (26-FE-56,E-LVL=6.273,SPIN=4.,PARITY=+1.)              O0055  2   20 
           (26-FE-56,E-LVL=6.635,SPIN=3.,PARITY=-1.)              O0055  2   21 
           (26-FE-56,E-LVL=6.966,SPIN=3.,PARITY=-1.)              O0055  2   22 
           (26-FE-56,E-LVL=7.080,SPIN=3./4.,PARITY=+1.)           O0055  2   23 
           (26-FE-56,E-LVL=7.189,SPIN=3.,PARITY=-1.)              O0055  2   24 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  O0055  2   25 
STATUS     (CURVE) Figs 3-7 from Nucl.Phys.,A165(1971)225         O0055  2   26 
HISTORY    (20230404A) SD: SF9=EXP deleted from REACTION code.    O0055  2   27 
           ANG-ERR -> ANG-ERR-D. Data from Subents 003-031 added. O0055  2   28 
           E-LVL=5.580 -> 5.880 MeV.                              O0055  2   29 
ENDBIB              27          0                                 O0055  2   30 
COMMON               1          3                                 O0055  2   31 
ANG-ERR-D                                                         O0055  2   32 
ADEG                                                              O0055  2   33 
         2.                                                       O0055  2   34 
ENDCOMMON            3          0                                 O0055  2   35 
DATA                 5        781                                 O0055  2   36 
E-LVL      ANG-CM     DATA-CM    -DATA-ERR  +DATA-ERR             O0055  2   37 
      4.660       88.2   3.10E-01        13.        23.           O0055  2  350 
      4.660       89.3   1.59E-01        14.        30.           O0055  2  351 
      4.660       92.1   8.10E-02        20.        22.           O0055  2  352 
      4.860       24.1   3.80E+00        24.        21.           O0055  2  353 
      4.860       27.0   3.80E+00        18.        16.           O0055  2  354 
      4.860       29.8   3.80E+00        18.        16.           O0055  2  355 
      4.860       31.5   2.50E+00        20.        16.           O0055  2  356 
      4.860       34.4   3.80E+00        18.        16.           O0055  2  357 
      4.860       35.5   2.80E+00        18.        21.           O0055  2  358 
      4.860       38.4   2.60E+00        15.        40.           O0055  2  359 
      4.860       41.2   1.99E+00        12.        40.           O0055  2  360 
      4.860       45.8   1.87E+00        16.        21.           O0055  2  361 
      4.860       46.9   1.44E+00        13.        30.           O0055  2  362 
      4.860       48.6   1.16E+00        12.        50.           O0055  2  363 
      4.860       51.4   1.17E+00        16.        26.           O0055  2  364 
      4.860       55.3   3.90E-01        13.        30.           O0055  2  365 
      4.860       58.2   3.90E-01        21.        21.           O0055  2  366 
      4.860       61.0   4.30E-01        16.        28.           O0055  2  367 
      4.860       63.1   4.60E-01        20.        22.           O0055  2  368 
      4.860       65.6   5.20E-01        15.        27.           O0055  2  369 
      4.860       71.0   3.30E-01        21.        30.           O0055  2  370 
      4.860       74.1   2.05E-01        12.        40.           O0055  2  371 
      4.860       75.3   1.90E-01        21.        26.           O0055  2  372 
      4.860       78.1   1.48E-01        20.        22.           O0055  2  373 
      4.860       79.8   1.28E-01        15.        14.           O0055  2  374 
      4.860       82.7   1.48E-01        24.        12.           O0055  2  375 
      4.860       85.5   1.49E-01        19.        16.           O0055  2  376 
      4.860       88.4   1.64E-01        15.        22.           O0055  2  377 
      4.860       89.5   1.64E-01        12.        21.           O0055  2  378 
      5.106       18.2   8.70E-02        14.        30.           O0055  2  379 
      5.106       21.0   8.70E-02        13.        21.           O0055  2  380 
      5.106       24.0   1.19E-01        14.        21.           O0055  2  381 
      5.106       25.3   1.52E-01        15.        14.           O0055  2  382 
      5.106       28.1   1.62E-01        13.        21.           O0055  2  383 
      5.106       29.9   1.89E-01        12.        21.           O0055  2  384 
      5.106       32.8   2.21E-01        12.        30.           O0055  2  385 
      5.106       35.8   3.30E-01        15.        15.           O0055  2  386 
      5.106       39.7   2.60E-01        15.        19.           O0055  2  387 
      5.106       42.5   2.20E-01        14.        23.           O0055  2  388 
      5.106       45.3   2.21E-01        19.        12.           O0055  2  389 
      5.106       48.1   2.07E-01        12.        19.           O0055  2  390 
      5.106       52.6   2.10E-01        12.        26.           O0055  2  391 
      5.106       55.3   1.38E-01        14.        17.           O0055  2  392 
      5.106       56.3   1.11E-01        13.        14.           O0055  2  393 
      5.106       59.0   9.50E-02        13.        27.           O0055  2  394 
      5.106       61.8   8.60E-02        19.        30.           O0055  2  395 
      5.106       66.2   5.90E-02        12.        14.           O0055  2  396 
      5.106       67.3   5.40E-02        13.        17.           O0055  2  397 
      5.106       68.9   4.60E-02        13.        22.           O0055  2  398 
      5.106       70.1   5.10E-02        16.        14.           O0055  2  399 
      5.106       74.3   5.10E-02        16.        22.           O0055  2  400 
      5.106       77.4   4.40E-02        11.        25.           O0055  2  401 
      5.106       79.9   4.60E-02        13.        22.           O0055  2  402 
      5.106       81.1   2.90E-02        17.        17.           O0055  2  403 
      5.106       83.8   2.00E-02        15.        25.           O0055  2  404 
      5.195       11.1   5.90E-01        12.        30.           O0055  2  405 
      5.195       14.0   6.70E-01        19.        21.           O0055  2  406 
      5.195       15.9   5.90E-01        15.        20.           O0055  2  407 
      5.195       18.6   1.05E+00        12.        16.           O0055  2  408 
      5.195       24.0   8.90E-01        19.        22.           O0055  2  409 
      5.195       25.4   7.40E-01        15.        23.           O0055  2  410 
      5.195       28.2   6.70E-01        13.        21.           O0055  2  411 
      5.195       31.0   5.60E-01        14.        16.           O0055  2  412 
      5.195       33.8   4.80E-01        13.        21.           O0055  2  413 
      5.195       36.7   4.80E-01        13.        21.           O0055  2  414 
      5.195       39.5   4.80E-01        13.        30.           O0055  2  415 
      5.195       41.0   4.80E-01        13.        30.           O0055  2  416 
      5.195       42.4   4.80E-01        19.        21.           O0055  2  417 
      5.195       45.2   4.00E-01        20.        15.           O0055  2  418 
      5.195       48.0   4.00E-01        15.        23.           O0055  2  419 
      5.195       50.9   3.40E-01        12.        21.           O0055  2  420 
      5.195       53.7   4.00E-01        15.        18.           O0055  2  421 
      5.195       56.5   2.30E-01        12.        30.           O0055  2  422 
      5.195       58.2   2.08E-01        12.        16.           O0055  2  423 
      5.195       61.0   1.77E-01        12.        30.           O0055  2  424 
      5.195       63.7   1.27E-01        13.        30.           O0055  2  425 
      5.195       66.6   1.65E-01        19.        14.           O0055  2  426 
      5.195       67.7   1.27E-01        13.        16.           O0055  2  427 
      5.195       70.6   1.49E-01        19.        12.           O0055  2  428 
      5.195       73.3   8.60E-02        15.        23.           O0055  2  429 
      5.195       76.2   7.70E-02        12.        22.           O0055  2  430 
      5.195       79.0   7.70E-02        14.        12.           O0055  2  431 
      5.195       81.8   6.50E-02        12.        22.           O0055  2  432 
      5.195       84.6   4.40E-02        20.        23.           O0055  2  433 
      5.195       86.3   4.70E-02        19.        13.           O0055  2  434 
      5.266       17.9   6.70E-01        15.        40.           O0055  2  435 
      5.266       19.3   5.10E-01        20.        30.           O0055  2  436 
      5.266       25.0   8.10E-01        12.        40.           O0055  2  437 
      5.266       27.9   6.10E-01        13.        30.           O0055  2  438 
      5.266       30.7   6.10E-01        15.        30.           O0055  2  439 
      5.266       33.7   4.10E-01        12.        40.           O0055  2  440 
      5.266       35.3   4.90E-01        16.        22.           O0055  2  441 
      5.266       38.2   4.40E-01        14.        40.           O0055  2  442 
      5.266       41.1   3.50E-01        11.        23.           O0055  2  443 
      5.266       42.3   3.80E-01        13.        21.           O0055  2  444 
      5.266       45.2   2.70E-01        11.        40.           O0055  2  445 
      5.266       49.9   8.40E-02        14.        40.           O0055  2  446 
      5.266       53.0   1.10E-01        15.        40.           O0055  2  447 
      5.266       53.9   8.40E-02        24.        12.           O0055  2  448 
      5.266       59.6   1.00E-01        14.        16.           O0055  2  449 
      5.266       59.7   6.00E-02        12.        30.           O0055  2  450 
      5.266       62.6   5.70E-02        16.        30.           O0055  2  451 
      5.266       67.4   6.10E-02        20.        30.           O0055  2  452 
      5.266       70.3   5.70E-02        16.        30.           O0055  2  453 
      5.266       73.3   1.90E-02        12.        40.           O0055  2  454 
      5.266       75.6   2.30E-02        17.        40.           O0055  2  455 
      5.266       77.1   1.10E-02        14.        15.           O0055  2  456 
      5.266       80.0   1.12E-02        21.        21.           O0055  2  457 
      5.266       82.8   1.10E-02        23.        16.           O0055  2  458 
      5.266       85.6   1.63E-02        14.        22.           O0055  2  459 
      5.535       16.9   9.10E-01        13.        30.           O0055  2  460 
      5.535       18.6   7.70E-01        14.        30.           O0055  2  461 
      5.535       19.8   7.70E-01        12.        22.           O0055  2  462 
      5.535       22.6   7.20E-01        13.        22.           O0055  2  463 
      5.535       25.5   7.20E-01        15.        22.           O0055  2  464 
      5.535       28.4   5.50E-01        13.        22.           O0055  2  465 
      5.535       31.3   5.50E-01        13.        16.           O0055  2  466 
      5.535       34.2   4.00E-01        13.        23.           O0055  2  467 
      5.535       35.9   2.90E-01        10.        40.           O0055  2  468 
      5.535       38.7   2.70E-01        15.        22.           O0055  2  469 
      5.535       41.3   2.06E-01        15.        17.           O0055  2  470 
      5.535       42.7   1.64E-01        15.        14.           O0055  2  471 
      5.535       45.6   1.75E-01        14.        16.           O0055  2  472 
      5.535       48.5   1.90E-01        15.        15.           O0055  2  473 
      5.535       51.4   1.64E-01        12.        20.           O0055  2  474 
      5.535       53.4   1.26E-01        12.        21.           O0055  2  475 
      5.535       56.3   1.39E-01        15.        12.           O0055  2  476 
      5.535       58.9   1.18E-01        12.        14.           O0055  2  477 
      5.535       61.8   1.07E-01        14.        16.           O0055  2  478 
      5.535       62.9   6.50E-02        14.        15.           O0055  2  479 
      5.535       65.7   4.00E-02        13.        23.           O0055  2  480 
      5.535       68.6   3.40E-02        15.        18.           O0055  2  481 
      5.535       71.5   3.40E-02        15.        21.           O0055  2  482 
      5.535       74.4   4.50E-02        16.        13.           O0055  2  483 
      5.535       76.2   4.70E-02        23.        13.           O0055  2  484 
      5.535       78.8   4.70E-02        19.        17.           O0055  2  485 
      5.535       80.2   4.00E-02        20.        13.           O0055  2  486 
      5.535       83.0   2.31E-02        12.        27.           O0055  2  487 
      5.535       85.9   2.40E-02        21.        21.           O0055  2  488 
      5.535       88.8   2.90E-02        21.        10.           O0055  2  489 
      5.535       91.7   2.30E-02        17.        22.           O0055  2  490 
      5.763       10.2   1.89E-01        15.        29.           O0055  2  491 
      5.763       12.1   1.70E-01        12.        30.           O0055  2  492 
      5.763       14.7   1.87E-01        16.        22.           O0055  2  493 
      5.763       16.1   1.69E-01        12.        30.           O0055  2  494 
      5.763       21.8   1.56E-01        15.        14.           O0055  2  495 
      5.763       24.6   1.55E-01        12.        22.           O0055  2  496 
      5.763       27.5   1.40E-01        14.        12.           O0055  2  497 
      5.763       29.2   1.65E-01        19.        12.           O0055  2  498 
      5.763       32.3   1.53E-01        16.        22.           O0055  2  499 
      5.763       38.0   1.62E-01        13.        16.           O0055  2  500 
      5.763       38.9   1.62E-01        12.        22.           O0055  2  501 
      5.763       49.1   1.34E-01        14.        22.           O0055  2  502 
      5.763       51.9   1.27E-01        20.        19.           O0055  2  503 
      5.763       53.1   1.33E-01        12.        22.           O0055  2  504 
      5.763       57.3   8.90E-02        19.        15.           O0055  2  505 
      5.763       60.1   8.90E-02        16.        29.           O0055  2  506 
      5.763       61.5   7.50E-02        12.        29.           O0055  2  507 
      5.763       64.3   6.30E-02        19.        14.           O0055  2  508 
      5.763       67.2   6.30E-02        25.        14.           O0055  2  509 
      5.763       68.9   6.70E-02        13.        12.           O0055  2  510 
      5.763       70.0   5.70E-02        14.        21.           O0055  2  511 
      5.763       74.2   4.30E-02        13.        26.           O0055  2  512 
      5.763       77.3   3.50E-02        13.        19.           O0055  2  513 
      5.763       78.4   3.30E-02        14.        21.           O0055  2  514 
      5.763       81.2   3.00E-02        15.        15.           O0055  2  515 
      5.763       84.0   2.60E-02        13.        13.           O0055  2  516 
      5.763       86.9   2.50E-02        13.        13.           O0055  2  517 
      5.880       10.5   2.07E-01        15.        14.           O0055  2  518 
      5.880       13.3   2.20E-01        14.        18.           O0055  2  519 
      5.880       15.3   2.10E-01        14.        29.           O0055  2  520 
      5.880       17.9   2.60E-01        15.        23.           O0055  2  521 
      5.880       19.0   2.40E-01        17.        29.           O0055  2  522 
      5.880       21.9   2.50E-01        16.        20.           O0055  2  523 
      5.880       24.7   2.44E-01        12.        28.           O0055  2  524 
      5.880       27.6   2.60E-01        19.        15.           O0055  2  525 
      5.880       30.5   2.40E-01        17.        29.           O0055  2  526 
      5.880       33.3   2.22E-01        23.        12.           O0055  2  527 
      5.880       35.1   2.20E-01        14.        30.           O0055  2  528 
      5.880       37.9   2.20E-01        14.        18.           O0055  2  529 
      5.880       40.8   1.89E-01        24.        12.           O0055  2  530 
      5.880       43.4   1.89E-01        12.        30.           O0055  2  531 
      5.880       44.8   1.60E-01        19.        30.           O0055  2  532 
      5.880       49.8   7.20E-02        19.        21.           O0055  2  533 
      5.880       55.3   4.10E-02        15.        15.           O0055  2  534 
      5.880       59.3   4.10E-02        15.        40.           O0055  2  535 
      5.880       62.2   3.50E-02        26.        14.           O0055  2  536 
      5.880       65.0   4.80E-02        17.        15.           O0055  2  537 
      5.880       67.9   3.50E-02        14.        14.           O0055  2  538 
      5.880       69.7   2.30E-02        13.        40.           O0055  2  539 
      5.880       73.8   1.68E-02        13.        21.           O0055  2  540 
      5.880       75.5   1.43E-02        14.        30.           O0055  2  541 
      5.880       76.7   9.50E-03        15.        25.           O0055  2  542 
      5.880       81.0   8.80E-03        13.        30.           O0055  2  543 
      5.880       82.5   8.10E-03        15.        15.           O0055  2  544 
      5.880       85.4   6.40E-03        23.        16.           O0055  2  545 
      5.880       88.2   6.40E-03        14.        22.           O0055  2  546 
      6.067       14.9   3.20E-01        18.        30.           O0055  2  547 
      6.067       17.5   3.20E-01        15.        22.           O0055  2  548 
      6.067       20.3   3.20E-01        11.        22.           O0055  2  549 
      6.067       24.4   2.30E-01        17.        13.           O0055  2  550 
      6.067       27.2   2.00E-01        15.        30.           O0055  2  551 
      6.067       30.1   2.00E-01        15.        20.           O0055  2  552 
      6.067       33.0   1.79E-01        12.        30.           O0055  2  553 
      6.067       34.7   1.43E-01        12.        28.           O0055  2  554 
      6.067       37.6   1.43E-01        15.        23.           O0055  2  555 
      6.067       40.7   1.43E-01        15.        28.           O0055  2  556 
      6.067       43.3   1.30E-01        12.        40.           O0055  2  557 
      6.067       44.5   1.11E-01        13.        22.           O0055  2  558 
      6.067       47.4   8.80E-02        16.        23.           O0055  2  559 
      6.067       50.3   5.80E-02        12.        21.           O0055  2  560 
      6.067       53.2   5.00E-02        12.        16.           O0055  2  561 
      6.067       54.9   5.80E-02        14.        30.           O0055  2  562 
      6.067       58.9   5.00E-02        14.        30.           O0055  2  563 
      6.067       60.4   4.00E-02        15.        28.           O0055  2  564 
      6.067       61.8   4.00E-02        15.        23.           O0055  2  565 
      6.067       64.7   3.90E-02        18.        15.           O0055  2  566 
      6.067       67.6   2.90E-02        14.        28.           O0055  2  567 
      6.067       69.7   1.17E-02        14.        21.           O0055  2  568 
      6.067       73.5   8.50E-03        14.        21.           O0055  2  569 
      6.067       75.2   9.50E-03        16.        26.           O0055  2  570 
      6.067       76.4   7.90E-03        14.        23.           O0055  2  571 
      6.273        9.6   4.30E-01        12.        30.           O0055  2  572 
      6.273       12.4   4.00E-01        20.        15.           O0055  2  573 
      6.273       15.3   4.80E-01        15.        23.           O0055  2  574 
      6.273       17.3   5.10E-01        24.        12.           O0055  2  575 
      6.273       19.8   4.80E-01        15.        29.           O0055  2  576 
      6.273       22.7   4.10E-01        15.        15.           O0055  2  577 
      6.273       25.6   3.70E-01        19.        14.           O0055  2  578 
      6.273       26.7   4.30E-01        12.        21.           O0055  2  579 
      6.273       31.0   4.40E-01        18.        16.           O0055  2  580 
      6.273       32.4   5.10E-01        24.        12.           O0055  2  581 
      6.273       35.3   4.40E-01        14.        20.           O0055  2  582 
      6.273       38.2   4.10E-01        27.        12.           O0055  2  583 
      6.273       41.0   3.70E-01        14.        22.           O0055  2  584 
      6.273       42.8   3.00E-01        17.        20.           O0055  2  585 
      6.273       45.7   2.27E-01        12.        22.           O0055  2  586 
      6.273       46.9   1.39E-01        13.        16.           O0055  2  587 
      6.273       49.7   1.93E-01        14.        22.           O0055  2  588 
      6.273       52.6   1.54E-01        16.        21.           O0055  2  589 
      6.273       55.5   1.54E-01        18.        21.           O0055  2  590 
      6.273       58.4   1.13E-01        12.        27.           O0055  2  591 
      6.273       60.1   1.01E-01        13.        30.           O0055  2  592 
      6.273       63.0   1.01E-01        12.        30.           O0055  2  593 
      6.273       64.1   9.40E-02        19.        21.           O0055  2  594 
      6.273       67.0   7.30E-02        14.        30.           O0055  2  595 
      6.273       69.9   6.20E-02        13.        30.           O0055  2  596 
      6.273       72.8   6.20E-02        13.        21.           O0055  2  597 
      6.273       75.6   5.70E-02        14.        16.           O0055  2  598 
      6.273       77.7   4.20E-02        14.        29.           O0055  2  599 
      6.273       80.5   4.50E-02        20.        16.           O0055  2  600 
      6.273       83.1   3.60E-02        14.        28.           O0055  2  601 
      6.273       86.1   2.70E-02        15.        22.           O0055  2  602 
      6.273       87.2   2.70E-02        22.        22.           O0055  2  603 
      6.410       14.9   2.00E-01        10.        19.           O0055  2  604 
      6.410       19.9   2.50E-01        12.        16.           O0055  2  605 
      6.410       21.3   2.90E-01        14.        10.           O0055  2  606 
      6.410       24.2   3.10E-01        10.        29.           O0055  2  607 
      6.410       26.9   2.70E-01        21.        10.           O0055  2  608 
      6.410       29.7   5.90E-01        22.         9.           O0055  2  609 
      6.410       32.0   7.20E-01        10.        27.           O0055  2  610 
      6.410       34.2   3.05E-01        10.        18.           O0055  2  611 
      6.410       35.5   3.30E-01        12.        18.           O0055  2  612 
      6.410       37.7   2.63E-01        10.        14.           O0055  2  613 
      6.410       40.5   2.63E-01        11.        12.           O0055  2  614 
      6.410       44.6   2.47E-01        13.        11.           O0055  2  615 
      6.410       44.8   1.46E-01        16.        18.           O0055  2  616 
      6.410       47.5   1.38E-01         9.        25.           O0055  2  617 
      6.410       49.1   1.19E-01        10.        12.           O0055  2  618 
      6.410       51.7   1.26E-01        17.        13.           O0055  2  619 
      6.410       52.2   5.00E-02        10.        18.           O0055  2  620 
      6.410       54.6   3.70E-02        14.        11.           O0055  2  621 
      6.410       56.8   6.10E-02        11.        18.           O0055  2  622 
      6.410       58.6   3.90E-02        13.        13.           O0055  2  623 
      6.410       60.9   3.20E-02        16.        19.           O0055  2  624 
      6.410       62.6   1.88E-02        11.        19.           O0055  2  625 
      6.410       66.0   2.51E-02        11.        28.           O0055  2  626 
      6.410       68.3   2.04E-02        13.        19.           O0055  2  627 
      6.410       70.6   1.62E-02        17.        19.           O0055  2  628 
      6.635       10.6   1.10E+00        15.        30.           O0055  2  629 
      6.635       13.6   1.28E+00        15.        24.           O0055  2  630 
      6.635       16.6   1.54E+00        16.        24.           O0055  2  631 
      6.635       19.4   1.32E+00        17.        20.           O0055  2  632 
      6.635       21.6   1.82E+00        15.        14.           O0055  2  633 
      6.635       25.3   1.53E+00        12.        22.           O0055  2  634 
      6.635       27.0   1.56E+00        12.        21.           O0055  2  635 
      6.635       28.2   1.56E+00        12.        21.           O0055  2  636 
      6.635       31.1   1.64E+00        20.        16.           O0055  2  637 
      6.635       33.9   1.29E+00        12.        22.           O0055  2  638 
      6.635       36.7   1.10E+00        13.        21.           O0055  2  639 
      6.635       39.6   9.80E-01        14.        16.           O0055  2  640 
      6.635       41.1   6.90E-01        12.        30.           O0055  2  641 
      6.635       43.9   5.80E-01        14.        22.           O0055  2  642 
      6.635       47.1   5.40E-01        15.        15.           O0055  2  643 
      6.635       47.9   4.60E-01        13.        13.           O0055  2  644 
      6.635       52.5   4.10E-01        12.        22.           O0055  2  645 
      6.635       53.7   4.60E-01        15.        13.           O0055  2  646 
      6.635       56.5   3.50E-01        11.        23.           O0055  2  647 
      6.635       59.4   3.50E-01        14.        14.           O0055  2  648 
      6.635       62.2   2.90E-01        14.        14.           O0055  2  649 
      6.635       65.0   2.40E-01        21.        21.           O0055  2  650 
      6.635       66.6   1.93E-01        12.        22.           O0055  2  651 
      6.635       69.5   1.74E-01        20.        16.           O0055  2  652 
      6.635       70.5   1.37E-01        12.        14.           O0055  2  653 
      6.635       73.3   1.15E-01        16.        21.           O0055  2  654 
      6.635       76.3   1.23E-01        20.        12.           O0055  2  655 
      6.635       78.9   8.10E-02        16.        22.           O0055  2  656 
      6.635       81.8   7.90E-02        16.        30.           O0055  2  657 
      6.870       10.8   2.29E-01        12.        21.           O0055  2  658 
      6.870       15.1   1.65E-01        13.        21.           O0055  2  659 
      6.870       16.0   1.12E-01        15.        14.           O0055  2  660 
      6.870       18.9   1.29E-01        17.        15.           O0055  2  661 
      6.870       20.9   1.79E-01        18.        12.           O0055  2  662 
      6.870       23.4   1.12E-01        15.        14.           O0055  2  663 
      6.870       26.1   8.60E-02        13.        16.           O0055  2  664 
      6.870       28.9   8.60E-02        14.        16.           O0055  2  665 
      6.870       29.9   6.80E-02        12.        28.           O0055  2  666 
      6.870       32.8   7.30E-02        12.        22.           O0055  2  667 
      6.870       36.0   1.18E-01        19.        16.           O0055  2  668 
      6.870       38.8   1.12E-01        16.        13.           O0055  2  669 
      6.870       40.3   7.30E-02        12.        16.           O0055  2  670 
      6.870       43.3   6.70E-02        15.        12.           O0055  2  671 
      6.870       46.0   4.80E-02        19.        13.           O0055  2  672 
      6.870       49.0   9.30E-02        12.        22.           O0055  2  673 
      6.870       52.9   7.90E-02        15.        14.           O0055  2  674 
      6.870       55.9   9.30E-02        15.        14.           O0055  2  675 
      6.870       58.5   6.70E-02        18.        12.           O0055  2  676 
      6.870       60.3   7.20E-02        14.        15.           O0055  2  677 
      6.870       63.1   6.70E-02        12.        22.           O0055  2  678 
      6.870       65.6   4.40E-02        14.        16.           O0055  2  679 
      6.870       66.8   4.40E-02        11.        20.           O0055  2  680 
      6.870       69.8   5.70E-02        16.        14.           O0055  2  681 
      6.870       72.7   5.70E-02        19.        28.           O0055  2  682 
      6.966       12.0   8.30E-01        12.        22.           O0055  2  683 
      6.966       14.6   9.90E-01        12.        27.           O0055  2  684 
      6.966       15.8   1.10E+00        12.        22.           O0055  2  685 
      6.966       20.2   1.14E+00        13.        30.           O0055  2  686 
      6.966       21.5   6.90E-01        12.        22.           O0055  2  687 
      6.966       26.1   6.80E-01        19.        16.           O0055  2  688 
      6.966       27.2   5.40E-01        13.        30.           O0055  2  689 
      6.966       30.0   4.90E-01        12.        30.           O0055  2  690 
      6.966       31.8   5.40E-01        15.        15.           O0055  2  691 
      6.966       34.6   4.10E-01        15.        17.           O0055  2  692 
      6.966       37.1   3.50E-01        11.        30.           O0055  2  693 
      6.966       40.2   2.90E-01        14.        21.           O0055  2  694 
      6.966       41.3   2.50E-01        12.        30.           O0055  2  695 
      6.966       43.9   1.41E-01        12.        28.           O0055  2  696 
      6.966       48.1   1.02E-01        17.        27.           O0055  2  697 
      6.966       49.6   1.26E-01        13.        16.           O0055  2  698 
      6.966       52.5   1.25E-01        12.        16.           O0055  2  699 
      6.966       55.4   1.17E-01        15.        23.           O0055  2  700 
      6.966       57.0   8.50E-02        12.        27.           O0055  2  701 
      6.966       58.2   9.80E-02        19.        21.           O0055  2  702 
      6.966       61.0   7.50E-02        12.        21.           O0055  2  703 
      6.966       65.6   7.50E-02        30.        12.           O0055  2  704 
      6.966       66.8   7.40E-02        30.        12.           O0055  2  705 
      6.966       69.7   7.40E-02        19.        12.           O0055  2  706 
      6.966       72.6   7.30E-02        30.        12.           O0055  2  707 
      6.966       75.3   6.30E-02        13.        11.           O0055  2  708 
      7.080       12.4   3.70E-01        16.        22.           O0055  2  709 
      7.080       14.2   2.80E-01        11.        14.           O0055  2  710 
      7.080       18.0   3.30E-01        18.        12.           O0055  2  711 
      7.080       19.8   4.30E-01        16.        12.           O0055  2  712 
      7.080       22.3   3.90E-01        13.        21.           O0055  2  713 
      7.080       23.7   3.90E-01        13.        18.           O0055  2  714 
      7.080       26.6   3.90E-01        13.        15.           O0055  2  715 
      7.080       29.4   3.60E-01        14.        14.           O0055  2  716 
      7.080       32.1   2.80E-01        14.        14.           O0055  2  717 
      7.080       33.7   2.40E-01        21.        21.           O0055  2  718 
      7.080       37.5   1.46E-01        14.        21.           O0055  2  719 
      7.080       37.6   2.00E-01        20.        15.           O0055  2  720 
      7.080       40.4   1.88E-01        15.        21.           O0055  2  721 
      7.080       43.3   2.00E-01        20.        20.           O0055  2  722 
      7.080       45.9   1.38E-01        16.        21.           O0055  2  723 
      7.080       48.6   1.05E-01        13.        21.           O0055  2  724 
      7.080       50.5   1.35E-01        16.        21.           O0055  2  725 
      7.080       53.2   1.15E-01        16.        14.           O0055  2  726 
      7.080       54.4   1.23E-01        14.        17.           O0055  2  727 
      7.080       58.8   8.90E-02        12.        21.           O0055  2  728 
      7.080       59.9   8.30E-02        16.        22.           O0055  2  729 
      7.080       64.1   7.50E-02        12.        21.           O0055  2  730 
      7.080       65.4   6.40E-02        14.        13.           O0055  2  731 
