11.950     0.010      20.        6.8        0.3                   O189900200113 
11.950     0.010      39.        6.1        0.2                   O189900200114 
12.126     0.009      10.        1.3        0.1                   O189900200115 
12.126     0.009      20.        0.9        0.1                   O189900200116 
12.126     0.009      39.        0.6        0.1                   O189900200117 
12.500     0.030      10.        23.5       0.5                   O189900200118 
12.500     0.030      20.        16.9       0.5                   O189900200119 
12.500     0.030      39.        16.5       0.3                   O189900200120 
12.537     0.009      10.                              0.2        O189900200121 
12.537     0.009      20.        2.2        0.2                   O189900200122 
12.537     0.009      39.        0.9        0.1                   O189900200123 
12.830     0.020      10.        6.6        0.3                   O189900200124 
12.830     0.020      20.        4.0        0.3                   O189900200125 
12.830     0.020      39.        2.8        0.2                   O189900200126 
13.23      0.007      10.        11.4       0.5                   O189900200127 
13.23      0.007      20.        8.0        0.3                   O189900200128 
13.23      0.007      39.        5.9        0.2                   O189900200129 
13.44      0.010      10.        6.3        0.3                   O189900200130 
13.44      0.010      20.        12.2       0.4                   O189900200131 
13.44      0.010      39.        5.4        0.2                   O189900200132 
13.60      0.010      10.        29.3       0.5                   O189900200133 
13.60      0.010      20.        16.4       0.4                   O189900200134 
13.60      0.010      39.        16.9       0.3                   O189900200135 
13.955     0.008      10.        16.1       0.4                   O189900200136 
13.955     0.008      20.        15.7       0.4                   O189900200137 
13.955     0.008      39.        7.5        0.2                   O189900200138 
14.349     0.006      10.        21.1       0.4                   O189900200139 
14.349     0.006      20.        15.0       0.4                   O189900200140 
14.349     0.006      39.        10.1       0.2                   O189900200141 
14.382     0.008      10.        2.2        0.2                   O189900200142 
14.382     0.008      20.        1.4        0.2                   O189900200143 
14.382     0.008      39.        0.5        0.1                   O189900200144 
14.85      0.05       10.        2.0        0.5                   O189900200145 
14.85      0.05       20.        2.1        0.2                   O189900200146 
14.85      0.05       39.        1.7        0.1                   O189900200147 
15.015     0.005      20.        5.5        0.3                   O189900200148 
15.015     0.005      39.        0.3        0.2                   O189900200149 
15.247     0.005      10.        10.2       0.3                   O189900200150 
15.247     0.005      20.        8.2        0.3                   O189900200151 
15.247     0.005      39.        5.0        0.2                   O189900200152 
15.44      0.020      10.        10.6       0.3                   O189900200153 
15.44      0.020      20.        7.9        0.3                   O189900200154 
15.44      0.020      39.        5.6        0.2                   O189900200155 
15.626     0.005      10.        3.8        0.2                   O189900200156 
15.72      0.010      10.        18.9       0.4                   O189900200157 
15.72      0.010      20.        12.8       0.5                   O189900200158 
15.72      0.010      39.        10.3       0.3                   O189900200159 
15.92      0.010      10.        15.0       0.3                   O189900200160 
15.92      0.010      20.        2.0        0.2                   O189900200161 
16.36      0.01       10.        15.3       0.3                   O189900200162 
16.36      0.01       20.        9.3        0.4                   O189900200163 
16.36      0.01       39.        2.8        0.2                   O189900200164 
16.63      0.01       10.        16.8       0.3                   O189900200165 
16.63      0.01       20.        21.7       0.5                   O189900200166 
16.63      0.01       39.        9.2        0.2                   O189900200167 
17.352     0.008      10.        16.9       0.3                   O189900200168 
17.352     0.008      20.        25.2       0.5                   O189900200169 
17.352     0.008      39.        11.9       0.3                   O189900200170 
17.555     0.009      10.        9.5        0.3                   O189900200171 
17.555     0.009      20.        5.4        0.3                   O189900200172 
17.555     0.009      39.        5.7        0.2                   O189900200173 
17.626     0.004      10.        8.1        0.3                   O189900200174 
17.626     0.004      20.        6.0        0.3                   O189900200175 
17.626     0.004      39.        6.1        0.2                   O189900200176 
17.90      0.03       10.        6.2        0.2                   O189900200177 
