ENTRY            O2533   20220218                             O089O2533  0    1 
SUBENT        O2533001   20220218                             O089O2533  1    1 
BIB                 12         35                                 O2533  1    2 
TITLE      Study of differential cross-sections of the            O2533  1    3 
            14N(d,alpha0,p0,alpha1) reactions suitable for NRA    O2533  1    4 
AUTHOR     (M.Kokkoris, X.Aslanoglou, M.Axiotis, A.Lagoyannis,    O2533  1    5 
            K.Michalakis, P.Misaelides, E.Ntemou, N.Patronis,     O2533  1    6 
            K.Preketes-Sigalas, P.Tsintari)                       O2533  1    7 
INSTITUTE  (2GRCTUA,2GRCIOA,2GRCATH,2GRCARU)                      O2533  1    8 
           (1USAUSA) Central Michigan University, Mt Pleasant,    O2533  1    9 
           Michigan                                               O2533  1   10 
REFERENCE  (J,NIM/B,450,31,2019)                                  O2533  1   11 
           #doi:10.1016/j.nimb.2018.08.034                        O2533  1   12 
FACILITY   (VDGT,2GRCATH)                                         O2533  1   13 
METHOD     (BCINT)                                                O2533  1   14 
DETECTOR   (SIBAR) Three Si surface barrier detectors with        O2533  1   15 
           thickness of 1000-2000 um; set at 10 degree            O2533  1   16 
           intervals. The subtended solid angles for all three    O2533  1   17 
           SSB detectors varied between 3.5 and 4 msr.            O2533  1   18 
SAMPLE     Ultra-thin, high-purity silicon nitrite membrane       O2533  1   19 
           self-supporting target, having a nominal thickness of  O2533  1   20 
           75 nm. The determination of the target stoichiometry   O2533  1   21 
           and Si:N ratio were accomplished via the analysis of   O2533  1   22 
           proton EBS spectra taken at Ep,lab = 980, 1200 and     O2533  1   23 
           1300 keV.                                              O2533  1   24 
MONITOR    (14-SI-28(D,EL)14-SI-28,,DA,,RTH)                      O2533  1   25 
ERR-ANALYS (ERR-T) The total experimental uncertainty was         O2533  1   26 
           calculated by standard error propagation based on the  O2533  1   27 
           following partial uncertainties:                       O2533  1   28 
           (ERR-S,,8.) statistical uncertainty of the studied     O2533  1   29 
           reaction yield                                         O2533  1   30 
           (ERR-1,,1.) statistical error in deuteron elastic      O2533  1   31 
           scattering from silicon                                O2533  1   32 
           (ERR-2,,5.) total uncertainty of the Si:Ni ratio       O2533  1   33 
           (ERR-3,3.,5.) uncertainty of the integrated beam       O2533  1   34 
           induced charge.                                        O2533  1   35 
STATUS     (APRVD) Approved by M.Kokkoris, 1 March 2022.          O2533  1   36 
HISTORY    (20220218C) VS.                                        O2533  1   37 
ENDBIB              35          0                                 O2533  1   38 
COMMON               1          3                                 O2533  1   39 
EN-NRM                                                            O2533  1   40 
KEV                                                               O2533  1   41 
       900.                                                       O2533  1   42 
ENDCOMMON            3          0                                 O2533  1   43 
ENDSUBENT           42          0                                 O2533  199999 
SUBENT        O2533002   20220218                             O089O2533  2    1 
BIB                  2          4                                 O2533  2    2 
REACTION   (7-N-14(D,A)6-C-12,PAR,DA)                             O2533  2    3 
STATUS     (TABLE) Tables 1 and 3 of                              O2533  2    4 
           Nucl.Instrum.Method Phys.Res.B450(2019)31              O2533  2    5 
           Converted by R33toX4 from R33 files                    O2533  2    6 
ENDBIB               4          0                                 O2533  2    7 
COMMON               1          3                                 O2533  2    8 
EN-ERR                                                            O2533  2    9 
KEV                                                               O2533  2   10 
 2.0                                                              O2533  2   11 
ENDCOMMON            3          0                                 O2533  2   12 
DATA                 5        262                                 O2533  2   13 
Q-VAL      ANG        EN         DATA       ERR-T                 O2533  2   14 
    13574.0       145.     1253.1       0.42       0.03           O2533  2  154 
    13574.0       145.     1303.2       0.55       0.04           O2533  2  155 
    13574.0       145.     1353.3       0.71       0.04           O2533  2  156 
    13574.0       145.     1403.4       0.81       0.05           O2533  2  157 
    13574.0       145.     1453.4       0.98       0.06           O2533  2  158 
    13574.0       145.     1503.5       1.14       0.07           O2533  2  159 
    13574.0       145.     1553.6       1.23       0.07           O2533  2  160 
    13574.0       145.     1603.6       1.29       0.08           O2533  2  161 
    13574.0       145.     1653.7       1.57       0.09           O2533  2  162 
    13574.0       145.     1703.7       1.79       0.10           O2533  2  163 
    13574.0       145.     1753.8       1.53       0.09           O2533  2  164 
    13574.0       145.     1803.8       1.47       0.08           O2533  2  165 
    13574.0       145.     1853.9       1.40       0.08           O2533  2  166 
    13574.0       145.     1903.9       1.39       0.08           O2533  2  167 
    13574.0       145.     1954.0       1.15       0.07           O2533  2  168 
    13574.0       145.     2004.0       0.93       0.06           O2533  2  169 
    13574.0       150.      902.4      0.109      0.013           O2533  2  170 
    13574.0       150.      952.5      0.112      0.013           O2533  2  171 
    13574.0       150.     1002.6      0.080      0.010           O2533  2  172 
    13574.0       150.     1102.8      0.143      0.015           O2533  2  173 
    13574.0       150.     1152.9      0.318      0.025           O2533  2  174 
    13574.0       150.     1253.1       0.50       0.03           O2533  2  175 
    13574.0       150.     1303.2       0.62       0.04           O2533  2  176 
    13574.0       150.     1353.3       0.74       0.04           O2533  2  177 
    13574.0       150.     1403.4       0.94       0.05           O2533  2  178 
    13574.0       150.     1453.4       1.13       0.06           O2533  2  179 
    13574.0       150.     1503.5       1.34       0.07           O2533  2  180 
    13574.0       150.     1553.6       1.30       0.07           O2533  2  181 
    13574.0       150.     1603.6       1.59       0.08           O2533  2  182 
    13574.0       150.     1653.7       1.79       0.10           O2533  2  183 
    13574.0       150.     1703.7       1.73       0.09           O2533  2  184 
    13574.0       150.     1753.8       1.67       0.09           O2533  2  185 
    13574.0       150.     1853.9       1.55       0.08           O2533  2  186 
    13574.0       150.     1903.9       1.66       0.09           O2533  2  187 
    13574.0       150.     1954.0       1.27       0.07           O2533  2  188 
    13574.0       150.     2004.0       1.10       0.06           O2533  2  189 
    13574.0       155.      902.4      0.096      0.010           O2533  2  190 
    13574.0       155.      952.5      0.105      0.011           O2533  2  191 
    13574.0       155.     1002.6      0.083      0.009           O2533  2  192 
    13574.0       155.     1052.7      0.138      0.014           O2533  2  193 
    13574.0       155.     1102.8      0.217      0.020           O2533  2  194 
    13574.0       155.     1152.9       0.38       0.03           O2533  2  195 
    13574.0       155.     1203.0       0.66       0.05           O2533  2  196 
    13574.0       155.     1253.1       0.52       0.04           O2533  2  197 
    13574.0       155.     1303.2       0.64       0.05           O2533  2  198 
    13574.0       155.     1353.3       0.81       0.06           O2533  2  199 
    13574.0       155.     1403.4       0.96       0.07           O2533  2  200 
    13574.0       155.     1453.4       1.13       0.08           O2533  2  201 
    13574.0       155.     1503.5       1.39       0.10           O2533  2  202 
    13574.0       155.     1553.6       1.37       0.10           O2533  2  203 
    13574.0       155.     1603.6       1.44       0.11           O2533  2  204 
    13574.0       155.     1653.7       1.79       0.13           O2533  2  205 
    13574.0       155.     1703.7       1.91       0.14           O2533  2  206 
    13574.0       155.     1753.8       1.82       0.13           O2533  2  207 
    13574.0       155.     1803.8       1.58       0.12           O2533  2  208 
    13574.0       155.     1853.9       1.51       0.11           O2533  2  209 
    13574.0       155.     1903.9       1.63       0.12           O2533  2  210 
    13574.0       155.     1954.0       1.37       0.10           O2533  2  211 
    13574.0       155.     2004.0       1.13       0.08           O2533  2  212 
    13574.0       160.      902.4      0.106      0.011           O2533  2  213 
    13574.0       160.      952.5      0.124      0.013           O2533  2  214 
    13574.0       160.     1002.6      0.111      0.012           O2533  2  215 
    13574.0       160.     1102.8      0.152      0.015           O2533  2  216 
    13574.0       160.     1152.9       0.43       0.03           O2533  2  217 
    13574.0       160.     1253.1       0.59       0.04           O2533  2  218 
    13574.0       160.     1303.2       0.70       0.05           O2533  2  219 
    13574.0       160.     1353.3       0.80       0.06           O2533  2  220 
    13574.0       160.     1403.4       1.02       0.07           O2533  2  221 
    13574.0       160.     1453.4       1.20       0.09           O2533  2  222 
    13574.0       160.     1503.5       1.49       0.10           O2533  2  223 
    13574.0       160.     1553.6       1.42       0.10           O2533  2  224 
    13574.0       160.     1603.6       1.80       0.13           O2533  2  225 
    13574.0       160.     1653.7       2.10       0.15           O2533  2  226 
    13574.0       160.     1703.7       2.02       0.15           O2533  2  227 
    13574.0       160.     1753.8       2.10       0.15           O2533  2  228 
    13574.0       160.     1803.8       1.93       0.14           O2533  2  229 
    13574.0       160.     1853.9       1.90       0.13           O2533  2  230 
    13574.0       160.     1903.9       1.91       0.14           O2533  2  231 
    13574.0       160.     1954.0       1.68       0.12           O2533  2  232 
    13574.0       160.     2004.0       1.33       0.10           O2533  2  233 
    13574.0       165.      902.4      0.122      0.012           O2533  2  234 
    13574.0       165.      952.5      0.130      0.013           O2533  2  235 
    13574.0       165.     1002.6      0.119      0.012           O2533  2  236 
    13574.0       165.     1052.7      0.162      0.014           O2533  2  237 
    13574.0       165.     1102.8      0.281      0.021           O2533  2  238 
    13574.0       165.     1152.9       0.46       0.03           O2533  2  239 
    13574.0       165.     1203.0       0.65       0.04           O2533  2  240 
    13574.0       165.     1253.1       0.58       0.04           O2533  2  241 
    13574.0       165.     1303.2       0.75       0.05           O2533  2  242 
    13574.0       165.     1353.3       0.83       0.05           O2533  2  243 
    13574.0       165.     1403.4       1.07       0.07           O2533  2  244 
    13574.0       165.     1453.4       1.21       0.07           O2533  2  245 
    13574.0       165.     1503.5       1.60       0.09           O2533  2  246 
    13574.0       165.     1553.6       1.38       0.08           O2533  2  247 
    13574.0       165.     1603.6       1.72       0.09           O2533  2  248 
    13574.0       165.     1653.7       2.05       0.11           O2533  2  249 
    13574.0       165.     1703.7       2.16       0.11           O2533  2  250 
    13574.0       165.     1753.8       2.09       0.11           O2533  2  251 
    13574.0       165.     1803.8       1.96       0.10           O2533  2  252 
    13574.0       165.     1853.9       1.88       0.10           O2533  2  253 
    13574.0       165.     1903.9       1.81       0.10           O2533  2  254 
    13574.0       165.     1954.0       1.56       0.09           O2533  2  255 
    13574.0       165.     2004.0       1.30       0.08           O2533  2  256 
    13574.0       170.      902.4      0.146      0.015           O2533  2  257 
    13574.0       170.      952.5      0.117      0.013           O2533  2  258 
    13574.0       170.     1002.6      0.109      0.013           O2533  2  259 
    13574.0       170.     1102.8      0.157      0.016           O2533  2  260 
    13574.0       170.     1152.9       0.43       0.03           O2533  2  261 
    13574.0       170.     1253.1       0.60       0.04           O2533  2  262 
    13574.0       170.     1303.2       0.74       0.04           O2533  2  263 
    13574.0       170.     1353.3       0.94       0.05           O2533  2  264 
    13574.0       170.     1403.4       1.16       0.06           O2533  2  265 
    13574.0       170.     1453.4       1.27       0.07           O2533  2  266 
    13574.0       170.     1503.5       1.58       0.08           O2533  2  267 
    13574.0       170.     1553.6       1.66       0.09           O2533  2  268 
    13574.0       170.     1603.6       1.91       0.10           O2533  2  269 
    13574.0       170.     1653.7       2.27       0.12           O2533  2  270 
    13574.0       170.     1703.7       2.34       0.12           O2533  2  271 
    13574.0       170.     1753.8       2.34       0.12           O2533  2  272 
    13574.0       170.     1803.8       2.02       0.11           O2533  2  273 
    13574.0       170.     1853.9       2.22       0.12           O2533  2  274 
    13574.0       170.     1903.9       2.12       0.11           O2533  2  275 
    13574.0       170.     1954.0       1.75       0.10           O2533  2  276 
    13574.0       170.     2004.0       1.60       0.10           O2533  2  277 
ENDDATA            264          0                                 O2533  2  278 
ENDSUBENT          277          0                                 O2533  299999 
SUBENT        O2533003   20220218                             O089O2533  3    1 
BIB                  2          3                                 O2533  3    2 
REACTION   (7-N-14(D,P)7-N-15,PAR,DA)                             O2533  3    3 
STATUS     (TABLE) Table 2 of                                     O2533  3    4 
           Nucl.Instrum.Method Phys.Res.B450(2019)31              O2533  3    5 
ENDBIB               3          0                                 O2533  3    6 
COMMON               2          3                                 O2533  3    7 
Q-VAL      EN-ERR                                                 O2533  3    8 
KEV        KEV                                                    O2533  3    9 
 8608.0     2.000                                                 O2533  3   10 
ENDCOMMON            3          0                                 O2533  3   11 
DATA                 4        129                                 O2533  3   12 
ANG        EN         DATA       ERR-T                            O2533  3   13 
ADEG       KEV        MB/SR      MB/SR                            O2533  3   14 
       145.      902.4      0.303      0.022                      O2533  3   15 
       145.      952.5       0.37       0.03                      O2533  3   16 
       145.     1002.6       0.39       0.03                      O2533  3   17 
       145.     1052.7       0.57       0.04                      O2533  3   18 
       145.     1102.8       0.60       0.04                      O2533  3   19 
       145.     1152.9       0.56       0.04                      O2533  3   20 
       145.     1203.0       0.52       0.04                      O2533  3   21 
       145.     1253.1       0.57       0.04                      O2533  3   22 
       145.     1303.2       0.70       0.04                      O2533  3   23 
       145.     1353.3       0.83       0.05                      O2533  3   24 
       145.     1403.4       0.93       0.06                      O2533  3   25 
       145.     1453.4       1.03       0.06                      O2533  3   26 
       145.     1503.5       1.07       0.07                      O2533  3   27 
       145.     1553.6       1.04       0.06                      O2533  3   28 
       145.     1603.6       1.23       0.07                      O2533  3   29 
       145.     1653.7       1.33       0.08                      O2533  3   30 
       145.     1703.7       1.50       0.09                      O2533  3   31 
       145.     1753.8       1.74       0.10                      O2533  3   32 
       145.     1803.8       2.00       0.11                      O2533  3   33 
       145.     1853.9       2.18       0.11                      O2533  3   34 
       145.     1903.9       2.32       0.13                      O2533  3   35 
       145.     1954.0       2.34       0.13                      O2533  3   36 
       145.     2004.0       1.95       0.10                      O2533  3   37 
       150.      902.4      0.365      0.025                      O2533  3   38 
       150.      952.5       0.44       0.03                      O2533  3   39 
       150.     1002.6       0.45       0.03                      O2533  3   40 
       150.     1102.8       0.65       0.04                      O2533  3   41 
       150.     1152.9       0.66       0.04                      O2533  3   42 
       150.     1253.1       0.74       0.04                      O2533  3   43 
       150.     1303.2       0.80       0.04                      O2533  3   44 
       150.     1353.3       0.95       0.05                      O2533  3   45 
       150.     1403.4       0.99       0.05                      O2533  3   46 
       150.     1453.4       1.13       0.06                      O2533  3   47 
       150.     1503.5       1.28       0.06                      O2533  3   48 
       150.     1553.6       1.14       0.06                      O2533  3   49 
       150.     1603.6       1.32       0.06                      O2533  3   50 
       150.     1653.7       1.66       0.09                      O2533  3   51 
       150.     1703.7       1.93       0.09                      O2533  3   52 
       150.     1753.8       2.15       0.11                      O2533  3   53 
       150.     1853.9       2.64       0.12                      O2533  3   54 
       150.     1903.9       2.91       0.13                      O2533  3   55 
       150.     1954.0       2.97       0.14                      O2533  3   56 
       150.     2004.0       2.59       0.12                      O2533  3   57 
       155.      902.4       0.35       0.03                      O2533  3   58 
       155.      952.5       0.41       0.03                      O2533  3   59 
       155.     1002.6       0.51       0.04                      O2533  3   60 
       155.     1052.7       0.66       0.05                      O2533  3   61 
       155.     1102.8       0.63       0.05                      O2533  3   62 
       155.     1152.9       0.70       0.05                      O2533  3   63 
       155.     1203.0       0.70       0.05                      O2533  3   64 
       155.     1253.1       0.80       0.06                      O2533  3   65 
       155.     1303.2       0.89       0.07                      O2533  3   66 
       155.     1353.3       0.98       0.07                      O2533  3   67 
       155.     1403.4       1.13       0.08                      O2533  3   68 
       155.     1453.4       1.26       0.09                      O2533  3   69 
       155.     1503.5       1.30       0.09                      O2533  3   70 
       155.     1553.6       1.09       0.08                      O2533  3   71 
       155.     1603.6       1.44       0.11                      O2533  3   72 
       155.     1653.7       1.45       0.11                      O2533  3   73 
       155.     1703.7       1.93       0.14                      O2533  3   74 
       155.     1753.8       2.38       0.17                      O2533  3   75 
       155.     1803.8       2.48       0.18                      O2533  3   76 
       155.     1853.9       2.98       0.21                      O2533  3   77 
       155.     1903.9       3.27       0.23                      O2533  3   78 
       155.     1954.0       3.28       0.23                      O2533  3   79 
       155.     2004.0       2.68       0.19                      O2533  3   80 
       160.      902.4       0.35       0.03                      O2533  3   81 
       160.     1102.8       0.80       0.06                      O2533  3   82 
       160.     1152.9       0.72       0.05                      O2533  3   83 
       160.     1253.1       0.82       0.06                      O2533  3   84 
       160.     1303.2       0.92       0.06                      O2533  3   85 
       160.     1353.3       1.09       0.08                      O2533  3   86 
       160.     1403.4       1.25       0.09                      O2533  3   87 
       160.     1453.4       1.26       0.09                      O2533  3   88 
       160.     1503.5       1.48       0.10                      O2533  3   89 
       160.     1553.6       1.26       0.09                      O2533  3   90 
       160.     1603.6       1.60       0.11                      O2533  3   91 
