ENTRY            O1876   20120613                             O048O187600000001 
SUBENT        O1876001   20120613                             O048O187600100001 
BIB                 10         30                                 O187600100002 
TITLE      Differential cross sections for the B-11(p,a)Be-8 and  O187600100003 
           B-11(p,p)B-11 reactions, suitable for ion beam analysisO187600100004 
AUTHOR     (M.Kokkoris, A.Kafkarkou, V.Paneta, R.Vlastou,         O187600100005 
           P.Misaelides, A.Lagoyannis)                            O187600100006 
INSTITUTE  (2GRCTUA)                                              O187600100007 
           (2GRCARU)                                              O187600100008 
           (2GRCATH)                                              O187600100009 
REFERENCE  (J,NIM/B,268,3539,2010)                                O187600100010 
FACILITY   (VDGT,2GRCATH) 5.5 MV TN11 Tandem Accelerator of       O187600100011 
           N.C.S.R. 'Demokritos', Athens, Greece                  O187600100012 
SAMPLE     (5-B-11,ENR=0.99) A highly pure (>99.9%),isotopically  O187600100013 
           enriched, approx.99%, B-11 target deposited on a mirrorO187600100014 
           polished  thick tantalum backing was used for the      O187600100015 
           experiments. The target  had an active surface of      O187600100016 
           1*1 cm**2, and the nominal thickness was reported      O187600100017 
                                          as 323 mug/cm**22.      O187600100018 
DETECTOR   (SIBAR) The detection system consisted of four Si      O187600100019 
           surface barrier detectors (Thickness: 1000 mum,        O187600100020 
           set at 10 ang. intervals) along with the               O187600100021 
           corresponding electronics.                             O187600100022 
ERR-ANALYS (ERR-T).The total estimated error is reported by authorO187600100023 
           in tables-varied between 3-4% (pending on the detector)O187600100024 
           The statistical error from peak integration also variedO187600100025 
           between approx.1-5%.                                   O187600100026 
           (ERR-1,,3.5).The error in target thickness.            O187600100027 
           (EN-ERR).The error is reported by authors in tables.   O187600100028 
STATUS     (TABLE).Table 1,2 of J,NIM/B,268,3539,2010             O187600100029 
HISTORY    (20101208C) SB                                         O187600100030 
           (20120613A) SD: SF5=PAR was added to REACTION code in  O187600100031 
            and E-LVL=0 was added to COMMON in Subent 3           O187600100032 
ENDBIB              30          0                                 O187600100033 
NOCOMMON             0          0                                 O187600100034 
ENDSUBENT           33          0                                 O187600199999 
SUBENT        O1876002   20101209                             O044O187600200001 
BIB                  4          8                                 O187600200002 
REACTION   (5-B-11(P,EL)5-B-11,,DA)                               O187600200003 
STATUS     (TABLE).TABLE 1 of J,NIM/B,268,3539,2010               O187600200004 
REL-REF    (A,O0922002,M.Chiari+,J,NIM/B,184,309,2001)            O187600200005 
ERR-ANALYS (ERR-S,4.0,5.0).The combined statistical errors,       O187600200006 
           varying between 4-5%, pending on the detector/angle    O187600200007 
           combination, included uncertainties in the product     O187600200008 
           Q*Omega and in peak integration, including counting    O187600200009 
           statistics and background subtraction.                 O187600200010 
ENDBIB               8          0                                 O187600200011 
NOCOMMON             0          0                                 O187600200012 
DATA                 5        246                                 O187600200013 
ANG        EN         EN-ERR     DATA       ERR-T                 O187600200014 
155.       3533.      10.        81.        3.                    O187600200207 
155.       3583.      10.        76.        3.                    O187600200208 
155.       3633.      10.        70.8       2.8                   O187600200209 
155.       3684.      10.        70.3       2.7                   O187600200210 
155.       3734.      10.        72.0       2.8                   O187600200211 
155.       3784.      10.        73.4       2.8                   O187600200212 
155.       3834.      10.        79.        3.                    O187600200213 
155.       3884.      10.        82.        3.                    O187600200214 
155.       3934.      10.        87.        3.                    O187600200215 
155.       3984.      10.        91.        3.                    O187600200216 
155.       4035.      10.        83.        3.                    O187600200217 
155.       4085.      10.        74.5       2.8                   O187600200218 
155.       4135.      10.        70.0       2.7                   O187600200219 
155.       4185.      10.        63.0       2.4                   O187600200220 
160.       2177.      9.         90.        3.                    O187600200221 
160.       2227.      9.         90.        4.                    O187600200222 
160.       2278.      9.         98.        4.                    O187600200223 
160.       2328.      9.         104.       4.                    O187600200224 
160.       2378.      9.         108.       4.                    O187600200225 
160.       2429.      9.         126.       5.                    O187600200226 
160.       2479.      9.         134.       5.                    O187600200227 
160.       2529.      9.         142.       5.                    O187600200228 
160.       2579.      9.         147.       6.                    O187600200229 
160.       2630.      9.         138.       5.                    O187600200230 
160.       2680.      9.         109.       4.                    O187600200231 
160.       2730.      9.         96.        4.                    O187600200232 
160.       2780.      9.         83.        3.                    O187600200233 
160.       2831.      9.         78.        3.                    O187600200234 
160.       2881.      9.         76.        3.                    O187600200235 
160.       2931.      9.         73.7       2.9                   O187600200236 
160.       2981.      9.         75.        3.                    O187600200237 
160.       3031.      9.         73.4       2.9                   O187600200238 
160.       3082.      10.        65.7       2.6                   O187600200239 
160.       3132.      10.        67.0       2.7                   O187600200240 
160.       3182.      10.        81.        3.                    O187600200241 
160.       3232.      10.        95.        4.                    O187600200242 
160.       3282.      10.        94.        4.                    O187600200243 
160.       3333.      10.        90.        3.                    O187600200244 
160.       3383.      10.        87.        3.                    O187600200245 
160.       3433.      10.        85.        3.                    O187600200246 
160.       3483.      10.        86.        3.                    O187600200247 
160.       3533.      10.        78.        3.                    O187600200248 
160.       3583.      10.        77.        3.                    O187600200249 
160.       3633.      10.        76.        3.                    O187600200250 
160.       3684.      10.        77.        3.                    O187600200251 
160.       3734.      10.        76.        3.                    O187600200252 
160.       3784.      10.        77.        3.                    O187600200253 
160.       3834.      10.        85.        3.                    O187600200254 
160.       3884.      10.        89.        3.                    O187600200255 
160.       3934.      10.        94.        4.                    O187600200256 
160.       3984.      10.        89.        3.                    O187600200257 
160.       4035.      10.        83.        3.                    O187600200258 
160.       4085.      10.        75.0       2.9                   O187600200259 
160.       4135.      10.        65.2       2.6                   O187600200260 
160.       4185.      10.        64.9       2.6                   O187600200261 
ENDDATA            248          0                                 O187600200262 
ENDSUBENT          261          0                                 O187600299999 
SUBENT        O1876003   20120613                             O048O187600300001 
