E-LVL      ANG        DATA       DATA-ERR                         O216200200008 
MEV        ADEG       MU-B/SR    MU-B/SR                          O216200200009 
1.2010     26.0       0.41       0.10                             O216200200181 
1.2010     30.0       0.46       0.13                             O216200200182 
1.2010     35.0       0.15       0.05                             O216200200183 
1.2010     40.0       0.12       0.03                             O216200200184 
1.2257     5.0        0.50       0.20                             O216200200185 
1.2257     7.5        0.35       0.07                             O216200200186 
1.2257     10.0       0.34       0.07                             O216200200187 
1.2257     12.5       0.33       0.06                             O216200200188 
1.2257     16.0       0.27       0.06                             O216200200189 
1.2257     20.0       0.21       0.04                             O216200200190 
1.2257     26.0       0.19       0.08                             O216200200191 
1.2257     30.0       0.21       0.12                             O216200200192 
1.2257     35.0       0.16       0.05                             O216200200193 
1.2257     40.0       0.12       0.03                             O216200200194 
1.2616     5.0        5.06       0.47                             O216200200195 
1.2616     7.5        4.05       0.18                             O216200200196 
1.2616     10.0       3.28       0.22                             O216200200197 
1.2616     12.5       2.76       0.15                             O216200200198 
1.2616     16.0       2.64       0.16                             O216200200199 
1.2616     20.0       2.68       0.16                             O216200200200 
1.2616     26.0       3.16       0.24                             O216200200201 
1.2616     30.0       3.58       0.24                             O216200200202 
1.2616     35.0       2.85       0.13                             O216200200203 
1.2616     40.0       2.10       0.90                             O216200200204 
1.2702     5.0        0.10       0.10                             O216200200205 
1.2702     7.5        0.12       0.09                             O216200200206 
1.2702     10.0       0.34       0.13                             O216200200207 
1.2702     12.5       0.24       0.07                             O216200200208 
1.2702     16.0       0.30       0.07                             O216200200209 
1.2702     20.0       0.38       0.07                             O216200200210 
1.2702     26.0       0.33       0.13                             O216200200211 
1.2702     30.0       0.29       0.14                             O216200200212 
1.2702     35.0       0.39       0.08                             O216200200213 
1.2702     40.0       0.23       0.08                             O216200200214 
1.2902     5.0        4.57       0.43                             O216200200215 
1.2902     7.5        4.01       0.28                             O216200200216 
1.2902     10.0       3.38       0.23                             O216200200217 
1.2902     12.5       3.04       0.16                             O216200200218 
1.2902     16.0       2.78       0.19                             O216200200219 
1.2902     20.0       3.14       0.18                             O216200200220 
1.2902     26.0       3.47       0.28                             O216200200221 
1.2902     30.0       3.31       0.59                             O216200200222 
1.2902     35.0       1.95       0.15                             O216200200223 
1.2902     40.0       1.77       0.10                             O216200200224 
1.2959     5.0        0.65       0.21                             O216200200225 
1.2959     7.5        0.50       0.20                             O216200200226 
1.2959     10.0       0.41       0.14                             O216200200227 
1.2959     12.5       0.20       0.07                             O216200200228 
1.2959     16.0       0.38       0.13                             O216200200229 
1.2959     20.0       0.45       0.10                             O216200200230 
1.2959     26.0       0.46       0.21                             O216200200231 
1.2959     30.0       0.50       0.26                             O216200200232 
1.2959     35.0       0.52       0.11                             O216200200233 
1.2959     40.0       0.40       0.05                             O216200200234 
1.3192     5.0        0.14       0.15                             O216200200235 
1.3192     7.5        0.34       0.07                             O216200200236 
1.3192     10.0       0.30       0.07                             O216200200237 
1.3192     12.5       0.46       0.06                             O216200200238 
1.3192     16.0       0.46       0.06                             O216200200239 
1.3192     20.0       0.34       0.06                             O216200200240 
1.3192     26.0       0.24       0.08                             O216200200241 
1.3192     35.0       0.52       0.08                             O216200200242 
1.3192     40.0       0.16       0.04                             O216200200243 
1.3439     5.0        0.30        0.18                            O216200200244 
1.3439     7.5        0.36       0.07                             O216200200245 
1.3439     10.0       0.43       0.09                             O216200200246 
1.3439     12.5       0.45       0.06                             O216200200247 
1.3439     16.0       0.50       0.070                            O216200200248 
1.3439     20.0       0.32       0.06                             O216200200249 
1.3439     26.0       0.15       0.070                            O216200200250 
1.3439     30.0       0.20       0.070                            O216200200251 
1.3439     35.0       0.38       0.07                             O216200200252 
1.3439     40.0       0.15       0.03                             O216200200253 
1.4158     5.0        0.25       0.16                             O216200200254 
1.4158     7.5        0.15       0.06                             O216200200255 
1.4158     10.0       0.13       0.06                             O216200200256 
1.4158     12.5       0.13       0.03                             O216200200257 
1.4158     20.0       0.07       0.03                             O216200200258 
1.4158     26.0       0.04       0.06                             O216200200259 
1.4158     35.0       0.28       0.07                             O216200200260 
1.4238     7.5        0.28       0.07                             O216200200261 
1.4238     10.0       0.25       0.07                             O216200200262 
1.4238     12.5       0.21       0.04                             O216200200263 
1.4238     16.0       0.12       0.03                             O216200200264 
1.4238     20.0       0.11       0.04                             O216200200265 
1.4238     26.0       0.10       0.07                             O216200200266 
1.4238     30.0       0.18       0.08                             O216200200267 
1.4238     35.0       0.20       0.06                             O216200200268 
1.4238     40.0       0.08       0.03                             O216200200269 
1.4321     5.0        0.45       0.17                             O216200200270 
1.4321     7.5        0.50       0.15                             O216200200271 
1.4321     10.0       0.34       0.08                             O216200200272 
1.4321     12.5       0.30       0.06                             O216200200273 
1.4321     16.0       0.29       0.06                             O216200200274 
1.4321     20.0       0.27       0.04                             O216200200275 
1.4321     26.0       0.23       0.08                             O216200200276 
1.4321     35.0       0.36       0.07                             O216200200277 
1.4321     40.0       0.12       0.03                             O216200200278 
1.4536     5.0        0.80       0.21                             O216200200279 
1.4536     7.5        0.95       0.10                             O216200200280 
1.4536     10.0       1.12       0.11                             O216200200281 
1.4536     12.5       1.23       0.10                             O216200200282 
1.4536     16.0       1.42       0.10                             O216200200283 
1.4536     20.0       1.35       0.10                             O216200200284 
1.4536     26.0       1.40       0.14                             O216200200285 
1.4536     30.0       1.11       0.13                             O216200200286 
1.4536     35.0       1.21       0.11                             O216200200287 
1.4536     40.0       0.72       0.06                             O216200200288 
1.4700     5.0        0.08       0.13                             O216200200289 
1.4700     7.5        0.15       0.06                             O216200200290 
1.4700     10.0       0.16       0.06                             O216200200291 
1.4700     12.5       0.18       0.04                             O216200200292 
1.4700     16.0       0.16       0.04                             O216200200293 
1.4700     20.0       0.16       0.04                             O216200200294 
1.4700     26.0       0.16       0.08                             O216200200295 
1.4700     30.0       0.29       0.08                             O216200200296 
1.4700     35.0       0.40       0.08                             O216200200297 
1.4700     40.0       0.24       0.04                             O216200200298 
1.4974     5.0        0.45       0.16                             O216200200299 
1.4974     7.5        0.35       0.07                             O216200200300 
1.4974     10.0       0.28       0.07                             O216200200301 
1.4974     12.5       0.30       0.06                             O216200200302 
1.4974     16.0       0.32       0.06                             O216200200303 
1.4974     20.0       0.25       0.06                             O216200200304 
1.4974     26.0       0.33       0.09                             O216200200305 
1.4974     30.0       0.32       0.09                             O216200200306 
1.4974     35.0       0.27       0.06                             O216200200307 
1.4974     40.0       0.20       0.04                             O216200200308 
1.5318     5.0        1.57       0.27                             O216200200309 
1.5318     7.5        1.15       0.10                             O216200200310 
1.5318     10.0       0.77       0.10                             O216200200311 
1.5318     12.5       0.62       0.06                             O216200200312 
1.5318     16.0       0.42       0.06                             O216200200313 
1.5318     20.0       0.30       0.06                             O216200200314 
1.5318     26.0       0.50       0.10                             O216200200315 
1.5318     30.0       0.43       0.10                             O216200200316 
1.5318     35.0       0.16       0.06                             O216200200317 
1.5318     40.0       0.28       0.04                             O216200200318 
1.5444     5.0        1.99       0.30                             O216200200319 
1.5444     7.5        2.35       0.16                             O216200200320 
1.5444     10.0       2.54       0.17                             O216200200321 
1.5444     12.5       2.25       0.13                             O216200200322 
1.5444     16.0       1.96       0.12                             O216200200323 
1.5444     20.0       1.01       0.10                             O216200200324 
1.5444     26.0       1.00       0.13                             O216200200325 
1.5444     30.0       1.38       0.14                             O216200200326 
1.5444     35.0       1.46       0.12                             O216200200327 
1.5444     40.0       1.07       0.08                             O216200200328 
1.5869     5.0        0.14       0.12                             O216200200329 
1.5869     7.5        0.40       0.07                             O216200200330 
1.5869     10.0       0.35       0.08                             O216200200331 
1.5869     12.5       0.38       0.06                             O216200200332 
1.5869     16.0       0.41       0.06                             O216200200333 
1.5869     20.0       0.31       0.06                             O216200200334 
1.5869     26.0       0.26       0.08                             O216200200335 
1.5869     30.0       0.29       0.08                             O216200200336 
1.5869     35.0       0.18       0.06                             O216200200337 
1.5869     40.0       0.18       0.04                             O216200200338 
1.6130     5.0        0.86       0.23                             O216200200339 
1.6130     7.5        0.58       0.10                             O216200200340 
1.6130     10.0       0.78       0.19                             O216200200341 
1.6130     12.5       0.59       0.09                             O216200200342 
1.6130     16.0       0.32       0.10                             O216200200343 
1.6130     20.0       0.39       0.09                             O216200200344 
1.6130     26.0       0.53       0.13                             O216200200345 
1.6130     30.0       0.58       0.13                             O216200200346 
1.6130     35.0       0.62       0.13                             O216200200347 
1.6130     40.0       0.43       0.08                             O216200200348 
1.6181     5.0        1.55       0.33                             O216200200349 
1.6181     7.5        1.38       0.15                             O216200200350 
1.6181     10.0       1.15       0.26                             O216200200351 
1.6181     12.5       1.35       0.13                             O216200200352 
1.6181     16.0       1.27       0.13                             O216200200353 
1.6181     20.0       1.14       0.11                             O216200200354 
1.6181     26.0       1.06       0.17                             O216200200355 
1.6181     30.0       1.20       0.17                             O216200200356 
1.6181     35.0       0.72       0.13                             O216200200357 
1.6181     40.0       0.38       0.08                             O216200200358 
1.6384     5.0        0.83       0.47                             O216200200359 
1.6384     7.5        1.36       0.27                             O216200200360 
1.6384     10.0       1.64       0.31                             O216200200361 
1.6384     12.5       2.22       0.19                             O216200200362 
1.6384     16.0       2.29       0.20                             O216200200363 
1.6384     20.0       1.89       0.20                             O216200200364 
1.6384     26.0       0.81       0.38                             O216200200365 
1.6384     30.0       0.85       0.25                             O216200200366 
1.6384     35.0       0.86       0.26                             O216200200367 
1.6384     40.0       0.98       0.17                             O216200200368 
1.6440     5.0        11.52      0.72                             O216200200369 
1.6440     7.5        11.11      0.45                             O216200200370 
1.6440     10.0       7.71       0.41                             O216200200371 
1.6440     12.5       7.05       0.27                             O216200200372 
1.6440     16.0       6.98       0.35                             O216200200373 
1.6440     20.0       7.85       0.34                             O216200200374 
1.6440     26.0       8.25       0.63                             O216200200375 
1.6440     30.0       8.05       0.39                             O216200200376 
1.6440     35.0       4.82       0.30                             O216200200377 
1.6440     40.0       3.89       0.19                             O216200200378 
1.6514     5.0        0.70       0.36                             O216200200379 
1.6514     7.5        0.40       0.27                             O216200200380 
1.6514     10.0       0.86       0.27                             O216200200381 
1.6514     12.5       0.60       0.18                             O216200200382 
1.6514     16.0       1.23       0.23                             O216200200383 
1.6514     20.0       0.99       0.21                             O216200200384 
1.6514     26.0       0.68       0.41                             O216200200385 
1.6514     30.0       0.97       0.25                             O216200200386 
1.6514     35.0       0.71       0.18                             O216200200387 
1.6514     40.0       0.54       0.10                             O216200200388 
1.6674     5.0        2.64       0.72                             O216200200389 
1.6674     7.5        2.99       0.30                             O216200200390 
1.6674     10.0       2.98       0.29                             O216200200391 
1.6674     12.5       4.51       0.27                             O216200200392 
1.6674     16.0       4.20       0.28                             O216200200393 
1.6674     20.0       3.89       0.24                             O216200200394 
1.6674     26.0       2.36       0.46                             O216200200395 
1.6674     30.0       2.58       0.25                             O216200200396 
1.6674     35.0       1.99       0.20                             O216200200397 
1.6674     40.0       0.92       0.13                             O216200200398 
1.6724     5.0        1.37       0.69                             O216200200399 
1.6724     7.5        2.11       0.27                             O216200200400 
1.6724     10.0       1.87       0.27                             O216200200401 
1.6724     12.5       2.32       0.24                             O216200200402 
1.6724     16.0       2.34       0.23                             O216200200403 
1.6724     20.0       1.37       0.23                             O216200200404 
1.6724     26.0       1.62       0.43                             O216200200405 
1.6724     30.0       1.20       0.21                             O216200200406 
1.6724     35.0       1.45       0.20                             O216200200407 
1.6724     40.0       1.55       0.15                             O216200200408 
1.6784     5.0        1.02       0.28                             O216200200409 
1.6784     7.5        1.44       0.19                             O216200200410 
1.6784     10.0       1.49       0.26                             O216200200411 
1.6784     12.5       1.88       0.16                             O216200200412 
1.6784     16.0       1.57       0.19                             O216200200413 
1.6784     20.0       1.25       0.14                             O216200200414 
1.6784     26.0       1.28       0.22                             O216200200415 
1.6784     30.0       1.38       0.18                             O216200200416 
1.6784     35.0       0.56       0.18                             O216200200417 
1.6784     40.0       0.38       0.12                             O216200200418 
1.7107     5.0        0.57       0.23                             O216200200419 
1.7107     7.5        0.40       0.09                             O216200200420 
1.7107     10.0       0.04       0.08                             O216200200421 
1.7107     12.5       0.21       0.06                             O216200200422 
1.7107     16.0       0.29       0.10                             O216200200423 
1.7107     20.0       0.67       0.10                             O216200200424 
1.7107     26.0       0.92       0.14                             O216200200425 
1.7107     30.0       0.54       0.12                             O216200200426 
1.7107     35.0       0.18       0.06                             O216200200427 
1.7107     40.0       0.09       0.04                             O216200200428 
1.7247     5.0        2.18       0.40                             O216200200429 
1.7247     7.5        3.41       0.21                             O216200200430 
1.7247     10.0       3.21       0.20                             O216200200431 
1.7247     12.5       3.73       0.16                             O216200200432 
1.7247     16.0       3.61       0.16                             O216200200433 
1.7247     20.0       3.42       0.18                             O216200200434 
1.7247     26.0       2.25       0.21                             O216200200435 
1.7247     30.0       2.12       0.18                             O216200200436 
1.7247     35.0       1.81       0.14                             O216200200437 
1.7247     40.0       1.49       0.10                             O216200200438 
1.7339     5.0        2.73       0.40                             O216200200439 
1.7339     7.5        2.50       0.21                             O216200200440 
1.7339     10.0       2.42       0.20                             O216200200441 
1.7339     12.5       2.21       0.15                             O216200200442 
1.7339     16.0       2.13       0.16                             O216200200443 
1.7339     20.0       1.61       0.16                             O216200200444 
1.7339     26.0       1.85       0.22                             O216200200445 
1.7339     30.0       2.02       0.21                             O216200200446 
1.7339     35.0       1.83       0.16                             O216200200447 
1.7339     40.0       0.98       0.10                             O216200200448 
1.7428     5.0        1.60       0.33                             O216200200449 
1.7428     7.5        1.46       0.16                             O216200200450 
1.7428     10.0       1.70       0.17                             O216200200451 
1.7428     12.5       1.42       0.13                             O216200200452 
1.7428     16.0       1.40       0.13                             O216200200453 
1.7428     20.0       1.15       0.14                             O216200200454 
1.7428     26.0       1.33       0.21                             O216200200455 
1.7428     30.0       1.10       0.17                             O216200200456 
1.7428     35.0       0.92       0.13                             O216200200457 
1.7428     40.0       0.65       0.10                             O216200200458 
1.7507     5.0        1.55       0.34                             O216200200459 
1.7507     7.5        1.10       0.15                             O216200200460 
1.7507     10.0       1.01       0.23                             O216200200461 
1.7507     12.5       0.80       0.10                             O216200200462 
1.7507     16.0       0.86       0.16                             O216200200463 
1.7507     20.0       1.50       0.16                             O216200200464 
1.7507     26.0       2.32       0.27                             O216200200465 
1.7507     30.0       1.65       0.20                             O216200200466 
1.7507     35.0       0.96       0.16                             O216200200467 
1.7507     40.0       0.62       0.09                             O216200200468 
1.7581     5.0        4.01       0.43                             O216200200469 
1.7581     7.5        4.76       0.27                             O216200200470 
1.7581     10.0       4.46       0.31                             O216200200471 
1.7581     12.5       6.19       0.18                             O216200200472 
1.7581     16.0       5.58       0.17                             O216200200473 
1.7581     20.0       4.77       0.26                             O216200200474 
1.7581     26.0       2.92       0.28                             O216200200475 
1.7581     30.0       4.16       0.24                             O216200200476 
1.7581     35.0       3.65       0.21                             O216200200477 
1.7581     40.0       2.13       0.13                             O216200200478 
1.7968     7.5        9.79       0.45                             O216200200479 
1.7968     10.0       7.11       0.58                             O216200200480 
1.7968     12.5       7.52       0.44                             O216200200481 
1.7968     16.0       6.97       0.35                             O216200200482 
1.7968     20.0       6.73       0.43                             O216200200483 
1.7968     30.0       5.81       0.39                             O216200200484 
1.8034     7.5        10.46      0.50                             O216200200485 
1.8034     10.        13.2       0.45                             O216200200486 
1.8034     12.5       20.5       0.59                             O216200200487 
1.8034     16.        22.1       0.7                              O216200200488 
1.8034     20.        18.0       0.6                              O216200200489 
1.8034     30.        10.1       0.5                              O216200200490 
1.8127     7.5        0.96       0.33                             O216200200491 
1.8127     10.0       0.73       0.46                             O216200200492 
1.8127     12.5       0.57       0.47                             O216200200493 
1.8127     16.0       0.62       0.32                             O216200200494 
1.8127     20.0       0.17       0.34                             O216200200495 
1.8127     30.0       1.01       0.37                             O216200200496 
1.8262      7.5       2.51       0.16                             O216200200497 
1.8262     10.0       2.22       0.16                             O216200200498 
1.8262     12.5       1.92       0.27                             O216200200499 
1.8262     16.0       2.05       0.16                             O216200200500 
1.8262     20.0       2.25       0.20                             O216200200501 
1.8262     30.0       1.70       0.24                             O216200200502 
1.8403     10.0       0.12       0.38                             O216200200503 
1.8403     12.5       0.11       0.14                             O216200200504 
1.8403     16.0       0.10       0.39                             O216200200505 
1.8403     20.0       0.10       0.21                             O216200200506 
1.8403     26.0       0.10                                        O216200200507 
1.8403     35.0       0.10                                        O216200200508 
1.8585     7.5        0.79       0.15                             O216200200509 
1.8585     10.0       1.21       0.27                             O216200200510 
1.8585     12.5       1.16       0.15                             O216200200511 
1.8585     16.0       1.21       0.16                             O216200200512 
1.8585     20.0       1.29       0.24                             O216200200513 
1.8585     30.0       1.44       0.29                             O216200200514 
