ENTRY            O1690   20081111                             O037O169000000001 
SUBENT        O1690001   20081111                             O037O169000100001 
BIB                 14         31                                 O169000100002 
TITLE      O-16 and F-19 induced multi-nucleon transfer reaction  O169000100003 
           in light nuclei.                                       O169000100004 
AUTHOR     (U.C.Schlotthauer-Voos,R.Bock, H.G.Bohlen,             O169000100005 
           H.H.Gutbrod, W.Von Oertzen)                            O169000100006 
INSTITUTE  (2GERMPH)                                              O169000100007 
           (2GERMBG)                                              O169000100008 
REFERENCE  (J,NP/A,186,225,1972)                                  O169000100009 
           (J,NP/A,180,385,1972) It is O1689 and data for         O169000100010 
           B-11(O-16,N-15)C-12 AT 60 MeV(fig.9 main reference)    O169000100011 
FACILITY   (VDGT,2GERMPH) EN and MP Tandem Van de Graaff          O169000100012 
           accelerator.                                           O169000100013 
METHOD     (BCINT)                                                O169000100014 
           (EDE)                                                  O169000100015 
SAMPLE     The targets of about 80 mug/cm**2 thickness were used. O169000100016 
DETECTOR   (TELES,PROPC,SIBAR) The reaction products were analysedO169000100017 
           by the usual delta-E/E technique, the delta-E detector O169000100018 
           being a gas-filled proportional counter, the E-detectorO169000100019 
           a silicon surface barrier counter.                     O169000100020 
INC-SOURCE *EN-RSL*.The total energy resolution was 150-200 keV   O169000100021 
           for light reaction products as Li and C and about      O169000100022 
            400 keV for heavy elements as F and Ne.               O169000100023 
COMMENT    *By authors*.The absolute cross sections were obtained O169000100024 
           by normalizing the elastic scattering data to the      O169000100025 
           Rutherford scattering measured at lower energies with  O169000100026 
           the same experimental arrangement.                     O169000100027 
STATUS     (CURVE).By Cajad.                                      O169000100028 
ADD-RES    (COMP).DWBA analysis.                                  O169000100029 
ERR-ANALYS  The error in the absolute cross section is about      O169000100030 
            +-10% for higher energies and about +-15% for the low O169000100031 
            energy data.                                          O169000100032 
HISTORY    (20081111C) SB                                         O169000100033 
ENDBIB              31          0                                 O169000100034 
COMMON               1          3                                 O169000100035 
EN-RSL                                                            O169000100036 
KEV                                                               O169000100037 
400.                                                              O169000100038 
ENDCOMMON            3          0                                 O169000100039 
ENDSUBENT           38          0                                 O169000199999 
SUBENT        O1690002   20081111                             O037O169000200001 
BIB                  3          6                                 O169000200002 
REACTION   (6-C-12(9-F-19,7-N-15)8-O-16,PAR,DA) fig 2, 3, 4       O169000200003 
EN-SEC     (E-LVL1,8-O-16)                                        O169000200004 
           (E-LVL2,7-N-15)                                        O169000200005 
ERR-ANALYS (DATA-ERR).The error is reported by authors on fig.    O169000200006 
           (ERR-DIG).Digitizing error of data.                    O169000200007 
           (ANG-ERR-D).Digitizing error of angle.                 O169000200008 
ENDBIB               6          0                                 O169000200009 
COMMON               3          3                                 O169000200010 
E-LVL1     ERR-DIG    ANG-ERR-D                                   O169000200011 
MEV        PER-CENT   ADEG                                        O169000200012 
0.000      0.3        1.7                                         O169000200013 
ENDCOMMON            3          0                                 O169000200014 
DATA                 5        146                                 O169000200015 
EN         E-LVL2     ANG-CM     DATA-CM    DATA-ERR              O169000200016 
   60.00000    0.00000   21.86000    0.18000   17.00000           O169000200062 
   60.00000    0.00000   24.16000    0.07600   14.00000           O169000200063 
   60.00000    0.00000   26.70000    0.03200   60.00000           O169000200064 
   60.00000    0.00000   28.52000    0.15900   18.00000           O169000200065 
   60.00000    0.00000   31.15000    0.16600   17.00000           O169000200066 
   60.00000    0.00000   33.24000    0.09500   26.00000           O169000200067 
   60.00000    0.00000   35.54000    0.04400   50.00000           O169000200068 
   60.00000    0.00000   37.76000    0.09200   14.00000           O169000200069 
   60.00000    0.00000   39.48000    0.15300   12.00000           O169000200070 
   60.00000    0.00000   41.80000    0.08100   17.00000           O169000200071 
   60.00000    0.00000   44.78000    0.02600   23.00000           O169000200072 
   60.00000    0.00000   46.31000    0.07000   11.00000           O169000200073 
   60.00000    0.00000   49.18000    0.08100   14.00000           O169000200074 
   60.00000    0.00000   51.10000    0.08800    9.00000           O169000200075 
   60.00000    0.00000   53.49000    0.09300   10.00000           O169000200076 
   60.00000    5.30000    7.99000   11.40000    9.00000           O169000200077 
   60.00000    5.30000   10.27000    9.60000   10.00000           O169000200078 
   60.00000    5.30000   12.75000    6.50000   17.00000           O169000200079 
   60.00000    5.30000   15.56000    7.60000    7.00000           O169000200080 
   60.00000    5.30000   18.33000    7.10000    8.00000           O169000200081 
   60.00000    5.30000   20.55000    4.30000    9.00000           O169000200082 
   60.00000    5.30000   22.54000    2.47000    8.00000           O169000200083 
   60.00000    5.30000   25.11000    2.84000    7.00000           O169000200084 
   60.00000    5.30000   26.73000    2.81000    9.00000           O169000200085 
   60.00000    5.30000   27.87000    2.46000    8.00000           O169000200086 
   60.00000    5.30000   29.94000    2.21000    9.00000           O169000200087 
   60.00000    5.30000   32.43000    1.62000    7.00000           O169000200088 
   60.00000    5.30000   34.78000    1.94000    8.00000           O169000200089 
   60.00000    5.30000   37.33000    1.98000    5.00000           O169000200090 
   60.00000    5.30000   39.58000    1.32000    8.00000           O169000200091 
   60.00000    5.30000   42.08000    1.03000    8.00000           O169000200092 
   60.00000    5.30000   44.18000    1.13000                      O169000200093 
   60.00000    5.30000   46.52000    1.27000                      O169000200094 
   60.00000    5.30000   49.23000    0.85000    8.00000           O169000200095 
   60.00000    5.30000   52.11000    0.41000   10.00000           O169000200096 
   60.00000    5.30000   54.67000    0.43000    7.00000           O169000200097 
   60.00000    5.30000   56.99000    0.44100    6.00000           O169000200098 
   68.80000    0.00000   12.75000    0.35000   17.00000           O169000200099 
   68.80000    0.00000   13.75000    0.57000   12.00000           O169000200100 
   68.80000    0.00000   14.99000    0.87000   15.00000           O169000200101 
   68.80000    0.00000   17.59000    0.73000   15.00000           O169000200102 
   68.80000    0.00000   18.28000    0.54000   13.00000           O169000200103 
   68.80000    0.00000   19.45000    0.43000   21.00000           O169000200104 
   68.80000    0.00000   19.82000    0.15500   19.00000           O169000200105 
   68.80000    0.00000   21.41000    0.06900   17.00000           O169000200106 
   68.80000    0.00000   23.38000    0.12000   25.00000           O169000200107 
   68.80000    0.00000   23.73000    0.39000   13.00000           O169000200108 
   68.80000    0.00000   24.71000    0.56000   11.00000           O169000200109 
   68.80000    0.00000   26.85000    0.52000   10.00000           O169000200110 
   68.80000    0.00000   28.01000    0.35300                      O169000200111 
   68.80000    0.00000   28.90000    0.18400    9.00000           O169000200112 
   68.80000    0.00000   29.74000    0.06000   10.00000           O169000200113 
   68.80000    0.00000   31.06000    0.01910   15.00000           O169000200114 
   68.80000    0.00000   32.96000    0.21000   14.00000           O169000200115 
   68.80000    0.00000   36.78000    0.22000   18.00000           O169000200116 
   68.80000    0.00000   40.56000    0.16300    7.00000           O169000200117 
   68.80000    0.00000   42.23000    0.16100    6.00000           O169000200118 
   68.80000    0.00000   43.20000    0.19200                      O169000200119 
   68.80000    0.00000   44.37000    0.16260                      O169000200120 
   68.80000    0.00000   44.89000    0.23900                      O169000200121 
   68.80000    0.00000   45.77000    0.12000    8.00000           O169000200122 
   68.80000    0.00000   47.84000    0.05400   20.00000           O169000200123 
   68.80000    0.00000   49.58000    0.11900   13.00000           O169000200124 
   68.80000    0.00000   51.52000    0.16810                      O169000200125 
   68.80000    0.00000   53.43000    0.16400   11.00000           O169000200126 
   68.80000    0.00000   55.34000    0.17600   10.00000           O169000200127 
   68.80000    0.00000   57.67000    0.09700    8.00000           O169000200128 
   68.80000    5.30000   13.50000   10.33000                      O169000200129 
   68.80000    5.30000   14.15000    7.98000                      O169000200130 
   68.80000    5.30000   15.57000    9.17000                      O169000200131 
   68.80000    5.30000   19.42000    5.66000                      O169000200132 
   68.80000    5.30000   21.33000    7.74000                      O169000200133 
   68.80000    5.30000   22.97000    8.28000                      O169000200134 
   68.80000    5.30000   23.85000    6.71000                      O169000200135 
   68.80000    5.30000   24.25000    4.67000                      O169000200136 
   68.80000    5.30000   25.85000    4.19000                      O169000200137 
   68.80000    5.30000   27.67000    3.35000                      O169000200138 
   68.80000    5.30000   29.33000    4.23000                      O169000200139 
   68.80000    5.30000   30.51000    4.63000                      O169000200140 
   68.80000    5.30000   32.54000    3.53000                      O169000200141 
   68.80000    5.30000   32.58000    4.31000                      O169000200142 
   68.80000    5.30000   34.75000    1.88000                      O169000200143 
   68.80000    5.30000   36.79000    1.46500                      O169000200144 
   68.80000    5.30000   37.50000    1.62600                      O169000200145 
   68.80000    5.30000   38.65000    1.53200                      O169000200146 
   68.80000    5.30000   40.05000    1.66000                      O169000200147 
   68.80000    5.30000   40.27000    1.49400                      O169000200148 
   68.80000    5.30000   41.60000    1.11400                      O169000200149 
   68.80000    5.30000   42.97000    0.97800                      O169000200150 
   68.80000    5.30000   43.62000    0.76500                      O169000200151 
   68.80000    5.30000   44.10000    0.84900                      O169000200152 
   68.80000    5.30000   44.24000    1.81400                      O169000200153 
   68.80000    5.30000   45.94000    0.77200                      O169000200154 
   68.80000    5.30000   46.07000    1.57300                      O169000200155 
   68.80000    5.30000   47.61000    1.02000                      O169000200156 
   68.80000    5.30000   49.05000    1.33200                      O169000200157 
   68.80000    5.30000   50.79000    0.72400                      O169000200158 
   68.80000    5.30000   51.35000    1.18200                      O169000200159 
   68.80000    5.30000   54.49000    0.68800                      O169000200160 
   68.80000    5.30000   56.36000    0.75400                      O169000200161 
   68.80000    5.30000   58.03000    0.96200                      O169000200162 
   68.80000    5.30000   60.30000    0.71600                      O169000200163 
ENDDATA            148          0                                 O169000200164 
ENDSUBENT          163          0                                 O169000299999 
SUBENT        O1690003   20081111                             O037O169000300001 
BIB                  3          6                                 O169000300002 
REACTION   (5-B-11(8-O-16,4-BE-8)9-F-19,PAR,DA) fig 5             O169000300003 
EN-SEC     (E-LVL1,9-F-19)                                        O169000300004 
           (E-LVL2,4-BE-8)                                        O169000300005 
ERR-ANALYS (DATA-ERR).The error is reported by authors on fig.    O169000300006 
           (ERR-DIG).Digitizing error of data.                    O169000300007 
           (ANG-ERR-D).Digitizing error of angle.                 O169000300008 
ENDBIB               6          0                                 O169000300009 
COMMON               5          3                                 O169000300010 
EN         E-LVL1     E-LVL2     ERR-DIG    ANG-ERR-D             O169000300011 
MEV        MEV        MEV        PER-CENT   ADEG                  O169000300012 
60.        0.000      0.000      1.4        0.26                  O169000300013 
ENDCOMMON            3          0                                 O169000300014 
DATA                 3         17                                 O169000300015 
ANG-CM     DATA-CM    DATA-ERR                                    O169000300016 
ADEG       MB/SR      PER-CENT                                    O169000300017 
      28.84      0.363                                            O169000300018 
      32.67      0.302                                            O169000300019 
      33.43     0.1685                                            O169000300020 
      34.96     0.2017                                            O169000300021 
      36.04     0.1797                                            O169000300022 
      39.43      0.114        11.                                 O169000300023 
       43.3      0.112         4.                                 O169000300024 
      45.31      0.104         8.                                 O169000300025 
      46.48     0.1287                                            O169000300026 
      48.31     0.1202                                            O169000300027 
      49.78     0.1177                                            O169000300028 
      50.21   7.59E-02                                            O169000300029 
      50.71    6.1E-02         8.                                 O169000300030 
      53.35    7.5E-02        17.                                 O169000300031 
      56.19   9.86E-02                                            O169000300032 
      57.45   8.53E-02                                            O169000300033 
      59.15   9.83E-02                                            O169000300034 
ENDDATA             19          0                                 O169000300035 
ENDSUBENT           34          0                                 O169000399999 
SUBENT        O1690004   20081111                             O037O169000400001 
BIB                  3          6                                 O169000400002 
REACTION   (6-C-12(9-F-19,7-N-15)8-O-16,PAR,DA) fig 6, 7,8        O169000400003 
EN-SEC     (E-LVL1,8-O-16)                                        O169000400004 
           (E-LVL2,7-N-15)                                        O169000400005 
ERR-ANALYS (DATA-ERR).The error is reported by authors on fig.    O169000400006 
           (ERR-DIG).Digitizing error of data.                    O169000400007 
           (ANG-ERR-D).Digitizing error of angle.                 O169000400008 
ENDBIB               6          0                                 O169000400009 
COMMON               3          3                                 O169000400010 
E-LVL2     ERR-DIG    ANG-ERR-D                                   O169000400011 
MEV        PER-CENT   ADEG                                        O169000400012 
0.000      1.8        0.3                                         O169000400013 
ENDCOMMON            3          0                                 O169000400014 
DATA                 6        186                                 O169000400015 
EN         E-LVL1     E-LVL      ANG-CM     DATA-CM    DATA-ERR   O169000400016 
MEV        MEV        MEV        ADEG       MB/SR      PER-CENT   O169000400017 
   40.00000    0.00000              12.40000    0.14000   21.00000O169000400018 
   40.00000    0.00000              14.40000    0.26000   19.00000O169000400019 
   40.00000    0.00000              16.20000    0.19000   26.00000O169000400020 
   40.00000    0.00000              18.60000    0.26000   19.00000O169000400021 
   40.00000    0.00000              21.00000    0.16000   30.00000O169000400022 
   40.00000    0.00000              23.00000    0.07000   40.00000O169000400023 
   40.00000    0.00000              27.50000    0.08100   21.00000O169000400024 
   40.00000    0.00000              30.80000    0.10600    8.00000O169000400025 
   40.00000    0.00000              32.20000    0.10800   11.00000O169000400026 
   40.00000    0.00000              35.50000    0.04500   22.00000O169000400027 
   40.00000    0.00000              40.20000    0.04800   25.00000O169000400028 
   40.00000    0.00000              44.70000    0.05200   21.00000O169000400029 
   40.00000    0.00000              49.10000    0.03200   30.00000O169000400030 
   40.00000    6.90000    7.12000   10.90000    0.15000   40.00000O169000400031 
   40.00000    6.90000    7.12000   16.60000    0.13100   22.00000O169000400032 
   40.00000    6.90000    7.12000   19.00000    0.17000   29.00000O169000400033 
   40.00000    6.90000    7.12000   22.00000    0.41000   12.00000O169000400034 
   40.00000    6.90000    7.12000   24.60000    0.32000   16.00000O169000400035 
   40.00000    6.90000    7.12000   26.70000    0.21000   19.00000O169000400036 
   40.00000    6.90000    7.12000   29.10000    0.31000   16.00000O169000400037 
   40.00000    6.90000    7.12000   31.70000    0.29000   21.00000O169000400038 
   40.00000    6.90000    7.12000   31.70000    0.25000           O169000400039 
   40.00000    6.90000    7.12000   36.50000    0.26000   15.00000O169000400040 
   40.00000    6.90000    7.12000   36.50000    0.23400           O169000400041 
   40.00000    6.90000    7.12000   41.50000    0.15100   11.00000O169000400042 
   40.00000    6.90000    7.12000   46.00000    0.13500   10.00000O169000400043 
   40.00000    6.90000    7.12000   51.30000    0.15800   12.00000O169000400044 
   40.00000    6.90000    7.12000   55.20000    0.15600   12.00000O169000400045 
   60.00000    0.00000               6.29000    0.51000   18.00000O169000400046 
   60.00000    0.00000               8.88000    0.54000   15.00000O169000400047 
   60.00000    0.00000              10.51000    0.31000   19.00000O169000400048 
   60.00000    0.00000              12.83000    0.09700   19.00000O169000400049 
   60.00000    0.00000              12.84000    0.16000   25.00000O169000400050 
   60.00000    0.00000              15.42000    0.16000   25.00000O169000400051 
   60.00000    0.00000              17.76000    0.13000   23.00000O169000400052 
   60.00000    0.00000              19.87000    0.12800   16.00000O169000400053 
   60.00000    0.00000              22.21000    0.08400   20.00000O169000400054 
   60.00000    0.00000              24.32000    0.07300   16.00000O169000400055 
   60.00000    0.00000              25.51000    0.15000   19.00000O169000400056 
   60.00000    0.00000              28.33000    0.13700   16.00000O169000400057 
   60.00000    0.00000              30.43000    0.10300   14.00000O169000400058 
   60.00000    0.00000              34.88000    0.06300   22.00000O169000400059 
   60.00000    0.00000              36.76000    0.08300   19.00000O169000400060 
   60.00000    0.00000              39.11000    0.06900   16.00000O169000400061 
   60.00000    0.00000              43.08000    0.04100   12.00000O169000400062 
   60.00000    0.00000              45.44000    0.06300   16.00000O169000400063 
   60.00000    6.06000    6.13000    8.55000    0.55000   11.00000O169000400064 
   60.00000    6.06000    6.13000   11.13000    0.45000   11.00000O169000400065 
   60.00000    6.06000    6.13000   13.24000    0.41000   12.00000O169000400066 
   60.00000    6.06000    6.13000   15.82000    0.42000   14.00000O169000400067 
   60.00000    6.06000    6.13000   18.17000    0.48000   13.00000O169000400068 
   60.00000    6.06000    6.13000   20.74000    0.32000   25.00000O169000400069 
   60.00000    6.06000    6.13000   22.61000    0.24200    9.00000O169000400070 
   60.00000    6.06000    6.13000   25.19000    0.20100   10.00000O169000400071 
   60.00000    6.06000    6.13000   27.29000    0.13200   11.00000O169000400072 
   60.00000    6.06000    6.13000   29.88000    0.15600   12.00000O169000400073 
   60.00000    6.06000    6.13000   31.99000    0.17800   10.00000O169000400074 
   60.00000    6.06000    6.13000   34.35000    0.24800    6.00000O169000400075 
   60.00000    6.06000    6.13000   36.92000    0.17100    8.00000O169000400076 
   60.00000    6.06000    6.13000   39.02000    0.09900   15.00000O169000400077 
   60.00000    6.06000    6.13000   43.73000    0.15400    9.00000O169000400078 
   60.00000    6.06000    6.13000   46.07000    0.11900   13.00000O169000400079 
   60.00000    6.06000    6.13000   48.88000    0.08400   12.00000O169000400080 
   60.00000    6.06000    6.13000   50.77000    0.14800   11.00000O169000400081 
   60.00000    6.92000              10.34000    1.33000   10.00000O169000400082 
   60.00000    6.92000              12.46000    1.63000    9.00000O169000400083 
   60.00000    6.92000              15.04000    1.33000    8.00000O169000400084 
   60.00000    6.92000              17.38000    1.18000    8.00000O169000400085 
   60.00000    6.92000              19.72000    0.65000    9.00000O169000400086 
   60.00000    6.92000              22.30000    0.67000   12.00000O169000400087 
   60.00000    6.92000              25.12000    0.67100           O169000400088 
   60.00000    6.92000              26.99000    0.51100           O169000400089 
   60.00000    6.92000              29.32000    0.33200           O169000400090 
   60.00000    6.92000              31.91000    0.45000   11.00000O169000400091 
   60.00000    6.92000              33.80000    0.63000   10.00000O169000400092 
   60.00000    6.92000              36.61000    0.44000    9.00000O169000400093 
   60.00000    6.92000              39.18000    0.26300   11.00000O169000400094 
   60.00000    6.92000              48.56000    0.18600   12.00000O169000400095 
   60.00000    6.92000              50.90000    0.14200    8.00000O169000400096 
   60.00000   10.36000              13.75000    1.48600           O169000400097 
   60.00000   10.36000              16.35000    2.39000           O169000400098 
   60.00000   10.36000              18.45000    1.74800           O169000400099 
   60.00000   10.36000              21.26000    1.32600           O169000400100 
   60.00000   10.36000              23.84000    1.06000    7.00000O169000400101 
   60.00000   10.36000              26.65000    0.95000    8.00000O169000400102 
   60.00000   10.36000              28.98000    0.50000   10.00000O169000400103 
   60.00000   10.36000              31.80000    0.51000    8.00000O169000400104 
   60.00000   10.36000              33.91000    0.48800           O169000400105 
   60.00000   10.36000              36.50000    0.58000    9.00000O169000400106 
   60.00000   10.36000              39.07000    0.32400    7.00000O169000400107 
   60.00000   10.36000              41.41000    0.25200    7.00000O169000400108 
   60.00000   10.36000              44.00000    0.33100    8.00000O169000400109 
   60.00000   10.36000              46.79000    0.15200    9.00000O169000400110 
   60.00000   10.36000              49.37000    0.11700   13.00000O169000400111 
   60.00000   10.36000              54.76000    0.06800   13.00000O169000400112 
   60.00000   10.36000              59.92000    0.06100   10.00000O169000400113 
   68.80000    0.00000               6.95000    0.29000   30.00000O169000400114 
   68.80000    0.00000               8.90000    0.19000   40.00000O169000400115 
   68.80000    0.00000              10.64000    0.09000   30.00000O169000400116 
   68.80000    0.00000              12.32000    0.09100   26.00000O169000400117 
   68.80000    0.00000              12.60000    0.05300   26.00000O169000400118 
   68.80000    0.00000              14.28000    0.05600   23.00000O169000400119 
   68.80000    0.00000              16.13000    0.15400   19.00000O169000400120 
   68.80000    0.00000              18.03000    0.24000   25.00000O169000400121 
   68.80000    0.00000              19.05000    0.10400   13.00000O169000400122 
   68.80000    0.00000              19.80000    0.06600   17.00000O169000400123 
   68.80000    0.00000              20.26000    0.09100   13.00000O169000400124 
   68.80000    0.00000              21.98000    0.05200   25.00000O169000400125 
   68.80000    6.06000    6.13000    8.95000    0.45000   11.00000O169000400126 
   68.80000    6.06000    6.13000    9.88000    0.69000    9.00000O169000400127 
   68.80000    6.06000    6.13000   11.29000    0.95000   15.00000O169000400128 
   68.80000    6.06000    6.13000   12.51000    0.53000    9.00000O169000400129 
   68.80000    6.06000    6.13000   13.45000    0.64000   11.00000O169000400130 
   68.80000    6.06000    6.13000   15.13000    0.46000   13.00000O169000400131 
   68.80000    6.06000    6.13000   16.33000    0.30000   13.00000O169000400132 
   68.80000    6.06000    6.13000   17.97000    0.60000    5.00000O169000400133 
   68.80000    6.06000    6.13000   17.99000    0.38000   11.00000O169000400134 
   68.80000    6.06000    6.13000   19.40000    0.50800           O169000400135 
   68.80000    6.06000    6.13000   20.34000    0.56000           O169000400136 
   68.80000    6.06000    6.13000   22.27000    0.34000   12.00000O169000400137 
   68.80000    6.06000    6.13000   23.46000    0.28000   11.00000O169000400138 
   68.80000    6.06000    6.13000   24.67000    0.18800   15.00000O169000400139 
   68.80000    6.06000    6.13000   26.11000    0.12500    7.00000O169000400140 
   68.80000    6.06000    6.13000   30.12000    0.26300   10.00000O169000400141 
   68.80000    6.06000    6.13000   30.14000    0.17600    6.00000O169000400142 
   68.80000    6.06000    6.13000   31.34000    0.13600   21.00000O169000400143 
   68.80000    6.06000    6.13000   32.78000    0.09600   19.00000O169000400144 
   68.80000    6.06000    6.13000   35.15000    0.09900    9.00000O169000400145 
   68.80000    6.06000    6.13000   36.33000    0.11300   14.00000O169000400146 
   68.80000    6.06000    6.13000   38.70000    0.11800   14.00000O169000400147 
   68.80000    6.06000    6.13000   38.96000    0.08800           O169000400148 
   68.80000    6.06000    6.13000   39.68000    0.07100   11.00000O169000400149 
   68.80000    6.06000    6.13000   41.12000    0.04600   17.00000O169000400150 
   68.80000    6.92000              12.46000    1.23000    6.00000O169000400151 
   68.80000    6.92000              13.18000    0.95000   15.00000O169000400152 
   68.80000    6.92000              15.80000    0.88000   10.00000O169000400153 
   68.80000    6.92000              16.26000    1.11000    6.00000O169000400154 
   68.80000    6.92000              17.20000    1.34000    7.00000O169000400155 
   68.80000    6.92000              19.35000    1.20000   11.00000O169000400156 
   68.80000    6.92000              19.57000    1.45700           O169000400157 
   68.80000    6.92000              21.72000    1.15000   10.00000O169000400158 
   68.80000    6.92000              22.93000    0.72000   11.00000O169000400159 
   68.80000    6.92000              24.60000    0.64000   11.00000O169000400160 
   68.80000    6.92000              26.50000    0.68000    6.00000O169000400161 
   68.80000    6.92000              28.16000    0.73000    7.00000O169000400162 
