ENTRY            O2480   20210216                             O083O2480  0    1 
SUBENT        O2480001   20210216                             O083O2480  1    1 
BIB                 10         23                                 O2480  1    2 
TITLE      New data on 0+ states in 158Gd                         O2480  1    3 
AUTHOR     (A.I.Levon,D.Bucurescu,C.Costache,T.Faestermann,       O2480  1    4 
           R.Hertenberger,A.Ionescu,R.Lica,A.G.Magner,C.Mihai,    O2480  1    5 
           R.Mihai,C.R.Nita,S.Pascu,K.P.Shevchenko,A.A.Shevchuk,  O2480  1    6 
           A.Turturica,H.-F.Wirth)                                O2480  1    7 
INSTITUTE  (4UKRIJD,2GERLMU,3RUMBUC,3RUMBUU)                      O2480  1    8 
REFERENCE  (J,PR/C,100,034307,2019)                               O2480  1    9 
           #doi:10.1103/PhysRevC.100.034307                       O2480  1   10 
FACILITY   (VDGT,2GERMUN)                                         O2480  1   11 
SAMPLE     The second experiment was performed on 125 ug/cm2      O2480  1   12 
           target of 160Gd.                                       O2480  1   13 
           The first experiment was performed on:                 O2480  1   14 
           (64-GD-160,ENR=0.981) A 110 ug/cm2 target enriched in  O2480  1   15 
           160Gd on 14 ug/cm2 carbon backing. The known impuritiesO2480  1   16 
           of 158Gd(0.99%), 157Gd(0.44%), and 156Gd(0.33%).       O2480  1   17 
DETECTOR   (MAGSP) Q3D spectrograph                               O2480  1   18 
ERR-ANALYS (ERR-T) The errors of the differential cross sections  O2480  1   19 
           are statistical and                                    O2480  1   20 
           (ERR-1) Error of 10% due to the uncertainty in the     O2480  1   21 
           thickness of the targets used.                         O2480  1   22 
STATUS     (TABLE) Deta received from Prof. A.I.Levon             O2480  1   23 
HISTORY    (20210422R) Deta received from Prof. A.I.Levon         O2480  1   24 
           (20210216C) VS                                         O2480  1   25 
ENDBIB              23          0                                 O2480  1   26 
COMMON               2          3                                 O2480  1   27 
EN         ERR-1                                                  O2480  1   28 
MEV        PER-CENT                                               O2480  1   29 
        22.        10.                                            O2480  1   30 
ENDCOMMON            3          0                                 O2480  1   31 
ENDSUBENT           30          0                                 O2480  199999 
SUBENT        O2480002   20210216                             O083O2480  2    1 
BIB                  2          3                                 O2480  2    2 
REACTION   (64-GD-160(P,T)64-GD-158,PAR,DA)                       O2480  2    3 
STATUS     (TABLE) Plotted on Fig. 3 of Phys.Rev.C100(2019)034307 O2480  2    4 
           Some cross sections at 5 degrees from Table II.        O2480  2    5 
ENDBIB               3          0                                 O2480  2    6 
NOCOMMON             0          0                                 O2480  2    7 
DATA                 5        293                                 O2480  2    8 
E-LVL      E-LVL-ERR  ANG        DATA       ERR-T                 O2480  2    9 
     2276.7        0.4        10.     34.244      0.854           O2480  2   53 
     2276.7        0.4        15.      9.058      0.784           O2480  2   54 
     2276.7        0.4        20.      2.618      0.616           O2480  2   55 
     2276.7        0.4        25.      5.376      0.588           O2480  2   56 
     2276.7        0.4        30.       7.07      0.602           O2480  2   57 
     2276.7        0.4        35.      7.042      0.196           O2480  2   58 
     2276.7        0.4        40.      5.362      0.392           O2480  2   59 
     2333.4        0.5         5.        7.2        0.4           O2480  2   60 
     2437.2        0.4         5.      10.95      0.378           O2480  2   61 
     2437.2        0.4         6.        9.8      0.308           O2480  2   62 
     2437.2        0.4        10.      7.532       0.28           O2480  2   63 
     2437.2        0.4        15.      3.206      0.252           O2480  2   64 
     2437.2        0.4        20.      1.526      0.196           O2480  2   65 
     2437.2        0.4        25.      1.764       0.21           O2480  2   66 
     2437.2        0.4        30.      2.758      0.168           O2480  2   67 
     2437.2        0.4        35.      2.086      0.168           O2480  2   68 
     2437.2        0.4        40.       1.96       0.14           O2480  2   69 
     2445.9        0.8         5.       1.43        0.2           O2480  2   70 
     2445.9        0.8         6.       0.95        0.2           O2480  2   71 
     2445.9        0.8        10.        0.8       0.21           O2480  2   72 
     2445.9        0.8        15.       0.23        0.2           O2480  2   73 
     2445.9        0.8        20.       0.24        0.2           O2480  2   74 
     2445.9        0.8        25.       0.52       0.16           O2480  2   75 
     2445.9        0.8        30.       0.55       0.16           O2480  2   76 
     2445.9        0.8        35.       0.28       0.16           O2480  2   77 
     2445.9        0.8        40.       0.25       0.16           O2480  2   78 
     2632.7        0.4         5.       21.7        0.9           O2480  2   79 
     2643.1        0.5         5.        2.5        0.3           O2480  2   80 
     2686.9        1.5         5.        0.5        0.2           O2480  2   81 
     2726.4        0.4         5.      11.41      0.546           O2480  2   82 
     2726.4        0.4         6.      9.786       0.56           O2480  2   83 
     2726.4        0.4        10.      3.878      0.812           O2480  2   84 
     2726.4        0.4        15.      0.868      0.518           O2480  2   85 
     2726.4        0.4        20.      1.316      0.686           O2480  2   86 
     2726.4        0.4        25.      3.752      0.462           O2480  2   87 
     2726.4        0.4        30.      3.458      0.364           O2480  2   88 
     2726.4        0.4        35.      2.086      0.252           O2480  2   89 
     2726.4        0.4        40.      1.498      0.294           O2480  2   90 
     2757.2        0.4         5.      14.57      0.868           O2480  2   91 
     2757.2        0.4         6.      9.772      0.756           O2480  2   92 
     2757.2        0.4        10.      6.552      0.658           O2480  2   93 
     2757.2        0.4        15.      2.842       0.56           O2480  2   94 
     2757.2        0.4        20.      1.918       0.49           O2480  2   95 
     2757.2        0.4        25.      4.928      0.616           O2480  2   96 
     2757.2        0.4        30.       4.69       0.56           O2480  2   97 
     2757.2        0.4        35.      2.912      0.518           O2480  2   98 
     2757.2        0.4        40.      1.792      0.448           O2480  2   99 
     2888.2        0.4         5.       8.52     0.4002           O2480  2  100 
     2888.2        0.4         6.     7.0932     0.3312           O2480  2  101 
     2888.2        0.4        10.     3.6708     0.2346           O2480  2  102 
     2888.2        0.4        15.     0.4554     0.1656           O2480  2  103 
     2888.2        0.4        20.     3.1326     0.3726           O2480  2  104 
     2888.2        0.4        25.     4.5264     0.2622           O2480  2  105 
     2888.2        0.4        30.      4.002     0.2208           O2480  2  106 
     2888.2        0.4        35.     1.7526      0.138           O2480  2  107 
     2888.2        0.4        40.     1.0074      0.138           O2480  2  108 
     2914.5        0.5         5.      10.05      0.621           O2480  2  109 
     2914.5        0.5         6.     8.7078     0.5658           O2480  2  110 
     2914.5        0.5        10.     5.2578      0.552           O2480  2  111 
     2914.5        0.5        15.     0.5934     0.4968           O2480  2  112 
     2914.5        0.5        20.      2.898     0.7176           O2480  2  113 
     2914.5        0.5        25.     3.3948     0.7866           O2480  2  114 
     2914.5        0.5        30.     4.1814     0.3726           O2480  2  115 
     2914.5        0.5        35.     2.2356     0.5106           O2480  2  116 
     2914.5        0.5        40.     1.4904     0.5244           O2480  2  117 
     3041.7        0.8         5.        1.7        0.3           O2480  2  118 
     3079.2        0.5         5.        2.3        0.3           O2480  2  119 
     3223.3        0.3         5.      10.04       0.45           O2480  2  120 
     3223.3        0.3        10.       4.65       0.34           O2480  2  121 
     3223.3        0.3        15.       0.87       0.14           O2480  2  122 
     3223.3        0.3        20.       0.34       0.13           O2480  2  123 
     3223.3        0.3        20.       0.58        0.1           O2480  2  124 
     3223.3        0.3        25.       2.24       0.15           O2480  2  125 
     3223.3        0.3        30.       2.31       0.13           O2480  2  126 
     3223.3        0.3       34.5       2.08       0.15           O2480  2  127 
     3223.3        0.3       35.5       1.54        0.1           O2480  2  128 
     3223.3        0.3        40.        1.2        0.1           O2480  2  129 
     3233.7        0.4         5.       4.76       0.23           O2480  2  130 
     3233.7        0.4        10.       3.03       0.23           O2480  2  131 
     3233.7        0.4        15.        0.5       0.16           O2480  2  132 
     3233.7        0.4        20.         0.         0.           O2480  2  133 
     3233.7        0.4        25.       0.85       0.11           O2480  2  134 
     3233.7        0.4        30.        1.2       0.09           O2480  2  135 
     3233.7        0.4       34.5       1.04       0.13           O2480  2  136 
     3233.7        0.4       35.5       0.86       0.07           O2480  2  137 
     3233.7        0.4        40.       0.53        0.1           O2480  2  138 
     3282.9        0.5         5.      17.95       0.45           O2480  2  139 
     3282.9        0.5        10.       8.35       0.42           O2480  2  140 
     3282.9        0.5        15.       1.47        0.2           O2480  2  141 
     3282.9        0.5        20.       2.33       0.26           O2480  2  142 
     3282.9        0.5        25.       5.27       0.26           O2480  2  143 
     3282.9        0.5        30.       4.91       0.22           O2480  2  144 
     3282.9        0.5       34.5       2.95       0.14           O2480  2  145 
     3282.9        0.5       35.5        2.2       0.11           O2480  2  146 
     3282.9        0.5        40.       1.38        0.1           O2480  2  147 
     3344.5        0.5         5.       7.75       0.33           O2480  2  148 
     3344.5        0.5        10.       4.86       0.29           O2480  2  149 
     3344.5        0.5        15.       3.07       0.21           O2480  2  150 
     3344.5        0.5        20.       2.73       0.21           O2480  2  151 
     3344.5        0.5        20.       2.94        0.1           O2480  2  152 
     3344.5        0.5        25.       4.72       0.23           O2480  2  153 
     3344.5        0.5        30.       3.81       0.16           O2480  2  154 
     3344.5        0.5       34.5       1.99       0.11           O2480  2  155 
     3344.5        0.5       35.5       1.74       0.08           O2480  2  156 
     3344.5        0.5        40.       1.44        0.1           O2480  2  157 
     3388.6        1.0         5.         1.       0.16           O2480  2  158 
     3388.6        1.0        10.       0.95       0.14           O2480  2  159 
     3388.6        1.0        15.        0.1        0.1           O2480  2  160 
     3388.6        1.0        20.       0.15       0.14           O2480  2  161 
     3388.6        1.0        25.       0.24       0.12           O2480  2  162 
     3388.6        1.0        30.       0.08        0.1           O2480  2  163 
     3388.6        1.0       34.5       0.06        0.1           O2480  2  164 
     3388.6        1.0       35.5       0.05        0.1           O2480  2  165 
     3388.6        1.0        40.       0.05        0.1           O2480  2  166 
     3400.2        0.9         5.       2.45       0.25           O2480  2  167 
     3400.2        0.9        10.       1.39       0.16           O2480  2  168 
     3400.2        0.9        15.       0.22       0.18           O2480  2  169 
     3400.2        0.9        20.       0.64       0.14           O2480  2  170 
     3400.2        0.9        20.       0.86        0.1           O2480  2  171 
     3400.2        0.9        25.       1.32       0.17           O2480  2  172 
     3400.2        0.9        30.       1.04       0.38           O2480  2  173 
     3400.2        0.9       34.5        0.5       0.15           O2480  2  174 
     3400.2        0.9       35.5       0.31       0.12           O2480  2  175 
     3400.2        0.9        40.       0.48        0.1           O2480  2  176 
     3431.8        0.8         5.      11.71       0.51           O2480  2  177 
     3431.8        0.8        10.       5.12       0.22           O2480  2  178 
     3431.8        0.8        15.       1.13       0.18           O2480  2  179 
     3431.8        0.8        20.         1.       0.16           O2480  2  180 
     3431.8        0.8        25.       3.63        0.2           O2480  2  181 
     3431.8        0.8        30.       3.61       0.17           O2480  2  182 
     3431.8        0.8       34.5       2.11       0.12           O2480  2  183 
     3431.8        0.8       35.5       1.62        0.1           O2480  2  184 
     3431.8        0.8        40.       0.93        0.2           O2480  2  185 
     3546.2        0.7         5.       2.15       0.18           O2480  2  186 
     3546.2        0.7        10.       1.38       0.38           O2480  2  187 
     3546.2        0.7        15.       0.88       0.19           O2480  2  188 
     3546.2        0.7        20.       0.35        0.1           O2480  2  189 
     3546.2        0.7        25.       1.14       0.18           O2480  2  190 
     3546.2        0.7        30.        1.3       0.15           O2480  2  191 
     3546.2        0.7       34.5       0.65        0.1           O2480  2  192 
     3546.2        0.7        35.       0.48       0.15           O2480  2  193 
     3546.2        0.7        40.       0.45        0.1           O2480  2  194 
     3569.6        0.7         5.       2.79       0.19           O2480  2  195 
     3569.6        0.7        10.       2.31       0.44           O2480  2  196 
     3569.6        0.7        15.       0.76       0.21           O2480  2  197 
     3569.6        0.7        20.       0.14       0.16           O2480  2  198 
     3569.6        0.7        25.       0.92       0.16           O2480  2  199 
     3569.6        0.7        30.        0.7       0.12           O2480  2  200 
     3569.6        0.7       34.5       0.44       0.09           O2480  2  201 
     3569.6        0.7       35.5       0.43       0.19           O2480  2  202 
     3569.6        0.7        40.       0.49        0.1           O2480  2  203 
     3616.6        0.8         5.       9.94        0.3           O2480  2  204 
     3616.6        0.8        10.       5.27       0.41           O2480  2  205 
     3616.6        0.8        15.       1.62       0.16           O2480  2  206 
     3616.6        0.8        20.       1.38       0.18           O2480  2  207 
     3616.6        0.8        25.       3.53        0.3           O2480  2  208 
     3616.6        0.8        30.       3.81       0.22           O2480  2  209 
     3616.6        0.8       34.5       1.81       0.16           O2480  2  210 
     3616.6        0.8       35.5       1.31       0.09           O2480  2  211 
     3616.6        0.8        40.       0.91        0.1           O2480  2  212 
     3626.4        0.8         5.      22.67       0.41           O2480  2  213 
     3626.4        0.8        10.      12.54       0.63           O2480  2  214 
     3626.4        0.8        15.       2.84       0.17           O2480  2  215 
     3626.4        0.8        20.       2.05       0.19           O2480  2  216 
     3626.4        0.8        25.       6.98       0.36           O2480  2  217 
     3626.4        0.8        30.        7.5       0.24           O2480  2  218 
     3626.4        0.8       34.5       3.71        0.2           O2480  2  219 
     3626.4        0.8       35.5       2.96       0.13           O2480  2  220 
     3626.4        0.8        40.       1.87        0.1           O2480  2  221 
     3641.7        0.8         5.       4.08       0.33           O2480  2  222 
     3641.7        0.8        10.       2.78       0.28           O2480  2  223 
     3641.7        0.8        15.       0.39       0.21           O2480  2  224 
     3641.7        0.8        20.       0.62       0.24           O2480  2  225 
     3641.7        0.8        25.       0.73       0.21           O2480  2  226 
     3641.7        0.8        30.       0.97       0.13           O2480  2  227 
     3641.7        0.8       34.5       0.76       0.13           O2480  2  228 
     3641.7        0.8       35.5       0.89       0.13           O2480  2  229 
     3641.7        0.8        40.       0.52       0.09           O2480  2  230 
     3691.7        0.8         5.   20.39232    0.54834           O2480  2  231 
     3691.7        0.8        10.    9.49962    0.62244           O2480  2  232 
     3691.7        0.8        15.    1.43754     0.2964           O2480  2  233 
     3691.7        0.8        20.    3.09738     0.2964           O2480  2  234 
     3691.7        0.8        25.    6.68382    0.32604           O2480  2  235 
     3691.7        0.8        30.     6.8913    0.32604           O2480  2  236 
     3691.7        0.8       34.5    2.83062     0.2223           O2480  2  237 
     3691.7        0.8       35.5    3.29004     0.2223           O2480  2  238 
     3691.7        0.8        40.    1.14114     0.1482           O2480  2  239 
     3737.9        1.1         5.       2.68       0.36           O2480  2  240 
     3737.9        1.1        10.       1.79       0.25           O2480  2  241 
     3737.9        1.1        15.       0.18       0.15           O2480  2  242 
     3737.9        1.1        20.       0.14       0.13           O2480  2  243 
     3737.9        1.1        25.       0.68       0.14           O2480  2  244 
     3737.9        1.1        30.       0.82       0.15           O2480  2  245 
     3737.9        1.1       34.5        0.5       0.13           O2480  2  246 
     3737.9        1.1       35.5       0.34       0.12           O2480  2  247 
     3737.9        1.1        40.       0.15        0.1           O2480  2  248 
     3819.2        0.7         5.       2.26       0.18           O2480  2  249 
     3819.2        0.7        10.       1.57       0.16           O2480  2  250 
     3819.2        0.7        15.       0.81       0.13           O2480  2  251 
     3819.2        0.7        20.       1.22       0.15           O2480  2  252 
     3819.2        0.7        25.       1.26       0.11           O2480  2  253 
     3819.2        0.7        30.       0.89        0.1           O2480  2  254 
     3819.2        0.7       34.5       0.87        0.1           O2480  2  255 
     3819.2        0.7       35.5       0.57       0.07           O2480  2  256 
     3819.2        0.7        40.       0.55        0.1           O2480  2  257 
     3829.1        0.6         5.       5.02       0.24           O2480  2  258 
     3848.2        0.8         5.       2.71       0.29           O2480  2  259 
     3848.2        0.8        10.       1.63       0.18           O2480  2  260 
     3848.2        0.8        15.       1.05       0.16           O2480  2  261 
     3848.2        0.8        20.       0.59       0.18           O2480  2  262 
     3848.2        0.8        25.        1.4       0.14           O2480  2  263 
     3848.2        0.8        30.       1.87       0.11           O2480  2  264 
     3848.2        0.8       34.5       1.26       0.11           O2480  2  265 
     3848.2        0.8       35.5       0.89       0.08           O2480  2  266 
     3848.2        0.8        40.       0.71        0.1           O2480  2  267 
     3876.1        0.6         5.       5.17       0.34           O2480  2  268 
     3876.1        0.6        10.       2.31       0.24           O2480  2  269 
     3876.1        0.6        15.       0.56       0.14           O2480  2  270 
     3876.1        0.6        20.       0.89        0.2           O2480  2  271 
     3876.1        0.6        25.       1.86       0.21           O2480  2  272 
     3876.1        0.6        30.       1.52       0.19           O2480  2  273 
     3876.1        0.6       34.5       1.23       0.14           O2480  2  274 
     3876.1        0.6       35.5       0.74        0.1           O2480  2  275 
     3876.1        0.6        40.       0.48        0.1           O2480  2  276 
     3984.9        0.6         5.       7.19       0.24           O2480  2  277 
     3984.9        0.6        10.       3.98       0.18           O2480  2  278 
     3984.9        0.6        15.       1.07       0.33           O2480  2  279 
     3984.9        0.6        20.       2.13       0.18           O2480  2  280 
     3984.9        0.6        25.       3.59       0.15           O2480  2  281 
     3984.9        0.6        30.       2.84       0.12           O2480  2  282 
     3984.9        0.6       34.5       1.62       0.12           O2480  2  283 
     3984.9        0.6       35.5       1.15       0.08           O2480  2  284 
     3984.9        0.6        40.       0.96        0.1           O2480  2  285 
     4220.4        0.6         5.       2.48       0.28           O2480  2  286 
     4220.4        0.6        10.       1.69       0.16           O2480  2  287 
     4220.4        0.6        15.        0.8       0.17           O2480  2  288 
     4220.4        0.6        20.       1.01       0.19           O2480  2  289 
     4220.4        0.6        25.       1.36       0.15           O2480  2  290 
     4220.4        0.6        30.       1.62       0.13           O2480  2  291 
     4220.4        0.6       34.5       0.82       0.15           O2480  2  292 
     4220.4        0.6       35.5       0.85        0.1           O2480  2  293 
     4220.4        0.6        40.       0.53        0.1           O2480  2  294 
     4258.1        0.6         5.        3.2       0.24           O2480  2  295 
     4258.1        0.6        10.       1.91       0.15           O2480  2  296 
     4258.1        0.6        15.       0.15       0.28           O2480  2  297 
     4258.1        0.6        20.       1.18       0.21           O2480  2  298 
     4258.1        0.6        25.       1.89       0.17           O2480  2  299 
     4258.1        0.6        30.       2.21       0.15           O2480  2  300 
     4258.1        0.6       34.5       1.65       0.15           O2480  2  301 
     4258.1        0.6       35.5       0.93       0.12           O2480  2  302 
     4258.1        0.6        40.       0.86        0.1           O2480  2  303 
ENDDATA            295          0                                 O2480  2  304 
ENDSUBENT          303          0                                 O2480  299999 
ENDENTRY             2          0                                 O248099999999 
