       3.11       110.       11.8                                 O140800400026 
       3.11       197.       7.33                                 O140800400027 
       3.11      1240.       3.51                                 O140800400028 
       3.11      1360.       3.15                                 O140800400029 
      3.136       110.      12.09                                 O140800400030 
      3.136       197.       9.57                                 O140800400031 
      3.136      1240.       3.19                                 O140800400032 
      3.136      1360.       3.75                                 O140800400033 
      3.161       110.      11.75                                 O140800400034 
      3.161       197.       11.6                                 O140800400035 
      3.161      1240.       2.65                                 O140800400036 
      3.161      1360.       3.98                                 O140800400037 
      3.187       110.      13.19                                 O140800400038 
      3.187       197.      12.85                                 O140800400039 
      3.187      1240.       2.98                                 O140800400040 
      3.187      1360.       4.36                                 O140800400041 
      3.212       110.      13.06                                 O140800400042 
      3.212       197.      13.02                                 O140800400043 
      3.212      1240.       2.71                                 O140800400044 
      3.212      1360.       3.84                                 O140800400045 
      3.237       110.      12.85                                 O140800400046 
      3.237       197.      13.83                                 O140800400047 
      3.237      1240.       2.79                                 O140800400048 
      3.237      1360.       3.73                                 O140800400049 
      3.263       110.      11.84                                 O140800400050 
      3.263       197.      15.43                                 O140800400051 
      3.263      1240.        2.5                                 O140800400052 
      3.263      1360.       4.64                                 O140800400053 
      3.288       110.      11.24                                 O140800400054 
      3.288       197.      16.47                                 O140800400055 
      3.288      1240.       2.17                                 O140800400056 
      3.288      1360.       5.46                                 O140800400057 
      3.313       110.      11.54                                 O140800400058 
      3.313       197.      17.21                                 O140800400059 
      3.313      1240.       1.86                                 O140800400060 
      3.313      1360.       6.77                                 O140800400061 
      3.339       110.      12.34                                 O140800400062 
      3.339       197.      18.16                                 O140800400063 
      3.339      1240.       1.86                                 O140800400064 
      3.339      1360.        8.6                                 O140800400065 
      3.364       110.      11.88                                 O140800400066 
      3.364       197.      17.82                                 O140800400067 
      3.364      1240.       1.56                                 O140800400068 
      3.364      1360.       9.36                                 O140800400069 
       3.39       110.      10.38                                 O140800400070 
       3.39       197.      16.38                                 O140800400071 
       3.39      1240.       1.51                                 O140800400072 
       3.39      1360.       8.52                                 O140800400073 
      3.415       110.        9.3                                 O140800400074 
      3.415       197.      14.91                                 O140800400075 
      3.415      1240.       1.34                                 O140800400076 
      3.415      1360.       7.38                                 O140800400077 
       3.44       110.       9.48                                 O140800400078 
       3.44       197.      14.39                                 O140800400079 
       3.44      1240.       1.31                                 O140800400080 
       3.44      1360.       7.16                                 O140800400081 
      3.466       110.      10.43                                 O140800400082 
      3.466       197.      13.85                                 O140800400083 
      3.466      1240.       1.44                                 O140800400084 
      3.466      1360.       7.25                                 O140800400085 
      3.491       110.      11.37                                 O140800400086 
      3.491       197.      13.69                                 O140800400087 
      3.491      1240.       1.68                                 O140800400088 
      3.491      1360.       7.36                                 O140800400089 
      3.517       110.      11.17                                 O140800400090 
      3.517       197.      13.52                                 O140800400091 
      3.517      1240.        1.8                                 O140800400092 
      3.517      1360.       6.89                                 O140800400093 
      3.567       110.       8.67                                 O140800400094 
      3.567       197.      12.79                                 O140800400095 
      3.567      1240.       1.45                                 O140800400096 
      3.567      1360.       6.27                                 O140800400097 
      3.593       110.       8.43                                 O140800400098 
      3.593       197.      12.56                                 O140800400099 
      3.593      1240.       1.17                                 O140800400100 
      3.593      1360.       6.11                                 O140800400101 
      3.618       110.       7.64                                 O140800400102 
      3.618       197.      12.58                                 O140800400103 
      3.618      1240.       1.28                                 O140800400104 
      3.618      1360.       6.47                                 O140800400105 
      3.644       110.       7.37                                 O140800400106 
      3.644       197.      12.09                                 O140800400107 
      3.644      1240.       1.24                                 O140800400108 
      3.644      1360.       6.54                                 O140800400109 
      3.669       110.       6.75                                 O140800400110 
      3.669       197.      11.57                                 O140800400111 
