ENTRY            O0461   20000426                             0000O046100000001 
SUBENT        O0461001   20000426                             0000O046100100001 
BIB                 10         18                                 O046100100002 
TITLE       (P,A) Reactions on the Even Nuclei Ni-58, Ni-60 and   O046100100003 
           Fe-56.                                                 O046100100004 
AUTHOR     (I.KUMABE,H.OGATA,T.KOMATUZAKI,N.INOUE,S.TOMITA,       O046100100005 
           Y.YAMADA,T.YAMAKI,S.MATSUMOTO)                         O046100100006 
INSTITUTE  (2JPNKTO)                                              O046100100007 
REFERENCE  (J,NP,46,437,1963)                                     O046100100008 
HISTORY    (19980624C)                                            O046100100009 
           (19980729U) Last checking has been done.               O046100100010 
           (20000426A) DATE is corrected                          O046100100011 
ADD-RES    (COMP).The Theory of the Compound Nucleus Developed by O046100100012 
           Ericson.                                               O046100100013 
           New Levels have Been Found in Co-55 and Co-57.         O046100100014 
DETECTOR   (SOLST).A P-N Junction Detector (TWO SOLID STATE       O046100100015 
           DETECTORS).                                            O046100100016 
           (CSICR).The Counter For Monitoring the Beam Current.   O046100100017 
FACILITY   (ISOCY,2JPNTOK).A 160 Cm Variable Energy Cyclotron.    O046100100018 
METHOD     (BCINT)                                                O046100100019 
STATUS     (CURVE).By CAJAD.                                      O046100100020 
ENDBIB              18          0                                 O046100100021 
NOCOMMON             0          0                                 O046100100022 
ENDSUBENT           21          0                                 O046100199999 
SUBENT        O0461002   20000426                             0000O046100200001 
BIB                  5          7                                 O046100200002 
REACTION   (28-NI-58(P,A)27-CO-55,PAR,DA)                         O046100200003 
EN-SEC     (E-LVL,27-CO-55)                                       O046100200004 
SAMPLE     Selfsupporting Metallic Foils of Ni-58,Enrichment-95%, O046100200005 
           Thickness 0.075 Mg/Cm**2,were Used.                    O046100200006 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O046100200007 
           (ANG-ERR).Data-Point Reader Uncertainty.               O046100200008 
COMMENT    - By Compiler - 1.8 MeV Level is Absent in ENSDF.      O046100200009 
ENDBIB               7          0                                 O046100200010 
COMMON               1          3                                 O046100200011 
ANG-ERR                                                           O046100200012 
ADEG                                                              O046100200013 
        0.6                                                       O046100200014 
ENDCOMMON            3          0                                 O046100200015 
DATA                 5        203                                 O046100200016 
EN         ANG-CM     E-LVL      DATA-CM    ERR-T                 O046100200017 
       12.6       91.6       2.45      0.198      0.011           O046100200059 
       12.6       92.1        1.8      0.131      0.005           O046100200060 
       12.6       92.3        2.2      0.172      0.006           O046100200061 
       12.6      101.3         0.      0.451      0.016           O046100200062 
       12.6      102.1        2.2      0.181      0.006           O046100200063 
       12.6      102.1       2.45      0.203       0.01           O046100200064 
       12.6      102.4        1.8       0.14      0.004           O046100200065 
       12.6       111.         0.      0.389      0.019           O046100200066 
       12.6      111.4        1.8      0.129      0.004           O046100200067 
       12.6      111.6        2.2      0.171      0.006           O046100200068 
       12.6      112.5       2.45        0.2      0.011           O046100200069 
       12.6      119.9        2.2       0.18      0.007           O046100200070 
       12.6      121.1        1.8     0.1264     0.0024           O046100200071 
       12.6      121.4       2.45      0.193      0.012           O046100200072 
       12.6      122.3         0.       0.43      0.014           O046100200073 
       12.6      130.4         0.      0.453      0.019           O046100200074 
       12.6      130.6        2.2      0.204      0.013           O046100200075 
       12.6      131.7       2.45      0.216      0.011           O046100200076 
       12.6      132.6        1.8      0.137      0.005           O046100200077 
       12.6      140.7        1.8      0.169      0.008           O046100200078 
       12.6       141.        2.2      0.205      0.009           O046100200079 
       12.6       141.       2.45      0.236      0.009           O046100200080 
       12.6      141.6         0.       0.48      0.018           O046100200081 
       12.6      149.5        1.8       0.19       0.01           O046100200082 
       12.6      149.8         0.      0.524      0.022           O046100200083 
       12.6      149.9        2.2      0.206      0.008           O046100200084 
       12.6      150.2       2.45      0.253      0.013           O046100200085 
       12.6      159.5         0.      0.582      0.023           O046100200086 
       12.6      159.6        2.2      0.213      0.007           O046100200087 
       12.6      160.4        1.8      0.188      0.011           O046100200088 
       12.6      161.1       2.45      0.248      0.014           O046100200089 
       12.6      163.8        2.2      0.195      0.008           O046100200090 
       12.6      164.9         0.      0.602      0.025           O046100200091 
       12.6      165.1        1.8       0.17      0.007           O046100200092 
       12.6      165.4       2.45      0.256      0.011           O046100200093 
      13.45       15.3         0.       0.47       0.06           O046100200094 
      13.45       20.2        1.8      0.236      0.014           O046100200095 
      13.45        21.       2.45       0.44       0.03           O046100200096 
      13.45       21.1         0.       0.48       0.03           O046100200097 
      13.45       21.2        2.2       0.26      0.024           O046100200098 
      13.45       31.4        1.8      0.174      0.012           O046100200099 
      13.45       31.7        2.2       0.32       0.03           O046100200100 
      13.45       31.7       2.45        0.3       0.03           O046100200101 
      13.45       31.8         0.       0.57       0.03           O046100200102 
      13.45        41.        1.8      0.144      0.009           O046100200103 
      13.45       41.1       2.45      0.301      0.017           O046100200104 
      13.45       41.5         0.      0.496      0.029           O046100200105 
      13.45       42.1        2.2      0.271      0.012           O046100200106 
      13.45       51.7        2.2      0.267      0.013           O046100200107 
      13.45       51.8         0.      0.313      0.021           O046100200108 
      13.45       51.9       2.45      0.262      0.012           O046100200109 
      13.45        52.        1.8      0.144      0.008           O046100200110 
      13.45       60.9         0.      0.211      0.021           O046100200111 
      13.45       61.2       2.45      0.251       0.01           O046100200112 
      13.45       62.2        1.8      0.101      0.006           O046100200113 
      13.45       62.4        2.2      0.245      0.011           O046100200114 
      13.45       71.5        1.8      0.103      0.006           O046100200115 
      13.45       71.8        2.2      0.231      0.011           O046100200116 
      13.45       72.1         0.      0.299      0.021           O046100200117 
      13.45       72.5       2.45      0.246       0.01           O046100200118 
      13.45       81.7        2.2      0.245      0.011           O046100200119 
      13.45       81.8       2.45      0.267      0.008           O046100200120 
      13.45       81.9        1.8      0.096      0.004           O046100200121 
      13.45       82.6         0.       0.21      0.013           O046100200122 
      13.45       91.3         0.      0.196      0.015           O046100200123 
      13.45       91.5        1.8      0.093      0.003           O046100200124 
      13.45       91.6       2.45      0.262       0.01           O046100200125 
      13.45        92.        2.2      0.246      0.008           O046100200126 
      13.45      101.4        1.8      0.108      0.004           O046100200127 
      13.45      102.3        2.2       0.24       0.01           O046100200128 
      13.45      102.5         0.      0.225      0.015           O046100200129 
      13.45      102.6       2.45      0.263       0.01           O046100200130 
      13.45      111.2         0.      0.271       0.02           O046100200131 
      13.45      111.3        1.8      0.121      0.006           O046100200132 
      13.45       112.        2.2      0.242       0.01           O046100200133 
      13.45       113.       2.45      0.262       0.01           O046100200134 
      13.45      121.1        1.8      0.126     0.0024           O046100200135 
      13.45      121.3        2.2      0.271      0.011           O046100200136 
      13.45      121.4         0.       0.28      0.019           O046100200137 
      13.45      122.5       2.45      0.267      0.014           O046100200138 
      13.45      130.5        2.2      0.288      0.012           O046100200139 
      13.45      131.1         0.      0.277      0.019           O046100200140 
      13.45      131.2        1.8      0.156      0.006           O046100200141 
      13.45      131.4       2.45      0.263      0.012           O046100200142 
      13.45      140.7        2.2      0.281      0.013           O046100200143 
      13.45       141.        1.8      0.162      0.005           O046100200144 
      13.45      141.8         0.      0.228      0.017           O046100200145 
      13.45      142.6       2.45      0.279      0.014           O046100200146 
      13.45      150.7        2.2      0.302      0.012           O046100200147 
      13.45      150.9         0.      0.189      0.017           O046100200148 
      13.45      151.1        1.8      0.187      0.004           O046100200149 
      13.45      152.2       2.45      0.287      0.015           O046100200150 
      13.45      160.1        1.8      0.227      0.006           O046100200151 
      13.45      160.5       2.45      0.276      0.012           O046100200152 
      13.45      160.8        2.2       0.24      0.011           O046100200153 
      13.45      161.1         0.      0.122      0.018           O046100200154 
      13.45      164.5        1.8      0.234      0.007           O046100200155 
      13.45       165.        2.2      0.181      0.011           O046100200156 
      13.45      165.4       2.45      0.284      0.014           O046100200157 
      13.45      165.8         0.      0.175      0.023           O046100200158 
      14.25       15.8         0.       0.33       0.04           O046100200159 
      14.25       19.8         0.       0.43       0.03           O046100200160 
      14.25       20.5        2.2      0.449       0.03           O046100200161 
      14.25       21.2       2.45      0.303      0.026           O046100200162 
      14.25       21.7        1.8      0.173      0.014           O046100200163 
      14.25       30.7       2.45      0.269      0.022           O046100200164 
      14.25       30.8        1.8      0.163      0.006           O046100200165 
      14.25       31.5         0.      0.528      0.027           O046100200166 
      14.25       33.1        2.2      0.169      0.021           O046100200167 
      14.25       40.5         0.      0.547      0.025           O046100200168 
      14.25       41.2        1.8      0.127      0.005           O046100200169 
      14.25       42.1       2.45      0.243      0.019           O046100200170 
      14.25        43.        2.2      0.141      0.013           O046100200171 
      14.25       51.1        1.8      0.117      0.007           O046100200172 
      14.25       51.6         0.      0.483      0.028           O046100200173 
      14.25       52.2       2.45      0.285      0.019           O046100200174 
      14.25       52.4        2.2      0.132      0.017           O046100200175 
      14.25       61.4         0.      0.368      0.022           O046100200176 
      14.25       61.5       2.45      0.305       0.02           O046100200177 
      14.25       61.8        1.8      0.102      0.007           O046100200178 
      14.25        62.        2.2      0.125      0.014           O046100200179 
      14.25       71.8         0.      0.321      0.019           O046100200180 
      14.25       71.8        1.8      0.093      0.003           O046100200181 
      14.25       71.8        2.2      0.139      0.013           O046100200182 
      14.25        72.       2.45      0.279      0.015           O046100200183 
      14.25       81.4         0.      0.311      0.007           O046100200184 
      14.25       81.6       2.45      0.284      0.018           O046100200185 
      14.25       82.1        1.8      0.079      0.003           O046100200186 
      14.25       82.3        2.2      0.102      0.016           O046100200187 
      14.25       92.1        1.8      0.075      0.005           O046100200188 
      14.25       92.2        2.2      0.119      0.016           O046100200189 
      14.25       92.5         0.      0.323      0.007           O046100200190 
      14.25       92.5       2.45      0.254      0.019           O046100200191 
      14.25      101.3         0.      0.386      0.014           O046100200192 
      14.25       102.        1.8      0.067      0.004           O046100200193 
      14.25      110.5        2.2      0.151      0.014           O046100200194 
      14.25      112.2         0.      0.431       0.02           O046100200195 
      14.25       113.       2.45      0.267       0.02           O046100200196 
      14.25      113.1        1.8      0.072      0.005           O046100200197 
      14.25      120.3        2.2      0.161      0.019           O046100200198 
      14.25      121.5        1.8      0.102      0.006           O046100200199 
      14.25      121.6         0.      0.376      0.023           O046100200200 
      14.25      122.5       2.45      0.265      0.025           O046100200201 
      14.25      130.9        2.2      0.173      0.024           O046100200202 
      14.25      131.4        1.8      0.113      0.006           O046100200203 
      14.25      131.7         0.      0.375      0.017           O046100200204 
      14.25      132.5       2.45      0.272      0.022           O046100200205 
      14.25      141.1        2.2      0.213      0.016           O046100200206 
      14.25      141.2        1.8      0.119      0.009           O046100200207 
      14.25      141.6         0.      0.268      0.017           O046100200208 
      14.25      141.7       2.45      0.285      0.029           O046100200209 
      14.25      149.6        2.2      0.236      0.013           O046100200210 
      14.25      150.3        1.8      0.138      0.008           O046100200211 
      14.25      151.1         0.      0.229      0.013           O046100200212 
      14.25      151.7       2.45      0.316      0.024           O046100200213 
      14.25      159.2        1.8       0.17      0.012           O046100200214 
      14.25      160.1       2.45      0.337      0.027           O046100200215 
      14.25      160.4         0.      0.308      0.014           O046100200216 
      14.25      160.4        2.2      0.216       0.02           O046100200217 
      14.25       165.        1.8      0.189      0.013           O046100200218 
      14.25      165.2         0.      0.365      0.012           O046100200219 
      14.25      165.7       2.45       0.34       0.04           O046100200220 
      14.25      165.9        2.2      0.142      0.027           O046100200221 
ENDDATA            205          0                                 O046100200222 
ENDSUBENT          221          0                                 O046100299999 
SUBENT        O0461003   20000426                             0000O046100300001 
BIB                  5          9                                 O046100300002 
REACTION   (28-NI-60(P,A)27-CO-57,PAR,DA)                         O046100300003 
EN-SEC     (E-LVL,27-CO-57)                                       O046100300004 
SAMPLE     Selfsupporting Metallic Foils of Ni-60,Enrichment-98%, O046100300005 
           Thickness 0.071 Mg/Cm**2,were Used.                    O046100300006 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O046100300007 
           (ANG-ERR).Data-Point Reader Uncertainty.               O046100300008 
COMMENT    - By Compiler - 1.60 MeV Level of Co-57 has Been       O046100300009 
           Remarked As Questionable Level by Authors.             O046100300010 
           2.21 MeV Level is Absent in ENSDF.                     O046100300011 
ENDBIB               9          0                                 O046100300012 
COMMON               1          3                                 O046100300013 
ANG-ERR                                                           O046100300014 
ADEG                                                              O046100300015 
        0.8                                                       O046100300016 
ENDCOMMON            3          0                                 O046100300017 
DATA                 5        307                                 O046100300018 
EN         ANG-CM     E-LVL      DATA-CM    ERR-T                 O046100300019 
MEV        ADEG       MEV        MB/SR      MB/SR                 O046100300020 
      10.02       18.5         0.      0.629      0.007           O046100300021 
      10.02       19.5       2.08      0.107      0.009           O046100300022 
      10.02       19.6       2.21      0.073      0.012           O046100300023 
      10.02       19.8        1.6      0.057      0.018           O046100300024 
      10.02       20.2       1.89      0.117      0.014           O046100300025 
      10.02       20.4       1.37      0.081      0.015           O046100300026 
      10.02       20.8       1.49      0.315      0.015           O046100300027 
      10.02       22.1       1.77      0.205      0.009           O046100300028 
      10.02       28.8         0.      0.672      0.008           O046100300029 
      10.02       30.1       1.37      0.088      0.016           O046100300030 
      10.02       30.1       2.21      0.068      0.007           O046100300031 
      10.02       30.6        1.6      0.054      0.013           O046100300032 
      10.02       30.9       2.08       0.07      0.009           O046100300033 
      10.02        31.       1.49      0.233      0.023           O046100300034 
      10.02       31.3       1.89       0.13      0.013           O046100300035 
      10.02       31.7       1.77      0.168      0.015           O046100300036 
      10.02       39.7         0.      0.663       0.01           O046100300037 
      10.02       40.7       1.49       0.19      0.016           O046100300038 
      10.02       40.8       2.21      0.069      0.005           O046100300039 
      10.02       41.1       2.08      0.077       0.01           O046100300040 
      10.02       41.2        1.6       0.07      0.014           O046100300041 
      10.02       41.3       1.37        0.1      0.013           O046100300042 
      10.02       41.3       1.89      0.141      0.013           O046100300043 
      10.02       42.5       1.77      0.171      0.017           O046100300044 
      10.02       50.1       2.21      0.073      0.009           O046100300045 
      10.02       50.5       1.37      0.113      0.017           O046100300046 
      10.02       50.6         0.      0.614      0.011           O046100300047 
      10.02       51.1        1.6      0.073      0.016           O046100300048 
      10.02       51.2       1.89      0.132       0.01           O046100300049 
      10.02       51.4       2.08      0.071      0.007           O046100300050 
      10.02       51.7       1.49      0.166      0.021           O046100300051 
      10.02       52.6       1.77      0.148      0.016           O046100300052 
      10.02       59.9       2.21      0.061       0.01           O046100300053 
      10.02       60.8       1.37      0.112      0.011           O046100300054 
      10.02        61.         0.      0.496      0.011           O046100300055 
      10.02       61.1       2.08      0.066      0.008           O046100300056 
      10.02       61.2       1.77      0.157      0.018           O046100300057 
      10.02       61.2       1.89      0.117      0.012           O046100300058 
      10.02       61.5        1.6      0.064      0.017           O046100300059 
      10.02       61.7       1.37      0.111      0.013           O046100300060 
      10.02       62.1       1.49      0.208      0.016           O046100300061 
      10.02       69.6       1.37      0.112      0.011           O046100300062 
      10.02       70.1       2.08      0.073      0.008           O046100300063 
      10.02       70.5       2.21      0.052      0.007           O046100300064 
      10.02       70.7       1.89      0.145      0.013           O046100300065 
      10.02       70.8       1.77      0.131      0.013           O046100300066 
      10.02       70.9         0.      0.397      0.007           O046100300067 
      10.02       71.5        1.6      0.044      0.015           O046100300068 
      10.02       72.1       1.49      0.221       0.02           O046100300069 
      10.02       80.1         0.        0.4       0.01           O046100300070 
      10.02       80.5        1.6      0.048      0.015           O046100300071 
      10.02       80.6       1.89      0.169      0.013           O046100300072 
      10.02       80.8       2.21      0.052      0.005           O046100300073 
      10.02       81.3       2.08      0.059      0.007           O046100300074 
      10.02       82.1       1.37      0.128      0.013           O046100300075 
      10.02       82.1       1.49      0.229      0.019           O046100300076 
      10.02       82.5       1.77      0.132      0.016           O046100300077 
      10.02       90.5       1.89      0.213      0.011           O046100300078 
      10.02       90.8       2.21      0.054      0.008           O046100300079 
      10.02       90.9         0.       0.44       0.01           O046100300080 
      10.02       91.2        1.6      0.053      0.013           O046100300081 
      10.02       91.3       1.49       0.19      0.015           O046100300082 
      10.02       91.3       2.08      0.076      0.007           O046100300083 
      10.02       91.4       1.37      0.133      0.012           O046100300084 
      10.02       92.5       1.77      0.106      0.013           O046100300085 
      10.02      100.5       1.89      0.224      0.011           O046100300086 
      10.02      100.5       2.21       0.07      0.009           O046100300087 
      10.02      100.6         0.      0.527      0.011           O046100300088 
      10.02       101.       1.49      0.145      0.023           O046100300089 
      10.02      101.1        1.6      0.062      0.015           O046100300090 
      10.02      101.1       2.08      0.057      0.009           O046100300091 
      10.02      101.6       1.37      0.144      0.014           O046100300092 
      10.02      101.6       1.77      0.113      0.016           O046100300093 
      10.02       110.       2.21      0.069      0.008           O046100300094 
      10.02      110.4       1.89      0.219      0.011           O046100300095 
      10.02      111.4       1.37       0.14      0.015           O046100300096 
      10.02      111.5         0.      0.535       0.01           O046100300097 
      10.02      111.6       2.08      0.069      0.008           O046100300098 
      10.02      111.9       1.49      0.185       0.02           O046100300099 
      10.02      112.4       1.77      0.132      0.014           O046100300100 
      10.02      112.7        1.6      0.058      0.015           O046100300101 
      10.02      119.8       1.37      0.146      0.013           O046100300102 
      10.02      120.1       2.21      0.083       0.01           O046100300103 
      10.02      120.5        1.6      0.056      0.012           O046100300104 
      10.02      120.8       1.89      0.195      0.011           O046100300105 
      10.02      121.3         0.      0.486      0.008           O046100300106 
      10.02      121.9       1.49      0.199      0.015           O046100300107 
      10.02      121.9       1.77      0.154      0.017           O046100300108 
      10.02      122.4       2.08      0.076      0.008           O046100300109 
      10.02      129.5       2.08      0.098      0.009           O046100300110 
      10.02      130.1       2.21      0.086       0.01           O046100300111 
      10.02      130.5       1.37      0.153      0.016           O046100300112 
      10.02      130.7       1.89       0.21      0.024           O046100300113 
      10.02      131.2        1.6      0.056       0.01           O046100300114 
      10.02      131.4       1.49      0.228       0.02           O046100300115 
      10.02      131.4       1.77       0.16      0.018           O046100300116 
      10.02      132.3         0.      0.425      0.007           O046100300117 
      10.02      139.5       2.21      0.085      0.012           O046100300118 
      10.02      140.5       2.08      0.093      0.009           O046100300119 
      10.02      140.6        1.6      0.063      0.016           O046100300120 
      10.02       141.       1.37      0.181      0.015           O046100300121 
      10.02      141.1       1.89      0.222      0.022           O046100300122 
      10.02      141.3       1.77      0.199      0.021           O046100300123 
      10.02      141.4       1.49      0.257      0.015           O046100300124 
      10.02      141.5         0.      0.405      0.005           O046100300125 
      10.02      149.5       1.89      0.192      0.015           O046100300126 
      10.02      149.6       2.08      0.103      0.014           O046100300127 
      10.02       150.       2.21       0.09      0.011           O046100300128 
      10.02      150.1         0.      0.364      0.007           O046100300129 
      10.02      150.2       1.37      0.193      0.019           O046100300130 
      10.02      151.2       1.77      0.194      0.016           O046100300131 
      10.02      151.4       1.49      0.302      0.017           O046100300132 
      10.02      151.7        1.6      0.092      0.023           O046100300133 
      10.02      157.8       1.89      0.166      0.018           O046100300134 
      10.02       159.       2.21      0.097      0.014           O046100300135 
      10.02      159.8       1.37      0.163      0.022           O046100300136 
      10.02      159.9         0.       0.41       0.01           O046100300137 
      10.02      160.4       1.77      0.175      0.017           O046100300138 
      10.02      160.8       1.49       0.39       0.03           O046100300139 
      10.02      160.8       2.08      0.118      0.017           O046100300140 
      10.02      161.1        1.6      0.091      0.026           O046100300141 
      12.19       18.6         0.      0.436      0.005           O046100300142 
      12.19       29.7       1.89      0.155      0.013           O046100300143 
      12.19       30.1         0.      0.493      0.007           O046100300144 
      12.19       30.3       1.37      0.193      0.021           O046100300145 
      12.19       30.4        1.6      0.119      0.021           O046100300146 
      12.19       30.4       2.21      0.086       0.01           O046100300147 
      12.19       30.7       2.08       0.08      0.013           O046100300148 
      12.19       30.8       1.49      0.133      0.028           O046100300149 
      12.19       31.3       1.77       0.16      0.011           O046100300150 
      12.19       40.2       2.08      0.091      0.014           O046100300151 
      12.19       40.3       2.21      0.088      0.012           O046100300152 
      12.19       40.4         0.      0.441      0.008           O046100300153 
      12.19       40.7       1.37      0.176      0.018           O046100300154 
      12.19       41.2       1.89      0.193      0.021           O046100300155 
      12.19       41.6       1.49       0.15       0.04           O046100300156 
      12.19       41.7        1.6      0.095      0.017           O046100300157 
      12.19       42.5       1.77      0.168      0.012           O046100300158 
      12.19       50.2         0.      0.363      0.007           O046100300159 
      12.19       50.3       2.08      0.102      0.017           O046100300160 
      12.19       50.7       1.89      0.217      0.016           O046100300161 
      12.19       50.8       2.21      0.087      0.011           O046100300162 
      12.19       50.9       1.49      0.119      0.019           O046100300163 
      12.19       51.3       1.37      0.124      0.016           O046100300164 
      12.19       52.1       1.77      0.153       0.01           O046100300165 
      12.19        53.        1.6      0.072      0.015           O046100300166 
      12.19       59.4         0.      0.343      0.008           O046100300167 
      12.19       60.5       2.21      0.094      0.013           O046100300168 
      12.19       60.7       1.37       0.12      0.011           O046100300169 
      12.19       60.7       1.89      0.232      0.013           O046100300170 
      12.19       60.8       1.77      0.153       0.02           O046100300171 
      12.19       60.9       1.49      0.093      0.019           O046100300172 
      12.19       61.3       2.08      0.136      0.019           O046100300173 
      12.19        62.        1.6      0.063      0.018           O046100300174 
      12.19       69.2         0.      0.334      0.005           O046100300175 
      12.19       70.1       1.49      0.088      0.015           O046100300176 
      12.19       70.2       1.89      0.248      0.017           O046100300177 
      12.19       70.6        1.6      0.055       0.01           O046100300178 
      12.19       70.8       2.21      0.088      0.015           O046100300179 
      12.19       71.6       1.37      0.103      0.011           O046100300180 
      12.19       71.6       2.08      0.138      0.019           O046100300181 
      12.19       71.7       1.77      0.115      0.017           O046100300182 
      12.19       80.2       1.89      0.255      0.017           O046100300183 
      12.19       80.7       1.37      0.133      0.011           O046100300184 
      12.19       81.1       2.21      0.072      0.009           O046100300185 
      12.19       81.3         0.       0.25      0.007           O046100300186 
      12.19       81.4        1.6      0.039      0.011           O046100300187 
      12.19       81.5       1.49      0.071      0.006           O046100300188 
      12.19       81.5       2.08      0.128      0.012           O046100300189 
      12.19        82.       1.77      0.153      0.017           O046100300190 
      12.19       89.7       1.89      0.226      0.014           O046100300191 
      12.19       89.9         0.      0.244      0.006           O046100300192 
      12.19       90.7       1.49      0.071      0.015           O046100300193 
      12.19       90.8       1.37      0.151      0.015           O046100300194 
      12.19        91.       2.08      0.122      0.014           O046100300195 
      12.19       91.4       2.21      0.102      0.015           O046100300196 
      12.19       91.7        1.6      0.023      0.008           O046100300197 
      12.19       92.4       1.77      0.174      0.015           O046100300198 
      12.19       99.7         0.      0.238      0.005           O046100300199 
      12.19       99.7       2.21      0.144      0.014           O046100300200 
      12.19      100.9       1.89      0.226      0.014           O046100300201 
      12.19      101.2       2.08      0.121      0.017           O046100300202 
      12.19      101.6       1.49       0.07      0.015           O046100300203 
      12.19      101.9       1.37      0.166      0.017           O046100300204 
      12.19      101.9       1.77      0.178      0.015           O046100300205 
      12.19      102.3        1.6      0.033      0.011           O046100300206 
      12.19      109.8       2.21      0.141       0.02           O046100300207 
      12.19      110.4       1.89      0.231      0.021           O046100300208 
      12.19      110.6         0.      0.235      0.006           O046100300209 
      12.19      111.1       1.37      0.179      0.016           O046100300210 
      12.19      111.1       2.08      0.141      0.022           O046100300211 
      12.19      111.2       1.49      0.081      0.026           O046100300212 
      12.19      112.1        1.6       0.04      0.015           O046100300213 
      12.19      112.3       1.77      0.163      0.021           O046100300214 
      12.19      119.7       2.21      0.143      0.019           O046100300215 
      12.19      119.9       1.89      0.252      0.025           O046100300216 
