ENTRY            O1969   20120221                             O047O196900000001 
SUBENT        O1969001   20120221                             O047O196900100001 
BIB                 12         37                                 O196900100002 
TITLE      Proton elastic scattering differential cross-section   O196900100003 
           measurements of Sc-45.                                 O196900100004 
AUTHOR     (G.Provatas, A.Lagoyannis, S.Harissopulos, V.Foteinou, O196900100005 
           T.Konstantinopoulos, P.Misaelides, M.Kokkoris)         O196900100006 
INSTITUTE  (2GRCATH)                                              O196900100007 
           (2GRCARU)                                              O196900100008 
           (2GRCTUA)                                              O196900100009 
REFERENCE  (J,NIM/B,269,2994,2011)                                O196900100010 
FACILITY   (VDGT,2GRCATH) 5.5 MV Tandem Accelerator of N.C.S.R.   O196900100011 
                         "Demokritos"                             O196900100012 
SAMPLE     A thin self-supporting target was prepared by          O196900100013 
           evaporating ScBr(3) onto a carbon foil of 10 mug/cm**2 O196900100014 
           and placed inside a goniometric chamber. A thin gold   O196900100015 
           layer was evaporated on top of the Sc-Br layer in orderO196900100016 
           to calculate the beam current and to ensure better     O196900100017 
           thermal stability of the target during the irradiation.O196900100018 
           for energy range 2300-5500 keV                         O196900100019 
           The ScBr3 target was replaced by a thick approx. 0.2 cmO196900100020 
           pressed Sc(2)O(3) target. For this measurement the     O196900100021 
           thick target was irradiated for proton energies in the O196900100022 
           range E(lab)=3100-5500 keV                             O196900100023 
           The target was found to consist of 10.6+-0.9 mug/cm**2 O196900100024 
           Sc-45, 19+-2 mug/cm**2 of Br-nat                       O196900100025 
           and 9.1+-0.6 mug/cm**2 of Au-197                       O196900100026 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA,,RTH)                    O196900100027 
DETECTOR   (SIBAR) three Si surface barrier detectors with        O196900100028 
           a 300-1000 mum depletion layer for first type of targetO196900100029 
           and single Si surface barrier detector for Sc(2)O(3)   O196900100030 
           target                                                 O196900100031 
METHOD     (BCINT)                                                O196900100032 
ERR-ANALYS (EN-ERR).The error is reported by authors in table     O196900100033 
           (ERR-1,7.,8.).The error in areal densities of the Au   O196900100034 
           and Sc layers of the target                            O196900100035 
           (DATA-ERR).The uncertainty is reported by authors in   O196900100036 
           table.                                                 O196900100037 
STATUS     (TABLE).Table 1 of J,NIM/B,269,2994,2011               O196900100038 
HISTORY    (20120222C) sb                                         O196900100039 
ENDBIB              37          0                                 O196900100040 
NOCOMMON             0          0                                 O196900100041 
ENDSUBENT           40          0                                 O196900199999 
SUBENT        O1969002   20120222                             O047O196900200001 
BIB                  1          1                                 O196900200002 
REACTION   (21-SC-45(P,EL)21-SC-45,,DA)                           O196900200003 
ENDBIB               1          0                                 O196900200004 
NOCOMMON             0          0                                 O196900200005 
DATA                 5        266                                 O196900200006 
ANG        EN         EN-ERR     DATA       DATA-ERR              O196900200007 
160.       4542.      5.         36.        4.                    O196900200140 
160.       4567.      5.         39.        4.                    O196900200141 
160.       4592.      5.         39.        4.                    O196900200142 
160.       4618.      5.         38.        4.                    O196900200143 
160.       4643.      5.         40.        4.                    O196900200144 
160.       4668.      5.         38.        4.                    O196900200145 
160.       4693.      5.         41.        4.                    O196900200146 
160.       4718.      5.         42.        4.                    O196900200147 
160.       4743.      5.         38.        4.                    O196900200148 
160.       4768.      5.         38.        4.                    O196900200149 
160.       4793.      5.         34.        3.                    O196900200150 
160.       4818.      5.         38.        4.                    O196900200151 
160.       4843.      5.         39.        4.                    O196900200152 
160.       4868.      5.         42.        4.                    O196900200153 
160.       4893.      5.         36.        4.                    O196900200154 
160.       4918.      5.         38.        4.                    O196900200155 
160.       4943.      5.         32.        3.                    O196900200156 
160.       4968.      5.         35.        4.                    O196900200157 
160.       4993.      5.         36.        4.                    O196900200158 
160.       5018.      5.         35.        4.                    O196900200159 
160.       5043.      5.         34.        3.                    O196900200160 
160.       5068.      5.         36.        4.                    O196900200161 
160.       5093.      5.         35.        4.                    O196900200162 
160.       5118.      5.         44.        5.                    O196900200163 
160.       5143.      5.         37.        4.                    O196900200164 
160.       5168.      5.         41.        4.                    O196900200165 
160.       5193.      5.         34.        3.                    O196900200166 
160.       5218.      5.         39.        4.                    O196900200167 
160.       5243.      5.         41.        4.                    O196900200168 
160.       5268.      5.         33.        4.                    O196900200169 
160.       5293.      5.         36.        4.                    O196900200170 
160.       5318.      5.         40.        4.                    O196900200171 
160.       5343.      5.         37.        4.                    O196900200172 
160.       5368.      5.         35.        4.                    O196900200173 
160.       5393.      5.         33.        3.                    O196900200174 
160.       5418.      5.         34.        3.                    O196900200175 
160.       5443.      5.         28.        3.                    O196900200176 
160.       5468.      5.         33.        3.                    O196900200177 
160.       5493.      5.         34.        3.                    O196900200178 
170.       2289.      7.         107.       11.                   O196900200179 
170.       2339.      7.         101.       11.                   O196900200180 
170.       2390.      7.         91.        10.                   O196900200181 
170.       2440.      7.         89.        9.                    O196900200182 
170.       2490.      7.         93.        10.                   O196900200183 
170.       2540.      7.         91.        9.                    O196900200184 
170.       2590.      7.         81.        9.                    O196900200185 
170.       2640.      7.         79.        8.                    O196900200186 
170.       2690.      7.         74.        8.                    O196900200187 
170.       2740.      7.         76.        8.                    O196900200188 
170.       2790.      7.         70.        7.                    O196900200189 
170.       2840.      7.         64.        7.                    O196900200190 
170.       2890.      7.         64.        7.                    O196900200191 
170.       2940.      7.         64.        7.                    O196900200192 
170.       2990.      7.         65.        7.                    O196900200193 
170.       3041.      6.         59.        6.                    O196900200194 
170.       3091.      6.         56.        6.                    O196900200195 
170.       3141.      6.         49.        5.                    O196900200196 
