ENTRY            O2440   20200108                             O075O2440  0    1 
SUBENT        O2440001   20200108                             O075O2440  1    1 
BIB                  9         17                                 O2440  1    2 
TITLE      High-resolution (p,t) study of low-spin states in      O2440  1    3 
           240Pu: Octupole excitations, alpha clustering, and     O2440  1    4 
           other structure features                               O2440  1    5 
AUTHOR     (M.Spieker,S.Pascu,D.Bucurescu,T.M.Shneidman,          O2440  1    6 
           T.Faestermann,R.Hertenberger,H.-F.Wirth,N.-V.Zamfir,   O2440  1    7 
           A.Zilges)                                              O2440  1    8 
INSTITUTE  (2GERKLN,3RUMBUC,4ZZZDUB,2GERMUN,2GERLMU)              O2440  1    9 
           (4RUSRUS) Kazan Federal University, Kazan 420008       O2440  1   10 
REFERENCE  (J,PR/C,97,064319,2018)                                O2440  1   11 
           #doi:10.1103/PhysRevC.97.064319                        O2440  1   12 
FACILITY   (VDGT,2GERMUN)                                         O2440  1   13 
SAMPLE     A 120 ug/cm2 thick and highly enriched 99.93% 240Pu    O2440  1   14 
           target (T1/2 = 3.75x10**5 years)                       O2440  1   15 
DETECTOR   (MAGSP) Q3D magnetic spectrograph with energy          O2440  1   16 
           resolution of less than 10 keV.                        O2440  1   17 
METHOD     (EDE)                                                  O2440  1   18 
HISTORY    (20200108C) VS                                         O2440  1   19 
ENDBIB              17          0                                 O2440  1   20 
COMMON               1          3                                 O2440  1   21 
EN                                                                O2440  1   22 
MEV                                                               O2440  1   23 
        24.                                                       O2440  1   24 
ENDCOMMON            3          0                                 O2440  1   25 
ENDSUBENT           24          0                                 O2440  199999 
SUBENT        O2440002   20200108                             O075O2440  2    1 
BIB                  4          7                                 O2440  2    2 
REACTION   (94-PU-242(P,T)94-PU-240,PAR,DA)                       O2440  2    3 
MISC-COL   (MISC) Uncertainty in the level energy                 O2440  2    4 
ERR-ANALYS (DATA-ERR) No information on sources of uncertainties. O2440  2    5 
STATUS     (UNOBT) An e-mail for numerical data sent to           O2440  2    6 
           M. Spieker on 10.01.2020                               O2440  2    7 
           (CURVE) Data scanned from Figs. 4, 5 and 6 of          O2440  2    8 
           Phys.Rev.C97(2018)064319                               O2440  2    9 
ENDBIB               7          0                                 O2440  2   10 
NOCOMMON             0          0                                 O2440  2   11 
DATA                 5        560                                 O2440  2   12 
E-LVL      MISC       ANG        DATA       DATA-ERR              O2440  2   13 
      597.2        0.4       10.1      0.472      0.074           O2440  2   53 
      597.2        0.4       15.1      0.634      0.048           O2440  2   54 
      597.2        0.4       20.2      0.811      0.063           O2440  2   55 
      597.2        0.4       25.2      0.572      0.052           O2440  2   56 
      597.2        0.4       30.2      0.432      0.044           O2440  2   57 
      597.2        0.4       35.2      0.214      0.030           O2440  2   58 
      597.2        0.4       40.3      0.129      0.026           O2440  2   59 
      648.8        0.4        5.1      0.670      0.082           O2440  2   60 
      648.8        0.4        7.6      1.292      0.123           O2440  2   61 
      648.8        0.4       10.1      1.619      0.147           O2440  2   62 
      648.8        0.4       15.1      2.174      0.090           O2440  2   63 
      648.8        0.4       20.2      1.798      0.090           O2440  2   64 
      648.8        0.4       25.2      1.283      0.074           O2440  2   65 
      648.8        0.4       30.2      0.728      0.065           O2440  2   66 
      648.8        0.4       35.2      1.136      0.074           O2440  2   67 
      648.8        0.4       40.3      1.529      0.065           O2440  2   68 
      745.3        0.8        5.1      0.320      0.063           O2440  2   69 
      745.3        0.8        7.6      0.280      0.049           O2440  2   70 
      745.3        0.8       10.1      0.331      0.060           O2440  2   71 
      745.3        0.8       15.1      0.211      0.031           O2440  2   72 
      745.3        0.8       20.2      0.460      0.049           O2440  2   73 
      745.3        0.8       25.2      0.543      0.046           O2440  2   74 
      745.3        0.8       30.2      0.460      0.043           O2440  2   75 
      745.3        0.8       35.2      0.403      0.049           O2440  2   76 
      745.3        0.8       40.3      0.280      0.029           O2440  2   77 
      861.2        0.1        5.1       43.9        0.9           O2440  2   78 
      861.2        0.1        7.6       31.8        0.6           O2440  2   79 
      861.2        0.1       10.1       13.0        0.4           O2440  2   80 
      861.2        0.1       15.2        4.8        0.1           O2440  2   81 
      861.2        0.1       20.2       24.1        0.4           O2440  2   82 
      861.2        0.1       25.3       42.2        0.4           O2440  2   83 
      861.2        0.1       30.3       27.3        0.3           O2440  2   84 
      861.2        0.1       35.3       10.2        0.3           O2440  2   85 
      861.2        0.1       40.4        8.7        0.1           O2440  2   86 
      901.1        0.1        5.0      22.37       0.69           O2440  2   87 
      901.1        0.1        7.5      24.37       0.48           O2440  2   88 
      901.1        0.1       10.0      20.11       0.62           O2440  2   89 
      901.1        0.1       15.1      12.62       0.28           O2440  2   90 
      901.1        0.1       20.2       4.85       0.21           O2440  2   91 
      901.1        0.1       25.2       3.48       0.14           O2440  2   92 
      901.1        0.1       30.2       4.52       0.21           O2440  2   93 
      901.1        0.1       35.3       6.25       0.14           O2440  2   94 
      901.1        0.1       40.3       4.75       0.21           O2440  2   95 
      938.2        0.3        5.0      0.680      0.090           O2440  2   96 
      938.2        0.3        7.5      0.741      0.082           O2440  2   97 
      938.2        0.3       10.0      0.373      0.061           O2440  2   98 
      938.2        0.3       15.1      0.401      0.041           O2440  2   99 
      938.2        0.3       20.1      0.741      0.061           O2440  2  100 
      938.2        0.3       25.2      0.774      0.057           O2440  2  101 
      938.2        0.3       30.2      0.561      0.111           O2440  2  102 
      938.2        0.3       35.3      0.369      0.041           O2440  2  103 
      938.2        0.3       40.3      0.299      0.029           O2440  2  104 
      959.4        0.5        7.5      0.200      0.045           O2440  2  105 
      959.4        0.5       10.0      0.273      0.049           O2440  2  106 
      959.4        0.5       15.1      0.420      0.045           O2440  2  107 
      959.4        0.5       20.1      0.563      0.053           O2440  2  108 
      959.4        0.5       25.2      0.392      0.045           O2440  2  109 
      959.4        0.5       30.2      0.212      0.049           O2440  2  110 
      959.4        0.5       35.3      0.151      0.024           O2440  2  111 
      959.4        0.5       40.3      0.102      0.024           O2440  2  112 
      993.2        0.4        5.0      0.501      0.100           O2440  2  113 
      993.2        0.4        7.6      1.171      0.114           O2440  2  114 
      993.2        0.4       10.0      1.233      0.135           O2440  2  115 
      993.2        0.4       15.1      1.354      0.073           O2440  2  116 
      993.2        0.4       20.1      1.081      0.079           O2440  2  117 
      993.2        0.4       25.1      0.791      0.059           O2440  2  118 
      993.2        0.4       30.1      0.269      0.038           O2440  2  119 
      993.2        0.4       35.2      0.280      0.041           O2440  2  120 
      993.2        0.4       40.2      0.307      0.031           O2440  2  121 
     1002.3        0.3        5.0       5.76       0.31           O2440  2  122 
     1002.3        0.3        7.5       5.87       0.23           O2440  2  123 
     1002.3        0.3       10.1       5.21       0.27           O2440  2  124 
     1002.3        0.3       15.1       5.03       0.14           O2440  2  125 
     1002.3        0.3       20.2       3.45       0.12           O2440  2  126 
     1002.3        0.3       25.2       2.69       0.10           O2440  2  127 
     1002.3        0.3       30.2       2.85       0.08           O2440  2  128 
     1002.3        0.3       35.3       3.65       0.12           O2440  2  129 
     1002.3        0.3       40.3       3.53       0.10           O2440  2  130 
     1033.3        0.5       15.1      0.412      0.037           O2440  2  131 
     1033.3        0.5       20.2      0.629      0.064           O2440  2  132 
     1033.3        0.5       25.2      0.532      0.048           O2440  2  133 
     1033.3        0.5       30.2      0.310      0.041           O2440  2  134 
     1033.3        0.5       40.3      0.182      0.021           O2440  2  135 
     1077.2        0.1        5.0     13.284      0.563           O2440  2  136 
     1077.2        0.1        7.6     13.449      0.497           O2440  2  137 
     1077.2        0.1       10.1      8.447      0.464           O2440  2  138 
     1077.2        0.1       15.2      5.996      0.265           O2440  2  139 
     1077.2        0.1       20.1      5.300      0.265           O2440  2  140 
     1077.2        0.1       25.2      5.168      0.265           O2440  2  141 
     1077.2        0.1       30.2      2.319      0.265           O2440  2  142 
     1077.2        0.1       35.2      0.928      0.199           O2440  2  143 
     1077.2        0.1       40.3      1.292      0.166           O2440  2  144 
     1090.3        0.1        5.0       32.7        0.8           O2440  2  145 
     1090.3        0.1        7.6       29.0        0.6           O2440  2  146 
     1090.3        0.1       10.1       14.2        0.4           O2440  2  147 
     1090.3        0.1       15.1        2.7        0.2           O2440  2  148 
     1090.3        0.1       20.1        5.2        0.2           O2440  2  149 
     1090.3        0.1       25.2       11.5        0.3           O2440  2  150 
     1090.3        0.1       30.2       10.2        0.2           O2440  2  151 
     1090.3        0.1       35.3        6.3        0.2           O2440  2  152 
     1090.3        0.1       40.3        3.6        0.1           O2440  2  153 
     1115.7        0.5        5.0      4.609      0.483           O2440  2  154 
     1115.7        0.5        7.5      1.897      0.241           O2440  2  155 
     1115.7        0.5       10.1      0.736      0.092           O2440  2  156 
     1115.7        0.5       15.1      0.575      0.057           O2440  2  157 
     1115.7        0.5       20.1      0.586      0.057           O2440  2  158 
     1115.7        0.5       25.2      0.989      0.069           O2440  2  159 
     1115.7        0.5       30.2      0.793      0.057           O2440  2  160 
     1115.7        0.5       35.3      0.540      0.057           O2440  2  161 
     1115.7        0.5       40.3      0.218      0.034           O2440  2  162 
     1131.9        0.1        5.0       8.34       0.41           O2440  2  163 
     1131.9        0.1        7.5      17.66       0.69           O2440  2  164 
     1131.9        0.1       10.1      23.03       0.90           O2440  2  165 
     1131.9        0.1       15.1      28.83       0.55           O2440  2  166 
     1131.9        0.1       20.2      19.38       0.55           O2440  2  167 
     1131.9        0.1       25.2      18.90       0.55           O2440  2  168 
     1131.9        0.1       30.2      17.66       0.41           O2440  2  169 
     1131.9        0.1       35.3      19.38       0.62           O2440  2  170 
     1131.9        0.1       40.3      16.07       0.41           O2440  2  171 
     1138.1        0.1        5.0      10.53       0.48           O2440  2  172 
     1138.1        0.1        7.5      19.69       0.69           O2440  2  173 
     1138.1        0.1       10.0      25.13       0.83           O2440  2  174 
     1138.1        0.1       15.1      31.19       0.62           O2440  2  175 
     1138.1        0.1       20.2      25.68       0.48           O2440  2  176 
     1138.1        0.1       25.2      14.32       0.55           O2440  2  177 
     1138.1        0.1       30.2      11.29       0.48           O2440  2  178 
     1138.1        0.1       35.2      16.52       0.48           O2440  2  179 
     1138.1        0.1       40.3      17.83       0.34           O2440  2  180 
     1179.9        0.4        5.0       0.35       0.07           O2440  2  181 
     1179.9        0.4        7.6       0.37       0.06           O2440  2  182 
     1179.9        0.4       10.1       1.21       0.10           O2440  2  183 
     1179.9        0.4       15.1       1.21       0.06           O2440  2  184 
     1179.9        0.4       20.2       1.78       0.09           O2440  2  185 
     1179.9        0.4       25.2       1.45       0.08           O2440  2  186 
     1179.9        0.4       30.2       0.61       0.06           O2440  2  187 
     1179.9        0.4       35.2       0.39       0.04           O2440  2  188 
     1179.9        0.4       40.3       0.42       0.04           O2440  2  189 
     1202.8        0.2        5.0       2.39       0.21           O2440  2  190 
     1202.8        0.2        7.6       3.80       0.18           O2440  2  191 
     1202.8        0.2       10.1       5.85       0.24           O2440  2  192 
     1202.8        0.2       15.1       8.60       0.18           O2440  2  193 
     1202.8        0.2       20.1       8.05       0.21           O2440  2  194 
     1202.8        0.2       25.2       8.54       0.24           O2440  2  195 
     1202.8        0.2       30.2       7.07       0.18           O2440  2  196 
     1202.8        0.2       35.3       7.51       0.24           O2440  2  197 
     1202.8        0.2       40.3       7.06       0.16           O2440  2  198 
     1224.3        0.2        5.0       9.78       0.55           O2440  2  199 
     1224.3        0.2        7.6      15.08       0.61           O2440  2  200 
     1224.3        0.2       10.0      18.45       0.66           O2440  2  201 
     1224.3        0.2       15.1      23.65       0.44           O2440  2  202 
     1224.3        0.2       20.2      16.30       0.33           O2440  2  203 
     1224.3        0.2       25.2      11.27       0.33           O2440  2  204 
     1224.3        0.2       30.2       8.18       0.33           O2440  2  205 
     1224.3        0.2       35.3       9.78       0.33           O2440  2  206 
     1224.3        0.2       40.3      10.39       0.17           O2440  2  207 
     1232.0        0.5        5.0       4.29       0.37           O2440  2  208 
     1232.0        0.5        7.5       4.56       0.46           O2440  2  209 
     1232.0        0.5       10.1       4.62       0.52           O2440  2  210 
     1232.0        0.5       15.1       2.02       0.30           O2440  2  211 
     1232.0        0.5       20.1       2.51       0.25           O2440  2  212 
     1232.0        0.5       25.2       2.40       0.19           O2440  2  213 
     1232.0        0.5       30.2       1.60       0.15           O2440  2  214 
     1232.0        0.5       35.2       1.29       0.19           O2440  2  215 
     1232.0        0.5       40.2       1.50       0.12           O2440  2  216 
     1261.6        0.6       10.1       0.42       0.07           O2440  2  217 
     1261.6        0.6       15.1       0.52       0.05           O2440  2  218 
     1261.6        0.6       20.2       0.58       0.05           O2440  2  219 
     1261.6        0.6       25.2       0.49       0.05           O2440  2  220 
     1261.6        0.6       30.2       0.26       0.04           O2440  2  221 
     1261.6        0.6       40.2       0.20       0.03           O2440  2  222 
     1283.6        0.2        5.1       2.74       0.29           O2440  2  223 
     1283.6        0.2        7.6       3.73       0.25           O2440  2  224 
     1283.6        0.2       10.1       3.10       0.30           O2440  2  225 
     1283.6        0.2       15.2       3.40       0.38           O2440  2  226 
     1283.6        0.2       20.1       2.84       0.19           O2440  2  227 
     1283.6        0.2       25.1       1.15       0.14           O2440  2  228 
     1283.6        0.2       30.2       0.98       0.11           O2440  2  229 
     1283.6        0.2       35.2       1.92       0.15           O2440  2  230 
     1283.6        0.2       40.2       2.57       0.11           O2440  2  231 
     1318.7        0.1        5.0      1.488      0.145           O2440  2  232 
     1318.7        0.1        7.5      1.648      0.121           O2440  2  233 
     1318.7        0.1       10.0      1.252      0.121           O2440  2  234 
     1318.7        0.1       15.1      1.200      0.097           O2440  2  235 
     1318.7        0.1       20.1      1.070      0.082           O2440  2  236 
     1318.7        0.1       25.2      0.969      0.077           O2440  2  237 
     1318.7        0.1       30.2      0.690      0.087           O2440  2  238 
     1318.7        0.1       35.2      0.632      0.053           O2440  2  239 
     1318.7        0.1       40.3      0.575      0.072           O2440  2  240 
     1375.0        0.6        5.0       0.58       0.29           O2440  2  241 
     1375.0        0.6        7.6       1.56       0.21           O2440  2  242 
     1375.0        0.6       10.1       1.32       0.19           O2440  2  243 
     1375.0        0.6       15.1       0.92       0.15           O2440  2  244 
     1375.0        0.6       20.1       1.61       0.15           O2440  2  245 
     1375.0        0.6       25.2       1.25       0.16           O2440  2  246 
     1375.0        0.6       30.2       0.79       0.08           O2440  2  247 
     1375.0        0.6       35.3       0.50       0.34           O2440  2  248 
     1375.0        0.6       40.3       0.51       0.08           O2440  2  249 
     1407.5        0.6        5.1      0.423      0.080           O2440  2  250 
     1407.5        0.6        7.6      0.325      0.049           O2440  2  251 
     1407.5        0.6       10.1      0.445      0.049           O2440  2  252 
     1407.5        0.6       15.1      0.570      0.052           O2440  2  253 
     1407.5        0.6       20.1      0.663      0.058           O2440  2  254 
     1407.5        0.6       25.1      0.553      0.073           O2440  2  255 
     1407.5        0.6       30.1      0.293      0.083           O2440  2  256 
     1407.5        0.6       40.3      0.306      0.031           O2440  2  257 
     1441.4        0.1        5.0      1.048      0.083           O2440  2  258 
     1441.4        0.1        7.6      1.605      0.088           O2440  2  259 
     1441.4        0.1       10.0      2.046      0.110           O2440  2  260 
     1441.4        0.1       15.1      2.244      0.105           O2440  2  261 
     1441.4        0.1       20.2      1.500      0.083           O2440  2  262 
     1441.4        0.1       25.2      1.489      0.110           O2440  2  263 
     1441.4        0.1       30.2      1.279      0.072           O2440  2  264 
     1441.4        0.1       35.2      1.500      0.077           O2440  2  265 
     1441.4        0.1       40.2      1.373      0.072           O2440  2  266 
     1473.0        0.5        5.0       0.28       0.05           O2440  2  267 
     1473.0        0.5        7.6       0.24       0.06           O2440  2  268 
     1473.0        0.5       10.0       0.45       0.10           O2440  2  269 
     1473.0        0.5       15.1       0.50       0.08           O2440  2  270 
     1473.0        0.5       25.2       0.44       0.12           O2440  2  271 
     1473.0        0.5       30.2       0.18       0.06           O2440  2  272 
     1473.0        0.5       35.2       0.39       0.07           O2440  2  273 
     1528.6        0.6        5.1      0.629      0.070           O2440  2  274 
     1528.6        0.6       10.1      0.331      0.081           O2440  2  275 
     1528.6        0.6       15.1      0.610      0.066           O2440  2  276 
     1528.6        0.6       20.2      0.721      0.066           O2440  2  277 
     1528.6        0.6       25.2      0.879      0.088           O2440  2  278 
     1528.6        0.6       30.2      0.588      0.070           O2440  2  279 
     1528.6        0.6       35.3      0.460      0.055           O2440  2  280 
     1528.6        0.6       40.3      0.500      0.044           O2440  2  281 
     1540.1        0.1        5.1       1.30       0.13           O2440  2  282 
     1540.1        0.1        7.6       1.53       0.11           O2440  2  283 
     1540.1        0.1       10.1       1.56       0.10           O2440  2  284 
     1540.1        0.1       15.2       1.87       0.12           O2440  2  285 
     1540.1        0.1       20.2       2.18       0.12           O2440  2  286 
     1540.1        0.1       25.2       1.70       0.13           O2440  2  287 
     1540.1        0.1       30.2       1.67       0.09           O2440  2  288 
     1540.1        0.1       35.3       1.23       0.08           O2440  2  289 
     1540.1        0.1       40.3       1.26       0.07           O2440  2  290 
     1550.3        0.6        5.0       0.28       0.09           O2440  2  291 
     1550.3        0.6        7.5       0.40       0.07           O2440  2  292 
     1550.3        0.6       10.1       0.44       0.07           O2440  2  293 
     1550.3        0.6       15.1       0.52       0.07           O2440  2  294 
     1550.3        0.6       20.1       0.41       0.08           O2440  2  295 
     1550.3        0.6       25.2       0.39       0.09           O2440  2  296 
     1550.3        0.6       40.3       0.36       0.05           O2440  2  297 
     1559.0        0.1        4.9       1.24       0.09           O2440  2  298 
     1559.0        0.1        7.6       1.58       0.11           O2440  2  299 
     1559.0        0.1       10.1       1.92       0.12           O2440  2  300 
     1559.0        0.1       15.1       2.30       0.13           O2440  2  301 
     1559.0        0.1       20.1       2.34       0.10           O2440  2  302 
     1559.0        0.1       25.2       2.12       0.11           O2440  2  303 
     1559.0        0.1       30.2       2.47       0.10           O2440  2  304 
     1559.0        0.1       35.2       2.63       0.10           O2440  2  305 
     1559.0        0.1       40.2       2.91       0.11           O2440  2  306 
     1575.5        0.1        5.0      18.13       0.52           O2440  2  307 
     1575.5        0.1        7.5      15.30       0.47           O2440  2  308 
     1575.5        0.1       10.1      12.29       0.34           O2440  2  309 
     1575.5        0.1       15.1       8.22       0.30           O2440  2  310 
     1575.5        0.1       20.2       9.17       0.26           O2440  2  311 
     1575.5        0.1       25.1       9.13       0.30           O2440  2  312 
     1575.5        0.1       30.2       6.82       0.26           O2440  2  313 
     1575.5        0.1       35.2       3.34       0.21           O2440  2  314 
     1575.5        0.1       40.3       4.29       0.21           O2440  2  315 
     1588.0        0.6        7.5       1.05       0.18           O2440  2  316 
     1588.0        0.6       15.1       0.80       0.12           O2440  2  317 
     1588.0        0.6       20.2       0.74       0.10           O2440  2  318 
     1588.0        0.6       25.2       0.16       0.11           O2440  2  319 
     1588.0        0.6       30.3       0.44       0.09           O2440  2  320 
     1588.0        0.6       35.3       0.37       0.08           O2440  2  321 
     1588.0        0.6       40.4       0.66       0.07           O2440  2  322 
     1612.6        0.2        5.0       0.79       0.07           O2440  2  323 
     1612.6        0.2        7.5       0.93       0.07           O2440  2  324 
     1612.6        0.2       10.0       0.99       0.07           O2440  2  325 
     1612.6        0.2       15.1       1.01       0.07           O2440  2  326 
     1612.6        0.2       20.1       1.05       0.05           O2440  2  327 
     1612.6        0.2       35.2       1.07       0.07           O2440  2  328 
     1612.6        0.2       40.3       1.00       0.05           O2440  2  329 
     1638.6        0.6        5.1      0.904      0.088           O2440  2  330 
     1638.6        0.6        7.6      0.537      0.081           O2440  2  331 
     1638.6        0.6       10.1      0.537      0.132           O2440  2  332 
     1638.6        0.6       15.1      0.824      0.147           O2440  2  333 
     1638.6        0.6       20.2      1.257      0.110           O2440  2  334 
     1638.6        0.6       25.1      1.478      0.103           O2440  2  335 
     1638.6        0.6       30.2      1.765      0.103           O2440  2  336 
     1638.6        0.6       35.2      1.397      0.096           O2440  2  337 
     1638.6        0.6       40.3      0.985      0.199           O2440  2  338 
     1669.5        0.9        5.0       0.38       0.29           O2440  2  339 
     1669.5        0.9        7.5       0.48       0.11           O2440  2  340 
     1669.5        0.9       10.0       0.33       0.14           O2440  2  341 
     1669.5        0.9       15.1       0.53       0.09           O2440  2  342 
     1669.5        0.9       20.1       0.81       0.40           O2440  2  343 
     1669.5        0.9       25.2       1.45       0.20           O2440  2  344 
     1669.5        0.9       30.2       0.56       0.18           O2440  2  345 
     1669.5        0.9       40.3       0.16       0.10           O2440  2  346 
     1674.1        0.4        5.1      0.719      0.331           O2440  2  347 
     1674.1        0.4        7.6      0.718      0.116           O2440  2  348 
     1674.1        0.4       10.1      0.871      0.145           O2440  2  349 
     1674.1        0.4       15.1      1.465      0.116           O2440  2  350 
     1674.1        0.4       20.2      1.420      0.401           O2440  2  351 
     1674.1        0.4       25.2      0.638      0.169           O2440  2  352 
     1674.1        0.4       30.2      1.179      0.186           O2440  2  353 
     1674.1        0.4       35.3      1.178      0.074           O2440  2  354 
     1674.1        0.4       40.3      1.178      0.107           O2440  2  355 
     1686.2        0.4        5.0      0.191      0.061           O2440  2  356 
     1686.2        0.4       10.8      0.252      0.051           O2440  2  357 
     1686.2        0.4       16.5      0.170      0.042           O2440  2  358 
     1686.2        0.4       28.1      0.241      0.059           O2440  2  359 
     1686.2        0.4       33.9      0.468      0.059           O2440  2  360 
     1686.2        0.4       39.6      0.228      0.039           O2440  2  361 
     1686.2        0.4       45.3      0.159      0.049           O2440  2  362 
     1723.5        0.1        5.0       1.10       0.30           O2440  2  363 
     1723.5        0.1        7.5       0.97       0.26           O2440  2  364 
     1723.5        0.1       10.1       2.88       0.15           O2440  2  365 
     1723.5        0.1       15.1       3.31       0.15           O2440  2  366 
     1723.5        0.1       20.1       3.34       0.15           O2440  2  367 
     1723.5        0.1       25.2       3.13       0.24           O2440  2  368 
     1723.5        0.1       30.2       3.11       0.11           O2440  2  369 
     1723.5        0.1       35.2       2.65       0.12           O2440  2  370 
     1723.5        0.1       40.3       2.62       0.12           O2440  2  371 
     1860.8        0.1        5.0      1.231      0.090           O2440  2  372 
     1860.8        0.1        7.6      1.149      0.083           O2440  2  373 
     1860.8        0.1       10.1      1.301      0.090           O2440  2  374 
     1860.8        0.1       15.1      1.813      0.097           O2440  2  375 
     1860.8        0.1       20.1      2.250      0.090           O2440  2  376 
     1860.8        0.1       25.2      2.285      0.118           O2440  2  377 
     1860.8        0.1       30.2      1.726      0.083           O2440  2  378 
     1860.8        0.1       35.2      1.831      0.090           O2440  2  379 
     1860.8        0.1       40.3      1.009      0.062           O2440  2  380 
     1887.3        0.1        5.0       7.19       0.22           O2440  2  381 
     1887.3        0.1        7.6       4.71       0.16           O2440  2  382 
     1887.3        0.1       10.1       2.10       0.11           O2440  2  383 
     1887.3        0.1       15.1       0.90       0.07           O2440  2  384 
     1887.3        0.1       20.1       3.47       0.13           O2440  2  385 
     1887.3        0.1       25.2       4.89       0.16           O2440  2  386 
     1887.3        0.1       30.2       3.79       0.13           O2440  2  387 
     1887.3        0.1       35.3       1.83       0.09           O2440  2  388 
     1887.3        0.1       40.3       0.86       0.05           O2440  2  389 
     1925.4        0.3        5.1      1.789      0.131           O2440  2  390 
     1925.4        0.3        7.6      1.608      0.187           O2440  2  391 
     1925.4        0.3       10.2      1.932      0.159           O2440  2  392 
