ENTRY            O0534   19991117                             0000O053400000001 
SUBENT        O0534001   19991117                             0000O053400100001 
BIB                 11         29                                 O053400100002 
TITLE      Continuum Yields from C-12(P,P') At Incident Proton    O053400100003 
           Energies  of 90 and 200 MeV.                           O053400100004 
AUTHOR     (S.V.FOERTSCH, A.A.COWLEY, J.V.PILCHER, D.M.WHITTAL,   O053400100005 
           J.J.LAWRIE, J.C.VAN STADEN, E.FRIEDLAND)               O053400100006 
INSTITUTE  (3SAFUPR)                                              O053400100007 
           (3SAFNAC)                                              O053400100008 
REFERENCE  (J,NP/A,485,258,1988)                                  O053400100009 
           (W,COWLEY,19990820) Some Comments For Data Tables.     O053400100010 
HISTORY    (19990625C)                                            O053400100011 
           (19990824U) Last checking has been done.               O053400100012 
           (19991117A) DATE is corrected                          O053400100013 
SAMPLE     The Target Consisted of 5.0 mg/cm**2 Carbon Which was  O053400100014 
           Prepared from a Concentrated Dispersion of Pure Ultra  O053400100015 
           Fine Graphite Particles in Propanol.The Uniformity in  O053400100016 
           The Thickness Close to the Centre of the Target was    O053400100017 
           Better Than 0.8%/mm.                                   O053400100018 
ADD-RES    (COMP).The Quasifree Knockout Model.                   O053400100019 
           (STRUC) Spectroscopic Factors.                         O053400100020 
DETECTOR   (TELES).The Detector Telescope Consisted of a 1000 Mum O053400100021 
           Si Detector [Del'Ta E Detector] and a 75*125 mm NaI(Tl)O053400100022 
           Detector [E Detector] with 6 Mum Havar Entrance Window.O053400100023 
           Correction For Reaction Loss from the                  O053400100024 
           NaI Detector were Performed on the Del'Ta E Versus     O053400100025 
           E-Spectra.                                             O053400100026 
FACILITY   (CYCLO,3SAFNAC)                                        O053400100027 
METHOD     (SITA)                                                 O053400100028 
           (EDE)                                                  O053400100029 
ERR-ANALYS (EN-ERR1).The Error in the Incident Energy of 90 MeV.  O053400100030 
           (EN-ERR2).The Error in the Incident Energy of 200 MeV. O053400100031 
ENDBIB              29          0                                 O053400100032 
COMMON               2          3                                 O053400100033 
EN-ERR1    EN-ERR2                                                O053400100034 
MEV        MEV                                                    O053400100035 
        0.3        0.5                                            O053400100036 
ENDCOMMON            3          0                                 O053400100037 
ENDSUBENT           36          0                                 O053400199999 
SUBENT        O0534002   19991117                             0000O053400200001 
BIB                  6          6                                 O053400200002 
REACTION   (6-C-12(P,X)1-H-1,EM,DA/DE)                            O053400200003 
EN-SEC     (E,P)                                                  O053400200004 
PART-DET   (P)                                                    O053400200005 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O053400200006 
STATUS     (TABLE).Data were Received by Ftp.                     O053400200007 
FLAG       (1.).Independent Experiment.                           O053400200008 
ENDBIB               6          0                                 O053400200009 
NOCOMMON             0          0                                 O053400200010 
DATA                 6        459                                 O053400200011 
EN         E          ANG        DATA       ERR-T      FLAG       O053400200012 
MEV        MEV        ADEG       MUB/SR/MEV MUB/SR/MEV NO-DIM     O053400200013 
       200.        40.        20.     336.62     2.7309           O053400200203 
       200.        40.        25.     344.85     2.7976           O053400200204 
       200.        40.        30.     346.22     2.7696           O053400200205 
       200.        40.        35.     357.87     2.8181           O053400200206 
       200.        40.        40.     362.27     2.8433           O053400200207 
       200.        40.        45.     366.58     2.8565           O053400200208 
       200.        40.        50.     378.72     2.8966           O053400200209 
       200.        40.        55.     384.37      2.921           O053400200210 
       200.        40.        60.   386.3832    5.85161         1.O053400200211 
       200.        40.        60.     386.53     2.9267           O053400200212 
       200.        40.        65.     393.01     2.9758           O053400200213 
       200.        40.        70.     394.38     2.9559           O053400200214 
       200.        40.        75.     396.47     2.9699           O053400200215 
       200.        40.        80.     397.48     2.9774           O053400200216 
       200.        40.        85.     404.66     3.0111           O053400200217 
       200.        40.        90.     402.82     2.9874           O053400200218 
       200.        40.        95.     411.93     3.0303           O053400200219 
       200.        40.       100.     409.39     3.0117           O053400200220 
       200.        40.       100.   410.8423    6.03397         1.O053400200221 
       200.        40.       105.     404.21     2.9989           O053400200222 
       200.        40.       120.     379.84     2.9288           O053400200223 
       200.        40.       120.   381.2432    5.81255         1.O053400200224 
       200.        40.       125.     360.99     2.8434           O053400200225 
       200.        40.       130.     348.96     2.8342           O053400200226 
       200.        40.       135.     331.38     2.7664           O053400200227 
       200.        40.       140.     307.23     2.6555           O053400200228 
       200.        40.       145.       324.      3.374           O053400200229 
       200.        40.       150.   251.9467     4.7252         1.O053400200230 
       200.        40.       150.      283.9      3.159           O053400200231 
       200.        40.       155.      259.1      3.018           O053400200232 
       200.        40.       160.      221.9      2.792           O053400200233 
       200.        40.       170.   143.2985    3.56358           O053400200234 
       200.        45.        60.   388.7825    1.44832           O053400200235 
       200.        45.       100.    499.083    1.12279           O053400200236 
       200.        45.       120.   345.8457    0.91487           O053400200237 
       200.        45.       150.   182.1399    0.49799           O053400200238 
       200.        45.       170.   104.9902    0.43127           O053400200239 
       200.        50.        20.     333.73     1.9441           O053400200240 
       200.        50.        25.     334.91      1.951           O053400200241 
       200.        50.        30.     342.24     1.9687           O053400200242 
       200.        50.        35.     345.97     1.9824           O053400200243 
       200.        50.        40.     348.91     1.9884           O053400200244 
       200.        50.        45.     349.33     1.9908           O053400200245 
       200.        50.        50.     352.77     2.0058           O053400200246 
       200.        50.        55.     350.15     1.9928           O053400200247 
       200.        50.        60.   341.6526    3.93406         1.O053400200248 
       200.        50.        60.     348.89     1.9899           O053400200249 
       200.        50.        65.     346.67     1.9828           O053400200250 
       200.        50.        70.     343.07     1.9711           O053400200251 
       200.        50.        85.     325.72     1.9412           O053400200252 
       200.        50.        90.     309.87     1.8976           O053400200253 
       200.        50.        95.      300.6     1.8582           O053400200254 
       200.        50.       100.     288.31     1.8328           O053400200255 
       200.        50.       100.   290.1012    3.62513         1.O053400200256 
       200.        50.       105.     263.88     1.7469           O053400200257 
       200.        50.       110.     240.09     1.7006           O053400200258 
