ENTRY            O1766   20090721                             O040O176600000001 
SUBENT        O1766001   20090721                             O040O176600100001 
BIB                 14         33                                 O176600100002 
TITLE      A study of the reaction C-12(O-16,a)Mg-24 below and    O176600100003 
           near the coulomb barrier.                              O176600100004 
AUTHOR     (M.E.Groce, G.P.Lawrence)                              O176600100005 
INSTITUTE  (3AULCBR)                                              O176600100006 
REFERENCE  (J,NP,67,277,1965)                                     O176600100007 
FACILITY   (VDGT,3AULCBR)                                         O176600100008 
METHOD     (BCINT).Beam intensities as high as 2.0 muA were       O176600100009 
           achieved, although the average was usually close to    O176600100010 
            1 muA.                                                O176600100011 
SAMPLE     Thin self-supported carbon foils, with thicknesses in  O176600100012 
           the range 10 to 25 mug/cm**2 were used as targets.     O176600100013 
COMMENT    *By authors*.During the bombardment with O-16 beam the O176600100014 
           target deteriorated in two ways-                       O176600100015 
            *target thickness increased due to the cracking of    O176600100016 
           organic vapours on the target face.                    O176600100017 
            *targets developed wrinkles, rips and tears after longO176600100018 
           bombardment by the beam.                               O176600100019 
           The product of the effective target thickness and      O176600100020 
           Beam intensity was monitored by measuring the O-16-C-12O176600100021 
           elastic scattering.                                    O176600100022 
           Thin aluminium foils covering the detectors were used  O176600100023 
           to stop the heavy ions that were scattered and emitted O176600100024 
           from  the target.                                      O176600100025 
           *By authors*.The absolute cross section scale was      O176600100026 
           determined from the O-16-C-12 Rutherford scattering at O176600100027 
           the monitor detector angle and solid angles of         O176600100028 
           detectors.                                             O176600100029 
MONITOR    (6-C-12(8-O-16,EL)6-C-12,,DA,,RTH)                     O176600100030 
DETECTOR   (SIBAR) four surface barrier detectors                 O176600100031 
INC-SOURCE *EN-RSL*.A kinematical resolution of less than 150 keV.O176600100032 
ERR-ANALYS (ERR-1,,3.).The solid angle measurements error.        O176600100033 
STATUS     (CURVE).By CAJAD.                                      O176600100034 
HISTORY    (20090721C) S.B                                        O176600100035 
ENDBIB              33          0                                 O176600100036 
COMMON               1          3                                 O176600100037 
EN-RSL                                                            O176600100038 
KEV                                                               O176600100039 
150.                                                              O176600100040 
ENDCOMMON            3          0                                 O176600100041 
ENDSUBENT           40          0                                 O176600199999 
SUBENT        O1766002   20090721                             O040O176600200001 
BIB                  3          4                                 O176600200002 
REACTION   (6-C-12(8-O-16,A)12-MG-24,PAR,DA) fig 5                O176600200003 
EN-SEC     (E-LVL,12-MG-24)                                       O176600200004 
ERR-ANALYS (ERR-S).The uncertainty is shown by authors on figure. O176600200005 
           (ANG-ERR-D).Digitizing error of angle.                 O176600200006 
ENDBIB               4          0                                 O176600200007 
COMMON               1          3                                 O176600200008 
ANG-ERR-D                                                         O176600200009 
ADEG                                                              O176600200010 
0.6                                                               O176600200011 
ENDCOMMON            3          0                                 O176600200012 
DATA                 5        142                                 O176600200013 
EN         E-LVL      ANG-CM     DATA-CM    ERR-S                 O176600200014 
   17.00000    1.36900   70.30000    0.10200   19.00000           O176600200062 
   17.00000    1.36900   75.50000    0.09600   19.00000           O176600200063 
   17.00000    1.36900   81.60000    0.10700   15.00000           O176600200064 
   17.00000    1.36900   87.60000    0.21000   14.00000           O176600200065 
   17.00000    1.36900   93.70000    0.38000   11.00000           O176600200066 
   17.00000    1.36900   99.30000    0.39900    7.00000           O176600200067 
   17.00000    1.36900  104.10000    0.37000   11.00000           O176600200068 
   17.00000    1.36900  108.10000    0.41000   10.00000           O176600200069 
   17.00000    1.36900  112.90000    0.36000   11.00000           O176600200070 
   17.00000    1.36900  118.10000    0.27000   11.00000           O176600200071 
   17.00000    1.36900  123.00000    0.14700   16.00000           O176600200072 
   17.00000    1.36900  126.60000    0.10900   18.00000           O176600200073 
   17.00000    1.36900  132.80000    0.05600   23.00000           O176600200074 
   17.00000    1.36900  135.70000    0.13100   17.00000           O176600200075 
   17.00000    1.36900  139.70000    0.11300   17.00000           O176600200076 
   17.00000    1.36900  143.00000    0.23000   13.00000           O176600200077 
   17.00000    1.36900  146.10000    0.32000    9.00000           O176600200078 
   17.00000    1.36900  150.00000    0.27000   15.00000           O176600200079 
   17.00000    1.36900  153.50000    0.25800   10.00000           O176600200080 
   17.00000    1.36900  157.00000    0.23400   10.00000           O176600200081 
   17.00000    1.36900  160.50000    0.20900   11.00000           O176600200082 
   17.00000    1.36900  164.10000    0.13100   15.00000           O176600200083 
   17.00000    1.36900  166.70000    0.14400   16.00000           O176600200084 
   17.00000    1.36900  169.80000    0.08800   16.00000           O176600200085 
   17.00000    1.36900  173.30000    0.06800   19.00000           O176600200086 
   18.50000    0.00000    1.20000    2.48000   10.00000           O176600200087 
   18.50000    0.00000    6.60000    2.19000    8.00000           O176600200088 
   18.50000    0.00000   13.60000    1.49000    6.00000           O176600200089 
   18.50000    0.00000   21.10000    0.52000   17.00000           O176600200090 
   18.50000    0.00000   28.20000    0.05700   30.00000           O176600200091 
   18.50000    0.00000   34.00000    0.24000   17.00000           O176600200092 
   18.50000    0.00000   41.40000    0.55000   16.00000           O176600200093 
   18.50000    0.00000   47.30000    0.83000   10.00000           O176600200094 
   18.50000    0.00000   54.30000    0.54000   13.00000           O176600200095 
   18.50000    0.00000   59.70000    0.29000   17.00000           O176600200096 
   18.50000    0.00000   64.70000    0.15000   27.00000           O176600200097 
   18.50000    0.00000   70.80000    0.02700   40.00000           O176600200098 
   18.50000    0.00000   76.20000    0.05000   50.00000           O176600200099 
   18.50000    0.00000   82.10000    0.15000   27.00000           O176600200100 
   18.50000    0.00000   87.50000    0.28000   21.00000           O176600200101 
   18.50000    0.00000   93.90000    0.28000   21.00000           O176600200102 
   18.50000    0.00000   97.90000    0.22000   23.00000           O176600200103 
   18.50000    0.00000  104.40000    0.09000   30.00000           O176600200104 
   18.50000    0.00000  107.80000    0.07500   40.00000           O176600200105 
   18.50000    0.00000  113.30000    0.07200   30.00000           O176600200106 
   18.50000    0.00000  117.80000    0.04200   50.00000           O176600200107 
   18.50000    0.00000  122.30000    0.01000  350.00000           O176600200108 
   18.50000    0.00000  126.70000    0.04600   50.00000           O176600200109 
   18.50000    0.00000  130.70000    0.02300   70.00000           O176600200110 
   18.50000    0.00000  135.10000    0.06200   50.00000           O176600200111 
   18.50000    0.00000  139.00000    0.09000   30.00000           O176600200112 
   18.50000    0.00000  142.90000    0.24000   25.00000           O176600200113 
   18.50000    0.00000  146.30000    0.24000   17.00000           O176600200114 
   18.50000    0.00000  149.30000    0.50000   10.00000           O176600200115 
   18.50000    0.00000  153.20000    0.87000    8.00000           O176600200116 
   18.50000    0.00000  157.10000    1.41000    2.80000           O176600200117 
   18.50000    0.00000  160.50000    1.82000    3.00000           O176600200118 
   18.50000    0.00000  164.50000    2.62000    3.00000           O176600200119 
   18.50000    0.00000  167.90000    4.17000    3.00000           O176600200120 
   18.50000    0.00000  169.90000    5.50000    3.00000           O176600200121 
   18.50000    0.00000  173.30000    5.99000    3.00000           O176600200122 
   20.75000    1.36900    0.10000    3.60000    6.00000           O176600200123 
   20.75000    1.36900    5.50000    4.50000    9.00000           O176600200124 
   20.75000    1.36900   12.80000    6.37000    3.00000           O176600200125 
   20.75000    1.36900   18.70000    6.64000    3.00000           O176600200126 
   20.75000    1.36900   26.20000    4.36000    3.00000           O176600200127 
   20.75000    1.36900   32.90000    1.46000   10.00000           O176600200128 
   20.75000    1.36900   40.90000    1.00000   11.00000           O176600200129 
   20.75000    1.36900   46.10000    2.17000   11.00000           O176600200130 
   20.75000    1.36900   53.40000    2.41000   10.00000           O176600200131 
   20.75000    1.36900   58.90000    2.52000   10.00000           O176600200132 
   20.75000    1.36900   63.90000    1.49000   13.00000           O176600200133 
   20.75000    1.36900   68.80000    1.62000   14.00000           O176600200134 
   20.75000    1.36900   75.00000    3.76000    8.00000           O176600200135 
   20.75000    1.36900   81.40000    3.90000   10.00000           O176600200136 
   20.75000    1.36900   87.40000    2.80000   14.00000           O176600200137 
   20.75000    1.36900   92.00000    1.52000   17.00000           O176600200138 
   20.75000    1.36900   97.40000    1.65000   16.00000           O176600200139 
   20.75000    1.36900  103.20000    2.30000   17.00000           O176600200140 
   20.75000    1.36900  111.70000    1.72000    7.00000           O176600200141 
   20.75000    1.36900  117.60000    1.49000    9.00000           O176600200142 
   20.75000    1.36900  121.90000    2.52000    9.00000           O176600200143 
   20.75000    1.36900  125.70000    3.70000   11.00000           O176600200144 
   20.75000    1.36900  130.50000    5.49000    3.00000           O176600200145 
   20.75000    1.36900  134.50000    5.38000    3.00000           O176600200146 
   20.75000    1.36900  139.00000    4.40000    9.00000           O176600200147 
   20.75000    1.36900  142.50000    3.60000   11.00000           O176600200148 
   20.75000    1.36900  144.80000    4.84000    3.00000           O176600200149 
   20.75000    1.36900  148.20000    6.37000    3.00000           O176600200150 
   20.75000    1.36900  151.50000    9.71000    3.00000           O176600200151 
   20.75000    1.36900  155.30000   14.50000    2.80000           O176600200152 
   20.75000    1.36900  158.20000   19.90000    3.00000           O176600200153 
   20.75000    1.36900  161.10000   23.00000    3.00000           O176600200154 
   20.75000    1.36900  164.00000   24.00000    2.90000           O176600200155 
   20.75000    1.36900  167.00000   24.50000    2.90000           O176600200156 
   20.75000    1.36900  169.50000   25.10000    3.00000           O176600200157 
ENDDATA            144          0                                 O176600200158 
ENDSUBENT          157          0                                 O176600299999 
SUBENT        O1766003   20090721                             O040O176600300001 
BIB                  5         10                                 O176600300002 
REACTION   (6-C-12(8-O-16,A)12-MG-24,PAR,SIG) fig 8,9,11          O176600300003 
EN-SEC     (E-LVL,12-MG-24)                                       O176600300004 
ANALYSIS    Integrated cross sections for alpha groups a(0), a(1),O176600300005 
           a(2,3) and a(4) were obtained by fitting the angular   O176600300006 
           distributions to a Legendre-polynomial  expansion. ThisO176600300007 
           was done by means of a least-squares fitting method.   O176600300008 
ERR-ANALYS (DATA-ERR).The uncertainty is shown by authors on      O176600300009 
           figure.                                                O176600300010 
           (EN-ERR-DIG).Digitizing error of incident energy.      O176600300011 
STATUS     (DEP,O1766002)                                         O176600300012 
ENDBIB              10          0                                 O176600300013 
COMMON               1          3                                 O176600300014 
EN-ERR-DIG                                                        O176600300015 
MEV                                                               O176600300016 
0.012                                                             O176600300017 
ENDCOMMON            3          0                                 O176600300018 
DATA                 4         95                                 O176600300019 
E-LVL      EN-CM      DATA       DATA-ERR                         O176600300020 
MEV        MEV        MB         MB                               O176600300021 
    0.00000    6.43000    0.08800    0.00700                      O176600300022 
    0.00000    6.53000    0.12700    0.00700                      O176600300023 
    0.00000    6.63100    0.49200    0.00700                      O176600300024 
    0.00000    6.73200    0.58000    0.00700                      O176600300025 
    0.00000    6.84100    0.59400    0.02800                      O176600300026 
    0.00000    6.93300    1.34000    0.07000                      O176600300027 
    0.00000    7.02500    2.18000    0.14000                      O176600300028 
    0.00000    7.03400    2.10200    0.00700                      O176600300029 
    0.00000    7.13400    1.74000    0.10000                      O176600300030 
    0.00000    7.23500    1.95000    0.09000                      O176600300031 
    0.00000    7.29200    1.98000    0.07000                      O176600300032 
    0.00000    7.38300    4.25000    0.07000                      O176600300033 
    0.00000    7.48300    6.08000    0.07000                      O176600300034 
    0.00000    7.59100    6.90000    0.40000                      O176600300035 
    0.00000    7.70800    7.82000    0.28000                      O176600300036 
    0.00000    7.81700    5.49000    0.07000                      O176600300037 
    0.00000    7.92700    4.50000    0.07000                      O176600300038 
    0.00000    8.02700    4.35000    0.23000                      O176600300039 
    0.00000    8.13500    5.29000    0.07000                      O176600300040 
    0.00000    8.25200    7.32000    0.07000                      O176600300041 
    0.00000    8.33500    7.77000    0.07000                      O176600300042 
    0.00000    8.44300    8.50000    0.40000                      O176600300043 
    0.00000    8.53500   10.20000    0.30000                      O176600300044 
    0.00000    8.66100    7.80000    0.50000                      O176600300045 
    0.00000    8.76200    7.60000    0.50000                      O176600300046 
    0.00000    8.87100    7.12000    0.26000                      O176600300047 
    0.00000    8.98900    5.00000    0.26000                      O176600300048 
    0.00000    9.08000    6.80000    0.30000                      O176600300049 
    0.00000    9.17800   11.50000    0.40000                      O176600300050 
    0.00000    9.28400   18.20000    1.10000                      O176600300051 
    0.00000    9.40400   11.40000    0.50000                      O176600300052 
    0.00000    9.50500   11.20000    0.60000                      O176600300053 
    0.00000    9.60300   15.30000    0.80000                      O176600300054 
    1.36900    6.45700    0.30900    0.01900                      O176600300055 
    1.36900    6.54300    0.41300    0.01800                      O176600300056 
    1.36900    6.66100    0.61900    0.01800                      O176600300057 
    1.36900    6.77000    0.60600    0.01800                      O176600300058 
    1.36900    6.86600    0.86400    0.01800                      O176600300059 
    1.36900    6.98300    1.33000    0.07000                      O176600300060 
    1.36900    7.07900    1.66000    0.06000                      O176600300061 
    1.36900    7.18600    1.88000    0.06000                      O176600300062 
    1.36900    7.29000    2.92000    0.10000                      O176600300063 
    1.36900    7.39100    4.61000    0.18000                      O176600300064 
    1.36900    7.48900    5.25000    0.18000                      O176600300065 
    1.36900    7.60900    6.40000    0.18000                      O176600300066 
    1.36900    7.71700    8.07000    0.18000                      O176600300067 
    1.36900    7.82600    9.23000    0.18000                      O176600300068 
    1.36900    7.91000   14.36000    0.18000                      O176600300069 
    1.36900    8.01400   23.50000    0.40000                      O176600300070 
    1.36900    8.12100   27.90000    0.50000                      O176600300071 
    1.36900    8.23200   25.28000    0.18000                      O176600300072 
    1.36900    8.34200   24.00000    0.60000                      O176600300073 
    1.36900    8.44700   31.10000    0.90000                      O176600300074 
    1.36900    8.53100   36.20000    0.60000                      O176600300075 
    1.36900    8.64500   29.30000    1.10000                      O176600300076 
    1.36900    8.75000   35.80000    1.00000                      O176600300077 
    1.36900    8.86600   44.30000    0.60000                      O176600300078 
    1.36900    8.96600   40.60000    1.00000                      O176600300079 
    1.36900    9.06600   37.70000    1.20000                      O176600300080 
    1.36900    9.18300   43.30000    1.40000                      O176600300081 
    1.36900    9.29600   55.30000    1.50000                      O176600300082 
    1.36900    9.38800   49.30000    0.70000                      O176600300083 
    1.36900    9.49600   50.60000    0.70000                      O176600300084 
    1.36900    9.60000   42.10000    1.20000                      O176600300085 
    5.23500    6.46500    0.05000    0.06000                      O176600300086 
    5.23500    6.55200    0.05200    0.00900                      O176600300087 
    5.23500    6.64900    0.13000    0.03000                      O176600300088 
    5.23500    6.75100    0.46000    0.08000                      O176600300089 
    5.23500    6.85800    0.56000    0.13000                      O176600300090 
    5.23500    6.92500    2.10000    0.50000                      O176600300091 
    5.23500    7.07100    0.83000    0.11000                      O176600300092 
    5.23500    7.19500    1.68000    0.27000                      O176600300093 
    5.23500    7.29300    1.10000    0.30000                      O176600300094 
    5.23500    7.41200    2.13000    0.27000                      O176600300095 
    5.23500    7.52000    3.20000    0.50000                      O176600300096 
    5.23500    7.60700    3.80000    0.40000                      O176600300097 
    5.23500    7.71300    6.50000    1.10000                      O176600300098 
    5.23500    7.81000    7.70000    1.40000                      O176600300099 
    5.23500    7.93200    5.70000    0.90000                      O176600300100 
    5.23500    8.05200    5.30000    0.80000                      O176600300101 
    5.23500    8.14200   13.50000    1.00000                      O176600300102 
    5.23500    8.24900   16.50000    0.90000                      O176600300103 
    5.23500    8.33600   16.70000    1.20000                      O176600300104 
    5.23500    8.46300   20.80000    1.50000                      O176600300105 
    5.23500    8.57500   16.50000    1.20000                      O176600300106 
    5.23500    8.66800   10.80000    0.70000                      O176600300107 
    5.23500    8.78400   15.10000    1.30000                      O176600300108 
    5.23500    8.87100   14.60000    0.80000                      O176600300109 
    5.23500    8.98100   13.50000    1.20000                      O176600300110 
    5.23500    9.08700   17.00000    2.00000                      O176600300111 
    5.23500    9.19200   21.40000    1.60000                      O176600300112 
    5.23500    9.29300   29.90000    2.40000                      O176600300113 
    5.23500    9.41900   22.90000    2.00000                      O176600300114 
    5.23500    9.51800   22.10000    1.30000                      O176600300115 
    5.23500    9.62500   24.40000    1.80000                      O176600300116 
ENDDATA             97          0                                 O176600300117 
ENDSUBENT          116          0                                 O176600399999 
SUBENT        O1766004   20090721                             O040O176600400001 
BIB                  5         10                                 O176600400002 
REACTION   (6-C-12(8-O-16,A)12-MG-24,PAR,SIG) fig 10              O176600400003 
EN-SEC     (E-LVL,12-MG-24)                                       O176600400004 
ANALYSIS    Integrated cross sections for alpha groups a(0), a(1),O176600400005 
           a(2,3) and a(4) were obtained by fitting the angular   O176600400006 
           distributions to a Legendre-polynomial  expansion. ThisO176600400007 
           was done by means of a least-squares fitting method.   O176600400008 
ERR-ANALYS (DATA-ERR).The uncertainty is shown by authors on      O176600400009 
           figure.                                                O176600400010 
           (EN-ERR-DIG).Digitizing error of incident energy.      O176600400011 
STATUS     (DEP,O1766002)                                         O176600400012 
ENDBIB              10          0                                 O176600400013 
COMMON               3          3                                 O176600400014 
E-LVL      E-LVL      EN-ERR-DIG                                  O176600400015 
MEV        MEV        MEV                                         O176600400016 
4.123      4.238      0.012                                       O176600400017 
ENDCOMMON            3          0                                 O176600400018 
DATA                 3         32                                 O176600400019 
EN-CM      DATA       DATA-ERR                                    O176600400020 
MEV        MB         MB                                          O176600400021 
      6.434        0.7        0.4                                 O176600400022 
      6.498        0.7        0.4                                 O176600400023 
      6.583        0.7        0.4                                 O176600400024 
      6.669        0.7        0.4                                 O176600400025 
      6.765        0.7        0.4                                 O176600400026 
      6.861        0.7        0.4                                 O176600400027 
      6.999        2.7        0.4                                 O176600400028 
      7.095        3.6        0.4                                 O176600400029 
      7.202        3.6        0.4                                 O176600400030 
      7.298        4.6        0.4                                 O176600400031 
      7.413       11.6        2.1                                 O176600400032 
      7.505       26.3        2.6                                 O176600400033 
      7.628        9.7        1.6                                 O176600400034 
      7.722       17.4        2.1                                 O176600400035 
      7.839       16.1        1.3                                 O176600400036 
      7.945        19.        2.6                                 O176600400037 
      8.052       21.6        1.8                                 O176600400038 
      8.146       27.6        1.2                                 O176600400039 
      8.241       31.4        1.2                                 O176600400040 
      8.366       42.3        1.6                                 O176600400041 
      8.477       66.4        1.8                                 O176600400042 
      8.579       80.8        1.8                                 O176600400043 
      8.676        41.        1.8                                 O176600400044 
      8.792       48.4        2.3                                 O176600400045 
       8.89       41.1        2.3                                 O176600400046 
      8.996       44.3        2.4                                 O176600400047 
      9.109       59.5        2.6                                 O176600400048 
      9.213        69.         6.                                 O176600400049 
      9.313        91.         7.                                 O176600400050 
      9.431        93.         4.                                 O176600400051 
      9.523       106.        2.1                                 O176600400052 
      9.614       125.         4.                                 O176600400053 
ENDDATA             34          0                                 O176600400054 
ENDSUBENT           53          0                                 O176600499999 
SUBENT        O1766005   20090721                             O040O176600500001 
BIB                  5          7                                 O176600500002 
REACTION   (6-C-12(8-O-16,A)12-MG-24,PAR,SIG) fig 12              O176600500003 
EN-SEC     (E-LVL,12-MG-24)                                       O176600500004 
ANALYSIS   A numerical integration of the observed angular        O176600500005 
           distributions was carried out for all the groups.      O176600500006 
ERR-ANALYS (ERR-DIG ).Digitizing error of data.                   O176600500007 
           (EN-ERR-DIG).Digitizing error of incident energy.      O176600500008 
STATUS     (DEP,O1766002)                                         O176600500009 
ENDBIB               7          0                                 O176600500010 
COMMON               2          3                                 O176600500011 
EN-ERR-DIG ERR-DIG                                                O176600500012 
MEV        MB                                                     O176600500013 
0.014      0.08                                                   O176600500014 
ENDCOMMON            3          0                                 O176600500015 
DATA                 3        155                                 O176600500016 
E-LVL      EN-CM      DATA                                        O176600500017 
MEV        MEV        MB                                          O176600500018 
    0.00000    6.41200    0.11000                                 O176600500019 
    0.00000    6.52100    0.17000                                 O176600500020 
    0.00000    6.63100    0.59000                                 O176600500021 
    0.00000    6.72100    0.59000                                 O176600500022 
    0.00000    6.86100    0.70000                                 O176600500023 
    0.00000    6.97100    1.36000                                 O176600500024 
    0.00000    7.06100    2.43000                                 O176600500025 
    0.00000    7.17000    1.95000                                 O176600500026 
    0.00000    7.27000    2.07000                                 O176600500027 
    0.00000    7.37000    4.27000                                 O176600500028 
    0.00000    7.50100    6.42000                                 O176600500029 
    0.00000    7.59100    7.14000                                 O176600500030 
    0.00000    7.69100    8.15000                                 O176600500031 
    0.00000    7.83000    5.58000                                 O176600500032 
    0.00000    7.91900    4.56000                                 O176600500033 
    0.00000    8.02800    4.14000                                 O176600500034 
    0.00000    8.15900    5.39000                                 O176600500035 
    0.00000    8.25900    7.54000                                 O176600500036 
    0.00000    8.36900    7.96000                                 O176600500037 
    0.00000    8.46900    8.79000                                 O176600500038 
    0.00000    8.55900   10.40000                                 O176600500039 
    0.00000    8.67800    7.77000                                 O176600500040 
    0.00000    8.78800    7.83000                                 O176600500041 
    0.00000    8.88700    7.17000                                 O176600500042 
    0.00000    9.00600    4.84000                                 O176600500043 
    0.00000    9.08600    6.98000                                 O176600500044 
    0.00000    9.20800   11.94000                                 O176600500045 
    0.00000    9.33000   18.86000                                 O176600500046 
    0.00000    9.43700   11.63000                                 O176600500047 
    0.00000    9.52700   11.75000                                 O176600500048 
    0.00000    9.63800   16.47000                                 O176600500049 
    1.36900    6.42300    0.38000                                 O176600500050 
    1.36900    6.53400    0.87000                                 O176600500051 
    1.36900    6.65600    1.00000                                 O176600500052 
    1.36900    6.76700    1.00000                                 O176600500053 
    1.36900    6.85800    1.37000                                 O176600500054 
    1.36900    6.95900    1.74000                                 O176600500055 
    1.36900    7.07000    2.11000                                 O176600500056 
    1.36900    7.17200    2.48000                                 O176600500057 
    1.36900    7.28300    3.46000                                 O176600500058 
    1.36900    7.39400    5.16000                                 O176600500059 
    1.36900    7.48500    5.65000                                 O176600500060 
    1.36900    7.60600    7.11000                                 O176600500061 
    1.36900    7.71700    8.57000                                 O176600500062 
    1.36900    7.79700    9.43000                                 O176600500063 
    1.36900    7.90700   15.01000                                 O176600500064 
    1.36900    8.02600   24.23000                                 O176600500065 
    1.36900    8.12600   28.96000                                 O176600500066 
    1.36900    8.23900   25.81000                                 O176600500067 
    1.36900    8.35000   24.97000                                 O176600500068 
    1.36900    8.41900   31.52000                                 O176600500069 
