ENTRY            O1865   20140205                             O052O186500000001 
SUBENT        O1865001   20140205                             O052O186500100001 
BIB                 12         38                                 O186500100002 
TITLE      Comparison of nonequilibrium processes in p + Ni and   O186500100003 
           p + Au collisions at GeV energies.                     O186500100004 
AUTHOR     (A.Budzanowski, M.Fidelus, D.Filges, F.Goldenbaum,     O186500100005 
           H.Hodde, L.Jarczyk, B.Kamys, M.Kistryn, St.Kistryn,    O186500100006 
           St.Kliczewski, A.Kowalczyk, E.Kozik, P.Kulessa,        O186500100007 
           H.Machner, A.Magiera, B.Piskor-Ignatowicz, K.Pysz,     O186500100008 
           Z.Rudy, R.Siudak, M.Wojciechowski) - PISA collaborationO186500100009 
INSTITUTE  (3POLIFJ,3POLUJK,2GERJUL,2GERBON)                      O186500100010 
REFERENCE  (J,PR/C,82,034605,2010)                                O186500100011 
REL-REF    (I,D0512001,A.Budzanowski+,J,PR/C,78,024603,2008)      O186500100012 
           (I,,A.Bubak+,J,NIM/B,204,507,2004)                     O186500100013 
FACILITY   (SYNCY,2GERJUL) Cooler Synchrotron COSY in the         O186500100014 
           Research Center in Julich                              O186500100015 
SAMPLE     Self-supporting Ni target of thickness 150 mu-g/cm**2. O186500100016 
DETECTOR   (TELES,SIBAR,CSICR) The PISA apparatus consists of     O186500100017 
           nine independent detection arms comprising various     O186500100018 
           kinds of detectors. Two of these arms (placed at 15.   O186500100019 
           and 120. angles in respect to the beam direction) are  O186500100020 
           equipped with the Bragg curve detectors (BCD), which   O186500100021 
           permit the Z- identification of the reaction products  O186500100022 
           and determination of their kinetic energies with low   O186500100023 
           detection energy threshold (of about 1MeV/nucleon).    O186500100024 
           The active volume of BCD's has thickness of 22 cm of   O186500100025 
           isobutane at a pressure of 206 mbar.                   O186500100026 
COMMENT    *By authors*.The absolute normalization of the cross   O186500100027 
           sections was achieved by comparing the total productionO186500100028 
           cross sections of Be-7 particles, obtained by angle andO186500100029 
           energy integration of measured differential cross      O186500100030 
           sections, with values of Be-7 total production cross   O186500100031 
           sections published in the compilation of Bubak et al.  O186500100032 
            (see REL-REF)                                         O186500100033 
ERR-ANALYS (DATA-ERR).The uncertainty is reported by authors.     O186500100034 
STATUS     (TABLE) Data were received from Dr.B.Kamys             O186500100035 
           (APRVD) Entry approved by Dr.B.Kamys                   O186500100036 
HISTORY    (20101101C) SB                                         O186500100037 
           (20140205A) Corrections made according to Dr.A.KonobeevO186500100038 
           remarks: SF9=DERIV added to REACTION code in Subents   O186500100039 
           18-30; URL deleted from STATUS - no longer valid.      O186500100040 
ENDBIB              38          0                                 O186500100041 
NOCOMMON             0          0                                 O186500100042 
ENDSUBENT           41          0                                 O186500199999 
SUBENT        O1865002   20101111                             O044O186500200001 
BIB                  1          1                                 O186500200002 
REACTION   (28-NI-0(P,X)1-H-1,,DA/DE)                             O186500200003 
ENDBIB               1          0                                 O186500200004 
NOCOMMON             0          0                                 O186500200005 
DATA                 5        621                                 O186500200006 
EN         ANG        E          DATA       DATA-ERR              O186500200007 
        1.2        20.       46.5      2.213      0.072           O186500200062 
        1.2        20.       49.5      2.258      0.073           O186500200063 
        1.2        20.       52.5      2.222      0.072           O186500200064 
        1.2        20.       55.5       2.14      0.071           O186500200065 
        1.2        20.       58.5      2.109      0.071           O186500200066 
        1.2        20.       61.5      1.941      0.068           O186500200067 
        1.2        20.       64.5      1.925      0.067           O186500200068 
        1.2        20.       67.5      2.017      0.069           O186500200069 
        1.2        20.       70.5      1.995      0.069           O186500200070 
        1.2        20.       73.5      1.861      0.066           O186500200071 
        1.2        20.       76.5      1.868      0.066           O186500200072 
        1.2        20.       79.5      1.764      0.065           O186500200073 
        1.2        20.       82.5      1.776      0.065           O186500200074 
        1.2        20.       85.5      1.722      0.064           O186500200075 
        1.2        20.       88.5      1.603      0.062           O186500200076 
        1.2        20.       91.5      1.611      0.062           O186500200077 
        1.2        20.       94.5      1.407      0.058           O186500200078 
        1.2        20.       97.5      1.492      0.059           O186500200079 
        1.2        20.      100.5      1.469      0.059           O186500200080 
        1.2        20.      103.5      1.436      0.058           O186500200081 
        1.2        20.      106.5      1.372      0.057           O186500200082 
        1.2        20.      109.5      1.424      0.058           O186500200083 
        1.2        20.      112.5      1.348      0.056           O186500200084 
        1.2        20.      115.5      1.256      0.054           O186500200085 
        1.2        20.      118.5      1.249      0.054           O186500200086 
        1.2        20.      121.5      1.193      0.053           O186500200087 
        1.2        20.      124.5       1.19      0.053           O186500200088 
        1.2        20.      127.5      1.124      0.052           O186500200089 
        1.2        20.      130.5      1.056       0.05           O186500200090 
        1.2        20.      133.5      1.037      0.049           O186500200091 
        1.2        20.      136.5       1.03      0.049           O186500200092 
        1.2        20.      139.5       1.02      0.049           O186500200093 
        1.2        20.      142.5      0.968      0.048           O186500200094 
        1.2        20.      145.5       0.93      0.047           O186500200095 
        1.2        20.      148.5      0.945      0.047           O186500200096 
        1.2        20.      151.5      0.869      0.045           O186500200097 
        1.2        20.      154.5      0.845      0.045           O186500200098 
        1.2        20.      157.5      0.812      0.044           O186500200099 
        1.2        20.      160.5      0.765      0.043           O186500200100 
        1.2        20.      163.5       0.67       0.12           O186500200101 
        1.2        35.        3.5      13.38       0.13           O186500200102 
        1.2        35.        6.5      14.08       0.16           O186500200103 
        1.2        35.        9.5       8.64       0.12           O186500200104 
        1.2        35.       12.5      6.498      0.088           O186500200105 
        1.2        35.       15.5      4.703      0.075           O186500200106 
        1.2        35.       18.5      3.591      0.065           O186500200107 
        1.2        35.       21.5      2.879      0.058           O186500200108 
        1.2        50.        3.5       9.87        0.1           O186500200109 
        1.2        50.        6.5       11.1       0.13           O186500200110 
        1.2        50.        9.5        7.1       0.11           O186500200111 
        1.2        50.       12.5      5.859      0.079           O186500200112 
        1.2        50.       15.5      4.366      0.068           O186500200113 
        1.2        50.       18.5      3.619      0.062           O186500200114 
        1.2        50.       21.5      2.892      0.056           O186500200115 
        1.2        65.        7.5     12.865      0.071           O186500200116 
        1.2        65.       10.5      8.071      0.056           O186500200117 
        1.2        65.       16.5      3.563      0.038           O186500200118 
        1.2        65.       19.5       3.05       0.11           O186500200119 
        1.2        65.       22.5      2.106      0.036           O186500200120 
        1.2        65.       25.5      2.072      0.029           O186500200121 
        1.2        65.       28.5      1.878      0.028           O186500200122 
        1.2        65.       31.5      1.759      0.027           O186500200123 
        1.2        65.       34.5       1.67      0.026           O186500200124 
        1.2        65.       37.5      1.604      0.026           O186500200125 
        1.2        65.       40.5       1.56      0.025           O186500200126 
        1.2        65.       43.5      1.503      0.025           O186500200127 
        1.2        65.       46.5       1.47      0.025           O186500200128 
        1.2        65.       49.5      1.478      0.025           O186500200129 
        1.2        65.       52.5      1.453      0.025           O186500200130 
        1.2        65.       55.5       1.42      0.024           O186500200131 
        1.2        65.       58.5      1.357      0.024           O186500200132 
        1.2        65.       61.5      1.329      0.023           O186500200133 
        1.2        65.       64.5      1.308      0.023           O186500200134 
        1.2        65.       67.5      1.255      0.023           O186500200135 
        1.2        65.       70.5      1.229      0.023           O186500200136 
        1.2        65.       73.5      1.177      0.022           O186500200137 
        1.2        65.       76.5      1.165      0.022           O186500200138 
        1.2        65.       79.5      1.146      0.022           O186500200139 
        1.2        65.       82.5      1.161      0.022           O186500200140 
        1.2        65.       85.5      1.069      0.021           O186500200141 
        1.2        65.       88.5      1.074      0.021           O186500200142 
        1.2        65.       91.5      1.018      0.021           O186500200143 
        1.2        65.       94.5       0.96       0.02           O186500200144 
        1.2        65.       97.5      0.979       0.02           O186500200145 
        1.2        65.      100.5      1.009       0.02           O186500200146 
        1.2        65.      103.5       0.93       0.02           O186500200147 
        1.2        65.      106.5      0.919      0.019           O186500200148 
        1.2        65.      109.5      0.841      0.019           O186500200149 
        1.2        65.      112.5      0.856      0.019           O186500200150 
        1.2        65.      115.5       0.82      0.018           O186500200151 
        1.2        65.      118.5      0.763      0.018           O186500200152 
        1.2        65.      121.5      0.774      0.018           O186500200153 
        1.2        65.      124.5      0.744      0.018           O186500200154 
        1.2        65.      127.5      0.716      0.017           O186500200155 
        1.2        65.      130.5      0.694      0.017           O186500200156 
        1.2        65.      133.5      0.695      0.017           O186500200157 
        1.2        65.      136.5      0.661      0.017           O186500200158 
        1.2        65.      139.5      0.637      0.016           O186500200159 
        1.2        65.      142.5      0.609      0.016           O186500200160 
        1.2        65.      145.5      0.594      0.016           O186500200161 
        1.2        65.      148.5      0.559      0.015           O186500200162 
        1.2        65.      151.5      0.545      0.015           O186500200163 
        1.2        65.      154.5      0.529      0.015           O186500200164 
        1.2        65.      157.5      0.481      0.014           O186500200165 
        1.2        65.      160.5      0.455      0.014           O186500200166 
        1.2        65.      163.5      0.403      0.039           O186500200167 
        1.2        80.        3.5      9.998      0.049           O186500200168 
        1.2        80.        6.5      5.292      0.042           O186500200169 
        1.2       100.        9.5      7.297      0.051           O186500200170 
        1.2       100.       12.5      4.899      0.042           O186500200171 
        1.2       100.       15.5      3.078      0.033           O186500200172 
        1.2       100.       18.5      2.157      0.028           O186500200173 
        1.2       100.       39.5      0.894      0.054           O186500200174 
        1.2       100.       42.5      0.898      0.018           O186500200175 
        1.2       100.       45.5      0.866      0.018           O186500200176 
        1.2       100.       48.5      0.812      0.017           O186500200177 
        1.2       100.       51.5      0.802      0.017           O186500200178 
        1.2       100.       54.5       0.72      0.016           O186500200179 
        1.2       100.       57.5      0.702      0.016           O186500200180 
        1.2       100.       60.5      0.652      0.016           O186500200181 
        1.2       100.       63.5      0.597      0.015           O186500200182 
        1.2       100.       66.5      0.631      0.015           O186500200183 
        1.2       100.       69.5       0.54      0.014           O186500200184 
        1.2       100.       72.5       0.57      0.014           O186500200185 
        1.2       100.       75.5      0.486      0.013           O186500200186 
        1.2       100.       78.5      0.469      0.013           O186500200187 
        1.2       100.       81.5       0.44      0.013           O186500200188 
        1.2       100.       84.5       0.44      0.013           O186500200189 
        1.2       100.       87.5      0.403      0.012           O186500200190 
        1.2       100.       90.5      0.369      0.012           O186500200191 
        1.2       100.       93.5       0.34      0.011           O186500200192 
        1.2       100.       96.5      0.339      0.011           O186500200193 
        1.2       100.       99.5      0.324      0.011           O186500200194 
        1.2       100.      102.5      0.316      0.011           O186500200195 
        1.2       100.      105.5      0.289       0.01           O186500200196 
        1.2       100.      108.5     0.2403     0.0094           O186500200197 
        1.2       100.      111.5      0.251     0.0096           O186500200198 
        1.2       100.      114.5      0.223     0.0091           O186500200199 
        1.2       100.      117.5      0.241     0.0094           O186500200200 
        1.2       100.      120.5     0.2075     0.0087           O186500200201 
        1.2       100.      123.5     0.1802     0.0081           O186500200202 
        1.2       100.      126.5     0.1798     0.0081           O186500200203 
        1.2       100.      129.5     0.1662     0.0078           O186500200204 
        1.2       100.      132.5     0.1456     0.0073           O186500200205 
        1.2       100.      135.5      0.154     0.0075           O186500200206 
        1.2       100.      138.5     0.1334      0.007           O186500200207 
        1.2       100.      141.5     0.1308     0.0069           O186500200208 
        1.2       100.      144.5     0.1319      0.007           O186500200209 
        1.2       100.      147.5     0.1212     0.0067           O186500200210 
        1.2       100.      150.5     0.1025     0.0061           O186500200211 
        1.2       100.      153.5      0.087     0.0057           O186500200212 
        1.2       100.      156.5     0.0918     0.0058           O186500200213 
        1.2       100.      159.5     0.0892     0.0057           O186500200214 
        1.2       100.      162.5     0.0774     0.0053           O186500200215 
        1.9       15.6        7.5      12.09        0.2           O186500200216 
        1.9       15.6       10.5       7.73       0.16           O186500200217 
        1.9       15.6       16.5       4.14       0.12           O186500200218 
        1.9       15.6       19.5       3.51       0.33           O186500200219 
        1.9       15.6       40.5       2.22       0.11           O186500200220 
        1.9       15.6       43.5      2.159      0.087           O186500200221 
        1.9       15.6       46.5       2.22      0.089           O186500200222 
        1.9       15.6       49.5      2.202      0.088           O186500200223 
        1.9       15.6       52.5      2.376      0.092           O186500200224 
        1.9       15.6       55.5      2.021      0.085           O186500200225 
        1.9       15.6       58.5      2.159      0.087           O186500200226 
        1.9       15.6       61.5       2.22      0.089           O186500200227 
        1.9       15.6       64.5      2.078      0.086           O186500200228 
        1.9       15.6       67.5      2.173      0.088           O186500200229 
        1.9       15.6       70.5      2.085      0.086           O186500200230 
        1.9       15.6       73.5      2.067      0.086           O186500200231 
        1.9       15.6       76.5      2.046      0.085           O186500200232 
        1.9       15.6       79.5      2.064      0.086           O186500200233 
        1.9       15.6       82.5      2.032      0.085           O186500200234 
        1.9       15.6       85.5      1.943      0.083           O186500200235 
        1.9       15.6       88.5      1.922      0.083           O186500200236 
        1.9       15.6       91.5      2.071      0.086           O186500200237 
        1.9       15.6       94.5      1.996      0.084           O186500200238 
        1.9       15.6       97.5      1.865      0.081           O186500200239 
        1.9       15.6      100.5      1.734      0.078           O186500200240 
        1.9       15.6      103.5      1.677      0.077           O186500200241 
        1.9       15.6      106.5      1.783       0.08           O186500200242 
        1.9       15.6      109.5      1.656      0.077           O186500200243 
        1.9       15.6      112.5      1.624      0.076           O186500200244 
        1.9       15.6      115.5      1.624      0.076           O186500200245 
        1.9       15.6      118.5      1.493      0.073           O186500200246 
        1.9       15.6      121.5      1.557      0.074           O186500200247 
        1.9       15.6      124.5      1.585      0.075           O186500200248 
        1.9       15.6      127.5      1.514      0.073           O186500200249 
        1.9       15.6      130.5      1.415      0.071           O186500200250 
        1.9       15.6      133.5      1.319      0.068           O186500200251 
        1.9       15.6      136.5      1.344      0.069           O186500200252 
        1.9       15.6      139.5      1.347      0.069           O186500200253 
        1.9       15.6      142.5      1.301      0.068           O186500200254 
        1.9       15.6      145.5      1.291      0.068           O186500200255 
        1.9       15.6      148.5      1.213      0.066           O186500200256 
        1.9       15.6      151.5      1.181      0.065           O186500200257 
        1.9       15.6      154.5      1.166      0.064           O186500200258 
        1.9       15.6      157.5      0.989      0.059           O186500200259 
        1.9       15.6      160.5      1.018       0.06           O186500200260 
        1.9       15.6      163.5       0.88       0.17           O186500200261 
        1.9       20.0        7.5      13.62        0.2           O186500200262 
        1.9       20.0       10.5       7.69       0.15           O186500200263 
        1.9       20.0       16.5       4.19       0.11           O186500200264 
        1.9       20.0       34.5       2.61       0.11           O186500200265 
        1.9       20.0       37.5      2.528      0.089           O186500200266 
        1.9       20.0       40.5      2.562       0.09           O186500200267 
        1.9       20.0       43.5      2.553       0.09           O186500200268 
        1.9       20.0       46.5      2.433      0.087           O186500200269 
        1.9       20.0       49.5      2.546      0.089           O186500200270 
        1.9       20.0       52.5      2.355      0.086           O186500200271 
        1.9       20.0       55.5      2.239      0.084           O186500200272 
        1.9       20.0       58.5      2.182      0.083           O186500200273 
        1.9       20.0       61.5      2.223      0.084           O186500200274 
        1.9       20.0       64.5      2.286      0.085           O186500200275 
        1.9       20.0       67.5      2.123      0.082           O186500200276 
        1.9       20.0       70.5      2.006      0.079           O186500200277 
        1.9       20.0       73.5      1.918      0.078           O186500200278 
        1.9       20.0       76.5      2.088      0.081           O186500200279 
        1.9       20.0       79.5       1.79      0.075           O186500200280 
        1.9       20.0       82.5      1.787      0.075           O186500200281 
        1.9       20.0       85.5      1.655      0.072           O186500200282 
        1.9       20.0       88.5      1.796      0.075           O186500200283 
        1.9       20.0       91.5      1.604      0.071           O186500200284 
        1.9       20.0       94.5      1.696      0.073           O186500200285 
        1.9       20.0       97.5      1.611      0.071           O186500200286 
        1.9       20.0      100.5       1.63      0.072           O186500200287 
        1.9       20.0      103.5      1.526      0.069           O186500200288 
        1.9       20.0      106.5      1.391      0.066           O186500200289 
        1.9       20.0      109.5      1.422      0.067           O186500200290 
        1.9       20.0      112.5      1.366      0.065           O186500200291 
        1.9       20.0      115.5      1.316      0.064           O186500200292 
        1.9       20.0      118.5      1.353      0.065           O186500200293 
        1.9       20.0      121.5      1.334      0.065           O186500200294 
        1.9       20.0      124.5      1.306      0.064           O186500200295 
        1.9       20.0      127.5      1.115      0.059           O186500200296 
        1.9       20.0      130.5      1.146       0.06           O186500200297 
        1.9       20.0      133.5      1.017      0.057           O186500200298 
        1.9       20.0      136.5      1.168      0.061           O186500200299 
        1.9       20.0      139.5      1.005      0.056           O186500200300 
        1.9       20.0      142.5      1.008      0.056           O186500200301 
        1.9       20.0      145.5       0.98      0.055           O186500200302 
        1.9       20.0      148.5      1.058      0.058           O186500200303 
        1.9       20.0      151.5      0.917      0.054           O186500200304 
        1.9       20.0      154.5      0.841      0.051           O186500200305 
        1.9       20.0      157.5      0.898      0.053           O186500200306 
        1.9       20.0      160.5       0.81       0.05           O186500200307 
        1.9       20.0      163.5       0.68       0.14           O186500200308 
        1.9       35.0        3.5      12.59       0.14           O186500200309 
        1.9       35.0        6.5       12.6       0.17           O186500200310 
        1.9       35.0        9.5       8.27       0.14           O186500200311 
        1.9       35.0       12.5      6.335        0.1           O186500200312 
        1.9       35.0       15.5      4.672      0.086           O186500200313 
        1.9       35.0       18.5      3.593      0.075           O186500200314 
        1.9       35.0       21.5      3.119       0.07           O186500200315 
        1.9       50.0        3.5       9.39       0.12           O186500200316 
        1.9       50.0        6.5      10.21       0.15           O186500200317 
        1.9       50.0        9.5       7.01       0.12           O186500200318 
        1.9       50.0       12.5      5.651       0.09           O186500200319 
        1.9       50.0       15.5      4.246      0.078           O186500200320 
        1.9       50.0       18.5      3.593      0.071           O186500200321 
        1.9       50.0       21.5      3.222      0.068           O186500200322 
        1.9       50.0       24.5       2.86       0.19           O186500200323 
        1.9       65.0        7.5     11.995      0.079           O186500200324 
        1.9       65.0       10.5       7.71      0.063           O186500200325 
        1.9       65.0       16.5      3.629      0.045           O186500200326 
        1.9       65.0       19.5       2.94       0.12           O186500200327 
        1.9       65.0       22.5      2.163      0.042           O186500200328 
        1.9       65.0       25.5      2.128      0.034           O186500200329 
        1.9       65.0       28.5      1.979      0.033           O186500200330 
        1.9       65.0       31.5      1.877      0.032           O186500200331 
        1.9       65.0       34.5      1.765      0.031           O186500200332 
        1.9       65.0       37.5      1.625       0.03           O186500200333 
        1.9       65.0       40.5      1.601       0.03           O186500200334 
        1.9       65.0       43.5      1.614       0.03           O186500200335 
        1.9       65.0       46.5      1.555      0.029           O186500200336 
        1.9       65.0       49.5      1.573      0.029           O186500200337 
        1.9       65.0       52.5      1.553      0.029           O186500200338 
        1.9       65.0       55.5      1.487      0.029           O186500200339 
        1.9       65.0       58.5      1.416      0.028           O186500200340 
        1.9       65.0       61.5      1.374      0.027           O186500200341 
        1.9       65.0       64.5      1.389      0.028           O186500200342 
        1.9       65.0       67.5      1.334      0.027           O186500200343 
        1.9       65.0       70.5      1.309      0.027           O186500200344 
        1.9       65.0       73.5      1.253      0.026           O186500200345 
        1.9       65.0       76.5      1.227      0.026           O186500200346 
        1.9       65.0       79.5      1.309      0.027           O186500200347 
        1.9       65.0       82.5      1.173      0.025           O186500200348 
        1.9       65.0       85.5      1.174      0.025           O186500200349 
        1.9       65.0       88.5      1.151      0.025           O186500200350 
        1.9       65.0       91.5      1.077      0.024           O186500200351 
        1.9       65.0       94.5      1.007      0.024           O186500200352 
        1.9       65.0       97.5      1.013      0.024           O186500200353 
        1.9       65.0      100.5      1.015      0.024           O186500200354 
        1.9       65.0      103.5      0.969      0.023           O186500200355 
        1.9       65.0      106.5      0.952      0.023           O186500200356 
        1.9       65.0      109.5      0.913      0.022           O186500200357 
        1.9       65.0      112.5        0.9      0.022           O186500200358 
        1.9       65.0      115.5      0.873      0.022           O186500200359 
        1.9       65.0      118.5      0.834      0.021           O186500200360 
        1.9       65.0      121.5       0.79      0.021           O186500200361 
        1.9       65.0      124.5      0.793      0.021           O186500200362 
        1.9       65.0      127.5      0.787      0.021           O186500200363 
        1.9       65.0      130.5      0.733       0.02           O186500200364 
        1.9       65.0      133.5      0.725       0.02           O186500200365 
        1.9       65.0      136.5      0.663      0.019           O186500200366 
        1.9       65.0      139.5      0.685      0.019           O186500200367 
        1.9       65.0      142.5      0.674      0.019           O186500200368 
        1.9       65.0      145.5      0.617      0.018           O186500200369 
        1.9       65.0      148.5      0.607      0.018           O186500200370 
        1.9       65.0      151.5      0.576      0.018           O186500200371 
        1.9       65.0      154.5      0.546      0.017           O186500200372 
        1.9       65.0      157.5       0.52      0.017           O186500200373 
        1.9       65.0      160.5      0.496      0.017           O186500200374 
        1.9       65.0      163.5      0.433      0.046           O186500200375 
        1.9       80.0        3.5      9.352      0.057           O186500200376 
        1.9       80.0        6.5      5.841       0.05           O186500200377 
        1.9      100.0        9.5      6.981      0.057           O186500200378 
        1.9      100.0       12.5       4.93      0.048           O186500200379 
        1.9      100.0       15.5       3.22      0.039           O186500200380 
        1.9      100.0       18.5      2.319      0.034           O186500200381 
        1.9      100.0       42.5       1.07      0.023           O186500200382 
        1.9      100.0       45.5      1.002      0.022           O186500200383 
        1.9      100.0       48.5      0.944      0.022           O186500200384 
        1.9      100.0       51.5      0.881      0.021           O186500200385 
        1.9      100.0       54.5      0.842       0.02           O186500200386 
        1.9      100.0       57.5      0.761      0.019           O186500200387 
        1.9      100.0       60.5      0.759      0.019           O186500200388 
        1.9      100.0       63.5      0.682      0.018           O186500200389 
        1.9      100.0       66.5      0.695      0.018           O186500200390 
        1.9      100.0       69.5      0.623      0.017           O186500200391 
        1.9      100.0       72.5      0.593      0.017           O186500200392 
        1.9      100.0       75.5      0.571      0.017           O186500200393 
        1.9      100.0       78.5      0.555      0.016           O186500200394 
        1.9      100.0       81.5      0.517      0.016           O186500200395 
        1.9      100.0       84.5      0.485      0.015           O186500200396 
        1.9      100.0       87.5      0.463      0.015           O186500200397 
        1.9      100.0       90.5      0.421      0.014           O186500200398 
        1.9      100.0       93.5      0.401      0.014           O186500200399 
        1.9      100.0       96.5      0.372      0.014           O186500200400 
        1.9      100.0       99.5      0.352      0.013           O186500200401 
        1.9      100.0      102.5      0.363      0.013           O186500200402 
