ENTRY            O2111   20130104                             O050O211100000001 
SUBENT        O2111001   20130104                             O050O211100100001 
BIB                 12         16                                 O211100100002 
TITLE      Neutron orbit sizes from measurements of the Ni-60(t,d)O211100100003 
           reaction in the sub-coulomb regime.                    O211100100004 
AUTHOR     (R.Chapman, J.N.Mo, J.L.Durell, N.H.Merrill)           O211100100005 
INSTITUTE  (2UK MAN)                                              O211100100006 
REFERENCE  (J,JP/G,2,951,1976)                                    O211100100007 
SAMPLE     The self-supporting targets enriched to 99.6% in Ni-60 O211100100008 
           and of approximate thickness 80 mug/cm**2 were         O211100100009 
           manufactured by an electroplating technique.           O211100100010 
DETECTOR   (SIBAR) Reaction products were detected in six 350 mum O211100100011 
           thick silicon surface-barrier detectors.               O211100100012 
FACILITY   (VDG,2UK MAN) 6 MV Van de Graaff                       O211100100013 
METHOD     (SITA)                                                 O211100100014 
ADD-RES    (COMP).DWBA analysis.                                  O211100100015 
EN-SEC     (E-LVL,28-NI-61)                                       O211100100016 
ERR-ANALYS (ERR-S).The errors on the points are statistical only. O211100100017 
HISTORY    (20130104) SB                                          O211100100018 
ENDBIB              16          0                                 O211100100019 
NOCOMMON             0          0                                 O211100100020 
ENDSUBENT           19          0                                 O211100199999 
SUBENT        O2111002   20130104                             O050O211100200001 
BIB                  2          2                                 O211100200002 
REACTION   (28-NI-60(T,D)28-NI-61,PAR,DA)                         O211100200003 
STATUS     (CURVE).Figure 2 of J,JP/G,2,951,1976                  O211100200004 
ENDBIB               2          0                                 O211100200005 
NOCOMMON             0          0                                 O211100200006 
DATA                 5        156                                 O211100200007 
EN         E-LVL      ANG-CM     DATA-CM    ERR-S                 O211100200008 
        3.0      0.000     138.13  1.458E-01  4.992E-03           O211100200037 
        3.0      0.000     142.45  1.590E-01  6.150E-03           O211100200038 
        3.0      0.000     151.19  1.572E-01  6.308E-03           O211100200039 
        3.0      0.000     157.46  1.604E-01  5.523E-03           O211100200040 
        3.0      0.068      75.52  1.389E-02  1.220E-03           O211100200041 
        3.0      0.068      81.53  1.195E-02  9.530E-04           O211100200042 
        3.0      0.068      84.24  1.199E-02  1.054E-03           O211100200043 
        3.0      0.068      86.94  1.642E-02  1.512E-03           O211100200044 
        3.0      0.068      90.53  2.688E-02  3.200E-03           O211100200045 
        3.0      0.068      97.02  3.087E-02  4.841E-03           O211100200046 
        3.0      0.068     113.72  3.101E-02  1.837E-03           O211100200047 
        3.0      0.068     121.58  3.149E-02  1.478E-03           O211100200048 
        3.0      0.068     127.38  3.795E-02  2.406E-03           O211100200049 
        3.0      0.068     132.25  3.628E-02  2.895E-03           O211100200050 
        3.0      0.068     136.14  3.485E-02  2.354E-03           O211100200051 
        3.0      0.068     140.81  3.496E-02  2.788E-03           O211100200052 
        3.0      0.068     151.72  4.027E-02  1.722E-03           O211100200053 
        3.0      0.068     155.59  3.735E-02  3.275E-03           O211100200054 
        3.0      0.284      56.87  3.656E-02  4.217E-03           O211100200055 
        3.0      0.284      60.87  2.834E-02  4.443E-03           O211100200056 
        3.0      0.284      66.56  2.093E-02  3.811E-03           O211100200057 
        3.0      0.284      71.72  3.706E-02  4.128E-03           O211100200058 
        3.0      0.284      74.81  3.178E-02  1.496E-03           O211100200059 
        3.0      0.284      76.31  4.390E-02  5.222E-03           O211100200060 
        3.0      0.284      83.22  4.288E-02  5.759E-03           O211100200061 
        3.0      0.284      86.70  8.040E-02  4.441E-03           O211100200062 
        3.0      0.284      98.85  8.410E-02  3.948E-03           O211100200063 
        3.0      0.284     121.80  1.068E-01  4.555E-03           O211100200064 
        3.0      0.284     125.81  1.139E-01  4.401E-03           O211100200065 
        3.0      0.284     130.98  1.108E-01  6.115E-03           O211100200066 
        3.0      0.284     136.27  1.251E-01  6.399E-03           O211100200067 
        3.0      0.284     141.22  1.249E-01  5.849E-03           O211100200068 
        3.0      0.284     150.12  1.252E-01  6.390E-03           O211100200069 
        3.0      0.284     155.12  1.329E-01  6.232E-03           O211100200070 
        3.5      0.000      68.84  1.928E-01  8.247E-03           O211100200071 
        3.5      0.000      72.64  2.048E-01  1.047E-02           O211100200072 
        3.5      0.000      78.31  2.523E-01  1.186E-02           O211100200073 
        3.5      0.000      88.78  2.440E-01  1.144E-02           O211100200074 
        3.5      0.000      98.28  3.292E-01  1.406E-02           O211100200075 
        3.5      0.000     106.83  3.492E-01  1.923E-02           O211100200076 
        3.5      0.000     117.43  3.919E-01  1.667E-02           O211100200077 
        3.5      0.000     122.89  3.746E-01  1.445E-02           O211100200078 
        3.5      0.000     127.12  3.614E-01  1.842E-02           O211100200079 
        3.5      0.000     132.26  4.299E-01  2.367E-02           O211100200080 
        3.5      0.000     137.67  3.865E-01  1.489E-02           O211100200081 
        3.5      0.000     142.52  4.363E-01  2.227E-02           O211100200082 
        3.5      0.000     152.52  4.314E-01  2.561E-02           O211100200083 
        3.5      0.000     162.55  4.457E-01  2.280E-02           O211100200084 
        3.5      0.068      72.25  5.805E-02  1.139E-02           O211100200085 
        3.5      0.068      77.15  5.697E-02  7.234E-03           O211100200086 
        3.5      0.068      88.02  8.456E-02  7.757E-03           O211100200087 
        3.5      0.068      98.27  7.899E-02  6.616E-03           O211100200088 
        3.5      0.068     107.45  1.215E-01  9.184E-03           O211100200089 
        3.5      0.068     116.73  1.150E-01  7.291E-03           O211100200090 
        3.5      0.068     122.65  1.194E-01  6.597E-03           O211100200091 
        3.5      0.068     126.43  1.337E-01  1.119E-02           O211100200092 
        3.5      0.068     136.00  1.345E-01  7.977E-03           O211100200093 
        3.5      0.068     141.41  1.355E-01  1.510E-02           O211100200094 
        3.5      0.068     151.19  1.305E-01  1.146E-02           O211100200095 
        3.5      0.068     160.75  1.280E-01  1.173E-02           O211100200096 
        3.5      0.284      67.21  2.132E-01  1.180E-02           O211100200097 
        3.5      0.284      86.84  2.398E-01  1.524E-02           O211100200098 
        3.5      0.284     107.05  2.995E-01  1.527E-02           O211100200099 
        3.5      0.284     116.56  3.436E-01  2.325E-02           O211100200100 
        3.5      0.284     121.01  3.417E-01  1.885E-02           O211100200101 
        3.5      0.284     128.02  3.788E-01  2.092E-02           O211100200102 
        3.5      0.284     131.21  3.704E-01  1.888E-02           O211100200103 
        3.5      0.284     135.59  3.360E-01  1.153E-02           O211100200104 
        3.5      0.284     141.32  3.536E-01  1.811E-02           O211100200105 
        3.5      0.284     150.03  3.784E-01  1.778E-02           O211100200106 
        3.5      0.284     160.45  3.960E-01  2.021E-02           O211100200107 
        4.0      0.000      46.04  3.501E-01  3.227E-02           O211100200108 
        4.0      0.000      49.29  4.565E-01  3.826E-02           O211100200109 
        4.0      0.000      56.50  4.758E-01  2.801E-02           O211100200110 
        4.0      0.000      63.69  5.011E-01  2.208E-02           O211100200111 
        4.0      0.000      66.83  5.507E-01  3.477E-02           O211100200112 
        4.0      0.000      69.86  5.278E-01  3.001E-02           O211100200113 
        4.0      0.000      74.45  6.454E-01  2.662E-02           O211100200114 
        4.0      0.000      78.86  6.409E-01  3.622E-02           O211100200115 
        4.0      0.000      83.34  6.794E-01  2.012E-02           O211100200116 
        4.0      0.000      88.92  7.184E-01  3.072E-02           O211100200117 
        4.0      0.000      94.24  6.897E-01  3.096E-02           O211100200118 
        4.0      0.000      99.07  7.487E-01  4.365E-02           O211100200119 
        4.0      0.000     103.53  7.844E-01  3.536E-02           O211100200120 
        4.0      0.000     109.29  7.603E-01  2.326E-02           O211100200121 
        4.0      0.000     114.06  7.685E-01  2.908E-02           O211100200122 
        4.0      0.000     118.72  7.581E-01  3.237E-02           O211100200123 
        4.0      0.000     122.58  7.806E-01  2.981E-02           O211100200124 
        4.0      0.000     128.01  7.612E-01  2.775E-02           O211100200125 
        4.0      0.000     133.47  7.520E-01  2.579E-02           O211100200126 
        4.0      0.000     138.18  7.283E-01  2.801E-02           O211100200127 
        4.0      0.000     143.21  7.404E-01  3.475E-02           O211100200128 
        4.0      0.000     152.47  7.452E-01  3.803E-02           O211100200129 
        4.0      0.068      57.98  1.024E-01  1.060E-02           O211100200130 
        4.0      0.068      65.27  1.255E-01  2.060E-02           O211100200131 
        4.0      0.068      67.94  1.211E-01  1.210E-02           O211100200132 
        4.0      0.068      77.24  1.598E-01  1.337E-02           O211100200133 
        4.0      0.068      83.46  1.772E-01  8.319E-03           O211100200134 
        4.0      0.068      92.62  1.964E-01  9.218E-03           O211100200135 
        4.0      0.068      97.32  2.040E-01  7.857E-03           O211100200136 
        4.0      0.068     103.01  2.166E-01  1.067E-02           O211100200137 
        4.0      0.068     106.99  2.320E-01  1.088E-02           O211100200138 
        4.0      0.068     112.21  2.507E-01  1.281E-02           O211100200139 
        4.0      0.068     117.39  2.593E-01  1.323E-02           O211100200140 
        4.0      0.068     127.48  2.678E-01  1.145E-02           O211100200141 
        4.0      0.068     132.24  3.036E-01  1.675E-02           O211100200142 
        4.0      0.068     137.33  2.791E-01  1.193E-02           O211100200143 
        4.0      0.068     141.25  2.776E-01  1.112E-02           O211100200144 
        4.0      0.068     150.88  2.996E-01  1.406E-02           O211100200145 
        4.0      0.284      43.36  2.533E-01  3.403E-02           O211100200146 
        4.0      0.284      46.24  2.299E-01  1.554E-02           O211100200147 
        4.0      0.284      51.24  3.315E-01  1.141E-02           O211100200148 
        4.0      0.284      54.01  2.605E-01  3.888E-02           O211100200149 
        4.0      0.284      56.93  4.495E-01  2.294E-02           O211100200150 
        4.0      0.284      63.64  4.667E-01  2.967E-02           O211100200151 
        4.0      0.284      67.87  4.828E-01                      O211100200152 
        4.0      0.284      81.56  5.391E-01  2.913E-02           O211100200153 
        4.0      0.284      87.09  6.005E-01  1.033E-02           O211100200154 
        4.0      0.284      91.73  5.617E-01  3.109E-02           O211100200155 
        4.0      0.284      97.00  6.176E-01  2.122E-02           O211100200156 
        4.0      0.284     101.47  6.305E-01  1.900E-02           O211100200157 
        4.0      0.284     107.17  6.352E-01  1.373E-02           O211100200158 
        4.0      0.284     111.91  6.744E-01  1.454E-02           O211100200159 
        4.0      0.284     117.31  6.363E-01  1.913E-02           O211100200160 
        4.0      0.284     121.75  6.273E-01  1.886E-02           O211100200161 
        4.0      0.284     127.46  6.459E-01  3.028E-02           O211100200162 
        4.0      0.284     135.61  6.389E-01  2.563E-02           O211100200163 
        4.0      0.284     140.80  6.325E-01  1.910E-02           O211100200164 
        4.0      0.284     150.40  5.987E-01  3.052E-02           O211100200165 
ENDDATA            158          0                                 O211100200166 
ENDSUBENT          165          0                                 O211100299999 
SUBENT        O2111003   20130104                             O050O211100300001 
BIB                  2          2                                 O211100300002 
REACTION   (28-NI-60(T,D)28-NI-61,PAR,DA)                         O211100300003 
STATUS     (CURVE).Figure 3 of J,JP/G,2,951,1976                  O211100300004 
ENDBIB               2          0                                 O211100300005 
COMMON               1          3                                 O211100300006 
ANG                                                               O211100300007 
ADEG                                                              O211100300008 
150.                                                              O211100300009 
ENDCOMMON            3          0                                 O211100300010 
DATA                 4         26                                 O211100300011 
E-LVL      EN         DATA-CM    ERR-S                            O211100300012 
MEV        MEV        MB/SR      MB/SR                            O211100300013 
      0.000       2.50      0.030      0.002                      O211100300014 
      0.000       2.73      0.095      0.007                      O211100300015 
      0.000       3.00      0.172      0.010                      O211100300016 
      0.000       3.24      0.343                                 O211100300017 
      0.000       3.49      0.476                                 O211100300018 
      0.000       3.78      0.692                                 O211100300019 
      0.000       4.25      0.828                                 O211100300020 
      0.000       4.52      0.933                                 O211100300021 
      0.000       4.77      0.861                                 O211100300022 
      0.068       2.52      0.006      0.001                      O211100300023 
      0.068       2.75      0.022                                 O211100300024 
      0.068       3.01      0.039      0.003                      O211100300025 
      0.068       3.25      0.089                                 O211100300026 
      0.068       3.51      0.141      0.008                      O211100300027 
      0.068       3.79      0.223                                 O211100300028 
      0.068       4.27      0.352                                 O211100300029 
      0.068       4.53      0.390      0.015                      O211100300030 
      0.068       4.78      0.397      0.018                      O211100300031 
      0.284       2.52      0.030                                 O211100300032 
      0.284       3.02      0.141                                 O211100300033 
      0.284       3.26      0.289                                 O211100300034 
      0.284       3.51      0.410      0.024                      O211100300035 
      0.284       3.78      0.584                                 O211100300036 
      0.284       4.27      0.797                                 O211100300037 
      0.284       4.53      0.823      0.043                      O211100300038 
      0.284       4.78      0.819      0.055                      O211100300039 
ENDDATA             28          0                                 O211100300040 
ENDSUBENT           39          0                                 O211100399999 
ENDENTRY             3          0                                 O211199999999 
