ENTRY            O1935   20120203                             O047O193500000001 
SUBENT        O1935001   20120203                             O047O193500100001 
BIB                 12         17                                 O193500100002 
TITLE      Tl-207 states excited in the (t,a) reaction on Pb-208  O193500100003 
AUTHOR     (S.Hinds, R.Middleton, J.H.Bjerregaad, O.Hansen,       O193500100004 
           O.Nathan)                                              O193500100005 
INSTITUTE  (2UK ALD)                                              O193500100006 
           (2DENCOP)                                              O193500100007 
REFERENCE  (J,PL,17,302,1965)                                     O193500100008 
SAMPLE     A lead target,thickness of approximately 70 mug/cm**2, O193500100009 
           enriched to 99% in Pb-208, was used.                   O193500100010 
DETECTOR   (MAGSP) the 24 gap heavy-particle magnetic spectrographO193500100011 
           (PLATE)                                                O193500100012 
FACILITY   (VDGT,2UK ALD)                                         O193500100013 
METHOD     (SITA)                                                 O193500100014 
ADD-RES    (COMP).The weak coupling model.                        O193500100015 
STATUS     (CURVE).By CAJAD-fig.2,3 of J,PL,17,302,1965           O193500100016 
ERR-ANALYS (DATA-ERR).The uncertainty is reported by authors on   O193500100017 
            figures.                                              O193500100018 
HISTORY    (20120203C) SB                                         O193500100019 
ENDBIB              17          0                                 O193500100020 
NOCOMMON             0          0                                 O193500100021 
ENDSUBENT           20          0                                 O193500199999 
SUBENT        O1935002   20120203                             O047O193500200001 
BIB                  2          2                                 O193500200002 
REACTION   (82-PB-208(T,A)81-TL-207,PAR,DA,,REL)                  O193500200003 
EN-SEC     (E-EXC,81-TL-207)                                      O193500200004 
ENDBIB               2          0                                 O193500200005 
NOCOMMON             0          0                                 O193500200006 
DATA                 5        182                                 O193500200007 
EN         E-EXC      ANG-CM     DATA-CM    DATA-ERR              O193500200008 
       12.0      0.350     124.55      2.191      0.102           O193500200045 
       12.0      0.350     131.26      2.093      0.123           O193500200046 
       12.0      0.350     139.93      1.851      0.077           O193500200047 
       12.0      0.350     146.30      1.697      0.072           O193500200048 
       12.0      0.350     154.32      1.537      0.077           O193500200049 
       12.0      0.350     161.20      1.423      0.092           O193500200050 
       12.0      0.350     168.76      1.453      0.087           O193500200051 
       12.0      0.350     176.44      1.247      0.077           O193500200052 
       12.0      1.340      34.24      0.269      0.074           O193500200053 
       12.0      1.340      42.25      0.320      0.062           O193500200054 
       12.0      1.340      48.81      0.488      0.078           O193500200055 
       12.0      1.340      57.12      0.586      0.078           O193500200056 
       12.0      1.340      65.39      0.847      0.089           O193500200057 
       12.0      1.340      72.80      1.407      0.066           O193500200058 
       12.0      1.340      80.20      1.985      0.062           O193500200059 
       12.0      1.340      86.93      2.091      0.066           O193500200060 
       12.0      1.340      92.06      2.336      0.089           O193500200061 
       12.0      1.340      99.15      2.294      0.089           O193500200062 
       12.0      1.340     107.12      2.486      0.058           O193500200063 
       12.0      1.340     115.60      2.529      0.066           O193500200064 
       12.0      1.340     122.57      2.344      0.081           O193500200065 
       12.0      1.340     129.75      1.939      0.074           O193500200066 
       12.0      1.340     137.72      2.149      0.077           O193500200067 
       12.0      1.340     144.88      1.832      0.074           O193500200068 
       12.0      1.340     152.30      1.706      0.062           O193500200069 
       12.0      1.340     159.39      1.672      0.066           O193500200070 
       12.0      1.340     167.57      1.650      0.054           O193500200071 
       12.0      1.340     174.38      1.465      0.062           O193500200072 
       12.0      1.670      26.43      0.179      0.076           O193500200073 
       12.0      1.670      34.16      0.248      0.092           O193500200074 
       12.0      1.670      42.23      0.371      0.097           O193500200075 
       12.0      1.670      50.31      0.548      0.103           O193500200076 
       12.0      1.670      57.64      1.183      0.081           O193500200077 
       12.0      1.670      65.32      1.895      0.103           O193500200078 
       12.0      1.670      72.97      2.509      0.086           O193500200079 
       12.0      1.670      81.11      3.053      0.108           O193500200080 
       12.0      1.670      89.26      3.624      0.108           O193500200081 
       12.0      1.670      94.22      3.844      0.119           O193500200082 
       12.0      1.670     101.58      3.665      0.124           O193500200083 
       12.0      1.670     110.07      3.404      0.103           O193500200084 
       12.0      1.670     116.94      3.246      0.103           O193500200085 
       12.0      1.670     124.14      3.088      0.124           O193500200086 
       12.0      1.670     131.79      2.687      0.113           O193500200087 
       12.0      1.670     138.64      2.410      0.103           O193500200088 
       12.0      1.670     145.37      2.415      0.092           O193500200089 
       12.0      1.670     153.52      2.051      0.103           O193500200090 
       12.0      1.670     160.24      1.974      0.081           O193500200091 
       12.0      1.670     168.11      1.897      0.113           O193500200092 
       12.0      1.670     175.14      1.712      0.086           O193500200093 
       13.5      0.000      27.59      0.941      0.129           O193500200094 
       13.5      0.000      34.05      1.186      0.156           O193500200095 
       13.5      0.000      42.49      0.726      0.140           O193500200096 
       13.5      0.000      49.22      2.058      0.156           O193500200097 
       13.5      0.000      57.65      3.039      0.183           O193500200098 
       13.5      0.000      65.57      2.217      0.136           O193500200099 
       13.5      0.000      72.51      2.430      0.148           O193500200100 
       13.5      0.000      81.22      3.084      0.175           O193500200101 
       13.5      0.000      87.55      2.067      0.152           O193500200102 
       13.5      0.000      92.23      1.786      0.121           O193500200103 
       13.5      0.000     100.87      1.758      0.148           O193500200104 
       13.5      0.000     107.43      1.442      0.144           O193500200105 
       13.5      0.000     115.71      1.005      0.132           O193500200106 
       13.5      0.000     122.29      0.904      0.113           O193500200107 
       13.5      0.000     129.51      0.771      0.109           O193500200108 
       13.5      0.000     174.85      0.296      0.078           O193500200109 
       13.5      0.350      28.07      0.828      0.143           O193500200110 
       13.5      0.350      35.50      1.082      0.225           O193500200111 
       13.5      0.350      43.21      1.944      0.204           O193500200112 
       13.5      0.350      50.50      2.336      0.235           O193500200113 
       13.5      0.350      60.35      3.203      0.204           O193500200114 
       13.5      0.350      66.84      3.718      0.245           O193500200115 
       13.5      0.350      73.87      3.518      0.199           O193500200116 
       13.5      0.350      81.69      3.169      0.169           O193500200117 
       13.5      0.350      88.90      3.096      0.199           O193500200118 
       13.5      0.350      94.24      2.620      0.189           O193500200119 
       13.5      0.350     101.30      1.674      0.209           O193500200120 
       13.5      0.350     109.52      1.739      0.214           O193500200121 
       13.5      0.350     116.87      1.472      0.143           O193500200122 
       13.5      0.350     124.85      1.087      0.194           O193500200123 
       13.5      0.350     131.23      0.943      0.164           O193500200124 
       13.5      0.350     139.03      0.503      0.158           O193500200125 
       13.5      0.350     146.13      0.721      0.148           O193500200126 
       13.5      0.350     153.64      0.469      0.153           O193500200127 
       13.5      0.350     160.57      0.637      0.148           O193500200128 
       13.5      0.350     168.40      0.360      0.169           O193500200129 
       13.5      0.350     175.95      0.333      0.159           O193500200130 
       13.5      1.340      27.52      0.706      0.089           O193500200131 
       13.5      1.340      34.17      0.544      0.081           O193500200132 
       13.5      1.340      42.60      0.801      0.120           O193500200133 
       13.5      1.340      49.37      1.380      0.136           O193500200134 
       13.5      1.340      57.12      1.811      0.147           O193500200135 
       13.5      1.340      64.92      2.091      0.159           O193500200136 
       13.5      1.340      72.14      2.767      0.186           O193500200137 
       13.5      1.340      80.01      2.729      0.163           O193500200138 
       13.5      1.340      87.16      2.444      0.159           O193500200139 
       13.5      1.340      92.27      2.138      0.159           O193500200140 
       13.5      1.340      99.11      1.818      0.167           O193500200141 
       13.5      1.340     107.73      1.958      0.159           O193500200142 
       13.5      1.340     115.40      1.498      0.128           O193500200143 
       13.5      1.340     122.47      0.872      0.136           O193500200144 
       13.5      1.340     129.76      1.272      0.109           O193500200145 
       13.5      1.340     138.02      0.967      0.120           O193500200146 
       13.5      1.340     144.99      0.778      0.116           O193500200147 
       13.5      1.340     153.03      0.682      0.140           O193500200148 
       13.5      1.340     159.86      1.048      0.136           O193500200149 
       13.5      1.340     168.06      0.367      0.105           O193500200150 
       13.5      1.340     174.59      0.647      0.132           O193500200151 
       13.5      1.670      27.15      0.541      0.135           O193500200152 
       13.5      1.670      34.62      0.988      0.119           O193500200153 
       13.5      1.670      42.80      1.764      0.135           O193500200154 
       13.5      1.670      50.87      1.925      0.221           O193500200155 
       13.5      1.670      58.16      3.252      0.221           O193500200156 
       13.5      1.670      66.81      3.931      0.211           O193500200157 
       13.5      1.670      73.85      3.805      0.194           O193500200158 
       13.5      1.670      82.10      4.003      0.173           O193500200159 
       13.5      1.670      89.16      4.018      0.178           O193500200160 
       13.5      1.670      93.65      3.391      0.194           O193500200161 
       13.5      1.670     102.24      2.736      0.178           O193500200162 
       13.5      1.670     108.95      2.594      0.151           O193500200163 
       13.5      1.670     116.39      1.961      0.184           O193500200164 
       13.5      1.670     123.75      1.781      0.157           O193500200165 
       13.5      1.670     131.36      1.148      0.135           O193500200166 
       13.5      1.670     138.22      0.925      0.146           O193500200167 
       13.5      1.670     145.43      0.816      0.124           O193500200168 
       13.5      1.670     153.14      0.820      0.140           O193500200169 
       13.5      1.670     160.62      1.299      0.135           O193500200170 
       13.5      1.670     167.88      0.547      0.124           O193500200171 
       13.5      1.670     174.79      0.659      0.119           O193500200172 
       13.5      3.480      42.65      0.042      0.012           O193500200173 
       13.5      3.480      49.96      0.049      0.016           O193500200174 
       13.5      3.480      57.29      0.076      0.023           O193500200175 
       13.5      3.480      64.90      0.196      0.032           O193500200176 
       13.5      3.480      73.35      0.107      0.030           O193500200177 
       13.5      3.480      80.46      0.115      0.029           O193500200178 
       13.5      3.480      88.02      0.183      0.038           O193500200179 
       13.5      3.480      92.96      0.266      0.041           O193500200180 
       13.5      3.480     100.52      0.332      0.041           O193500200181 
       13.5      3.480     108.42      0.313      0.043           O193500200182 
       13.5      3.480     115.44      0.208      0.036           O193500200183 
       13.5      3.480     123.16      0.218      0.032           O193500200184 
       13.5      3.480     131.03      0.171      0.040           O193500200185 
       13.5      3.480     137.94      0.182      0.033           O193500200186 
       13.5      3.480     145.84      0.157      0.029           O193500200187 
       13.5      3.480     153.15      0.164      0.035           O193500200188 
       13.5      3.480     160.47      0.186      0.036           O193500200189 
       13.5      3.480     167.50      0.100      0.023           O193500200190 
       13.5      3.480     175.06      0.164      0.029           O193500200191 
ENDDATA            184          0                                 O193500200192 
ENDSUBENT          191          0                                 O193500299999 
ENDENTRY             2          0                                 O193599999999 
