ENTRY            O0511   20080402                             O036O051100000001 
SUBENT        O0511001   20080402                             O036O051100100001 
BIB                 13         35                                 O051100100002 
TITLE      Continuum protons from the inclusive reaction          O051100100003 
           Au-197(p,p') at incident energies between 100 and      O051100100004 
            200 MeV.                                              O051100100005 
AUTHOR     (A.A.Cowley, S.V.Fortsch, J.J.Lawrie, D.M.Whittal,     O051100100006 
           F.D.Smit, J.V.Pilcher)                                 O051100100007 
INSTITUTE  (3SAFNAC)                                              O051100100008 
REFERENCE  (J,ZP/A,336,189,1990)                                  O051100100009 
           (J,PR/C,48,743,1993)                                   O051100100010 
           (J,EUL,13,37,1990)                                     O051100100011 
HISTORY    (19990323C)                                            O051100100012 
           (19990516U) Last checking has been done.               O051100100013 
           (19991117A) Date is corrected                          O051100100014 
           (20080402A) New references was added as reported       O051100100015 
            S.Dunaeva.                                            O051100100016 
REL-REF    (R,,J.V.PILCHER+,J,PR/C,40,1937,1989).Details of       O051100100017 
           experiments.                                           O051100100018 
SAMPLE     A high purity (99.9%) gold foil of thickness 4.02+-    O051100100019 
            4.02+-0.10 mg/cm**2,with a uniformity of better than  O051100100020 
           0.5%/mm, were used as target.                          O051100100021 
ADD-RES    (COMP).The phenomenological parametrization of Kalbach.O051100100022 
DETECTOR   (TELES).The detector telescope consisted of a 1000 mum O051100100023 
           Si(delta-E) detector, followed by a 75*125 mm          O051100100024 
           NaI(E) detector. Correction for reaction loss from the O051100100025 
           NaI detector were performed on the delta-E versus      O051100100026 
           E-spectra.                                             O051100100027 
FACILITY   (CYCLO,3SAFNAC)                                        O051100100028 
METHOD     (SITA)                                                 O051100100029 
           (EDE)                                                  O051100100030 
ERR-ANALYS (ERR-1).A systematic error in the cross section        O051100100031 
           measurements.                                          O051100100032 
           (ERR-2).A relative uncertainty in the cross section    O051100100033 
           measurements.                                          O051100100034 
           (EN-ERR).The uncertainty is reported by authors.       O051100100035 
           Less than 0.5 MeV.                                     O051100100036 
STATUS     (TABLE) From A.A. Cowley.                              O051100100037 
ENDBIB              35          0                                 O051100100038 
COMMON               3          3                                 O051100100039 
EN-ERR     ERR-1      ERR-2                                       O051100100040 
MEV        PER-CENT   PER-CENT                                    O051100100041 
        0.5        10.         8.                                 O051100100042 
ENDCOMMON            3          0                                 O051100100043 
ENDSUBENT           42          0                                 O051100199999 
SUBENT        O0511002   19991117                             0000O051100200001 
BIB                  4          4                                 O051100200002 
REACTION   (79-AU-197(P,INL)79-AU-197,EM,DA/DE)                   O051100200003 
EN-SEC     (E,P)                                                  O051100200004 
PART-DET   (P)                                                    O051100200005 
ERR-ANALYS (ERR-T).The Uncertainty is Reported by Authors.        O051100200006 
ENDBIB               4          0                                 O051100200007 
NOCOMMON             0          0                                 O051100200008 
DATA                 5        424                                 O051100200009 
EN         ANG        E          DATA       ERR-T                 O051100200010 
       120.       120.        40.    0.29132    0.00563           O051100200167 
       120.       120.        60.    0.08576    0.00305           O051100200168 
       120.       120.        80.    0.01489    0.00127           O051100200169 
       120.       120.        90.    0.00576    0.00079           O051100200170 
       120.       120.       100.     0.0013    0.00038           O051100200171 
       120.       120.       110.    0.00033    0.00019           O051100200172 
       150.        15.        60.    3.55819    0.07963           O051100200173 
       150.        15.        80.    3.82717    0.08458           O051100200174 
       150.        15.       100.    4.16998    0.08662           O051100200175 
       150.        15.       110.    4.34578    0.09029           O051100200176 
       150.        15.       120.    4.50575    0.08996           O051100200177 
       150.        20.        60.    2.83634    0.06303           O051100200178 
       150.        20.        80.    3.00302    0.06476           O051100200179 
       150.        20.       100.    3.14331    0.06616           O051100200180 
       150.        20.       110.    3.35999    0.06832           O051100200181 
       150.        20.       120.    3.29332    0.06763           O051100200182 
       150.        25.        60.    2.75907    0.05898           O051100200183 
       150.        25.        80.    3.02892     0.0618           O051100200184 
       150.        25.       100.    3.12854    0.06281           O051100200185 
       150.        25.       110.    3.02136    0.06172           O051100200186 
       150.        25.       120.    2.71493    0.05851           O051100200187 
       150.        30.        60.    2.51146    0.04718           O051100200188 
       150.        30.        80.    2.74195     0.0493           O051100200189 
       150.        30.       100.    2.62759    0.04826           O051100200190 
       150.        30.       110.     2.5283    0.04734           O051100200191 
       150.        30.       120.    2.14178    0.04357           O051100200192 
       150.        35.        60.    2.36889    0.03417           O051100200193 
       150.        35.        80.    2.50096    0.03511           O051100200194 
       150.        35.       100.    2.38269    0.03427           O051100200195 
       150.        35.       110.    2.12298    0.03235           O051100200196 
       150.        35.       120.     1.6972    0.02892           O051100200197 
       150.        40.        60.    2.23329    0.03286           O051100200198 
       150.        40.        80.     2.3237    0.03352           O051100200199 
       150.        40.       100.    1.97171    0.03088           O051100200200 
       150.        40.       110.    1.72851    0.02891           O051100200201 
       150.        40.       120.    1.27741    0.02485           O051100200202 
       150.        45.        60.    2.07075    0.02787           O051100200203 
       150.        45.        80.    2.08388    0.02795           O051100200204 
       150.        45.       100.    1.57425     0.0243           O051100200205 
       150.        45.       110.    1.25738    0.02171           O051100200206 
       150.        45.       120.      0.885    0.01822           O051100200207 
       150.        50.        60.    1.94461    0.02579           O051100200208 
       150.        50.        80.    1.70487    0.02415           O051100200209 
       150.        50.       100.    1.19563    0.02022           O051100200210 
       150.        50.       110.    0.86936    0.01724           O051100200211 
       150.        50.       120.    0.58243    0.01411           O051100200212 
       150.        55.        60.    1.61704    0.02303           O051100200213 
       150.        55.        80.    1.36514    0.02116           O051100200214 
       150.        55.       100.    0.86428    0.01684           O051100200215 
       150.        55.       110.     0.5881    0.02778           O051100200216 
       150.        55.       120.     0.3503    0.01072           O051100200217 
       150.        60.        60.    1.37439    0.02132           O051100200218 
       150.        60.        80.    1.05824    0.01871           O051100200219 
