ENTRY            O2472   20210214                             O083O2472  0    1 
SUBENT        O2472001   20210214                             O083O2472  1    1 
BIB                  9         17                                 O2472  1    2 
TITLE      Resolving the 11B(p,alpha) cross-section               O2472  1    3 
           discrepancies between 0.5 and 3.5 MeV                  O2472  1    4 
AUTHOR     (M.Munch,O.S.Kirsebom,J.A.Swartz,H.O.U.Fynbo)          O2472  1    5 
INSTITUTE  (2DENAAU,2DENRIS)                                      O2472  1    6 
           (1CANCAN) Institute for Big Data Analytics, Dalhousie  O2472  1    7 
           University, Halifax, Canada                            O2472  1    8 
REFERENCE  (J,EPJ/A,56,17,2020)                                   O2472  1    9 
           #doi:10.1140/epja/s10050-019-00016-8                   O2472  1   10 
FACILITY   (ACCEL,2DENAAU)                                        O2472  1   11 
SAMPLE     (6-C-11,ENR=0.99) The boron target was manufactured    O2472  1   12 
           by evaporating 99% enriched 11B onto a thin about 4    O2472  1   13 
           ug/cm2 natural carbon backing. The 11B thickness was   O2472  1   14 
           12.6(12) ug/cm2.                                       O2472  1   15 
DETECTOR   (SISD) Four double sided silicon strip detectors       O2472  1   16 
METHOD     (BCINT)                                                O2472  1   17 
HISTORY    (20200215R) Received from Dr. M.Munch trough IAEA-NDS. O2472  1   18 
           (20210214C) VS                                         O2472  1   19 
ENDBIB              17          0                                 O2472  1   20 
COMMON               1          3                                 O2472  1   21 
E-LVL                                                             O2472  1   22 
MEV                                                               O2472  1   23 
  0.0                                                             O2472  1   24 
ENDCOMMON            3          0                                 O2472  1   25 
ENDSUBENT           24          0                                 O2472  199999 
SUBENT        O2472002   20210214                             O083O2472  2    1 
BIB                  3          3                                 O2472  2    2 
REACTION   (5-B-11(P,A)4-BE-8,PAR,DA)                             O2472  2    3 
ERR-ANALYS (ERR-S) Counting statistics uncertainties.             O2472  2    4 
STATUS     (TABLE) Plotted on Fig.4 of Eur.Phys.J.A56(2020)17     O2472  2    5 
ENDBIB               3          0                                 O2472  2    6 
NOCOMMON             0          0 3                               O2472  2    7 
DATA                 5        415                                 O2472  2    8 
EN         ANG-CM     ANG-ERR    DATA-CM    ERR-S                 O2472  2    9 
       950.      152.5        5.0     0.2092     0.0211           O2472  2   44 
       950.      157.5        5.0     0.1629     0.0206           O2472  2   45 
       950.      162.5        5.0     0.1892     0.0250           O2472  2   46 
       950.      167.5        5.0     0.1343     0.0458           O2472  2   47 
      1100.       30.0       10.0     0.3884     0.0220           O2472  2   48 
      1100.       67.5        5.0     0.7395     0.0572           O2472  2   49 
      1100.       72.5        5.0     0.8829     0.0645           O2472  2   50 
      1100.       77.5        5.0     0.8919     0.0655           O2472  2   51 
      1100.       82.5        5.0     0.7013     0.0559           O2472  2   52 
      1100.       87.5        5.0     0.6740     0.0734           O2472  2   53 
      1100.       97.5        5.0     0.6027     0.0441           O2472  2   54 
      1100.      102.5        5.0     0.4862     0.0387           O2472  2   55 
      1100.      107.5        5.0     0.5058     0.0409           O2472  2   56 
      1100.      112.5        5.0     0.3970     0.0355           O2472  2   57 
      1100.      117.5        5.0     0.3414     0.0330           O2472  2   58 
      1100.      122.5        5.0     0.4741     0.0470           O2472  2   59 
      1100.      147.5        5.0     0.1574     0.0170           O2472  2   60 
      1100.      152.5        5.0     0.1349     0.0135           O2472  2   61 
      1100.      157.5        5.0     0.1348     0.0147           O2472  2   62 
      1100.      162.5        5.0     0.1169     0.0160           O2472  2   63 
      1100.      167.5        5.0     0.1048     0.0311           O2472  2   64 
      1300.       30.0       10.0     0.4369     0.0210           O2472  2   65 
      1300.       67.5        5.0     0.8891     0.0573           O2472  2   66 
      1300.       72.5        5.0     0.7597     0.0528           O2472  2   67 
      1300.       77.5        5.0     0.8037     0.0545           O2472  2   68 
      1300.       82.5        5.0     0.7498     0.0514           O2472  2   69 
      1300.       87.5        5.0     0.7328     0.0670           O2472  2   70 
      1300.       97.5        5.0     0.5563     0.0384           O2472  2   71 
      1300.      102.5        5.0     0.4461     0.0328           O2472  2   72 
      1300.      107.5        5.0     0.4227     0.0321           O2472  2   73 
      1300.      112.5        5.0     0.3546     0.0289           O2472  2   74 
      1300.      117.5        5.0     0.2846     0.0254           O2472  2   75 
      1300.      122.5        5.0     0.3350     0.0335           O2472  2   76 
      1300.      147.5        5.0     0.1232     0.0130           O2472  2   77 
      1300.      152.5        5.0     0.0769     0.0086           O2472  2   78 
      1300.      157.5        5.0     0.0703     0.0090           O2472  2   79 
      1300.      162.5        5.0     0.0468     0.0083           O2472  2   80 
      1300.      167.5        5.0     0.0541     0.0184           O2472  2   81 
      1500.       30.0       10.0     0.4456     0.0197           O2472  2   82 
      1500.       67.5        5.0     0.9130     0.0572           O2472  2   83 
      1500.       72.5        5.0     0.8386     0.0534           O2472  2   84 
      1500.       77.5        5.0     0.8721     0.0553           O2472  2   85 
      1500.       82.5        5.0     0.7554     0.0486           O2472  2   86 
      1500.       87.5        5.0     0.6929     0.0582           O2472  2   87 
      1500.       97.5        5.0     0.4858     0.0333           O2472  2   88 
      1500.      102.5        5.0     0.4530     0.0313           O2472  2   89 
      1500.      107.5        5.0     0.3706     0.0283           O2472  2   90 
      1500.      112.5        5.0     0.2855     0.0233           O2472  2   91 
      1500.      117.5        5.0     0.2620     0.0230           O2472  2   92 
      1500.      122.5        5.0     0.2199     0.0232           O2472  2   93 
      1500.      147.5        5.0     0.0543     0.0079           O2472  2   94 
      1500.      152.5        5.0     0.0382     0.0055           O2472  2   95 
      1500.      157.5        5.0     0.0358     0.0058           O2472  2   96 
      1500.      162.5        5.0     0.0197     0.0048           O2472  2   97 
      1500.      167.5        5.0     0.0267     0.0121           O2472  2   98 
      1700.       30.0       10.0     0.4641     0.0210           O2472  2   99 
      1700.       67.5        5.0     0.9353     0.0580           O2472  2  100 
      1700.       72.5        5.0     0.9431     0.0603           O2472  2  101 
      1700.       77.5        5.0     0.9148     0.0581           O2472  2  102 
      1700.       82.5        5.0     0.7824     0.0519           O2472  2  103 
      1700.       87.5        5.0     0.6731     0.0565           O2472  2  104 
      1700.       97.5        5.0     0.4171     0.0320           O2472  2  105 
      1700.      102.5        5.0     0.3670     0.0280           O2472  2  106 
      1700.      107.5        5.0     0.2943     0.0255           O2472  2  107 
      1700.      112.5        5.0     0.2612     0.0234           O2472  2  108 
      1700.      117.5        5.0     0.1675     0.0179           O2472  2  109 
      1700.      122.5        5.0     0.1996     0.0230           O2472  2  110 
      1700.      147.5        5.0     0.0992     0.0116           O2472  2  111 
      1700.      152.5        5.0     0.0922     0.0092           O2472  2  112 
      1700.      157.5        5.0     0.0938     0.0099           O2472  2  113 
      1700.      162.5        5.0     0.1029     0.0118           O2472  2  114 
      1700.      167.5        5.0     0.1276     0.0280           O2472  2  115 
      1900.       30.0       10.0     0.5680     0.0232           O2472  2  116 
      1900.       67.5        5.0     1.1066     0.0655           O2472  2  117 
      1900.       72.5        5.0     1.1459     0.0678           O2472  2  118 
      1900.       77.5        5.0     1.0022     0.0610           O2472  2  119 
      1900.       82.5        5.0     0.8443     0.0521           O2472  2  120 
      1900.       87.5        5.0     0.7607     0.0582           O2472  2  121 
      1900.       97.5        5.0     0.4586     0.0344           O2472  2  122 
      1900.      102.5        5.0     0.4045     0.0283           O2472  2  123 
      1900.      107.5        5.0     0.4185     0.0300           O2472  2  124 
      1900.      112.5        5.0     0.3107     0.0247           O2472  2  125 
      1900.      117.5        5.0     0.2886     0.0240           O2472  2  126 
      1900.      122.5        5.0     0.3572     0.0306           O2472  2  127 
      1900.      147.5        5.0     0.3436     0.0233           O2472  2  128 
      1900.      152.5        5.0     0.3586     0.0187           O2472  2  129 
      1900.      157.5        5.0     0.4089     0.0225           O2472  2  130 
      1900.      162.5        5.0     0.3736     0.0239           O2472  2  131 
      1900.      167.5        5.0     0.5073     0.0596           O2472  2  132 
      1935.       30.0       10.0     0.8087     0.0316           O2472  2  133 
      1935.       67.5        5.0     1.3957     0.0746           O2472  2  134 
      1935.       72.5        5.0     1.4640     0.0819           O2472  2  135 
      1935.       77.5        5.0     1.1352     0.0634           O2472  2  136 
      1935.       82.5        5.0     1.0895     0.0617           O2472  2  137 
      1935.       87.5        5.0     1.1359     0.0770           O2472  2  138 
      1935.       97.5        5.0     0.5793     0.0392           O2472  2  139 
      1935.      102.5        5.0     0.6017     0.0356           O2472  2  140 
      1935.      107.5        5.0     0.5549     0.0348           O2472  2  141 
      1935.      112.5        5.0     0.5293     0.0340           O2472  2  142 
      1935.      117.5        5.0     0.4779     0.0313           O2472  2  143 
      1935.      122.5        5.0     0.5914     0.0411           O2472  2  144 
      1935.      147.5        5.0     0.5754     0.0314           O2472  2  145 
      1935.      152.5        5.0     0.5865     0.0293           O2472  2  146 
      1935.      157.5        5.0     0.6422     0.0321           O2472  2  147 
      1935.      162.5        5.0     0.5925     0.0315           O2472  2  148 
      1935.      167.5        5.0     0.8354     0.0824           O2472  2  149 
      1970.       30.0       10.0     1.1323     0.0404           O2472  2  150 
      1970.       67.5        5.0     1.5079     0.0754           O2472  2  151 
      1970.       72.5        5.0     1.4689     0.0734           O2472  2  152 
      1970.       77.5        5.0     1.4397     0.0720           O2472  2  153 
      1970.       82.5        5.0     1.2401     0.0620           O2472  2  154 
      1970.       87.5        5.0     1.2034     0.0683           O2472  2  155 
      1970.       97.5        5.0     0.9135     0.0459           O2472  2  156 
      1970.      102.5        5.0     0.8838     0.0442           O2472  2  157 
      1970.      107.5        5.0     0.8847     0.0442           O2472  2  158 
      1970.      112.5        5.0     1.0002     0.0500           O2472  2  159 
      1970.      117.5        5.0     0.9344     0.0467           O2472  2  160 
      1970.      122.5        5.0     1.1042     0.0552           O2472  2  161 
      1970.      147.5        5.0     0.9036     0.0452           O2472  2  162 
      1970.      152.5        5.0     0.9182     0.0459           O2472  2  163 
      1970.      157.5        5.0     0.9231     0.0462           O2472  2  164 
      1970.      162.5        5.0     0.8344     0.0417           O2472  2  165 
      1970.      167.5        5.0     0.9376     0.0744           O2472  2  166 
      2000.       30.0       10.0     1.3660     0.0489           O2472  2  167 
      2000.       67.5        5.0     1.1737     0.0587           O2472  2  168 
      2000.       72.5        5.0     1.1563     0.0578           O2472  2  169 
      2000.       77.5        5.0     1.0511     0.0526           O2472  2  170 
      2000.       82.5        5.0     1.0449     0.0522           O2472  2  171 
      2000.       87.5        5.0     0.9530     0.0494           O2472  2  172 
      2000.       97.5        5.0     0.9398     0.0470           O2472  2  173 
      2000.      102.5        5.0     1.0751     0.0538           O2472  2  174 
      2000.      107.5        5.0     1.1791     0.0590           O2472  2  175 
      2000.      112.5        5.0     1.1754     0.0588           O2472  2  176 
      2000.      117.5        5.0     1.3302     0.0665           O2472  2  177 
      2000.      122.5        5.0     1.4695     0.0735           O2472  2  178 
      2000.      147.5        5.0     1.0350     0.0517           O2472  2  179 
      2000.      152.5        5.0     0.9583     0.0479           O2472  2  180 
      2000.      157.5        5.0     0.8936     0.0447           O2472  2  181 
      2000.      162.5        5.0     0.7446     0.0372           O2472  2  182 
      2000.      167.5        5.0     0.7562     0.0554           O2472  2  183 
      2030.       30.0       10.0     0.8537     0.0338           O2472  2  184 
      2030.       67.5        5.0     0.5965     0.0433           O2472  2  185 
      2030.       72.5        5.0     0.5933     0.0433           O2472  2  186 
      2030.       77.5        5.0     0.5668     0.0413           O2472  2  187 
      2030.       82.5        5.0     0.5469     0.0411           O2472  2  188 
      2030.       87.5        5.0     0.5042     0.0444           O2472  2  189 
      2030.       97.5        5.0     0.5316     0.0401           O2472  2  190 
      2030.      102.5        5.0     0.6450     0.0395           O2472  2  191 
      2030.      107.5        5.0     0.7651     0.0462           O2472  2  192 
      2030.      112.5        5.0     0.7849     0.0469           O2472  2  193 
      2030.      117.5        5.0     0.8883     0.0510           O2472  2  194 
      2030.      122.5        5.0     1.2309     0.0727           O2472  2  195 
      2030.      147.5        5.0     0.6166     0.0358           O2472  2  196 
      2030.      152.5        5.0     0.5188     0.0259           O2472  2  197 
      2030.      157.5        5.0     0.3863     0.0222           O2472  2  198 
      2030.      162.5        5.0     0.3109     0.0223           O2472  2  199 
      2030.      167.5        5.0     0.1970     0.0336           O2472  2  200 
      2100.       30.0       10.0     0.6229     0.0231           O2472  2  201 
      2100.       67.5        5.0     0.6527     0.0346           O2472  2  202 
      2100.       72.5        5.0     0.5789     0.0316           O2472  2  203 
      2100.       77.5        5.0     0.4790     0.0263           O2472  2  204 
      2100.       82.5        5.0     0.4446     0.0246           O2472  2  205 
      2100.       87.5        5.0     0.3898     0.0259           O2472  2  206 
      2100.       97.5        5.0     0.3229     0.0205           O2472  2  207 
      2100.      102.5        5.0     0.3431     0.0178           O2472  2  208 
      2100.      107.5        5.0     0.3888     0.0204           O2472  2  209 
      2100.      112.5        5.0     0.3885     0.0202           O2472  2  210 
      2100.      117.5        5.0     0.4368     0.0227           O2472  2  211 
      2100.      122.5        5.0     0.5468     0.0291           O2472  2  212 
      2100.      147.5        5.0     0.3685     0.0184           O2472  2  213 
      2100.      152.5        5.0     0.3378     0.0169           O2472  2  214 
      2100.      157.5        5.0     0.2510     0.0125           O2472  2  215 
      2100.      162.5        5.0     0.2002     0.0108           O2472  2  216 
      2100.      167.5        5.0     0.1544     0.0185           O2472  2  217 
      2150.       30.0       10.0     0.7888     0.0308           O2472  2  218 
      2150.       67.5        5.0     1.0411     0.0590           O2472  2  219 
      2150.       72.5        5.0     0.9120     0.0535           O2472  2  220 
      2150.       77.5        5.0     0.8574     0.0527           O2472  2  221 
      2150.       82.5        5.0     0.6352     0.0405           O2472  2  222 
      2150.       87.5        5.0     0.5184     0.0402           O2472  2  223 
      2150.       97.5        5.0     0.2927     0.0250           O2472  2  224 
      2150.      102.5        5.0     0.3200     0.0231           O2472  2  225 
      2150.      107.5        5.0     0.3263     0.0239           O2472  2  226 
      2150.      112.5        5.0     0.3797     0.0259           O2472  2  227 
      2150.      117.5        5.0     0.4309     0.0295           O2472  2  228 
      2150.      122.5        5.0     0.4927     0.0338           O2472  2  229 
      2150.      147.5        5.0     0.5385     0.0303           O2472  2  230 
      2150.      152.5        5.0     0.5624     0.0281           O2472  2  231 
      2150.      157.5        5.0     0.4759     0.0238           O2472  2  232 
      2150.      162.5        5.0     0.4454     0.0248           O2472  2  233 
      2150.      167.5        5.0     0.4529     0.0517           O2472  2  234 
      2250.       30.0       10.0     1.1303     0.0432           O2472  2  235 
      2250.       67.5        5.0     1.3035     0.0712           O2472  2  236 
      2250.       72.5        5.0     1.2388     0.0694           O2472  2  237 
      2250.       77.5        5.0     1.0473     0.0613           O2472  2  238 
      2250.       82.5        5.0     0.8214     0.0498           O2472  2  239 
      2250.       87.5        5.0     0.6958     0.0495           O2472  2  240 
      2250.       97.5        5.0     0.4068     0.0331           O2472  2  241 
      2250.      102.5        5.0     0.3477     0.0243           O2472  2  242 
      2250.      107.5        5.0     0.4459     0.0302           O2472  2  243 
      2250.      112.5        5.0     0.5186     0.0328           O2472  2  244 
      2250.      117.5        5.0     0.6058     0.0371           O2472  2  245 
      2250.      122.5        5.0     0.8324     0.0507           O2472  2  246 
      2250.      147.5        5.0     0.9421     0.0471           O2472  2  247 
      2250.      152.5        5.0     0.9988     0.0499           O2472  2  248 
      2250.      157.5        5.0     0.9405     0.0470           O2472  2  249 
      2250.      162.5        5.0     0.8881     0.0444           O2472  2  250 
      2250.      167.5        5.0     0.8407     0.0802           O2472  2  251 
      2350.       30.0       10.0     1.9734     0.0717           O2472  2  252 
      2350.       67.5        5.0     2.0365     0.1018           O2472  2  253 
      2350.       72.5        5.0     1.9571     0.0988           O2472  2  254 
      2350.       77.5        5.0     1.6140     0.0846           O2472  2  255 
      2350.       82.5        5.0     1.1931     0.0647           O2472  2  256 
      2350.       87.5        5.0     0.9483     0.0598           O2472  2  257 
      2350.       97.5        5.0     0.5544     0.0393           O2472  2  258 
      2350.      102.5        5.0     0.5637     0.0327           O2472  2  259 
      2350.      107.5        5.0     0.6761     0.0379           O2472  2  260 
      2350.      112.5        5.0     0.8158     0.0439           O2472  2  261 
      2350.      117.5        5.0     1.0769     0.0553           O2472  2  262 
      2350.      122.5        5.0     1.4747     0.0775           O2472  2  263 
      2350.      147.5        5.0     1.8402     0.0920           O2472  2  264 
      2350.      152.5        5.0     1.8801     0.0940           O2472  2  265 
      2350.      157.5        5.0     1.9235     0.0962           O2472  2  266 
      2350.      162.5        5.0     1.7288     0.0864           O2472  2  267 
      2350.      167.5        5.0     1.8698     0.1452           O2472  2  268 
      2450.       30.0       10.0     3.4594     0.1239           O2472  2  269 
      2450.       67.5        5.0     3.3316     0.1666           O2472  2  270 
      2450.       72.5        5.0     2.9354     0.1468           O2472  2  271 
      2450.       77.5        5.0     2.3829     0.1191           O2472  2  272 
      2450.       82.5        5.0     1.7042     0.0876           O2472  2  273 
      2450.       87.5        5.0     1.4727     0.0859           O2472  2  274 
      2450.       97.5        5.0     0.8931     0.0573           O2472  2  275 
      2450.      102.5        5.0     1.0678     0.0535           O2472  2  276 
      2450.      107.5        5.0     1.3460     0.0673           O2472  2  277 
      2450.      112.5        5.0     1.6163     0.0808           O2472  2  278 
      2450.      117.5        5.0     2.0472     0.1024           O2472  2  279 
      2450.      122.5        5.0     2.7488     0.1374           O2472  2  280 
      2450.      147.5        5.0     3.3057     0.1653           O2472  2  281 
      2450.      152.5        5.0     3.4935     0.1747           O2472  2  282 
      2450.      157.5        5.0     3.4528     0.1726           O2472  2  283 
      2450.      162.5        5.0     3.2443     0.1622           O2472  2  284 
      2450.      167.5        5.0     3.7862     0.2763           O2472  2  285 
      2550.       32.5       10.0     5.4002     0.1946           O2472  2  286 
      2550.       67.5        5.0     4.4994     0.2250           O2472  2  287 
      2550.       72.5        5.0     3.6919     0.1846           O2472  2  288 
      2550.       77.5        5.0     3.1470     0.1574           O2472  2  289 
      2550.       82.5        5.0     2.4493     0.1225           O2472  2  290 
      2550.       87.5        5.0     1.9109     0.1062           O2472  2  291 
      2550.       97.5        5.0     1.4961     0.0862           O2472  2  292 
      2550.      102.5        5.0     1.5664     0.0783           O2472  2  293 
      2550.      107.5        5.0     2.2293     0.1115           O2472  2  294 
      2550.      112.5        5.0     2.6121     0.1306           O2472  2  295 
      2550.      117.5        5.0     3.3181     0.1659           O2472  2  296 
      2550.      122.5        5.0     4.5694     0.2285           O2472  2  297 
      2550.      147.5        5.0     5.4943     0.2747           O2472  2  298 
      2550.      152.5        5.0     5.7139     0.2857           O2472  2  299 
      2550.      157.5        5.0     5.6067     0.2803           O2472  2  300 
      2550.      162.5        5.0     5.1596     0.2580           O2472  2  301 
      2550.      167.5        5.0     6.4543     0.4595           O2472  2  302 
      2640.       32.5       10.0     5.9478     0.2134           O2472  2  303 
      2640.       67.5        5.0     4.0255     0.2013           O2472  2  304 
      2640.       72.5        5.0     3.3438     0.1672           O2472  2  305 
      2640.       77.5        5.0     2.7394     0.1370           O2472  2  306 
      2640.       82.5        5.0     2.0321     0.1016           O2472  2  307 
      2640.       87.5        5.0     1.6642     0.0832           O2472  2  308 
      2640.       97.5        5.0     1.4940     0.0747           O2472  2  309 
      2640.      102.5        5.0     1.8707     0.0935           O2472  2  310 
      2640.      107.5        5.0     2.4213     0.1211           O2472  2  311 
      2640.      112.5        5.0     3.1466     0.1573           O2472  2  312 
      2640.      117.5        5.0     3.8759     0.1938           O2472  2  313 
      2640.      122.5        5.0     5.3945     0.2697           O2472  2  314 
      2640.      147.5        5.0     6.1679     0.3084           O2472  2  315 
      2640.      152.5        5.0     6.3804     0.3190           O2472  2  316 
      2640.      157.5        5.0     6.4883     0.3244           O2472  2  317 
      2640.      162.5        5.0     5.9995     0.3000           O2472  2  318 
      2640.      167.5        5.0     6.4436     0.4093           O2472  2  319 
      2700.       32.5       10.0     4.9022     0.1804           O2472  2  320 
      2700.       67.5        5.0     3.0485     0.1524           O2472  2  321 
      2700.       72.5        5.0     2.4359     0.1218           O2472  2  322 
      2700.       77.5        5.0     1.9872     0.0995           O2472  2  323 
      2700.       82.5        5.0     1.4386     0.0741           O2472  2  324 
      2700.       87.5        5.0     1.2155     0.0711           O2472  2  325 
      2700.       97.5        5.0     1.2340     0.0743           O2472  2  326 
      2700.      102.5        5.0     1.5246     0.0762           O2472  2  327 
      2700.      107.5        5.0     2.2726     0.1136           O2472  2  328 
      2700.      112.5        5.0     2.6011     0.1301           O2472  2  329 
      2700.      117.5        5.0     3.4990     0.1749           O2472  2  330 
      2700.      122.5        5.0     4.5619     0.2281           O2472  2  331 
      2700.      147.5        5.0     5.3539     0.2677           O2472  2  332 
      2700.      152.5        5.0     5.4693     0.2735           O2472  2  333 
      2700.      157.5        5.0     5.6032     0.2802           O2472  2  334 
      2700.      162.5        5.0     4.9000     0.2450           O2472  2  335 
      2700.      167.5        5.0     5.6887     0.3887           O2472  2  336 
      2800.       32.5       10.0     2.6250     0.0983           O2472  2  337 
      2800.       67.5        5.0     1.3754     0.0747           O2472  2  338 
      2800.       67.5        5.0     2.7619     0.1998           O2472  2  339 
      2800.       72.5        5.0     1.0955     0.0594           O2472  2  340 
      2800.       77.5        5.0     0.9066     0.0534           O2472  2  341 
      2800.       82.5        5.0     0.6703     0.0414           O2472  2  342 
      2800.       87.5        5.0     0.6528     0.0438           O2472  2  343 
      2800.       97.5        5.0     0.8323     0.0554           O2472  2  344 
      2800.      102.5        5.0     0.9834     0.0492           O2472  2  345 
      2800.      107.5        5.0     1.4538     0.0727           O2472  2  346 
      2800.      112.5        5.0     1.8634     0.0932           O2472  2  347 
      2800.      117.5        5.0     2.2634     0.1132           O2472  2  348 
      2800.      122.5        5.0     2.6003     0.1300           O2472  2  349 
      2800.      147.5        5.0     3.0055     0.1503           O2472  2  350 
      2800.      152.5        5.0     3.0685     0.1534           O2472  2  351 
      2800.      157.5        5.0     3.0701     0.1535           O2472  2  352 
      2800.      162.5        5.0     2.7839     0.1392           O2472  2  353 
      2900.       32.5       10.0     0.6434     0.0260           O2472  2  354 
      2900.       67.5        5.0     0.3764     0.0267           O2472  2  355 
      2900.       72.5        5.0     0.3176     0.0241           O2472  2  356 
      2900.       77.5        5.0     0.2581     0.0215           O2472  2  357 
      2900.       82.5        5.0     0.3043     0.0226           O2472  2  358 
      2900.       87.5        5.0     0.3544     0.0279           O2472  2  359 
      2900.       92.5        5.0     0.3595     0.4403           O2472  2  360 
      2900.       97.5        5.0     0.4405     0.0339           O2472  2  361 
      2900.      102.5        5.0     0.5981     0.0327           O2472  2  362 
      2900.      107.5        5.0     0.7353     0.0388           O2472  2  363 
      2900.      112.5        5.0     0.8605     0.0437           O2472  2  364 
      2900.      117.5        5.0     1.0958     0.0554           O2472  2  365 
      2900.      122.5        5.0     1.2433     0.0633           O2472  2  366 
      2900.      147.5        5.0     1.0332     0.0517           O2472  2  367 
      2900.      152.5        5.0     1.0347     0.0517           O2472  2  368 
      2900.      157.5        5.0     0.9538     0.0477           O2472  2  369 
      2900.      162.5        5.0     0.8022     0.0401           O2472  2  370 
      2900.      167.5        5.0     0.8435     0.0746           O2472  2  371 
      3000.       32.5       10.0     0.2017     0.0105           O2472  2  372 
      3000.       67.5        5.0     0.2888     0.0227           O2472  2  373 
      3000.       72.5        5.0     0.3103     0.0241           O2472  2  374 
      3000.       77.5        5.0     0.2836     0.0226           O2472  2  375 
      3000.       82.5        5.0     0.2287     0.0191           O2472  2  376 
      3000.       87.5        5.0     0.2513     0.0219           O2472  2  377 
      3000.       92.5        5.0     0.4791     0.4374           O2472  2  378 
      3000.       97.5        5.0     0.2390     0.0232           O2472  2  379 
      3000.      102.5        5.0     0.2559     0.0181           O2472  2  380 
