EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              O177500200011 
MEV        MEV        ADEG       MB/SR      PER-CENT              O177500200012 
    7.00000    5.49000   68.60000    0.10500   11.00000           O177500200197 
    7.00000    5.49000   90.50000    0.05100   12.00000           O177500200198 
    7.00000    5.49000   98.60000    0.05800   14.00000           O177500200199 
ENDDATA            189          0                                 O177500200200 
ENDSUBENT          199          0                                 O177500299999 
SUBENT        O1775003   20090810                             O040O177500300001 
BIB                  3          6                                 O177500300002 
REACTION   (42-MO-94(D,N)43-TC-95,PAR,DA) fig.3,4                 O177500300003 
EN-SEC     (E-LVL,43-TC-95)                                       O177500300004 
LEVEL-PROP (43-TC-95,E-LVL=0.00,SPIN=4.5,PARITY=+1.)              O177500300005 
           (43-TC-95,E-LVL=0.039,SPIN=0.5,PARITY=-1.)             O177500300006 
           (43-TC-95,E-LVL=1.66,SPIN=0.5,PARITY=+1.)              O177500300007 
           (43-TC-95,E-LVL=3.81,SPIN=0.5,PARITY=+1.)              O177500300008 
ENDBIB               6          0                                 O177500300009 
NOCOMMON             0          0                                 O177500300010 
DATA                 5        209                                 O177500300011 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              O177500300012 
MEV        MEV        ADEG       MB/SR      PER-CENT              O177500300013 
    6.25000    0.00000    0.00000    0.26500    3.30000           O177500300014 
    6.25000    0.00000    7.80000    0.24800    6.00000           O177500300015 
    6.25000    0.00000   15.00000    0.26000    6.00000           O177500300016 
    6.25000    0.00000   22.70000    0.24300    7.00000           O177500300017 
    6.25000    0.00000   29.90000    0.20900    8.00000           O177500300018 
    6.25000    0.00000   37.20000    0.17700    7.00000           O177500300019 
    6.25000    0.00000   44.50000    0.13900    9.00000           O177500300020 
    6.25000    0.00000   52.60000    0.12500   10.00000           O177500300021 
    6.25000    0.00000   59.80000    0.12900    9.00000           O177500300022 
    6.25000    0.00000   67.00000    0.11900   10.00000           O177500300023 
    6.25000    0.00000   74.20000    0.12800    7.00000           O177500300024 
    6.25000    0.00000   82.00000    0.08800    8.00000           O177500300025 
    6.25000    0.00000   89.60000    0.09200   11.00000           O177500300026 
    6.25000    0.00000   97.30000    0.08100   10.00000           O177500300027 
    6.25000    0.00000  104.10000    0.06000   13.00000           O177500300028 
    6.25000    0.03900    0.00000    0.04000   10.00000           O177500300029 
    6.25000    0.03900    6.90000    0.04500   18.00000           O177500300030 
    6.25000    0.03900   14.40000    0.05000   20.00000           O177500300031 
    6.25000    0.03900   22.00000    0.05000   22.00000           O177500300032 
    6.25000    0.03900   29.20000    0.02000   25.00000           O177500300033 
    6.25000    0.64800   14.20000    0.03200   16.00000           O177500300034 
    6.25000    0.64800   20.90000    0.03100   16.00000           O177500300035 
    6.25000    0.64800   28.50000    0.03200   16.00000           O177500300036 
    6.25000    0.64800   36.60000    0.03300   18.00000           O177500300037 
    6.25000    0.64800   44.00000    0.02200   14.00000           O177500300038 
    6.25000    0.64800   50.90000    0.01300   23.00000           O177500300039 
    6.25000    0.64800   58.60000    0.01150   25.00000           O177500300040 
    6.25000    1.45000   13.70000    0.02400   21.00000           O177500300041 
    6.25000    1.45000   21.40000    0.05800   10.00000           O177500300042 
