ENTRY            O1146   20140205                             O052O114600000001 
SUBENT        O1146001   20140205                             O052O114600100001 
BIB                 10         26                                 O114600100002 
TITLE      Neutron and light charged particle productions in      O114600100003 
           proton induced reactions on Pb-208 at 62.9-MeV.        O114600100004 
AUTHOR     (A.Guertin, N.Marie, S.Auduc, V.Blideanu, Th.Delbar,   O114600100005 
           P.Eudes, Y.Foucher, F.Haddad, T.Kirchner, Ch.Le Brun,  O114600100006 
           C.Lebrun, F.R.Lecolley, J.F.Lecolley, X.Ledoux,        O114600100007 
           F.Lefebvres, T.Lefort, M.Louvel, A.Ninane, Y.Patin,    O114600100008 
           Ph.Pras, G.Riviere, C.Varignon)                        O114600100009 
INSTITUTE  (2FR NTE) Nantes CEDEX, Laboratoire Subatech           O114600100010 
           (2FR CAE)                                              O114600100011 
           (2FR BRC)                                              O114600100012 
           (2BLGLVN)                                              O114600100013 
           (2NEDRCN)                                              O114600100014 
REFERENCE  (J,EPJ/A,23,49,2005)                                   O114600100015 
           (W,MARIE,20040315) All data were taken from it.        O114600100016 
SAMPLE     An enriched Pb-208 target, of 10.7 mg/cm**2 thick,     O114600100017 
           was used.                                              O114600100018 
ADD-RES    (COMP) Theoretical calculations MCNPX, FLUKA, TALYS.   O114600100019 
FACILITY   (CYCLO,2BLGLVN)                                        O114600100020 
STATUS     (TABLE) Tables were received from M.Kellett.           O114600100021 
COMMENT    - By compiler. Zeros values were excluded from         O114600100022 
           authors' tables.                                       O114600100023 
HISTORY    (20040318C)                                            O114600100024 
           (20050311A) Reference and authors' list are corrected. O114600100025 
           (20050523U) Last checking has been done.               O114600100026 
           (20140205A) SD: Authors' name corrected. Subents  20-25O114600100027 
           were added.                                            O114600100028 
ENDBIB              26          0                                 O114600100029 
COMMON               1          3                                 O114600100030 
EN                                                                O114600100031 
MEV                                                               O114600100032 
       62.9                                                       O114600100033 
ENDCOMMON            3          0                                 O114600100034 
ENDSUBENT           33          0                                 O114600199999 
SUBENT        O1146002   20040411                             0000O114600200001 
BIB                  5         13                                 O114600200002 
REACTION   (82-PB-208(P,X)1-H-1,EM,DA/DE)                         O114600200003 
EN-SEC     (E,P)                                                  O114600200004 
METHOD     (EDE)                                                  O114600200005 
DETECTOR   (TELES,SOLST,SOLST,CSICR) Seven triple telescopes.     O114600200006 
           Each telescope consisted of two silicon detectors,     O114600200007 
           80-mum thick and 300 or 500-mum thick, backed by a one O114600200008 
           inch diameter and 80-mm thick CsI(Tl) crystal.         O114600200009 
ERR-ANALYS (ERR-1) The systematic error is derived                O114600200010 
           from:                                                  O114600200011 
           (ERR-2) Beam monitoring-5%,                            O114600200012 
           (ERR-3) Solid angle corrections-1%,                    O114600200013 
           (ERR-4) Number of target nuclei-3%.                    O114600200014 
           (ERR-S) The statistical error is given by authors.     O114600200015 
ENDBIB              13          0                                 O114600200016 
COMMON               4          3                                 O114600200017 
         9.       135.   2.35E-01   1.45E-03                      O114600200082 
         9.       155.   2.46E-01   1.25E-03                      O114600200083 
        10.        25.       1.47   5.09E-03                      O114600200084 
        10.        35.   9.33E-01   3.63E-03                      O114600200085 
        10.        45.   5.86E-01   2.37E-03                      O114600200086 
        10.        55.   5.59E-01   2.05E-03                      O114600200087 
        10.        65.   6.63E-01   3.02E-03                      O114600200088 
        10.        75.   6.02E-01   3.04E-03                      O114600200089 
        10.        85.    5.7E-01   3.05E-03                      O114600200090 
        10.        95.   4.19E-01   3.07E-03                      O114600200091 
        10.       115.   4.96E-01   3.82E-03                      O114600200092 
        10.       135.   3.83E-01   1.68E-03                      O114600200093 
        10.       155.   4.13E-01   1.96E-03                      O114600200094 
        11.        25.       1.67   5.24E-03                      O114600200095 
        11.        35.       1.14    4.1E-03                      O114600200096 
        11.        45.   7.99E-01   3.44E-03                      O114600200097 
        11.        55.   7.39E-01   2.95E-03                      O114600200098 
        11.        65.   9.81E-01    4.4E-03                      O114600200099 
        11.        75.    8.6E-01   3.73E-03                      O114600200100 
        11.        85.    8.5E-01    4.1E-03                      O114600200101 
        11.        95.   7.85E-01   4.37E-03                      O114600200102 
        11.       115.   6.51E-01   5.71E-03                      O114600200103 
        11.       135.   6.33E-01   2.83E-03                      O114600200104 
        11.       155.   6.62E-01   2.52E-03                      O114600200105 
        12.        25.       1.88   6.13E-03                      O114600200106 
        12.        35.       1.48   4.89E-03                      O114600200107 
        12.        45.       1.14   4.74E-03                      O114600200108 
        12.        55.       1.04    4.1E-03                      O114600200109 
        12.        65.       1.35   5.17E-03                      O114600200110 
        12.        75.       1.18   4.36E-03                      O114600200111 
        12.        85.       1.06   4.56E-03                      O114600200112 
        12.        95.    9.6E-01   4.85E-03                      O114600200113 
        12.       115.   8.31E-01   7.85E-03                      O114600200114 
        12.       135.   7.76E-01   3.14E-03                      O114600200115 
        12.       155.   6.38E-01   2.56E-03                      O114600200116 
        13.        25.       2.26   6.73E-03                      O114600200117 
        13.        35.       1.77   5.35E-03                      O114600200118 
        13.        45.       1.43   5.31E-03                      O114600200119 
        13.        55.        1.3   4.58E-03                      O114600200120 
        13.        65.       1.49   5.42E-03                      O114600200121 
        13.        75.       1.28   4.54E-03                      O114600200122 
        13.        85.       1.03    4.5E-03                      O114600200123 
        13.        95.   9.86E-01   4.97E-03                      O114600200124 
        13.       115.   8.68E-01   8.07E-03                      O114600200125 
        13.       135.   7.43E-01   3.06E-03                      O114600200126 
        13.       155.   5.73E-01   2.39E-03                      O114600200127 
        14.        25.       2.56   7.17E-03                      O114600200128 
        14.        35.       2.02    5.7E-03                      O114600200129 
        14.        45.       1.53   5.49E-03                      O114600200130 
        14.        55.       1.35   4.67E-03                      O114600200131 
        14.        65.       1.65   5.71E-03                      O114600200132 
        14.        75.       1.41   4.76E-03                      O114600200133 
        14.        85.       1.12   4.69E-03                      O114600200134 
        14.        95.         1.   5.01E-03                      O114600200135 
        14.       115.   7.97E-01   7.73E-03                      O114600200136 
        14.       135.    7.2E-01   3.01E-03                      O114600200137 
        14.       155.   5.73E-01   2.39E-03                      O114600200138 
        15.        25.        2.9   7.63E-03                      O114600200139 
        15.        35.       2.29   6.08E-03                      O114600200140 
        15.        45.       1.78   5.93E-03                      O114600200141 
        15.        55.       1.57   5.03E-03                      O114600200142 
        15.        65.       1.81   5.97E-03                      O114600200143 
        15.        75.       1.52   4.96E-03                      O114600200144 
        15.        85.       1.18   4.82E-03                      O114600200145 
        15.        95.       1.05   5.09E-03                      O114600200146 
        15.       115.   8.42E-01   7.93E-03                      O114600200147 
        15.       135.    7.1E-01   2.98E-03                      O114600200148 
        15.       155.   5.44E-01   2.32E-03                      O114600200149 
        16.        25.       3.26   8.08E-03                      O114600200150 
        16.        35.       2.56   6.43E-03                      O114600200151 
        16.        45.       1.94   6.18E-03                      O114600200152 
        16.        55.       1.71   5.24E-03                      O114600200153 
        16.        65.       1.89   6.11E-03                      O114600200154 
        16.        75.       1.57   5.02E-03                      O114600200155 
        16.        85.       1.15   4.77E-03                      O114600200156 
        16.        95.       1.06   5.19E-03                      O114600200157 
        16.       115.   8.51E-01    7.9E-03                      O114600200158 
        16.       135.   6.61E-01   2.89E-03                      O114600200159 
        16.       155.   5.19E-01   2.28E-03                      O114600200160 
        17.        25.       3.36   8.19E-03                      O114600200161 
        17.        35.       2.66   6.54E-03                      O114600200162 
        17.        45.       2.11   6.46E-03                      O114600200163 
        17.        55.       1.87   5.49E-03                      O114600200164 
        17.        65.       2.02   6.31E-03                      O114600200165 
        17.        75.       1.64   5.16E-03                      O114600200166 
        17.        85.       1.23   4.91E-03                      O114600200167 
        17.        95.       1.05   5.08E-03                      O114600200168 
        17.       115.   8.58E-01     8.E-03                      O114600200169 
        17.       135.    6.2E-01   2.81E-03                      O114600200170 
        17.       155.   5.09E-01   2.25E-03                      O114600200171 
        18.        25.       3.67   8.58E-03                      O114600200172 
        18.        35.        2.9   6.84E-03                      O114600200173 
        18.        45.       2.34    6.8E-03                      O114600200174 
        18.        55.       2.02   5.71E-03                      O114600200175 
        18.        65.       2.03   6.32E-03                      O114600200176 
        18.        75.       1.63   5.14E-03                      O114600200177 
        18.        85.        1.2   4.86E-03                      O114600200178 
        18.        95.       1.04   5.09E-03                      O114600200179 
        18.       115.   8.52E-01   7.91E-03                      O114600200180 
        18.       135.   5.78E-01    2.7E-03                      O114600200181 
        18.       155.   4.68E-01   2.15E-03                      O114600200182 
        19.        25.       3.84   8.77E-03                      O114600200183 
        19.        35.       3.04     7.E-03                      O114600200184 
        19.        45.       2.42   6.91E-03                      O114600200185 
        19.        55.       2.09   5.81E-03                      O114600200186 
        19.        65.       2.05   6.35E-03                      O114600200187 
        19.        75.       1.62   5.11E-03                      O114600200188 
        19.        85.       1.16   4.78E-03                      O114600200189 
        19.        95.         1.   5.03E-03                      O114600200190 
        19.       115.   7.92E-01   7.65E-03                      O114600200191 
        19.       135.   5.27E-01   2.56E-03                      O114600200192 
        19.       155.   4.07E-01   2.03E-03                      O114600200193 
        20.        25.       3.89   8.84E-03                      O114600200194 
        20.        35.       3.04   7.01E-03                      O114600200195 
        20.        45.       2.58   7.12E-03                      O114600200196 
        20.        55.       2.25   6.02E-03                      O114600200197 
        20.        65.       2.02    6.3E-03                      O114600200198 
        20.        75.       1.57   5.03E-03                      O114600200199 
        20.        85.       1.16   4.78E-03                      O114600200200 
        20.        95.   9.63E-01   4.93E-03                      O114600200201 
        20.       115.   7.55E-01   7.46E-03                      O114600200202 
        20.       135.   4.54E-01   2.39E-03                      O114600200203 
        20.       155.   3.89E-01   1.97E-03                      O114600200204 
        21.        25.       4.11   9.07E-03                      O114600200205 
        21.        35.       3.26   7.26E-03                      O114600200206 
        21.        45.       2.59   7.15E-03                      O114600200207 
        21.        55.       2.23   5.99E-03                      O114600200208 
        21.        65.       1.92   6.15E-03                      O114600200209 
        21.        75.       1.48   4.89E-03                      O114600200210 
        21.        85.       1.15   4.76E-03                      O114600200211 
        21.        95.   9.05E-01   4.74E-03                      O114600200212 
        21.       115.   6.83E-01   7.12E-03                      O114600200213 
        21.       135.   4.23E-01   2.29E-03                      O114600200214 
        21.       155.   3.48E-01   1.88E-03                      O114600200215 
        22.        25.       4.15   9.13E-03                      O114600200216 
        22.        35.       3.22    7.2E-03                      O114600200217 
        22.        45.       2.67   7.26E-03                      O114600200218 
        22.        55.       2.26   6.03E-03                      O114600200219 
        22.        65.       1.93   6.17E-03                      O114600200220 
        22.        75.       1.44   4.83E-03                      O114600200221 
        22.        85.       1.02   4.48E-03                      O114600200222 
        22.        95.   8.42E-01   4.63E-03                      O114600200223 
        22.       115.   6.75E-01   7.14E-03                      O114600200224 
        22.       135.   3.71E-01   2.15E-03                      O114600200225 
        22.       155.   3.12E-01   1.74E-03                      O114600200226 
        23.        25.       4.22   9.18E-03                      O114600200227 
        23.        35.       3.25   7.24E-03                      O114600200228 
        23.        45.       2.75   7.36E-03                      O114600200229 
        23.        55.       2.28   6.06E-03                      O114600200230 
        23.        65.       1.81   5.97E-03                      O114600200231 
        23.        75.       1.34   4.66E-03                      O114600200232 
        23.        85.       1.07   4.59E-03                      O114600200233 
        23.        95.   8.13E-01   4.48E-03                      O114600200234 
        23.       115.   6.08E-01   6.72E-03                      O114600200235 
        23.       135.    3.3E-01   2.02E-03                      O114600200236 
        23.       155.   2.56E-01   1.63E-03                      O114600200237 
        24.        25.       4.43   9.43E-03                      O114600200238 
        24.        35.       3.32   7.32E-03                      O114600200239 
        24.        45.       2.72   7.32E-03                      O114600200240 
        24.        55.       2.19   5.94E-03                      O114600200241 
        24.        65.       1.82     6.E-03                      O114600200242 
        24.        75.       1.32   4.62E-03                      O114600200243 
        24.        85.   9.18E-01   4.26E-03                      O114600200244 
        24.        95.   7.44E-01   4.37E-03                      O114600200245 
        24.       115.   5.43E-01   6.37E-03                      O114600200246 
        24.       135.    3.1E-01   1.94E-03                      O114600200247 
        24.       155.   2.49E-01   1.57E-03                      O114600200248 
        25.        25.       4.63   9.62E-03                      O114600200249 
        25.        35.       3.51   7.53E-03                      O114600200250 
        25.        45.       2.75   7.36E-03                      O114600200251 
        25.        55.       2.23     6.E-03                      O114600200252 
        25.        65.       1.74   5.86E-03                      O114600200253 
        25.        75.       1.25   4.49E-03                      O114600200254 
        25.        85.   9.56E-01   4.34E-03                      O114600200255 
        25.        95.   7.21E-01    4.2E-03                      O114600200256 
        25.       115.    5.3E-01   6.32E-03                      O114600200257 
        25.       135.   2.62E-01   1.81E-03                      O114600200258 
        25.       155.   2.19E-01   1.51E-03                      O114600200259 
        26.        25.       4.55   9.55E-03                      O114600200260 
        26.        35.       3.41   7.42E-03                      O114600200261 
        26.        45.        2.8   7.43E-03                      O114600200262 
        26.        55.       2.28   6.07E-03                      O114600200263 
        26.        65.       1.67   5.74E-03                      O114600200264 
        26.        75.       1.18   4.37E-03                      O114600200265 
        26.        85.   8.91E-01   4.19E-03                      O114600200266 
        26.        95.   6.72E-01    4.1E-03                      O114600200267 
        26.       115.   4.83E-01   5.99E-03                      O114600200268 
        26.       135.   2.47E-01   1.75E-03                      O114600200269 
        26.       155.   1.83E-01   1.39E-03                      O114600200270 
        27.        25.       4.43   9.42E-03                      O114600200271 
        27.        35.       3.32   7.32E-03                      O114600200272 
        27.        45.       2.77   7.39E-03                      O114600200273 
        27.        55.       2.16    5.9E-03                      O114600200274 
        27.        65.       1.64   5.69E-03                      O114600200275 
        27.        75.       1.14   4.29E-03                      O114600200276 
        27.        85.    8.7E-01   4.14E-03                      O114600200277 
        27.        95.   6.14E-01   3.88E-03                      O114600200278 
        27.       115.   4.24E-01   5.54E-03                      O114600200279 
        27.       135.   2.15E-01   1.62E-03                      O114600200280 
        27.       155.   1.64E-01   1.31E-03                      O114600200281 
        28.        25.       4.79   9.79E-03                      O114600200282 
        28.        35.       3.54   7.56E-03                      O114600200283 
        28.        45.        2.8   7.43E-03                      O114600200284 
        28.        55.       2.19   5.94E-03                      O114600200285 
        28.        65.       1.56   5.54E-03                      O114600200286 
        28.        75.       1.07   4.16E-03                      O114600200287 
        28.        85.   7.92E-01   3.95E-03                      O114600200288 
        28.        95.   5.65E-01   3.75E-03                      O114600200289 
        28.       115.   4.11E-01   5.55E-03                      O114600200290 
        28.       135.   1.98E-01   1.57E-03                      O114600200291 
        28.       155.   1.49E-01   1.24E-03                      O114600200292 
        29.        25.       4.64   9.64E-03                      O114600200293 
        29.        35.       3.41   7.42E-03                      O114600200294 
        29.        45.       2.86   7.51E-03                      O114600200295 
        29.        55.       2.16   5.91E-03                      O114600200296 
        29.        65.       1.48   5.39E-03                      O114600200297 
        29.        75.   9.88E-01   3.99E-03                      O114600200298 
        29.        85.   7.69E-01   3.89E-03                      O114600200299 
        29.        95.   5.41E-01   3.64E-03                      O114600200300 
        29.       115.   3.72E-01   5.27E-03                      O114600200301 
        29.       135.   1.67E-01   1.43E-03                      O114600200302 
        29.       155.   1.36E-01   1.18E-03                      O114600200303 
        30.        25.       4.53   9.51E-03                      O114600200304 
        30.        35.        3.3    7.3E-03                      O114600200305 
        30.        45.       2.92    7.6E-03                      O114600200306 
        30.        55.       2.16    5.9E-03                      O114600200307 
        30.        65.       1.43    5.3E-03                      O114600200308 
        30.        75.   9.38E-01   3.89E-03                      O114600200309 
        30.        85.   7.45E-01   3.83E-03                      O114600200310 
        30.        95.   4.94E-01   3.49E-03                      O114600200311 
        30.       115.   3.22E-01   4.85E-03                      O114600200312 
        30.       135.   1.58E-01    1.4E-03                      O114600200313 
        30.       155.   1.15E-01   1.11E-03                      O114600200314 
        31.        25.       4.62   9.63E-03                      O114600200315 
        31.        35.       3.34   7.34E-03                      O114600200316 
        31.        45.       2.79   7.42E-03                      O114600200317 
        31.        55.       2.03   5.73E-03                      O114600200318 
        31.        65.       1.34   5.13E-03                      O114600200319 
        31.        75.   8.77E-01   3.76E-03                      O114600200320 
        31.        85.    7.1E-01   3.74E-03                      O114600200321 
        31.        95.   4.61E-01   3.32E-03                      O114600200322 
        31.       115.   2.95E-01   4.68E-03                      O114600200323 
        31.       135.   1.35E-01   1.25E-03                      O114600200324 
        31.       155.   1.04E-01   1.05E-03                      O114600200325 
        32.        25.       4.66   9.66E-03                      O114600200326 
        32.        35.       3.38   7.39E-03                      O114600200327 
        32.        45.       2.78   7.41E-03                      O114600200328 
        32.        55.       2.02   5.71E-03                      O114600200329 
        32.        65.       1.32    5.1E-03                      O114600200330 
        32.        75.   8.42E-01   3.69E-03                      O114600200331 
        32.        85.   6.39E-01   3.55E-03                      O114600200332 
        32.        95.    4.2E-01   3.22E-03                      O114600200333 
        32.       115.   2.73E-01   4.53E-03                      O114600200334 
        32.       135.   1.15E-01   1.18E-03                      O114600200335 
        32.       155.   9.29E-02   9.97E-04                      O114600200336 
        33.        25.       4.41   9.39E-03                      O114600200337 
        33.        35.       3.23   7.22E-03                      O114600200338 
        33.        45.       2.73   7.33E-03                      O114600200339 
        33.        55.       1.99   5.67E-03                      O114600200340 
        33.        65.       1.22    4.9E-03                      O114600200341 
        33.        75.   7.76E-01   3.53E-03                      O114600200342 
        33.        85.   6.14E-01   3.48E-03                      O114600200343 
        33.        95.   3.92E-01   3.11E-03                      O114600200344 
        33.       115.   2.45E-01   4.25E-03                      O114600200345 
        33.       135.   1.07E-01   1.12E-03                      O114600200346 
        33.       155.   7.83E-02   9.26E-04                      O114600200347 
        34.        25.        4.7   9.71E-03                      O114600200348 
        34.        35.       3.41   7.41E-03                      O114600200349 
        34.        45.        2.6   7.15E-03                      O114600200350 
        34.        55.       1.86   5.48E-03                      O114600200351 
        34.        65.       1.18   4.82E-03                      O114600200352 
        34.        75.   7.35E-01   3.44E-03                      O114600200353 
        34.        85.   5.86E-01    3.4E-03                      O114600200354 
        34.        95.   3.55E-01   2.93E-03                      O114600200355 
        34.       115.   2.16E-01   4.02E-03                      O114600200356 
        34.       135.   9.36E-02   1.08E-03                      O114600200357 
        34.       155.   6.96E-02   8.64E-04                      O114600200358 
        35.        25.       4.49   9.48E-03                      O114600200359 
        35.        35.       3.28   7.28E-03                      O114600200360 
        35.        45.       2.59   7.15E-03                      O114600200361 
        35.        55.       1.85   5.47E-03                      O114600200362 
        35.        65.       1.09   4.64E-03                      O114600200363 
        35.        75.   6.79E-01   3.31E-03                      O114600200364 
        35.        85.    5.6E-01   3.32E-03                      O114600200365 
        35.        95.   3.17E-01   2.72E-03                      O114600200366 
        35.       115.     2.E-01    3.9E-03                      O114600200367 
        35.       135.    8.2E-02                                 O114600200368 
        36.        25.       4.37   9.35E-03                      O114600200369 
        36.        35.       3.11   7.07E-03                      O114600200370 
        36.        45.       2.59   7.14E-03                      O114600200371 
        36.        55.       1.81   5.41E-03                      O114600200372 
        36.        65.       1.07   4.59E-03                      O114600200373 
        36.        75.   6.45E-01   3.23E-03                      O114600200374 
        36.        85.   4.97E-01   3.13E-03                      O114600200375 
        36.        95.   2.94E-01   2.67E-03                      O114600200376 
        36.       115.   1.75E-01   3.58E-03                      O114600200377 
        36.       135.    7.3E-02                                 O114600200378 
        37.        25.       4.65   9.65E-03                      O114600200379 
        37.        35.       3.33   7.35E-03                      O114600200380 
        37.        45.       2.58   7.14E-03                      O114600200381 
        37.        55.       1.79   5.37E-03                      O114600200382 
        37.        65.   9.78E-01    4.4E-03                      O114600200383 
        37.        75.   5.83E-01   3.06E-03                      O114600200384 
        37.        85.    5.1E-01   3.17E-03                      O114600200385 
        37.        95.   2.76E-01   2.57E-03                      O114600200386 
        37.       115.   1.62E-01   3.46E-03                      O114600200387 
        37.       135.    6.2E-02                                 O114600200388 
        38.        25.       4.53   9.52E-03                      O114600200389 
        38.        35.       3.23   7.23E-03                      O114600200390 
        38.        45.       2.58   7.12E-03                      O114600200391 
        38.        55.       1.73   5.29E-03                      O114600200392 
        38.        65.   9.75E-01   4.39E-03                      O114600200393 
        38.        75.   5.84E-01   3.07E-03                      O114600200394 
        38.        85.   4.55E-01     3.E-03                      O114600200395 
        38.        95.   2.38E-01   2.39E-03                      O114600200396 
        38.       115.   1.45E-01    3.3E-03                      O114600200397 
        38.       135.   5.76E-02                                 O114600200398 
        39.        25.       4.67   9.68E-03                      O114600200399 
        39.        35.       3.22   7.19E-03                      O114600200400 
        39.        45.       2.41    6.9E-03                      O114600200401 
        39.        55.       1.61    5.1E-03                      O114600200402 
        39.        65.   8.56E-01   4.11E-03                      O114600200403 
        39.        75.   5.05E-01   2.85E-03                      O114600200404 
        39.        85.   4.24E-01   2.89E-03                      O114600200405 
        39.        95.   2.16E-01   2.25E-03                      O114600200406 
        39.       115.   1.24E-01   3.07E-03                      O114600200407 
        39.       135.   4.78E-02                                 O114600200408 
        40.        25.       4.59   9.59E-03                      O114600200409 
        40.        35.       3.18   7.18E-03                      O114600200410 
        40.        45.       2.51   7.03E-03                      O114600200411 
        40.        55.       1.63   5.12E-03                      O114600200412 
        40.        65.   8.45E-01   4.09E-03                      O114600200413 
        40.        75.   4.94E-01   2.82E-03                      O114600200414 
        40.        85.    3.7E-01    2.7E-03                      O114600200415 
        40.        95.   1.89E-01   2.13E-03                      O114600200416 
        40.       115.   1.12E-01   2.85E-03                      O114600200417 
        40.       135.   4.35E-02                                 O114600200418 
        41.        25.       4.32   9.29E-03                      O114600200419 
        41.        35.       2.94   6.88E-03                      O114600200420 
