ENTRY            O1417   20070605                             O028O141700000001 
SUBENT        O1417001   20070605                             O028O141700100001 
BIB                 13         51                                 O141700100002 
TITLE      Light charged particle and neutron production in       O141700100003 
           proton- and alpha-particle-induced reactions on nat-Si O141700100004 
           at energies between 20 and 65 MeV                      O141700100005 
AUTHOR     (Ch.Dufauquez, Y.El Masri, V.Roberfroid, J.Cabreraa,   O141700100006 
           Th.Keutgen, J.Vanmol, P.Demetriou, R.Charity)          O141700100007 
INSTITUTE  (2BLGLVN) Fnrs and institute of nuclear physics.       O141700100008 
           (1USAWAS) Department of chemistry.                     O141700100009 
REFERENCE  (J,NP/A,773,24,2006)                                   O141700100010 
REL-REF    (R,,I.TILQUIN+,J,NIM/A,365,446,1995)  Demon counter.   O141700100011 
           (N,O1296001,P.DEMETRIOU+,J,PR/C,72,034607,2005)        O141700100012 
            Angle-integrated energy spectra                       O141700100013 
SAMPLE     A 215 mug/cm2 self-supporting foil of nat-Si of 18 mm  O141700100014 
           diameter. The target holder was set at a potential of  O141700100015 
           +18-kv to suppress secondary electron emission.        O141700100016 
DETECTOR   (TELES,SI,SI,SI) Light charged particlts emitted at    O141700100017 
           backward angles were detected and identified in seven  O141700100018 
           triple-Si E-delta-E telescopes. The Si-detectors with  O141700100019 
           thicknesses of 85, 706, and 706-mum, respectively.     O141700100020 
           (TELES,SI,SI) At forward angles, light charged         O141700100021 
           particles were detected in eight E-delta-E telescopes. O141700100022 
           (TELES,SI,CSICR) The telescopes were used for the firstO141700100023 
           experiment with the proton beams at forward angles.    O141700100024 
           The Si delta-E element was 40 mum thick and of 20 mm   O141700100025 
           active diameter.  This was followed by a 33 mm-thick   O141700100026 
           Cs(I) crystal of 15 mm diameter.                       O141700100027 
           (SCIN) Neutrons emitted in coincidence with charged    O141700100028 
           particles were detected in up to 81 Demon counters.    O141700100029 
           Each counter, consisting of an active volume of 16 cm  O141700100030 
           diameter by 20 cm depth, is filled with Ne213          O141700100031 
           liquid scintillator.  These detectors were mounted     O141700100032 
           outside the scattering chamber and were arranged in a  O141700100033 
           4-pi geometry                                          O141700100034 
FACILITY   (CYCLO,2BLGLVN)                                        O141700100035 
           The beams were chopped to produce a macro-time         O141700100036 
           structure of one beam pulse every 500 nanoseconds and  O141700100037 
           thus allow the detection of very long time-of-flight   O141700100038 
           events (especially neutrons).                          O141700100039 
METHOD     (SITA)                                                 O141700100040 
           (BCINT) Electron emission from this faraday cup was    O141700100041 
           suppressed by a guard electrode.                       O141700100042 
CORRECTION The dead time of acquisition data system was very      O141700100043 
           severely controlled and kept below 10% even though     O141700100044 
           related corrections were applied to the data.          O141700100045 
STATUS     (TABLE) From the authors.                              O141700100046 
HISTORY    (20070219C)                                            O141700100047 
           (20060626R) Data tables were received from             O141700100048 
            Th.Keutgen.                                           O141700100049 
           (20070605A) SF5 in subentry 002 is corrected according O141700100050 
             N.Otsuka remarks.                                    O141700100051 
           (20070605U) Last checking has been done.               O141700100052 
ERR-ANALYS (DATA-ERR) An analysis is not given.                   O141700100053 
ENDBIB              51          0                                 O141700100054 
NOCOMMON             0          0                                 O141700100055 
ENDSUBENT           54          0                                 O141700199999 
SUBENT        O1417002   20070605                             O028O141700200001 
BIB                  4          4                                 O141700200002 
REACTION   (14-SI-0(P,X)1-H-1,,DA/DE)                             O141700200003 
PART-DET   (P)                                                    O141700200004 
EN-SEC     (E,P)                                                  O141700200005 
ADD-RES    (COMP) Gnash prediction in laboratory frame.           O141700200006 
ENDBIB               4          0                                 O141700200007 
NOCOMMON             0          0                                 O141700200008 
DATA                 5       7053                                 O141700200009 
EN         ANG        E          DATA       DATA-ERR              O141700200010 
       26.5        60.      21.15    0.80486    0.02516           O141700200074 
       26.5        60.      21.45    0.66561    0.02288           O141700200075 
       26.5        60.      21.75    0.23997    0.01374           O141700200076 
       26.5        60.      22.05    0.08576    0.00821           O141700200077 
       26.5        60.      22.35    0.13061    0.01014           O141700200078 
       26.5        60.      22.65    0.36506    0.01695           O141700200079 
       26.5        60.      22.95    1.01258    0.02823           O141700200080 
       26.5        60.      23.25    2.19589    0.04157           O141700200081 
       26.5        60.      23.55    3.00621    0.04863           O141700200082 
       26.5        60.      23.85    3.84659    0.05501           O141700200083 
       26.5        60.      24.15    4.80977    0.06151           O141700200084 
       26.5        60.      24.45    5.87368    0.06798           O141700200085 
       26.5        60.      24.75   12.32401    0.09846           O141700200086 
       26.5        60.      25.05    23.0083    0.13456           O141700200087 
       26.5        60.      25.35   26.37537    0.14408           O141700200088 
       26.5        60.      25.65   31.89493    0.15845           O141700200089 
       26.5        60.      25.95   32.03174    0.15879           O141700200090 
       26.5        60.      26.25   12.64431    0.09973           O141700200091 
       26.5        60.      26.55    1.22267    0.03102           O141700200092 
       26.5        60.      26.85    0.01652    0.00361           O141700200093 
       26.5        70.       2.55    9.16544    0.08501           O141700200094 
       26.5        70.       2.85    9.59818    0.08699           O141700200095 
       26.5        70.       3.15    9.12381    0.08482           O141700200096 
       26.5        70.       3.45     8.8827    0.08369           O141700200097 
       26.5        70.       3.75    8.14758    0.08015           O141700200098 
       26.5        70.       4.05    7.82793    0.07856           O141700200099 
       26.5        70.       4.35    7.42739    0.07653           O141700200100 
       26.5        70.       4.65    7.12894    0.07498           O141700200101 
       26.5        70.       4.95    6.67421    0.07255           O141700200102 
       26.5        70.       5.25     6.3915    0.07099           O141700200103 
       26.5        70.       5.55    6.02963    0.06895           O141700200104 
       26.5        70.       5.85    5.74864    0.06733           O141700200105 
       26.5        70.       6.15    5.43307    0.06545           O141700200106 
       26.5        70.       6.45    5.13088    0.06361           O141700200107 
       26.5        70.       6.75    4.79806    0.06151           O141700200108 
       26.5        70.       7.05    4.45743    0.05929           O141700200109 
       26.5        70.       7.35    4.18191    0.05742           O141700200110 
       26.5        70.       7.65    3.97629    0.05599           O141700200111 
       26.5        70.       7.95    3.66242    0.05374           O141700200112 
       26.5        70.       8.25    3.47248    0.05233           O141700200113 
       26.5        70.       8.55    3.03371    0.04891           O141700200114 
       26.5        70.       8.85    2.93645    0.04812           O141700200115 
       26.5        70.       9.15    2.69556     0.0461           O141700200116 
       26.5        70.       9.45    2.41456    0.04363           O141700200117 
       26.5        70.       9.75     2.3048    0.04262           O141700200118 
       26.5        70.      10.05     2.1455    0.04112           O141700200119 
       26.5        70.      10.35    1.98707    0.03957           O141700200120 
       26.5        70.      10.65    1.90465    0.03874           O141700200121 
       26.5        70.      10.95    1.83878    0.03807           O141700200122 
       26.5        70.      11.25    1.99684    0.03967           O141700200123 
       26.5        70.      11.55    1.96951    0.03939           O141700200124 
       26.5        70.      11.85    1.72841     0.0369           O141700200125 
       26.5        70.      12.15    1.62959    0.03583           O141700200126 
       26.5        70.      12.45    1.72551    0.03687           O141700200127 
       26.5        70.      12.75    1.54727    0.03491           O141700200128 
       26.5        70.      13.05    1.38548    0.03304           O141700200129 
       26.5        70.      13.35    1.43107    0.03357           O141700200130 
       26.5        70.      13.65    1.37934    0.03296           O141700200131 
       26.5        70.      13.95    1.36288    0.03276           O141700200132 
       26.5        70.      14.25    1.16175    0.03025           O141700200133 
       26.5        70.      14.55    1.06039     0.0289           O141700200134 
       26.5        70.      14.85    0.86943    0.02617           O141700200135 
       26.5        70.      15.15    1.03773    0.02859           O141700200136 
       26.5        70.      15.45    1.22722    0.03109           O141700200137 
       26.5        70.      15.75    1.56925    0.03515           O141700200138 
       26.5        70.      16.05     1.2706    0.03163           O141700200139 
       26.5        70.      16.35    0.89398    0.02653           O141700200140 
       26.5        70.      16.65    0.78706    0.02489           O141700200141 
       26.5        70.      16.95    0.68877    0.02329           O141700200142 
       26.5        70.      17.25    0.66682    0.02291           O141700200143 
       26.5        70.      17.55    0.64798    0.02258           O141700200144 
       26.5        70.      17.85    1.00735    0.02816           O141700200145 
       26.5        70.      18.15     1.6766    0.03633           O141700200146 
       26.5        70.      18.45    2.78229     0.0468           O141700200147 
       26.5        70.      18.75    2.14936    0.04113           O141700200148 
       26.5        70.      19.05    0.66067     0.0228           O141700200149 
       26.5        70.      19.35    0.28077    0.01487           O141700200150 
       26.5        70.      19.65    0.16281    0.01132           O141700200151 
       26.5        70.      19.95     0.1927    0.01232           O141700200152 
       26.5        70.      20.25    0.41447    0.01806           O141700200153 
       26.5        70.      20.55    0.74874    0.02428           O141700200154 
       26.5        70.      20.85    0.74331    0.02419           O141700200155 
       26.5        70.      21.15     0.2462    0.01392           O141700200156 
       26.5        70.      21.45    0.06686    0.00725           O141700200157 
       26.5        70.      21.75    0.06371    0.00708           O141700200158 
       26.5        70.      22.05    0.06449    0.00712           O141700200159 
       26.5        70.      22.35    0.04012    0.00562           O141700200160 
       26.5        70.      22.65    0.18878    0.01219           O141700200161 
       26.5        70.      22.95    1.11455    0.02962           O141700200162 
       26.5        70.      23.25    4.32091    0.05831           O141700200163 
       26.5        70.      23.55    6.58839      0.072           O141700200164 
       26.5        70.      23.85    3.69324    0.05391           O141700200165 
       26.5        70.      24.15    1.39629    0.03315           O141700200166 
       26.5        70.      24.45    1.47731     0.0341           O141700200167 
       26.5        70.      24.75     5.5547    0.06611           O141700200168 
       26.5        70.      25.05   17.84665    0.11851           O141700200169 
       26.5        70.      25.35   21.74978    0.13084           O141700200170 
       26.5        70.      25.65    8.69679    0.08272           O141700200171 
       26.5        70.      25.95    1.13599     0.0299           O141700200172 
       26.5        70.      26.25    0.05822    0.00677           O141700200173 
       26.5        70.      26.55    0.00315    0.00157           O141700200174 
       26.5       105.       3.55    8.39305    0.09191           O141700200175 
       26.5       105.       3.65    8.16026    0.09063           O141700200176 
       26.5       105.       3.75    8.12662    0.09044           O141700200177 
       26.5       105.       3.85    7.78617    0.08853           O141700200178 
       26.5       105.       3.95    7.81309    0.08868           O141700200179 
       26.5       105.       4.05    7.62873    0.08763           O141700200180 
       26.5       105.       4.15    7.36499     0.0861           O141700200181 
       26.5       105.       4.25    7.06895    0.08435           O141700200182 
       26.5       105.       4.35    6.88056    0.08322           O141700200183 
       26.5       105.       4.45    6.69487    0.08209           O141700200184 
       26.5       105.       4.55    6.72447    0.08227           O141700200185 
       26.5       105.       4.65    6.61682    0.08161           O141700200186 
       26.5       105.       4.75    6.40556     0.0803           O141700200187 
       26.5       105.       4.85    6.55358    0.08122           O141700200188 
       26.5       105.       4.95    6.35442    0.07998           O141700200189 
       26.5       105.       5.05    6.32213    0.07977           O141700200190 
       26.5       105.       5.15    6.21313    0.07908           O141700200191 
       26.5       105.       5.25    5.68699    0.07566           O141700200192 
       26.5       105.       5.35     5.6224    0.07523           O141700200193 
       26.5       105.       5.45    5.43805    0.07399           O141700200194 
       26.5       105.       5.55    5.61029    0.07515           O141700200195 
       26.5       105.       5.65    5.39499    0.07369           O141700200196 
       26.5       105.       5.75    5.25639    0.07274           O141700200197 
       26.5       105.       5.85    5.12317    0.07181           O141700200198 
       26.5       105.       5.95    4.91056    0.07031           O141700200199 
       26.5       105.       6.05    4.84194    0.06982           O141700200200 
       26.5       105.       6.15    4.76121    0.06923           O141700200201 
       26.5       105.       6.25    4.83386    0.06976           O141700200202 
       26.5       105.       6.35    4.44102    0.06686           O141700200203 
       26.5       105.       6.45    4.36972    0.06632           O141700200204 
       26.5       105.       6.55    4.46255    0.06702           O141700200205 
       26.5       105.       6.65    4.02531    0.06366           O141700200206 
       26.5       105.       6.75     4.1289    0.06447           O141700200207 
       26.5       105.       6.85    4.02397    0.06365           O141700200208 
       26.5       105.       6.95    4.08182     0.0641           O141700200209 
       26.5       105.       7.05    3.96881    0.06321           O141700200210 
       26.5       105.       7.15    3.56252    0.05989           O141700200211 
       26.5       105.       7.25    3.52619    0.05958           O141700200212 
       26.5       105.       7.35    3.49121    0.05928           O141700200213 
       26.5       105.       7.45    3.50467     0.0594           O141700200214 
       26.5       105.       7.55    3.42933    0.05876           O141700200215 
       26.5       105.       7.65    3.32035    0.05781           O141700200216 
       26.5       105.       7.75    3.17237    0.05651           O141700200217 
       26.5       105.       7.85    3.13201    0.05615           O141700200218 
       26.5       105.       7.95    2.97864    0.05476           O141700200219 
       26.5       105.       8.05    2.85756    0.05363           O141700200220 
       26.5       105.       8.15    2.89792    0.05401           O141700200221 
       26.5       105.       8.25    2.88043    0.05385           O141700200222 
       26.5       105.       8.35    2.79298    0.05302           O141700200223 
       26.5       105.       8.45    2.53333     0.0505           O141700200224 
       26.5       105.       8.55    2.62347    0.05139           O141700200225 
       26.5       105.       8.65    2.43108    0.04947           O141700200226 
       26.5       105.       8.75    2.16605     0.0467           O141700200227 
       26.5       105.       8.85    2.16605     0.0467           O141700200228 
       26.5       105.       8.95    2.27502    0.04786           O141700200229 
       26.5       105.       9.05    2.14587    0.04648           O141700200230 
       26.5       105.       9.15    2.27906     0.0479           O141700200231 
       26.5       105.       9.25    2.19565    0.04701           O141700200232 
       26.5       105.       9.35    1.97098    0.04454           O141700200233 
       26.5       105.       9.45    1.77052    0.04222           O141700200234 
       26.5       105.       9.55    1.68038    0.04113           O141700200235 
       26.5       105.       9.65    1.73237    0.03856           O141700200236 
       26.5       105.       9.75     1.7735    0.03856           O141700200237 
       26.5       105.       9.85     1.6975    0.03856           O141700200238 
       26.5       105.       9.95    1.62029    0.03856           O141700200239 
       26.5       105.      10.05    1.57861    0.03856           O141700200240 
       26.5       105.      10.15    1.57878    0.03856           O141700200241 
       26.5       105.      10.25    1.55299    0.03856           O141700200242 
       26.5       105.      10.35    1.50482    0.03856           O141700200243 
       26.5       105.      10.45    1.48048    0.03856           O141700200244 
       26.5       105.      10.55    1.45331    0.03856           O141700200245 
       26.5       105.      10.65    1.40803    0.03856           O141700200246 
       26.5       105.      10.75    1.38484    0.03856           O141700200247 
       26.5       105.      10.85    1.36693    0.03856           O141700200248 
       26.5       105.      10.95    1.39547    0.03856           O141700200249 
       26.5       105.      11.05    1.29911    0.03856           O141700200250 
       26.5       105.      11.15    1.28754      0.036           O141700200251 
       26.5       105.      11.25     1.1853    0.03454           O141700200252 
       26.5       105.      11.35    1.23777     0.0353           O141700200253 
       26.5       105.      11.45    1.24046    0.03534           O141700200254 
       26.5       105.      11.55    1.13821    0.03385           O141700200255 
       26.5       105.      11.65    1.14359    0.03393           O141700200256 
       26.5       105.      11.75    1.31714    0.03641           O141700200257 
       26.5       105.      11.85    1.43419      0.038           O141700200258 
       26.5       105.      11.95    1.51491    0.03905           O141700200259 
       26.5       105.      12.05    1.36692    0.03709           O141700200260 
       26.5       105.      12.15    1.14897    0.03401           O141700200261 
       26.5       105.      12.25    1.12206    0.03361           O141700200262 
       26.5       105.      12.35    1.12879    0.03371           O141700200263 
       26.5       105.      12.45    1.09515     0.0332           O141700200264 
       26.5       105.      12.55     1.1261    0.03367           O141700200265 
       26.5       105.      12.65    0.97541    0.03134           O141700200266 
       26.5       105.      12.75    1.02654    0.03215           O141700200267 
       26.5       105.      12.85    1.06959    0.03281           O141700200268 
       26.5       105.      12.95    1.02116    0.03206           O141700200269 
       26.5       105.      13.05    0.95792    0.03105           O141700200270 
       26.5       105.      13.15    0.94178    0.03079           O141700200271 
       26.5       105.      13.25    0.94581    0.03086           O141700200272 
       26.5       105.      13.35    1.05479    0.03259           O141700200273 
       26.5       105.      13.45    1.24853    0.03545           O141700200274 
       26.5       105.      13.55    1.11937    0.03357           O141700200275 
       26.5       105.      13.65     0.9216    0.03046           O141700200276 
       26.5       105.      13.75    0.72247    0.02697           O141700200277 
       26.5       105.      13.85    0.77495    0.02793           O141700200278 
       26.5       105.      13.95    0.86643    0.02953           O141700200279 
       26.5       105.      14.05    0.87854    0.02974           O141700200280 
       26.5       105.      14.15    0.77225    0.02788           O141700200281 
       26.5       105.      14.25     0.6848    0.02626           O141700200282 
       26.5       105.      14.35     0.6848    0.02626           O141700200283 
       26.5       105.      14.45    0.73055    0.02712           O141700200284 
       26.5       105.      14.55    0.89065    0.02994           O141700200285 
       26.5       105.      14.65    1.19741    0.03472           O141700200286 
       26.5       105.      14.75    1.17184    0.03435           O141700200287 
       26.5       105.      14.85    0.96465    0.03116           O141700200288 
       26.5       105.      14.95    0.69288    0.02641           O141700200289 
       26.5       105.      15.05    1.02385     0.0321           O141700200290 
       26.5       105.      15.15    1.45033    0.03821           O141700200291 
       26.5       105.      15.25    1.37768    0.03724           O141700200292 
       26.5       105.      15.35    0.84222    0.02912           O141700200293 
       26.5       105.      15.45    0.61888    0.02496           O141700200294 
       26.5       105.      15.55    0.68884    0.02633           O141700200295 
       26.5       105.      15.65    0.22603    0.01508           O141700200296 
       26.5       105.      15.75    0.22872    0.01517           O141700200297 
       26.5       105.      15.85    0.19239    0.01392           O141700200298 
       26.5       105.      15.95    0.23948    0.01553           O141700200299 
       26.5       105.      16.05    0.26639    0.01638           O141700200300 
       26.5       105.      16.15    0.40362    0.02016           O141700200301 
       26.5       105.      16.25    0.52336    0.02295           O141700200302 
       26.5       105.      16.35    0.56237    0.02379           O141700200303 
       26.5       105.      16.45    0.71575    0.02684           O141700200304 
       26.5       105.      16.55    0.69691    0.02649           O141700200305 
       26.5       105.      16.65    0.70095    0.02656           O141700200306 
       26.5       105.      16.75    0.57448    0.02405           O141700200307 
       26.5       105.      16.85    0.60004    0.02458           O141700200308 
       26.5       105.      16.95    0.58659     0.0243           O141700200309 
       26.5       105.      17.05    0.58793    0.02433           O141700200310 
       26.5       105.      17.15    0.58121    0.02419           O141700200311 
       26.5       105.      17.25    0.64175    0.02542           O141700200312 
       26.5       105.      17.35    0.72651    0.02704           O141700200313 
       26.5       105.      17.45    0.86509    0.02951           O141700200314 
       26.5       105.      17.55    1.02923    0.03219           O141700200315 
       26.5       105.      17.65    1.25391    0.03553           O141700200316 
       26.5       105.      17.75    1.37903    0.03726           O141700200317 
       26.5       105.      17.85    1.43553    0.03801           O141700200318 
       26.5       105.      17.95    1.36019      0.037           O141700200319 
       26.5       105.      18.05    1.16242    0.03421           O141700200320 
       26.5       105.      18.15     0.9189    0.03041           O141700200321 
       26.5       105.      18.25    0.64579     0.0255           O141700200322 
       26.5       105.      18.35    0.48299    0.02205           O141700200323 
       26.5       105.      18.45    0.40227    0.02012           O141700200324 
       26.5       105.      18.55    0.27312    0.01658           O141700200325 
       26.5       105.      18.65    0.23544     0.0154           O141700200326 
       26.5       105.      18.75     0.1897    0.01382           O141700200327 
       26.5       105.      18.85     0.1897    0.01382           O141700200328 
       26.5       105.      18.95    0.13319    0.01158           O141700200329 
       26.5       105.      19.05    0.16145    0.01275           O141700200330 
       26.5       105.      19.15    0.19374    0.01397           O141700200331 
       26.5       105.      19.25    0.19777    0.01411           O141700200332 
       26.5       105.      19.35    0.27177    0.01654           O141700200333 
       26.5       105.      19.45     0.3054    0.01753           O141700200334 
       26.5       105.      19.55    0.32962    0.01822           O141700200335 
       26.5       105.      19.65    0.35249    0.01884           O141700200336 
       26.5       105.      19.75    0.37671    0.01947           O141700200337 
       26.5       105.      19.85    0.45609    0.02143           O141700200338 
       26.5       105.      19.95    0.38478    0.01968           O141700200339 
       26.5       105.      20.05    0.34173    0.01855           O141700200340 
       26.5       105.      20.15    0.28388     0.0169           O141700200341 
       26.5       105.      20.25    0.20719    0.01444           O141700200342 
       26.5       105.      20.35    0.18566    0.01367           O141700200343 
       26.5       105.      20.45    0.19239    0.01392           O141700200344 
       26.5       105.      20.55    0.16952    0.01306           O141700200345 
       26.5       105.      20.65    0.12378    0.01116           O141700200346 
       26.5       105.      20.75    0.09552    0.00981           O141700200347 
       26.5       105.      20.85    0.08476    0.00924           O141700200348 
       26.5       105.      20.95    0.11167     0.0106           O141700200349 
       26.5       105.      21.05     0.1305    0.01146           O141700200350 
       26.5       105.      21.15     0.1157    0.01079           O141700200351 
       26.5       105.      21.25    0.15338    0.01243           O141700200352 
       26.5       105.      21.35    0.18432    0.01362           O141700200353 
       26.5       105.      21.45    0.27984    0.01678           O141700200354 
       26.5       105.      21.55    0.29733     0.0173           O141700200355 
       26.5       105.      21.65    0.37805    0.01951           O141700200356 
       26.5       105.      21.75    0.45609    0.02143           O141700200357 
       26.5       105.      21.85    0.49914    0.02242           O141700200358 
       26.5       105.      21.95    0.54085    0.02333           O141700200359 
       26.5       105.      22.05    0.50452    0.02254           O141700200360 
       26.5       105.      22.15     0.6135    0.02485           O141700200361 
       26.5       105.      22.25    0.67942    0.02615           O141700200362 
       26.5       105.      22.35    0.73324    0.02717           O141700200363 
       26.5       105.      22.45     0.8032    0.02843           O141700200364 
       26.5       105.      22.55    0.78302    0.02808           O141700200365 
